Merge ID	Masuda_et_al_Supple_rev2009(5)F	OurStudy	# Identified
	1570	1729	Novel: 341
P62623	1	1	2	A;1,07;1,07
P62672	0	1	1	A
P62707	1	1	2	A;9,86;70,97;1,68
P62768	1	1	2	A;9
P63020	1	1	2	A;9
P63177	0	1	1	A_trl
P63183	1	1	2	B;0,47
P63201	0	0	0	A
P63204	0	0	0	A
P63224	1	1	2	A;11,12
P63228	1	0	1	A;1
P63264	0	0	0	A
P63284	1	1	2	A;12,53;3
P63340	0	1	1	B
P63386	1	1	2	F1;0,78;9
P63389	1	1	2	F1;0,55;0,28
P63417	1	0	1	A;9
P63746	0	0	0	A
P63883	1	1	2	G;0,91
P64423	1	1	2	B;1,51
P64426	1	0	1	I;0,17;1,93
P64439	0	0	0	B
P64445	0	0	0	B
P64476	0	0	0	A
P64479	0	0	0	A
P64481	0	0	0	B
P64490	0	0	0	A
P64515	0	0	0	B
P64540	1	0	1	A;16,78
P64548	0	0	0	G
P64550	0	0	0	B
P64554	1	1	2	A;2,16
P64557	0	0	0	A
P64559	0	0	0	A
P64574	0	1	1	A
P64588	1	1	2	A;0,93
P64590	0	1	1	B
P64599	0	0	0	A
P64604	1	1	2	G;7,11;5,58
P64606	1	1	2	B;2,16
P64610	0	0	0	A
P64612	0	1	1	A
P64616	0	0	0	A
P64624	1	1	2	A;0,85
P64636	1	1	2	A;1,78
P65298	0	0	0	I
P65556	1	0	1	A;16,78
P65643	0	0	0	A
P65807	0	0	0	A
P65870	1	0	1	A;3,64
P66817	0	1	1	A
P66899	0	0	0	A
P66948	1	1	2	G;0,19;1,35
P67080	1	1	2	A;3,39;2,73
P67087	1	1	2	A;0,27
P67095	1	0	1	A;13,68
P67153	0	0	0	B
P67244	0	1	1	B
P67430	0	0	0	A
P67444	0	0	0	B
P67553	1	1	2	E;1,31
P67601	0	0	0	B
P67660	0	1	1	A
P67662	0	1	1	B
P67762	0	0	0	A
P67826	1	0	1	A;0,36
P67910	1	1	2	A;17,96;1,45
P68183	0	0	0	B
P68187	1	0	1	F1;3,33;3,81
P68398	1	1	2	A;0,52
P68567	0	0	0	A
P68644	0	1	1	F1
P68688	0	0	0	A
P68739	0	1	1	A
P68767	1	1	2	A;2,56;1
P69054	0	1	1	B
P69228	0	1	1	A
P69380	1	1	2	B;0,52
P69423	0	1	1	B
P69425	1	1	2	B;2,59
P69441	1	1	2	A;17,96;1,78
P69451	1	1	2	F1;0,19
P69490	1	1	2	B;0,58
P69503	1	1	2	A;24,12
P69506	0	0	0	A
P69739	0	0	0	B
P69783	1	1	2	F1;9
P69786	1	1	2	B;7,58;33,15
P69791	0	0	0	F1
P69801	1	1	2	B;0,12;0,93
P69805	1	1	2	B;2,46;6,02
P69829	1	1	2	F1;2,73;1,68
P69853	0	0	0	F1
P69874	1	1	2	F1;0,86;1,89
P69902	0	0	0	B
P69908	1	0	1	A;0,35
P69910	1	0	1	A;2,01
P69922	1	0	1	A;0,19;0,56
P69924	1	1	2	B;4,48;1,02;3,64
P69931	0	1	1	F1
P71237	0	0	0	A
P71239	0	0	0	A
P71241	0	0	0	B
P71242	1	0	1	A;0,21
P71243	0	0	0	A
P71244	0	0	0	G
P75672	0	1	1	A
P75713	0	0	0	A
P75726	0	0	0	A
P75728	1	1	2	B;0,47;1,45
P75733	0	0	0	H
P75734	0	0	0	I
P75736	1	0	1	A;0,58
P75742	0	0	0	B
P75745	0	1	1	A
P75779	0	0	0	A
P75780	1	1	2	H;0,13;6,33
P75785	1	0	1	B;0,55
P75792	0	0	0	A
P75793	0	1	1	A
P75794	0	0	0	A
P75796	0	1	1	F1
P75797	0	1	1	G
P75799	0	0	0	B
P75801	1	1	2	B;0,82
P75804	0	0	0	G
P75806	0	0	0	B
P75809	0	0	0	A
P75811	0	0	0	A
P75817	0	1	1	A_trl
P75820	1	1	2	I;0,64
P75822	0	1	1	B
P75823	1	1	2	A;0,62
P75824	0	0	0	A
P75825	0	0	0	A
P75828	0	1	1	B
P75829	1	1	2	F1;3,33;6,31
P75830	1	1	2	F2;3,33
P75838	1	1	2	A;2,51;0,37
P75839	0	0	0	B
P75849	1	1	2	A;0,78
P75853	0	0	0	G
P75862	0	0	0	A
P75863	1	1	2	A;0,18
P75864	1	1	2	A_trl;1;1,08
P75867	1	1	2	A;0,53;3,26
P75869	0	0	0	A
P75870	1	1	2	B;0,91
P75874	1	0	1	A;3,64
P75876	1	1	2	A_trl;3,22
P75893	0	0	0	A
P75894	0	0	0	A
P75897	0	0	0	A
P75898	0	0	0	A
P75914	1	0	1	A;1,05
P75915	1	1	2	A;4,99;1,15
P75916	0	0	0	B
P75919	0	1	1	A
P75920	0	0	0	B
P75938	0	0	0	G
P75942	0	0	0	A
P75946	0	1	1	I
P75948	0	0	0	B
P75949	1	1	2	A;0,62
P75952	0	0	0	A
P75954	0	0	0	G
P75957	1	1	2	F1;0,47;4,62
P75960	1	0	1	A;1,15
P75966	0	0	0	A_trl
P76001	0	0	0	G
P76004	0	0	0	A
P76008	0	0	0	A
P76010	0	0	0	F1
P76027	1	1	2	F1;1,82;4,62
P76034	1	1	2	A;0,67
P76046	0	1	1	A
P76053	0	1	1	A
P76055	1	1	2	A;0,87;0,37
P76121	0	0	0	A
P76127	0	0	0	A
P76134	0	0	0	A
P76135	0	0	0	B
P76149	1	1	2	A;0,22
P76169	0	0	0	B
P76176	0	0	0	G
P76182	0	1	1	B
P76187	1	0	1	A;1,37
P76193	1	1	2	G;0,47
P76198	0	0	0	B
P76201	0	0	0	A
P76206	1	0	1	G;0,67;2,59
P76208	1	1	2	B;9
P76213	0	0	0	A
P76214	0	0	0	B
P76215	0	0	0	A
P76216	0	0	0	A
P76221	0	0	0	B
P76222	0	1	1	B
P76234	0	0	0	A
P76235	0	0	0	A
P76236	0	0	0	B
P76243	0	0	0	A
P76245	0	1	1	A
P76249	0	0	0	B
P76256	1	1	2	A;1,15;0,78
P76257	0	1	1	A
P76261	0	0	0	B
P76264	0	0	0	B
P76268	1	1	2	A;1,85
P76269	0	0	0	B
P76272	1	1	2	B;1,19
P76273	0	0	0	A_trl
P76275	0	0	0	A
P76278	0	0	0	B
P76280	0	0	0	A
P76290	1	1	2	A;0,72;0,31
P76291	1	0	1	A;0,22
P76297	0	0	0	G
P76339	1	1	2	B;0,16
P76340	0	1	1	A
P76341	0	0	0	G
P76343	0	0	0	B
P76344	0	0	0	G
P76346	1	1	2	F1;0,93
P76350	0	0	0	B
P76369	0	0	0	A
P76373	0	1	1	B
P76387	1	1	2	B;0,11
P76389	1	1	2	B;1,02
P76393	0	0	0	B
P76397	1	1	2	F2;1,99
P76398	1	1	2	B;0,23;1
P76402	0	0	0	A
P76403	1	1	2	A;1,65;0,19
P76406	1	1	2	I;2,16
P76418	0	0	0	A
P76421	0	0	0	B
P76422	0	1	1	A
P76440	1	0	1	A;0,43
P76445	1	1	2	B;2,16
P76446	0	1	1	B
P76462	0	0	0	G
P76463	0	0	0	G
P76466	0	0	0	G
P76472	0	1	1	A
P76473	0	1	1	B
P76483	0	0	0	A
P76491	1	1	2	A;0,52
P76502	0	1	1	B
P76503	1	1	2	A;1,15
P76506	1	1	2	I;2,46;3,92
P76518	0	0	0	B
P76524	0	0	0	A
P76535	1	1	2	A;0,26
P76537	1	1	2	I;7,11
P76539	0	0	0	A
P76541	1	0	1	A;0,67
P76552	0	0	0	B
P76553	0	0	0	A
P76555	0	0	0	A
P76556	0	0	0	A
P76558	1	1	2	A;8,47;7
P76559	0	0	0	G
P76561	0	0	0	A
P76576	1	1	2	B;1,58;9
P76577	0	0	0	B
P76578	1	1	2	E;0,13;4,36
P76584	0	0	0	A
P76585	0	0	0	A
P76586	0	0	0	B
P76594	1	1	2	A;0,12
P76630	0	1	1	B
P76633	0	0	0	A
P76641	0	0	0	A
P76658	1	1	2	A;3,52;1,21
P76938	0	0	0	A
P77147	0	0	0	A
P77150	1	0	1	A;0,43
P77173	1	1	2	B;0,67;2,59
P77174	0	0	0	A
P77202	0	0	0	G
P77213	0	0	0	A
P77214	0	0	0	G
P77218	0	0	0	A
P77223	1	0	1	F1;9
P77239	0	0	0	F2
P77247	1	0	1	A;1,93
P77258	1	1	2	A;2,51
P77260	0	0	0	A
P77265	1	1	2	B;0,49
P77269	0	0	0	G
P77277	0	0	0	A
P77279	0	0	0	F1
P77280	0	0	0	B
P77285	1	1	2	G;2,59
P77304	1	1	2	B;0,58
P77328	0	0	0	B
P77334	0	1	1	A
P77337	0	0	0	A
P77338	1	1	2	B;0,08;2,16
P77360	0	0	0	B
P77376	0	0	0	A
P77377	0	0	0	B
P77378	0	0	0	A
P77396	0	0	0	A
P77398	0	1	1	A
P77399	1	1	2	A;0,25
P77402	0	0	0	A
P77414	0	0	0	A
P77434	0	1	1	A
P77444	0	1	1	F1
P77473	1	1	2	B;0,37
P77475	1	1	2	A;1;0,58
P77488	1	1	2	A;0,53;1,15
P77493	0	0	0	A
P77499	0	1	1	F1
P77509	0	0	0	F1
P77510	0	0	0	B
P77522	0	1	1	F1
P77526	0	0	0	A
P77538	0	0	0	B
P77539	0	0	0	B
P77544	0	0	0	A
P77552	1	1	2	A;1,96
P77555	0	0	0	A
P77559	0	1	1	A
P77561	0	0	0	A
P77567	0	0	0	A
P77570	0	0	0	A
P77579	0	0	0	B
P77581	1	1	2	A;1,42
P77585	0	0	0	A
P77625	0	1	1	A
P77671	0	0	0	A
P77689	0	1	1	F1
P77714	0	0	0	A
P77721	1	0	1	A;0,33
P77726	1	0	1	B;0,78
P77735	1	1	2	A;0,72;1
P77737	1	1	2	F1;3,22;8,09
P77739	1	1	2	A;0,64;0,64
P77748	1	1	2	A;0,44
P77756	1	1	2	B;1,89
P77757	0	1	1	B
P77766	0	1	1	A
P77774	1	1	2	I;3,08;13,68
P77775	1	1	2	A;0,27;1,34
P77781	1	0	1	A;0,93
P77788	0	0	0	A
P77804	1	1	2	F2;4,62;5,11
P77808	1	0	1	A;0,52;0,23
P78055	0	0	0	A
P78067	1	0	1	G;0
P80644	0	1	1	A
P80645	0	0	0	A
Q46755	0	0	0	B
Q46799	0	0	0	A
Q46800	0	0	0	A
Q46802	0	0	0	A
Q46803	0	0	0	A
Q46806	0	0	0	A
Q46808	0	0	0	B
Q46809	0	0	0	A
Q46810	0	0	0	A
Q46812	0	0	0	A
Q46820	0	0	0	A
Q46821	0	0	0	B
Q46822	0	0	0	A
Q46824	0	1	1	B
Q46829	1	1	2	A;2,98;0,17
Q46845	1	0	1	F1;0,54;0,33
Q46855	0	1	1	A
Q46856	1	0	1	A;3,28
Q46857	1	0	1	A;0,58
Q46858	0	0	0	G
Q46866	0	0	0	A
Q46871	0	0	0	A
Q46893	0	0	0	A
Q46907	0	0	0	A
Q46916	0	0	0	B
Q46920	1	1	2	A;0,41
Q46925	0	1	1	A
Q46927	0	1	1	B
Q46938	0	0	0	A
Q46939	1	1	2	A;0,25;1,15
Q46948	1	0	1	A;1,51
Q47005	0	0	0	A
Q47083	0	0	0	A
Q47142	0	0	0	B
Q47146	1	1	2	B;0,17;2,62
Q47147	0	1	1	A
Q47151	0	0	0	G
Q47155	0	0	0	A
Q47208	0	0	0	A
Q47319	0	1	1	A
Q47622	0	1	1	G
Q47679	0	0	0	A
Q47702	0	0	0	G
Q47710	0	1	1	B
Q57261	1	1	2	A;1;4,18
Q93K97	1	0	1	A;0,39
A5A607	0	0	0	A
A5A614	0	0	0	A
A5A616	0	0	0	B
A5A619	0	0	0	B
A5A628	0	0	0	B
A5A630	0	0	0	B
A8DYQ1	0	0	0	A
C1P5Z7	0	0	0	A
C1P5Z8	0	0	0	B
C1P5Z9	0	0	0	B
C1P612	0	0	0	A
C1P614	0	0	0	B
C1P620	0	0	0	A
O32528	0	0	0	I
O32583	0	0	0	A
P00582	1	1	2	A;2,59;1,45
P00634	0	1	1	G
P00722	0	1	1	A
P00816	0	0	0	A
P00892	0	1	1	A
P00893	0	0	0	A
P00894	0	1	1	A
P00909	0	0	0	B
P00926	1	0	1	A;7,91;16,78
P00936	1	1	2	A;0,11
P00957	1	1	2	A_trl;6,16;5
P00960	1	1	2	A_trl;27,94;7,38
P02919	1	1	2	B;0,32;3,57
P02921	0	0	0	B
P02929	0	1	1	B
P02942	0	0	0	B
P03004	1	1	2	F1;0,48;2,06
P03023	1	1	2	A;0,29
P03819	1	1	2	B;0,39
P03825	0	0	0	B
P03841	1	0	1	G;6,94;1,51
P03960	1	1	2	B;0,24
P04128	1	0	1	F4;1,51
P04391	0	1	1	A
P04395	0	0	0	A
P04846	1	1	2	E;1,28
P04949	0	0	0	F4
P04994	1	1	2	A;0,22
P05041	1	0	1	A;0,23
P05100	0	0	0	A
P05704	0	1	1	B
P05706	1	0	1	F1;4,62
P05707	1	0	1	A;1,15
P05791	0	1	1	A
P05825	1	1	2	H;1,87
P06134	0	0	0	A
P06609	0	0	0	B
P06959	1	1	2	F1;17,84;12,34
P06972	0	0	0	B
P06974	0	0	0	F1
P06989	0	1	1	A
P07012	1	1	2	A_trl;0
P07013	0	0	0	A
P07017	1	0	1	B;0,17
P07018	0	1	1	B
P07024	1	1	2	G;0,45
P07026	0	0	0	A
P07117	1	1	2	B;1,78;2,59
P07363	0	0	0	A
P07395	1	1	2	A;21,68;2,59
P07464	0	0	0	A
P07658	0	0	0	A
P08189	0	0	0	F4
P08190	0	0	0	F4
P08191	0	0	0	F4
P08194	1	0	1	B;6,02;4,88
P08202	0	0	0	A
P08203	0	0	0	A
P08204	0	0	0	A
P08245	1	0	1	A_trl;0,58
P08369	0	0	0	B
P08372	0	0	0	B
P08390	0	1	1	A
P08555	1	0	1	B;0,78
P08622	1	1	2	A;6,63;1,58
P08660	1	1	2	A;0,35
P08722	0	0	0	B
P08956	1	1	2	A;0,08;0,08
P08957	1	1	2	A;1,88;0,45
P09099	1	0	1	A;0,22
P09127	1	1	2	B;2,98;24,12
P09151	0	0	0	A
P09184	0	0	0	A
P09323	1	1	2	B;7,91;21,39
P09372	1	1	2	A;157,49
P09373	1	1	2	A;19,59;5,37
P09378	0	0	0	A
P09551	0	1	1	G
P09831	1	1	2	A;0,31;0,13
P09835	0	1	1	B
P0A698	1	1	2	F1;0,23;0,13
P0A6A6	0	0	0	A
P0A6A8	1	1	2	F1;999
P0A6C1	1	1	2	A;0,31
P0A6D3	0	1	1	A
P0A6E6	1	1	2	F1;9;1,68
P0A6F9	1	1	2	A;99;1,15
P0A6I0	1	1	2	A;6;2,16
P0A6I6	0	0	0	A
P0A6L0	1	1	2	A;1,85;0,37
P0A6L7	0	0	0	A
P0A6M2	0	1	1	B
P0A6N8	1	1	2	A;4,01
P0A6P1	1	1	2	A_trl;69,79;18,95
P0A6S3	0	0	0	G
P0A6S5	0	1	1	B
P0A6T5	1	1	2	A;7,58;1,51
P0A6U3	1	1	2	F1;0,86;2,47
P0A6U5	0	1	1	A_trl
P0A6W0	0	1	1	A
P0A6W3	1	1	2	B;0,67
P0A6X7	1	1	2	A_trl;22,71
P0A6Y1	1	1	2	A_trl;25,83;0,93
P0A6Y5	1	1	2	A;3,92;1
P0A6Z6	0	0	0	A
P0A705	1	1	2	A_trl;15,47;2,04
P0A707	1	1	2	A_trl;16,78;1,15
P0A710	0	0	0	B
P0A712	0	0	0	B
P0A742	1	1	2	B;1,15;9
P0A749	1	1	2	A;2,78;0,86
P0A761	1	0	1	A;3,33
P0A780	1	1	2	A;9
P0A7A2	1	1	2	B;0,47;0,47
P0A7A7	1	1	2	F1;2,95;4,88
P0A7C8	0	0	0	B
P0A7D1	1	1	2	A_trl;5,11;2,73
P0A7G6	1	0	1	F1;10,22;6,08
P0A7J7	1	1	2	A_trl;11,59;4,01
P0A7K2	1	1	2	A_trl;9.999;4,18
P0A7L0	1	1	2	A_trl;53,12;72,56
P0A7L3	1	1	2	A_trl;11,59;11,59
P0A7L8	1	1	2	A_trl;214,44;9
P0A7M2	1	1	2	A_trl;25,83;4,18
P0A7M6	1	1	2	A_trl;16,78;99
P0A7M9	1	1	2	A_trl;45,42
P0A7N1	0	0	0	A_trl
P0A7N4	1	1	2	A_trl;463,16
P0A7N9	1	1	2	A_trl;176,83
P0A7P5	1	1	2	A_trl;99
P0A7Q1	1	1	2	A_trl;3,64
P0A7Q6	0	1	1	A_trl
P0A7R1	1	1	2	A_trl;17,74;122,28
P0A7S3	1	1	2	A_trl;16,78;7
P0A7T7	1	1	2	A_trl;55,23;99
P0A7U7	1	1	2	A_trl;315,23;9
P0A7V3	1	1	2	A_trl;30,62;67,13
P0A800	1	0	1	A;25,83;0,93
P0A814	0	1	1	A
P0A821	1	0	1	A;0,47;2,16
P0A830	1	1	2	B;1,78;4,99
P0A843	1	1	2	B;2,98;24,12
P0A862	1	1	2	A;36,28;4,18
P0A877	0	1	1	A
P0A881	0	0	0	A
P0A890	0	0	0	A
P0A898	0	0	0	A
P0A8B2	0	1	1	A
P0A8B5	1	1	2	A;9
P0A8C8	0	0	0	A
P0A8D9	1	1	2	B;0,93
P0A8G6	1	1	2	B;5,31
P0A8G9	1	0	1	A;14,85
P0A8H3	0	0	0	B
P0A8H6	1	1	2	A;2,16
P0A8H8	1	0	1	A;2,16
P0A8J2	0	1	1	A
P0A8K1	1	1	2	F1;1,15;2,16
P0A8K5	1	0	1	A;9
P0A8K8	0	1	1	B
P0A8Q0	1	1	2	B;5,81
P0A8Q3	0	1	1	B
P0A8R0	1	1	2	A;18,31
P0A8R4	0	1	1	A
P0A8R9	0	1	1	A
P0A8S9	0	0	0	A
P0A8T1	1	1	2	A;1
P0A8T5	0	0	0	B
P0A8V0	1	0	1	A;0,54
P0A903	1	1	2	I;4,01;11,59
P0A905	1	1	2	I;3,64;45,42
P0A910	1	1	2	H;17,33;111,88
P0A915	0	0	0	H
P0A932	1	0	1	I;0,58
P0A964	0	0	0	A
P0A968	1	0	1	A;20,54
P0A972	1	0	1	A;62
P0A978	0	0	0	A
P0A982	0	0	0	A
P0A991	1	1	2	A;1,64;0,62
P0A9A6	1	1	2	F1;17,23;8,05
P0A9E0	0	0	0	A
P0A9E2	0	1	1	A
P0A9F9	0	1	1	A
P0A9H1	1	1	2	A;1,15
P0A9H5	0	1	1	A
P0A9K1	0	1	1	A
P0A9L3	1	1	2	A;14,85
P0A9M8	1	1	2	B;11,92;12,77
P0A9P9	0	0	0	A
P0A9S3	1	1	2	B;2,41;4,41
P0A9T6	0	0	0	A
P0A9T8	0	1	1	F1
P0A9U6	0	0	0	A
P0A9U8	0	0	0	A
P0A9V8	0	0	0	A
P0A9X9	1	0	1	A;9
P0A9Y6	1	1	2	A;99
P0A9Z1	1	1	2	A;55,23;0,78
P0AA04	1	1	2	A;55,23
P0AA25	1	1	2	A;45,42;1,15
P0AA31	1	0	1	A;14,85
P0AA57	0	0	0	G
P0AA60	0	0	0	B
P0AA67	1	0	1	B;3,64
P0AA70	0	0	0	B
P0AA76	0	0	0	B
P0AA78	0	0	0	B
P0AA80	1	0	1	B;1,51
P0AA82	1	0	1	B;9
P0AA86	1	1	2	B;13,68
P0AA89	0	0	0	A
P0AAA1	1	1	2	B;6
P0AAA3	0	0	0	G
P0AAA5	0	0	0	B
P0AAA7	0	0	0	B
P0AAA9	0	0	0	G
P0AAC8	1	1	2	A;9
P0AAD4	0	0	0	B
P0AAE2	0	1	1	B
P0AAF1	0	0	0	B
P0AAG0	0	1	1	F1
P0AAG8	1	1	2	F1;2,69;1,88
P0AAI1	0	0	0	F1
P0AAI3	1	1	2	B;7,89;48,24
P0AAJ3	0	0	0	B
P0AAL0	0	0	0	A
P0AAL9	0	0	0	G
P0AAM7	0	0	0	A
P0AAN5	0	0	0	A
P0AAP5	0	0	0	A
P0AAR0	0	0	0	A
P0AAR3	1	1	2	A;1,51
P0AAR5	0	0	0	B
P0AAR8	0	0	0	G
P0AAS3	0	0	0	B
P0AAS7	1	0	1	A;2,98
P0AAT6	1	0	1	A;9
P0AAU2	0	0	0	B
P0AAU5	0	0	0	B
P0AAU7	0	0	0	A
P0AAV6	0	0	0	G
P0AAW5	0	0	0	B
P0AAX3	0	0	0	G
P0AAY1	0	0	0	A
P0AAZ7	1	0	1	A;5,81
P0AB01	1	1	2	B;1,51
P0AB14	1	0	1	A;9
P0AB28	1	1	2	A;20,54
P0AB31	0	0	0	I
P0AB35	0	0	0	B
P0AB46	0	0	0	G
P0AB49	0	0	0	B
P0AB65	0	0	0	A
P0AB93	0	0	0	B
P0ABA0	1	1	2	B;198,53;2510,89
P0ABA4	1	1	2	F1;34,94;9
P0ABB0	1	1	2	F1;28,29;24,12
P0ABC0	0	0	0	B
P0ABC9	1	1	2	B;0,33
P0ABD3	1	0	1	A;4,34;0,87
P0ABD5	1	1	2	A;14,85;1,51
P0ABD8	1	1	2	A;5,81
P0ABE5	0	0	0	B
P0ABE9	0	0	0	A
P0ABF4	1	0	1	A;1,15
P0ABG4	0	0	0	B
P0ABG7	1	1	2	B;0,78
P0ABH9	1	0	1	A;3,06;0,92
P0ABK2	1	1	2	B;3,64;3,64
P0ABL1	0	0	0	G
P0ABL8	0	0	0	B
P0ABM1	0	0	0	B
P0ABM5	0	0	0	B
P0ABN1	1	1	2	B;5,31
P0ABN5	1	1	2	B;2,98;99
P0ABN9	0	0	0	B
P0ABP3	0	0	0	B
P0ABP6	1	1	2	B;1,15
P0ABQ0	1	1	2	A;1,24;1,24
P0ABR5	0	1	1	A
P0ABR7	0	0	0	A
P0ABR9	0	0	0	A
P0ABS8	0	0	0	A
P0ABW0	0	0	0	A
P0ABW5	0	0	0	G
P0ABX8	0	0	0	F1
P0ABY2	0	0	0	A
P0ABY7	0	0	0	A
P0ABZ1	0	0	0	F1
P0ABZ6	1	1	2	G;2,43;0,18
P0AC00	0	0	0	A
P0AC05	0	0	0	B
P0AC07	0	0	0	B
P0AC16	0	1	1	A
P0AC47	1	1	2	F1;4,88
P0AC62	1	1	2	A;9
P0AC65	0	0	0	A
P0AC78	0	1	1	B
P0AC92	0	1	1	A
P0AC94	0	0	0	B
P0AC96	0	0	0	B
P0ACA1	0	0	0	B
P0ACA7	1	1	2	A;16,01;1,89
P0ACD8	0	1	1	F1
P0ACE3	0	0	0	A
P0ACG1	1	1	2	A;5,31;1,51
P0ACG8	0	1	1	A
P0ACL5	1	0	1	A;2,46
P0ACM9	0	0	0	A
P0ACN4	1	1	2	A;1,74
P0ACP1	1	1	2	A;1,15;1
P0ACP7	1	1	2	A;1,99;0,25
P0ACQ0	0	1	1	A
P0ACR0	0	0	0	A
P0ACR7	0	1	1	A
P0ACR9	1	1	2	A;4,34;1,31
P0ACS7	0	1	1	B
P0ACU0	0	1	1	B
P0ACU5	0	1	1	A
P0ACU7	1	1	2	A;0,93
P0ACV4	1	1	2	B;999
P0ACV6	0	0	0	A
P0ACV8	0	0	0	A
P0ACW2	0	0	0	I
P0ACW4	0	0	0	G
P0ACW6	1	0	1	A;0,67
P0ACX3	0	1	1	A
P0ACX5	0	0	0	A
P0ACX9	0	0	0	A
P0ACY6	0	0	0	B
P0ACY9	0	0	0	A
P0ACZ2	0	0	0	A
P0ACZ4	1	0	1	A;0,54
P0AD01	0	0	0	A
P0AD07	0	0	0	A
P0AD10	1	0	1	A;5,31
P0AD21	0	0	0	A
P0AD24	1	0	1	A;2,98
P0AD33	1	0	1	A;1,51
P0AD40	0	0	0	A
P0AD42	0	1	1	B
P0AD44	1	1	2	I;1,51
P0AD47	0	0	0	B
P0AD49	1	1	2	A_trl;67,13
P0AD79	0	0	0	A
P0AD89	0	0	0	A
P0ADA1	0	1	1	G
P0ADA3	1	1	2	I;1,45;1,78
P0ADA7	0	0	0	I
P0ADB7	0	1	1	I
P0ADC1	1	1	2	I;2,16;67,13
P0ADC3	1	1	2	B;1,96
P0ADC8	0	0	0	A
P0ADD9	0	0	0	A
P0ADE2	0	0	0	A
P0ADG1	0	0	0	A
P0ADG4	1	1	2	A;21,54;10,45
P0ADG7	1	1	2	B;13,87;2,04
P0ADI9	0	0	0	B
P0ADJ3	0	0	0	A
P0ADJ5	0	0	0	B
P0ADJ8	0	0	0	B
P0ADK4	0	0	0	B
P0ADK6	0	1	1	A
P0ADK8	1	0	1	A;3,22
P0ADL6	0	0	0	B
P0ADM0	0	0	0	B
P0ADM6	0	0	0	I
P0ADN6	1	1	2	I;9;9
P0ADP5	0	0	0	B
P0ADQ2	0	1	1	B
P0ADQ7	1	1	2	B;1,37;1,37
P0ADT8	1	1	2	B;1,03;19,31
P0ADU2	1	1	2	A;2,98
P0ADW3	1	1	2	B;12,34;99
P0ADW8	0	0	0	A
P0ADX5	0	0	0	A
P0ADX7	0	1	1	G
P0ADZ0	1	1	2	A_trl;38,81;1,51
P0AE06	1	1	2	E;3,81;22
P0AE16	0	0	0	B
P0AE22	1	0	1	G;0,36;0,67;0,14
P0AE24	0	0	0	B
P0AE26	0	0	0	B
P0AE30	0	1	1	B
P0AE42	0	0	0	B
P0AE56	0	0	0	A
P0AE63	0	0	0	A
P0AE67	0	0	0	A
P0AE70	0	0	0	A
P0AE72	0	0	0	A
P0AE85	0	1	1	F2
P0AE88	1	1	2	F1;7,11
P0AE98	0	0	0	G
P0AEB0	0	0	0	B
P0AEC5	1	1	2	B;0,78
P0AED5	1	0	1	A;0,36;1,93
P0AED9	0	0	0	A
P0AEE3	1	1	2	B;0,43;4,88
P0AEG1	0	1	1	B
P0AEG8	0	0	0	A
P0AEH3	0	0	0	A
P0AEH5	1	1	2	B;0,78;12,34
P0AEH8	0	0	0	B
P0AEJ6	0	0	0	A
P0AEK2	0	1	1	A
P0AEL3	0	0	0	A
P0AEL8	0	0	0	A
P0AEM4	0	0	0	A
P0AEM6	0	0	0	A
P0AEM9	1	0	1	G;0,35
P0AEN4	1	1	2	B;9
P0AEP1	1	1	2	B;0,67
P0AEP7	0	0	0	A
P0AEP9	0	0	0	A
P0AEQ1	1	0	1	A;1,51
P0AEQ6	1	1	2	B;0,58;1,51
P0AER8	0	1	1	B
P0AES6	1	1	2	A;12,34;1;7,94;5
P0AET5	0	0	0	B
P0AEU3	0	1	1	B
P0AEU7	1	1	2	G;7,38;1
P0AEW1	0	0	0	B
P0AEW9	0	1	1	A
P0AEX7	0	0	0	B
P0AF16	0	1	1	B
P0AF32	0	0	0	B
P0AF36	1	0	1	F1;18,31
P0AF43	1	1	2	B;1
P0AF45	0	0	0	G
P0AF52	1	1	2	B;0,93
P0AF54	1	1	2	B;9
P0AF59	0	0	0	A
P0AF61	0	0	0	A
P0AF73	0	0	0	B
P0AF86	0	0	0	G
P0AF90	1	0	1	A;30,62
P0AF96	1	0	1	A;6,94
P0AF98	1	1	2	B;1,31;7,11
P0AFA7	1	1	2	B;1,03
P0AFA9	0	0	0	B
P0AFE0	0	1	1	B
P0AFE4	1	1	2	B;99
P0AFH0	0	1	1	A
P0AFH2	1	1	2	B;2,73;4,18
P0AFH6	1	1	2	B;0,58;5,31
P0AFI9	0	1	1	B
P0AFJ1	1	0	1	A;2,16
P0AFL1	0	0	0	B
P0AFL3	0	1	1	G
P0AFM4	0	0	0	G
P0AFN6	0	1	1	B
P0AFP0	0	0	0	B
P0AFP4	1	1	2	A;2,98
P0AFR2	1	1	2	B;0,43;3,12
P0AFR7	0	0	0	B
P0AFR9	0	0	0	B
P0AFS5	0	0	0	B
P0AFS7	0	1	1	B
P0AFT2	1	0	1	B;0,67;1,78
P0AFT8	0	0	0	A
P0AFU2	0	0	0	B
P0AFU6	0	0	0	A
P0AFW2	0	0	0	A_trl
P0AFX7	0	1	1	B
P0AFZ5	0	0	0	A
P0AG11	0	0	0	A
P0AG14	1	1	2	B;2,16;9
P0AG18	1	0	1	A;0,67
P0AG20	1	1	2	A;0,46;0,23
P0AG34	0	1	1	B
P0AG38	0	1	1	B
P0AG48	1	1	2	A_trl;18,31;1,68
