EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW		EG	GN	ECK	SP	WISC	CG	GI	JW	ASAP	EB	Type	Status	Len	Ori	LeftEnd	RightEnd	Cs	Syn	MN	Description	Comments	MW	
EG12882	gss	ECK2982	P0AES0	b2988	CG36859	g1789361	JW2956	9804	EB2720	aa	OK	619	Counterclockwise	3134685	3136544	67.56	gsp	Glutathionylspermidine synthase	Glutathionylspermidine synthase/amidase; bifunctional protein	The gsp gene name has been changed to gss to avoid conflicts with gspA-O.	70531.96		EG12882	gss	ECK2982	P0AES0	b2988	CG36859	g1789361	JW2956	9804	EB2720	aa	OK	619	Counterclockwise	3134685	3136544	67.56	gsp	Glutathionylspermidine synthase	Glutathionylspermidine synthase/amidase; bifunctional protein	The gsp gene name has been changed to gss to avoid conflicts with gspA-O.	70531.96	
EG12899	yheO	ECK3333	P64624	b3346	Null	g87082246	JW5703	10936	EB2736	aa	ALT_INIT[-4]	240	Counterclockwise	3473740	3474462	74.87	Null	Systematic nomenclature	Function unknown	Null	26820.56		EG12899	yheO	ECK3333	P64624	b3346	Null	g87082246	JW5703	10936	EB2736	aa	ALT_INIT[-4]	240	Counterclockwise	3473740	3474462	74.87	Null	Systematic nomenclature	Function unknown	Null	26820.56	
EG12907	yhfL	ECK3357	P64627	b3369	Null	g1789770	JW3332	11016	EB2744	aa	OK	55	Clockwise	3497470	3497637	75.38	Null	Systematic nomenclature	Novel verified lipoprotein, function unknown	First 19 aa are a type II signal peptide.	5818.83		EG12907	yhfL	ECK3357	P64627	b3369	Null	g1789770	JW3332	11016	EB2744	aa	OK	55	Clockwise	3497470	3497637	75.38	Null	Systematic nomenclature	Novel verified lipoprotein, function unknown	First 19 aa are a type II signal peptide.	5818.83	
EG12908	frlA	ECK3358	P45539	b3370	CG74624	g87082250	JW3333	11019	EB2745	aa	ALT_INIT[-17]	445	Clockwise	3497932	3499269	75.39	yhfM	FRuctoseLysine	Predicted fructoselysine transporter	Null	47576.54		EG12908	frlA	ECK3358	P45539	b3370	CG74624	g87082250	JW3333	11019	EB2745	aa	ALT_INIT[-17]	445	Clockwise	3497932	3499269	75.39	yhfM	FRuctoseLysine	Predicted fructoselysine transporter	Null	47576.54	
EG12909	frlB	ECK3359	P0AC00	b3371	CG74627	g87082251	JW5700	11021	EB2746	aa	ALT_INIT[-7]	340	Clockwise	3499290	3500312	75.42	yhfN	FRuctoseLysine	Fructoselysine 6-phosphate deglycase	Null	38569.23		EG12909	frlB	ECK3359	P0AC00	b3371	CG74627	g87082251	JW5700	11021	EB2746	aa	ALT_INIT[-7]	340	Clockwise	3499290	3500312	75.42	yhfN	FRuctoseLysine	Fructoselysine 6-phosphate deglycase	Null	38569.23	
EG12910	frlC	ECK3360	P45541	b4474	CG74630	g48994933	JW5699	174114	EB2747	aa	OK	276	Clockwise	3500362	3501192	75.44	yhfO;yhfP	FRuctoseLysine	Fructoselysine 3-epimerase; interconverts fructoselysine and psicoselysine, allowing psicoselysine catabolism via the frl pathway	The putative frameshift that disrupted yhfO into two ORFs has been re-sequenced in K-12 and has now been corrected (E. Van Shaftin, personal comm.) fusing yhfO and the old yhfP into one new ORF, renamed as frlC. The "C" at position 3500308 has been removed. The Genbank entry U00096 now also has this correction, and the previous ALT_INIT, so the frlC status is OK now.	31168.83		EG12910	frlC	ECK3360	P45541	b4474	CG74630	g48994933	JW5699	174114	EB2747	aa	OK	276	Clockwise	3500362	3501192	75.44	yhfO;yhfP	FRuctoseLysine	Fructoselysine 3-epimerase; interconverts fructoselysine and psicoselysine, allowing psicoselysine catabolism via the frl pathway	The putative frameshift that disrupted yhfO into two ORFs has been re-sequenced in K-12 and has now been corrected (E. Van Shaftin, personal comm.) fusing yhfO and the old yhfP into one new ORF, renamed as frlC. The "C" at position 3500308 has been removed. The Genbank entry U00096 now also has this correction, and the previous ALT_INIT, so the frlC status is OK now.	31168.83	
EG12912	frlD	ECK3361	P45543	b3374	CG74633	g1789775	JW3337	11029	EB2748	aa	OK	261	Clockwise	3501189	3501974	75.46	yhfQ	FRuctoseLysine	Fructoselysine 6-kinase	Null	28331.85		EG12912	frlD	ECK3361	P45543	b3374	CG74633	g1789775	JW3337	11029	EB2748	aa	OK	261	Clockwise	3501189	3501974	75.46	yhfQ	FRuctoseLysine	Fructoselysine 6-kinase	Null	28331.85	
EG12913	frlR	ECK3362	P45544	b3375	Null	g87082252	JW5698	11031	EB2749	aa	ALT_INIT[-22]	243	Clockwise	3502074	3502805	75.48	yhfR	FRuctoseLysine	Predicted regulator for fructoselysine operon yhfMNOQ; function unknown	Null	27820.68		EG12913	frlR	ECK3362	P45544	b3375	Null	g87082252	JW5698	11031	EB2749	aa	ALT_INIT[-22]	243	Clockwise	3502074	3502805	75.48	yhfR	FRuctoseLysine	Predicted regulator for fructoselysine operon yhfMNOQ; function unknown	Null	27820.68	
EG12914	yhfS	ECK3363	P45545	b3376	Null	g1789777	JW3339	11035	EB2750	aa	OK	361	Counterclockwise	3502957	3504042	75.50	Null	Systematic nomenclature	Function unknown	Null	38599.38		EG12914	yhfS	ECK3363	P45545	b3376	Null	g1789777	JW3339	11035	EB2750	aa	OK	361	Counterclockwise	3502957	3504042	75.50	Null	Systematic nomenclature	Function unknown	Null	38599.38	
EG12917	php	ECK3366	P45548	b3379	Null	g1789780	JW3342	11044	EB2753	aa	OK; Verified[0]	292	Counterclockwise	3505734	3506612	75.56	yhfV	Phosphotriesterase homology protein	Predicted phosphotriesterase; substrate unknown	Php is homologous to P. diminuta phosphotriesterase (28% identity) but has no phosphotriesterase activity when tested with a nonspecific model substrate; similarly no general phosphodiesterase, esterase, sulfatase, aminopeptidase, carbonic anhydrase, or phosphatase activities were detected for Php (Buchbinder, 1998). php is a multi-copy suppressor of a pdxB deletion (Kim, 2010).	32915.40		EG12917	php	ECK3366	P45548	b3379	Null	g1789780	JW3342	11044	EB2753	aa	OK; Verified[0]	292	Counterclockwise	3505734	3506612	75.56	yhfV	Phosphotriesterase homology protein	Predicted phosphotriesterase; substrate unknown	Php is homologous to P. diminuta phosphotriesterase (28% identity) but has no phosphotriesterase activity when tested with a nonspecific model substrate; similarly no general phosphodiesterase, esterase, sulfatase, aminopeptidase, carbonic anhydrase, or phosphatase activities were detected for Php (Buchbinder, 1998). php is a multi-copy suppressor of a pdxB deletion (Kim, 2010).	32915.40	
EG12919	yhfX	ECK3368	P45550	b3381	Null	g1789782	JW3344	11048	EB2755	aa	OK	387	Counterclockwise	3507835	3508998	75.61	Null	Systematic nomenclature	Function unknown	Null	42294.39		EG12919	yhfX	ECK3368	P45550	b3381	Null	g1789782	JW3344	11048	EB2755	aa	OK	387	Counterclockwise	3507835	3508998	75.61	Null	Systematic nomenclature	Function unknown	Null	42294.39	
EG12920	yhfY	ECK3369	P45551	b3382	Null	g87082254	JW5696	11050	EB2756	aa	ALT_INIT[-14]	120	Counterclockwise	3509082	3509444	75.63	Null	Systematic nomenclature	Function unknown	Null	13527.62		EG12920	yhfY	ECK3369	P45551	b3382	Null	g87082254	JW5696	11050	EB2756	aa	ALT_INIT[-14]	120	Counterclockwise	3509082	3509444	75.63	Null	Systematic nomenclature	Function unknown	Null	13527.62	
EG12921	yhfZ	ECK3370	P45552	b3383	Null	g48994934	JW5948	11052	EB2757	aa	OK	301	Counterclockwise	3509461	3510366	75.64	Null	Systematic nomenclature	Function unknown	Null	33504.44		EG12921	yhfZ	ECK3370	P45552	b3383	Null	g48994934	JW5948	11052	EB2757	aa	OK	301	Counterclockwise	3509461	3510366	75.64	Null	Systematic nomenclature	Function unknown	Null	33504.44	
EG12931	yhgE	ECK3389	P45804	b3402	Null	g1789805	JW3365	11098	EB2767	aa	OK	574	Counterclockwise	3528737	3530461	76.06	Null	Systematic nomenclature	Predicted inner membrane protein, function unknown	Null	64637.32		EG12931	yhgE	ECK3389	P45804	b3402	Null	g1789805	JW3365	11098	EB2767	aa	OK	574	Counterclockwise	3528737	3530461	76.06	Null	Systematic nomenclature	Predicted inner membrane protein, function unknown	Null	64637.32	
EG12936	hrpA	ECK1406	P43329	b1413	CG36987	g1787681	JW5905	4718	EB2772	aa	ALT_INIT[+19]	1300	Clockwise	1481085	1484987	31.92	Null	Helicase-related protein	Predicted ATP-dependent RNA helicase	Null	149027.92		EG12936	hrpA	ECK1406	P43329	b1413	CG36987	g1787681	JW5905	4718	EB2772	aa	ALT_INIT[+19]	1300	Clockwise	1481085	1484987	31.92	Null	Helicase-related protein	Predicted ATP-dependent RNA helicase	Null	149027.92	
EG12938	rtcA	ECK3406	P46849	b4475	CG56879	g48994937	JW5688	174104	EB2773	aa	OK	338	Counterclockwise	3553855	3554871	76.60	yhgJ;yhgK	RNA terminal phosphate cyclase	RNA 3'-terminal phosphate cyclase; 5' adenylyltransferase; physiological role unknown	The RtcA 5' adenylyltransferase activity might be involved with other pathways than the RNA 3'-terminal phosphate cyclase reaction (Chakravarty, 2010).	35903.22		EG12938	rtcA	ECK3406	P46849	b4475	CG56879	g48994937	JW5688	174104	EB2773	aa	OK	338	Counterclockwise	3553855	3554871	76.60	yhgJ;yhgK	RNA terminal phosphate cyclase	RNA 3'-terminal phosphate cyclase; 5' adenylyltransferase; physiological role unknown	The RtcA 5' adenylyltransferase activity might be involved with other pathways than the RNA 3'-terminal phosphate cyclase reaction (Chakravarty, 2010).	35903.22	
EG12944	yhhX	ECK3425	P46853	b3440	Null	g1789848	JW3403	11232	EB2778	aa	OK	345	Counterclockwise	3577791	3578828	77.11	Null	Systematic nomenclature	Putative oxidoreductase, expressed protein; ydgJ paralog	AFMB Structural Genomics target No. 65 (http://afmb.cnrs-mrs.fr/article171.html). 4/162 YhhX peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	38765.01		EG12944	yhhX	ECK3425	P46853	b3440	Null	g1789848	JW3403	11232	EB2778	aa	OK	345	Counterclockwise	3577791	3578828	77.11	Null	Systematic nomenclature	Putative oxidoreductase, expressed protein; ydgJ paralog	AFMB Structural Genomics target No. 65 (http://afmb.cnrs-mrs.fr/article171.html). 4/162 YhhX peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	38765.01	
EG12952	glcG	ECK2971	P0AEQ1	b2977	CG49974	g1789349	JW2944	9769	EB2786	aa	OK	134	Counterclockwise	3121849	3122253	67.29	yghC	Glycolate	Predicted glc operon gene, function unknown	glcG mutation does not effect glycolate utilization.	13736.71		EG12952	glcG	ECK2971	P0AEQ1	b2977	CG49974	g1789349	JW2944	9769	EB2786	aa	OK	134	Counterclockwise	3121849	3122253	67.29	yghC	Glycolate	Predicted glc operon gene, function unknown	glcG mutation does not effect glycolate utilization.	13736.71	
EG12954	yqjI	ECK3061	P64588	b3071	Null	g1789452	JW3042	10084	EB2788	aa	OK	207	Clockwise	3214801	3215424	69.29	Null	Systematic nomenclature	Transcriptional repressor for yqjH, nickel- or iron-inducible; autorepressor	PadR family, winged-helix.	23401.29		EG12954	yqjI	ECK3061	P64588	b3071	Null	g1789452	JW3042	10084	EB2788	aa	OK	207	Clockwise	3214801	3215424	69.29	Null	Systematic nomenclature	Transcriptional repressor for yqjH, nickel- or iron-inducible; autorepressor	PadR family, winged-helix.	23401.29	
EG12955	aer	ECK3062	P50466	b3072	CG47273	g1789453	JW3043	10087	EB2789	aa	OK	506	Counterclockwise	3215578	3217098	69.31	air;yqjJ	Aerotaxis	Aerotaxis and redox taxis sensor; flavoprotein; senses intracellular energy (redox) levels, and mediates energy taxis, as does Tsr	Energy taxis includes aerotaxis, redox taxis and glycerol taxis. aer is up-regulated by FlhCD and CRP. aer mutants are down for genes involved in anaerobic respiration and the Entner-Doudoroff pathway. The six operons up-regulated by Aer are dmsABC, fdnGHI, frdABCD, glpAB, nrfABCDE and edd.	55065.76		EG12955	aer	ECK3062	P50466	b3072	CG47273	g1789453	JW3043	10087	EB2789	aa	OK	506	Counterclockwise	3215578	3217098	69.31	air;yqjJ	Aerotaxis	Aerotaxis and redox taxis sensor; flavoprotein; senses intracellular energy (redox) levels, and mediates energy taxis, as does Tsr	Energy taxis includes aerotaxis, redox taxis and glycerol taxis. aer is up-regulated by FlhCD and CRP. aer mutants are down for genes involved in anaerobic respiration and the Entner-Doudoroff pathway. The six operons up-regulated by Aer are dmsABC, fdnGHI, frdABCD, glpAB, nrfABCDE and edd.	55065.76	
EG12965	pqiA	ECK0941	P0AFL9	b0950	CG39521	g1787183	JW0933	3219	EB2794	aa	OK	417	Clockwise	1011224	1012477	21.80	pqi5	Paraquat inducible	Induced by paraquat, regulated by SoxRS	Null	46463.49		EG12965	pqiA	ECK0941	P0AFL9	b0950	CG39521	g1787183	JW0933	3219	EB2794	aa	OK	417	Clockwise	1011224	1012477	21.80	pqi5	Paraquat inducible	Induced by paraquat, regulated by SoxRS	Null	46463.49	
EG12969	yciQ	ECK1262	P45848	b1268	Null	g1787522	JW5197	4256	EB2797	aa	OK	631	Clockwise	1322770	1324665	28.51	yciP	Systematic nomenclature	Function unknown	Null	71289.08		EG12969	yciQ	ECK1262	P45848	b1268	Null	g1787522	JW5197	4256	EB2797	aa	OK	631	Clockwise	1322770	1324665	28.51	yciP	Systematic nomenclature	Function unknown	Null	71289.08	
EG12972	scpB	ECK2915	P52045	b2919	Null	g87082183	JW2886	9581	EB2799	aa	ALT_INIT[-14]	261	Clockwise	3062015	3062800	66.00	mmcD;ygfG	SuCcinate to Proprionate conversion	Methylmalonyl-CoA decarboxylase	Part of a four gene operon encoding enzymes converting succinate to propionate.	29172.59		EG12972	scpB	ECK2915	P52045	b2919	Null	g87082183	JW2886	9581	EB2799	aa	ALT_INIT[-14]	261	Clockwise	3062015	3062800	66.00	mmcD;ygfG	SuCcinate to Proprionate conversion	Methylmalonyl-CoA decarboxylase	Part of a four gene operon encoding enzymes converting succinate to propionate.	29172.59	
EG12973	scpC	ECK2916	P52043	b2920	Null	g1789287	JW2887	9583	EB2800	aa	OK	492	Clockwise	3062824	3064302	66.01	ygfH	SuCcinate to Proprionate conversion	Propionyl CoA:succinate CoA transferase	Part of a four gene operon encoding enzymes converting succinate to propionate.	53824.45		EG12973	scpC	ECK2916	P52043	b2920	Null	g1789287	JW2887	9583	EB2800	aa	OK	492	Clockwise	3062824	3064302	66.01	ygfH	SuCcinate to Proprionate conversion	Propionyl CoA:succinate CoA transferase	Part of a four gene operon encoding enzymes converting succinate to propionate.	53824.45	
EG12976	yggP	ECK2927	P52048	b4465	Null	g48994910	JW5477	174095	EB2802	aa	OK	425	Counterclockwise	3074201	3075478	66.26	Null	Systematic nomenclature	Predicted dehydrogenase, function unknown	Null	45817.57		EG12976	yggP	ECK2927	P52048	b4465	Null	g48994910	JW5477	174095	EB2802	aa	OK	425	Counterclockwise	3074201	3075478	66.26	Null	Systematic nomenclature	Predicted dehydrogenase, function unknown	Null	45817.57	
EG12986	mltC	ECK2958	P0C066	b2963	CG54700	g87082191	JW5481	9725	EB2810	aa	ALT_INIT[-1]	359	Clockwise	3102455	3103534	66.87	yggZ	Membrane-bound lytic transglycosylase C	Membrane-bound lytic transglycosylase C, murein hydrolase; periplasmic OM-attached lipoprotein	MltC should cleave the glycosidic bonds between the N-acetylmuramic acid and N-acetylglucosamine residues in murein. MltC has a C-terminal lysozyme-like domain. First 16 aa are a type II signal peptide. SoxRS regulon. A mutant lacking five murein hydrolases (amiABCmltCD=MHD90) has a delayed lysis phenotype after beta-lactam treatment (Heidrich, 2002).	40112.51		EG12986	mltC	ECK2958	P0C066	b2963	CG54700	g87082191	JW5481	9725	EB2810	aa	ALT_INIT[-1]	359	Clockwise	3102455	3103534	66.87	yggZ	Membrane-bound lytic transglycosylase C	Membrane-bound lytic transglycosylase C, murein hydrolase; periplasmic OM-attached lipoprotein	MltC should cleave the glycosidic bonds between the N-acetylmuramic acid and N-acetylglucosamine residues in murein. MltC has a C-terminal lysozyme-like domain. First 16 aa are a type II signal peptide. SoxRS regulon. A mutant lacking five murein hydrolases (amiABCmltCD=MHD90) has a delayed lysis phenotype after beta-lactam treatment (Heidrich, 2002).	40112.51	
EG12987	yqgA	ECK2961	Q46831	b2966	Null	g1789338	JW2934	9736	EB2811	aa	OK	235	Clockwise	3107575	3108282	66.98	Null	Systematic nomenclature	Predicted inner membrane protein, DUF554 family, function unknown	Null	24613.91		EG12987	yqgA	ECK2961	Q46831	b2966	Null	g1789338	JW2934	9736	EB2811	aa	OK	235	Clockwise	3107575	3108282	66.98	Null	Systematic nomenclature	Predicted inner membrane protein, DUF554 family, function unknown	Null	24613.91	
EG12991	yghG	ECK2966	Q46835	b2971	Null	g1789342	JW2938	9748	EB2815	aa	OK	136	Counterclockwise	3111089	3111499	67.05	Null	Systematic nomenclature	Novel verified lipoprotein, function unknown	First 24 aa are a type II signal peptide.	14669.92		EG12991	yghG	ECK2966	Q46835	b2971	Null	g1789342	JW2938	9748	EB2815	aa	OK	136	Counterclockwise	3111089	3111499	67.05	Null	Systematic nomenclature	Novel verified lipoprotein, function unknown	First 24 aa are a type II signal peptide.	14669.92	
EG12992	pppA	ECK2967	Q46836	b2972	CG58027	g87082194	JW2939	9751	EB2816	aa	ALT_INIT[-41]	269	Counterclockwise	3111565	3112374	67.06	yghH	Prepilin protein peptidase	Prepilin protein peptidase, type IV pilin-specific	Null	29466.06		EG12992	pppA	ECK2967	Q46836	b2972	CG58027	g87082194	JW2939	9751	EB2816	aa	ALT_INIT[-41]	269	Counterclockwise	3111565	3112374	67.06	yghH	Prepilin protein peptidase	Prepilin protein peptidase, type IV pilin-specific	Null	29466.06	
EG12994	yghJ	ECK2968	Q46837	b4466	Null	g48994912	JW5925	174096	EB0025	aa	OK	1520	Counterclockwise	3112572	3117134	67.09	acfD(V.c.)	Systematic nomenclature	Large probable lipoprotein, function unknown; Cys conserved	YghJ is homologous to V. cholerae accessory colonization factor AcfD. First 23 aa are predicted to be a type II signal peptide.	167246.04		EG12994	yghJ	ECK2968	Q46837	b4466	Null	g48994912	JW5925	174096	EB0025	aa	OK	1520	Counterclockwise	3112572	3117134	67.09	acfD(V.c.)	Systematic nomenclature	Large probable lipoprotein, function unknown; Cys conserved	YghJ is homologous to V. cholerae accessory colonization factor AcfD. First 23 aa are predicted to be a type II signal peptide.	167246.04	
EG12996	glcE	ECK2973	P52073	b4468	CG49979	g48994914	JW5487	174098	EB2819	aa	OK	350	Counterclockwise	3123492	3124544	67.32	gox;yghL	Glycolate	Glycolate oxidase subunit	Null	38360.98		EG12996	glcE	ECK2973	P52073	b4468	CG49979	g48994914	JW5487	174098	EB2819	aa	OK	350	Counterclockwise	3123492	3124544	67.32	gox;yghL	Glycolate	Glycolate oxidase subunit	Null	38360.98	
EG12997	glcD	ECK2974	P0AEP9	b2979	CG49982	g1789351	JW2946	9773	EB2820	aa	OK	499	Counterclockwise	3124544	3126043	67.34	gox;yghM	Glycolate	Glycolate oxidase subunit	Null	53811.70		EG12997	glcD	ECK2974	P0AEP9	b2979	CG49982	g1789351	JW2946	9773	EB2820	aa	OK	499	Counterclockwise	3124544	3126043	67.34	gox;yghM	Glycolate	Glycolate oxidase subunit	Null	53811.70	
EG12998	glcC	ECK2975	P0ACL5	b2980	CG49985	g1789353	JW2947	9777	EB2821	aa	OK	254	Clockwise	3126294	3127058	67.38	yghN	Glycolate	Transcriptional activator for glc operon, glycolate-binding	GlcC is a GntR-type DNA-binding transcriptional regulator.	28826.18		EG12998	glcC	ECK2975	P0ACL5	b2980	CG49985	g1789353	JW2947	9777	EB2821	aa	OK	254	Clockwise	3126294	3127058	67.38	yghN	Glycolate	Transcriptional activator for glc operon, glycolate-binding	GlcC is a GntR-type DNA-binding transcriptional regulator.	28826.18	
EG13001	yghQ	ECK2977	Q46841	b2983	Null	g48994915	JW5490	9786	EB2823	aa	ALT_INIT[+30]	355	Counterclockwise	3129363	3130430	67.45	Null	Systematic nomenclature	Function unknown	Null	38533.13		EG13001	yghQ	ECK2977	Q46841	b2983	Null	g48994915	JW5490	9786	EB2823	aa	ALT_INIT[+30]	355	Counterclockwise	3129363	3130430	67.45	Null	Systematic nomenclature	Function unknown	Null	38533.13	
EG13002	yghR	ECK2978	P64572	b2984	Null	g1789357	JW2952	9789	EB2824	aa	OK	252	Counterclockwise	3130476	3131234	67.47	Null	Systematic nomenclature	Predicted ATP-binding protein, function unknown	Null	28151.49		EG13002	yghR	ECK2978	P64572	b2984	Null	g1789357	JW2952	9789	EB2824	aa	OK	252	Counterclockwise	3130476	3131234	67.47	Null	Systematic nomenclature	Predicted ATP-binding protein, function unknown	Null	28151.49	
EG13003	yghS	ECK2979	Q46843	b2985	Null	g1789358	JW5491	9793	EB2825	aa	OK	237	Counterclockwise	3131266	3131979	67.49	Null	Systematic nomenclature	Predicted ATP-binding protein, function unknown	Probable false positive lipoprotein prediction, Cys not conserved.	26346.70		EG13003	yghS	ECK2979	Q46843	b2985	Null	g1789358	JW5491	9793	EB2825	aa	OK	237	Counterclockwise	3131266	3131979	67.49	Null	Systematic nomenclature	Predicted ATP-binding protein, function unknown	Probable false positive lipoprotein prediction, Cys not conserved.	26346.70	
EG13004	yghT	ECK2980	Q46844	b2986	Null	g1789359	JW2954	9798	EB2826	aa	OK	230	Clockwise	3132153	3132845	67.51	Null	Systematic nomenclature	Predicted ATP-binding protein, function unknown	Null	25355.58		EG13004	yghT	ECK2980	Q46844	b2986	Null	g1789359	JW2954	9798	EB2826	aa	OK	230	Clockwise	3132153	3132845	67.51	Null	Systematic nomenclature	Predicted ATP-binding protein, function unknown	Null	25355.58	
EG13015	dkgA	ECK3004	Q46857	b3012	CG76126	g87082198	JW5499	9892	EB2835	aa	ALT_INIT[+39]; Verified[1]	275	Clockwise	3154645	3155472	67.99	yqhE	DiKetoGluconate	2,5-diketo-D-gluconate reductase A; 2-methylacetoacetate reductase, NADPH-dependent; beta-keto ester reductase	Null	31109.64		EG13015	dkgA	ECK3004	Q46857	b3012	CG76126	g87082198	JW5499	9892	EB2835	aa	ALT_INIT[+39]; Verified[1]	275	Clockwise	3154645	3155472	67.99	yqhE	DiKetoGluconate	2,5-diketo-D-gluconate reductase A; 2-methylacetoacetate reductase, NADPH-dependent; beta-keto ester reductase	Null	31109.64	
EG13017	yqhG	ECK3005	Q46858	b3013	Null	g48994916	JW5500	9895	EB2836	aa	OK	308	Clockwise	3155672	3156598	68.01	yqhF	Systematic nomenclature	Predicted secreted protein, function unknown	First 18 aa are predicted to be a type I signal peptide.	34983.21		EG13017	yqhG	ECK3005	Q46858	b3013	Null	g48994916	JW5500	9895	EB2836	aa	OK	308	Clockwise	3155672	3156598	68.01	yqhF	Systematic nomenclature	Predicted secreted protein, function unknown	First 18 aa are predicted to be a type I signal peptide.	34983.21	
EG13022	mqsA	ECK3012	Q46864	b3021	Null	g1789398	JW2989	9923	EB2840	aa	OK	131	Counterclockwise	3165873	3166268	68.23	ygiT	Motility quorum-sensing	Antitoxin for MqsR toxin; predicted transcriptional regulator	Toxin MsqR could not be cloned in an ara vector unless antitoxin MqsA(YgiT) is upregulated (Shah, 2006).	14703.10		EG13022	mqsA	ECK3012	Q46864	b3021	Null	g1789398	JW2989	9923	EB2840	aa	OK	131	Counterclockwise	3165873	3166268	68.23	ygiT	Motility quorum-sensing	Antitoxin for MqsR toxin; predicted transcriptional regulator	Toxin MsqR could not be cloned in an ara vector unless antitoxin MqsA(YgiT) is upregulated (Shah, 2006).	14703.10	
EG13023	mqsR	ECK3013	Q46865	b3022	Null	Null	JW2990	9925	EB2841	aa	OK	98	Counterclockwise	3166270	3166566	68.24	ygiU	Motility quorum-sensing regulator	GCU-specific mRNA interferase, toxin-antitoxin pair MqsRA; motility, quorum-sensing biofilm regulator; works through QseBC and AI-2	mqsR is induced during biofilm formation. Toxin MqsR could not be cloned in an ara vector unless antitoxin MqsA(YgiT) is upregulated (Shah, 2006).	11231.96		EG13023	mqsR	ECK3013	Q46865	b3022	Null	Null	JW2990	9925	EB2841	aa	OK	98	Counterclockwise	3166270	3166566	68.24	ygiU	Motility quorum-sensing regulator	GCU-specific mRNA interferase, toxin-antitoxin pair MqsRA; motility, quorum-sensing biofilm regulator; works through QseBC and AI-2	mqsR is induced during biofilm formation. Toxin MqsR could not be cloned in an ara vector unless antitoxin MqsA(YgiT) is upregulated (Shah, 2006).	11231.96	
EG13033	ygcE	ECK2770	P55138	b2776	Null	g1789138	JW5444	9097	EB2848	aa	OK	492	Clockwise	2899918	2901396	62.50	Null	Systematic nomenclature	Putative sugar kinase, function unknown	yqcE-ygcE may be a sugar catabolism operon.	54176.92		EG13033	ygcE	ECK2770	P55138	b2776	Null	g1789138	JW5444	9097	EB2848	aa	OK	492	Clockwise	2899918	2901396	62.50	Null	Systematic nomenclature	Putative sugar kinase, function unknown	yqcE-ygcE may be a sugar catabolism operon.	54176.92	
EG13035	ygcG	ECK2772	P55140	b2778	Null	g87082161	JW5445	9108	EB2850	aa	ALT_INIT[-23]	290	Clockwise	2903733	2904605	62.58	Null	Systematic nomenclature	Function unknown, UPF0603 family	First 17 aa are predicted to be a type I signal peptide by SignalP-HMM.	32205.62		EG13035	ygcG	ECK2772	P55140	b2778	Null	g87082161	JW5445	9108	EB2850	aa	ALT_INIT[-23]	290	Clockwise	2903733	2904605	62.58	Null	Systematic nomenclature	Function unknown, UPF0603 family	First 17 aa are predicted to be a type I signal peptide by SignalP-HMM.	32205.62	
EG13037	ygeG	ECK2849	Q46787	b2851	Null	g1789215	JW2819	9364	EB2852	aa	OK	163	Clockwise	2989290	2989781	64.43	Null	Systematic nomenclature	Putative secretion chaperone, part of T3SS PAI ETT2 remnant	This gene is a remnant of the type three secretion system (T3SS) pathogenicity island ETT2. 18 kb of ETT2 has been deleted from K-12, leaving 10 kb of the presumably non-functional T3SS ETT2 remaining. YgeG is homologous to secretion-associated chaperones SicA (Salmonella), SycD (Yersinia) and IpgC (Shigella).	19093.26		EG13037	ygeG	ECK2849	Q46787	b2851	Null	g1789215	JW2819	9364	EB2852	aa	OK	163	Clockwise	2989290	2989781	64.43	Null	Systematic nomenclature	Putative secretion chaperone, part of T3SS PAI ETT2 remnant	This gene is a remnant of the type three secretion system (T3SS) pathogenicity island ETT2. 18 kb of ETT2 has been deleted from K-12, leaving 10 kb of the presumably non-functional T3SS ETT2 remaining. YgeG is homologous to secretion-associated chaperones SicA (Salmonella), SycD (Yersinia) and IpgC (Shigella).	19093.26	
EG13038	ygeH	ECK2850	P76639	b2852	Null	g1789216	JW2820	9368	EB2853	aa	OK	458	Clockwise	2990116	2991492	64.45	Null	Systematic nomenclature	HilA homolog; part of T3SS PAI ETT2 remnant; putative trancriptional regulator of ETT2	This gene is a remnant of the type three secretion system (T3SS) pathogenicity island ETT2. 18 kb of ETT2 has been deleted from K-12, leaving 10 kb of the presumably non-functional T3SS ETT2 remaining.	52752.83		EG13038	ygeH	ECK2850	P76639	b2852	Null	g1789216	JW2820	9368	EB2853	aa	OK	458	Clockwise	2990116	2991492	64.45	Null	Systematic nomenclature	HilA homolog; part of T3SS PAI ETT2 remnant; putative trancriptional regulator of ETT2	This gene is a remnant of the type three secretion system (T3SS) pathogenicity island ETT2. 18 kb of ETT2 has been deleted from K-12, leaving 10 kb of the presumably non-functional T3SS ETT2 remaining.	52752.83	
