Entry name (Uniprot)	Accession (UNIPROT)	Gene	Locus_Tag	Subcellular Location(this study)	Name of deletion Island (Posfai 2006)	Mobile Element	Mobile from paper	Pseudogene/Mobile Element Notes	Common Core	Deletion	Subcellular Location (UNIPROT)	Subcellular Location (EchoLOCATION)	1st Secr Sys	2nd Secr Sys	Uniprot Link	Total Length (aa)	Gene_Type	Left End	Right End	Strand	Comments/Annotation	Description (UNIPROT)
PINE_ECOLI	P03014	pin	b1158	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P03014	184	CDS	1208908	1209462	+		DNA-invertase from lambdoid prophage e14
MCRA_ECOLI	P24200	mcrA	b1159	A	MD11	2	2	Prophage Integrase (EcoGene)		del-MD11		-			P24200	277	CDS	1209569	1210402	+		5-methylcytosine-specific restriction enzyme A (EC 3.1.21.-) (EcoKMcrA)
IDH_ECOLI	P08200	icdC	b1136	B		0	0		Common Core	del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P08200	416	pseudogene	1210648	1210800	+		Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)
IRAM_ECOLI	P75987	elbA	b1160	A	MD11	0	2			del-MD11		Cytoplasmic			P75987	107	CDS	1210903	1211226	-		Anti-adapter protein iraM (Enhancing lycopene biosynthesis protein 1)
YCGX_ECOLI	P75988	ycgX	b1161	A	MD11	0	2			del-MD11		Cytoplasmic			P75988	134	CDS	1211926	1212330	-		Uncharacterized protein ycgX
YCGE_ECOLI	P75989	ycgE	b1162	A	MD11	0	2			del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Membrane Lipoprotein			P75989	243	CDS	1212551	1213282	-		HTH-type transcriptional repressor YcgE
YCGF_ECOLI	P75990	ycgF	b1163	A	MD11	0	2			del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P75990	403	CDS	1213487	1214698	-		Blue light- and temperature-regulated antirepressor YcgF (Blrp)
YCGZ_ECOLI	P75991	ycgZ	b1164	A	MD11	0	2			del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P75991	78	CDS	1215012	1215248	+		Probable two-component-system connector protein YcgZ
YMGA_ECOLI	P75992	ymgA	b1165	A	MD11	0	2			del-MD11		Cytoplasmic			P75992	90	CDS	1215291	1215563	+		Probable two-component-system connector protein YmgA
ARIR_ECOLI	P75993	ymgB	b1166	A	MD11	0	2			del-MD11		Cytoplasmic			P75993	88	CDS	1215592	1215858	+		Probable two-component-system connector protein AriR
YMGC_ECOLI	P75994	ymgC	b1167	A	MD11	0	2			del-MD11		Cytoplasmic			P75994	82	CDS	1215971	1216219	+		Uncharacterized protein YmgC
YCGG_ECOLI	P75995	ycgG	b1168	A	MD11	0	2			del-MD11		Cytoplasmic	SEC		P75995	507	CDS	1216551	1218074	+	notes: Bernsel Theoretical but no predictions	Uncharacterized protein YcgG
YMGF_ECOLI	P58034	ymgF	b4520	B	MD11	0	2			del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC		P58034	72	CDS	1218206	1218424	+		Uncharacterized protein ymgF
YMGD_ECOLI	P0AB46	ymgD	b1171	G	MD11	0	2			del-MD11	Cytoplasm. 	-	SEC		P0AB46	109	CDS	1221528	1221857	-		Uncharacterized protein ymgD
YMGG_ECOLI	Q7DFV3	ymgG	b1172	B	MD11	0	2			del-MD11	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		Q7DFV3	91	CDS	1221867	1222142	-	"localization: inner membrane protein (potential; could be also periplasmic but let's call it IM)  refs: (http://jb.asm.org/cgi/reprint/190/6/2065.pdf), (http://www3.interscience.wiley.com/cgi-bin/fulltext/116312285/PDFSTART) Belongs to the UPF0757 family."	UPF0757 protein ymgG
AEEP_ECOLI	P51981	ycjG	b1325	B	MD21	0	2		Common Core	del-MD21	"Cell inner membrane; Single-pass type II membrane protein. "	Membrane anchored	SEC		P51981	321	CDS	1386954	1387919	+		L-Ala-D/L-Glu epimerase (AE epimerase) (AEE) (EC 5.1.1.-)
MPAA_ECOLI	P0ACV6	mpaA	b1326	A	MD21	0	2			del-MD21		Cytoplasmic			P0ACV6	242	CDS	1387894	1388682	-	"Notes: murein peptide amidase A; this is a cytoplasmic enzyme. Refs: Park 2008 (http://www.ncbi.nlm.nih.gov/pubmed/18535144);Uehara 2003 (http://www.ncbi.nlm.nih.gov/pmc/articles/PMC145344/);Gevaert (http://www.ncbi.nlm.nih.gov/pubmed/12488465)"	Protein mpaA
YMJC_ECOLI	Q2EER5	ymjC	b4525	A		2	0	pseudogene (Uniprot)		del-MD21		Cytoplasmic			Q2EER5	60	CDS	1388704	1388886	-		Putative uncharacterized protein ymjC
YCJY_ECOLI	P76049	ycjY	b1327	A	MD21	0	2			del-MD21		Cytoplasmic			P76049	306	CDS	1388957	1389889	-		Uncharacterized protein ycjY
YCJZ_ECOLI	P77333	ycjZ	b1328	B	MD21	0	2			del-MD21		Periplasmic	SEC		P77333	299	CDS	1390015	1390914	+		Uncharacterized HTH-type transcriptional regulator ycjZ
MPPA_ECOLI	P77348	mppA	b1329	G	MD21	0	2			del-MD21		Cytoplasmic	SEC		P77348	537	CDS	1391251	1392864	+		Periplasmic murein peptide-binding protein
YNAI_ECOLI	P0AEB5	ynaI	b1330	B	MD21	0	2		Common Core	del-MD21	Cytoplasm. 	Cytoplasmic	SEC		P0AEB5	343	CDS	1392915	1393946	-		MscS family inner membrane protein ynaI
INSH4_ECOLI	P0CE52	insH-4	b1331	A	MD20	2	2	"Insertion Sequence;Transposase"		del-MD21		Cytoplasmic			P0CE52	338	CDS	1394100	1395116	+	new id	Transposase insH for insertion sequence element IS5F
YNAJ_ECOLI	P64445	ynaJ	b1332	B	MD21	0	2		Common Core	del-MD21	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P64445	85	CDS	1395389	1395646	+		Uncharacterized protein ynaJ
USPE_ECOLI	P0AAC0	uspE	b1333	A		0	0		Common Core	del-MD21	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0AAC0	316	CDS	1395696	1396646	-		Universal stress protein E
ABGT_ECOLI	P46133	abgT	b1336	B		0	0			del-MD2		Cytoplasmic	SEC		P46133	508	CDS	1398271	1399797	-		Aminobenzoyl-glutamate transport protein
ABGB_ECOLI	P76052	abgB	b1337	A	MD2	0	2			del-MD2		Cytoplasmic			P76052	481	CDS	1399834	1401279	-		Aminobenzoyl-glutamate utilization protein B
ABGA_ECOLI	P77357	abgA	b1338	A	MD2	0	2			del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P77357	436	CDS	1401279	1402589	-		Aminobenzoyl-glutamate utilization protein A
ABGR_ECOLI	P77744	abgR	b1339	A	MD2	0	2			del-MD2		Cytoplasmic			P77744	302	CDS	1402765	1403673	+		HTH-type transcriptional regulator AbgR
YDAL_ECOLI	P76053	ydaL	b1340	A	MD2	0	2		Common Core	del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P76053	187	CDS	1404003	1404566	+		Uncharacterized protein ydaL
YDAM_ECOLI	P77302	ydaM	b1341	A	MD2	0	2			del-MD2		Cytoplasmic			P77302	410	CDS	1404587	1405819	-		Probable diguanylate cyclase YdaM (DGC) (EC 2.7.7.65)
ZNTB_ECOLI	P64423	ydaN	b1342	B	MD2	0	2		Common Core	del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P64423	327	CDS	1406074	1407057	+		Zinc transport protein zntB
DBPA_ECOLI	P21693	dbpA	b1343	A	MD2	0	2		Common Core	del-MD2		Cytoplasmic			P21693	457	CDS	1407535	1408908	+	Notes: ribosome	ATP-independent RNA helicase dbpA (EC 3.6.4.13)
TTCA_ECOLI	P76055	ydaO	b1344	A	MD2	0	2		Common Core	del-MD2	Cytoplasm. 	Cytoplasmic			P76055	311	CDS	1409037	1409972	-		tRNA 2-thiocytidine biosynthesis protein TtcA
INTR_ECOLI	P76056	intR	b1345	A	MD2	2	2	"Rhs Element;Prophage Integrase;Prophage Integrase (EcoGene)"		del-MD2		-			P76056	411	CDS	1410024	1411259	-		Putative lambdoid prophage Rac integrase
YDAQ_ECOLI	P76057	ydaQ	b1346	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		Integral Membrane Protein >EXP<			P76057	71	CDS	1411261	1411476	-		Uncharacterized protein ydaQ
YDAC_ECOLI	P33230	ydaC	b1347	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P33230	69	CDS	1411555	1411764	-		Uncharacterized protein ydaC
LAR_ECOLI	P33229	lar	b1348	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P33229	64	CDS	1411757	1411951	-		Restriction alleviation and modification enhancement protein
RECT_ECOLI	P33228	recT	b1349	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P33228	269	CDS	1412008	1412817	-		Protein recT (P33)
RECE_ECOLI	P15032	recE	b1350	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P15032	866	CDS	1412810	1415410	-		Exodeoxyribonuclease 8 (EC 3.1.11.-) (Exodeoxyribonuclease VIII) (EXO VIII)
RACC_ECOLI	P15033	racC	b1351	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P15033	91	CDS	1415512	1415787	-		Protein racC
YDAE_ECOLI	P38394	ydaE	b4526	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P38394	56	CDS	1415862	1416032	-		Uncharacterized protein ydaE
KIL_ECOLI	P38393	kil	b1352	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P38393	73	CDS	1416032	1416253	-		Protein kil
SIEB_ECOLI	P38392	sieB	b1353	B	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-	SEC		P38392	162	CDS	1416695	1417183	+		Superinfection exclusion protein B
YDAF_ECOLI	P0ACW0	ydaF	b4527	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P0ACW0	51	CDS	1417180	1417335	-		Uncharacterized protein ydaF
YDAG_ECOLI	P76061	ydaG	b1355	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P76061	44	CDS	1417346	1417480	-		Uncharacterized protein ydaG
RACR_ECOLI	P76062	racR	b1356	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		Cytoplasmic			P76062	158	CDS	1417789	1418265	-		Rac prophage repressor
YDAS_ECOLI	P76063	ydaS	b1357	G	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-	SEC		P76063	98	CDS	1418389	1418685	+		Uncharacterized protein ydaS
YDAT_ECOLI	P76064	ydaT	b1358	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic			P76064	140	CDS	1418708	1419130	+		Uncharacterized protein ydaT
YDAU_ECOLI	P76065	ydaU	b1359	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P76065	285	CDS	1419143	1420000	+		Uncharacterized protein ydaU
YDAV_ECOLI	P77546	ydaV	b1360	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		Cytoplasmic			P77546	248	CDS	1420007	1420753	+		Uncharacterized protein ydaV
YDAW_ECOLI	P76066	ydaW	b1361	A		2	0	pseudogene (Uniprot) 		del-MD2		Cytoplasmic			P76066	203	CDS	1420776	1421336	+		Putative uncharacterized protein ydaW
RZPR_ECOLI	P77551	rzpR	b1362	B		2	0	pseudogene (Uniprot)		del-MD2		Cytoplasmic	SEC		P77551	147	CDS	1421369	1421668	+		Putative Rz endopeptidase from lambdoid prophage Rac (EC 3.4.-.-) (Fragment)
RZOR_ECOLI	P58042	rzoR	b4528	I	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	Cytoplasm. 	-	SEC	LOL	P58042	61	CDS	1421424	1421609	+		Outer membrane lipoprotein Rz1 from lambdoid prophage Rac
TRKG_ECOLI	P23849	trkG	b1363	B	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-	SEC		P23849	485	CDS	1421806	1423263	+		Trk system potassium uptake protein trkG
YNAK_ECOLI	P76068	ynaK	b1365	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2	"Cytoplasm. Cell membrane; Peripheral membrane protein. "	-			P76068	87	CDS	1423401	1423664	+		Uncharacterized protein ynaK
YDAY_ECOLI	P76069	ydaY	b1366	A		2	0	pseudogene (Uniprot)		del-MD2		-			P76069	119	CDS	1423645	1424004	+		Putative uncharacterized protein ydaY
YNAA_ECOLI	P77658	ynaA	b1368	A		0	0			del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<			P77658	342	CDS	1424478	1425506	+		Uncharacterized protein ygcH
LOMR_ECOLI	P77184	lomR	b4570	A		2	0	"pseudogene (Uniprot);Insertion Sequence"		del-MD2	"Membrane; Multi-pass membrane protein. "	-			P77184	164	pseudogene	1425419	1427008	+		Putative protein lomR
INSH5_ECOLI	P76071	insH-5	b1370	A		2	0	"Insertion Sequence;Transposase"		del-MD2	Fimbrium. 	Cytoplasmic			P76071	326	CDS	1425770	1426750	-		Transposase insH for insertion sequence element IS5Y
STFR_ECOLI	P76072	stfR	b1372	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		Cytoplasmic			P76072	1120	CDS	1427073	1430435	+		Side tail fiber protein homolog from lambdoid prophage Rac
TFAR_ECOLI	P77163	tfaR	b1373	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		Cytoplasmic			P77163	191	CDS	1430435	1431010	+		Tail fiber assembly protein homolog from lambdoid prophage Rac
PINR_ECOLI	P0ADI0	pinR	b1374	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P0ADI0	196	CDS	1431108	1431698	-		Putative DNA-invertase from lambdoid prophage Rac
YNAE_ECOLI	P76073	ynaE	b1375	A	MD2	2	2	Prophage Integrase (EcoGene)		del-MD2		-			P76073	88	CDS	1432015	1432281	-		Uncharacterized protein ynaE
USPF_ECOLI	P37903	uspF	b1376	A	MD2	0	2		Common Core	del-MD2	Cytoplasm. 	Cytoplasmic			P37903	144	CDS	1433209	1433643	-		Universal stress protein F
OMPN_ECOLI	P77747	ompN	b1377	H	MD2	0	2			del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	SEC	BAM	P77747	377	CDS	1433784	1434917	-		Outer membrane protein N (Porin ompN)
NIFJ_ECOLI	P52647	ydbK	b1378	A	MD2	0	2		Common Core	del-MD2	Cytoplasm. 	Cytoplasmic			P52647	1174	CDS	1435284	1438808	-		Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)
YDBJ_ECOLI	P0ACW2	ydbJ	b4529	I	MD2	0	2			del-MD2	"Cell outer membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<	SEC	LOL	P0ACW2	88	CDS	1439082	1439348	+		Uncharacterized protein ydbJ
HSLJ_ECOLI	P52644	hslJ	b1379	I	MD2	0	2			del-MD2		Cytoplasmic	SEC	LOL	P52644	140	CDS	1439345	1439767	-		Heat shock protein hslJ
LDHD_ECOLI	P52643	ldhA	b1380	A	MD2	0	2		Common Core	del-MD2	Cytoplasm. 	Cytoplasmic			P52643	329	CDS	1439878	1440867	-		D-lactate dehydrogenase (D-LDH) (EC 1.1.1.28) (Fermentative lactate dehydrogenase)
YDBH_ECOLI	P52645	ydbH	b1381	B	MD2	0	2		Common Core	del-MD2	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P52645	879	CDS	1441075	1443714	+	Notes: Echolocation says Signal peptide may be membrane anchored or cleaved and the protein therefore exported (signalP score near threshold). BOMP reliability scores are below 2 and so this is unlikely to be an OMP.	Uncharacterized protein ydbH
YNBE_ECOLI	P64448	ynbE	b1382	I	MD2	0	2			del-MD2		Cytoplasmic	SEC	LOL	P64448	61	CDS	1443711	1443896	+		Uncharacterized protein ynbE
YDBL_ECOLI	P76076	ydbL	b1383	G	MD2	0	2			del-MD2		Cytoplasmic	SEC		P76076	108	CDS	1443904	1444230	+		Uncharacterized protein ydbL
FEAR_ECOLI	Q47129	feaR	b1384	A	MD2	0	2			del-MD2	Periplasm. 	-			Q47129	301	CDS	1444402	1445307	-		Transcriptional activator feaR
FEAB_ECOLI	P80668	feaB	b1385	A	MD2	0	2			del-MD2		Cytoplasmic			P80668	499	CDS	1445543	1447042	+		Phenylacetaldehyde dehydrogenase (PAD) (EC 1.2.1.39)
AMO_ECOLI	P46883	tynA	b1386	G	MD2	0	2			del-MD2		-	SEC		P46883	757	CDS	1447100	1449373	-		Glutamate/aspartate transport ATP-binding protein gltL
MAOC_ECOLI	P77455	maoC	b1387	B	MD2	0	2			del-MD2	Periplasm. 	Periplasmic	SEC		P77455	681	CDS	1449621	1451666	-		Uncharacterized protein ycdU
PAAA_ECOLI	P76077	paaA	b1388	A	MD2	0	2			del-MD2		-			P76077	309	CDS	1451951	1452880	+		Molybdate-binding periplasmic protein
PAAB_ECOLI	P76078	paaB	b1389	A	MD2	0	2			del-MD2	"Cell inner membrane; Peripheral membrane protein. "	Membrane Anchored >EXP<			P76078	95	CDS	1452892	1453179	+		Ferrichrome-iron receptor (Ferric hydroxamate receptor) (Ferric hydroxamate uptake)
PAAC_ECOLI	P76079	paaC	b1390	A	MD2	0	2			del-MD2		Cytoplasmic			P76079	248	CDS	1453188	1453934	+		Outer membrane protein C (Outer membrane protein 1B) (Porin ompC)
PAAD_ECOLI	P76080	paaD	b1391	A	MD2	0	2			del-MD2		Cytoplasmic			P76080	165	CDS	1453949	1454446	+		Entericidin A
PAAE_ECOLI	P76081	paaE	b1392	A	MD2	0	2			del-MD2		-			P76081	356	CDS	1454454	1455524	+		Protein sufA
PAAF_ECOLI	P76082	paaF	b1393	A	MD2	0	2			del-MD2		Outer membrane Lipoprotein			P76082	255	CDS	1455521	1456288	+		Probable enoyl-CoA hydratase paaF (EC 4.2.1.17)
PAAG_ECOLI	P77467	paaG	b1394	A	MD2	0	2			del-MD2		Cytoplasmic			P77467	262	CDS	1456288	1457076	+		Transcriptional regulator lsrR
PAAH_ECOLI	P76083	paaH	b1395	B	MD2	0	2			del-MD2	"Cell outer membrane; Multi-pass membrane protein. "	Outer Membrane &#223-barrel protein	SEC		P76083	475	CDS	1457078	1458505	+		Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)
PAAI_ECOLI	P76084	paaI	b1396	A	MD2	0	2			del-MD2		Cytoplasmic			P76084	140	CDS	1458495	1458917	+		Transcriptional repressor rcnR
PAAJ_ECOLI	P0C7L2	paaJ	b1397	A	MD2	0	2			del-MD2		Cytoplasmic			P0C7L2	401	CDS	1458917	1460122	+		Uncharacterized protein yefG (GalF transferase)
PAAK_ECOLI	P76085	paaK	b1398	A	MD2	0	2			del-MD2		Cytoplasmic			P76085	437	CDS	1460149	1461462	+		Lipopolysaccharide 1,2-N-acetylglucosaminetransferase (EC 2.4.1.56)
PAAX_ECOLI	P76086	paaX	b1399	A	MD2	0	2			del-MD2		Cytoplasmic			P76086	316	CDS	1461563	1462513	+		Small toxic protein shoB
PAAY_ECOLI	P77181	paaY	b1400	A	MD2	0	2			del-MD2		Cytoplasmic			P77181	196	CDS	1462495	1463085	+		Uncharacterized protein yjfZ
YDBA_ECOLI	P33666	ydbA	b4492	H		0	0			del-MD2	"Membrane; Single-pass membrane protein. "	Periplasmic	SEC	T5S	P33666	2003	pseudogene	1463416	1472037	+	autotransporter	Uncharacterized outer membrane protein ypjA
INSD2_ECOLI	P0CF54	insD-2	b1402	A		2	0	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD2	Cytoplasm. 	Cytoplasmic			P0CF54	301	CDS	1465945	1466850	-	new id	Transposase insD for insertion element IS2D
INSC2_ECOLI	P0CF41	insC-2	b1403	A		2	0	"Insertion Sequence;Insertion Element ;Transposase"		del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Cytoplasmic			P0CF41	121	CDS	1466808	1467218	-	new id	Transposase insC for insertion element IS2D
INSI3_ECOLI	P0CF89	insI-2	b1404	A	MD2	2	2	"Insertion Sequence;Insertion Element ;Transposase;Rhs Element;Prophage Integrase"		del-MD2		Cytoplasmic			P0CF89	383	CDS	1467382	1468533	+	new id	Transposase InsI for insertion sequence element IS30C
YDBC_ECOLI	P25906	ydbC	b1406	A	MD2	0	2			del-MD2		Cytoplasmic			P25906	286	CDS	1472245	1473105	+		Beta-ketoadipyl-CoA thiolase (EC 2.3.1.174) (3-oxoadipyl-CoA thiolase)
YDBD_ECOLI	P25907	ydbD	b1407	G	MD2	0	2			del-MD2	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P25907	768	CDS	1473168	1475474	+		Uncharacterized protein ydbD
YNBA_ECOLI	P76090	ynbA	b1408	B	MD2	0	2			del-MD2	"Cell membrane; Multi-pass membrane protein. "	Integral Membrane Protein	SEC		P76090	201	CDS	1475645	1476250	+		Inner membrane protein ynbA
YNBB_ECOLI	P76091	ynbB	b1409	B	MD2	0	2			del-MD2		-	SEC		P76091	298	CDS	1476250	1477146	+		Uncharacterized protein ynbB
YNBC_ECOLI	P76092	ynbC	b1410	A	MD2	0	2			del-MD2		Periplasmic			P76092	585	CDS	1477162	1478919	+		Uncharacterized protein ynbC
YNBD_ECOLI	P76093	ynbD	b1411	B	MD2	0	2			del-MD2	"Cell membrane; Lipid-anchor. "	Outer membrane Lipoprotein >EXP<	SEC		P76093	430	CDS	1478933	1480225	+		Uncharacterized protein ynbD
RHSE_ECOLI	P24211	rhsE	b1456	A		2	0	"pseudogene (Uniprot);Rhs Element"		del-MD32		-			P24211	682	CDS	1525914	1527962	+		Putative protein rhsE
YDCD_ECOLI	P31991	ydcD	b1457	B	MD32	0	2			del-MD32		Cytoplasmic	SEC		P31991	160	CDS	1527946	1528428	+		Uncharacterized protein ydcD (ORF-E2)
YNCI_ECOLI	P76119	yncI	b1458	B		2	0	"pseudogene (Uniprot);Transposase"		del-MD32		-	SEC		P76119	374	CDS	1528610	1529356	+		Putative transposase yncI
YNCI_ECOLI	P76119	yncM	b1459	B		2	0	"pseudogene (Uniprot);Transposase"		del-MD32		-	SEC		P76119	374	CDS	1529400	1529600	+		Putative transposase yncI
YDCC_ECOLI	P28917	ydcC	b1460	B	MD32	2	2	"Transposase;Rhs Element"		del-MD32		-	SEC		P28917	378	CDS	1529840	1530976	+		H repeat-associated protein ydcC (ORF-H)
PPTA_ECOLI	P31992	ydcE	b1461	A	MD32	0	2			del-MD32	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P31992	77	CDS	1531076	1531309	+		Tautomerase pptA (EC 5.3.2.-)
YDDH_ECOLI	P76121	yddH	b1462	A		0	0		Common Core	del-MD32		Cytoplasmic			P76121	189	CDS	1531306	1531875	-		Uncharacterized protein yddH
YDFG_ECOLI	P39831	ydfG	b1539	A		0	0		Common Core	del-MD8		-			P39831	248	CDS	1625541	1626287	+		NADP-dependent L-serine/L-allo-threonine dehydrogenase ydfG (EC 1.1.1.-)
YDFH_ECOLI	P0ACM2	ydfH	b1540	A	MD8	0	2		Common Core	del-MD8	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein			P0ACM2	228	CDS	1626376	1627062	+		Uncharacterized HTH-type transcriptional regulator ydfH
YDFZ_ECOLI	P64463	ydfZ	b1541	A	MD8	0	2			del-MD8	Cytoplasm. 	Cytoplasmic			P64463	67	CDS	1627239	1627442	+		Putative selenoprotein ydfZ
YDFI_ECOLI	P77260	ydfI	b1542	A	MD8	0	2		Common Core	del-MD8	Cytoplasm. 	-			P77260	486	CDS	1627477	1628937	-		Uncharacterized oxidoreductase ydfI (EC 1.-.-.-)
YDFJ_ECOLI	P77228	ydfJ	b1543	B		2	0	pseudogene (Uniprot)		del-MD8	"Cell outer membrane; Lipid-anchor. "	Integral Membrane Protein	SEC		P77228	427	CDS	1629026	1630309	-		Putative inner membrane metabolite transport protein ydfJ
YDFK_ECOLI	P76154	ydfK	b1544	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P76154	88	CDS	1631063	1631329	+		Uncharacterized protein ydfK
PINQ_ECOLI	P77170	pinQ	b1545	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P77170	196	CDS	1631646	1632236	+		Putative DNA-invertase from lambdoid prophage Qin
TFAQ_ECOLI	P76155	tfaQ	b1546	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		Cytoplasmic			P76155	191	CDS	1632334	1632909	-		Tail fiber assembly protein homolog from lambdoid prophage Qin
STFQ_ECOLI	P77515	stfQ	b1547	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		Cytoplasmic			P77515	320	CDS	1632909	1633871	-		Side tail fiber protein homolog from lambdoid prophage Qin
NOHA_ECOLI	P31061	nohA	b1548	A		2	0	pseudogene (Uniprot)		del-MD8		-			P31061	189	CDS	1633822	1634391	-		Putative prophage Qin DNA-packaging protein NU1 homolog
YNFO_ECOLI	Q2EES0	ynfO	b4533	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			Q2EES0	77	CDS	1634780	1635013	+		Uncharacterized protein ynfO from qin prophage
YDFO_ECOLI	P76156	ydfO	b1549	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		Cytoplasmic			P76156	136	CDS	1635071	1635481	+		Uncharacterized protein ydfO
GNSB_ECOLI	P77695	gnsB	b1550	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P77695	57	CDS	1635633	1635806	-		Protein gnsB
YNFN_ECOLI	P76157	ynfN	b1551	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		Cytoplasmic			P76157	51	CDS	1635978	1636133	-		Uncharacterized protein ynfN
CSPI_ECOLI	P0A986	cspI	b1552	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P0A986	70	CDS	1636479	1636691	-		Cold shock-like protein cspI (CPS-I)
RZPQ_ECOLI	P76158	ydfP	b1553	G	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		Cytoplasmic	SEC		P76158	165	CDS	1637054	1637551	-		Uncharacterized protein rzpQ
LYSQ_ECOLI	P76159	ydfQ	b1554	G	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-	SEC		P76159	177	CDS	1637548	1638081	-	Belongs to the glycosyl hydrolase 24 family. / Essential for lysis of bacterial cell wall, by showing cell wall hydrolyzing activity	Probable lysozyme from lambdoid prophage Qin (EC 3.2.1.17) (Endolysin) (Lysis protein) (Muramidase)
YDFR_ECOLI	P76160	ydfR	b1555	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P76160	103	CDS	1638078	1638389	-		Uncharacterized protein ydfR
ESSQ_ECOLI	P77237	essQ	b1556	B	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8	"Cell inner membrane; Single-pass membrane protein. "	-	SEC		P77237	71	CDS	1638394	1638609	-		Lysis protein S homolog from lambdoid prophage Qin
CSPB_ECOLI	P36995	cspB	b1557	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P36995	71	CDS	1639363	1639578	-		Cold shock-like protein cspB (CSP-B)
CSPF_ECOLI	P0A976	cspF	b1558	A	MD8	2	2	Prophage Integrase (EcoGene)		del-MD8		-			P0A976	70	CDS	1639879	1640091	+		Cold shock-like protein cspF (CSP-F)
