Accession	ECK	Gene	Protein name	emPAI	mRNA	Copy number	Sequence	Number of	Mascot	Number of	GRAVY	GO cellular component
JW3722	ECK3738	asnA	asparagine synthetase A	2,16	0,26	99,64	51,21	11	544	0	-0,289	GO:0005737 cytoplasm
JW3156	ECK3178	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2,78	0,28	127,26	35,56	13	543	0	0.000	GO:0009274 cell wall (sensu Bacteria)
JW3266	ECK3291	rplR	50S ribosomal subunit protein L18	30,62	9,88	1302,81	074	10	540	0	-0,395	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0122	ECK0125	can	carbonic anhydrase	16,78	1,74	727,17	59,55	11	539	0	-0,231	0
JW1261	ECK1263	rluB	23S rRNA pseudouridylate synthase	6,08	0,28	271,77	44,33	15	538	0	-0,585	0
JW0600	ECK0601	uspG	universal stress protein UP12	55,23	0,56	2308,02	87,32	8	532	0	-0,053	0
JW0155	ECK0158	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	009	-	398	56,47	7	531	0	0,306	0
JW2502	ECK2514	ndk	multifunctional nucleoside diphosphate kinase -!- apyrimidinic endonuclease -!- 3'-phosphodiesterase	41,17	002	1735,95	91,61	9	528	0	-0,082	GO:0042597 periplasmic space
JW3272	ECK3297	rplN	50S ribosomal subunit protein L14	50,79	9,48	2.128	69,92	9	526	0	-0,128	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW4344	ECK4373	deoC	2-deoxyribose-5-phosphate aldolase, NAD(P)-linked	1,85	0,34	85,75	056	10	524	0	-0,014	GO:0005737 cytoplasm
JW0092	ECK0095	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	1,82	4,44	084	035	8	524	0	-0,025	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0233	ECK0244	proA	gamma-glutamylphosphate reductase	1,89	-	87,54	31,65	11	523	0	-0,005	GO:0005737 cytoplasm
JW1839	ECK1851	eda	multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase -!- 2-keto-4-hydroxyglutarate aldolase -!- oxaloacetate decarboxylase	009	0,96	2108,45	61,03	9	522	0	0,322	GO:0005737 cytoplasm
JW1239	ECK1241	oppF	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	3,22	1,91	146,75	38,62	13	521	0	-0,041	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0001	ECK0002	thrA	fused aspartokinase I -!- homoserine dehydrogenase I	001	0,36	28,78	18,05	10	521	0	0,035	GO:0005737 cytoplasm
JW5932	ECK3799	hemC	hydroxymethylbilane synthase	5,16	-	232	61,66	13	520	0	-0,066	0
JW0932	ECK0940	uup	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	1,15	0,63	54,08	27,87	11	515	0	-0,467	GO:0005737 cytoplasm
JW2233	ECK2231	glpQ	periplasmic glycerophosphodiester phosphodiesterase	3,49	1,45	158,66	043	13	513	0	-0,553	GO:0042597 periplasmic space
JW4285	ECK4313	uxuA	mannonate hydrolase	2,59	-	118,82	44,16	12	513	0	-0,402	0
JW2121	ECK2126	dld	D-lactate dehydrogenase, FAD-binding, NADH independent	0,78	1,22	37,12	25,74	11	509	0	-0,445	GO:0005737 cytoplasm
JW2276	ECK2275	nuoI	NADH:ubiquinone oxidoreductase, chain I	006	9,81	276,96	77,78	11	508	0	-0,327	GO:0005737 cytoplasm
JW0129	ECK0132	panC	pantothenate synthetase	3,47	-	157,78	042	11	506	0	-0,108	GO:0005737 cytoplasm
JW0722	ECK0721	cydA	cytochrome d terminal oxidase, subunit I	3,64	3,72	165,27	21,07	10	505	9	0,397	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3995	ECK4027	malK	fused maltose transport subunit, ATP-binding component of ABC superfamily -!- regulatory protein	3,33	3,41	152	035	12	504	0	0.000	GO:0005737 cytoplasm
JW0823	ECK0829	dacC	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)	1,61	1,49	74,94	029	9	504	0	-0,078	GO:0042597 periplasmic space
JW3586	ECK3601	yibN	predicted rhodanese-related sulfurtransferase	18,31	6,68	791,36	60,14	7	498	1	0,064	0
JW5930	ECK3857	yihA	GTP-binding protein	009	-	398	44,44	9	498	0	-0,437	0
JW0888	ECK0896	ycaO	conserved protein	2,51	0,58	115,26	29,86	11	497	0	-0,196	0
JW2312	ECK2309	folC	bifunctional folylpolyglutamate synthase -!- dihydrofolate synthase	2,16	0,89	99,64	34,83	10	497	0	0,004	0
JW2766	ECK2790	ygdH	conserved protein	1,51	2,42	70,42	25,77	9	496	0	-0,107	0
JW3731	ECK3746	rbsK	ribokinase	4,41	2,34	199,06	41,75	8	495	0	0,046	GO:0005737 cytoplasm
JW1706	ECK1714	rplT	50S ribosomal subunit protein L20	11,59	16,21	507,96	48,31	10	493	0	-0,336	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1630	ECK1634	pdxH	pyridoxine 5'-phosphate oxidase	3,08	1,13	140,56	54,13	10	492	0	-0,621	0
JW3684	ECK3699	trmE	GTPase	1,81	001	83,95	38,11	12	492	0	-0,095	0
JW5898	ECK0958	yccW	predicted methyltransferase	3,22	-	146,75	41,14	12	492	0	0.000	0
JW1532	ECK1532	ydfG	L-allo-threonine dehydrogenase, NAD(P)-binding	7,25	5,01	322,33	44,35	9	490	0	-0,175	0
JW3144	ECK3166	folP	7,8-dihydropteroate synthase	2,41	0,28	110,81	29,79	8	489	0	-0,022	0
JW1771	ECK1780	mipA	scaffolding protein for murein synthesizing machinery	7,25	2,54	322,33	42,74	9	488	0	-0,402	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2075	ECK2084	gatD	galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding	2,41	7,48	110,81	23,99	8	486	0	0,139	0
JW3298	ECK3323	bfr	bacterioferritin, iron storage and detoxification protein	4,34	007	196	81,65	8	484	0	-0,472	GO:0005737 cytoplasm
JW3789	ECK3810	corA	magnesium/nickel/cobalt transporter	3,92	0,75	177,58	48,42	9	484	2	-0,156	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2663	ECK2683	gshA	gamma-glutamate-cysteine ligase	2,03	1,83	93,82	40,35	13	484	0	0.000	0
JW1737	ECK1746	astC	succinylornithine transaminase, PLP-dependent	1,42	1,29	66,35	30,79	9	483	0	-0,064	0
JW0384	ECK0388	rdgC	DNA-binding protein, non-specific	2,16	0,43	99,64	43,56	10	481	0	-0,222	GO:0005737 cytoplasm
JW4014	ECK4046	tyrB	tyrosine aminotransferase, tyrosine-repressible, PLP-dependent	1,85	0,65	85,75	29,22	8	481	0	0,009	GO:0005737 cytoplasm
JW0822	ECK0828	yliJ	predicted glutathione S-transferase	16,01	0,92	695	61,06	11	480	0	-0,198	0
JW1998	ECK2010	yeeZ	predicted epimerase, with NAD(P)-binding Rossmann-fold domain	2,87	1,97	131,26	057	9	480	0	0.000	0
JW2140	ECK2146	folE	GTP cyclohydrolase I	7,58	-	336,54	58,11	10	480	0	-0,121	0
JW0872	ECK0880	lrp	DNA-binding transcriptional dual regulator, leucine-binding	11,92	1,88	521,98	59,15	10	479	0	0.000	GO:0005737 cytoplasm
JW0804	ECK0810	ybiT	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	1,11	0,39	52,26	29,81	11	479	0	-0,381	GO:0005737 cytoplasm
JW5692	ECK3388	hslO	heat shock protein Hsp33	3,92	0,87	177,58	43,15	9	478	0	-0,313	0
JW3268	ECK3293	rpsH	30S ribosomal subunit protein S8	16,78	11,32	727,17	73,85	10	477	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2410	ECK2412	crr	glucose-specific enzyme IIA component of PTS	009	22,37	398	66,86	9	477	0	0,057	GO:0005737 cytoplasm
JW0173	ECK0177	hlpA	periplasmic chaperone	7,38	5,15	327,93	53,42	8	477	0	-0,473	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
JW2100	ECK2106	mrp	antiporter inner membrane protein	007	001	289,95	33,88	11	474	0	-0,002	0
JW3864	ECK3886	fdoH	formate dehydrogenase-O, Fe-S subunit	2,87	004	131,26	38,33	9	474	0	-0,361	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2497	ECK2509	yfgM	conserved protein	1,58	3,02	73,59	52,43	7	473	1	-0,222	0
JW3674	ECK3689	yidA	predicted hydrolase	2,98	-	136,13	39,63	8	473	0	-0,002	0
JW1650	ECK1654	purR	DNA-binding transcriptional repressor, hypoxanthine-binding	1,99	001	92,03	40,47	9	471	0	0.000	GO:0005737 cytoplasm
JW2019	ECK2028	wbbI	conserved protein	1,99	2,09	92,03	29,09	9	471	0	-0,197	0
JW0159	ECK0162	yaeH	conserved protein	009	1,93	398	80,47	12	469	0	-0,811	0
JW1816	ECK1826	kdgR	predicted DNA-binding transcriptional regulator	1,85	1,27	85,75	35,74	9	468	0	-0,278	GO:0005737 cytoplasm
JW1375	ECK1377	ldhA	fermentative D-lactate dehydrogenase, NAD-dependent	3,12	001	142,33	29,48	8	467	0	-0,101	0
JW2565	ECK2579	yfiF	predicted methyltransferase	1,87	1,82	86,65	38,84	10	467	0	-0,682	GO:0005737 cytoplasm
JW0424	ECK0428	yajG	predicted lipoprotein	6,74	-	300,32	54,69	6	467	0	0.000	0
JW2465	ECK2476	bcp	thiol peroxidase, thioredoxin-dependent	009	1,86	398	78,21	9	466	0	-0,431	GO:0005737 cytoplasm
JW3278	ECK3303	rpsS	30S ribosomal subunit protein S19	397,11	10,63	15625,86	70,65	8	465	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3573	ECK3588	mtlA	fused mannitol-specific PTS enzyme IIABC components	1,21	0,96	56,81	22,29	10	465	8	0,329	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2662	ECK2681	luxS	S-ribosylhomocysteinase	13,68	1,13	596,53	78,36	10	464	0	-0,323	0
JW0819	ECK0825	yliG	predicted SAM-dependent methyltransferase	1,47	0,35	68,61	34,01	11	463	0	0.000	0
JW0937	ECK0945	fabA	beta-hydroxydecanoyl thioester dehydrase	15,68	3,38	680,91	55,81	10	462	0	-0,012	0
JW0989	ECK0995	wrbA	predicted flavoprotein in Trp regulation	5,31	006	238,33	51,01	7	462	0	-0,082	GO:0005737 cytoplasm
JW3199	ECK3219	rpsI	30S ribosomal subunit protein S9	38,81	2,77	1639,38	66,92	13	460	0	-0,687	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3862	ECK3884	fdhE	formate dehydrogenase formation protein	4,27	1,45	192,93	40,13	10	460	0	-0,289	0
JW0317	ECK0323	yahK	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	3,08	2,42	140,56	30,66	9	459	0	-0,183	0
JW0406	ECK0410	nusB	transcription antitermination protein	009	0,97	398	67,63	9	457	0	-0,219	GO:0005737 cytoplasm
JW1216	ECK1219	narH	nitrate reductase 1, beta (Fe-S) subunit	1,41	1,39	066	24,41	11	456	0	-0,477	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1803	ECK1812	sdaA	L-serine deaminase I	2,55	0,35	117,04	28,19	10	455	0	-0,051	0
JW2341	ECK2338	fadL	long-chain fatty acid outer membrane transporter	1,74	0,59	081	025	7	455	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0460	ECK0465	ybaB	conserved protein	009	34,76	398	83,49	7	453	0	-0,473	0
JW2025	ECK2034	rfbD	dTDP-4-dehydrorhamnose reductase subunit, NAD(P)-binding, of dTDP-L-rhamnose synthase	6,02	1,61	269,17	49,83	10	453	0	-0,093	GO:0005737 cytoplasm
JW2505	ECK2517	sseA	3-mercaptopyruvate sulfurtransferase	4,41	9,73	199,06	54,45	10	451	0	-0,083	0
JW1072	ECK1071	rluC	23S rRNA pseudouridylate synthase	2,48	1,28	113,93	35,11	11	451	0	-0,461	GO:0005737 cytoplasm
JW0022	ECK0024	rpsT	30S ribosomal subunit protein S20	315,23	2,49	12491,64	51,72	8	449	0	-0,705	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1729	ECK1738	nadE	NAD synthetase, NH3/glutamine-dependent	4,08	1,87	185	65,45	12	449	0	0.000	0
JW2587	ECK2603	rplS	50S ribosomal subunit protein L19	099	8,18	4064,14	75,65	13	448	0	-0,527	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3213	ECK3233	tldD	predicted peptidase	1,37	1,01	64,08	28,48	8	448	0	-0,123	0
JW3172	ECK3194	yhbJ	predicted protein with nucleoside triphosphate hydrolase domain	2,59	0,84	118,82	49,65	9	447	0	-0,316	0
JW5243	ECK1492	ydeN	conserved protein	0,75	0,91	35,73	21,61	8	447	0	-0,575	0
JW3150	ECK3172	obgE	GTPase involved in cell partioning and DNA repair	1,85	0,22	85,75	34,62	9	445	0	-0,452	0
JW1195	ECK1192	pth	peptidyl-tRNA hydrolase	5,11	0,35	229,62	57,73	10	444	0	-0,124	GO:0005737 cytoplasm
JW3911	ECK3932	metL	fused aspartokinase II -!- homoserine dehydrogenase II	0,54	0,32	25,99	12,22	9	444	0	-0,101	0
JW5129	ECK0954	mgsA	methylglyoxal synthase	12,89	1,56	563,11	60,53	6	443	0	0,038	GO:0005737 cytoplasm
JW2316	ECK2313	usg	predicted semialdehyde dehydrogenase	009	0,53	398	35,01	10	443	0	0,061	0
JW2296	ECK2293	yfcD	predicted NUDIX hydrolase	16,78	1,17	727,17	45,56	7	442	0	-0,427	0
JW0901	ECK0909	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	2,87	1,34	131,26	52,02	9	438	0	-0,145	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0003	ECK0004	thrC	threonine synthase	1,75	1,16	81,25	42,29	10	438	0	-0,097	GO:0005737 cytoplasm
JW3179	ECK3202	gltB	glutamate synthase, large subunit	0,31	0,21	15,17	10,28	11	435	0	-0,224	0
JW5856	ECK3773	trxA	thioredoxin 1	45,42	2,04	1909,42	77,98	7	433	0	0,025	0
JW2513	ECK2526	iscU	scaffold protein	11,92	10,56	521,98	84,38	8	433	0	-0,355	0
JW5413	ECK2605	rimM	16S rRNA processing protein	5,58	7,37	250,07	56,59	8	433	0	0.000	0
JW3574	ECK3589	mtlD	mannitol-1-phosphate dehydrogenase, NAD(P)-binding	1,85	1,59	85,75	30,63	10	433	0	0.000	0
JW3896	ECK3917	glpX	fructose 1,6-bisphosphatase II	2,36	1,11	108,58	30,36	9	431	0	-0,016	GO:0005737 cytoplasm
JW3624	ECK3639	rpoZ	RNA polymerase, omega subunit	25,83	2,98	1104,73	92,31	7	430	0	-0,524	GO:0005737 cytoplasm
JW3259	ECK3284	rpsK	30S ribosomal subunit protein S11	20,54	7,81	884,64	61,24	8	430	0	-0,446	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3719	ECK3734	gidA	glucose-inhibited cell-division protein	0,86	0,27	041	23,05	10	429	0	-0,308	0
JW1327	ECK1329	uspE	stress-induced protein	3,87	-	175,38	51,27	11	428	0	-0,207	0
JW2644	ECK2663	stpA	DNA binding protein, nucleoid-associated	5,31	1,93	238,33	67,16	8	426	0	-0,794	GO:0005737 cytoplasm
JW4121	ECK4156	psd	phosphatidylserine decarboxylase	1,15	1,92	54,08	28,88	6	426	0	-0,093	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW1488	ECK1487	gadB	glutamate decarboxylase B, PLP-dependent	2,01	1,52	92,93	28,33	10	424	0	-0,297	GO:0005737 cytoplasm
JW1648	ECK1652	sodB	superoxide dismutase, Fe	11,92	21,05	521,98	44,56	7	423	0	-0,169	GO:0005737 cytoplasm
JW2536	ECK2549	hmp	fused nitric oxide dioxygenase -!- dihydropteridine reductase 2	1,98	0,49	91,58	26,26	9	423	0	0.000	0
JW5790	ECK4342	yjiA	predicted GTPase	2,41	1,67	110,81	34,91	8	421	0	-0,085	0
JW0514	ECK0518	ppiB	peptidyl-prolyl cis-trans isomerase B (rotamase B)	45,42	6,14	1909,42	063	9	418	0	-0,312	GO:0005737 cytoplasm
JW0175	ECK0179	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase	50,79	4,34	2.128	62,91	9	416	0	0,054	GO:0005737 cytoplasm
JW5791	ECK4344	yjiY	predicted inner membrane protein	2,59	-	118,82	18,44	9	416	16	0,725	0
JW3119	ECK3138	yraP	predicted protein	3,64	1,72	165,27	47,64	7	415	1	0,045	GO:0042597 periplasmic space
JW2929	ECK2957	yggX	protein that protects iron-sulfur proteins against oxidative damage	30,62	1,27	1302,81	097	11	414	0	-0,857	0
JW3222	ECK3241	yhdH	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	2,16	1,65	99,64	29,32	7	414	0	-0,004	0
JW3753	ECK3772	rhlB	ATP-dependent RNA helicase	1,21	1,39	56,81	29,93	10	414	0	-0,346	0
JW3168	ECK3190	yhbG	predicted transporter subunit -!- ATP-binding component of ABC superfamily	3,22	0,31	146,75	40,25	9	413	0	-0,124	GO:0005737 cytoplasm
JW1656	ECK1660	ydhQ	conserved protein	1,96	0,97	90,69	24,88	8	413	0	0,025	0
JW3203	ECK3223	degQ	serine endoprotease, periplasmic	1,02	0,27	48,14	25,71	6	413	1	0,055	0
JW0130	ECK0133	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	25,83	2,02	1104,73	46,59	7	412	0	0,138	GO:0005737 cytoplasm
JW1264	ECK1266	sohB	predicted inner membrane peptidase	2,16	2,79	99,64	42,12	9	412	2	-0,354	0
JW5344	ECK2090	fbaB	fructose-bisphosphate aldolase class I	1,64	1,31	76,29	038	8	412	0	-0,148	0
JW2891	ECK2920	mscS	mechanosensitive channel	1,89	0,77	87,54	28,67	6	411	3	0,494	0
JW0466	ECK0471	gsk	inosine/guanosine kinase	1,61	0,62	74,94	26,96	9	411	0	-0,346	0
JW3997	ECK4029	malM	maltose regulon periplasmic protein	6,94	001	308,96	28,43	9	410	0	-0,021	GO:0042597 periplasmic space
JW0731	ECK0730	pal	peptidoglycan-associated outer membrane lipoprotein	4,34	8,69	196	50,87	6	410	0	-0,454	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3379	ECK3403	malQ	4-alpha-glucanotransferase (amylomaltase)	0,78	0,54	37,12	16,28	9	410	0	-0,393	GO:0005737 cytoplasm
JW5947	ECK3377	aroK	shikimate kinase I	11,59	-	507,96	46,82	9	409	0	-0,621	0
JW3304	ECK3329	rpsL	30S ribosomal subunit protein S12	16,78	014	727,17	53,23	7	408	0	-0,623	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2703	ECK2728	mutS	methyl-directed mismatch repair protein	0,45	0,39	21,78	14,07	8	408	0	-0,238	GO:0005737 cytoplasm
JW5841	ECK2324	prmB	N5-glutamine methyltransferase	7,25	-	322,33	24,19	8	408	0	-0,153	0
JW3964	ECK3992	hupA	HU, DNA-binding transcriptional regulator, alpha subunit	099	22,49	4064,14	71,11	7	407	0	-0,228	GO:0005737 cytoplasm
JW3262	ECK3287	secY	preprotein translocase membrane subunit	4,88	9,13	220	15,12	8	407	10	0,602	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3352	ECK3376	aroB	3-dehydroquinate synthase	1,64	1,95	76,29	31,22	6	406	0	0,168	0
JW2712	ECK2737	nlpD	predicted outer membrane lipoprotein	1,45	7,37	67,71	21,37	7	405	0	-0,403	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2120	ECK2125	bglX	beta-D-glucoside glucohydrolase, periplasmic	0,49	-	23,65	12,55	8	404	0	0.000	GO:0042597 periplasmic space
JW1642	ECK1646	nemA	N-ethylmaleimide reductase, FMN-linked	2,51	0,85	115,26	36,99	10	403	0	-0,311	0
JW0893	ECK0901	cmk	cytidylate kinase	006	0,33	276,96	66,08	10	400	0	0.000	GO:0005737 cytoplasm
JW3940	ECK3964	murB	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding	2,16	1,06	99,64	31,58	8	399	0	-0,204	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5682	ECK3456	dcrB	periplasmic protein	6,94	2,83	308,96	52,43	7	398	0	-0,229	0
JW1112	ECK1112	potA	polyamine transporter subunit -!- ATP-binding component of ABC superfamily	0,86	001	041	23,81	7	398	0	-0,338	GO:0005737 cytoplasm
JW1328	ECK1330	fnr	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth	1,51	-	70,42	028	6	398	0	-0,274	GO:0005737 cytoplasm
JW0671	ECK0672	fldA	flavodoxin 1	18,31	1,71	791,36	65,91	7	397	0	-0,285	0
JW0740	ECK0746	galK	galactokinase	3,64	002	165,27	38,48	8	397	0	-0,105	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0554	ECK0557	ompT	"DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)"	2,16	9,44	99,64	031	9	397	0	-0,645	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2956	ECK2982	gss	fused glutathionylspermidine amidase -!- glutathionylspermidine synthetase	0,58	0,09	27,85	17,12	7	396	1	-0,342	0
JW5657	ECK3539	yiaD	predicted outer membrane lipoprotien	007	-	289,95	40,18	6	395	3	-0,073	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2998	ECK3021	parE	DNA topoisomerase IV, subunit B	0,87	0,33	41,26	19,68	8	394	0	-0,345	GO:0005737 cytoplasm
JW0931	ECK0939	ycbY	predicted methyltransferase	001	000	28,78	13,25	9	393	0	-0,359	0
JW5950	ECK4041	yjbN	tRNA-dihydrouridine synthase A	1,15	-	54,08	30,72	7	392	0	-0,291	0
JW2962	ECK2988	hybC	hydrogenase 2, large subunit	0,81	0,51	039	23,63	9	391	0	0.000	GO:0019866 inner membrane
JW5539	ECK3222	yhcB	conserved protein	12,34	-	540	71,97	8	390	1	-0,552	0
JW5505	ECK3033	yqiC	conserved protein	11,92	-	521,98	63,54	9	389	0	-0,818	0
JW5394	ECK2421	ucpA	predicted oxidoredutase, sulfate metabolism protein	3,87	-	175,38	40,68	9	389	0	0,046	0
JW2715	ECK2740	truD	pseudoruidine synthase	001	-	65,44	33,52	8	389	0	-0,269	0
JW0440	ECK0444	glnK	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	30,62	7,18	1302,81	82,14	10	388	0	0,067	0
JW1163	ECK1162	minE	cell division topological specificity factor	25,83	1,69	1104,73	85,23	8	386	0	-0,294	GO:0005737 cytoplasm
JW4020	ECK4051	ssb	Single-stranded DNA-binding protein	6,74	3,08	300,32	29,78	7	386	0	-0,708	GO:0005737 cytoplasm
JW4102	ECK4136	groS	Cpn10 chaperonin GroES, small subunit of GroESL	099	12,56	4064,14	88,66	9	385	0	-0,004	GO:0005737 cytoplasm
JW1721	ECK1730	katE	hydroperoxidase HPII(III) (catalase)	0,53	0,35	25,52	12,48	7	385	0	-0,498	GO:0005737 cytoplasm
JW3256	ECK3281	rplQ	50S ribosomal subunit protein L17	15,68	7,49	680,91	53,54	8	384	0	-0,565	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3462	ECK3480	uspA	universal stress global response regulator	30,62	2,56	1302,81	70,14	6	380	0	-0,056	GO:0005737 cytoplasm
JW1075	ECK1075	rpmF	50S ribosomal subunit protein L32	463,16	5,19	18139,54	54,39	5	378	0	-0,974	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW3678	ECK3693	dnaN	DNA polymerase III, beta subunit	1,45	-	67,71	25,68	7	378	0	-0,133	GO:0005737 cytoplasm
JW2987	ECK3010	parC	DNA topoisomerase IV, subunit A	0,78	0,23	37,12	18,88	10	377	0	-0,369	GO:0005737 cytoplasm
JW3136	ECK3156	rbfA	30s ribosome binding factor	3,64	001	165,27	70,68	8	376	0	-0,398	GO:0005737 cytoplasm
JW0739	ECK0745	galM	galactose-1-epimerase (mutarotase)	2,38	5,47	109,47	032	7	376	0	-0,466	GO:0042597 periplasmic space
JW2578	ECK2594	yfiA	cold shock protein associated with 30S ribosomal subunit	67,13	16,89	2788,66	84,96	9	375	0	-0,535	GO:0009281 cytosolic ribosome (sensu Bacteria)
JW0228	ECK0239	gpt	guanine-hypoxanthine phosphoribosyltransferase	25,83	0,49	1104,73	56,58	8	374	0	-0,048	GO:0005737 cytoplasm
JW0737	ECK0743	aroG	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	1,68	0,72	078	34,29	8	373	0	-0,182	0
JW0750	ECK0756	ybhE	6-phosphogluconolactonase	2,73	002	125,04	35,95	8	372	0	-0,224	0
JW1702	ECK1710	ihfA	integration host factor (IHF), DNA-binding protein, alpha subunit	22,71	2,75	975,11	75,76	9	370	0	-0,874	GO:0005737 cytoplasm
JW0655	ECK0650	ybeX	predicteed ion transport	2,59	1,74	118,82	44,86	10	370	0	-0,372	GO:0009274 cell wall (sensu Bacteria)
JW3646	ECK3662	ilvB	acetolactate synthase I, large subunit	1,37	0,43	64,08	22,42	7	370	0	0,041	0
JW3612	ECK3627	rpmB	50S ribosomal subunit protein L28	25,83	7,03	1104,73	66,67	9	369	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW0669	ECK0671	fur	DNA-binding transcriptional dual regulator	11,92	1,49	521,98	078	8	368	0	-0,559	GO:0005737 cytoplasm
JW5655	ECK3541	yiaF	conserved protein	12,34	-	540	38,14	7	367	1	-0,151	0
JW2537	ECK2550	glnB	regulatory protein P-II for glutamine synthetase	55,23	2,68	2308,02	66,96	11	365	0	0,009	GO:0005737 cytoplasm
JW1370	ECK1371	uspF	stress-induced protein, ATP-binding protein	12,34	4,39	540	65,97	8	365	0	0,022	0
JW3691	ECK3706	yieF	chromate reductase, Class I, flavoprotein	4,62	0,95	208,24	44,68	6	365	0	0.000	0
JW5536	ECK3200	arcB	hybrid sensory histidine kinase in two-component regulatory system with ArcA	0,66	1,13	31,57	014	9	365	2	-0,251	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0430	ECK0434	hupB	HU, DNA-binding transcriptional regulator, beta subunit	12,89	7,83	563,11	060	6	364	0	-0,042	GO:0005737 cytoplasm
JW3454	ECK3472	yhiI	predicted HlyD family secretion protein	1,29	001	60,45	026	9	361	1	-0,161	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3900	ECK3921	rraA	ribonuclease E (RNase E) inhibitor protein	18,31	3,52	791,36	59,01	7	360	0	0,054	0
JW5146	ECK1019	ycdW	2-ketoacid reductase	1,15	-	54,08	41,03	7	360	0	-0,258	0
JW0803	ECK0809	ybiS	conserved protein	1,78	0,51	083	40,85	6	359	1	-0,116	0
JW5755	ECK4238	yjgF	ketoacid-binding protein	12,34	2,44	540	77,34	6	358	0	0,086	0
