Accession	Gene Name	B Number	Class	Description	A (mRNA per cell cycle)_RNAseq	Mean_RNA FISH
P05852	ygjD	b3064	essential	predicted peptidase	3.507489076	
P64588	yqjI	b3071	noessential	predicted transcriptional regulator	2.770633606	
P42588	ygjG	b3073	noessential	"putrescine:2-oxoglutaric acid aminotransferase; PLP-dependent"	2.015494555	
P42589	ygjH	b3074	noessential	conserved protein		
P42604	uxaA	b3091	noessential	altronate hydrolase	0.252414059	
P64581	yqjD	b3098	noessential	conserved protein	8.881260121	0.55585
P42620	yqjG	b3102	noessential	predicted S-transferase		
P67660	yhaJ	b3105	noessential	predicted DNA-binding transcriptional regulator		
P11868	tdcD	b3115	noessential	"propionate kinase/acetate kinase C; anaerobic"		
P23524	yhaD	b3124	noessential	glycerate kinase I		
P23522	garL	b3126	noessential	alpha-dehydro-beta-deoxy-D-glucarate aldolase		
P67087	yraL	b3146	noessential	predicted methyltransferase	1.563868445	
P45464	yraM	b3147	noessential	conserved protein	2.493939623	
P45465	yraN	b3148	noessential	conserved protein	2.155870228	
P45475	yhbV	b3159	noessential	predicted protease		
P0A9P6	deaD	b3162	noessential	ATP-dependent RNA helicase		0.05749
P0AFB1	yhbM	b3163	noessential	conserved protein		
P05055	pnp	b3164	noessential	polynucleotide phosphorylase/polyadenylase	10.4966103	0.3027
P0A7G2	rbfA	b3167	noessential	30s ribosome binding factor	1.362466451	
P0AFF6	nusA	b3169	essential	transcription termination/antitermination L factor	10.73238524	0.28103
P0A8A8	yhbC	b3170	noessential	conserved protein	11.09981314	
P0A6E4	argG	b3172	noessential	argininosuccinate synthetase	1.816946833	
P31120	mrsA	b3176	essential	phosphoglucosamine mutase		
P0AAI3	hflB	b3178	essential	"protease; ATP-dependent zinc-metallo"		
P0C0R7	ftsJ	b3179	noessential	23S rRNA methyltransferase		
P0AGK4	yhbY	b3180	noessential	predicted RNA-binding protein	38.14435461	0.27632
P24228	dacB	b3182	noessential	D-alanyl-D-alanine carboxypeptidase		
P42641	yhbZ	b3183	essential	GTPase involved in cell partioning and DNA repair		
P0A749	murA	b3189	essential	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.70706299	
P0A9W6	yrbA	b3190	noessential	predicted DNA-binding transcriptional regulator	9.59748842	
P64602	yrbB	b3191	noessential	predicted protein		
P0ADV7	yrbC	b3192	noessential	predicted ABC-type organic solvent transporter	1.754402379	
P45395	yrbH	b3197	noessential	D-arabinose 5-phosphate isomerase		
P0ABZ4	yrbI	b3198	essential	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase		
P24255	rpoN	b3202	noessential	"RNA polymerase; sigma 54 (sigma N) factor"	3.140466104	
P0AFX0	yhbH	b3203	noessential	"predicted ribosome-associated; sigma 54 modulation protein"		0.44954
P0A894	yhbJ	b3205	noessential	predicted protein with nucleoside triphosphate hydrolase domain		
P0AEC3	arcB	b3210	noessential	hybrid sensory histidine kinase in two-component regulatory system with ArcA	1.440061606	
P0ADW6	yhcC	b3211	noessential	predicted Fe-S oxidoreductase		
P09831	gltB	b3212	noessential	"glutamate synthase; large subunit"	6.025639572	0.10845
P09832	gltD	b3213	noessential	"glutamate synthase; 4Fe-4S protein; small subunit"		0.21565
P0A761	b3223	b3223	noessential	predicted N-acetylmannosamine-6-P epimerase		
P0AFZ3	sspB	b3228	noessential	ClpXP protease specificity-enhancing factor	10.69193305	
P0ACA3	sspA	b3229	noessential	stringent starvation protein A	16.47142465	0.60774
P64616	yhcO	b3239	noessential	predicted barnase inhibitor		
P0AGG8	tldD	b3244	noessential	predicted peptidase	2.802845032	
P0A9X4	mreB	b3251	essential	"cell wall structural complex MreBCD; actin-like component MreB"	11.94127538	0.25036
P13518	yhdA	b3252	noessential	conserved inner membrane protein	2.092399378	
P0A8T1	prmA	b3259	noessential	methylase for 50S ribosomal subunit protein L11	1.653296403	
P0A9W9	yrdA	b3279	noessential	conserved protein	11.67381264	0.388
P15770	aroE	b3281	noessential	"dehydroshikimate reductase; NAD(P)-binding"	2.510758683	
P45748	yrdC	b3282	essential	predicted ribosome maturation factor	3.775543585	
P0A6K3	def	b3287	essential	peptide deformylase	19.24461847	
P23882	fmt	b3288	essential	10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase	5.471811141	
P0A7W1	rpsE	b3303	essential	30S ribosomal subunit protein S5		0.16754
P0CE47	tufA	b3339	noessential	protein chain elongation factor EF-Tu (duplicate of tufB)		1.7209
P0A6M8	fusA	b3340	essential	"protein chain elongation factor EF-G; GTP-binding"		0.91599
P45530	yheL	b3343	noessential	predicted intracellular sulfur oxidation protein	1.518632001	
P45531	yheM	b3344	noessential	predicted intraceullular sulfur oxidation protein	2.38993471	
P45532	yheN	b3345	noessential	predicted intracellular sulfur oxidation protein	5.630372289	
P45523	fkpA	b3347	noessential	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	12.01148278	
P0A9K9	slyD	b3349	noessential	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase)		0.23487
P45524	yheT	b3353	noessential	predicted hydrolase		
P0AEX5	prkB	b3355	noessential	predicted phosphoribulokinase	2.745774668	
P0ADX5	yhfG	b3362	noessential	predicted protein	8.214973384	
P45544	yhfR	b3375	noessential	predicted DNA-binding transcriptional regulator		
P45548	yhfV	b3379	noessential	predicted hydrolase		
P00954	trpS	b3384	essential	tryptophanyl-tRNA synthetase		0.42983
P0AEE8	dam	b3387	noessential	DNA adenine methylase	1.149695641	
P07639	aroB	b3389	noessential	3-dehydroquinate synthase	13.98626278	
P02918	mrcA	b3396	noessential	fused penicillin-binding protein 1a: murein transglycosylase -!- murein transpeptidase	1.620642202	
P64636	yrfG	b3399	noessential	predicted hydrolase	3.606938638	
P0ACG8	yrfH	b3400	noessential	ribosome-associated heat shock protein Hsp15		
P0A6Y5	yrfI	b3401	noessential	heat shock protein Hsp33		0.05051
P0AA16	ompR	b3405	noessential	DNA-binding response regulator in two-component regulatory system with EnvZ	2.541374712	
P0AEL3	feoA	b3408	noessential	"ferrous iron transporter; protein A"		
P63020	yhgI	b3414	noessential	predicted gluconate transport associated protein		0.30875
P15977	malQ	b3416	noessential	4-alpha-glucanotransferase (amylomaltase)	1.60497022	
P00490	malP	b3417	noessential	maltodextrin phosphorylase	1.813535785	
P13035	glpD	b3426	noessential	"sn-glycerol-3-phosphate dehydrogenase; aerobic; FAD/NAD(P)-binding"	0.790897797	
P0AC86	glgP	b3428	noessential	glycogen phosphorylase		
P0A6V1	glgC	b3430	noessential	glucose-1-phosphate adenylyltransferase		
P18956	ggt	b3447	noessential	gamma-glutamyltranspeptidase		
P0AG80	ugpB	b3453	noessential	glycerol-3-phosphate transporter subunit -!- periplasmic-binding component of ABC superfamily		
P0AD96	livJ	b3460	noessential	leucine/isoleucine/valine transporter subunit -!- periplasmic-binding component of ABC superfamily	4.91322568	
P0AC30	ftsX	b3462	essential	predicted transporter subunit: membrane component of ABC superfamily	2.633397688	
P0ADX9	yhhF	b3465	noessential	predicted methyltransferase	2.482555693	
P37617	zntA	b3469	noessential	"zinc; cobalt and lead efflux system"		
P0A890	yhhP	b3470	noessential	conserved protein required for cell growth		
P0AEE1	dcrB	b3472	noessential	periplasmic protein	3.685570549	
P0AFA9	nikC	b3478	noessential	nickel transporter subunit -!- membrane component of ABC superfamily		
P33593	nikD	b3479	noessential	nickel transporter subunit -!- ATP-binding component of ABC superfamily		
P33594	nikE	b3480	noessential	nickel transporter subunit -!- ATP-binding component of ABC superfamily		
P0A6Z6	yhhG	b3481	noessential	"DNA-binding transcriptional repressor; Ni-binding"		
P37626	yhiI	b3487	noessential	predicted HlyD family secretion protein	2.331102553	
P37634	yhiR	b3499	noessential	predicted DNA (exogenous) processing protein	1.43732293	
P06715	gor	b3500	noessential	glutathione oxidoreductase	1.114041773	
P0AB96	arsC	b3503	noessential	arsenate reductase		
P0AET2	hdeB	b3509	noessential	acid-resistance protein	53.81901624	
P0AES9	hdeA	b3510	noessential	stress response protein acid-resistance protein	134.8617851	
P63204	gadE	b3512	noessential	DNA-binding transcriptional activator	17.22915365	0.42501
P37636	yhiU	b3513	noessential	multidrug resistance efflux transporter		
P69908	gadA	b3517	noessential	"glutamate decarboxylase A; PLP-dependent"	3.119106542	0.34219
P37647	kdgK	b3526	noessential	ketodeoxygluconokinase	1.78235158	
P37648	yhjJ	b3527	noessential	predicted zinc-dependent peptidase		
P37650	yhjL	b3530	noessential	cellulose synthase subunit		
P37657	yhjS	b3536	noessential	conserved protein		
P37659	yhjU	b3538	noessential	predicted inner membrane protein		
P23847	dppA	b3544	noessential	dipeptide transporter -!- periplasmic-binding component of ABC superfamily	10.21570097	
P37666	yiaE	b3553	noessential	2-keto-D-gluconate reductase (glyoxalate reductase) (2-ketoaldonate reductase)		
P0ADK0	yiaF	b3554	noessential	conserved protein	7.751405159	
P0A9X9	cspA	b3556	noessential	major cold shock protein	29.00976158	0.14126
P37671	yiaJ	b3574	noessential	predicted DNA-binding transcriptional repressor		
P37678	sgbH	b3581	noessential	3-keto-L-gulonate 6-phosphate decarboxylase		
P37683	yiaV	b3586	noessential	"membrane fusion protein (MFP) component of efflux pump; signal anchor"		
P37685	aldB	b3588	noessential	aldehyde dehydrogenase B		
P14081	selB	b3590	noessential	selenocysteinyl-tRNA-specific translation factor		
P0ADK6	yibA	b3594	noessential	lyase containing HEAT-repeat		
P0ADK8	yibL	b3602	noessential	conserved protein	5.343421396	
P33232	lctD	b3605	noessential	"L-lactate dehydrogenase; FMN-linked"		
P0AGJ7	yibK	b3606	noessential	predicted rRNA methylase		
P0A6S7	gpsA	b3608	essential	glycerol-3-phosphate dehydrogenase (NAD+)	2.836116099	
P0AG86	secB	b3609	noessential	protein export chaperone	11.20686608	0.48273
P0AG27	yibN	b3611	noessential	predicted rhodanese-related sulfurtransferase	7.467956275	
P37689	yibO	b3612	noessential	"phosphoglycero mutase III; cofactor-independent"		
P0AB77	kbl	b3617	noessential	glycine C-acetyltransferase		
P25666	htrL	b3618	noessential	predicted protein	2.680274436	
P67910	rfaD	b3619	noessential	"ADP-L-glycero-D-mannoheptose-6-epimerase; NAD(P)-binding"	7.922583716	0.24418
P0AC75	kdtA	b3633	essential	3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)	1.528583091	
P05523	mutM	b3635	noessential	formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase		
P0ABQ0	dfp	b3639	essential	"fused 4'-phosphopantothenoylcysteine decarboxylase -!- phosphopantothenoylcysteine synthetase; FMN-binding"	2.487550147	
P06968	dut	b3640	essential	deoxyuridinetriphosphatase	2.674262253	
P60546	gmk	b3648	essential	guanylate kinase	8.572701988	
P0A800	rpoZ	b3649	noessential	"RNA polymerase; omega subunit"	11.75886744	1.0321
P0AG24	spoT	b3650	essential	"bifunctional (p)ppGpp synthetase II and guanosine-3';5'-bis pyrophosphate 3'-pyrophosphohydrolase"	3.959496477	
P24230	recG	b3652	noessential	ATP-dependent DNA helicase	0.680675377	
P31433	yicH	b3655	noessential	conserved protein	1.2932084	
P04846	nlpA	b3661	noessential	cytoplasmic membrane lipoprotein-28	2.010467794	
P08142	ilvB	b3671	noessential	"acetolactate synthase I; large subunit"		
P0ADM0	yidH	b3676	noessential	conserved inner membrane protein		
P0C058	hslS	b3686	noessential	heat shock chaperone		
P0C054	hslT	b3687	noessential	heat shock chaperone		0.28592
P31455	yidR	b3689	noessential	conserved protein	1.390484677	
P0AES6	gyrB	b3699	essential	"DNA gyrase; subunit B"		0.36174
P03004	dnaA	b3702	essential	"chromosomal replication initiator protein DnaA; DNA-binding transcriptional dual regulator"	7.393099005	
P0A7Y8	rnpA	b3704	essential	protein C5 component of RNase P	6.825150044	
P25522	thdF	b3706	noessential	GTPase		0.77529
P0A853	tnaA	b3708	noessential	"tryptophanase/L-cysteine desulfhydrase; PLP-dependent"	4.230372392	0.09217
P0AGE6	yieF	b3713	noessential	"chromate reductase; Class I; flavoprotein"		
P11989	bglG	b3723	noessential	transcriptional antiterminator of the bgl operon		
P0AAH0	pstB	b3725	noessential	phosphate transporter subunit -!- ATP-binding component of ABC superfamily	14.68063249	0.33157
P0AGH8	pstC	b3727	noessential	phosphate transporter subunit -!- membrane component of ABC superfamily	20.50768187	0.24457
P0AG82	pstS	b3728	noessential	phosphate transporter subunit -!- periplasmic-binding component of ABC superfamily	132.9554438	
P0ACC7	glmU	b3730	essential	fused N-acetyl glucosamine-1-phosphate uridyltransferase -!- glucosamine-1-phosphate acetyl transferase	6.799609488	
P0A6E6	atpC	b3731	noessential	"F1 sector of membrane-bound ATP synthase; epsilon subunit"		
P0ABB4	atpD	b3732	noessential	"F1 sector of membrane-bound ATP synthase; beta subunit"		3.2585
P0ABA6	atpG	b3733	noessential	"F1 sector of membrane-bound ATP synthase; gamma subunit"		
P0ABB0	atpA	b3734	noessential	"F1 sector of membrane-bound ATP synthase; alpha subunit"		0.19653
P0ABA4	atpH	b3735	noessential	"F1 sector of membrane-bound ATP synthase; delta subunit"	16.23167566	0.79412
P0A6U5	gidB	b3740	noessential	"methyltransferase; SAM-dependent methyltransferase; glucose-inhibited cell-division protein"	2.540292294	
P0ACI6	asnC	b3743	noessential	DNA-binding transcriptional dual regulator	0.872985255	
P0ADN0	yieM	b3745	noessential	predicted von Willibrand factor containing protein		
P31473	yieN	b3746	noessential	fused predicted transcriptional regulator: sigma54 activator protein -!- conserved protein	2.528612877	
P02925	rbsB	b3751	noessential	D-ribose transporter subunit -!- periplasmic-binding compoent of ABC superfamily	2.188958023	
P05791	ilvD	b3771	noessential	dihydroxyacid dehydratase	0.839977944	
P04968	ilvA	b3772	noessential	threonine deaminase		
P0A9L5	ppiC	b3775	noessential	peptidyl-prolyl cis-trans isomerase C (rotamase C)	1.627818976	
P09980	rep	b3778	noessential	DNA helicase and single-stranded DNA-dependent ATPase	1.674523334	
P25552	gpp	b3779	noessential	guanosine pentaphosphatase/exopolyphosphatase	4.540985407	
P0A8J8	rhlB	b3780	noessential	ATP-dependent RNA helicase	9.77610796	
P0AA25	trxA	b3781	noessential	thioredoxin 1	25.84112053	0.18986
P0AG30	rho	b3783	essential	transcription termination factor	15.30168117	
P0ACB7	hemY	b3802	noessential	predicted protoheme IX synthesis protein	2.343559567	
P09127	hemX	b3803	noessential	predicted uroporphyrinogen III methylase	4.496332543	
P27838	cyaY	b3807	noessential	"frataxin; iron-binding and oxidizing protein"	10.03368042	
P0A6K1	dapF	b3809	noessential	diaminopimelate epimerase	7.253417747	
P23305	yigA	b3810	noessential	conserved protein	4.909489114	
P03018	uvrD	b3813	noessential	DNA-dependent ATPase I and helicase II	1.595717373	
P0ABI4	corA	b3816	noessential	magnesium/nickel/cobalt transporter	5.366874496	
P0A921	pldA	b3821	noessential	outer membrane phospholipase A	2.852949206	
P15043	recQ	b3822	noessential	ATP-dependent DNA helicase	1.4341184	
P07000	pldB	b3825	noessential	lysophospholipase L(2)	3.66124303	
P0AG71	yigN	b3832	noessential	predicted recombination limiting protein		
P0A887	ubiE	b3833	noessential	"bifunctional 2-octaprenyl-6-methoxy-1;4-benzoquinone methylase and S-adenosylmethionine:2-DMK methyltransferase"	5.871596752	
P69428	b3836	b3836	noessential	TatABCE protein translocation system subunit		0.15672
P69425	b3838	b3838	noessential	TatABCE protein translocation system subunit		
P21151	fadA	b3845	noessential	3-ketoacyl-CoA thiolase (thiolase I)		
P21177	fadB	b3846	noessential	fused 3-hydroxybutyryl-CoA epimerase and delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase and enoyl-CoA hydratase -!- 3-hydroxyacyl-CoA dehydrogenase	0.176411629	
P21165	pepQ	b3847	noessential	proline dipeptidase	2.935121318	
P27862	yigZ	b3848	noessential	predicted elongation factor	1.387766118	
P32125	mobB	b3856	noessential	molybdopterin-guanine dinucleotide biosynthesis protein B	1.711740891	
P32173	mobA	b3857	noessential	molybdopterin-guanine dinucleotide synthase		
P0ADP9	yihD	b3858	noessential	conserved protein	3.06702323	
P0AEG4	dsbA	b3860	noessential	periplasmic protein disulfide isomerase I	3.647882757	
P00582	polA	b3863	noessential	fused DNA polymerase I 5'->3' exonuclease -!- 3'->5' polymerase -!- 3'->5' exonuclease	4.178249505	
P0A8H6	yihI	b3866	noessential	conserved protein	3.848857609	
P32131	hemN	b3867	noessential	"coproporphyrinogen III oxidase; SAM and NAD(P)H dependent; oxygen-independent"	1.44635872	
P0AFB5	glnL	b3869	noessential	sensory histidine kinase in two-component regulatory system with GlnG		
P32132	yihK	b3871	noessential	GTP-binding protein		
P32138	yihQ	b3878	noessential	alpha-glucosidase		
P0A8Y3	yihX	b3885	noessential	predicted hydrolase	4.033173461	
P0A6M4	yihZ	b3887	noessential	D-tyr-tRNA(Tyr) deacylase		
P0ADQ2	yiiD	b3888	noessential	predicted acetyltransferase	2.095254035	
P32177	fdhD	b3895	noessential	formate dehydrogenase formation protein		
P32153	frvX	b3898	noessential	"predicted endo-1;4-beta-glucanase"		
P32157	yiiM	b3910	noessential	conserved protein	3.360088534	
P0AE88	cpxR	b3912	noessential	DNA-binding response regulator in two-component regulatory system with CpxA	3.54371108	
P0A796	pfkA	b3916	noessential	6-phosphofructokinase I	5.797001285	
P0A858	tpiA	b3919	noessential	triosephosphate isomerase	15.09416173	0.26567
P0AF36	yiiU	b3928	noessential	conserved protein	29.80977577	0.24736
P0A8R0	menG	b3929	noessential	ribonuclease E (RNase E) inhibitor protein		
P0A6H5	hslU	b3931	noessential	molecular chaperone and ATPase component of HslUV protease	0.685095489	0.17059
P0A8U6	metJ	b3938	noessential	"DNA-binding transcriptional repressor; S-adenosylmethionine-binding"		0.17259
P00935	metB	b3939	noessential	"cystathionine gamma-synthase; PLP-dependent"	1.46305426	
P00562	metL	b3940	noessential	fused aspartokinase II -!- homoserine dehydrogenase II	0.830575555	
P13029	katG	b3942	noessential	catalase/hydroperoxidase HPI(I)		
P0A9S5	gldA	b3945	noessential	"glycerol dehydrogenase; NAD"		
P69816	frwB	b3950	noessential	predicted enzyme IIB component of PTS		
P32674	pflD	b3951	noessential	predicted formate acetyltransferase 2 (pyruvate formate lyase II)	0.201096003	
P00864	ppc	b3956	noessential	phosphoenolpyruvate carboxylase	6.077739882	
P23908	argE	b3957	noessential	acetylornithine deacetylase	1.001666634	
P0ACQ4	oxyR	b3961	noessential	DNA-binding transcriptional dual regulator	2.401244959	
P0ACU5	fabR	b3963	noessential	DNA-binding transcriptional repressor		
P23003	trmA	b3965	noessential	tRNA (uracil-5-)-methyltransferase	3.673394436	
P22634	murI	b3967	essential	glutamate racemase		
P08373	murB	b3972	essential	"UDP-N-acetylenolpyruvoylglucosamine reductase; FAD-binding"	6.977292617	
P06709	birA	b3973	essential	"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase and DNA-binding transcriptional repressor; bio-5'-AMP-binding"	2.977192821	
P0CE48	tufB	b3980	noessential	protein chain elongation factor EF-Tu (duplicate of tufA)		0.59955
P0A8V2	rpoB	b3987	essential	"RNA polymerase; beta subunit"		0.49888
P32664	yjaD	b3996	noessential	NADH pyrophosphatase		
P29680	hemE	b3997	noessential	uroporphyrinogen decarboxylase	3.388881167	
P68739	nfi	b3998	noessential	endonuclease V	4.01985014	
P32680	yjaG	b3999	noessential	conserved protein	2.608379409	
P0ACF0	hupA	b4000	noessential	"HU; DNA-binding transcriptional regulator; alpha subunit"	49.37696073	0.3139
P14377	hydH	b4003	noessential	sensory histidine kinase in two-component regulatory system with ZraR		
P23325	arpA	b4017	noessential	regulator of acetyl CoA synthetase		
P0A7C6	pepE	b4021	noessential	(alpha)-aspartyl dipeptidase		
P0A6T1	pgi	b4025	noessential	glucosephosphate isomerase	9.795853013	
P68187	malK	b4035	noessential	"fused maltose transport subunit; ATP-binding component of ABC superfamily -!- regulatory protein"	3.188691122	0.70273
P26602	ubiC	b4039	noessential	chorismate pyruvate lyase	5.37827331	
P0A7A7	plsB	b4041	essential	glycerol-3-phosphate O-acyltransferase	1.762942628	
P68206	yjbJ	b4045	noessential	predicted stress response protein		
P28304	qor	b4051	noessential	"quinone oxidoreductase; NADPH-dependent"	2.976157806	
P0ACB0	dnaB	b4052	essential	replicative DNA helicase	5.301667051	
P0A6B4	alr	b4053	noessential	"alanine racemase 1; PLP-binding; biosynthetic"		
P0AF48	yjbQ	b4056	noessential	conserved protein	5.092785935	
P0A698	uvrA	b4058	noessential	ATPase and DNA damage recognition protein of nucleotide excision repair excinuclease UvrABC	1.257423132	
P32718	yjcT	b4084	noessential	D-allose kinase		
P32721	yjcW	b4087	noessential	fused D-allose transporter subunits of ABC superfamily: ATP-binding components		
P37351	rpiB	b4090	noessential	ribose 5-phosphate isomerase B/allose 6-phosphate isomerase	0.975773378	
P16692	phnP	b4092	noessential	carbon-phosphorus lyase complex accessory protein		
P16690	phnN	b4094	noessential	"ribose 1;5-bisphosphokinase"		
P16678	phnK	b4097	noessential	carbon-phosphorus lyase complex subunit		
P16688	phnJ	b4098	noessential	carbon-phosphorus lyase complex subunit		
P16682	phnD	b4105	noessential	phosphonate/organophosphate ester transporter subunit -!- periplasmic binding component of ABC superfamily	8.732777343	
P30844	basS	b4112	noessential	sensory histidine kinase in two-component regulatory system with BasR		
P30843	basR	b4113	noessential	DNA-binding response regulator in two-component regulatory system with BasS	1.111191042	
P28629	adiA	b4117	noessential	biodegradative arginine decarboxylase		
P0ACH8	melR	b4118	noessential	DNA-binding transcriptional dual regulator		
P0AD01	yjdG	b4124	noessential	DNA-binding response regulator in two-component regulatory system with DcuS		
P0AF59	yjdI	b4126	noessential	conserved protein	2.390741597	
P39274	yjdJ	b4127	noessential	predicted acyltransferase with acyl-CoA N-acyltransferase domain	2.935768221	
P0A8N5	lysU	b4129	noessential	"lysine tRNA synthetase; inducible"	0.411782523	
P0A9H3	cadA	b4131	noessential	lysine decarboxylase 1	0.152583712	
P0ACU7	yjdC	b4135	noessential	predicted transcriptional regulator	4.684826118	
P0AC38	aspA	b4139	noessential	aspartate ammonia-lyase	1.860885741	
P0A6F9	groS	b4142	essential	"Cpn10 chaperonin GroES; small subunit of GroESL"		0.34161
P0A8N7	yjeA	b4155	noessential	predicted lysyl-tRNA synthetase		
P39286	yjeQ	b4161	essential	ribosome small subunit-dependent GTPase A		
P0AF67	yjeE	b4168	essential	ATPase with strong ADP affinity	5.640335341	
P26365	amiB	b4169	noessential	N-acetylmuramoyl-l-alanine amidase II	1.292670344	
P23367	mutL	b4170	noessential	methyl-directed mismatch repair protein	1.352839075	
P0A6X3	hfq	b4172	noessential	"HF-I; host factor for RNA phage Q beta replication"	46.07581019	0.72468
P0ABC7	hflK	b4174	noessential	modulator for HflB protease specific for phage lambda cII repressor	3.345278291	
P0ABC3	hflC	b4175	noessential	modulator for HflB protease specific for phage lambda cII repressor	2.375245425	
P0A7D4	purA	b4177	noessential	adenylosuccinate synthetase	12.14240877	1.0938
P0AF63	yjeB	b4178	noessential	predicted DNA-binding transcriptional regulator	3.908936181	
P21499	vacB	b4179	noessential	"exoribonuclease R; RNase R"		0.16048
P63177	yjfH	b4180	noessential	23S rRNA (Gm2251)-methyltransferase		
P33224	aidB	b4187	noessential	isovaleryl CoA dehydrogenase	1.617957609	
P0A9W0	yjfQ	b4191	noessential	DNA-binding transcriptional dual regulator		
P0A9L3	fklB	b4207	noessential	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	6.112389226	0.89619
P69506	ytfE	b4209	noessential	predicted regulator of cell morphogenesis and cell wall metabolism		
P39315	ytfG	b4211	noessential	NAD(P)H:quinone oxidoreductase		
P0AE45	ytfL	b4218	noessential	predicted inner membrane protein	1.208045609	
P39321	ytfN	b4221	noessential	conserved protein	1.226465684	
P0AE48	ytfP	b4222	noessential	conserved protein		
P0A7A9	ppa	b4226	essential	inorganic pyrophosphatase	21.48718202	0.19839
P0A8X0	yjgA	b4234	noessential	conserved protein	6.997353691	
P0A9N8	nrdG	b4237	noessential	anaerobic ribonucleotide reductase activating protein	1.819072725	
P28903	nrdD	b4238	noessential	anaerobic ribonucleoside-triphosphate reductase	0.70097161	
P0ABB8	mgtA	b4242	noessential	magnesium transporter	3.779449885	
P0AF93	yjgF	b4243	noessential	ketoacid-binding protein		0.37501
P0AF96	yjgK	b4252	noessential	conserved protein		
P39336	yjgL	b4253	noessential	predicted protein		
P0AF90	yjgD	b4255	noessential	conserved protein		0.10352
P07118	valS	b4258	essential	valyl-tRNA synthetase	2.604467636	0.08708
P28905	holC	b4259	noessential	"DNA polymerase III; chi subunit"	3.599735935	
P39342	yjgR	b4263	noessential	predicted ATPase	0.787695886	
P0A9P9	idnO	b4266	noessential	5-keto-D-gluconate-5-reductase		
P03835	yi41	b4278	noessential	"KpLE2 phage-like element; IS4 predicted transposase"		
P39358	yjhG	b4297	noessential	"KpLE2 phage-like element; predicted dehydratase"		
P39359	yjhH	b4298	noessential	"KpLE2 phage-like element; predicted lyase/synthase"		
P39360	yjhI	b4299	noessential	"KpLE2 phage-like element; predicted DNA-binding transcriptional regulator"		
P39362	sgcE	b4301	noessential	"KpLE2 phage-like element; predicted epimerase"		
P39367	yjhP	b4306	noessential	"KpLE2 phage-like element; predicted methyltransferase"		
P39371	yjhT	b4310	noessential	conserved protein	0.32352863	
P0ADH5	fimB	b4312	noessential	tyrosine recombinase/inversion of on/off regulator of fimA	1.126688237	
P0ADH7	fimE	b4313	noessential	tyrosine recombinase/inversion of on/off regulator of fimA		
P30130	fimD	b4317	noessential	"outer membrane usher protein; type 1 fimbrial synthesis"	0.363873177	
P39376	yjiE	b4327	noessential	predicted DNA-binding transcriptional regulator	0.511068788	
P39385	yjiN	b4336	noessential	conserved inner membrane protein	0.51544387	
P39391	yjiT	b4342	noessential	conserved protein	0.129012999	
P15005	mcrB	b4346	noessential	"5-methylcytosine-specific restriction enzyme McrBC; subunit McrB"		
P05719	hsdS	b4348	noessential	specificity determinant for hsdM and hsdR	0.415575938	
P08957	hsdM	b4349	noessential	DNA methylase M	0.925965074	
P24202	mrr	b4351	noessential	methylated adenine and cytosine restriction protein	1.471636103	
P24203	yjiA	b4352	noessential	predicted GTPase	1.266956346	
P39396	yjiY	b4354	noessential	predicted inner membrane protein	0.133024553	0.21777
P0A8J2	dnaT	b4362	essential	DNA biosynthesis protein (primosomal protein I)		
P39405	fhuF	b4367	noessential	ferric iron reductase involved in ferric hydroximate transport	4.679107558	
P28632	holD	b4372	noessential	"DNA polymerase III; psi subunit"		
P0A7I4	prfC	b4375	noessential	peptide chain release factor RF-3	4.98436944	
P0AFH8	osmY	b4376	noessential	periplasmic protein	9.680731031	
P39407	yjjU	b4377	noessential	predicted esterase	2.046566462	
P39408	yjjV	b4378	noessential	predicted DNase	1.625635369	
P37342	yjjI	b4380	noessential	conserved protein		
P0A6K6	deoB	b4383	noessential	phosphopentomutase		0.32962
P0ABP8	deoD	b4384	noessential	purine-nucleoside phosphorylase		0.37876
P32099	lplA	b4386	noessential	lipoate-protein ligase A	0.68493656	
P0AGC7	smp	b4387	noessential	conserved protein		
P0ACI0	rob	b4396	noessential	DNA-binding transcriptional activator	15.26262506	
P52074	glcF	b4467	noessential	glycolate oxidase iron-sulfur subunit	0.66976403	
