Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Copy number per cell	mRNA	ABS_CALL	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0ACF8	JW1225	ECK1232	hns	global DNA-binding transcriptional dual regulator H-NS	13.25	578.35	19.14	2	65.69	11	708	0	-0.751	GO:0019861 flagellum -!- GO:0005737 cytoplasm
P0C8J8	JW2082	ECK2088	gatZ	D-tagatose 1.6-bisphosphate aldolase 2. subunit	43.67	1838.05	18.75	2	74.29	22	1271	0	-0.121	0
P0A8M3	JW1709	ECK1717	thrS	threonyl-tRNA synthetase	11.07	485.85	18.32	2	74.61	45	2209	0	-0.494	GO:0005737 cytoplasm
P0A7M9	JW3907	ECK3928	rpmE	50S ribosomal subunit protein L31	45.42	1909.42	18.13	2	72.86	6	308	0	-0.649	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P69776	JW1667	ECK1673	lpp	murein lipoprotein	9	398	17.76	2	57.69	4	274	0	-0.314	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A707	JW5829	ECK1716	infC	protein chain initiation factor IF-3	16.78	727.17	17.31	2	60.56	10	624	0	-0.671	GO:0005737 cytoplasm
P0A953	JW2320	ECK2317	fabB	3-oxoacyl-[acyl-carrier-protein] synthase I	33	1384.41	17.01	2	70.44	18	992	0	0.008	GO:0005737 cytoplasm
P0AD49	JW2578	ECK2594	yfiA	cold shock protein associated with 30S ribosomal subunit	67.13	2788.66	16.89	2	84.96	9	375	0	-0.535	GO:0009281 cytosolic ribosome (sensu Bacteria)
P0A7L3	JW1706	ECK1714	rplT	50S ribosomal subunit protein L20	11.59	507.96	16.21	2	48.31	10	493	0	-0.336	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AG59	JW3269	ECK3294	rpsN	30S ribosomal subunit protein S14	50.79	2.128	15.83	2	47.52	8	299	0	-0.795	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AE08	JW0598	ECK0599	ahpC	alkyl hydroperoxide reductase. C22 subunit	141.51	5.746	15.63	2	95.19	18	1179	0	-0.278	0
P0A7K2	JW3949	ECK3977	rplL	50S ribosomal subunit protein L7/L12	9.999	356580.75	15.03	2	88	13	659	0	0.295	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A9Q7	JW1228	ECK1235	adhE	fused acetaldehyde-CoA dehydrogenase -!- iron-dependent alcohol dehydrogenase -!- pyruvate-formate lyase deactivase	11.16	47.83	14.52	2	67.45	42	2103	0	-0.066	0
P24182	JW1079	ECK1079	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	16.01	695	14.12	2	66.39	11	725	0	0.000	GO:0005737 cytoplasm
P0ABT2	JW0797	ECK0801	dps	Fe-binding and storage protein	30.62	1302.81	13.68	2	81.44	15	729	0	-0.214	GO:0005737 cytoplasm
P0A7H6	JW0461	ECK0466	recR	gap repair protein	0.67	32.03	13.57	2	10.95	2	102	0	-0.184	GO:0005737 cytoplasm
P02359	JW3303	ECK3328	rpsG	30S ribosomal subunit protein S7	162.79	6582.23	13.54	2	78.21	19	1068	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P23843	JW1235	ECK1237	oppA	oligopeptide transporter subunit -!- periplasmic-binding component of ABC superfamily	11.12	487.98	13.15	2	80.29	31	1650	1	-0.436	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
P69797	JW1806	ECK1815	manX	fused mannose-specific PTS enzyme IIAB components	12.69	554.63	13.08	2	65.02	20	1023	0	-0.058	GO:0005737 cytoplasm
P0A6M8	JW3302	ECK3327	fusA	protein chain elongation factor EF-G	48.03	2.016	12.97	2	74.72	43	2995	0	-0.286	GO:0005737 cytoplasm
P0A7J3	JW3948	ECK3976	rplJ	50S ribosomal subunit protein L10	19.31	833.23	12.93	2	70.91	12	652	0	0.045	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P37689	JW3587	ECK3602	gpmI	phosphoglycero mutase III. cofactor-independent	4.18	188.99	12.92	2	49.42	17	770	0	-0.195	GO:0005737 cytoplasm
P77173	JW2404	ECK2407	zipA	cell division protein involved in Z ring assembly	0.67	32.03	12.88	2	8.54	2	108	1	-0.606	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P69831	JW2076	ECK2085	gatC	galactitol-specific enzyme IIC component of PTS	2.59	118.82	12.75	2	6.87	4	220	11	0.824	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A6F9	JW4102	ECK4136	groS	Cpn10 chaperonin GroES. small subunit of GroESL	99	4064.14	12.56	2	88.66	9	385	0	-0.004	GO:0005737 cytoplasm
P0A7V0	JW0164	ECK0168	rpsB	30S ribosomal subunit protein S2	340.45	13.459	12.55	2	83	22	1280	0	-0.268	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P09373	JW0886	ECK0894	pflB	pyruvate formate lyase I	19.59	641.14	12.47	2	73.68	48	2739	0	0.000	GO:0005737 cytoplasm
P02358	JW4158	ECK4196	rpsF	30S ribosomal subunit protein S6	176.83	7.132	12.28	2	87.79	13	799	0	-0.745	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A8M6	JW1989	ECK2001	yeeX	conserved protein	3.22	146.75	12.28	2	49.62	4	172	0	-0.694	0
P0ABQ2	JW5526	ECK3113	garR	tartronate semialdehyde reductase	5.16	232	12.19	2	81.76	15	773	0	0.264	0
P68066	JW2563	ECK2577	yfiD	pyruvate formate lyase subunit	78.43	3242.65	12.04	2	81.89	13	746	0	-0.332	0
P0A7W1	JW3265	ECK3290	rpsE	30S ribosomal subunit protein S5	40.25	1698.32	11.95	2	79.04	13	803	0	-0.101	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7T3	JW2590	ECK2606	rpsP	30S ribosomal subunit protein S16	67.13	2788.66	11.84	2	58.54	7	333	0	-0.329	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P08200	JW1122	ECK1122	icd	"e14 prophage; isocitrate dehydrogenase. specific for NADP+"	77.14	3190.93	11.81	2	71.15	34	1553	0	-0.154	0
P0CE47	JW3301	ECK3326	tufA	protein chain elongation factor EF-Tu (duplicate of tufB)	118	4802.42	11.71	2	90	30	1741	0	-0.196	GO:0005737 cytoplasm
P0ABH7	JW0710	ECK0709	gltA	citrate synthase	24.12	1577.84	11.49	2	77.52	26	1453	0	-0.231	0
P0A7W7	JW3268	ECK3293	rpsH	30S ribosomal subunit protein S8	16.78	727.17	11.32	2	73.85	10	477	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P69913	JW2666	ECK2691	csrA	pleiotropic regulatory protein for carbon source metabolism	1.51	70.42	11.23	2	31.15	2	92	0	-0.257	GO:0005737 cytoplasm
P0ABS1	JW0141	ECK0144	dksA	transcriptional regulator of rRNA transcription. DnaK suppressor protein	9	398	11.17	2	62.25	7	352	0	-0.866	GO:0005737 cytoplasm
P0A7S9	JW3260	ECK3285	rpsM	30S ribosomal subunit protein S13	137.95	5606.09	11.13	2	68	13	705	0	-0.424	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A968	JW0864	ECK0871	cspD	cold shock protein homolog	20.54	884.64	11.08	2	78.38	3	117	0	-0.197	GO:0005737 cytoplasm
P61175	JW3277	ECK3302	rplV	50S ribosomal subunit protein L22	9.999	356580.75	11.05	2	69.09	14	903	0	-0.349	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7U3	JW3278	ECK3303	rpsS	30S ribosomal subunit protein S19	397.11	15625.86	10.63	2	70.65	8	465	0	-0.001	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A7Z4	JW3257	ECK3282	rpoA	RNA polymerase. alpha subunit	70.97	2943.18	10.58	2	79.64	27	1437	0	-0.228	GO:0005737 cytoplasm
P02931	JW0912	ECK0920	ompF	"outer membrane porin 1a (Ia;b;F)"	37.75	1595.96	10.57	2	78.45	21	1144	0	-0.398	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ACD4	JW2513	ECK2526	iscU	scaffold protein	11.92	521.98	10.56	2	84.38	8	433	0	-0.355	0
P0A6Y8	JW0013	ECK0014	dnaK	chaperone Hsp70. co-chaperone with DnaJ	42.75	1.801	10.49	2	76.18	48	2708	0	-0.409	GO:0005737 cytoplasm
P76558	JW2447	ECK2458	maeB	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	8.47	374.79	10.06	2	58.37	30	1348	0	0.054	0
Q9JMS9	JW0785	ECK0789	ybiB	predicted transferase/phosphorylase	1.07	50.43	1.99	2	24.38	6	234	0	-0.165	0
P0AD12	JW1998	ECK2010	yeeZ	predicted epimerase. with NAD(P)-binding Rossmann-fold domain	2.87	131.26	1.97	2	57	9	480	0	0.000	0
P24182	JW3224	ECK3243	accC	acetyl-CoA carboxylase. biotin carboxylase subunit	12.46	544.88	1.96	2	67.71	29	1387	0	-0.173	GO:0005737 cytoplasm
P38489	JW0567	ECK0570	nfnB	dihydropteridine reductase. NAD(P)H-dependent. oxygen-insensitive	55.23	2308.02	1.96	2	67.74	15	607	0	-0.211	0
P07639	JW3352	ECK3376	aroB	3-dehydroquinate synthase	1.64	76.29	1.95	2	31.22	6	406	0	0.168	0
P07024	JW0469	ECK0474	ushA	bifunctional UDP-sugar hydrolase -!- 5'-nucleotidase	0.45	21.78	1.95	2	14.36	5	168	0	-0.411	GO:0005737 cytoplasm
P62768	JW0159	ECK0162	yaeH	conserved protein	9	398	1.93	2	80.47	12	469	0	-0.811	0
P0ACG1	JW2644	ECK2663	stpA	DNA binding protein. nucleoid-associated	5.31	238.33	1.93	2	67.16	8	426	0	-0.794	GO:0005737 cytoplasm
P0A8K1	JW4121	ECK4156	psd	phosphatidylserine decarboxylase	1.15	54.08	1.92	2	28.88	6	426	0	-0.093	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ABQ0	JW5642	ECK3629	dfp	fused 4'-phosphopantothenoylcysteine decarboxylase -!- phosphopantothenoylcysteine synthetase. FMN-binding	1.24	58.18	1.92	2	30	7	246	0	0.000	GO:0005737 cytoplasm
P67910	JW3594	ECK3609	rfaD	ADP-L-glycero-D-mannoheptose-6-epimerase. NAD(P)-binding	17.96	776.69	1.91	2	73.87	20	1020	0	-0.284	0
P77737	JW1239	ECK1241	oppF	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	3.22	146.75	1.91	2	38.62	13	521	0	-0.041	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AEI1	JW0658	ECK0653	miaB	isopentenyl-adenosine A37 tRNA methylthiolase	9.83	432.99	1.89	2	64.98	25	1260	0	-0.378	GO:0005737 cytoplasm
P0AFK9	JW1109	ECK1109	potD	polyamine transporter subunit -!- periplasmic-binding component of ABC superfamily	1.15	54.08	1.89	2	18.97	5	209	0	-0.445	GO:0042597 periplasmic space
P62620	JW2499	ECK2511	ispG	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	2.46	113.03	1.88	2	44.89	14	682	0	-0.157	0
P0ACJ0	JW0872	ECK0880	lrp	DNA-binding transcriptional dual regulator. leucine-binding	11.92	521.98	1.88	2	59.15	10	479	0	0.000	GO:0005737 cytoplasm
P25894	JW2903	ECK2931	yggG	predicted peptidase	1.51	70.42	1.88	2	34.13	6	323	0	-0.204	0
P0AFM9	JW1298	ECK1300	pspB	transcriptional regulator of psp operon	3.64	165.27	1.88	2	35.14	2	76	1	-0.223	GO:0005737 cytoplasm
P18843	JW1729	ECK1738	nadE	NAD synthetase. NH3/glutamine-dependent	4.08	185	1.87	2	65.45	12	449	0	0.000	0
P0AFY8	JW0674	ECK0675	seqA	regulatory protein for replication initiation	11.59	507.96	1.86	2	79.01	11	576	0	-0.286	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AE52	JW2465	ECK2476	bcp	thiol peroxidase. thioredoxin-dependent	9	398	1.86	2	78.21	9	466	0	-0.431	GO:0005737 cytoplasm
P23331	JW1226	ECK1233	tdk	thymidine kinase/deoxyuridine kinase	0.39	18.96	1.86	2	17.56	2	143	0	0.000	0
P07003	JW0855	ECK0862	poxB	pyruvate dehydrogenase (pyruvate oxidase). thiamin-dependent. FAD-binding	0.29	14.22	1.86	2	7.69	3	94	0	0.008	GO:0005737 cytoplasm
P0A8V6	JW1176	ECK1175	fadR	DNA-binding transcriptional dual regulator	2.38	109.47	1.84	2	46.86	8	324	0	-0.283	GO:0005737 cytoplasm
P0ABH9	JW0866	ECK0873	clpA	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease. chaperone activity	3.06	139.67	1.83	2	42.88	25	1224	0	-0.298	GO:0005737 cytoplasm
P0A6W9	JW2663	ECK2683	gshA	gamma-glutamate-cysteine ligase	2.03	93.82	1.83	2	40.35	13	484	0	0.000	0
P0AGJ5	JW2565	ECK2579	yfiF	predicted methyltransferase	1.87	86.65	1.82	2	38.84	10	467	0	-0.682	GO:0005737 cytoplasm
P0AC59	JW1051	ECK1049	grxB	glutaredoxin 2 (Grx2)	2.65	121.49	1.82	2	47.44	8	294	0	-0.264	0
P0A729	JW5155	ECK1072	yceF	predicted protein	1	47.23	1.82	2	22.68	3	105	0	-0.302	0
P07813	JW0637	ECK0635	leuS	leucyl-tRNA synthetase	14	626.95	1.81	2	60.23	49	2487	0	-0.368	GO:0005737 cytoplasm
P75829	JW0861	ECK0868	ybjX	conserved protein	3.33	152	1.79	2	38.18	10	358	0	-0.345	0
P32664	JW5548	ECK3988	nudC	NADH pyrophosphatase	0.33	16.12	1.79	2	7.78	2	99	0	-0.337	0
P0A6N8	JW5362	ECK2165	yeiP	predicted elongtion factor	4.01	181.53	1.78	2	34.21	6	296	0	-0.379	0
P0ABC3	JW4133	ECK4171	hflC	modulator for HflB protease specific for phage lambda cII repressor	5.45	244.42	1.77	2	62.57	14	738	1	-0.365	0
P0A9K3	JW0657	ECK0652	ybeZ	predicted protein with nucleoside triphosphate hydrolase domain	4.38	197.75	1.77	2	62.12	16	714	0	0.000	0
P21599	JW1843	ECK1855	pykA	pyruvate kinase II	13.07	404.41	1.76	2	65.63	25	1241	0	-0.025	0
P69503	JW0458	ECK0463	apt	adenine phosphoribosyltransferase	24.12	1033.75	1.76	2	70.49	10	643	0	0.023	GO:0005737 cytoplasm
P21645	JW0174	ECK0178	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	1	33.42	1.76	2	13.78	3	111	0	0.125	0
P0AE22	JW4015	ECK4047	aphA	acid phosphatase/phosphotransferase. class B. non-specific	0.67	32.03	1.76	2	17.72	2	86	0	-0.283	GO:0005737 cytoplasm
P25745	JW1119	ECK1119	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	1.78	83	1.75	2	27.99	6	336	0	-0.285	GO:0005737 cytoplasm
P0AF26	JW1217	ECK1220	narJ	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	0.64	30.64	1.75	2	16.53	3	94	0	-0.259	0
P61517	JW0122	ECK0125	can	carbonic anhydrase	16.78	727.17	1.74	2	59.55	11	539	0	-0.231	0
P0AE78	JW0655	ECK0650	ybeX	predicteed ion transport	2.59	118.82	1.74	2	44.86	10	370	0	-0.372	GO:0009274 cell wall (sensu Bacteria)
P32680	JW3963	ECK3991	yjaG	conserved protein	3.33	152	1.74	2	42.35	6	286	0	-0.241	0
P60560	JW0101	ECK0104	guaC	GMP reductase	28.76	1226.02	1.73	2	72.05	22	1173	0	-0.068	GO:0005737 cytoplasm
P00582	JW3835	ECK3855	polA	fused DNA polymerase I 5'->3' exonuclease -!- 3'->5' polymerase -!- 3'->5' exonuclease	2.59	118.82	1.73	2	32.87	22	1128	0	-0.264	GO:0005737 cytoplasm
P0ACW6	JW5823	ECK1419	ydcH	predicted protein	0.67	32.03	1.73	2	22.97	2	30	0	-1.024	0
P64596	JW3119	ECK3138	yraP	predicted protein	3.64	165.27	1.72	2	47.64	7	415	1	0.045	GO:0042597 periplasmic space
P0AGK8	JW2515	ECK2528	iscR	DNA-binding transcriptional activator	4.34	196	1.72	2	58.64	7	355	0	-0.256	0
P31554	JW0053	ECK0055	imp	exported protein required for envelope biosynthesis and integrity	2.86	130.81	1.71	2	41.96	26	1495	0	-0.657	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P08997	JW3974	ECK4006	aceB	malate synthase A	2.38	228	1.71	2	44.28	17	1021	0	-0.316	GO:0005737 cytoplasm
P25714	JW3683	ECK3698	yidC	cytoplasmic insertase into membrane protein. Sec system	3.83	173.62	1.71	2	41.06	12	666	4	-0.122	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P61949	JW0671	ECK0672	fldA	flavodoxin 1	18.31	791.36	1.71	2	65.91	7	397	0	-0.285	0
P09147	JW0742	ECK0748	galE	UDP-galactose-4-epimerase	2.65	121.49	1.71	2	29.59	7	332	0	-0.311	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P39401	JW5794	ECK4349	mdoB	phosphoglycerol transferase I	0.28	13.75	1.71	2	5.64	4	121	4	-0.236	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P32684	JW3982	ECK4014	yjbC	23S rRNA pseudouridine synthase	0.26	12.79	1.71	2	8.28	2	83	0	-0.522	0
P0AFH6	JW1237	ECK1239	oppC	oligopeptide transporter subunit -!- membrane component of ABC superfamily	0.58	27.85	1.71	2	4.64	2	53	6	0.675	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A734	JW1163	ECK1162	minE	cell division topological specificity factor	25.83	1104.73	1.69	2	85.23	8	386	0	-0.294	GO:0005737 cytoplasm
P21151	JW5578	ECK3837	fadA	3-ketoacyl-CoA thiolase (thiolase I)	1	24.12	1.69	2	13.44	3	179	0	0.131	GO:0005737 cytoplasm
P24203	JW5790	ECK4342	yjiA	predicted GTPase	2.41	110.81	1.67	2	34.91	8	421	0	-0.085	0
P77739	JW1714	ECK1723	yniA	predicted phosphotransferase/kinase	0.64	30.64	1.67	2	15.03	3	88	0	-0.314	0
P0A6S7	JW3583	ECK3598	gpsA	glycerol-3-phosphate dehydrogenase (NAD+)	2.55	117.04	1.66	2	51.92	10	575	0	-0.025	GO:0005737 cytoplasm
P27302	JW5478	ECK2930	tktA	transketolase 1. thiamin-binding	20	656.74	1.65	2	70.29	36	1671	0	-0.228	0
P26646	JW3222	ECK3241	yhdH	predicted oxidoreductase. Zn-dependent and NAD(P)-binding	2.16	99.64	1.65	2	29.32	7	414	0	-0.004	0
P33136	JW1035	ECK1034	mdoG	glucan biosynthesis protein. periplasmic	4.84	217.85	1.64	2	41.68	20	761	0	-0.541	GO:0042597 periplasmic space
P06992	JW0050	ECK0052	ksgA	S-adenosylmethionine-6-N'.N'-adenosyl (rRNA) dimethyltransferase	3.39	154.25	1.64	2	40.66	8	340	0	-0.101	GO:0005737 cytoplasm
P32662	JW3348	ECK3372	gph	phosphoglycolate phosphatase	1.51	70.42	1.63	2	31.35	4	208	0	-0.133	0
P0A9M2	JW5009	ECK0124	hpt	hypoxanthine phosphoribosyltransferase	25	1074.44	1.61	2	73.03	16	690	0	-0.069	GO:0005737 cytoplasm
P0A6R0	JW1077	ECK1077	fabH	3-oxoacyl-[acyl-carrier-protein] synthase III	7.66	339.99	1.61	2	49.53	10	641	0	0.143	GO:0005737 cytoplasm
P37760	JW2025	ECK2034	rfbD	dTDP-4-dehydrorhamnose reductase subunit. NAD(P)-binding. of dTDP-L-rhamnose synthase	6.02	269.17	1.61	2	49.83	10	453	0	-0.093	GO:0005737 cytoplasm
P67095	JW5377	ECK2294	yfcE	predicted phosphatase	13.68	596.53	1.61	2	54.89	6	266	0	0.024	0
P12758	JW3808	ECK3825	udp	uridine phosphorylase	6.02	269.17	1.59	2	62.85	10	573	0	0.022	0
P09424	JW3574	ECK3589	mtlD	mannitol-1-phosphate dehydrogenase. NAD(P)-binding	1.85	85.75	1.59	2	30.63	10	433	0	0.000	0
P22564	JW0028	ECK0031	rihC	ribonucleoside hydrolase 3	2.59	118.82	1.59	2	29.28	5	275	0	0.289	0
P0AC86	JW3391	ECK3414	glgP	glycogen phosphorylase	0.16	7.99	1.59	2	5.77	3	98	0	-0.339	GO:0005737 cytoplasm
P0A867	JW2448	ECK2459	talA	transaldolase A	0.56	26.92	1.58	2	16.14	4	185	0	-0.315	0
P09158	JW0117	ECK0120	speE	spermidine synthase (putrescine aminopropyltransferase)	1.51	70.42	1.58	2	10.76	3	142	0	0.000	0
P40191	JW2411	ECK2413	pdxK	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase	1.15	54.08	1.58	2	15.55	3	56	0	0.000	0
P00956	JW0024	ECK0027	ileS	isoleucyl-tRNA synthetase	10.31	453.48	1.57	2	67.16	51	2490	0	-0.263	GO:0005737 cytoplasm
P0AAB6	JW2027	ECK2036	galF	predicted subunit with GalU	6.63	295.57	1.57	2	55.89	12	610	0	-0.092	GO:0005737 cytoplasm
P0AC47	JW4114	ECK4149	frdB	fumarate reductase (anaerobic). Fe-S subunit	4.88	220	1.57	2	46	8	330	0	-0.224	GO:0005737 cytoplasm
P0AF28	JW1212	ECK1215	narL	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	11.92	521.98	1.57	2	55.09	10	310	0	-0.153	GO:0005737 cytoplasm
P60785	JW2553	ECK2567	lepA	GTP binding membrane protein	8.28	366.63	1.56	2	48.91	25	1275	0	0.000	0
P0A731	JW5129	ECK0954	mgsA	methylglyoxal synthase	12.89	563.11	1.56	2	60.53	6	443	0	0.038	GO:0005737 cytoplasm
P0AFF6	JW3138	ECK3158	nusA	transcription termination/antitermination L factor	29.39	1252.04	1.54	2	75.76	35	2140	0	-0.278	GO:0005737 cytoplasm
P0AEK4	JW1281	ECK1283	fabI	enoyl-[acyl-carrier-protein] reductase. NADH-dependent	99	4064.14	1.54	2	63.74	18	1009	0	0.163	GO:0005737 cytoplasm
P37750	JW2018	ECK2027	wbbJ	predicted acyl transferase	1	33.42	1.54	2	18.37	3	94	0	0.103	0
P0A742	JW3252	ECK3277	mscL	mechanosensitive channel	1.15	54.08	1.54	2	11.76	2	52	2	0.499	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P15254	JW2541	ECK2555	purL	phosphoribosylformyl-glycineamide synthetase	0.79	37.58	1.53	2	20.69	17	959	0	-0.235	GO:0005737 cytoplasm
P04825	JW0915	ECK0923	pepN	aminopeptidase N	3.12	142.33	1.52	2	35.86	25	1164	0	-0.325	0
P0A6J8	JW0372	ECK0376	ddlA	D-alanine-D-alanine ligase A	7	289.95	1.52	2	48.08	13	612	0	0.016	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P69910	JW1488	ECK1487	gadB	glutamate decarboxylase B. PLP-dependent	2.01	92.93	1.52	2	28.33	10	424	0	-0.297	GO:0005737 cytoplasm
P61320	JW1200	ECK1197	lolB	chaperone for lipoproteins	1.05	49.52	1.52	2	38.65	5	266	0	-0.644	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P69829	JW3171	ECK3193	ptsN	sugar-specific enzyme IIA component of PTS	2.73	125.04	1.52	2	36.81	4	180	0	-0.167	0
P0ADN6	JW3781	ECK3803	yifL	predicted lipoprotein	9	398	1.52	2	50.75	2	87	1	-0.437	GO:00016020 membrane
P08956	JW4313	ECK4340	hsdR	endonuclease R	0.08	4.08	1.52	2	2.61	3	68	0	-0.489	GO:0005737 cytoplasm
P0C0L2	JW1477	ECK1476	osmC	osmotically inducible. stress-inducible membrane protein	0.78	37.12	1.52	2	20.28	2	51	0	-0.122	0
P45955	JW0732	ECK0731	ybgF	predicted protein	1.15	54.08	1.51	2	24.71	4	276	0	-0.468	GO:0042597 periplasmic space
P0ADZ7	JW0397	ECK0401	yajC	SecYEG protein translocase auxillary subunit	30.62	1302.81	1.51	2	27.27	5	213	1	0.395	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P08506	JW0823	ECK0829	dacC	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)	1.61	74.94	1.49	2	29	9	504	0	-0.078	GO:0042597 periplasmic space
P0A9A9	JW0669	ECK0671	fur	DNA-binding transcriptional dual regulator	11.92	521.98	1.49	2	78	8	368	0	-0.559	GO:0005737 cytoplasm
P10408	JW0096	ECK0099	secA	preprotein translocase subunit. ATPase that targets protein precursors to the SecYE core translocon	5.17	232.24	1.48	2	53.83	39	1820	0	-0.467	GO:0005737 cytoplasm
P76372	JW5836	ECK2022	cld	regulator of length of O-antigen component of lipopolysaccharide chains	14	626.95	1.47	2	56.75	17	693	2	-0.265	0
P17443	JW0088	ECK0091	murG	N-acetylglucosaminyl transferase	0.26	12.79	1.46	2	9.86	2	86	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P21888	JW0515	ECK0519	cysS	cysteinyl-tRNA synthetase	7	289.95	1.45	2	45.12	20	1058	0	-0.415	GO:0005737 cytoplasm
P09394	JW2233	ECK2231	glpQ	periplasmic glycerophosphodiester phosphodiesterase	3.49	158.66	1.45	2	43	13	513	0	-0.553	GO:0042597 periplasmic space
P13024	JW3862	ECK3884	fdhE	formate dehydrogenase formation protein	4.27	192.93	1.45	2	40.13	10	460	0	-0.289	0
P76578	JW2504	ECK2516	yfhM	conserved protein	0.13	6.53	1.45	2	4.54	5	145	0	-0.321	0
P31473	JW3725	ECK3740	yieN	fused predicted transcriptional regulators	0.15	7.51	1.45	2	3.21	2	28	0	-0.219	0
P21507	JW2560	ECK2574	srmB	ATP-dependent RNA helicase	5.42	243.12	1.44	2	46	16	852	0	-0.557	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A8A2	JW1964	ECK1978	yeeN	conserved protein	2.46	113.03	1.44	2	34.03	6	314	0	-0.258	0
P24251	JW0230	ECK0241	crl	DNA-binding transcriptional regulator	4.01	181.53	1.44	2	49.62	7	284	0	-0.511	GO:0009289 fimbria -!- GO:0005737 cytoplasm
P0AA16	JW3368	ECK3392	ompR	DNA-binding response regulator in two-component regulatory system with EnvZ	5.31	238.33	1.43	2	76.99	14	629	0	-0.346	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P63020	JW3377	ECK3401	gntY	predicted gluconate transport associated protein	9	398	1.43	2	47.64	6	326	0	-0.256	0
P77182	JW5380	ECK2318	trmC	fused 5-methylaminomethyl-2-thiouridine forming enzyme methyltransferase -!- FAD-dependent demodification enzyme	0.17	8.47	1.42	2	5.84	2	151	0	0.000	0
P00962	JW0666	ECK0668	glnS	glutamyl-tRNA synthetase	7.41	329.22	1.41	2	63.18	32	1534	0	-0.518	GO:0005737 cytoplasm
P0ABU2	JW1194	ECK1191	ychF	predicted GTP-binding protein	15.24	662.37	1.41	2	65.56	19	1069	0	-0.163	0
