SwissProt accession	SwissProt Entry	Protein description	Observed parent ions	Protein score	Observable peptides	PAI lysate	emPAI	emPAI-derived copy no/cell (see Figure 2)	Detection Frequency	Molecular mass (Da)	Isoelectric point (pI)	GRAVY (Kyte-Doolittle)	number of alternating hydrophobic/hydrophilic stretches	CAI	Essentiality	hgt	Expr_value	FunCat (v.1.3) top level classification	FunCat (v.1.3) complete classification	FunCat class description	SCOP Fold	SCOP Family	SCOP Class	SCOP Fold Description	TMHMM 2.0 number of transmembrane segments	PSORT localisation	Experimentally derived localization	Group	Operon	Running Number	ribosomal protein	log copynumber
P0AFK9	POTD_ECOLI	Spermidine/putrescine-binding periplasmic protein precursor (SPBP)	23	1131	14	1.64	4.29E+01	2.57E+03	0.013313917	38868	5.09	-0.45	10	0.46	E			67.08.40.20	"40.28;08.19.01;67.12;20;08.19;20.03;40;08;67;"	"TRANSPORT FACILITATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; SUBCELLULAR LOCALISATION; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic	P	high	potABCD	155	no	3.409933123
P31133	POTF_ECOLI	Putrescine-binding periplasmic protein precursor	3	121	14	0.21	6.38E-01	2.23E+02	0.004784689	40841	6.1	-0.19	11	0.37	N			67.4	"40.28;67.12;40;67;"	"TRANSPORT FACILITATION; SUBCELLULAR LOCALISATION; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	0	Periplasmic	P	low	potFGHI	748	no	2.348304863
P07003	POXB_ECOLI	Pyruvate dehydrogenase [cytochrome] (EC 1.2.2.2) (Pyruvate oxidase) (POX) (Pyruvate dehydr	2	76	22	0.09	2.33E-01	1.24E+02	0.007177033	62013	6.24	0.01	17	0.34	N			01.63.40.02	"01;63.17;63;40.03;02;01.05;01.05.01;63.21.05;01.05.01.01;63.21.11;63.17.07;02.08;40;63.21;02.13;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	c.36.c.31	"c.31.1;c.36.1;"	Alpha and beta proteins (a/b)	Thiamin diphosphate-binding fold (THDP-binding).DHS-like NAD/FAD-binding domain	0	Cytoplasmic		low		990	no	2.093421685
P22259	PPCK_ECOLI	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49) (PEP carboxykinase) (Phosphoenolpyru	26	1166	23	1.13	1.25E+01	1.26E+03	0.017298491	59647	5.46	-0.31	24	0.55	N		1.45	01.63.40.02	"01;01.05.01.03.01;63.19;01.20.03;63;40.03;02;01.05;01.20.01;01.05.01;01.20;63.17.01;01.05.01.01;01.20.01.03;02.01;63.19.01;01.20.01.01;40;01.05.01.01.01;01.05.01.03;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; ENERGY; "	c.109.c.91	"c.109.1;c.91.1;"	Alpha and beta proteins (a/b)	PEP carboxykinase-like.PEP carboxykinase N-terminal domain	0	Cytoplasmic	C	low	pckA	135	no	3.100370545
P0AFL3	PPIA_ECOLI	Peptidyl-prolyl cis-trans isomerase A precursor (EC 5.2.1.8) (PPIase A) (Rotamase A) (Cycl	7	383	8	0.88	6.50E+00	8.59E+02	0.008885851	20432	9.65	-0.13	3	0.48	N			40.06	"40.28;40;06;06.01;"	"SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	b.62	"b.62.1;"	All beta proteins	Cyclophilin (peptidylprolyl isomerase)	0	Periplasmic		low	ppiA	455	no	2.933993164
P23869	PPIB_ECOLI	Peptidyl-prolyl cis-trans isomerase B (EC 5.2.1.8) (PPIase B) (Rotamase B)	14	639	7	2	9.90E+01	4.18E+03	0.032125769	18155	5.64	-0.31	3	0.67	E		1.53	63.06.62	"62.01;63;06.07;63.01;06.07.99;62.01.99;62;06;06.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); PROTEIN ACTIVITY REGULATION; "	b.62	"b.62.1;"	All beta proteins	Cyclophilin (peptidylprolyl isomerase)	0	Cytoplasmic	C	high		271	no	3.621176282
P0ADY1	PPID_ECOLI	Peptidyl-prolyl cis-trans isomerase D (EC 5.2.1.8) (PPIase D) (Rotamase D)	22	946	30	0.73	4.41E+00	6.86E+02	0.01000435	68151	4.77	-0.41	13					11.06	"11.01;06.07;11;06.07.99;06;06.01;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; PROTEIN FATE (folding. modification. destination); "					1	Periplasmic	OM	low		179	no	2.836324116
P43671	PQIB_ECOLI	Paraquat-inducible protein B	4	137	25	0.16	4.45E-01	1.81E+02	0.004784689	60522	8.75	-0.28	18	0.32	N			11	"11.01.01;11.01;11;"	"CELL RESCUE. DEFENSE AND VIRULENCE; "					1	Unknown		low	pqiAB	761	no	2.257678575
P31828	PQQL_ECOLI	Probable zinc protease pqqL (EC 3.4.99.-)	2	62	48	0.04	1.01E-01	7.63E+01	0.004784689	104658	6.26	-0.4	30		N			63.06	"63;06.07;06.13;63.01;06;06.07.11;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); PROTEIN FATE (folding. modification. destination); "					1	Unknown	C	low		1036	no	1.882524538
P23865	PRC_ECOLI	Tail-specific protease precursor (EC 3.4.21.102) (Protease Re) (PRC protein) (C-terminal p	9	337	32	0.28	9.11E-01	2.74E+02	0.010632642	76664	6.47	-0.48	32	0.39	N			11.40.06	"11.01.06;40.28;06.13;11.01.07;40.30;06;11.01.03;11.01;06.07;11;40;06.07.11;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	b.36.c.14	"c.14.1;b.36.1;"	Alpha and beta proteins (a/b).All beta proteins	ClpP/crotonase.PDZ domain-like	0	OuterMembrane	C	low		442	no	2.437750563
P0A8T1	PRMA_ECOLI	Ribosomal protein L11 methyltransferase (EC 2.1.1.-) (L11 Mtase)	2	71	9	0.22	6.68E-01	2.29E+02	0.011961722	31878	4.15	-0.06	6					40.05.06	"06.07;05;40.03;05.01;05.01.99;40;06.07.09;06;"	"SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; PROTEIN FATE (folding. modification. destination); "	c.66	"c.66.1;c.66.1;"	Alpha and beta proteins (a/b)	S-adenosyl-L-methionine-dependent methyltransferases	0	Cytoplasmic		low	panF-prmA	892	no	2.359835482
P07004	PROA_ECOLI	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydroge	10	568	20	0.5	2.16E+00	4.53E+02	0.008133971	44631	5.4	0	10					67.01.63.40	"01.01.01;01;01.01.01.01;63;63.21.07;01.01.01.01.02;40.03;67.15;01.01;01.01.01.01.02.01;40;63.21;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "					0	Cytoplasmic	C	low	proBA	384	no	2.656098202
P0A7B5	PROB_ECOLI	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	6	253	21	0.29	9.31E-01	2.78E+02	0.007974482	39058	6.52	0.01	9					63.01.40	"01.01.01;01.01;01;01.01.01.01;63.19;63;01.01.01.01.02;63.11;40.03;01.01.01.01.02.01;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low	proBA	507	no	2.444044796
P0A9L8	PROC_ECOLI	Pyrroline-5-carboxylate reductase (EC 1.5.1.2) (P5CR) (P5C reductase)	6	266	8	0.75	4.62E+00	7.04E+02	0.010366826	28146	5.77	0.32	6	0.38	E			1	"01.01.01;01.01;01;01.01.01.01;01.01.01.01.02;01.01.01.01.02.01;"	"METABOLISM; "					0	Unknown	C	low		589	no	2.847572659
P0C0L7	PROP_ECOLI	Proline/betaine transporter (Proline porter II) (PPII)	4	137	11	0.36	1.31E+00	3.39E+02	0.005980861	54847	7.25	0.56	13	0.34	N			67.01.40.20	"01.01;01;67.10;01.01.07;20;40;40.30;20.05;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; SYSTEMIC REGULATION OF / INTERACTION WITH ENVIRONMENT; "					12	CytoplasmicMembrane		low	proP	762	no	2.530199698
P45577	PROQ_ECOLI	ProP effector	21	875	12	1.75	5.52E+01	2.98E+03	0.018683071	25894	10.44	-0.78	10					99	"99;"	"UNCLASSIFIED PROTEINS; "					0	Unknown		high		187	no	3.474216264
P14175	PROV_ECOLI	Glycine betaine/L-proline transport ATP-binding protein proV	10	427	12	0.83	5.81E+00	8.05E+02	0.013397129	44164	5.31	-0.13	6	0.24	N			63.01.40.06	"01.01;01;63.19;06.10;63;01.01.07;40;40.30;63.19.03;06;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "	c.37	"c.37.1;c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic		low	proVWX	433	no	2.90579588
P0AFM2	PROX_ECOLI	Glycine betaine-binding periplasmic protein precursor	16	894	11	1.45	2.75E+01	1.98E+03	0.010167464	36024	6.32	-0.32	10	0.44	N			67.01.40.06	"01.01;01;06.10;67.10;40.28;01.01.07;40;06;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN FATE (folding. modification. destination); "					0	Periplasmic	C	low	proVWX	258	no	3.29666519
P0A8K1	PSD_ECOLI	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Contains: Phosphatidylserine dec	4	144	11	0.36	1.31E+00	3.39E+02	0.004784689	35935	5.53	-0.09	12					1	"01.06;01;01.06.01.01;01.06.01;"	"METABOLISM; "					0	Unknown	IM	low		752	no	2.530199698
P0AFM6	PSPA_ECOLI	Phage shock protein A	9	373	10	0.9	6.94E+00	8.92E+02	0.00744285	25363	5.26	-0.73	7	0.45	N			11.40.04	"11.01;11.01.99;04;04.05;04.05.01;04.05.01.04;11;40;40.30;11.01.03;11.01.05;"	"CELL RESCUE. DEFENSE AND VIRULENCE; SUBCELLULAR LOCALISATION; TRANSCRIPTION; "					0	Cytoplasmic		low	pspABCDE	470	no	2.950364854
P23830	PSS_ECOLI	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synt	4	142	26	0.15	4.25E-01	1.76E+02	0.004784689	52803	9.71	-0.43	13	0.35	E			1.4	"01.06;01;40.03;01.06.01.01;40;01.06.01;"	"METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low		681	no	2.245512668
P0AG82	PSTS_ECOLI	Phosphate-binding periplasmic protein precursor (PBP)	11	434	21	0.52	2.34E+00	4.74E+02	0.005654632	37025	9.26	-0.22	6	0.58	N		1.54	67.01.40.13	"01;13.01;01.04;40.28;67.04;67.04.07;67.04.07.07;13.01.03;13;40;01.04.07;13.01.03.03;67;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "	c.94	"c.94.1;"	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	1	Periplasmic	?	low	pstSCAB-phoU	415	no	2.675778342
P08839	PT1_ECOLI	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system. en	58	3157	26	2.23	1.69E+02	5.70E+03	0.039514932	63563	4.6	-0.12	16	0.5	N		1.41	67.01	"01;01.05.07;01.05;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; "	a.60.c.1.c.8	"c.1.12;a.60.10;c.8.1;"	Alpha and beta proteins (a/b).All alpha proteins	"TIM beta/alpha-barrel.SAM domain-like.The ""swivelling"" beta/beta/alpha domain"	0	Cytoplasmic	C	high	ptsHI-crr	23	no	3.755874856
P0A9M8	PTA_ECOLI	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	46	2284	29	1.59	3.76E+01	2.38E+03	0.047534845	77042	5.16	-0.08	22				2.49	01.63.02	"01;63.17;63;01.05.01.01.03;02;63.17.09;02.16;01.05;02.16.13;01.05.01;01.05.01.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); ENERGY; "					0	Unknown	C	high		46	no	3.376576957
P09323	PTAA_ECOLI	PTS system. N-acetylglucosamine-specific IIABC component (EIIABC-Nag) (N-acetylglucosamine	4	174	14	0.29	9.31E-01	2.78E+02	0.011961722	68348	6.08	0.58	15	0.51	N		1.36	67.01.40	"67.50;01;01.05.07;67.50.25;01.05;40;40.30;01.05.01;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "	b.40.d.95.b.84	"d.95.1;b.40.4;b.84.3;"	Alpha and beta proteins (a+b).All beta proteins	Barrel-sandwich hybrid.Homing endonuclease-like.OB-fold	10	CytoplasmicMembrane	OM	low	nagE	721	no	2.444044796
P69783	PTGA_ECOLI	PTS system. glucose-specific IIA component (EIIA-Glc) (Glucose-permease IIA component) (Ph	26	1415	5	5.2	1.58E+05	3.04E+05	0.065513434	18121	4.56	0.05	7				1.85	67.01	"01;01.05.07;01.05;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; "	b.84	"b.84.3;"	All beta proteins	Barrel-sandwich hybrid	0	Cytoplasmic	C	high	ptsHI-crr	132	no	5.482873584
P69786	PTGB_ECOLI	PTS system. glucose-specific IIBC component (EIIBC-Glc) (Glucose-permease IIBC component)	15	643	14	1.07	1.08E+01	1.15E+03	0.01307815	50678	9.11	0.62	10				1.74	67.01	"01;01.05.07;01.05;01.05.01;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; "	d.95	"d.95.1;"	Alpha and beta proteins (a+b)	Homing endonuclease-like	10	CytoplasmicMembrane		low	ptsG	290	no	3.06069784
P0A7D1	PTH_ECOLI	Peptidyl-tRNA hydrolase (EC 3.1.1.29) (PTH)	8	368	13	0.62	3.12E+00	5.61E+02	0.004784689	21083	9.7	-0.12	5					01.40.05	"01.01;01;05;05.99;40.03;01.01.07;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; PROTEIN SYNTHESIS; "	c.56	"c.56.3;"	Alpha and beta proteins (a/b)	Phosphorylase/hydrolase-like	0	CytoplasmicMembrane		low	pth-ychF	491	no	2.748962861
P0AA04	PTHP_ECOLI	Phosphocarrier protein HPr (Histidine-containing protein)	12	655	3	4	1.00E+04	6.10E+04	0.053827751	9120	5.74	-0.17	4					67.01	"01;01.05.07;01.05;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; "	d.94	"d.94.1;"	Alpha and beta proteins (a+b)	HPr-like	0	Cytoplasmic		high	ptsHI-crr	340	no	4.785329835
P69828	PTKA_ECOLI	PTS system. galactitol-specific IIA component (EIIA-Gat) (Galacticol-permease IIA componen	8	290	7	1.14	1.29E+01	1.28E+03	0.024521531	16909	5.04	0	3					67.01.40	"01;01.05.07;01.05;40;40.30;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low	gatYZABCDR_2	480	no	3.10720997
P37188	PTKB_ECOLI	PTS system. galactitol-specific IIB component (EIIB-Gat) (Galacticol-permease IIB componen	3	189	4	0.75	4.62E+00	7.04E+02	0.068580542	10223	6.23	0.31	2					67.01.40	"01;01.05.07;01.05;40;40.30;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low	gatYZABCDR_2	699	no	2.847572659
P69831	PTKC_ECOLI	PTS system. galactitol-specific IIC component (EIIC-Gat) (Galacticol-permease IIC componen	2	104	9	0.22	6.68E-01	2.29E+02	0.011961722	48366	10.05	0.82	10					67.01.40	"01;01.05.07;01.05;40;40.30;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "					11	CytoplasmicMembrane		low	gatYZABCDR_2	941	no	2.359835482
P69824	PTMA_ECOLI	PTS system. mannitol-specific IIABC component (EIIABC-Mtl) (Mannitol-permease IIABC compon	3	81	18	0.17	4.68E-01	1.86E+02	0.004784689	67973	6.46	0.33	14	0.55	N		1.85	67.01.40	"01;01.05.07;01.05;40;40.30;01.05.01;67.07.01;67;67.07;"	"TRANSPORT FACILITATION; METABOLISM; SUBCELLULAR LOCALISATION; "	d.112	"d.112.1;"	Alpha and beta proteins (a+b)	Phoshotransferase/anion transport protein	8	CytoplasmicMembrane	IM	low	mtlADR	904	no	2.269512944
P69797	PTNA_ECOLI	PTS system. mannose-specific IIAB component (EIIAB-Man) (Mannose-permease IIAB component)	9	477	13	0.69	3.92E+00	6.40E+02	0.021796917	34917	5.87	-0.06	8	0.42	N			1.4	"01.05.01.03.01;01;01.05.07;40.03;01.05;40;01.05.01;01.20.01;01.20;01.05.01.03;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.54.c.38	"c.54.1;c.38.1;"	Alpha and beta proteins (a/b)	IIA domain of mannose transporter. IIA-Man.Fructose permease. subunit IIb	0	Cytoplasmic	IM	low	manXYZ	449	no	2.806179974
P69805	PTND_ECOLI	PTS system. mannose-specific IID component (EIID-Man) (Mannose-permease IID component) (Ph	5	163	11	0.45	1.85E+00	4.14E+02	0.004784689	31304	9.71	0.41	3	0.53	N		1.9	67.01.63.40.13	"01;63;63.13;01.05.07;13.11;01.05;13.11.03.03;40.30;67.07;13.11.03;63.13.01;13;40;67.07.01;67;"	"TRANSPORT FACILITATION; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; REGULATION OF / INTERACTION WITH CELLULAR ENVIRONMENT; "					2	CytoplasmicMembrane		low	manXYZ	682	no	2.617000341
P69829	PTSN_ECOLI	Nitrogen regulatory IIA protein (EC 2.7.1.69) (Enzyme IIA-NTR) (Phosphotransferase enzyme	5	229	7	0.71	4.18E+00	6.64E+02	0.012440191	17961	5.71	-0.17	4	0.37	E			1	"01.05.04;01;01.02.01;01.05;01.02;01.05.01;"	"METABOLISM; "	d.112	"d.112.1;"	Alpha and beta proteins (a+b)	Phoshotransferase/anion transport protein	0	Cytoplasmic		low	rpoN-yhbH-ptsN-yhbJ-ptsO	645	no	2.822168079
P36672	PTTB_ECOLI	PTS system. trehalose-specific IIBC component (EIIBC-Tre) (Trehalose-permease IIBC component) (Phosp	2	56	8	0.25	7.78E-01	2.50E+02	0.007177033	51082	9.57	0.65	13	0.34	N			67.11.01.63.40.08.10.06	"01;63;01.05.07;01.05;06;11.01.03;40.02;67.07;11.01;10;63.13.01;10.01;10.01.05;06.07.03;08.19;11;40;67.07.01;08;67;"	"TRANSPORT FACILITATION; CELL RESCUE. DEFENSE AND VIRULENCE; METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; CELLULAR TRANSPORT AND TRANSPORT MECHANISMS; CELLULAR COMMUNICATION/SIGNAL T"					10	CytoplasmicMembrane		low	treBC	909	no	2.397940009
P0AG16	PUR1_ECOLI	Amidophosphoribosyltransferase (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidot	10	555	19	0.53	2.36E+00	4.77E+02	0.007177033	56358	5.26	-0.25	12	0.43	N			1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	c.61.d.153	"d.153.1;c.61.1;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b)	PRTase-like.Ntn hydrolase-like	0	Cytoplasmic		low	cvpA-purF-ubiX	342	no	2.678518379
P15640	PUR2_ECOLI	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synth	10	615	17	0.59	2.87E+00	5.35E+02	0.009569378	46036	4.69	-0.1	10	0.49	N			1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	d.142.c.30.b.84	"c.30.1;d.142.1;b.84.2;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All beta proteins	ATP-grasp.Biotin carboxylase N-terminal domain-like.Barrel-sandwich hybrid	0	Cytoplasmic	P	low	purHD	380	no	2.728353782
P08179	PUR3_ECOLI	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (GART) (GAR transformylase) (5'-p	2	111	11	0.18	5.20E-01	1.98E+02	0.004784689	23239	5.77	-0.12	6	0.34	N			1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	c.65	"c.65.1;"	Alpha and beta proteins (a/b)	Formyltransferase	0	Cytoplasmic		low	purMN	935	no	2.29666519
P15254	PUR4_ECOLI	Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3) (FGAM synthase) (FGAMS) (Formylgly	40	1978	54	0.74	4.50E+00	6.94E+02	0.007655502	141404	5.18	-0.23	41					63.01.40	"01;01.03;63.19;01.03.01.03;63;40.03;01.03.01;40;63.19.03;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; SUBCELLULAR LOCALISATION; "					0	Cytoplasmic		low	purL	67	no	2.84135947
P08178	PUR5_ECOLI	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIRS) (Phosphoribosyl-aminoim	11	602	9	1.22	1.57E+01	1.43E+03	0.016963897	36720	4.6	0.02	9					1.4	"01;01.03;01.03.01.03;40.03;01.03.01;40;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	d.139.d.79	"d.139.1;d.79.4;"	Alpha and beta proteins (a+b)	Bacillus chorismate mutase-like.Aminoimidazole ribonucleotide synthetase (PurM) C-terminal domain	0	Unknown	C	low	purMN	355	no	3.155336037
P0AG18	PUR6_ECOLI	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21) (AIR carboxylase)	5	306	3	1.67	4.54E+01	2.66E+03	0.020095694	17650	6.52	0.08	2	0.44	N			1	"01;01.03;01.03.01.03;01.03.01;01.05;01.05.01.05;01.05.01;"	"METABOLISM; "	c.23	"c.23.8;"	Alpha and beta proteins (a/b)	Flavodoxin-like	0	Unknown	C	high	purEK	568	no	3.424881637
P0A7D7	PUR7_ECOLI	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	22	1016	12	1.83	6.71E+01	3.33E+03	0.017833841	26996	4.88	-0.37	6				1.18	1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	d.143	"d.143.1;"	Alpha and beta proteins (a+b)	SAICAR synthase-like	0	Unknown	C	high	purC	168	no	3.522444234
P0AB89	PUR8_ECOLI	Adenylosuccinate lyase (EC 4.3.2.2) (Adenylosuccinase) (ASL)	35	1545	20	1.75	5.52E+01	2.98E+03	0.012850308	51544	5.93	-0.24	11				1.22	1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	a.127	"a.127.1;"	All alpha proteins	L-aspartase-like	0	Unknown	C	high	ycfC-purB	84	no	3.474216264
P15639	PUR9_ECOLI	Bifunctional purine biosynthesis protein purH [Includes: Phosphoribosylaminoimidazolecarbo	40	2316	27	1.48	2.93E+01	2.06E+03	0.019019139	57330	5.6	-0.13	13					1	"01;01.03;01.03.01.03;01.03.01;"	"METABOLISM; "	c.97.c.24	"c.24.1;c.24.1;c.97.2;"	Alpha and beta proteins (a/b)	Cytidine deaminase-like.Methylglyoxal synthase-like	0	Cytoplasmic	C	high	purHD	60	no	3.31386722
P0A7D4	PURA_ECOLI	Adenylosuccinate synthetase (EC 6.3.4.4) (IMP--aspartate ligase) (AdSS) (AMPSase)	48	2442	20	2.4	2.50E+02	7.16E+03	0.032795056	47215	5.22	-0.2	6				2.2	63.01	"01;01.03;63.19;63;01.03.01;"	"PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); METABOLISM; "	c.37	"c.37.1;"	Alpha and beta proteins (a/b)	P-loop containing nucleotide triphosphate hydrolases	0	Cytoplasmic	C	high	purA	40	no	3.854913022
P09029	PURK_ECOLI	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21) (AIR carboxylase) (A	8	287	12	0.67	3.64E+00	6.13E+02	0.013157895	39462	5.83	-0.14	14	0.38	N			1	"01;01.03;01.03.01.03;01.03.01;01.05;01.05.01.05;01.05.01;"	"METABOLISM; "	d.142.c.30.b.84	"c.30.1;d.142.1;b.84.2;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All beta proteins	ATP-grasp.Biotin carboxylase N-terminal domain-like.Barrel-sandwich hybrid	0	Unknown		low	purEK	483	no	2.787460475
P0ACP7	PURR_ECOLI	HTH-type transcriptional repressor purR (Purine nucleotide synthesis repressor)	8	402	18	0.44	1.78E+00	4.05E+02	0.009569378	38045	6.72	-0.25	7	0.43	N			01.63.04	"63.03.01;01;01.03;01.03.01.03;63;04;04.05;04.05.01.04.03;04.05.01;63.03;04.05.01.04;01.03.01;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	c.93.a.35	"c.93.1;a.35.1;"	Alpha and beta proteins (a/b).All alpha proteins	Periplasmic binding protein-like I.lambda repressor-like DNA-binding domains	0	Cytoplasmic	C	low	purR	487	no	2.607455023
P33221	PURT_ECOLI	Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-) (GART 2) (GAR transformylase 2)	14	578	17	0.82	5.66E+00	7.92E+02	0.008202324	42304	5.54	0.05	14					01.63.40	"01;01.03;63.17;63;40.03;01.03.01;63.17.07;40;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); SUBCELLULAR LOCALISATION; "	d.142.c.30.b.84	"c.30.1;d.142.1;b.84.2;"	Alpha and beta proteins (a/b).Alpha and beta proteins (a+b).All beta proteins	ATP-grasp.Biotin carboxylase N-terminal domain-like.Barrel-sandwich hybrid	0	Cytoplasmic		low		325	no	2.898725182
P37051	PURU_ECOLI	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	12	466	9	1.33	2.05E+01	1.68E+03	0.009968102	31936	7	-0.17	8					1.4	"01;01.03;01.03.01.03;40.03;01.03.01;01.07;01.05;01.07.01;40;01.05.01;01.05.01.03;"	"METABOLISM; SUBCELLULAR LOCALISATION; "	c.65	"c.65.1;"	Alpha and beta proteins (a/b)	Formyltransferase	0	Cytoplasmic		low		375	no	3.225309282
P09546	PUTA_ECOLI	Bifunctional putA protein [Includes: Proline dehydrogenase (EC 1.5.99.8) (Proline oxidase)	19	708	54	0.35	1.25E+00	3.29E+02	0.010828507	143816	5.88	-0.13	34	0.37	N			01.63.04	"01;63;01.01.10.01.01;01.01.10;01.01.10.01;04.05;04.05.01.04;63.21.05;01.01;04;04.05.01.04.03;04.05.01;63.21;"	"METABOLISM; PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic); TRANSCRIPTION; "	c.82	"c.82.1;"	Alpha and beta proteins (a/b)	ALDH-like	0	Cytoplasmic	OM	low	putA	210	no	2.517195898
