Accession number	OLN	ECK	Gene	Protein name	emPAI Value	Normalized And Descr Itensity	Copy number per cell	mRNA expression level	mRNA expression level	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
P0AD12	JW1998	ECK2010	yeeZ	predicted epimerase. with NAD(P)-binding Rossmann-fold domain	2.87	1	131.26	1,97	1.97	57	9	480	0	0.000	0
P0AD12	JW1998	ECK2010	yeeZ	predicted epimerase. with NAD(P)-binding Rossmann-fold domain	0.97	1	131.26	1,97	1.97	24.45	5	170	0	0.000	0
Q9JMS9	JW0785	ECK0789	ybiB	predicted transferase/phosphorylase	1.07	1	50.43	1,99	1.99	24.38	6	234	0	-0.165	0
P0A705	JW3137	ECK3157	infB	fused protein chain initiation factor 2. IF2	15.47	1	672.06	2	2	72	57	3053	0	-0.533	GO:0005737 cytoplasm
P0A870	JW0007	ECK0008	talB	transaldolase B	53.84	1	1636.47	2	2	86	30	1935	0	0.000	GO:0005737 cytoplasm
P33232	JW3580	ECK3595	lldD	L-lactate dehydrogenase. FMN-linked	13.68	1	596.53	2	2	71.97	23	1479	0	0.037	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A8A0	JW1853	ECK1865	yebC	conserved protein	6.02	1	269.17	2	2	50	11	577	0	-0.384	0
P0A763	JW2502	ECK2514	ndk	multifunctional nucleoside diphosphate kinase -!- apyrimidinic endonuclease -!- 3'-phosphodiesterase	41.17	1	1735.95	2	2	91.61	9	528	0	-0.082	GO:0042597 periplasmic space
P0A6T3	JW0740	ECK0746	galK	galactokinase	3.64	1	165.27	2	2	38.48	8	397	0	-0.105	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P52697	JW0750	ECK0756	ybhE	6-phosphogluconolactonase	2.73	1	125.04	2	2	35.95	8	372	0	-0.224	0
P0CE49	JW0250	ECK0261	insH	"CP4-6 prophage; IS5 transposase and trans-activator"	1.24	1	58.18	2	2	16.86	5	267	0	-0.534	0
P69222	JW0867	ECK0875	infA	translation initiation factor IF-1	55.23	1	2308.02	2	2	88	5	243	0	-0.354	GO:0005737 cytoplasm
Q9JMS0	JW1693	ECK1701	ydiA	conserved protein	0.93	1	44.02	2	2	22.38	4	187	0	-0.093	0
P64451	JW1427	ECK1424	ydcL	predicted lipoprotein	0.72	1	34.35	2	2	26.58	4	134	0	-0.268	0
P33232	JW3580	ECK3595	lldD	L-lactate dehydrogenase. FMN-linked	67.13	1	596.53	2	2	61.62	28	1752	0	0.037	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A705	JW3137	ECK3157	infB	fused protein chain initiation factor 2. IF2	2.04	1	672.06	2	2	40.34	27	1093	0	-0.533	GO:0005737 cytoplasm
P0A870	JW0007	ECK0008	talB	transaldolase B	3.49	1	1636.47	2	2	50.16	15	845	0	0.000	GO:0005737 cytoplasm
P64451	JW1427	ECK1424	ydcL	predicted lipoprotein	4.08	1	34.35	2	2	50.45	10	435	0	-0.268	0
Q9JMS0	JW1693	ECK1701	ydiA	conserved protein	2.16	1	44.02	2	2	25.63	6	295	0	-0.093	0
P0A763	JW2502	ECK2514	ndk	multifunctional nucleoside diphosphate kinase -!- apyrimidinic endonuclease -!- 3'-phosphodiesterase	1.37	1	1735.95	2	2	28.67	3	233	0	-0.082	GO:0042597 periplasmic space
P0A6T3	JW0740	ECK0746	galK	galactokinase	1.15	1	165.27	2	2	15.97	5	190	0	-0.105	GO:0030113 capsule (sensu Bacteria) -!- GO:0005737 cytoplasm
P69222	JW0867	ECK0875	infA	translation initiation factor IF-1	2.16	1	2308.02	2	2	47.22	2	125	0	-0.354	GO:0005737 cytoplasm
P03817	JW3720	ECK3736	mioC	FMN-binding protein MioC	5.81	1	260.06	2,01	2.01	51.02	4	196	0	-0.159	0
P08312	JW5277	ECK1712	pheS	phenylalanine tRNA synthetase. alpha subunit	10	1	444.52	2,02	2.02	69.42	21	1172	0	-0.324	GO:0005737 cytoplasm
P0AAI5	JW1081	ECK1081	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	9	1	398	2,02	2.02	66.83	15	837	0	0.002	GO:0005737 cytoplasm
P31057	JW0130	ECK0133	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	25.83	1	1104.73	2,02	2.02	46.59	7	412	0	0.138	GO:0005737 cytoplasm
P08312	JW5277	ECK1712	pheS	phenylalanine tRNA synthetase. alpha subunit	2.51	1	444.52	2,02	2.02	43.12	12	678	0	-0.324	GO:0005737 cytoplasm
P0AAI5	JW1081	ECK1081	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II	0.62	1	398	2,02	2.02	11.38	4	173	0	0.002	GO:0005737 cytoplasm
P31057	JW0130	ECK0133	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	1.68	1	1104.73	2,02	2.02	15.91	3	156	0	0.138	GO:0005737 cytoplasm
P0AA25	JW5856	ECK3773	trxA	thioredoxin 1	45.42	1	1909.42	2,04	2.04	77.98	7	433	0	0.025	0
P0A8U6	JW3909	ECK3930	metJ	DNA-binding transcriptional repressor. S-adenosylmethionine-binding	9	1	398	2,04	2.04	50.48	6	189	0	-0.748	GO:0005737 cytoplasm
P0AGG2	JW0442	ECK0446	tesB	acyl-CoA thioesterase II	1.37	1	64.08	2,04	2.04	18.53	5	189	0	-0.253	0
P0A722	JW0176	ECK0180	lpxA	UDP-N-acetylglucosamine acetyltransferase	1.51	1	70.42	2,04	2.04	16.41	4	185	0	0.002	GO:0005737 cytoplasm
P0AA25	JW5856	ECK3773	trxA	thioredoxin 1	1.15	1	1909.42	2,04	2.04	25.69	2	136	0	0.025	0
P37744	JW2024	ECK2033	rfbA	glucose-1-phosphate thymidylyltransferase	10.29	1	452.62	2,05	2.05	68.26	18	844	0	-0.193	GO:0005737 cytoplasm
P07012	JW5847	ECK2886	prfB	peptide chain release factor RF-2	0	1	9.92	2,05	2.05	4.64	2	107	0	-1.008	GO:0005737 cytoplasm
P69908	JW3485	ECK3502	gadA	glutamate decarboxylase A. PLP-dependent	0.35	1	17.07	2,06	2.06	9.66	3	137	0	-0.278	GO:0005737 cytoplasm
P0A840	JW2714	ECK2739	surE	broad specificity 5'(3')-nucleotidase and polyphosphatase	1.37	1	64.08	2,06	2.06	19.76	3	59	0	-0.075	0
P76537	JW2425	ECK2427	yfeY	predicted protein	7.11	1		2,06	2.06	65.97	10	427	0	-0.351	0
P0AD61	JW1666	ECK1672	pykF	pyruvate kinase I	20.54	1	1113.95	2,07	2.07	69.15	31	1631	0	-0.082	0
P0ACY3	JW1772	ECK1781	yeaG	conserved protein with nucleoside triphosphate hydrolase domain	0.58	1	27.85	2,07	2.07	14.44	9	265	0	-0.529	0
P0AD61	JW1666	ECK1672	pykF	pyruvate kinase I	1.15	1	1113.95	2,07	2.07	27	10	449	0	-0.082	0
P0ACY3	JW1772	ECK1781	yeaG	conserved protein with nucleoside triphosphate hydrolase domain	0.11	1	27.85	2,07	2.07	4.04	2	94	0	-0.529	0
Q59385	JW0473	ECK0478	copA	copper transporter	2	1	1.57	2,08	2.08	28.06	15	787	8	0.205	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P37749	JW2019	ECK2028	wbbI	conserved protein	1.99	1	92.03	2,09	2.09	29.09	9	471	0	-0.197	0
P37749	JW2019	ECK2028	wbbI	conserved protein	5.45	1	92.03	2,09	2.09	57.27	16	934	0	-0.197	0
P06710	JW0459	ECK0464	dnaX	DNA polymerase III/DNA elongation factor III. tau and gamma subunits	0.16	1	7.99	2,11	2.11	6.22	3	117	0	-0.258	GO:0005737 cytoplasm
P28248	JW2050	ECK2059	dcd	2'-deoxycytidine 5'-triphosphate deaminase	1.78	1	83	2,11	2.11	17.62	3	112	0	-0.162	0
P39310	JW5745	ECK4202	ytfB	predicted cell envelope opacity-associated protein	1.37	1	64.08	2,11	2.11	13.21	3	52	0	-0.574	0
P39310	JW5745	ECK4202	ytfB	predicted cell envelope opacity-associated protein	7	1	64.08	2,11	2.11	35.85	6	246	0	-0.574	0
P06710	JW0459	ECK0464	dnaX	DNA polymerase III/DNA elongation factor III. tau and gamma subunits	0.16	1	7.99	2,11	2.11	4.04	3	176	0	-0.258	GO:0005737 cytoplasm
P28248	JW2050	ECK2059	dcd	2'-deoxycytidine 5'-triphosphate deaminase	0.67	1	83	2,11	2.11	11.92	2	76	0	-0.162	0
P04805	JW2395	ECK2394	gltX	glutamyl-tRNA synthetase	15.82	1	687	2,12	2.12	72	32	1708	0	-0.528	GO:0005737 cytoplasm
P0AAI3	JW3145	ECK3167	ftsH	protease. ATP-dependent zinc-metallo	7.89	1	349.88	2,12	2.12	56.83	31	1325	2	-0.263	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P75960	JW1106	ECK1106	cobB	deacetylase of acetyl-CoA synthetase. NAD-dependent	1.15	1	54.08	2,12	2.12	10.39	2	58	0	-0.354	0
P0AAI3	JW3145	ECK3167	ftsH	protease. ATP-dependent zinc-metallo	48.24	1	2.54	2,12	2.12	69	52	2498	2	-0.263	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P04805	JW2395	ECK2394	gltX	glutamyl-tRNA synthetase	0.16	1	687	2,12	2.12	3	2	30	0	-0.528	GO:0005737 cytoplasm
P0AES4	JW2225	ECK2223	gyrA	DNA gyrase (type II topoisomerase). subunit A	5.63	1	252.24	2,14	2.14	51.89	40	1776	0	0.000	GO:0005737 cytoplasm
P17169	JW3707	ECK3722	glmS	L-glutamine:D-fructose-6-phosphate aminotransferase	17.74	1	767.47	2,14	2.14	67	32	1772	0	-0.101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P0AES4	JW2225	ECK2223	gyrA	DNA gyrase (type II topoisomerase). subunit A	2.16	1	252.24	2,14	2.14	33.83	26	1380	0	0.000	GO:0005737 cytoplasm
P17169	JW3707	ECK3722	glmS	L-glutamine:D-fructose-6-phosphate aminotransferase	4.34	1	767.47	2,14	2.14	51	23	1228	0	-0.101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
P46130	JW0755	ECK0761	ybhC	predicted pectinesterase	1.51	1	70.42	2,15	2.15	17	6	280	0	-0.358	GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P46130	JW0755	ECK0761	ybhC	predicted pectinesterase	6.36	1	70.42	2,15	2.15	36.07	10	746	0	-0.358	GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A9M0	JW0429	ECK0433	lon	DNA-binding ATP-dependent protease La	9.96	1	438.54	2,17	2.17	61.86	40	1673	0	-0.312	GO:0005737 cytoplasm
P0A6K6	JW4346	ECK4375	deoB	phosphopentomutase	8.09	1	358.47	2,17	2.17	61.92	18	870	0	-0.271	0
P0A9M0	JW0429	ECK0433	lon	DNA-binding ATP-dependent protease La	4.75	1	438.54	2,17	2.17	41.58	29	1584	0	-0.312	GO:0005737 cytoplasm
P75777	JW0779	ECK0784	ybhG	predicted membrane fusion protein (MFP) component of efflux pump. membrane anchor	9	1	1.93	2,17	2.17	60.84	18	954	1	-0.364	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A6K6	JW4346	ECK4375	deoB	phosphopentomutase	0.33	1	358.47	2,17	2.17	8.85	3	194	0	-0.271	0
P0A855	JW5100	ECK0729	tolB	periplasmic protein	6.85	1	305.07	2,19	2.19	52.56	15	812	0	-0.215	GO:0042597 periplasmic space
P16456	JW1753	ECK1762	selD	selenophosphate synthase	11.74	1	514.33	2,19	2.19	62.82	16	667	0	0.068	GO:0005737 cytoplasm
P0A855	JW5100	ECK0729	tolB	periplasmic protein	5.16	1	305.07	2,19	2.19	50.23	15	709	0	-0.215	GO:0042597 periplasmic space
P16456	JW1753	ECK1762	selD	selenophosphate synthase	1.64	1	514.33	2,19	2.19	34.87	8	292	0	0.068	GO:0005737 cytoplasm
P36659	JW0985	ECK0991	cbpA	curved DNA-binding protein. DnaJ homologue that functions as a co-chaperone of DnaK	0.58	1	27.85	2,23	2.23	10.46	2	110	0	-0.592	GO:0005737 cytoplasm
P27240	JW3600	ECK3615	rfaY	lipopolysaccharide core biosynthesis protein	0.43	1		2,23	2.23	7.33	2	55	0	-0.517	GO:0019866 inner membrane
P0A9W3	JW4354	ECK4383	yjjK	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	11.74	1	514.33	2,24	2.24	74.23	34	1889	0	-0.478	GO:0005737 cytoplasm
P0AC69	JW1646	ECK1650	ydhD	conserved protein	5.31	1	238.33	2,24	2.24	46.09	4	295	0	-0.272	0
Q9S4W9	JW2455	ECK2466	yffB	conserved protein	0.93	1	44.02	2,24	2.24	22.03	2	108	0	-0.338	0
P0A9W3	JW4354	ECK4383	yjjK	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	9.62	1	514.33	2,24	2.24	61	32	1679	0	-0.478	GO:0005737 cytoplasm
P0AC69	JW1646	ECK1650	ydhD	conserved protein	2.98	1	238.33	2,24	2.24	39.13	3	280	0	-0.272	0
P04079	JW2491	ECK2503	guaA	GMP synthetase (glutamine aminotransferase)	31.82	1	1352.28	2,25	2.25	82	39	2094	0	-0.096	GO:0005737 cytoplasm
P04079	JW2491	ECK2503	guaA	GMP synthetase (glutamine aminotransferase)	4.95	1	1352.28	2,25	2.25	48.19	21	1126	0	-0.096	GO:0005737 cytoplasm
P0AAN3	JW2697	ECK2722	hypB	GTP hydrolase involved in nickel liganding into hydrogenases	0.43	1		2,25	2.25	7.93	2	84	0	-0.238	0
P33195	JW2871	ECK2898	gcvP	glycine decarboxylase. PLP-dependent. subunit (protein P) of glycine cleavage complex	4.96	1	223.08	2,26	2.26	53.81	33	1797	0	-0.066	0
P37095	JW2507	ECK2520	pepB	aminopeptidase B	18.05	1	780.47	2,26	2.26	75.41	25	1384	0	-0.214	0
P33195	JW2871	ECK2898	gcvP	glycine decarboxylase. PLP-dependent. subunit (protein P) of glycine cleavage complex	1.12	1	223.08	2,26	2.26	23.82	15	751	0	-0.066	0
P37095	JW2507	ECK2520	pepB	aminopeptidase B	2.98	1	780.47	2,26	2.26	48.24	14	672	0	-0.214	0
P08622	JW0014	ECK0015	dnaJ	chaperone Hsp40. co-chaperone with DnaK	6.63	1	295.57	2,27	2.27	41.76	14	624	0	-0.634	GO:0005737 cytoplasm
P08622	JW0014	ECK0015	dnaJ	chaperone Hsp40. co-chaperone with DnaK	1.58	1	295.57	2,27	2.27	20.74	7	323	0	-0.634	GO:0005737 cytoplasm
P69741	JW2965	ECK2991	hybO	hydrogenase 2. small subunit	1.15	1	54.08	2,28	2.28	6.72	3	86	1	-0.194	GO:0019866 inner membrane
P69741	JW2965	ECK2991	hybO	hydrogenase 2. small subunit	0.36	1	1.73	2,28	2.28	5.91	2	51	1	-0.194	GO:0019866 inner membrane
P0A9X4	JW3220	ECK3239	mreB	cell wall structural complex MreBCD. actin-like component MreB	28.55	1	1217.34	2,31	2.31	61.96	18	1003	0	0.057	0
P0A9B6	JW2894	ECK2923	epd	D-erythrose 4-phosphate dehydrogenase	0.39	1	18.96	2,31	2.31	9.73	3	127	0	-0.041	GO:0005737 cytoplasm
P0A9X4	JW3220	ECK3239	mreB	cell wall structural complex MreBCD. actin-like component MreB	16.19	1	1217.34	2,31	2.31	57.64	18	1117	0	0.057	0
P0A9B6	JW2894	ECK2923	epd	D-erythrose 4-phosphate dehydrogenase	0.25	1	18.96	2,31	2.31	7.67	2	57	0	-0.041	GO:0005737 cytoplasm
P0AFP6	JW0700	ECK0699	ybgI	conserved metal-binding protein	2.16	1	99.64	2,32	2.32	25.51	4	230	0	-0.125	0
P0A9J6	JW3731	ECK3746	rbsK	ribokinase	4.41	1	199.06	2,34	2.34	41.75	8	495	0	0.046	GO:0005737 cytoplasm
P0AFZ1	JW5404	ECK2519	sseB	rhodanase-like enzyme. sulfur transfer from thiosulfate	1.78	1	83	2,34	2.34	13.95	3	62	0	-0.176	0
P0A830	JW3496	ECK3513	dctA	C4-dicarboxylic acid. orotate and citrate transporter	1.78	1	83	2,35	2.35	10.05	4	257	8	0.872	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AAB4	JW3819	ECK3835	ubiD	3-octaprenyl-4-hydroxybenzoate decarboxylase	0.71	1	33.88	2,35	2.35	21.93	6	233	0	-0.248	0
P0AAB4	JW3819	ECK3835	ubiD	3-octaprenyl-4-hydroxybenzoate decarboxylase	1.15	1	33.88	2,35	2.35	25.55	9	484	0	-0.248	0
P0A830	JW3496	ECK3513	dctA	C4-dicarboxylic acid. orotate and citrate transporter	4.99	1	1.92	2,35	2.35	12.62	7	359	8	0.872	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0ADG7	JW5401	ECK2504	guaB	IMP dehydrogenase	13.87	1	604.57	2,37	2.37	72.54	24	1616	0	-0.098	GO:0005737 cytoplasm
P0AAT9	JW0638	ECK0636	ybeL	conserved protein	0.78	1	37.12	2,37	2.37	18.13	3	223	0	-0.604	0
P0ADG7	JW5401	ECK2504	guaB	IMP dehydrogenase	2.04	1	604.57	2,37	2.37	40.98	12	858	0	-0.098	GO:0005737 cytoplasm
P0AC19	JW2300	ECK2297	folX	D-erythro-7.8-dihydroneopterin triphosphate 2'-epimerase and dihydroneopterin aldolase	3.33	1	152	2,38	2.38	60	6	323	0	-0.426	0
P0ADU5	JW2992	ECK3015	ygiW	conserved protein	2.73	1	125.04	2,38	2.38	26.15	4	109	0	-0.272	0
P0A6V8	JW2385	ECK2384	glk	glucokinase	1.58	1	73.59	2,39	2.39	30.84	7	347	0	0.154	GO:0005737 cytoplasm
P0A8N5	JW4090	ECK4123	lysU	lysine tRNA synthetase. inducible	17.12	1	741.45	2,41	2.41	62.57	32	1638	0	-0.399	GO:0005737 cytoplasm
P0A8N5	JW4090	ECK4123	lysU	lysine tRNA synthetase. inducible	1.83	1	741.45	2,41	2.41	23.17	14	668	0	-0.399	GO:0005737 cytoplasm
P23538	JW1692	ECK1700	pps	phosphoenolpyruvate synthase	8.52	1	376.93	2,42	2.42	52.02	38	2296	0	-0.243	0
P0ADR8	JW2766	ECK2790	ygdH	conserved protein	1.51	1	70.42	2,42	2.42	25.77	9	496	0	-0.107	0
P75691	JW0317	ECK0323	yahK	predicted oxidoreductase. Zn-dependent and NAD(P)-binding	3.08	1	140.56	2,42	2.42	30.66	9	459	0	-0.183	0
P23538	JW1692	ECK1700	pps	phosphoenolpyruvate synthase	3.57	1	376.93	2,42	2.42	42.05	29	1556	0	-0.243	0
P0ADR8	JW2766	ECK2790	ygdH	conserved protein	1.09	1	70.42	2,42	2.42	22.91	8	376	0	-0.107	0
P0A7B8	JW3903	ECK3924	hslV	peptidase component of the HslUV protease	3.22	1	146.75	2,43	2.43	28.41	4	256	0	-0.034	GO:0005737 cytoplasm
P77330	JW0546	ECK0549	borD	"DLP12 prophage; predicted lipoprotein"	1.68	1	78	2,43	2.43	52.58	3	168	0	0.205	0
P78067	JW5287	ECK1755	ynjE	predicted thiosulfate sulfur transferase	0	1	9.92	2,43	2.43	4.14	2	51	0	-0.455	0
P0A7B8	JW3903	ECK3924	hslV	peptidase component of the HslUV protease	0.78	1	146.75	2,43	2.43	10.23	2	107	0	-0.034	GO:0005737 cytoplasm
P77330	JW0546	ECK0549	borD	"DLP12 prophage; predicted lipoprotein"	0.93	1	78	2,43	2.43	17.53	2	64	0	0.205	0
P0AF93	JW5755	ECK4238	yjgF	ketoacid-binding protein	12.34	1	540	2,44	2.44	77.34	6	358	0	0.086	0
P0AF93	JW5755	ECK4238	yjgF	ketoacid-binding protein	0.78	1	540	2,44	2.44	17.19	2	59	0	0.086	0
P0A940	JW0172	ECK0176	yaeT	conserved protein	4.36	1	196.87	2,46	2.46	47.41	33	1804	0	-0.483	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A940	JW0172	ECK0176	yaeT	conserved protein	29.14	1	196.87	2,46	2.46	71.23	63	3773	0	-0.483	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P23836	JW1116	ECK1116	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ	2.46	1	113.03	2,47	2.47	38.57	7	321	0	-0.257	GO:0005737 cytoplasm
P23836	JW1116	ECK1116	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ	0.43	1	113.03	2,47	2.47	11.21	2	80	0	-0.257	GO:0005737 cytoplasm
P0A7U7	JW0022	ECK0024	rpsT	30S ribosomal subunit protein S20	315.23	1	12491.64	2,49	2.49	51.72	8	449	0	-0.705	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P03004	JW3679	ECK3694	dnaA	chromosomal replication initiator protein DnaA. DNA-binding transcriptional dual regulator	0.48	1	23.18	2,49	2.49	17.13	6	286	0	-0.364	GO:0005737 cytoplasm
P03004	JW3679	ECK3694	dnaA	chromosomal replication initiator protein DnaA. DNA-binding transcriptional dual regulator	2.06	1	23.18	2,49	2.49	33	15	728	0	-0.364	GO:0005737 cytoplasm
P0A7U7	JW0022	ECK0024	rpsT	30S ribosomal subunit protein S20	9	1	12491.64	2,49	2.49	43.68	4	165	0	-0.705	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
P0A717	JW1198	ECK1195	prsA	phosphoribosylpyrophosphate synthase	26.38	1	1127.52	2,52	2.52	60.32	17	1259	0	0.096	0
P0ABC7	JW4132	ECK4170	hflK	modulator for HflB protease specific for phage lambda cII repressor	1.74	1	81	2,52	2.52	44.63	14	758	1	-0.632	0
P0AG40	JW0023	ECK0026	ribF	bifunctional riboflavin kinase -!- FAD synthetase	0.67	1	32.03	2,52	2.52	18.53	4	124	0	-0.067	GO:0005737 cytoplasm
P0ABC7	JW4132	ECK4170	hflK	modulator for HflB protease specific for phage lambda cII repressor	11.41	1	1.91	2,52	2.52	58.47	25	1379	1	-0.632	0
P0A717	JW1198	ECK1195	prsA	phosphoribosylpyrophosphate synthase	14	1	1127.52	2,52	2.52	54.92	16	1148	0	0.096	0
P0AG40	JW0023	ECK0026	ribF	bifunctional riboflavin kinase -!- FAD synthetase	1.78	1	32.03	2,52	2.52	23.32	6	241	0	-0.067	GO:0005737 cytoplasm
P77252	JW5041	ECK0305	ykgE	predicted oxidoreductase	0.36	1	17.54	2,53	2.53	9.62	2	84	0	0.037	0
P77252	JW5041	ECK0305	ykgE	predicted oxidoreductase	1.15	1	17.54	2,53	2.53	31.38	5	205	0	0.037	0
P13445	JW5437	ECK2736	rpoS	RNA polymerase. sigma S (sigma 38) factor	0.26	1		2,53	2.53	7.22	2	42	0	0.000	GO:0005737 cytoplasm
P0A908	JW1771	ECK1780	mipA	scaffolding protein for murein synthesizing machinery	7.25	1	322.33	2,54	2.54	42.74	9	488	0	-0.402	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ACB0	JW4012	ECK4044	dnaB	replicative DNA helicase	0.47	1	22.71	2,54	2.54	11.46	5	216	0	-0.415	GO:0005737 cytoplasm
P0A908	JW1771	ECK1780	mipA	scaffolding protein for murein synthesizing machinery	11.12	1	322.33	2,54	2.54	53.23	9	549	0	-0.402	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0ACB0	JW4012	ECK4044	dnaB	replicative DNA helicase	0.36	1	22.71	2,54	2.54	14.44	4	255	0	-0.415	GO:0005737 cytoplasm
P0A9G6	JW3975	ECK4007	aceA	isocitrate lyase	19.15	1	1522.03	2,55	2.55	72.81	23	1336	0	-0.224	GO:0005737 cytoplasm
P0A9G6	JW3975	ECK4007	aceA	isocitrate lyase	1.46	1	1522.03	2,55	2.55	23.73	8	364	0	-0.224	GO:0005737 cytoplasm
P0AED0	JW3462	ECK3480	uspA	universal stress global response regulator	30.62	1	1302.81	2,56	2.56	70.14	6	380	0	-0.056	GO:0005737 cytoplasm
P0AED0	JW3462	ECK3480	uspA	universal stress global response regulator	9	1	1302.81	2,56	2.56	57.64	4	355	0	-0.056	GO:0005737 cytoplasm
P12295	JW2564	ECK2578	ung	uracil-DNA-glycosylase	0.64	1	30.64	2,58	2.58	11.79	2	68	0	-0.283	GO:0005737 cytoplasm
P16659	JW0190	ECK0194	proS	prolyl-tRNA synthetase	17.96	1	776.69	2,59	2.59	76.92	38	2164	0	-0.243	GO:0005737 cytoplasm
P0C0V0	JW0157	ECK0160	degP	serine endoprotease (protease Do). membrane-associated	4.62	1	208.24	2,59	2.59	39.24	13	803	0	-0.067	GO:0042597 periplasmic space
P16659	JW0190	ECK0194	proS	prolyl-tRNA synthetase	0.67	1	776.69	2,59	2.59	19.41	7	404	0	-0.243	GO:0005737 cytoplasm
P0C0V0	JW0157	ECK0160	degP	serine endoprotease (protease Do). membrane-associated	0.41	1	208.24	2,59	2.59	9.49	3	196	0	-0.067	GO:0042597 periplasmic space
P27434	JW2500	ECK2512	yfgA	conserved protein	4.01	1	181.53	2,61	2.61	23.15	7	263	1	-0.391	0
P27434	JW2500	ECK2512	yfgA	conserved protein	30.62	1	2.26	2,61	2.61	39.47	14	910	1	-0.391	0
P69425	JW5580	ECK3831	tatB	TatABCE protein translocation system subunit	2.59	1	1.59	2,61	2.61	31.58	5	254	1	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0AEL0	JW3863	ECK3885	fdoI	formate dehydrogenase-O. cytochrome b556 subunit	1.68	1	1.48	2,61	2.61	9.48	3	181	4	0.499	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
P0A9Q5	JW2313	ECK2310	accD	acetylCoA carboxylase. beta (carboxyltranferase) subunit	12.69	1	554.63	2,63	2.63	66.45	20	972	0	-0.129	GO:0005737 cytoplasm
P0A9Q5	JW2313	ECK2310	accD	acetylCoA carboxylase. beta (carboxyltranferase) subunit	4.34	1	554.63	2,63	2.63	47.37	14	805	0	-0.129	GO:0005737 cytoplasm
P00509	JW0911	ECK0919	aspC	aspartate aminotransferase. PLP-dependent	25.49	1	1090.63	2,64	2.64	75	28	1397	0	-0.202	GO:0005737 cytoplasm
P0A6J5	JW1178	ECK1177	dadA	D-amino acid dehydrogenase	4.88	1	220	2,64	2.64	57.41	17	890	0	-0.216	0
P0A6J5	JW1178	ECK1177	dadA	D-amino acid dehydrogenase	3.92	1	220	2,64	2.64	46.53	17	862	0	-0.216	0
P00509	JW0911	ECK0919	aspC	aspartate aminotransferase. PLP-dependent	1.03	1	1090.63	2,64	2.64	20.71	8	410	0	-0.202	GO:0005737 cytoplasm
P0ABU0	JW2257	ECK2256	menB	dihydroxynaphthoic acid synthetase	7	1	289.95	2,67	2.67	43.51	11	550	0	0.000	0
P37194	JW3474	ECK3490	slp	outer membrane lipoprotein	2.59	1	118.82	2,67	2.67	40.43	4	170	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P37194	JW3474	ECK3490	slp	outer membrane lipoprotein	4.99	1	118.82	2,67	2.67	38.83	6	297	0	0.000	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
P0A9D8	JW0161	ECK0164	dapD	2.3.4.5-tetrahydropyridine-2-carboxylate N-succinyltransferase	45.42	1	1909.42	2,68	2.68	59.49	19	1017	0	-0.054	GO:0005737 cytoplasm
