Accession number	ECK	Gene	Protein name	emPAI Value	mRNA expression level	Copy number per cell	Sequence coverage (%)	Number of unique peptides	Mascot protein score	Number of TMDs	GRAVY score	GO cellular component
JW0398	ECK0402	secD	SecYEG protein translocase auxillary subunit	21,02	1,11	2	53,33	39	2031	6	0,116	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0114	ECK0117	acnB	bifunctional aconitate hydratase 2 -!- 2-methylisocitrate dehydratase	7,01	9,64	739,77	49,36	39	2012	0	-0,117	0
JW3938	ECK3958	btuB	vitamin B12/cobalamin outer membrane transporter	15,68	0,33	91,13	66,12	36	2002	0	-0,534	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW4133	ECK4171	hflC	modulator for HflB protease specific for phage lambda cII repressor	239,41	1,77	2,39	77,25	35	1981	1	-0,365	0
JW0111	ECK0114	aceF	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	12,34	5,35	2785,78	53,33	39	1959	0	0,004	0
JW0145	ECK0148	mrcB	fused glycosyl transferase -!- transpeptidase	3,57	0,86	1,19	44,67	30	1924	1	-0,419	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0713	ECK0712	sdhA	succinate dehydrogenase, flavoprotein subunit	9,59	6,87	334,59	63,78	32	1881	0	-0,324	GO:0005737 cytoplasm
JW0451	ECK0456	acrB	multidrug efflux system protein	7,94	0,95	1,75	40,32	34	1869	11	0,266	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3359	ECK3383	mrcA	fused penicillin-binding protein 1a murein transglycosylase -!- murein transpeptidase	3,86	-	2	48,59	31	1790	1	-0,255	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3573	ECK3588	mtlA	fused mannitol-specific PTS enzyme IIABC components	9	0,96	1,75	39,56	24	1770	8	0,329	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3580	ECK3595	lldD	L-lactate dehydrogenase, FMN-linked	67,13	2	596,53	61,62	28	1752	0	0,037	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3710	ECK3725	atpD	F1 sector of membrane-bound ATP synthase, beta subunit	18,78	3	2674,21	84,13	27	1752	0	-0,118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0120	ECK0123	gcd	glucose dehydrogenase	13,38	0,41	2,04	53,02	37	1742	5	-0,071	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2573	ECK2590	clpB	protein disaggregation chaperone	3	4,39	547,85	45,04	36	1733	0	-0,358	GO:0005737 cytoplasm
JW3389	ECK3412	glpD	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding	11,12	-	558,02	76,85	35	1715	0	-0,384	GO:0005737 cytoplasm
JW3865	ECK3887	fdoG	formate dehydrogenase-O, large subunit	3,24	3,84	206,06	45,37	33	1712	0	-0,346	GO:0005737 cytoplasm
JW2203	ECK2207	ompC	outer membrane porin protein C	77,48	24,26	3204,57	67	28	1707	0	-0,533	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3434	ECK3453	zntA	zinc, cobalt and lead efflux system	7,66	0,53	1,32	43,99	26	1687	5	0,282	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW4354	ECK4383	yjjK	fused predicted transporter subunits -!- ATP-binding components of ABC superfamily	9,62	2,24	514,33	61	32	1679	0	-0,478	GO:0005737 cytoplasm
JW3714	ECK3729	atpF	F0 sector of membrane-bound ATP synthase, subunit b	2510,89	9,77	4	76,92	31	1661	1	-0,213	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0886	ECK0894	pflB	pyruvate formate lyase I	5,37	12,47	641,14	49,87	35	1651	0	0.000	GO:0005737 cytoplasm
JW0112	ECK0115	lpd	lipoamide dehydrogenase, E3 component is part of three enzyme complexes	20,54	22,38	2077,52	56,75	31	1625	0	-0,011	GO:0005737 cytoplasm
JW0790	ECK0794	fiu	predicted iron outer membrane transporter	6,33	-	0,82	50,79	28	1621	1	-0,499	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW4215	ECK4251	valS	valyl-tRNA synthetase	4,12	1	263,96	44,06	35	1612	0	0.000	GO:0005737 cytoplasm
JW5625	ECK3691	gyrB	DNA gyrase, subunit B	5	5,12	540	43,53	33	1607	0	-0,454	GO:0005737 cytoplasm
JW4001	ECK4033	plsB	glycerol-3-phosphate O-acyltransferase	4,88	-	135	48,95	32	1595	0	-0,179	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0096	ECK0099	secA	preprotein translocase subunit, ATPase that targets protein precursors to the SecYE core translocon	2,67	1,48	232,24	39,29	29	1589	0	-0,467	GO:0005737 cytoplasm
JW0429	ECK0433	lon	DNA-binding ATP-dependent protease La	4,75	2,17	438,54	41,58	29	1584	0	-0,312	GO:0005737 cytoplasm
JW5536	ECK3200	arcB	hybrid sensory histidine kinase in two-component regulatory system with ArcA	7,45	1,13	2	41,77	31	1573	2	-0,251	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0627	ECK0625	dacA	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	16,38	1,19	359,76	60,05	24	1572	0	-0,137	GO:0019866 inner membrane
JW3686	ECK3701	tnaA	tryptophanase/L-cysteine desulfhydrase, PLP-dependent	21,64	-	1817,64	69,64	34	1571	0	-0,216	0
JW1692	ECK1700	pps	phosphoenolpyruvate synthase	3,57	2,42	376,93	42,05	29	1556	0	-0,243	0
JW0452	ECK0457	acrA	multidrug efflux system	22	1,04	172,75	71,03	26	1554	0	-0,256	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0940	ECK0948	ompA	"outer membrane protein A (3a;II*;G;d)"	111,88	47,67	750,27	63,87	29	1551	0	-0,339	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3301	ECK3326	tufA	protein chain elongation factor EF-Tu (duplicate of tufB)	58,95	11,71	4802,42	87,06	32	1537	0	-0,196	GO:0005737 cytoplasm
JW3756	ECK3775	rho	transcription termination factor	9,86	0,78	1414,45	69	27	1527	0	-0,298	GO:0005737 cytoplasm
JW5851	ECK3152	pnp	polynucleotide phosphorylase/polyadenylase	5,38	1	476,06	46,32	29	1513	0	-0,169	GO:0005737 cytoplasm
JW0630	ECK0628	mrdA	transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2)	5,68	-	1,81	57,03	29	1494	1	-0,353	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0897	ECK0905	msbA	fused lipid transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	12,34	0,45	1,63	51,89	29	1480	5	0,113	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5542	ECK3234	yhdP	conserved membrane protein, predicted transporter	1,56	0,29	1,46	34,04	28	1443	1	-0,279	0
JW1982	ECK1993	flu	"CP4-44 prophage; antigen 43 (Ag43) phase-variable biofilm formation autotransporter"	3,33	-	1,66	34,26	25	1441	1	-0,275	0
JW4115	ECK4150	frdA	fumarate reductase (anaerobic) catalytic and NAD/flavoprotein subunit	5,08	4,29	245,29	49,67	26	1436	0	-0,365	GO:0005737 cytoplasm
JW4201	ECK4237	mgtA	magnesium transporter	3,39	0,11	0,95	35	23	1434	7	0,159	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2447	ECK2458	maeB	fused malic enzyme predicted oxidoreductase -!- predicted phosphotransacetylase	7	10,06	374,79	47,83	28	1407	0	0,054	0
JW0426	ECK0430	tig	peptidyl-prolyl cis/trans isomerase (trigger factor)	12,59	7,03	2788,66	60,19	30	1404	0	-0,428	GO:0005737 cytoplasm
JW1037	ECK1035	mdoH	glucan biosynthesis: glycosyl transferase	6,02	0,57	1,46	35,18	28	1394	6	-0,046	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3454	ECK3472	yhiI	predicted HlyD family secretion protein	12,18	1	1,78	61,13	27	1385	1	-0,161	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2225	ECK2223	gyrA	DNA gyrase (type II topoisomerase), subunit A	2,16	2,14	252,24	33,83	26	1380	0	0.000	GO:0005737 cytoplasm
JW4132	ECK4170	hflK	modulator for HflB protease specific for phage lambda cII repressor	11,41	2,52	1,91	58,47	25	1379	1	-0,632	0
JW2409	ECK2411	ptsI	PEP-protein phosphotransferase of PTS system (enzyme I)	6,05	24,33	627,12	49,22	24	1366	0	0.000	0
JW0823	ECK0829	dacC	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 6a)	12,34	1,49	74,94	62	22	1348	0	-0,078	GO:0042597 periplasmic space
JW1703	ECK1711	pheT	phenylalanine tRNA synthetase, beta subunit	2,59	4,93	932	37,36	24	1328	0	-0,097	GO:0005737 cytoplasm
JW0894	ECK0902	rpsA	30S ribosomal subunit protein S1	4,37	14	7463,64	44,34	25	1327	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2142	ECK2148	cirA	ferric iron-catecholate outer membrane transporter	3,83	-	-	44,65	24	1321	0	-0.001	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0093	ECK0096	ftsZ	GTP-binding tubulin-like cell division protein	8,05	3,49	746,07	63,97	22	1312	0	-0,005	GO:0005737 cytoplasm
JW0934	ECK0942	pqiB	paraquat-inducible protein B	8,35	0,45	1,06	63	27	1300	1	0.000	0
JW1446	ECK1445	yncD	predicted iron outer membrane transporter	3,64	-	-	53,71	27	1289	0	-0,552	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0716	ECK0715	sucB	dihydrolipoyltranssuccinase	27,48	8,52	2411,74	60,25	26	1288	0	-0,217	0
JW0013	ECK0014	dnaK	chaperone Hsp70, co-chaperone with DnaJ	3,38	10,49	1.801	39,66	23	1279	0	-0,409	GO:0005737 cytoplasm
JW5836	ECK2022	cld	regulator of length of O-antigen component of lipopolysaccharide chains	55,23	1,47	3	53,07	22	1274	2	-0,265	0
JW2279	ECK2278	nuoF	NADH:ubiquinone oxidoreductase, chain F	14,57	7,13	197,75	58	25	1271	0	-0,318	GO:0005737 cytoplasm
JW0462	ECK0467	htpG	molecular chaperone HSP90 family	4,31	9,48	867,51	55,29	28	1257	0	-0,524	0
JW2660	ECK2679	emrA	multidrug efflux system	13,25	1,13	1,61	72,82	26	1240	1	-0,129	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3947	ECK3975	rplA	50S ribosomal subunit protein L1	72,56	6	2222,48	77,78	22	1238	0	-0,109	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1606	ECK1609	ydgA	conserved protein	5,11	1,08	2,32	46,81	19	1230	1	-0,299	0
JW3707	ECK3722	glmS	L-glutamine:D-fructose-6-phosphate aminotransferase	4,34	2,14	767,47	51	23	1228	0	-0,101	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1095	ECK1095	ndh	respiratory NADH dehydrogenase 2/cupric reductase	6,28	1,06	213,48	59,45	22	1213	0	-0,129	GO:0005737 cytoplasm
JW4099	ECK4133	aspA	aspartate ammonia-lyase	6	9	398	49,79	23	1202	0	-0,066	GO:0005737 cytoplasm
JW3257	ECK3282	rpoA	RNA polymerase, alpha subunit	25,83	10,58	2943,18	77,81	22	1188	0	-0,228	GO:0005737 cytoplasm
JW2082	ECK2088	gatZ	D-tagatose 1,6-bisphosphate aldolase 2, subunit	11,59	18,75	1838,05	55,48	19	1184	0	-0,121	0
JW1755	ECK1764	sppA	protease IV (signal peptide peptidase)	4,72	0,08	1,31	37,54	21	1177	1	-0,111	0
JW2363	ECK2362	dsdA	D-serine ammonia-lyase	16,78	-	350,74	58,82	20	1170	0	-0,087	GO:0005737 cytoplasm
JW0928	ECK0936	pyrD	dihydro-orotate oxidase, FMN-linked	12,18	0,53	438,54	65,48	22	1169	0	0.000	GO:0005737 cytoplasm
JW2858	ECK2885	lysS	lysine tRNA synthetase, constitutive	6	0,81	930,53	50	22	1159	0	-0,396	GO:0005737 cytoplasm
JW3270	ECK3295	rplE	50S ribosomal subunit protein L5	82,77	7,76	16.173	84,36	20	1154	0	-0,282	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1198	ECK1195	prsA	phosphoribosylpyrophosphate synthase	14	2,52	1127,52	54,92	16	1148	0	0,096	0
JW2703	ECK2728	mutS	methyl-directed mismatch repair protein	1,63	0,39	21,78	30,36	20	1144	0	-0,238	GO:0005737 cytoplasm
JW2496	ECK2508	yfgL	protein assembly complex, lipoprotein component	13,68	0,87	140,56	63,01	17	1144	0	0,009	0
JW2204	ECK2209	rcsD	phosphotransfer intermediate protein in two-component regulatory system with RcsBC	1,74	-	1	32,92	20	1143	1	-0,234	0
JW3841	ECK3863	glnA	glutamine synthetase	9,93	4,78	3726,18	60,98	23	1136	0	-0,292	GO:0005737 cytoplasm
JW2491	ECK2503	guaA	GMP synthetase (glutamine aminotransferase)	4,95	2,25	1352,28	48,19	21	1126	0	-0,096	GO:0005737 cytoplasm
JW3351	ECK3375	damX	predicted protein	23,04	1,13	1,89	58,18	23	1123	1	-0,935	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3774	ECK3796	hemY	predicted protoheme IX synthesis protein	11,22	0,62	1,76	52,26	21	1119	2	-0,362	0
JW3220	ECK3239	mreB	cell wall structural complex MreBCD, actin-like component MreB	16,19	2,31	1217,34	57,64	18	1117	0	0,057	0
JW0717	ECK0716	sucC	succinyl-CoA synthetase, beta subunit	3,89	9,48	2324,65	52,06	20	1107	0	0,024	0
JW0165	ECK0169	tsf	protein chain elongation factor EF-Ts	18,95	5,18	2895,73	65,37	21	1098	0	-0,118	GO:0005737 cytoplasm
JW3372	ECK3396	feoB	fused ferrous iron transporter, protein B	3,39	0,52	1,67	25	15	1094	10	0,422	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3137	ECK3157	infB	fused protein chain initiation factor 2, IF2	2,04	2	672,06	40,34	27	1093	0	-0,533	GO:0005737 cytoplasm
JW3303	ECK3328	rpsG	30S ribosomal subunit protein S7	137,95	13,54	6582,23	74,86	21	1091	0	0.000	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5531	ECK3150	deaD	ATP-dependent RNA helicase	2,67	0,21	307,23	38,63	20	1087	0	-0,586	GO:0005737 cytoplasm
JW2462	ECK2473	nlpB	lipoprotein	11,59	3,08	181,53	65,41	18	1081	0	-0,265	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3116	ECK3135	yraM	conserved protein	3,33	0,91	47,69	44,84	21	1075	0	-0,272	0
JW1215	ECK1218	narG	nitrate reductase 1, alpha subunit	1	6,07	97,41	24,62	22	1074	0	-0,512	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3039	ECK3057	rpoD	RNA polymerase, sigma 70 (sigma D) factor	4,62	3,95	246,16	30,67	20	1069	0	-0,589	GO:0005737 cytoplasm
JW2049	ECK2058	asmA	predicted assembly protein	3,33	3,27	1,66	36,79	19	1059	1	-0,422	0
JW2101	ECK2107	metG	methionyl-tRNA synthetase	2,08	1,12	398	39,44	20	1059	0	-0,303	GO:0005737 cytoplasm
JW3996	ECK4028	lamB	maltose outer membrane porin (maltoporin)	5,92	5,53	106,35	48,21	17	1053	0	-0,516	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW0722	ECK0721	cydA	cytochrome d terminal oxidase, subunit I	38,81	3,72	2,22	28,35	19	1048	9	0,397	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0454	ECK0459	kefA	fused mechanosensitive channel proteins	2,16	0,41	0,61	25,36	24	1039	12	-0,031	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5551	ECK3954	sthA	pyridine nucleotide transhydrogenase, soluble	7,38	4,25	578,35	69,74	20	1036	0	-0,227	GO:0005737 cytoplasm
JW3902	ECK3923	hslU	molecular chaperone and ATPase component of HslUV protease	5,21	4,37	470,95	54,63	23	1033	0	-0,363	GO:0005737 cytoplasm
JW1595	ECK1598	pntA	pyridine nucleotide transhydrogenase, alpha subunit	5,92	0,96	1,44	45,88	19	1023	5	0,273	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW4180	ECK4217	ytfN	conserved protein	1,09	0	1,36	24,23	23	1021	1	-0,183	0
JW0869	ECK0877	cydC	fused cysteine transporter subunits -!- membrane component and ATP-binding component of ABC superfamily	7,32	0,55	1,19	40,84	20	1020	6	0,244	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3276	ECK3301	rpsC	30S ribosomal subunit protein S3	67,13	9,43	1302,81	71,24	24	1020	0	-0,422	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW4161	ECK4199	rplI	50S ribosomal subunit protein L9	122,28	9,55	767,47	87,25	18	1018	0	0,091	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW5794	ECK4349	mdoB	phosphoglycerol transferase I	2,69	1,71	1,14	29,23	19	1011	4	-0,236	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0714	ECK0713	sdhB	succinate dehydrogenase, FeS subunit	11,59	7,62	9524,82	64,71	16	998	0	-0,299	GO:0005737 cytoplasm
JW1200	ECK1197	lolB	chaperone for lipoproteins	16,78	1,52	49,52	79,23	18	997	0	-0,644	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3370	ECK3394	yhgF	predicted transcriptional accessory protein	1,51	1,35	80,35	32,99	20	993	0	-0,334	0
JW1079	ECK1079	fabG	3-oxoacyl-[acyl-carrier-protein] reductase	23,24	14,12	695	69,67	14	990	0	0.000	GO:0005737 cytoplasm
JW5571	ECK3864	bipA	GTP-binding protein	4,95	0,74	504,13	37,07	21	983	0	-0,298	0
JW1264	ECK1266	sohB	predicted inner membrane peptidase	9	2,79	2	37,25	15	981	2	-0,354	0
JW3809	ECK3826	rmuC	predicted recombination limiting protein	2,79	0,46	1,61	48	21	974	1	-0,651	0
JW3789	ECK3810	corA	magnesium/nickel/cobalt transporter	19,31	0,75	2,25	53,16	14	967	2	-0,156	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW0164	ECK0168	rpsB	30S ribosomal subunit protein S2	38,81	12,55	13.459	61,83	19	966	0	-0,268	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1768	ECK1777	gapA	glyceraldehyde-3-phosphate dehydrogenase A	9	8,91	20789,62	69,79	22	962	0	-0,133	GO:0005737 cytoplasm
JW0779	ECK0784	ybhG	predicted membrane fusion protein (MFP) component of efflux pump, membrane anchor	9	2,17	1,93	60,84	18	954	1	-0,364	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW3882	ECK3904	cpxA	sensory histidine kinase in two-component regulatory system with CpxR	4,88	0,11	1,77	43,76	19	949	2	-0,264	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3835	ECK3855	polA	fused DNA polymerase I 5'->3' exonuclease -!- 3'->5' polymerase -!- 3'->5' exonuclease	1,45	1,73	118,82	28,99	20	947	0	-0,264	GO:0005737 cytoplasm
JW1239	ECK1241	oppF	oligopeptide transporter subunit -!- ATP-binding component of ABC superfamily	8,09	1,91	146,75	53,89	19	945	0	-0,041	GO:0009274 cell wall (sensu Bacteria) -!- GO:0005737 cytoplasm
JW2669	ECK2694	recA	DNA strand exchange and recombination protein with protease and nuclease activity	6,08	5	449,64	49,01	14	935	0	-0,175	GO:0005737 cytoplasm
JW4120	ECK4155	yjeP	predicted mechanosensitive channel	1,47	-	1,44	20,05	17	934	11	0,018	GO:0042597 periplasmic space
JW2019	ECK2028	wbbI	conserved protein	5,45	2,09	92,03	57,27	16	934	0	-0,197	0
JW3904	ECK3925	ftsN	essential cell division protein	9	0,48	1,09	57,05	19	930	1	-1,024	GO:0019866 inner membrane
JW5414	ECK2607	ffh	Signal Recognition Particle (SRP) component with 4.5S RNA (ffs)	4,62	0,84	332,24	54,08	20	929	0	-0,243	0
JW3839	ECK3861	glnG	fused DNA-binding response regulator in two-component regulatory system with GlnL, nitrogen regulator I (NRI)	4,74	0,62	105,45	46,27	16	928	0	-0,246	GO:0005737 cytoplasm
JW0912	ECK0920	ompF	"outer membrane porin 1a (Ia;b;F)"	10,45	10,57	1595,96	45,03	16	927	0	-0,398	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW2903	ECK2931	yggG	predicted peptidase	9	1,88	70,42	61,51	14	925	0	-0,204	0
JW2517	ECK2530	suhB	inositol monophosphatase	10,45	0,33	926,36	62,55	17	921	0	-0,171	GO:0005737 cytoplasm
JW2514	ECK2527	iscS	cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent	7	12	802,26	57,92	20	919	0	-0,273	0
JW2228	ECK2226	nrdA	ribonucleoside diphosphate reductase 1, alpha subunit	2,16	0,67	275	29,96	22	917	0	-0,337	0
JW3219	ECK3238	mreC	cell wall structural complex MreBCD transmembrane component MreC	3,92	0,64	1,32	50,14	16	916	1	-0,152	GO:0009274 cell wall (sensu Bacteria)
JW2751	ECK2774	pyrG	CTP synthetase	4,44	1,31	2,76	37,43	23	915	1	-0,139	0
JW0193	ECK0197	metQ	DL-methionine transporter subunit -!- periplasmic-binding component of ABC superfamily	14	1,25	-	77,49	17	911	0	-0,138	GO:0009274 cell wall (sensu Bacteria) -!- GO:0042597 periplasmic space
JW2500	ECK2512	yfgA	conserved protein	30,62	2,61	2,26	39,47	14	910	1	-0,391	0
JW5478	ECK2930	tktA	transketolase 1, thiamin-binding	2,69	1,65	656,74	40,27	21	910	0	-0,228	0
JW0665	ECK0667	nagE	fused N-acetyl glucosamine specific PTS enzyme IICBA components	21,39	1	2,54	27,31	18	909	10	0,584	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2553	ECK2567	lepA	GTP binding membrane protein	3,42	1,56	366,63	38,06	19	906	0	0.000	0
JW3224	ECK3243	accC	acetyl-CoA carboxylase, biotin carboxylase subunit	3	1,96	544,88	43,21	17	904	0	-0,173	GO:0005737 cytoplasm
JW0431	ECK0435	ppiD	peptidyl-prolyl cis-trans isomerase (rotamase D)	2,07	1,01	2,38	33,39	19	895	1	-0,405	0
JW3683	ECK3698	yidC	cytoplasmic insertase into membrane protein, Sec system	6,85	1,71	2,24	37,04	15	894	4	-0,122	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3719	ECK3734	gidA	glucose-inhibited cell-division protein	2,47	0,27	41	36,25	19	894	0	-0,308	0
JW0637	ECK0635	leuS	leucyl-tRNA synthetase	1,49	1,81	626,95	27,56	18	892	0	-0,368	GO:0005737 cytoplasm
JW2176	ECK2182	yejM	predicted hydrolase, inner membrane	3,96	-	1,71	34,81	14	891	5	-0,122	0
JW2497	ECK2509	yfgM	conserved protein	9	3,02	1,87	70,39	13	888	1	-0,222	0
JW5020	ECK0222	fadE	acyl coenzyme A dehydrogenase	2,62	0,54	0,93	27	19	887	2	0,006	0
JW1164	ECK1163	minD	membrane ATPase of the MinC-MinD-MinE system	18,68	0,96	610,48	64,07	17	884	0	-0,118	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2577	ECK2593	yfiO	predicted lipoprotein	15,68	0,84	165,27	73,88	18	878	0	-0,484	0
JW5676	ECK3471	rbbA	fused ribosome-associated ATPases	1,86	1,17	2	33,04	20	876	5	0,077	GO:0005737 cytoplasm
JW0636	ECK0634	rlpB	minor lipoprotein	67,13	0,96	99,64	60	16	874	0	-0,252	GO:0019866 inner membrane
JW1823	ECK1833	yebT	conserved protein	1,19	0,05	1,38	22,81	14	871	1	-0,098	GO:0009274 cell wall (sensu Bacteria)
JW3753	ECK3772	rhlB	ATP-dependent RNA helicase	3,18	1,39	56,81	50,59	16	866	0	-0,346	0
JW5873	ECK4366	prfC	peptide chain release factor RF-3	4,41	0	398	43,86	19	865	0	-0,326	GO:0005737 cytoplasm
JW1178	ECK1177	dadA	D-amino acid dehydrogenase	3,92	2,64	220	46,53	17	862	0	-0,216	0
JW4204	ECK4240	pyrB	aspartate carbamoyltransferase, catalytic subunit	7,96	5,13	2.372	51,45	17	860	0	-0,105	GO:0005737 cytoplasm
JW2804	ECK2832	aas	fused 2-acylglycerophospho-ethanolamine acyl transferase -!- acyl-acyl carrier protein synthetase	1,74	0,09	-	34,91	20	860	0	-0,042	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW5401	ECK2504	guaB	IMP dehydrogenase	2,04	2,37	604,57	40,98	12	858	0	-0,098	GO:0005737 cytoplasm
JW2998	ECK3021	parE	DNA topoisomerase IV, subunit B	2,76	0,33	41,26	31,75	19	857	0	-0,345	GO:0005737 cytoplasm
JW2136	ECK2142	mglA	fused methyl-galactoside transporter subunitsl -!- ATP-binding components of ABC superfamily	1,88	3	123,27	36,76	16	855	0	-0,155	GO:0005737 cytoplasm
JW2552	ECK2566	lepB	leader peptidase (signal peptidase I)	10,45	1	1,54	44,14	16	854	2	-0,156	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW2569	ECK2583	pssA	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)	2,98	0,86	99,64	41,91	16	853	0	-0,429	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3282	ECK3307	rplC	50S ribosomal subunit protein L3	24,81	6,68	1062,41	76,56	21	850	0	-0,235	GO:0009281 cytosolic ribosome (sensu Bacteria) -!- GO:0005737 cytoplasm
JW1087	ECK1087	ptsG	fused glucose-specific PTS enzyme IIBC components	33,15	5,57	2,53	25,37	17	847	10	0,618	GO:0009274 cell wall (sensu Bacteria) -!- GO:0019866 inner membrane
JW3564	ECK3580	selA	selenocysteine synthase	2,16	-	22,71	39,96	16	845	0	-0,055	GO:0005737 cytoplasm
JW0007	ECK0008	talB	transaldolase B	3,49	2	1636,47	50,16	15	845	0	0.000	GO:0005737 cytoplasm
JW0058	ECK0060	hepA	RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)	0,96	0,47	88,89	20,66	17	839	0	-0,355	0
JW3794	ECK3815	pldA	outer membrane phospholipase A	10,79	0,59	30,64	65,05	12	830	0	-0,446	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
JW1490	ECK1489	yddB	predicted porin protein	1,51	-	-	28,48	16	824	0	-0,584	0
JW5780	ECK4308	fimD	outer membrane usher protein, type 1 fimbrial synthesis	1,64	0	1,47	27,33	14	814	1	-0,415	GO:0009274 cell wall (sensu Bacteria) -!- GO:0009279 external outer membrane (sensu Gram-negative Bacteria)
