Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	secY Unique Peptides	secY Unique Spectra	secY Total #spectra	QsecY
P0ADL3	YICN_ECOLI	C6EDA6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	150	5	5	10	0.4
P0AEP1	GALP_ECOLI	C6EIG8_ECOBD	B	Sugar transporter	464	2	2	2	0.5
P30844	BASS_ECOLI	C6ED12_ECOBD	B	Histidine kinase	366	5	5	8	0.32
P0C0S1	MSCS_ECOLI	C6EII5_ECOBD	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	12	13	24	0.153846154
P32705	ACTP_ECOLI	C6ED58_ECOBD	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549	4	4	4	0.25
P52101	YFHK_ECOLI	C6EKF1_ECOBD	B	Histidine kinase (Predicted sensory kinase in two-component system)	475	11	12	21	0.159090909
P0AFE8	NUOM_ECOLI	C6E9S5_ECOBD	B	NADH dehydrogenase subunit M (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase. chain M)	509	1	1	1	1
P15993	AROP_ECOLI	C6EAU5_ECOBD	B	Amino acid permease-associated region	456	2	3	4	0.666666667
P75958	LOLE_ECOLI	C6EGX4_ECOBD	B	Lipoprotein releasing system. transmembrane protein LolE	412	11	12	14	0.106060606
P0AEQ6	GLNP_ECOLI	C6EIX2_ECOBD	B	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter. inner membrane subunit)	219	1	1	1	1
P0AEN4	FTSL_ECOLI	C6EAX2_ECOBD	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	121	3	4	4	0.333333333
P76445	YEIU_ECOLI	C6EA23_ECOBD	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237	3	3	3	0.333333333
P37652	BCSB_ECOLI	C6EEF1_ECOBD	B	Cellulose synthase subunit B	767	4	4	5	0.3125
P0AFH6	OPPC_ECOLI	C6EFZ1_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	302	2	2	4	1
P0AF52	YJCD_ECOLI	C6ED60_ECOBD	B	Predicted permease (Xanthine/uracil/vitamin C permease)	449	2	3	6	1
P0A7E5	PYRG_ECOLI	C6EJ92_ECOBD	B	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	545	3	3	3	0.333333333
P0AFF2	NUPC_ECOLI	C6EL76_ECOBD	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	400	4	6	13	0.541666667
P0AGC7	SMP_ECOLI	C6EBI4_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	214	7	7	8	0.163265306
P0AFY6	SBMA_ECOLI	C6ELL0_ECOBD	B	Predicted transporter (SbmABacA family protein)	406	1	1	2	2
P0AFA2	NARX_ECOLI	C6EGP2_ECOBD	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	598	4	4	5	0.3125
P64423	ZNTB_ECOLI	C6EFP1_ECOBD	B	Mg2 transporter protein CorA family protein (Zinc transporter)	327	5	5	10	0.4
P45537	YHFK_ECOLI	C6EGA5_ECOBD	B	Integral membrane protein. YccS/YhfK family	696	6	7	11	0.261904762
P03961	ATKC_ECOLI	C6EJN8_ECOBD	B	Potassium-transporting ATPase C chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	190	1	1	1	1
P0AC23	FOCA_ECOLI	C6EI78_ECOBD	B	Formate transporter (Formate/nitrite transporter)	285	2	3	4	0.666666667
Q2MB16	YOBH_ECOLI	C6EC03_ECOBD	B	Putative uncharacterized protein	79	1	1	1	1
P0ACV4	YCIS_ECOLI	C6EFV5_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	102	3	4	6	0.5
P0AAE0	CYCA_ECOLI	C6ECD6_ECOBD	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	4	4	9	0.5625
P0ABF8	PGSA_ECOLI	C6EBF0_ECOBD	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	182	2	2	2	0.5
P0AAS3	YBBJ_ECOLI	C6EKX6_ECOBD	B	Putative uncharacterized protein	152	1	1	1	1
P0ABM9	CCMH_ECOLI	C6EA06_ECOBD	B	Cytochrome C biogenesis protein (Heme lyase. CcmH subunit)	350	5	5	6	0.24
P69423	TATC_ECOLI	C6EF58_ECOBD	B	Sec-independent protein translocase. TatC subunit (TatABCE protein translocation system subunit)	258	2	3	3	0.5
P75822	YBJT_ECOLI	C6EIB2_ECOBD	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	476	2	2	2	0.5
P0A8Q0	FRDC_ECOLI	C6ECX1_ECOBD	B	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	131	1	1	1	1
P09549	DEDD_ECOLI	C6ELD9_ECOBD	B	Putative uncharacterized protein dedD (Sporulation domain protein)	220	5	5	8	0.32
P25396	TEHA_ECOLI	C6EET4_ECOBD	B	C4-dicarboxylate transporter/malic acid transport protein (Potassium-tellurite ethidium and proflavin transporter)	330	1	1	1	1
P0AER0	GLPF_ECOLI	C6EEX1_ECOBD	B	Glycerol facilitator (MIP family channel protein)	281	1	1	1	1
P0A8K8	YIHY_ECOLI	C6EF15_ECOBD	B	Ribonuclease BN	290	3	3	3	0.333333333
P0AAS0	YLAC_ECOLI	C6EL06_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	156	2	2	2	0.5
P0ADC6	LPTG_ECOLI	C6EC89_ECOBD	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	360	8	9	14	0.194444444
P39830	YBAL_ECOLI	C6EKY6_ECOBD	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	12	17	34	0.166666667
P24205	MSBB_ECOLI	C6EBX2_ECOBD	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	323	2	2	2	0.5
P07117	PUTP_ECOLI	C6EHJ1_ECOBD	B	Proline:sodium symporter (Sodium/proline symporter)	502	1	1	2	2
P64564	YGGT_ECOLI	C6EIF9_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	188	2	2	2	0.5
P63340	YQEG_ECOLI	C6EIP8_ECOBD	B	Predicted transporter (Serine transporter)	409	1	1	1	1
P0AE16	AMPG_ECOLI	C6EL33_ECOBD	B	AmpG-related permease (Muropeptide transporter)	491	1	1	1	1
P0AD42	YFHB_ECOLI	C6EK28_ECOBD	B	HAD superfamily (Subfamily IF) hydrolase. YfhB	211	1	1	1	1
P37659	YHJU_ECOLI	C6EEE5_ECOBD	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	559	1	1	1	1
P0AER3	GLTJ_ECOLI	C6EK41_ECOBD	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter. inner membrane subunit)	246	2	2	2	0.5
P25737	LYSP_ECOLI	C6EAF7_ECOBD	B	Amino acid permease-associated region (Lysine transporter)	489	2	3	4	0.666666667
P0AE14	AMPE_ECOLI	C6EAU6_ECOBD	B	Predicted inner membrane protein (Signaling modulator of AmpD. AmpE)	284	2	2	2	0.5
P33927	CCMF_ECOLI	C6EA04_ECOBD	B	Cytochrome c assembly protein (Heme lyase. CcmF subunit)	647	2	2	2	0.5
P77307	YBBM_ECOLI	C6EKX3_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	259	1	1	1	1
P33607	NUOL_ECOLI	C6E9S4_ECOBD	B	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase. chain L)	613	3	4	9	0.75
P0AC44	DHSD_ECOLI	C6EJL5_ECOBD	B	Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase. hydrophobic membrane anchor protein)	115	2	3	7	1.166666667
P0AFF0	NUON_ECOLI	C6E9S6_ECOBD	B	Proton-translocating NADH-quinone oxidoreductase. chain N	485	2	2	2	0.5
P0AGH1	YHHJ_ECOLI	C6EEJ9_ECOBD	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	374	1	1	1	1
P0AFA7	NHAB_ECOLI	C6EGT1_ECOBD	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513	1	1	1	1
P0AEJ4	ENVZ_ECOLI	C6EFH0_ECOBD	B	Histidine kinase	450	3	3	4	0.444444444
P0A9Q9	DHAS_ECOLI	C6EFE1_ECOBD	B	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	367	1	1	1	1
P0AFE4	NUOK_ECOLI	C6E9S3_ECOBD	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	3	3	4	0.444444444
P31466	PURP_ECOLI	C6EG89_ECOBD	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	445	2	3	4	0.666666667
P15286	FLK_ECOLI	C6ELD2_ECOBD	B	Flagella assembly protein (Predicted flagella assembly protein)	331	4	4	4	0.25
P31547	METI_ECOLI	C6EA86_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	217	2	2	8	2
P0AFE0	NUOJ_ECOLI	C6E9S2_ECOBD	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184	1	1	2	2
P60955	LGT_ECOLI	C6EJ41_ECOBD	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	291	3	4	6	0.5
P39385	YJIN_ECOLI	C6EBP2_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	426	2	2	2	0.5
P37340	MDTK_ECOLI	C6ECU0_ECOBD	B	Multidrug resistance protein mdtK (Multidrug-efflux transporter)	457	2	2	2	0.5
P0AA86	DSBE_ECOLI	C6EA05_ECOBD	B	Periplasmic thioredoxin of cytochrome c-type biogenesis (Redoxin domain protein)	185	1	1	1	1
P39836	YFEH_ECOLI	C6EL69_ECOBD	B	Bile acid:sodium symporter (Predicted inner membrane protein)	332	2	3	3	0.5
P0ABN1	KDGL_ECOLI	C6EDX8_ECOBD	B	Diacylglycerol kinase (EC 2.7.1.107)	122	2	2	2	0.5
P07654	PSTA_ECOLI	C6EG77_ECOBD	B	Phosphate ABC transporter. inner membrane subunit PstA (Phosphate transporter subunit)	296	1	1	1	1
P33915	YEJE_ECOLI	C6EA18_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Predicted oligopeptide transporter subunit)	341	1	1	1	1
P76399	MDTC_ECOLI	C6EAM9_ECOBD	B	Acriflavin resistance protein (Multidrug efflux system. subunit C)	1025	3	3	3	0.333333333
P37642	YHJD_ECOLI	C6EEG1_ECOBD	B	Conserved inner membrane protein (Ribonuclease)	337	3	4	4	0.333333333
P64545	YFGG_ECOLI	C6EKK6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yfgG)	63	1	1	1	1
P39310	YTFB_ECOLI	C6ECD8_ECOBD	B	Opacity-associated protein A (Predicted cell envelope opacity-associated protein)	212	2	2	2	0.5
P42601	ALX_ECOLI	C6EHQ7_ECOBD	B	Integral membrane protein TerC (Predicted inner membrane protein. part of terminus)	321	3	5	9	0.6
P18392	RSTB_ECOLI	C6EDN9_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	433	1	1	1	1
P0ABE5	C561_ECOLI	C6EEU4_ECOBD	B	Cytochrome B561 (Cytochrome b561) (EC 1.2.2.4)	176	1	1	1	1
P52067	FSR_ECOLI	C6EKY5_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	406	1	1	2	2
P33941	YOJI_ECOLI	C6E9Y8_ECOBD	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	547	2	2	4	1
P77726	YAJR_ECOLI	C6EL42_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted transporter)	454	1	1	1	1
P0AG71	RMUC_ECOLI	C6EF64_ECOBD	B	Predicted recombination limiting protein (Putative uncharacterized protein)	475	1	1	1	1
P0AFS7	YDIK_ECOLI	C6ECR8_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	370	1	1	2	2
P75901	EFEU_ECOLI	C6EHJ0_ECOBD	B	FTR1 family protein	276	1	1	1	1
P69801	PTNC_ECOLI	C6EC12_ECOBD	B	Mannose-specific enzyme IIC component of PTS (PTS system. mannose/fructose/sorbose family. IIC subunit)	266	2	2	2	0.5
P0A6S5	FTSB_ECOLI	C6EJB9_ECOBD	B	Cell diviision protein FtsB (Septum formation initiator)	103	1	1	1	1
P0AE06	ACRA_ECOLI	C6EL01_ECOBD	E	Efflux transporter. RND family. MFP subunit (Multidrug efflux system)	397	32	40	66	0.0515625
P28635	METQ_ECOLI	C6EA87_ECOBD	E	DL-methionine transporter subunit (Lipoprotein. YaeC family)	271	33	48	232	0.146464646
P0ADK0	YIAF_ECOLI	C6EEC7_ECOBD	E	Putative uncharacterized protein (Putative uncharacterized protein yiaF)	236	14	18	42	0.166666667
P76578	YFHM_ECOLI	C6EKI9_ECOBD	E	Alpha-2-macroglobulin domain protein (Putative uncharacterized protein yfhM)	1653	15	16	20	0.083333333
Q46837	ACFD_ECOLI	C6EID7_ECOBD	E	Lipoprotein AcfD-like protein	1520	24	28	46	0.068452381
P04846	NLPA_ECOLI	C6EDB0_ECOBD	E	Cytoplasmic membrane lipoprotein-28 (Lipoprotein. YaeC family)	272	6	7	8	0.19047619
P0AEE1	DCRB_ECOLI	C6EFA2_ECOBD	E	Periplasmic protein (Putative uncharacterized protein)	185	11	16	35	0.198863636
P67553	YNFC_ECOLI	C6EDR3_ECOBD	E	Putative uncharacterized protein	248	1	1	1	1
P0AB85	APBE_ECOLI	C6E9Y5_ECOBD	E	ApbE family lipoprotein (Predicted thiamine biosynthesis lipoprotein)	351	1	1	1	1
P0AB10	YMBA_ECOLI	C6EI30_ECOBD	E	Putative uncharacterized protein	187	3	3	4	0.444444444
P0ABB0	ATPA_ECOLI	C6EG69_ECOBD	F1	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	513	41	49	125	0.06222001
P0AGD7	SRP54_ECOLI	C6EJY2_ECOBD	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	10	12	18	0.15
P0AFM6	PSPA_ECOLI	C6EFS8_ECOBD	F1	Phage shock protein A. PspA (Regulatory protein for phage-shock-protein operon)	222	24	29	86	0.123563218
P33599	NUOCD_ECOLI	C6E9R6_ECOBD	F1	NADH dehydrogenase I. D subunit (NADH:ubiquinone oxidoreductase. chain C.D) (EC 1.6.5.3)	600	14	14	24	0.12244898
P0CE48	EFTU2_ECOLI	C6EE39_ECOBD	F1	Elongation factor Tu	394	26	33	139	0.162004662
P0A9P0	DLDH_ECOLI	C6EAU1_ECOBD	F1	Dihydrolipoyl dehydrogenase (EC 1.8.1.4)	474	10	10	14	0.14
P10408	SECA_ECOLI	C6EAV7_ECOBD	F1	Protein translocase subunit secA	901	17	19	38	0.117647059
P07014	DHSB_ECOLI	C6EJL3_ECOBD	F1	Succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC 1.3.99.1) (Succinate dehydrogenase. FeS subunit) (EC 1.3.99.1)	238	15	19	31	0.10877193
P21513	RNE_ECOLI	C6EHC9_ECOBD	F1	Fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein (EC 3.1.4.-) (Ribonuclease. Rne/Rng family)	1061	45	49	120	0.054421769
P0A7A7	PLSB_ECOLI	C6EDX9_ECOBD	F1	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	807	26	31	79	0.098014888
P0AFD6	NUOI_ECOLI	C6E9S1_ECOBD	F1	NADH-quinone oxidoreductase subunit I (EC 1.6.99.5) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	180	5	6	8	0.266666667
P0AC41	DHSA_ECOLI	C6EJL4_ECOBD	F1	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1) (Succinate dehydrogenase or fumarate reductase. flavoprotein subunit)	588	26	31	82	0.101736973
P0AAH0	PSTB_ECOLI	C6EG78_ECOBD	F1	Phosphate ABC transporter. ATPase subunit (Phosphate transporter subunit)	257	9	10	13	0.144444444
P10346	GLNQ_ECOLI	C6EIX3_ECOBD	F1	ABC transporter related (Glutamine ABC transporter ATP-binding protein)	240	15	18	35	0.12962963
P0A9X4	MREB_ECOLI	C6EGL0_ECOBD	F1	Cell shape determining protein. MreB/Mrl family (Cell wall structural complex MreBCD. actin-like component MreB)	347	7	8	16	0.285714286
P63386	MLAF_ECOLI	C6EH32_ECOBD	F1	ABC transporter related (Predicted toluene transporter subunit: ATP-binding component of ABC superfamily)	269	9	10	18	0.2
P61889	MDH_ECOLI	C6EGZ6_ECOBD	F1	Malate dehydrogenase (EC 1.1.1.37)	312	9	10	14	0.155555556
P13035	GLPD_ECOLI	C6EFE8_ECOBD	F1	FAD dependent oxidoreductase	501	3	3	4	0.444444444
P0ABA6	ATPG_ECOLI	C6EG70_ECOBD	F1	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	287	10	13	24	0.184615385
P0A7E1	PYRD_ECOLI	C6EI37_ECOBD	F1	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	336	12	16	30	0.15625
P03004	DNAA_ECOLI	C6ECH7_ECOBD	F1	Chromosomal replication initiator protein dnaA	467	5	5	5	0.2
P69797	PTNAB_ECOLI	C6EC13_ECOBD	F1	Fused mannose-specific PTS enzymes: IIA component/IIB component (EC 2.7.1.69) (PTS system. mannose/fructose/sorbose family. IIA subunit) (EC 2.7.1.69)	323	9	10	11	0.122222222
P10907	UGPC_ECOLI	C6EFC4_ECOBD	F1	ABC transporter related	356	3	3	3	0.333333333
P0AFC7	NUOB_ECOLI	C6E9R5_ECOBD	F1	NADH-quinone oxidoreductase subunit B (EC 1.6.99.5) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	220	6	6	7	0.194444444
P0A6J5	DADA_ECOLI	C6EGS8_ECOBD	F1	D-amino acid dehydrogenase small subunit (EC 1.4.99.1) (D-amino-acid dehydrogenase) (EC 1.4.99.1)	432	12	12	19	0.131944444
P69783	PTGA_ECOLI	C6EL60_ECOBD	F1	Glucose-specific PTS system enzyme IIA component (EC 2.7.1.69) (PTS system. glucose subfamily. IIA subunit)	169	3	3	3	0.333333333
P30750	METN_ECOLI	C6EA85_ECOBD	F1	D-methionine ABC transporter. ATPase subunit (DL-methionine transporter subunit)	343	6	6	6	0.166666667
P0A9X1	ZNUC_ECOLI	C6EBW9_ECOBD	F1	ABC transporter related (High-affinity zinc transporter ATPase)	251	6	6	6	0.166666667
P0A756	KEFG_ECOLI	C6EGB2_ECOBD	F1	NAD(P)H dehydrogenase (Quinone)	183	3	3	3	0.333333333
P0ABH0	FTSA_ECOLI	C6EAW1_ECOBD	F1	Cell division protein (Cell division protein FtsA)	420	4	4	4	0.25
P07000	PLDB_ECOLI	C6EF86_ECOBD	F1	Lysophospholipase (EC 3.1.1.5) (Lysophospholipase L(2)) (EC 3.1.1.5)	340	2	2	3	0.75
P0A9W3	YJJK_ECOLI	C6EBI0_ECOBD	F1	ABC transporter related (Fused predicted transporter subunits of ABC superfamily: ATP-binding components)	555	4	4	4	0.25
P06959	ODP2_ECOLI	C6EAU2_ECOBD	F1	Dihydrolipoamide acetyltransferase (EC 2.3.1.12) (Pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase) (EC 2.3.1.12)	630	7	7	14	0.285714286
P0ABB4	ATPB_ECOLI	C6EG71_ECOBD	F1	ATP synthase subunit beta (EC 3.6.3.14) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	460	20	21	31	0.073809524
P17443	MURG_ECOLI	C6EAW5_ECOBD	F1	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	14	17	44	0.18487395
P37751	YEFI_ECOLI	C6EB51_ECOBD	F1	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	3	4	5	0.416666667
P00393	DHNA_ECOLI	C6EGY3_ECOBD	F1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Respiratory NADH dehydrogenase 2/cupric reductase) (EC 1.16.1.-) (EC 1.6.99.3)	434	20	24	48	0.1
P36879	YADG_ECOLI	C6EAT0_ECOBD	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308	8	8	8	0.125
P60785	LEPA_ECOLI	C6EK18_ECOBD	F1	GTP-binding protein lepA	599	4	5	5	0.25
P75957	LOLD_ECOLI	C6EGX5_ECOBD	F1	Lipoprotein releasing system. ATP-binding protein (Outer membrane-specific lipoprotein transporter subunit)	233	3	3	3	0.333333333
P05055	PNP_ECOLI	C6EH61_ECOBD	F1	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)	711	1	1	1	1
P69874	POTA_ECOLI	C6EGW5_ECOBD	F1	Putrescine/spermidine ABC transporter ATPase protein (Spermidine/putrescine ABC transporter ATPase subunit)	378	2	2	2	0.5
P0A9V1	LPTB_ECOLI	C6EH26_ECOBD	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	12	15	16	0.088888889
P0A8K1	PSD_ECOLI	C6ECW5_ECOBD	F1	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65)	322	10	10	15	0.15
P26647	PLSC_ECOLI	C6EHX6_ECOBD	F1	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	4	7	11	0.392857143
P07109	HISP_ECOLI	C6ELE7_ECOBD	F1	ABC transporter related (Histidine/lysine/arginine/ornithine transporter subunit)	257	10	14	17	0.121428571
P23830	PSS_ECOLI	C6EK01_ECOBD	F1	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	13	14	20	0.10989011
P0A9R7	FTSE_ECOLI	C6EFB1_ECOBD	F1	Type II (General) Secretory Pathway (IISP) Family protein	222	5	6	8	0.266666667
P31979	NUOF_ECOLI	C6E9R8_ECOBD	F1	NADH-quinone oxidoreductase. F subunit (EC 1.6.99.5) (NADH:ubiquinone oxidoreductase. chain F) (EC 1.6.5.3)	445	4	4	5	0.3125
P0ABA4	ATPD_ECOLI	C6EG68_ECOBD	F1	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta)	177	4	5	7	0.35
P33602	NUOG_ECOLI	C6E9R9_ECOBD	F1	NADH-quinone oxidoreductase (EC 1.6.99.5)	908	6	6	8	0.222222222
P06149	DLD_ECOLI	C6EAH8_ECOBD	F1	D-lactate dehydrogenase (EC 1.1.1.28) (D-lactate dehydrogenase. FAD-binding. NADH independent) (EC 1.1.1.28)	571	1	1	2	2
P10441	LPXB_ECOLI	C6EAA3_ECOBD	F1	Lipid-A-disaccharide synthase (EC 2.4.1.182)	382	4	4	4	0.25
P0A6Y8	DNAK_ECOLI	C6EB40_ECOBD	F1	Chaperone protein DnaK (Molecular chaperone DnaK)	638	13	14	16	0.087912088
P75796	GSIA_ECOLI	C6EIV3_ECOBD	F1	ABC transporter related	623	1	1	5	5
P0A9A6	FTSZ_ECOLI	C6EAW0_ECOBD	F1	Cell division protein ftsZ	383	3	3	3	0.333333333
P25746	HFLD_ECOLI	C6EGV9_ECOBD	F1	High frequency lysogenization protein hflD	213	4	4	4	0.25
P0AGB6	RPOE_ECOLI	C6EK14_ECOBD	F1	RNA polymerase sigma factor	191	5	5	5	0.2
P06611	BTUD_ECOLI	C6ECP8_ECOBD	F1	ABC transporter related (Vitamin B12-transporter ATPase)	249	2	2	2	0.5
P0AEZ3	MIND_ECOLI	C6EGU1_ECOBD	F1	Membrane ATPase of the MinC-MinD-MinE system (Septum site-determining protein MinD)	270	5	5	5	0.2
P0AAH8	SAPF_ECOLI	C6EFU2_ECOBD	F1	ABC transporter related (Predicted antimicrobial peptide transporter subunit)	268	3	3	4	0.444444444
P0AAF6	ARTP_ECOLI	C6EIB7_ECOBD	F1	Arginine transporter ATP-binding subunit (Arginine transporter subunit)	242	4	4	5	0.3125
P0A6Z3	HTPG_ECOLI	C6EKZ1_ECOBD	F1	Chaperone protein htpG (Heat shock protein htpG) (High temperature protein G)	624	1	1	1	1
P0AEK4	FABI_ECOLI	C6EFU4_ECOBD	F1	Enoyl-(Acyl carrier protein) reductase (EC 1.3.1.9) (Short-chain dehydrogenase/reductase SDR)	262	2	2	2	0.5
P0AEB2	DACA_ECOLI	C6EK61_ECOBD	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5)) (EC 3.4.16.4)	403	28	31	56	0.064516129
P77804	YDGA_ECOLI	C6EDN4_ECOBD	F2	Putative uncharacterized protein (Putative uncharacterized protein ydgA)	502	30	33	44	0.044444444
P75830	MACA_ECOLI	C6EIA3_ECOBD	F2	Efflux transporter. RND family. MFP subunit (Macrolide transporter subunit. membrane fusion protein (MFP) component)	371	11	12	13	0.098484848
P24228	DACB_ECOLI	C6EH45_ECOBD	F2	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4) (D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase) (EC 3.4.16.4)	477	17	19	22	0.068111455
P76397	MDTA_ECOLI	C6EAN1_ECOBD	F2	Multidrug resistance protein mdtA (Multidrug transporter mdtA)	415	12	12	12	0.083333333
P08506	DACC_ECOLI	C6EIU4_ECOBD	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6a)) (EC 3.4.16.4)	400	25	32	49	0.06125
P23865	PRC_ECOLI	C6EBZ9_ECOBD	F2	Carboxy-terminal protease for penicillin-binding protein 3 (EC 3.4.21.-) (Carboxyl-terminal protease) (EC 3.4.21.102)	682	2	2	4	1
P0ADS6	YGGE_ECOLI	C6EII7_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein yggE)	246	15	16	25	0.104166667
P00634	PPB_ECOLI	C6ELK4_ECOBD	G	Alkaline phosphatase (EC 3.1.3.1) (Bacterial alkaline phosphatase) (EC 3.1.3.1)	471	20	23	139	0.302173913
P23843	OPPA_ECOLI	C6EGM4_ECOBD	G	Extracellular solute-binding protein family 5	558	6	6	6	0.166666667
P39099	DEGQ_ECOLI	C6EGZ8_ECOBD	G	Protease Do (EC 3.4.21.108) (Serine endoprotease. periplasmic) (EC 3.4.21.-)	455	26	30	57	0.073076923
P77202	DSBG_ECOLI	C6EK90_ECOBD	G	Disulfide isomerase/thiol-disulfide oxidase (Periplasmic disulfide isomerase/thiol-disulfide oxidase) (EC 5.3.4.1)	253	1	1	1	1
P37648	YHJJ_ECOLI	C6EEF6_ECOBD	G	Peptidase M16 domain protein (Predicted zinc-dependent peptidase)	498	7	7	10	0.204081633
P45523	FKBA_ECOLI	C6EGB7_ECOBD	G	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	270	7	8	9	0.160714286
