predicted location (PSORTbv3.0.2)		Score			emPAI			Peptides			Sequence coverage (%)	
253774604	nucleoside-specific channel-forming protein Tsx 	outer membrane	180	62	59	0,33	0,1	0,1	4	2	59	10,5	6,1	6,1
253772515	phospholipase D/Transphosphatidylase 	cytoplasmic	252	47		0,44	0,06		10	4		25,9	6,9	
253775574	Uroporphyrinogen-III C-methyltransferase 	cytoplasmic membrane	99	87	111	0,16	0,08	0,35	2	1	111	6,4	3,6	14,5
253775406	sulfatase 	cytoplasmic membrane		76	221		0,1	0,62		4	221		6,2	14,9
253773211	Mammalian cell entry related domain protein 	unknown		59	238		0,07	0,31		6	238		6,4	10,9
253772509	outer membrane assembly lipoprotein YfiO 	outer membrane	132	107	56	0,25	0,12	0,12	3	5	56	15,1	18	8,6
253772294	Peptidase M23 	outer membrane	96	99	100	0,26	0,26	0,26	4	4	100	15,9	16,7	19,1
253773987	polysaccharide export protein 	outer membrane		84	204		0,24	0,37		6	204		9,1	13,8
253772790	NADH-ubiquinone/plastoquinone oxidoreductase chain 3 	cytoplasmic membrane	86		198	0,45		0,75	2		198	17,7		24,5
253775386	ribosomal protein L10 	cytoplasmic		278			1,84			7			46,7	
253774608	preprotein translocase, YajC subunit 	cytoplasmic membrane	96	91	88	0,29	0,66	0,66	2	2	88	14,5	20	20
253775384	DNA-directed RNA polymerase, beta subunit 	cytoplasmic		220	55		0,24	0,04		14	55		10,1	3,5
253775200	HflC protein 	cytoplasmic	74	106	91	0,18	0,4	0,4	6	6	91	18	17,4	26
253775257	sulfatase 	cytoplasmic membrane	77		190	0,11		0,29	2		190	3,3		9,7
253775331	Glycerol-3-phosphate O-acyltransferase 	cytoplasmic membrane		176	85		0,28	0,23		15	85		13,8	12,1
253771526	Three-deoxy-D-manno-octulosonic-acid transferase domain protein 	unknown		127	134		0,14	0,31		3	134		8,2	10,6
253772779	phosphate acetyltransferase 	cytoplasmic		255			0,28			11			11,8	
253771973	Mammalian cell entry related domain protein 	unknown	122	78	53	0,37	0,17	0,17	2	1	53	14,2	6,6	4,9
253775196	VacB and RNase II family 3'-5' exoribonuclease 	cytoplasmic		185	64		0,15	0,07		6	64		6,3	4,4
253775660	60 kDa inner membrane insertion protein 	cytoplasmic membrane		51	198		0,05	0,3		3	198		7,3	6,8
253774934	carbamoyl-phosphate synthase, large subunit 	unknown		170	78		0,21	0,03		10	78		10,1	1
253775493	GTP-binding protein TypA 	cytoplasmic membrane		246			0,61			14			21,1	
253774858	2-oxo-acid dehydrogenase E1 subunit, homodimeric type 	cytoplasmic		148	97		0,21	0,1		11	97		10,7	8,2
253772977	putative PTS IIA-like nitrogen-regulatory protein PtsN 	cytoplasmic	83	158		0,2	1,07		3	4		25,3	30,7	
253771914	acetyl-CoA carboxylase, biotin carboxylase 	cytoplasmic		178	61		0,78	0,14		14	61		32,1	10,7
253772532	GTP-binding protein LepA 	cytoplasmic membrane		236			0,61			12			18,5	
253772220	S-adenosylmethionine synthetase 	cytoplasmic		230			0,83			9			21,1	
253771756	gluconate transporter 	cytoplasmic membrane		111	119		0,15	0,15		4	119		9,4	5,3
253772590	transcriptional regulator, XRE family 	unknown		106	123		0,3	0,69		2	123		9,2	19,9
253774573	ATP-dependent Clp protease, ATP-binding subunit ClpX 	cytoplasmic		228			0,73			8			21	
253774290	protein TolA 	cytoplasmic	134	42	50	0,16	0,08	0,08	2	1	50	6,2	2,4	4,3
253772730	VacJ family lipoprotein 	outer membrane	112	64	50	0,4	0,4	0,25	4	3	50	14,7	11,6	10,8
253775420	aspartate kinase 	cytoplasmic membrane		123	103		0,2	0,07		10	103		11,1	5,3
253775430	heat shock protein HslVU, ATPase subunit HslU 	cytoplasmic		224			0,57			9			19,4	
253774041	asparaginyl-tRNA synthetase 	cytoplasmic	131		89	0,2		0,35	4		89	10,3		16,5
253773876	PTS system, glucose-specific IIBC subunit 	cytoplasmic membrane	95		125	0,06		0,29	1		125	3,8		9,2
253771816	transcriptional regulator, Crp/Fnr family 	cytoplasmic		220			1,52			6			31,9	
253774088	ATP-dependent Clp protease, ATP-binding subunit clpA 	cytoplasmic		215			0,36			11			14	
253774856	dihydrolipoamide dehydrogenase 	cytoplasmic		157	52		0,46	0,06		4	52		10,5	2,3
253774811	protease Do 	periplasmic	77	126		0,07	0,14		1	4		2,7	9,3	
253774854	aconitate hydratase 2 	cytoplasmic		108	95		0,11	0,03		10	95		11,2	1,5
253774020	Mammalian cell entry related domain protein 	unknown		69	131		0,11	0,24		2	131		4,6	12,1
253772002	DEAD/DEAH box helicase domain protein 	cytoplasmic		153	45		0,31			8	45		14	1
253775175	ribosomal protein S6 	cytoplasmic		121	76		1,24	0,5		7	76		35,9	13,7
253772821	NAD-dependent epimerase/dehydratase 	cytoplasmic		195			0,19			8			9,7	
253775137	anaerobic ribonucleoside-triphosphate reductase 	cytoplasmic		189			0,27			10			14,3	
253771881	DNA-directed RNA polymerase, alpha subunit 	cytoplasmic		188			0,54			9			27,7	
253773189	pyruvate kinase 	cytoplasmic		143	45		0,36	0,13		6	45		13,3	5
253774578	Uncharacterized lipoprotein 	unknown	110		75	0,56		0,35	3		75	17,7		10,4
253774292	protein TolQ 	cytoplasmic membrane	106	76		0,13	0,45		2	2		11,3	11,3	
253771753	transcriptional regulator, TetR family 	cytoplasmic	119	62		0,3	0,3		2	2		12,6	12,6	
253772126	protein of unknown function DUF1190 	periplasmic	78		103	0,14		0,14	1		103	7,6		5,8
253772143	DNA topoisomerase IV, A subunit 	cytoplasmic		178			0,21			9			13	
253774291	protein TolR 	cytoplasmic membrane	59	54	62	0,22	0,22	0,22	1	2	62	9,2	15,5	15,5
253772496	signal recognition particle protein 	unknown		170			0,29			8			19,2	
253773279	signal peptide peptidase SppA, 67K type 	cytoplasmic membrane			166			0,15			166			7,4
253775229	chaperonin GroEL 	cytoplasmic		65	98		0,06	0,18		2	98		4,4	10
253771821	ABC transporter related 	cytoplasmic		160			0,31			9			14	
253771861	ribosomal protein L22 	cytoplasmic	57		101	0,28		0,64	2		101	15,5		15,5
253775117	Leucyl aminopeptidase 	cytoplasmic		158			0,33			7			15,1	
253774818	glutamate-1-semialdehyde-2,1-aminomutase 	cytoplasmic		158			0,63			6			16,7	
253774913	heat shock protein DnaJ domain protein 	cytoplasmic membrane	91	64					1	1		4,4	4,4	
253774911	SNF2-related protein 	cytoplasmic		153			0,12			12			11,2	
253775132	magnesium-translocating P-type ATPase 	cytoplasmic membrane			151			0,1			151			3,7
253772794	NADH-quinone oxidoreductase, F subunit 	cytoplasmic			151			0,21			151			13,3
253774379	Peptidoglycan glycosyltransferase 	cytoplasmic membrane		52	98		0,05	0,15		1	98		1,9	12,6
253775091	TonB-dependent siderophore receptor 	outer membrane	56	46	47	0,04	0,04	0,08	2	2	47	2,2	2,3	4,5
253775632	ATP synthase F1, gamma subunit 	cytoplasmic membrane		149			0,22			3			11,5	
253772402	Peptidase M23 	outer membrane			148			0,27			148			11,6
253772792	NADH dehydrogenase I, D subunit 	cytoplasmic			144			0,2			144			13,7
253773404	tyrosyl-tRNA synthetase 	cytoplasmic		86	55		0,14	0,07		3	55		6,6	5,4
253775545	5-methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase 	cytoplasmic		140			0,08			5			7,4	
253772112	rfaE bifunctional protein 	cytoplasmic		140			0,28			9			19,9	
253773233	L-serine dehydratase 1 	cytoplasmic		138			0,47			7			16,3	
253775657	tryptophanase 	cytoplasmic		73	65		0,13	0,13		4	65		7	4
253772000	Polyribonucleotide nucleotidyltransferase 	cytoplasmic		137			0,28			7			9,4	
253773826	septum site-determining protein MinD 	cytoplasmic membrane		136			0,7			9			30	
253772836	glycerol-3-phosphate dehydrogenase, anaerobic, A subunit 	cytoplasmic membrane		135			0,38			9			17,3	
253771866	ribosomal protein L14 	cytoplasmic		135			2,05			6			51,2	
253771996	translation initiation factor IF-2 	cytoplasmic		134			0,1			9			9,1	
253774872	preprotein translocase, SecA subunit 	cytoplasmic membrane		134			0,1			3			3,7	
253774296	cytochrome d ubiquinol oxidase, subunit II 	cytoplasmic membrane		134			0,45			3			7,9	
253771940	ribosomal protein L13 	cytoplasmic		132			0,78			7			45,1	
253773630	porin Gram-negative type 	outer membrane			132			0,17			132			4,4
253774304	2-oxoglutarate dehydrogenase, E1 subunit 	cytoplasmic		51	79		0,06	0,06		5	79		4,6	3,9
253771785	Sporulation domain protein 	unknown		58	71		0,15	0,15		2	71		4,9	4,9
253775153	protein of unknown function DUF21 	cytoplasmic membrane			129			0,29			129			9,4
253774829	poly(A) polymerase 	cytoplasmic		70	58		0,06	0,06		2	58		4,3	1,9
253771540	2-amino-3-ketobutyrate coenzyme A ligase 	cytoplasmic	85		42	0,16		0,08	2		42	7,3		6,5
253772446	recA protein 	cytoplasmic		127			0,65			8			21	
253774981	DNA repair protein RadA 	cytoplasmic membrane		125			0,29			5			11,3	
253774580	ubiquinol oxidase, subunit II 	cytoplasmic membrane	59		65	0,09		0,09	1		65	4,4		4,4
253775025	carbon starvation protein CstA 	cytoplasmic membrane		67	57		0,04	0,09		2	57		2,7	3,6
253774057	lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA 	cytoplasmic membrane			122			0,28			122			10,8
253772786	aminotransferase class I and II 	cytoplasmic		121			0,42			6			13,1	
253775594	thioredoxin 	cytoplasmic	120			0,3			1			15,2		
253771869	ribosomal protein S14 	cytoplasmic	51		69	0,3		0,3	2		69	28,7		9,9
253774185	Ferritin Dps family protein 	cytoplasmic		120			1,71			8			47,3	
253773954	sodium/proline symporter 	cytoplasmic membrane			120			0,06			120			3
253775630	ATP synthase F1, delta subunit 	cytoplasmic		119			0,9			5			27,1	
253774382	Beta-lactamase 	cytoplasmic membrane			119			0,15			119			10,7
253774966	aspartate kinase 	cytoplasmic		118			0,15			6			7,8	
253772824	Phosphoglycerate mutase 	unknown		118			0,74			6			30	
253772411	DNA mismatch repair protein MutS 	cytoplasmic	53		63	0,03			1		63	0,9		0,9
253772595	small GTP-binding protein 	cytoplasmic		116			0,34			8			16,9	
253775342	binding-protein-dependent transport systems inner membrane component 	cytoplasmic membrane		49	67		0,06	0,12		1	67		1,6	5,4
253775198	adenylosuccinate synthetase 	cytoplasmic		54	58		0,07	0,07		3	58		7,2	4,2
253771552	FMN-dependent alpha-hydroxy acid dehydrogenase 	cytoplasmic			112			0,35			112			13,4
253774640	protein of unknown function DUF1615 	unknown		45	65		0,08	0,08		3	65		7,7	9,1
253772907	PTS system, fructose subfamily, IIC subunit 	cytoplasmic membrane			110			0,12			110			7,6
253772014	transport-associated 	periplasmic	109			0,36			2			15,2		
253775559	magnesium and cobalt transport protein CorA 	cytoplasmic membrane	45		64	0,19		0,19	2		64	9,5		12,7
253774848	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family 	cytoplasmic membrane			109			0,12			109			7
253772512	ATP-dependent chaperone ClpB 	cytoplasmic		107			0,11			9			10	
253775405	Phosphoenolpyruvate carboxylase 	cytoplasmic		105			0,1			7			7,8	
253775234	anaerobic c4-dicarboxylate antiporter, Dcu family 	cytoplasmic membrane		46	59		0,07	0,15		1	59		1,8	4,6
253772678	sulfate ABC transporter, ATPase subunit 	cytoplasmic membrane	59		45			0,08	1		45	4,7		2,5
253772607	Polyphosphate kinase 	cytoplasmic membrane		104			0,13			5			8,3	
253772167	Cytochrome-c3 hydrogenase 	cytoplasmic membrane		103			0,17			5			9,2	
253774599	NusB antitermination factor 	cytoplasmic		103			0,48			2			15,1	
253774886	Peptidoglycan glycosyltransferase 	cytoplasmic membrane		48	55		0,11	0,11		4	55		7,8	5,4
253774979	ABC transporter related 	cytoplasmic		102			0,23			7			13,2	
253774545	MscS Mechanosensitive ion channel 	cytoplasmic membrane			102			0,08			102			6
253773043	nucleotide sugar dehydrogenase 	cytoplasmic		101			0,55			6			14,9	
253773884	3-oxoacyl-(acyl-carrier-protein) reductase 	cytoplasmic		44	57		0,28	0,13		4	57		13,1	3,7
253773328	ribosomal protein L35 	cytoplasmic	99			1,2			2			27,7		
253775151	surface antigen (D15) 	outer membrane		42	57		0,05	0,1		1	57		2,1	6,6
253773281	selenide, water dikinase 	cytoplasmic		98			0,19			3			9,5	
253774731	glutamate 5-kinase 	cytoplasmic		97			0,27			4			12,8	
253771745	FAD dependent oxidoreductase 	cytoplasmic		43	54		0,06	0,06		4	54		8,4	8,4
253772571	inositol monophosphatase 	cytoplasmic		96			0,24			2			10,5	
253772885	sulfatase 	cytoplasmic membrane			96			0,1			96			3,9
253773731	Peptidase S49 domain protein 	cytoplasmic membrane		49	45		0,08	0,08		1	45		2	9,2
253775595	DEAD/DEAH box helicase domain protein 	cytoplasmic		93			0,14			5			10,2	
253774108	polar amino acid ABC transporter, inner membrane subunit 	cytoplasmic membrane	91			0,13			1			7,1		
253771439	DNA gyrase, B subunit 	cytoplasmic		91			0,2			9			10,3	
253771755	4-alpha-glucanotransferase 	cytoplasmic		91			0,23			7			10,2	
253775589	lipopolysaccharide biosynthesis protein 	cytoplasmic membrane		91			0,27			3			8	
253774355	tRNA-i(6)A37 thiotransferase enzyme MiaB 	cytoplasmic		90			0,19			4			7,8	
253773798	GTP-binding protein YchF 	cytoplasmic		90			0,37			3			9,4	
253773926	glycosyl transferase family 2 	cytoplasmic membrane			90			0,07			90			4,5
253773227	PTS system, mannose/fructose/sorbose family, IID subunit 	cytoplasmic membrane	46		43	0,22		0,22	2		43	7,7		3,1
253775260	metabolite/H+ symporter, major facilitator superfamily (MFS) 	cytoplasmic membrane			89			0,06			89			2,6
253774983	hypothetical protein ECBD_3633 	cytoplasmic membrane	88			0,14			1			6,1		
253775436	fructose-1,6-bisphosphatase, class II 	cytoplasmic		88			0,19			3			9,5	
253772500	ribosomal protein L19 	cytoplasmic		88			1,01			5			27,8	
253772448	alanyl-tRNA synthetase 	cytoplasmic			88			0,07			88			5,9
253774455	Bor family protein 	unknown			88			0,32			88			10,3
253772234	Phosphoglycerate kinase 	cytoplasmic			86			0,08			86			3,6
253772753	Beta-ketoacyl synthase 	cytoplasmic			86			0,08			86			5,4
253773461	protein of unknown function DUF1283 	unknown	85			0,26			1			10,6		
253774448	efflux transporter, RND family, MFP subunit 	unknown		85			0,07			2			5,9	
253772574	cysteine desulfurase IscS 	cytoplasmic		85			0,24			5			13,9	
253775195	RNA methyltransferase, TrmH family, group 3 	cytoplasmic		84			0,12			1			5,8	
253772591	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase 	cytoplasmic		84			0,36			6			17,2	
253772840	lipopolysaccharide kinase 	cytoplasmic		83			0,13			2			11,1	
253771832	ribosomal protein S12 	cytoplasmic		83			0,55			3			16,9	
253772290	PAS modulated sigma54 specific transcriptional regulator, Fis family 	cytoplasmic		82			0,05			1			2,2	
253771605	glycyl-tRNA synthetase, alpha subunit 	cytoplasmic		82			0,09			1			3,3	
253773534	TonB-dependent receptor plug 	outer membrane			82			0,11			82			7
253775579	glycosyl transferase, WecB/TagA/CpsF family 	cytoplasmic	81			0,12			1			3,7		
253772369	CTP synthase 	cytoplasmic			81			0,05			81			7
253775449	histidine kinase 	cytoplasmic membrane		80			0,13			3			6,3	
253774339	SeqA family protein 	cytoplasmic			80			0,16			80			7,2
253775621	aspartate/ammonia ligase 	cytoplasmic		79			0,09			1			4,2	
253775656	aromatic amino acid transporter 	cytoplasmic membrane			79			0,07			79			3,4
253775313	excinuclease ABC, A subunit 	cytoplasmic			79						79			2,6
253773049	histidinol-phosphatase 	cytoplasmic		78			0,17			2			5,1	
253774581	cytochrome o ubiquinol oxidase, subunit I 	cytoplasmic membrane			78			0,19			78			5,7
253774433	TonB-dependent siderophore receptor 	outer membrane		77			0,12			6			8,3	
253772843	ribonucleoside-diphosphate reductase, alpha subunit 	cytoplasmic		77			0,2			5			5,9	
253772606	Ppx/GppA phosphatase 	cytoplasmic		77			0,32			7			14,6	
253774595	deoxyxylulose-5-phosphate synthase 	cytoplasmic		76			0,05			3			5,5	
253772518	thioredoxin 	cytoplasmic		76			0,28			1			12,4	
253773298	acetylornithine and succinylornithine aminotransferase 	cytoplasmic			76			0,08			76			6,9
253774351	ROK family protein 	cytoplasmic		75			0,07			6			12,3	
253773420	adenosine deaminase 	cytoplasmic		75			0,3			5			14,4	
253774289	Tol-Pal system beta propeller repeat protein TolB 	periplasmic			75			0,07			75			10
253775173	ribosomal protein S18 	cytoplasmic	74			0,39			2			26,7		
253773766	UTP-glucose-1-phosphate uridylyltransferase 	cytoplasmic		74			0,21			3			10,9	
253774348	PTS system, N-acetylglucosamine-specific IIBC subunit 	cytoplasmic membrane			74			0,15			74			5,1
253774009	protein of unknown function DUF307 	cytoplasmic membrane			74			0,21			74			7,4
253772494	protein of unknown function DUF21 	cytoplasmic membrane			73			0,14			73			7,7
253771991	preprotein translocase, SecG subunit 	cytoplasmic membrane	72			0,3			1			16,4		
253772820	polysaccharide deacetylase 	cytoplasmic		72			0,1			3			10,5	
253773956	delta-1-pyrroline-5-carboxylate dehydrogenase 	cytoplasmic			72			0,07			72			5,3
253773357	FAD linked oxidase domain protein 	cytoplasmic			72			0,12			72			6,9
253773442	NAD(P)(+) transhydrogenase (AB-specific) 	cytoplasmic membrane			72			0,14			72			8,2
253771641	sodium:dicarboxylate symporter 	cytoplasmic membrane	70			0,07			1			2,3		
253772795	NADH-quinone oxidoreductase, chain G 	cytoplasmic			70			0,03			70			4
253774359	apolipoprotein N-acyltransferase 	cytoplasmic membrane			70			0,18			70			9
253774092	efflux transporter, RND family, MFP subunit 	cytoplasmic membrane	69			0,08			1			5,1		
253771777	penicillin-binding protein, 1A family 	cytoplasmic membrane			69			0,03			69			1,3
253774592	thiamine biosynthesis/tRNA modification protein ThiI 	cytoplasmic		68			0,06			1			2,9	
253775476	thioesterase domain protein 	cytoplasmic		68			0,09			1			3	
253775202	GTP-binding proten HflX 	cytoplasmic		68			0,14			2			4,7	
253771980	ribosomal protein L21 	cytoplasmic			68			0,3			68			9,7
253771451	heat shock protein Hsp20 	cytoplasmic		67			0,22			2			13,9	
253774954	chaperone protein DnaJ 	cytoplasmic		67			0,26			8			18,6	
253771956	multi-sensor hybrid histidine kinase 	cytoplasmic membrane		66			0,08			2			2,8	
253774537	heat shock protein Hsp90 	cytoplasmic		66			0,09			1			2,2	
253771921	rod shape-determining protein MreC 	unknown		66			0,17			4			10,9	
253773260	diguanylate cyclase 	cytoplasmic			66			0,06			66			2,8
253773892	ribonuclease, Rne/Rng family 	cytoplasmic		65			0,03			3			3,6	
253775468	formate dehydrogenase, alpha subunit 	periplasmic		65			0,03			4			3,5	
253774807	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase 	cytoplasmic		65			0,11			2			5,8	
253772418	hydrogenase accessory protein HypB 	cytoplasmic		65			0,15			1			6,2	
253775518	UbiD family decarboxylase 	cytoplasmic			65			0,06			65			2,5
253772352	serine transporter 	cytoplasmic membrane			65			0,07			65			5,1
253775385	ribosomal protein L7/L12 	unknown			65			0,28			65			9,9
253774387	twin-arginine translocation protein, TatA/E family subunit 	cytoplasmic membrane			65			0,51			65			16,4
253775357	methionine synthase 	cytoplasmic		64			0,05			5			4	
253774047	chromosome segregation and condensation protein MukB domain protein 	cytoplasmic		64			0,06			5			3,6	
253772990	acriflavin resistance protein 	cytoplasmic membrane			64			0,03			64			1,1
253771613	hypothetical protein ECBD_0183 	unknown			64			0,13			64			5,1
253772797	NADH-quinone oxidoreductase, chain I 	cytoplasmic	63			0,16			2			11,1		
253772110	adenylate cyclase 	cytoplasmic		63			0,14			2			5,1	
253771813	glutamine amidotransferase of anthranilate synthase 	cytoplasmic		63			0,16			1			5,3	
253773002	uridine kinase 	cytoplasmic		63			0,29			4			19,2	
253774331	Osmosensitive K channel His kinase sensor 	cytoplasmic membrane			63			0,03			63			1,2
253771774	Intracellular growth attenuator IgaA 	cytoplasmic membrane	62			0,04			2			2,8		
253774352	HAD-superfamily hydrolase, subfamily IIA 	cytoplasmic		62			0,26			1			4,4	
253774937	dihydrodipicolinate reductase 	cytoplasmic			62			0,12			62			4
253773910	Ribosomal-protein-alanine N-acetyltransferase 	cytoplasmic		61			0,15			1			4,6	
253773882	3-oxoacyl-(acyl-carrier-protein) synthase 2 	cytoplasmic		61			0,25			3			8	
253774568	PpiC-type peptidyl-prolyl cis-trans isomerase 	cytoplasmic membrane			61			0,1			61			4,7
253772899	phosphoesterase PA-phosphatase related 	cytoplasmic membrane			61			0,12			61			4,2
253772159	hypothetical protein ECBD_0736 	cytoplasmic membrane			61						61			6,1
253775320	replicative DNA helicase 	cytoplasmic		59			0,06			1			2,5	
253773327	translation initiation factor IF-3 	cytoplasmic		59			0,16			3			20	
253774202	secretion protein HlyD family protein 	cytoplasmic membrane		59			0,19			2			6,6	
253772534	ribonuclease III 	cytoplasmic		59						1			4	
253771702	heavy metal translocating P-type ATPase 	cytoplasmic membrane			59			0,09			59			4,8
253772330	MltA domain protein 	outer membrane			59			0,17			59			10,1
253774378	protein of unknown function DUF163 	unknown			59			0,19			59			5,8
253775523	twin-arginine translocation protein, TatA/E family subunit 	cytoplasmic membrane	58			0,36			1			11,2		
253775628	ATP synthase F0, C subunit 	cytoplasmic membrane	57			0,42			2			20		
253774806	UTP-GlnB uridylyltransferase, GlnD 	cytoplasmic membrane		57			0,03			3			3,4	
253771606	glycyl-tRNA synthetase, beta subunit 	cytoplasmic		57			0,04			4			7,3	
253775242	lysyl-tRNA synthetase 	cytoplasmic		57			0,12			2			5,7	
253772856	two component, sigma54 specific, transcriptional regulator, Fis family 	cytoplasmic		57			0,13			2			4,1	
253771987	ribosomal RNA large subunit methyltransferase J 	cytoplasmic		57			0,14			1			5,8	
253775213	MscS Mechanosensitive ion channel 	cytoplasmic membrane			57			0,05			57			2,7
253774945	ribosomal protein S20 	cytoplasmic			57			0,36			57			29,9
253771924	ribonuclease, Rne/Rng family 	cytoplasmic		56			0,06			2			3,9	
253774880	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase 	cytoplasmic membrane		56			0,29			3			9,3	
253773792	outer membrane lipoprotein LolB 	periplasmic			56			0,14			56			19,3
253773927	periplasmic glucan biosynthesis protein MdoG 	periplasmic		55			0,06			1			2,5	
253774163	MiaB-like tRNA modifying enzyme YliG 	cytoplasmic		55			0,07			2			4,3	
253772147	Radical SAM domain protein 	cytoplasmic		55			0,08			4			6,4	
253774890	transcriptional regulator, LacI family 	cytoplasmic		55			0,09			1			2,1	
253775496	nitrogen metabolism transcriptional regulator, NtrC, Fis Family 	cytoplasmic		55			0,13			2			4,5	
253773001	diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s) 	cytoplasmic membrane			55			0,03			55			1
253774084	ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD 	cytoplasmic membrane			55			0,05			55			3,9
253772929	protein of unknown function DUF218 	cytoplasmic membrane			55			0,12			55			3,8
253772588	Nucleoside-diphosphate kinase 	cytoplasmic			55			0,22			55			7,1
253774060	ribosomal protein S1 	cytoplasmic		54			0,11			7			10,2	
253775395	glutamate racemase 	cytoplasmic		54			0,11			1			3,5	
253772684	phosphoenolpyruvate-protein phosphotransferase 	cytoplasmic		54						1			2,1	
253773753	phospholipase D/Transphosphatidylase 	cytoplasmic membrane			54			0,19			54			6,4
253774305	succinate dehydrogenase and fumarate reductase iron-sulfur protein 	cytoplasmic membrane			54			0,26			54			9,2
253773433	fumarate hydratase, class II 	cytoplasmic	53			0,06			2			4,8		
253771923	maf protein 	cytoplasmic	53			0,14			1			3,2		
253774935	carbamoyl-phosphate synthase, small subunit 	cytoplasmic		53			0,08			1			3,1	
253772967	hydroxyethylthiazole kinase 	unknown		53			0,12			1			2,6	
253774386	lipoic acid synthetase 	cytoplasmic		53			0,19			5			15,9	
253773214	ProQ activator of osmoprotectant transporter ProP 	cytoplasmic		53			0,27			2			9,9	
253774081	cell divisionFtsK/SpoIIIE 	cytoplasmic membrane		53						1			0,8	
253774066	protein of unknown function DUF181 	cytoplasmic		52			0,05			3			4,8	
253773044	lipopolysaccharide biosynthesis protein 	cytoplasmic membrane		52			0,19			3			9,5	
253774793	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ 	cytoplasmic		52			0,22			1			5,7	
253772695	glutamyl-tRNA synthetase 	cytoplasmic			52			0,06			52			1,9
253772354	hypothetical protein ECBD_0934 	cytoplasmic			52			0,06			52			2,4
253774430	amino acid adenylation domain protein 	cytoplasmic		51			0,01			5			1	
253773413	electron transport complex, RnfABCDGE type, C subunit 	extracellular		51			0,04			2			4,3	
253774517	short-chain dehydrogenase/reductase SDR 	cytoplasmic		51			0,11			1			3,7	
253773710	short-chain dehydrogenase/reductase SDR 	cytoplasmic membrane		51			0,25			3			11,8	
253774105	putative lipoprotein 	unknown		51			0,38			3			20,5	
253775135	alpha,alpha-phosphotrehalase 	cytoplasmic			51			0,11			51			3,6
253772819	glycosyl transferase family 39 	cytoplasmic membrane			51			0,17			51			6,5
253771999	ribosomal protein S15 	cytoplasmic			51			0,34			51			15,7
253774874	UDP-3-0-acyl N-acetylglucosamine deacetylase 	cytoplasmic		50			0,1			1			4,3	
253772760	acetyl-CoA carboxylase, carboxyl transferase, beta subunit 	cytoplasmic		50			0,1			2			6,8	
253772802	proton-translocating NADH-quinone oxidoreductase, chain N 	cytoplasmic membrane			50			0,06			50			2,3
253774159	Beta-lactamase 	cytoplasmic membrane			50			0,08			50			8
253771872	ribosomal protein L18 	cytoplasmic	49			0,27			2			15,4		
253771977	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 	cytoplasmic		49			0,15			4			9,8	
253774955	chaperone protein DnaK 	cytoplasmic	48			0,05			3			4,5		
253771508	(p)ppGpp synthetase I, SpoT/RelA 	cytoplasmic		48			0,04			6			8,1	
253772365	(p)ppGpp synthetase I, SpoT/RelA 	cytoplasmic		48			0,04			2			2,8	
253772097	RNA polymerase, sigma 70 subunit, RpoD 	cytoplasmic		48			0,05			4			5,7	
253771742	glycogen/starch synthase, ADP-glucose type 	cytoplasmic			48			0,06			48			2,1
253774374	DNA polymerase III, delta subunit 	cytoplasmic membrane			48			0,08			48			2,9
253772796	NADH dehydrogenase (quinone) 	cytoplasmic membrane			48			0,09			48			9,5
253774876	cell division protein FtsA 	cytoplasmic		47			0,07			1			2,6	
253772370	enolase 	cytoplasmic		47			0,07			5			11,6	
253772834	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit 	cytoplasmic membrane		47			0,07			3			7,1	
253771438	DNA replication and repair protein RecF 	cytoplasmic		47			0,08			1			2,5	
253773755	oligopeptide/dipeptide ABC transporter, ATPase subunit 	cytoplasmic membrane			47			0,09			47			5,4
253772255	glycine cleavage system H protein 	unknown			47			0,19			47			7,3
253772443	PTS system, glucitol/sorbitol-specific, IIC subunit 	cytoplasmic membrane	46			0,16			1			4,3		
253773891	pseudouridine synthase, RluA family 	cytoplasmic		46			0,09			3			8,8	
253772999	uncharacterized chaperone protein YegD 	cytoplasmic		46			0,14			2			4,7	
253774920	Dihydrofolate reductase 	cytoplasmic		46			0,17			1			4,8	
253774882	UDP-N-acetylmuramoylalanine/D-glutamate ligase 	cytoplasmic		46						2			2,2	
253775618	potassium uptake protein 	cytoplasmic membrane			46			0,05			46			1,6
253775230	chaperonin Cpn10 	cytoplasmic			46			0,32			46			26,2
253772589	radical SAM enzyme, Cfr family 	cytoplasmic	45			0,08			1			3		
253774789	DNA polymerase III, alpha subunit 	cytoplasmic		45			0,03			1			1,1	
253772883	two component transcriptional regulator, LuxR family 	cytoplasmic		45			0,03			1			1,1	
253772690	DNA ligase, NAD-dependent 	cytoplasmic		45			0,04			1			1,6	
