Accession (UNIPROT)	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Len	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13
P0A7R5	RS10_ECOLI	C6EGE5_ECOBD	A	30S ribosomal protein S10	103	1	1	1	1	1	1									
P0A7R9	RS11_ECOLI	C6EGG9_ECOBD	A	30S ribosomal protein S11	129							1	1	1	1	1	1			
P0A7S3	RS12_ECOLI	C6EGC2_ECOBD	A	30S ribosomal protein S12	124	3	3	3	2	2	2									
P0A7S9	RS13_ECOLI	C6EGG8_ECOBD	A	30S ribosomal protein S13	118	5	7	9	7	8	13	6	7	7	5	6	6	6	7	7
P0AG59	RS14_ECOLI	C6EGF9_ECOBD	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	2	2	3	3	3	4	2	3	3	2	2	2	2	2	2
P0A7T7	RS18_ECOLI	C6ECE7_ECOBD	A	30S ribosomal protein S18	75	3	3	3	3	3	5	3	3	3				1	1	1
P0A7V0	RS2_ECOLI	C6EAB6_ECOBD	A	30S ribosomal protein S2	241	7	8	13	9	9	16	5	6	8	5	5	6	6	7	9
P68679	RS21_ECOLI	C6EHT0_ECOBD	A	30S ribosomal protein S21	71				1	1	1	1	1	1						
P0A7V3	RS3_ECOLI	C6EGF2_ECOBD	A	30S ribosomal protein S3	233	13	16	25	12	14	25	15	17	17	12	14	14	15	17	18
P0A7V8	RS4_ECOLI	C6EGH0_ECOBD	A	30S ribosomal protein S4	206	5	6	10	6	7	12	7	7	7	6	6	6	7	7	7
P0A7W1	RS5_ECOLI	C6EGG3_ECOBD	A	30S ribosomal protein S5	167	2	2	3	2	2	2									
P0A7X3	RS9_ECOLI	C6EH02_ECOBD	A	30S ribosomal protein S9	130	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2
P0AEH1	RSEP_ECOLI	C6EAA9_ECOBD	B	Membrane-associated zinc metalloprotease (Zinc metallopeptidase)	450	9	11	18	9	9	16	6	6	6	4	4	4	7	7	7
P18392	RSTB_ECOLI	C6EDN9_ECOBD	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	433	3	3	2	4	4	5	3	3	3				4	4	4
P76446	RTN_ECOLI	C6EA21_ECOBD	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518	1	1	1	1	1	1									
P0AFY2	SANA_ECOLI	C6EAG8_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	239	5	5	5	6	6	9	1	1	1	1	1	1	1	1	1
P0AGH3	SAPB_ECOLI	C6EFT9_ECOBD	B	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	321	1	1	1	1	1	1									
P0AFY6	SBMA_ECOLI	C6ELL0_ECOBD	B	Predicted transporter (SbmABacA family protein)	406	2	2	2	3	3	3				2	2	2	2	2	2
P0AAD6	SDAC_ECOLI	C6EJ75_ECOBD	B	Predicted serine transporter (Serine transporter)	429	2	2	3	3	3	5	4	5	8	3	3	4	3	3	4
P10408	SECA_ECOLI	C6EAV7_ECOBD	F1	Protein translocase subunit secA	901	8	9	14	5	6	10	4	4	4	2	2	3	2	2	2
P0AG90	SECD_ECOLI	C6ELH6_ECOBD	B	Protein-export membrane protein SecD	604	38	47	92	37	46	96	31	36	36	29	32	33	30	38	39
P0AG96	SECE_ECOLI	C6EE38_ECOBD	B	Preprotein translocase, SecE subunit (Translocase)	127	1	1	1												
P0AG93	SECF_ECOLI	C6ELH5_ECOBD	B	Protein export protein SecF (Protein-export membrane protein SecF)	323	6	6	17	4	4	14	7	7	10	7	7	10	6	8	14
P0AG99	SECG_ECOLI	C6EH52_ECOBD	B	Preprotein translocase, SecG subunit (Protein-export membrane protein)	110	3	3	8	3	3	8	3	3	5	3	3	5	3	3	5
P0AGA2	SECY_ECOLI	C6EGG6_ECOBD	B	Preprotein translocase subunit secY	443	11	11	25	10	10	14	13	14	25	9	10	11	11	13	18
P0AEU7	SKP_ECOLI	C6EAA7_ECOBD	G	Outer membrane chaperone Skp (OmpH) (Periplasmic chaperone)	161	3	3	3												
P37194	SLP_ECOLI	C6EEH9_ECOBD	I	Outer membrane lipoprotein (Outer membrane lipoprotein, Slp family)	188	1	1	1	1	1	1									
P0A905	SLYB_ECOLI	C6EDK4_ECOBD	I	17 kDa surface antigen (Outer membrane lipoprotein)	155	3	4	5	4	5	6	2	2	2	2	2	2	2	2	2
P0AGC7	SMP_ECOLI	C6EBI4_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	214	6	6	8	4	4	7	3	3	3	6	6	6	5	5	5
P0A937	SMPA_ECOLI	C6EJX6_ECOBD	I	SmpA/OmlA domain protein	113	2	3	5	2	3	4									
P0AG14	SOHB_ECOLI	C6EFW5_ECOBD	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349	9	9	11	13	13	15	10	12	14	7	7	8	11	13	15
P08395	SPPA_ECOLI	C6ECJ1_ECOBD	B	Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618	15	17	36	18	20	35	15	16	16	14	15	16	17	19	19
P0AGD7	SRP54_ECOLI	C6EJY2_ECOBD	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	2	2	2	1	1	1							2	2	2
P0AGE4	SSTT_ECOLI	C6EHQ5_ECOBD	B	Sodium:dicarboxylate symporter (Sodium:serine/threonine symporter)	414	2	2	2	2	2	3									
P0A836	SUCC_ECOLI	C6EJL0_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	1	1	1												
P00957	SYA_ECOLI	C6EJT4_ECOBD	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876				1	1	2									
P69428	TATA_ECOLI	C6EF60_ECOBD	B	Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)	89	6	8	9	5	7	7	9	12	13	9	11	12	10	14	16
P69425	TATB_ECOLI	C6EF59_ECOBD	B	Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)	171	5	5	8	5	5	9	5	5	6	5	5	6	7	7	7
P0A843	TATE_ECOLI	C6EK66_ECOBD	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67	1	1	2	1	1	2	1	1	1	2	2	2	2	2	2
P19934	TOLA_ECOLI	C6EJJ8_ECOBD	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421	9	9	12	9	10	15	11	12	21	10	10	10	14	16	16
P0A855	TOLB_ECOLI	C6EJJ7_ECOBD	G	Protein tolB	430	4	4	5												
P02930	TOLC_ECOLI	C6EHV8_ECOBD	H	Outer membrane channel protein (Type I secretion outer membrane protein, TolC family)	493	2	2	2												
P0ABU9	TOLQ_ECOLI	C6EJK0_ECOBD	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	230	8	11	18	9	13	23	6	7	7	4	5	5	5	7	7
P0ABV6	TOLR_ECOLI	C6EJJ9_ECOBD	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	142	5	5	9	6	6	13	5	5	5	4	4	4	4	4	4
P0A927	TSX_ECOLI	C6ELH3_ECOBD	H	Nucleoside channel, receptor of phage T6 and colicin K (Nucleoside-specific channel-forming protein Tsx)	294													2	2	2
P0AGK1	UBIA_ECOLI	C6EDY0_ECOBD	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	290							2	2	2	2	2	2	2	2	2
P0A6A0	UBIB_ECOLI	C6EF61_ECOBD	B	Probable ubiquinone biosynthesis protein ubiB	546	12	13	24	13	14	25	14	14	15	8	9	9	14	14	15
P10907	UGPC_ECOLI	C6EFC4_ECOBD	F1	ABC transporter related	356	1	1	1	1	1	1									
P0AGC0	UHPT_ECOLI	C6EDA3_ECOBD	B	Phosphoglycerate transporter (Sugar phosphate antiporter)	463				1	1	1									
P60932	UPPP_ECOLI	C6EHT8_ECOBD	B	Undecaprenol kinase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	273	1	1	1				2	2	2	2	2	2			
P0AC78	WECA_ECOLI	C6EG28_ECOBD	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	367	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2
P27836	WECG_ECOLI	C6EG17_ECOBD	A	Glycosyl transferase, WecB/TagA/CpsF family (EC 2.4.1.187) (Putative UDP-N-acetyl-D-mannosaminuronic acid transferase) (EC 2.4.1.-)	246	8	9	9	7	7	9	3	3	3	4	4	4	3	3	3
P76372	WZZB_ECOLI	C6EB58_ECOBD	B	Lipopolysaccharide biosynthesis protein	326	12	15	28	11	15	29	9	10	10	5	6	8	11	13	14
P0AG00	WZZE_ECOLI	C6EG27_ECOBD	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348	10	10	18	9	9	16	8	9	10	8	8	16	8	8	9
P36879	YADG_ECOLI	C6EAT0_ECOBD	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308				1	1	1				1	1	2			
P0A940	YAET_ECOLI	C6EAA8_ECOBD	H	Outer membrane protein assembly complex, YaeT protein (Putative uncharacterized protein yaeT)	810	10	11	15	10	10	14	9	9	9	8	8	8	9	9	9
P0AAA1	YAGU_ECOLI	C6EA36_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	204	3	4	5	2	2	3	2	2	3	2	2	2	1	1	1
P77562	YAIW_ECOLI	C6ELK9_ECOBD	I	Predicted DNA-binding transcriptional regulator (Putative uncharacterized protein)	364	4	4	4	4	4	6				2	2	2	2	2	2
P0ADZ7	YAJC_ECOLI	C6ELH7_ECOBD	B	Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)	110	9	13	124	8	12	121	7	10	49	6	7	14	6	10	26
P0ADA5	YAJG_ECOLI	C6EL32_ECOBD	I	Predicted lipoprotein (Uncharacterized lipoprotein)	192	5	6	10	4	5	11	6	7	7	4	4	4	5	6	6
P77726	YAJR_ECOLI	C6EL42_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted transporter)	454	3	3	4	3	3	5	2	2	2	2	2	2	3	3	3
P39830	YBAL_ECOLI	C6EKY6_ECOBD	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	7	8	11	7	9	14	5	6	7	2	3	4	4	5	6
P77717	YBAY_ECOLI	C6EL10_ECOBD	I	Glycoprotein/polysaccharide metabolism (Predicted outer membrane lipoprotein)	190	6	8	15	6	8	15	4	5	5	2	2	2	4	4	5
P77307	YBBM_ECOLI	C6EKX3_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	259	1	1	1	1	1	1	1	1	1				1	1	1
P0AFP4	YBBO_ECOLI	C6EKX1_ECOBD	A	Short-chain dehydrogenase/reductase SDR	256	4	4	8	4	4	7	3	3	3	3	3	3	5	5	5
P77504	YBBP_ECOLI	C6EKW8_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	804	3	3	4	3	3	4							2	2	2
P0AAT4	YBDG_ECOLI	C6EKC4_ECOBD	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	415	8	8	10	7	7	10	7	7	7	7	7	7	9	9	10
P46130	YBHC_ECOLI	C6EJI8_ECOBD	I	Pectinesterase (Predicted pectinesterase)	427	5	5	8	4	4	7	1	1	1	4	4	4	3	3	3
P75777	YBHG_ECOLI	C6EIY7_ECOBD	B	Secretion protein HlyD family protein	331	7	9	14	11	12	20	11	11	12	9	10	10	10	11	12
P0AAC4	YBHL_ECOLI	C6EIZ6_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	234							1	1	1						
P0AFP9	YBHR_ECOLI	C6EIZ0_ECOBD	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	368	3	3	6	2	2	4	2	2	2						
P0AFQ2	YBHS_ECOLI	C6EIY9_ECOBD	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	377	2	2	3	1	1	2									
P60869	YBJL_ECOLI	C6EIQ8_ECOBD	B	Putative transport protein ybjL	561	2	2	2	1	1	1									
P75818	YBJP_ECOLI	C6EIB6_ECOBD	I	Predicted lipoprotein (Putative lipoprotein)	171	4	5	6	2	3	5	2	2	2	2	2	4	2	2	2
P75822	YBJT_ECOLI	C6EIB2_ECOBD	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	476	2	2	2	4	5	5									
P75829	YBJX_ECOLI	C6EIA4_ECOBD	F1	Putative uncharacterized protein (Putative uncharacterized protein ybjX)	330	1	1	1	1	1	1	3	3	3	3	3	3	2	2	2
P0AB01	YCBC_ECOLI	C6EI62_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	259													2	2	2
P0AB12	YCCF_ECOLI	C6EI20_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	148	3	3	5	4	4	6	4	4	4	3	3	3	4	5	5
P75870	YCCS_ECOLI	C6EI21_ECOBD	B	Putative uncharacterized protein	720	1	1	2	2	2	3	1	1	1				2	2	2
P0AB26	YCEB_ECOLI	C6EHF0_ECOBD	I	Predicted lipoprotein (Putative uncharacterized protein)	186	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2
P28306	YCEG_ECOLI	C6EHB7_ECOBD	B	Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	340	7	7	8	6	6	9	5	5	5	1	1	1	2	2	2
P0AB38	YCFM_ECOLI	C6EGY7_ECOBD	I	Membrane lipoprotein lipid attachment site (Predicted outer membrane lipoprotein)	213	4	5	19	7	8	22	5	7	9	6	8	9	5	6	10
P0AFR2	YCHM_ECOLI	C6EGR0_ECOBD	B	Sulfate transporter	550	3	3	4	3	4	6							2	2	2
P0AB58	YCIM_ECOLI	C6EFV4_ECOBD	G	Putative uncharacterized protein yciM (Tetratricopeptide domain protein)	389	3	3	3	3	3	3	2	2	2				1	1	1
P0ACV4	YCIS_ECOLI	C6EFV5_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	102	3	5	7	3	4	6	3	4	4	3	4	7	3	4	4
P0A8R7	YCJF_ECOLI	C6EFR0_ECOBD	B	UPF0283 membrane protein ycjF	353	3	3	5	5	5	7	5	6	6	6	7	7	5	6	7
P64451	YDCL_ECOLI	C6EET2_ECOBD	I	Predicted lipoprotein (Uncharacterized lipoprotein YdcL)	222	2	2	3	4	4	5	2	2	2				2	2	2
P77804	YDGA_ECOLI	C6EDN4_ECOBD	F2	Putative uncharacterized protein (Putative uncharacterized protein ydgA)	502	8	8	9	6	6	6	3	3	3	3	3	3	3	3	3
P76185	YDHJ_ECOLI	C6EDK1_ECOBD	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	285	6	6	6	5	5	8	4	4	4	2	2	2	3	3	3
P77748	YDIJ_ECOLI	C6ECR9_ECOBD	A	FAD linked oxidase domain protein (Predicted FAD-linked oxidoreductase)	1018	9	9	13	10	10	14	8	9	9	6	6	6	9	10	11
P0AFS7	YDIK_ECOLI	C6ECR8_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	370							2	2	3				2	2	3
P77529	YDJN_ECOLI	C6ECM9_ECOBD	B	Predicted transporter (Sodium:dicarboxylate symporter)	463	5	6	13	5	7	16	6	7	9	3	3	3	6	7	8
P76237	YEAJ_ECOLI	C6EC44_ECOBD	B	Diguanylate cyclase (Predicted diguanylate cyclase)	496				1	1	1									
P0AA91	YEAY_ECOLI	C6EC25_ECOBD	I	Outer membrane lipoprotein, Slp family (Predicted lipoprotein)	193	4	4	6	5	5	7	3	3	3	3	3	3	4	4	4
P33218	YEBE_ECOLI	C6EBY3_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yebE)	219	1	1	1												
P64499	YEBO_ECOLI	C6EC05_ECOBD	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	4	5	9	3	4	7	3	3	3				4	5	5
P76272	YEBT_ECOLI	C6EBZ5_ECOBD	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	877	10	10	13	13	13	17	7	7	7	6	6	6	8	8	8
P76339	YEDV_ECOLI	C6EBA0_ECOBD	B	Heavy metal sensor signal transduction histidine kinase	452	2	2	3	1	1	1							1	1	1
P0AA47	YEEF_ECOLI	C6EB69_ECOBD	B	Amino acid permease-associated region (Predicted amino-acid transporter)	452										2	2	2	1	1	1
P37751	YEFI_ECOLI	C6EB51_ECOBD	F1	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	5	5	8	5	5	8	1	1	1	1	1	1	3	3	3
P38097	YEGE_ECOLI	C6EAP0_ECOBD	B	Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S) (Predicted diguanylate cyclase, GGDEF domain signalling protein)	1105	1	1	1	1	1	1	1	1	1						
P76389	YEGH_ECOLI	C6EAP4_ECOBD	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	527							1	1	1				2	2	2
P76445	YEIU_ECOLI	C6EA23_ECOBD	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237	2	2	3	2	2	4	2	2	2	3	3	3	3	3	3
P0AD27	YEJM_ECOLI	C6EA09_ECOBD	B	Predicted hydrolase, inner membrane (Sulfatase)	586	7	8	14	8	9	15	7	7	7	4	4	4	7	7	7
P77549	YFCJ_ECOLI	C6ELD1_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted transporter)	392							3	3	3	2	2	2	1	1	1
P23842	YFEA_ECOLI	C6EL75_ECOBD	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	729	3	3	5	4	4	7	4	4	4	2	2	2	6	6	6
P76537	YFEY_ECOLI	C6EKS2_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yfeY)	191	3	4	7	3	4	7	4	4	4	3	3	3	3	3	3
P77774	YFGL_ECOLI	C6EKJ7_ECOBD	I	Outer membrane assembly lipoprotein YfgL (Protein assembly complex, lipoprotein component)	392	8	9	12	9	9	13	9	9	9	9	9	9	10	10	10
P76576	YFGM_ECOLI	C6EKJ6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	7	8	12	6	6	9	8	10	10	3	3	3	7	7	7
P0AD42	YFHB_ECOLI	C6EK28_ECOBD	B	HAD superfamily (Subfamily IF) hydrolase, YfhB	211				2	2	3									
P0AD44	YFHG_ECOLI	C6EKF2_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yfhG)	237	1	1	2	2	2	4									
P52101	YFHK_ECOLI	C6EKF1_ECOBD	B	Histidine kinase (Predicted sensory kinase in two-component system)	475	6	6	10	8	8	12				2	2	2	5	5	5
P76578	YFHM_ECOLI	C6EKI9_ECOBD	E	Alpha-2-macroglobulin domain protein (Putative uncharacterized protein yfhM)	1653							2	2	2				1	1	1
P0AC02	YFIO_ECOLI	C6EJZ5_ECOBD	I	Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	245	9	11	23	13	15	29	12	14	16	12	12	15	13	17	21
P37908	YFJD_ECOLI	C6EJY0_ECOBD	B	Putative uncharacterized protein	420	2	2	5	2	2	2	4	5	5	2	2	2	5	6	6
P37339	YGAF_ECOLI	C6EJW5_ECOBD	B	FAD dependent oxidoreductase (Predicted enzyme)	422	1	1	3	3	3	4									
P0ADQ7	YGAM_ECOLI	C6EJV3_ECOBD	B	Putative uncharacterized protein	109							1	2	2	1	1	1	2	2	2
P55734	YGAP_ECOLI	C6EJV7_ECOBD	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	174	2	3	6	3	5	6	3	3	3	1	1	1	5	5	5
Q46798	YGER_ECOLI	C6EIP3_ECOBD	I	Peptidase M23 (Tetratricopeptide repeat transcriptional regulator)	251	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
P25894	YGGG_ECOLI	C6EIH3_ECOBD	I	Peptidase M48 Ste24p	252	5	6	10	3	4	12	3	4	4	4	5	5	5	6	6
P0ADT2	YGIB_ECOLI	C6EHV7_ECOBD	A	UPF0441 protein ygiB	223	1	1	3	4	4	4	3	3	3	4	4	5	4	4	4
P0ADT8	YGIM_ECOLI	C6EHU0_ECOBD	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	206	15	19	32	14	20	36	11	16	16	12	16	17	14	20	22
P0ADW3	YHCB_ECOLI	C6EGZ9_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	11	15	41	12	15	48	10	12	20	8	9	21	10	13	22
P64612	YHCM_ECOLI	C6EH00_ECOBD	A	AFG1-family ATPase (Conserved protein with nucleoside triphosphate hydrolase domain)	375	1	1	1	1	1	1									
P46474	YHDP_ECOLI	C6EGL5_ECOBD	H	Conserved membrane protein, predicted transporter (Uncharacterized protein YhdP)	1266	1	1	1	2	2	2									
P45537	YHFK_ECOLI	C6EGA5_ECOBD	B	Integral membrane protein, YccS/YhfK family	696	6	6	7	5	5	7	5	5	5	4	4	4	3	3	3
P37615	YHHM_ECOLI	C6EFA7_ECOBD	B	Putative receptor	119	4	4	4	4	4	5	5	6	6	5	6	7	5	6	7
P37624	YHIH_ECOLI	C6EEJ8_ECOBD	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	911	3	3	4	4	4	5									
P37626	YHII_ECOLI	C6EEJ7_ECOBD	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	355	12	14	19	11	12	18	7	8	8	9	9	9	10	11	11
P37642	YHJD_ECOLI	C6EEG1_ECOBD	B	Conserved inner membrane protein (Ribonuclease)	337	2	2	2	3	4	4	2	2	4	2	2	2	2	2	2
P37645	YHJG_ECOLI	C6EEF9_ECOBD	B	AsmA family protein (Predicted outer membrane biogenesis protein)	691	9	9	13	11	11	19	6	6	6	10	10	10	7	7	7
P37649	YHJK_ECOLI	C6EEF4_ECOBD	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	649	5	5	5	6	6	6	1	1	1				3	3	3
P37659	YHJU_ECOLI	C6EEE5_ECOBD	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	559	2	2	2												
P37665	YIAD_ECOLI	C6EEC9_ECOBD	I	OmpA/MotB domain protein (Predicted outer membrane lipoprotein)	219	7	11	18	9	10	17	5	6	6	4	5	5	7	8	9
P0ADK0	YIAF_ECOLI	C6EEC7_ECOBD	E	Putative uncharacterized protein (Putative uncharacterized protein yiaF)	236	12	16	38	12	16	39	10	13	15	9	11	15	10	13	17
P0AG27	YIBN_ECOLI	C6EDH8_ECOBD	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	143	9	11	29	8	11	33	6	7	23	6	8	11	6	8	35
P31433	YICH_ECOLI	C6EDD4_ECOBD	B	AsmA family protein (Putative uncharacterized protein yicH)	569	16	20	37	18	22	46	14	16	17	13	14	16	17	19	22
P0ADL3	YICN_ECOLI	C6EDA6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	150	2	2	3	3	3	4									
P60872	YIDE_ECOLI	C6ED85_ECOBD	B	Putative uncharacterized protein yidE (YidE/YbjL duplication)	553	1	1	2	1	1	1									
P27837	YIFK_ECOLI	C6EG16_ECOBD	B	Amino acid permease-associated region (Predicted transporter)	461	1	1	1				2	2	2	1	1	1	1	1	1
P32135	YIHN_ECOLI	C6EF27_ECOBD	B	Predicted transporter (Sugar phosphate permease-like protein)	421										1	1	1			
P0AF43	YJBB_ECOLI	C6EE04_ECOBD	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	543	3	4	4	4	5	6	5	5	6	2	2	2	6	6	11
P0AF52	YJCD_ECOLI	C6ED60_ECOBD	B	Predicted permease (Xanthine/uracil/vitamin C permease)	449	2	3	4	2	2	3	2	2	2				2	3	3
P32703	YJCE_ECOLI	C6ED59_ECOBD	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549	5	5	7	8	9	12	2	2	2	1	2	2	3	4	4
P0AF54	YJCH_ECOLI	C6ED57_ECOBD	B	Conserved inner membrane protein involved in acetate transport (Putative uncharacterized protein)	104	1	1	1	1	1	1				2	2	2	1	1	1
P39270	YJDF_ECOLI	C6ED03_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	209	1	1	2	1	1	1									
P0AF70	YJEI_ECOLI	C6ECY1_ECOBD	I	Putative uncharacterized protein (Putative uncharacterized protein yjeI)	117	1	1	2	2	2	4									
P39285	YJEP_ECOLI	C6ECW6_ECOBD	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	1107	14	15	20	12	12	15	11	11	12	9	9	10	16	16	17
P39396	YJIY_ECOLI	C6EBM6_ECOBD	B	Carbon starvation protein CstA (Predicted inner membrane protein)	716	3	3	4	4	4	7	5	5	5	3	3	3	4	4	4
P77473	YLAB_ECOLI	C6EL07_ECOBD	B	Conserved inner membrane protein (EAL domain protein)	516	1	1	1												
P0AAS0	YLAC_ECOLI	C6EL06_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	156	2	3	4	3	4	5	2	3	3				1	1	2
P75801	YLIF_ECOLI	C6EIU9_ECOBD	B	Diguanylate cyclase (Predicted diguanylate cyclase)	442	1	1	1												
P0AB10	YMBA_ECOLI	C6EI30_ECOBD	E	Putative uncharacterized protein	187	4	5	10	4	5	9	3	4	4	3	3	3	3	4	4
P76115	YNCD_ECOLI	C6EER2_ECOBD	H	Predicted iron outer membrane transporter (TonB-dependent receptor)	700	1	1	3	1	1	1									
P76208	YNIB_ECOLI	C6ECN2_ECOBD	B	Predicted inner membrane protein (Putative uncharacterized protein)	178	2	3	5	2	3	5	1	1	1						
P0AEC0	YOAE_ECOLI	C6EC15_ECOBD	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	518	1	1	1	2	2	2	3	3	3	1	1	1	3	3	3
P64493	YOAF_ECOLI	C6EC38_ECOBD	I	Conserved outer membrane protein (Putative uncharacterized protein)	84				2	2	3							1	1	1
P33941	YOJI_ECOLI	C6E9Y8_ECOBD	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	547	4	4	6	3	3	4	2	2	2						
P0AA93	YPDA_ECOLI	C6EL88_ECOBD	B	Predicted sensory kinase in two-component system with YpdB (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)	565							1	1	1						
P64429	YPFJ_ECOLI	C6EKN6_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	287							1	1	1	1	1	1	1	1	1
P64432	YPJD_ECOLI	C6EJY1_ECOBD	B	Cytochrome c assembly protein (Predicted inner membrane protein)	288													1	1	2
P63340	YQEG_ECOLI	C6EIP8_ECOBD	B	Predicted transporter (Serine transporter)	409	3	3	3	2	2	2							1	1	1
P64581	YQJD_ECOLI	C6EHP5_ECOBD	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	4	4	5	3	3	3	4	4	4	3	3	3	3	3	3
P64585	YQJE_ECOLI	C6EHP4_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	134	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1
