Protein name	Protein accession numbers	Protein molecular weight (Da)	Protein identification probability	Number of unique peptides	Number of unique spectra	Number of total spectra	Percentage of total spectra	Percentage sequence coverage
C6EDJ9_ECOBD Superoxide dismutase [Cu-Zn] OS=Escherichia coli (strain B / BL21-DE3) GN=sodC PE=3 SV=1	C6EDJ9_ECOBD	17,663.0	76.5%	1	1	1	0.0724%	5.20%
C6EDK1_ECOBD Secretion protein HlyD family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydhJ PE=4 SV=1	C6EDK1_ECOBD	31,535.1	100.0%	10	12	13	0.640%	50.9%
C6EDK4_ECOBD 17 kDa surface antigen OS=Escherichia coli (strain B / BL21-DE3) GN=slyB PE=4 SV=1	C6EDK4_ECOBD	15,582.6	100.0%	7	9	11	0.623%	45.8%
C6EDK8_ECOBD Tyrosyl-tRNA synthetase OS=Escherichia coli (strain B / BL21-DE3) GN=tyrS PE=3 SV=1	C6EDK8_ECOBD	47,524.2	50.0%	1	1	1	0.0397%	2.59%
C6EDL1_ECOBD Amino acid/peptide transporter OS=Escherichia coli (strain B / BL21-DE3) GN=ydgR PE=3 SV=1	C6EDL1_ECOBD	53,975.3	54.3%	1	2	3	0.141%	2.40%
C6EDL4_ECOBD Electron transport complex protein rnfE OS=Escherichia coli (strain B / BL21-DE3) GN=rnfE PE=3 SV=1	C6EDL4_ECOBD	24,442.4	100.0%	1	1	1	0.0399%	7.36%
C6EDL5_ECOBD Electron transport complex protein RnfG OS=Escherichia coli (strain B / BL21-DE3) GN=rnfG PE=3 SV=1	C6EDL5_ECOBD	21,939.3	100.0%	3	3	3	0.113%	19.4%
C6EDL6_ECOBD Electron transport complex protein rnfD OS=Escherichia coli (strain B / BL21-DE3) GN=rnfD PE=3 SV=1	C6EDL6_ECOBD	38,107.6	100.0%	2	2	2	0.0702%	5.40%
C6EDL8_ECOBD Electron transport complex protein rnfB OS=Escherichia coli (strain B / BL21-DE3) GN=rnfB PE=3 SV=1	C6EDL8_ECOBD	20,525.3	76.5%	1	1	1	0.0724%	12.0%
C6EDM4_ECOBD Adenosine deaminase OS=Escherichia coli (strain B / BL21-DE3) GN=add PE=3 SV=1	C6EDM4_ECOBD	36,379.9	100.0%	3	4	4	0.206%	16.2%
C6EDN4_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydgA PE=4 SV=1	C6EDN4_ECOBD	54,672.1	100.0%	35	38	50	1.63%	73.1%
C6EDN9_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=rstB PE=3 SV=1	C6EDN9_ECOBD	49,145.4	99.9%	1	1	1	0.0397%	3.93%
C6EDP0_ECOBD Two component transcriptional regulator, winged helix family OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2038 PE=4 SV=1	C6EDP0_ECOBD	26,687.1	99.5%	1	1	1	0.0666%	3.35%
C6EDP4_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydgH PE=4 SV=1	C6EDP4_ECOBD	33,855.2	100.0%	4	4	4	0.206%	18.5%
C6EDP5_ECOBD NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain B / BL21-DE3) GN=pntA PE=4 SV=1	C6EDP5_ECOBD	54,635.8	100.0%	24	27	41	1.34%	55.7%
C6EDP6_ECOBD NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain B / BL21-DE3) GN=pntB PE=3 SV=1	C6EDP6_ECOBD	48,706.0	100.0%	17	20	29	1.07%	32.5%
C6EDP7_ECOBD Predicted inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydgG PE=4 SV=1	C6EDP7_ECOBD	37,527.0	61.0%	1	1	2	0.0702%	4.65%
C6EI86_ECOBD DMSO reductase anchor subunit (DmsC) OS=Escherichia coli (strain B / BL21-DE3) GN=dmsC PE=4 SV=1	C6EDQ8_ECOBD	30,867.1	63.6%	1	1	1	0.0606%	2.44%
C6EDR3_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2061 PE=3 SV=1	C6EDR3_ECOBD	27,857.7	100.0%	2	2	2	0.0752%	7.66%
C6EDU7_ECOBD L-allo-threonine dehydrogenase, NAD(P)-binding OS=Escherichia coli (strain B / BL21-DE3) GN=ydfG PE=3 SV=1	C6EDU7_ECOBD	27,230.7	74.6%	1	1	1	0.0666%	7.26%
C6EDW8_ECOBD Replicative DNA helicase OS=Escherichia coli (strain B / BL21-DE3) GN=dnaB PE=4 SV=1	C6EDW8_ECOBD	52,373.8	99.6%	1	1	1	0.0327%	4.03%
C6EDX8_ECOBD Diacylglycerol kinase OS=Escherichia coli (strain B / BL21-DE3) GN=dgkA PE=4 SV=1	C6EDX8_ECOBD	13,226.9	99.8%	2	2	2	0.113%	16.4%
C6EDX9_ECOBD Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=plsB PE=3 SV=1	C6EDX9_ECOBD	91,367.2	100.0%	24	25	37	1.37%	34.9%
C6EDY9_ECOBD Extracellular solute-binding protein family 1 OS=Escherichia coli (strain B / BL21-DE3) GN=malE PE=4 SV=1	C6EDY9_ECOBD	43,371.9	50.4%	1	1	1	0.0376%	2.53%
C6EDZ9_ECOBD Glucose-6-phosphate isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=pgi PE=3 SV=1	C6EDZ9_ECOBD	61,513.4	99.8%	1	1	1	0.0327%	2.91%
C6EE04_ECOBD Predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yjbB PE=4 SV=1	C6EE04_ECOBD	59,451.7	100.0%	7	8	8	0.261%	22.1%
C6EE05_ECOBD B12-dependent methionine synthase OS=Escherichia coli (strain B / BL21-DE3) GN=metH PE=4 SV=1	C6EE05_ECOBD	135,967.5	100.0%	4	4	4	0.137%	3.75%
C6EE08_ECOBD Isocitrate lyase OS=Escherichia coli (strain B / BL21-DE3) GN=aceA PE=4 SV=1	C6EE08_ECOBD	47,504.0	97.6%	1	1	1	0.0368%	3.46%
C6EE15_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=zraS PE=4 SV=1	C6EE15_ECOBD	50,312.2	100.0%	2	2	2	0.126%	4.37%
C6EE18_ECOBD HU, DNA-binding transcriptional regulator, alpha subunit OS=Escherichia coli (strain B / BL21-DE3) GN=hupA PE=3 SV=1	C6EE18_ECOBD	9,517.2	99.8%	1	1	1	0.0907%	14.4%
C6EE31_ECOBD DNA-directed RNA polymerase OS=Escherichia coli (strain B / BL21-DE3) GN=rpoC PE=3 SV=1	C6EE31_ECOBD	155,146.1	100.0%	18	18	19	0.703%	14.4%
C6EE32_ECOBD DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain B / BL21-DE3) GN=rpoB PE=3 SV=1	C6EE32_ECOBD	150,617.9	100.0%	4	4	4	0.137%	4.17%
C6EE33_ECOBD 50S ribosomal protein L7/L12 OS=Escherichia coli (strain B / BL21-DE3) GN=rplL PE=3 SV=1	C6EE33_ECOBD	12,277.0	98.0%	1	1	1	0.0907%	9.92%
C6EE34_ECOBD 50S ribosomal protein L10 OS=Escherichia coli (strain B / BL21-DE3) GN=rplJ PE=3 SV=1	C6EE34_ECOBD	17,693.8	100.0%	11	12	14	0.722%	67.9%
C6EE35_ECOBD 50S ribosomal protein L1 OS=Escherichia coli (strain B / BL21-DE3) GN=rplA PE=3 SV=1	C6EE35_ECOBD	24,711.4	100.0%	7	7	8	0.394%	35.0%
C6EE36_ECOBD 50S ribosomal protein L11 OS=Escherichia coli (strain B / BL21-DE3) GN=rplK PE=3 SV=1	C6EE36_ECOBD	14,857.5	100.0%	3	3	3	0.170%	30.3%
C6EE37_ECOBD Transcription antitermination protein nusG OS=Escherichia coli (strain B / BL21-DE3) GN=nusG PE=3 SV=1	C6EE37_ECOBD	20,513.0	76.5%	1	1	1	0.0724%	7.73%
C6EE38_ECOBD Preprotein translocase, SecE subunit OS=Escherichia coli (strain B / BL21-DE3) GN=secE PE=4 SV=1	C6EE38_ECOBD	13,625.6	100.0%	7	8	25	1.29%	50.4%
C6EE39_ECOBD Elongation factor Tu OS=Escherichia coli (strain B / BL21-DE3) GN=tufB PE=3 SV=1	C6EE39_ECOBD	43,295.8	100.0%	25	32	49	1.95%	66.8%
C6EE44_ECOBD tRNA (uracil-5-)-methyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=trmA PE=3 SV=1	C6EE44_ECOBD	41,949.8	51.3%	1	1	1	0.0405%	1.91%
C6EE46_ECOBD DNA-binding transcriptional repressor OS=Escherichia coli (strain B / BL21-DE3) GN=yijC PE=4 SV=1	C6EE46_ECOBD	26,535.9	50.0%	1	1	1	0.0323%	2.56%
C6EE47_ECOBD Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=udhA PE=3 SV=1	C6EE47_ECOBD	51,559.1	99.8%	2	2	2	0.0654%	7.30%
C6EE49_ECOBD Argininosuccinate lyase OS=Escherichia coli (strain B / BL21-DE3) GN=argH PE=3 SV=1	C6EE49_ECOBD	50,300.6	50.0%	1	1	1	0.0368%	3.94%
C6EE54_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yijP PE=4 SV=1	C6EE54_ECOBD	66,554.5	100.0%	32	38	89	3.14%	53.2%
C6EE67_ECOBD Methylenetetrahydrofolate reductase OS=Escherichia coli (strain B / BL21-DE3) GN=metF PE=3 SV=1	C6EE67_ECOBD	33,085.7	67.7%	1	1	1	0.0748%	3.72%
C6EE76_ECOBD Cell division protein FtsN OS=Escherichia coli (strain B / BL21-DE3) GN=ftsN PE=4 SV=1	C6EE76_ECOBD	35,774.3	100.0%	23	25	29	1.36%	66.1%
C6EE78_ECOBD ATP-dependent protease ATPase subunit HslU OS=Escherichia coli (strain B / BL21-DE3) GN=hslU PE=2 SV=1	C6EE78_ECOBD	49,577.2	100.0%	4	4	4	0.131%	9.71%
C6EE79_ECOBD 1,4-dihydroxy-2-naphthoate octaprenyltransferase OS=Escherichia coli (strain B / BL21-DE3) GN=menA PE=4 SV=1	C6EE79_ECOBD	33,577.6	100.0%	3	3	4	0.150%	9.09%
C6EEC0_ECOBD Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain B / BL21-DE3) GN=glyS PE=3 SV=1	C6EEC0_ECOBD	76,797.3	55.5%	1	1	1	0.0508%	1.45%
C6EEC7_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yiaF PE=4 SV=1	C6EEC7_ECOBD	25,644.8	100.0%	15	21	48	1.80%	85.6%
C6EEC9_ECOBD OmpA/MotB domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=yiaD PE=3 SV=1	C6EEC9_ECOBD	22,207.6	100.0%	13	21	28	1.24%	64.4%
C6EED6_ECOBD Dipeptide transporter OS=Escherichia coli (strain B / BL21-DE3) GN=dppA PE=4 SV=1	C6EED6_ECOBD	60,276.6	100.0%	2	2	2	0.0654%	4.67%
C6EED7_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=dppB PE=3 SV=1	C6EED7_ECOBD	37,479.9	61.0%	1	1	1	0.0351%	3.83%
C6EED8_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=dppC PE=3 SV=1	C6EED8_ECOBD	32,291.3	50.4%	1	1	1	0.0376%	5.33%
C6EEE1_ECOBD Predicted transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yhjV PE=3 SV=1	C6EEE1_ECOBD	47,242.4	50.0%	1	1	1	0.0515%	2.13%
C6EEE5_ECOBD Cellulose synthase operon protein YhjU OS=Escherichia coli (strain B / BL21-DE3) GN=yhjU PE=4 SV=1	C6EEE5_ECOBD	62,015.3	99.8%	1	1	1	0.0327%	4.47%
C6EEF1_ECOBD Cellulose synthase subunit B OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0207 PE=4 SV=1	C6EEF1_ECOBD	84,642.9	100.0%	4	4	5	0.217%	5.61%
C6EEF4_ECOBD Diguanylate cyclase/phosphodiesterase with extracellular sensor OS=Escherichia coli (strain B / BL21-DE3) GN=yhjK PE=4 SV=1	C6EEF4_ECOBD	72,862.4	100.0%	7	8	8	0.282%	12.2%
C6EEF5_ECOBD C4-dicarboxylate transport protein OS=Escherichia coli (strain B / BL21-DE3) GN=dctA PE=4 SV=1	C6EEF5_ECOBD	45,454.2	100.0%	4	4	4	0.206%	9.58%
C6EEF6_ECOBD Peptidase M16 domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhjJ PE=3 SV=1	C6EEF6_ECOBD	55,510.8	100.0%	8	8	8	0.261%	23.9%
C6EEF9_ECOBD AsmA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhjG PE=4 SV=1	C6EEF9_ECOBD	75,115.8	100.0%	7	7	8	0.282%	11.9%
C6EEG1_ECOBD Conserved inner membrane protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhjD PE=4 SV=1	C6EEG1_ECOBD	37,895.5	100.0%	3	4	4	0.197%	8.01%
C6EEI7_ECOBD Oligopeptidase A OS=Escherichia coli (strain B / BL21-DE3) GN=prlC PE=3 SV=1	C6EEI7_ECOBD	77,136.5	100.0%	1	1	1	0.0353%	1.91%
C6EEJ2_ECOBD Phosphate transporter OS=Escherichia coli (strain B / BL21-DE3) GN=pitA PE=4 SV=1	C6EEJ2_ECOBD	53,372.9	100.0%	6	6	8	0.318%	17.4%
C6EEJ7_ECOBD Predicted HlyD family secretion protein OS=Escherichia coli (strain B / BL21-DE3) GN=yhiI PE=4 SV=1	C6EEJ7_ECOBD	38,810.4	100.0%	20	23	23	1.18%	50.7%
C6EEJ9_ECOBD ABC-2 type transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yhhJ PE=4 SV=1	C6EEJ9_ECOBD	41,045.3	99.8%	1	1	1	0.0515%	4.81%
C6EEL1_ECOBD HipA N-terminal domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=hipA PE=4 SV=1	C6EEL1_ECOBD	49,260.0	63.6%	1	1	1	0.0606%	2.05%
C6EEM5_ECOBD Glutamate/g-aminobutyrate antiporter OS=Escherichia coli (strain B / BL21-DE3) GN=xasA PE=4 SV=1	C6EEM5_ECOBD	55,060.9	54.3%	1	1	1	0.0469%	3.33%
C6EEP7_ECOBD Nitrate reductase 2 (NRZ), alpha subunit OS=Escherichia coli (strain B / BL21-DE3) GN=narZ PE=4 SV=1	C6EEP7_ECOBD	140,211.2	64.3%	1	1	1	0.0460%	0.401%
C6EER1_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yncE PE=4 SV=1	C6EER1_ECOBD	38,638.9	100.0%	2	2	2	0.134%	8.78%
C6EER2_ECOBD Predicted iron outer membrane transporter OS=Escherichia coli (strain B / BL21-DE3) GN=yncD PE=3 SV=1	C6EER2_ECOBD	77,304.1	100.0%	2	2	2	0.0866%	3.71%
C6EET2_ECOBD Predicted lipoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=ydcL PE=4 SV=1	C6EET2_ECOBD	24,409.3	63.6%	1	1	1	0.0606%	5.41%
C6EET4_ECOBD C4-dicarboxylate transporter/malic acid transport protein OS=Escherichia coli (strain B / BL21-DE3) GN=tehA PE=4 SV=1	C6EET4_ECOBD	35,915.8	99.8%	1	1	1	0.0666%	3.03%
C6EET8_ECOBD Periplasmic glucan biosynthesis protein MdoG OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2215 PE=4 SV=1	C6EET8_ECOBD	61,291.8	100.0%	8	8	8	0.261%	17.4%
C6EEU4_ECOBD Cytochrome B561 OS=Escherichia coli (strain B / BL21-DE3) GN=cybB PE=4 SV=1	C6EEU4_ECOBD	20,269.6	99.8%	1	1	1	0.0444%	11.9%
C6EEV0_ECOBD ATP-dependent helicase HrpA OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_2227 PE=4 SV=1	C6EEV0_ECOBD	148,947.1	100.0%	1	1	1	0.0508%	0.615%
C6EEW3_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydbH PE=4 SV=1	C6EEW3_ECOBD	96,855.7	50.0%	1	1	1	0.0370%	1.82%
C6EEW5_ECOBD Heat-inducible protein OS=Escherichia coli (strain B / BL21-DE3) GN=hslJ PE=4 SV=1	C6EEW5_ECOBD	15,147.9	69.0%	1	1	1	0.0566%	8.57%
C6EEX1_ECOBD Glycerol facilitator OS=Escherichia coli (strain B / BL21-DE3) GN=glpF PE=3 SV=1	C6EEX1_ECOBD	29,762.6	100.0%	2	2	2	0.0752%	8.54%
C6EEX2_ECOBD Glycerol kinase OS=Escherichia coli (strain B / BL21-DE3) GN=glpK PE=3 SV=1	C6EEX2_ECOBD	56,213.3	97.7%	1	1	1	0.0669%	2.59%
C6EEX8_ECOBD Putative uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) GN=yiiQ PE=4 SV=1	C6EEX8_ECOBD	21,718.2	100.0%	8	9	9	0.399%	36.7%
C6EEX9_ECOBD Triosephosphate isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=tpiA PE=3 SV=1	C6EEX9_ECOBD	26,953.8	50.4%	1	1	1	0.0376%	4.71%
C6EEY0_ECOBD CDP-diacylglycerol pyrophosphatase OS=Escherichia coli (strain B / BL21-DE3) GN=cdh PE=3 SV=1	C6EEY0_ECOBD	28,380.1	100.0%	17	21	30	1.13%	61.0%
C6EEY2_ECOBD 6-phosphofructokinase OS=Escherichia coli (strain B / BL21-DE3) GN=pfkA PE=3 SV=1	C6EEY2_ECOBD	34,824.9	99.0%	1	1	1	0.0515%	5.62%
C6EEY3_ECOBD Cation diffusion facilitator family transporter OS=Escherichia coli (strain B / BL21-DE3) GN=fieF PE=4 SV=1	C6EEY3_ECOBD	32,910.1	100.0%	4	7	22	0.827%	27.7%
C6EEY6_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=cpxA PE=3 SV=1	C6EEY6_ECOBD	51,578.3	100.0%	25	30	46	1.69%	52.5%
C6EEY9_ECOBD Superoxide dismutase OS=Escherichia coli (strain B / BL21-DE3) GN=sodA PE=3 SV=1	C6EEY9_ECOBD	23,061.8	100.0%	2	2	2	0.0752%	8.74%
C6EF05_ECOBD Formate dehydrogenase, alpha subunit OS=Escherichia coli (strain B / BL21-DE3) GN=fdoG PE=4 SV=1	C6EF05_ECOBD	112,534.4	99.8%	2	2	2	0.0866%	3.64%
C6EF06_ECOBD Formate dehydrogenase, beta subunit OS=Escherichia coli (strain B / BL21-DE3) GN=fdoH PE=4 SV=1	C6EF06_ECOBD	33,081.8	50.0%	1	1	1	0.0374%	4.33%
C6EF15_ECOBD Ribonuclease BN OS=Escherichia coli (strain B / BL21-DE3) GN=rbn PE=3 SV=1	C6EF15_ECOBD	32,822.7	100.0%	2	2	2	0.0752%	4.83%
C6EF17_ECOBD Predicted DNA-binding transcriptional regulator OS=Escherichia coli (strain B / BL21-DE3) GN=yihW PE=4 SV=1	C6EF17_ECOBD	28,489.5	67.7%	1	1	1	0.0748%	4.60%
C6EF37_ECOBD GTP-binding protein HSR1-related OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_4163 PE=3 SV=1	C6EF37_ECOBD	23,543.2	50.4%	1	1	1	0.0376%	5.24%
C6EF48_ECOBD Protoporphyrin oxidase, flavoprotein OS=Escherichia coli (strain B / BL21-DE3) GN=hemG PE=4 SV=1	C6EF48_ECOBD	21,208.8	100.0%	6	6	7	0.311%	39.2%
C6EF51_ECOBD Xaa-Pro dipeptidase OS=Escherichia coli (strain B / BL21-DE3) GN=pepQ PE=3 SV=1	C6EF51_ECOBD	50,159.3	56.2%	1	1	1	0.0669%	3.16%
C6EF58_ECOBD Sec-independent protein translocase, TatC subunit OS=Escherichia coli (strain B / BL21-DE3) GN=tatC PE=4 SV=1	C6EF58_ECOBD	28,859.1	99.8%	2	3	3	0.113%	12.8%
C6EF59_ECOBD Sec-independent translocase OS=Escherichia coli (strain B / BL21-DE3) GN=tatB PE=3 SV=1	C6EF59_ECOBD	18,402.8	100.0%	16	16	25	0.877%	82.5%
C6EF60_ECOBD Twin arginate translocase protein A OS=Escherichia coli (strain B / BL21-DE3) GN=tatA PE=3 SV=1	C6EF60_ECOBD	9,646.5	100.0%	10	15	21	0.932%	64.0%
C6EF61_ECOBD Probable ubiquinone biosynthesis protein ubiB OS=Escherichia coli (strain B / BL21-DE3) GN=ubiB PE=3 SV=1	C6EF61_ECOBD	63,187.2	100.0%	19	19	21	0.686%	37.7%
C6EF63_ECOBD Ubiquinone/menaquinone biosynthesis methyltransferase ubiE OS=Escherichia coli (strain B / BL21-DE3) GN=ubiE PE=3 SV=1	C6EF63_ECOBD	28,067.9	100.0%	2	3	3	0.105%	11.6%
C6EF64_ECOBD Predicted recombination limiting protein OS=Escherichia coli (strain B / BL21-DE3) GN=yigN PE=4 SV=1	C6EF64_ECOBD	54,781.1	100.0%	3	3	3	0.0980%	9.68%
C6EF86_ECOBD Lysophospholipase OS=Escherichia coli (strain B / BL21-DE3) GN=pldB PE=4 SV=1	C6EF86_ECOBD	38,960.5	99.8%	2	2	2	0.0997%	6.47%
C6EF90_ECOBD Outer membrane phospholipase A OS=Escherichia coli (strain B / BL21-DE3) GN=pldA PE=4 SV=1	C6EF90_ECOBD	33,089.8	100.0%	2	2	3	0.113%	9.34%
C6EF92_ECOBD RhsB element core protein RshB OS=Escherichia coli (strain B / BL21-DE3) GN=rhsB PE=4 SV=1	C6EF92_ECOBD	159,479.2	99.8%	1	1	1	0.0370%	0.780%
C6EFA2_ECOBD Periplasmic protein OS=Escherichia coli (strain B / BL21-DE3) GN=dcrB PE=4 SV=1	C6EFA2_ECOBD	19,769.7	100.0%	11	13	23	1.02%	73.5%
C6EFA5_ECOBD Heavy metal translocating P-type ATPase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0272 PE=4 SV=1	C6EFA5_ECOBD	76,823.6	100.0%	24	28	35	1.24%	42.1%
C6EFA7_ECOBD Putative receptor OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0274 PE=4 SV=1	C6EFA7_ECOBD	13,478.6	100.0%	8	8	10	0.515%	52.1%
C6EFB1_ECOBD Type II (General) Secretory Pathway (IISP) Family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0278 PE=4 SV=1	C6EFB1_ECOBD	24,422.0	100.0%	5	7	7	0.263%	35.1%
C6EFB2_ECOBD Predicted transporter subunit: membrane component of ABC superfamily OS=Escherichia coli (strain B / BL21-DE3) GN=ftsX PE=4 SV=1	C6EFB2_ECOBD	38,526.5	100.0%	17	23	27	1.39%	48.9%
C6EFB4_ECOBD Extracellular ligand-binding receptor OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0281 PE=4 SV=1	C6EFB4_ECOBD	39,059.2	50.0%	1	1	1	0.0397%	3.81%
C6EFC1_ECOBD Extracellular solute-binding protein family 1 OS=Escherichia coli (strain B / BL21-DE3) GN=ugpB PE=4 SV=1	C6EFC1_ECOBD	48,432.2	99.8%	1	1	2	0.0795%	1.83%
C6EFC2_ECOBD Binding-protein-dependent transport systems inner membrane component OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0289 PE=3 SV=1	C6EFC2_ECOBD	33,279.1	50.4%	1	1	1	0.0376%	2.71%
C6EFC4_ECOBD ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0291 PE=3 SV=1	C6EFC4_ECOBD	39,495.8	100.0%	2	2	2	0.0795%	8.43%
C6EFC5_ECOBD Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0292 PE=4 SV=1	C6EFC5_ECOBD	27,426.5	50.0%	1	1	1	0.0304%	4.86%
C6EFE1_ECOBD Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0309 PE=3 SV=1	C6EFE1_ECOBD	40,000.6	100.0%	1	1	1	0.0397%	4.63%
C6EFE8_ECOBD FAD dependent oxidoreductase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0316 PE=3 SV=1	C6EFE8_ECOBD	56,734.3	100.0%	2	2	2	0.134%	6.39%
C6EFF0_ECOBD Predicted intramembrane serine protease OS=Escherichia coli (strain B / BL21-DE3) GN=glpG PE=3 SV=1	C6EFF0_ECOBD	31,289.5	99.8%	2	2	4	0.150%	7.25%
C6EFF9_ECOBD Gluconate transporter OS=Escherichia coli (strain B / BL21-DE3) GN=gntT PE=4 SV=1	C6EFF9_ECOBD	45,950.6	100.0%	7	8	15	0.772%	20.1%
C6EFG0_ECOBD Fe/S biogenesis protein nfuA OS=Escherichia coli (strain B / BL21-DE3) GN=yhgI PE=3 SV=1	C6EFG0_ECOBD	20,979.9	50.4%	1	1	1	0.0376%	6.28%
C6EFG9_ECOBD Two component transcriptional regulator, winged helix family OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0340 PE=4 SV=1	C6EFG9_ECOBD	27,384.6	100.0%	4	4	5	0.175%	15.5%
C6EFH0_ECOBD Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0341 PE=3 SV=1	C6EFH0_ECOBD	50,317.0	100.0%	6	6	7	0.258%	18.4%
C6EFH1_ECOBD Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain B / BL21-DE3) GN=pckA PE=3 SV=1	C6EFH1_ECOBD	59,627.3	50.0%	1	1	1	0.0353%	3.52%
C6EFH7_ECOBD Intracellular growth attenuator IgaA OS=Escherichia coli (strain B / BL21-DE3) GN=ECBD_0348 PE=4 SV=1	C6EFH7_ECOBD	79,074.3	100.0%	17	19	26	1.13%	29.7%
C6EFI0_ECOBD Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase OS=Escherichia coli (strain B / BL21-DE3) GN=mrcA PE=4 SV=1	C6EFI0_ECOBD	93,588.9	100.0%	34	37	44	1.91%	57.6%
C6EFI8_ECOBD Putative uncharacterized protein damX OS=Escherichia coli (strain B / BL21-DE3) GN=damX PE=4 SV=1	C6EFI8_ECOBD	46,041.4	100.0%	22	26	30	1.30%	53.0%
C6EFL3_ECOBD Peptidyl-prolyl cis-trans isomerase OS=Escherichia coli (strain B / BL21-DE3) GN=ppiA PE=3 SV=1	C6EFL3_ECOBD	20,412.3	100.0%	7	8	11	0.423%	58.9%
C6EFP1_ECOBD Mg2 transporter protein CorA family protein OS=Escherichia coli (strain B / BL21-DE3) GN=ydaN PE=4 SV=1	C6EFP1_ECOBD	36,594.9	100.0%	5	5	7	0.329%	20.8%
C6EFQ8_ECOBD Redoxin domain protein OS=Escherichia coli (strain B / BL21-DE3) GN=tpx PE=3 SV=1	C6EFQ8_ECOBD	17,817.2	100.0%	3	3	3	0.133%	22.0%
C6EFR0_ECOBD UPF0283 membrane protein ycjF OS=Escherichia coli (strain B / BL21-DE3) GN=ycjF PE=3 SV=1	C6EFR0_ECOBD	39,374.9	100.0%	10	13	14	0.556%	37.4%
C6EFS5_ECOBD Peripheral inner membrane phage-shock protein OS=Escherichia coli (strain B / BL21-DE3) GN=pspD PE=4 SV=1	C6EFS5_ECOBD	8,024.2	71.3%	1	1	1	0.0907%	11.0%
C6EFS6_ECOBD DNA-binding transcriptional activator OS=Escherichia coli (strain B / BL21-DE3) GN=pspC PE=4 SV=1	C6EFS6_ECOBD	13,568.6	100.0%	11	14	62	3.20%	42.9%
C6EFS7_ECOBD Phage shock protein B OS=Escherichia coli (strain B / BL21-DE3) GN=pspB PE=4 SV=1	C6EFS7_ECOBD	8,745.6	100.0%	9	12	22	1.25%	55.4%
