EG	GN	SP	GI	JW	ASAP	EB	Len	Description	MW
EG11806	yebE	P33218	g1788151	JW1835	6137	EB1754	219	Inner membrane protein, function unknown	23686,85
EG11807	yebF	P33219	g1788152	JW1836	6141	EB1755	118	Exported protein, function unknown	12961,72
EG11808	yebG	P0ACY9	g1788153	JW1837	6145	EB1756	96	"DNA damage-inducible gene, SOS regulon; requires H-NS and cAMP for induction"	10717,01
EG11809	purT	P33221	g1788155	JW1838	6162	EB1757	392	Glycinamide ribonucleotide transformylase (GART) 2, non-folate-requiring, purine synthesis	42433,68
EG11810	gcvP	P33195	g1789269	JW2871	9531	EB1758	957	Glycine dehydrogenase (decarboxylating)	104376,35
EG11811	aidB	P33224	g87082384	JW5867	13701	EB1759	541	"Flavin-containing, DNA binding protein; low level isovaleryl CoA dehydrogenase activity; Ada-regulated adaptive response to DNA methylation damage"	60589,9
EG11812	yjfC	P33222	g1790629	JW4144	13698	EB1760	387	Function unknown	45019,68
EG11814	torA	P33225	g1787231	JW0982	3372	EB1761	848	Molybdoprotein trimethylamine N-oxide reductase	94455,94
EG11815	torC	P33226	g1787230	JW0981	3370	EB1762	390	c-Type cytochrome	43606,54
EG11816	ispF	P62617	g1789103	JW2716	9013	EB1763	159	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate (MECP) synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; essential gene; trimeric"	16897,54
EG11817	surE	P0A840	g1789101	JW2714	9008	EB1764	253	"Nucleotidase, 5- or 3'-monophosphates; purine, pyrimidine, ribo- and deoxyribonucleotides all effectively hydrolyzed; short chain exopolyphosphatase"	26900,43
EG11818	stfE	P33227	g87081843	JW5172	3882	EB1765	166	"C-terminal Stf variable cassette, e14 prophage, pseudogene; alternate virion-host specificity protein; Tail Collar domain"	17788,78
EG11819	purU	P37051	g1787483	JW1220	4138	EB1766	280	"Formyltetrahydrofolate hydrolase; mutation causes transient glycine starvation"	31934,72
EG11820	yceI	P0A8X2	g1787295	JW1043	3583	EB1767	191	Secreted protein, function unknown	20912,47
EG11821	amtB	P69681	g1786656	JW0441	1564	EB1768	428	"Ammonia gas channel; sequesters GlnK, a negative regulator of AmtB activity, to the inner membrane; bi-directional facilitated diffusion"	44514,69
EG11822	puuB	P37906	g1787559	JW1294	4378	EB1769	426	gamma-Glutamylputrescine oxidase, putrescine utilization pathway	47169,54
EG11823	amiA	P36548	g1788776	JW2428	8032	EB1770	289	"N-acetylmuramyl-L-alanine amidase, periplasmic; role in septal cleavage during cell division"	31412,13
EG11824	yghB	P0AA60	g1789384	JW2976	9882	EB1771	219	"Required, with yqjA, for membrane integrity; predicted inner membrane protein, function unknown"	24133,89
EG11825	yddE	P37757	g1787737	JW1459	4886	EB1772	297	Function unknown	32318,8
EG11826	etk	P38134	g1787216	JW0964	3309	EB1773	726	"Cryptic autophosphorylating protein tyrosine kinase Etk; role in polymyxin resistance; cognate with Etp phosphatase; required for formation of the O-antigen capsule; silenced by IS1D insertion in promoter region"	81241,68
EG11827	rpiB	P37351	g1790528	JW4051	13405	EB1774	149	"Ribose-5-phosphate isomerase B; allose-6-phosphate isomerase"	16073,32
EG11828	mobB	P32125	g1790287	JW5575	12591	EB1775	175	"Molybdenum cofactor biosynthesis adaptor protein; dimeric"	19363,38
EG11829	mobA	P32173	g1790288	JW3829	12593	EB1776	194	"Molybdopterin guanine dinucleotide synthesis; chlorate resistance"	21642,86
EG11830	yihD	P0ADP9	g1790289	JW3830	12599	EB1777	89	Function unknown	10272,91
EG11831	rdoA	P0C0K3	g1790290	JW3831	12604	EB1778	328	Thr/Ser kinase implicated in Cpx stress response	38120,32
EG11832	yihF	P32128	g87082339	JW5574	12609	EB1779	476	Function unknown	52636,88
EG11833	yihG	P32129	g1790293	JW3834	12611	EB1780	310	Membrane protein, putative acyltransferase, function unknown	36288,99
EG11835	yihI	P0A8H6	g1790297	JW3837	12626	EB1781	169	Function unknown	19059,22
EG11836	hemN	P32131	g87082341	JW3838	12629	EB1782	457	Coproporphyrinogen III oxidase, oxygen-independent, required for cytochrome B and cytochrome C synthesis during anaerobic growth	52729,04
EG11837	typA	P32132	g48994988	JW5571	12648	EB1783	607	"GTPase, regulatory, ribosome-associated; phosphorylated protein involved in global gene regulation; non-essential gene"	67355,45
EG11838	yihL	P0ACM9	g1790304	JW3843	12651	EB1784	236	Function unknown	26938,79
EG11839	yihM	P32134	g1790305	JW3844	12653	EB1785	326	Function unknown	36941,83
EG11840	yihN	P32135	g1790306	JW3845	12656	EB1786	421	Putative transporter, function unknown, membrane protein	46335,28
EG11841	yihO	P32136	g48994989	JW5852	12661	EB1787	467	Putative transporter, function unknown	51574,15
EG11842	yihP	P32137	g2367322	JW3848	12664	EB1788	461	Putative transporter, function unknown, membrane protein	50982,11
EG11843	yihQ	P32138	g2367323	JW3849	12666	EB1789	678	alpha-Glucosidase	77274,97
EG11844	yihR	P32139	g1790311	JW3850	12669	EB1790	308	"Putative aldose-1-epimerase, function unknown; mutarotase family"	34009,92
EG11845	yihS	P32140	g87082342	JW5569	12673	EB1791	413	"D-mannose isomerase; aldose-ketose isomerase inter-converting mannose, fructose and glucose; D-lyxose isomerase"	47432,63
EG11846	yihT	P32141	g1790314	JW3852	12675	EB1792	292	Function unknown,  LacD sugar aldolase family	31983,03
EG11847	yihU	P0A9V8	g1790315	JW3853	12678	EB1793	298	Function unknown	31158,14
EG11848	yihV	P32143	g87082343	JW5568	12681	EB1794	298	Function unknown	31727,67
EG11849	yihW	P32144	g87082344	JW5567	12683	EB1795	261	Function unknown	28507,32
EG11850	yihX	P0A8Y3	g87082345	JW5566	12686	EB1796	199	"alpha-D-Glucose-1-P phosphatase, anomer-specific; physiological role unknown; additional in vitro substrates include: fructose-1-P, acetyl phosphate; HAD4"	22731,8
EG11851	yihY	P0A8K8	g1790319	JW3857	12688	EB1797	290	"Function unknown, previously thought to be rbn;"	32838,91
EG11852	dtd	P0A6M4	g1790320	JW3858	12690	EB1798	145	"D-tyrosine tRNA deacylase; also removes other, e.g. D-Trp and D-Asp, toxic D-amino acids from tRNA; dimer"	15950,06
EG11853	yiiD	P0ADQ2	g1790321	JW3859	12692	EB1799	329	Putative acetyltransferase	37094,31
EG11854	yiiE	P0ADQ5	g87082346	JW5929	12696	EB1800	70	"Function unknown; yiiF paralog"	8205,46
EG11855	yiiF	P0AFU6	g87082347	JW5563	12700	EB1801	72	"Function unknown; yiiE paralog"	8442,48
EG11856	fdoI	P0AEL0	g1790325	JW3863	12705	EB1802	211	Formate dehydrogenase-O cytochrome b556 subunit, aerobic	24606,37
EG11857	fdoH	P0AAJ5	g1790326	JW3864	12708	EB1803	300	Formate dehydrogenase-O Fe-S subunit, aerobic	33100,38
EG11858	fdoG	P32176	g3868720	JW3865	12710	EB1804	1016	Formate dehydrogenase-O, selenopeptide, aerobic	112399,38
EG11859	fdhD	P32177	g1790329	JW3866	12714	EB1805	277	"Redox enzyme maturation protein (REMP) for FdnG/FdoG; required for formate dehydrogenase activity; probable cytoplasmic protein"	30560
EG11860	yiiG	P32151	g1790330	JW3867	12718	EB1806	351	Novel verified lipoprotein, function unknown	39294,34
EG11861	frvR	P32152	g1790331	JW3868	12720	EB1807	582	Putative frv operon regulator	65999,74
EG11862	frvX	P32153	g1790332	JW3869	12722	EB1808	356	Peptidase homolog, function unknown	38733,42
EG11863	frvB	P32154	g87082348	JW5562	12725	EB1809	483	Putative fructose-like PTS system enzyme IIB	51120,46
EG11864	frvA	P32155	g2367327	JW3871	12727	EB1810	148	Putative fructose-like PTS system enzyme IIA	16093,5
EG11865	rhaM	P32156	g1790335	JW3872	12729	EB1811	104	L-Rhamnose mutarotase	12264,9
EG11866	rhaD	P32169	g1790336	JW3873	12731	EB1812	274	"Rhamnulose-1-phosphate aldolase; homotetrameric"	30145,49
EG11867	rhaA	P32170	g48994990	JW5561	12736	EB1813	419	L-Rhamnose isomerase	47199,44
EG11868	rhaB	P32171	g1790338	JW3875	12738	EB1814	489	Rhamnulokinase	54069,04
EG11869	kdgT	P0A712	g87082349	JW5560	12764	EB1815	327	Ketodeoxygluconate transport	33669,27
EG11870	yiiM	P32157	g87082350	JW5559	12769	EB1816	224	6-N-hydroxylaminopurine resistance, function unknown	25342,73
EG11871	gph	P32662	g1789787	JW3348	11058	EB1817	252	"Phosphoglycolate phosphatase; in dam operon; involved in degradation of 2-phosphoglycolate formed during the DNA repair of 3'-phosphoglycolate ends; HAD10"	27389,17
EG11872	cpxP	P0AE85	g48994991	JW5558	174117	EB1818	166	"Inhibitor of the cpx response; periplasmic adaptor protein, targets some proteins to DegP"	18965,25
EG11873	fieF	P69380	g1790349	JW3886	12786	EB1819	300	"Iron and zinc efflux membrane transporter; cation diffusion facilitator family; dimeric"	32927,26
EG11874	yiiQ	P32160	g1790354	JW3891	12802	EB1820	199	Function unknown	21762,95
EG11875	yiiR	P0AF34	g1790355	JW3892	12809	EB1821	146	Function unknown	16541,64
EG11876	yiiS	P32162	g1790357	JW3893	12813	EB1822	99	Function unknown	10776,22
EG11877	uspD	P0AAB8	g1790358	JW3894	12816	EB1823	142	"Stress-induced protein; UV-resistance"	16293,03
EG11878	zapB	P0AF36	g1790363	JW3899	12835	EB1824	81	"Septal ring assembly factor, stimulates cell division; coiled-coil"	9634,81
EG11879	rraA	P0A8R0	g1790364	JW3900	12837	EB1825	161	"Protein inhibitor of RNase E, modulates global mRNA abundance; trimeric"	17360,36
EG11880	menA	P32166	g1790365	JW3901	12841	EB1826	308	"1, 4-dihydroxy-2-naphthoic acid (DHNA)-octaprenyltransferase; dimethylmenaquinone synthase; menaquinone biosynthesis"	33593,97
EG11881	hslU	P0A6H5	g1790366	JW3902	12843	EB1827	443	"Heat-inducible ATP-dependent protease HslVU, ATPase subunit; involved in the degradation of misfolded proteins; heat shock protein D48.5"	49593,8
EG11882	yiiX	P32167	g1790372	JW3908	12869	EB1828	202	Function unknown	23139,65
EG11883	tehA	P25396	g1787699	JW1425	4770	EB1829	330	"K+-tellurite, ethidium and proflavin transport; multidrug resistance; membrane protein"	35932,39
EG11884	tehB	P25397	g1787700	JW1426	4772	EB1830	197	"K+-tellurite resistance, putative methyltransferase; multidrug resistance inclduing ethidium and proflavin in multicopy; binds SAM; dimer"	22530,73
EG11885	opgG	P33136	g1787286	JW1035	3558	EB1831	511	"Osmoregulated periplasmic glucan (OPG) biosynthesis; periplasmic protein"	57912,48
EG11886	opgH	P62517	g1787287	JW1037	3560	EB1832	847	Membrane glycosyltransferase, OPG biosynthesis	96937,39
EG11887	trxC	P0AGG4	g1788936	JW2566	8501	EB1833	139	"Thioredoxin 2, zinc-binding; Trx2"	15554,77
EG11888	yibK	P0AGJ7	g1790034	JW3581	11790	EB1834	157	"Putative methyltransferase, function unknown; spoU paralog; non-essential gene"	17726,25
EG11889	dctR	P37195	g1789923	JW3475	11454	EB1835	176	Probable repressor of dctA dicarboxylate transporter gene	20408,21
EG11890	slp	P37194	g87082278	JW3474	11451	EB1836	188	"Outer membrane lipoprotein, stationary phase inducible; also induced by carbon source starvation"	20963,91
EG11891	yeeA	P33011	g1788318	JW1990	6667	EB1837	352	Function unknown	39955,27
EG11892	sbmC	P33012	g1788319	JW1991	6670	EB1838	157	"DNA gyrase inhibitor; in high copy protects cells from replication inhibitor MccB17; SOS induced; blocks MccB17 export"	18081,46
EG11893	dacD	P33013	g87082022	JW5329	6680	EB1839	388	"D-alanine D-alanine carboxypeptidase PBP6b; penicillin-binding protein 6b"	43346,06
EG11894	yeeD	P33014	g1788322	JW1994	6688	EB1840	75	Function unknown	8148,32
EG11895	yeeE	P33015	g1788323	JW1995	6691	EB1841	352	Function unknown	38100,4
EG11896	yeeF	P0AA47	g87082023	JW5330	6696	EB1842	452	"Required for swarming phenotype, function unknown; predicted transporter"	49537,65
EG11897	rpoE	P0AGB6	g1788926	JW2557	8467	EB1843	191	"RNA polymerase subunit, extracytoplasmic stress sigma E; role in high temperature and oxidative stress response"	21695,74
EG11899	recT	P33228	g1787611	JW1343	4529	EB1844	269	"RecET recombinase, annealing protein, Rac prophage; recombination and repair"	29721,04
EG11900	ralR	P33229	g1787610	JW5208	4524	EB1845	64	Restriction alleviation gene in Rac prophage	7018,89
EG11901	ydaC	P33230	g1787609	JW1341	4522	EB1846	69	Function unknown, Rac prophage	7863,08
EG11902	yijE	P0ABT8	g87082351	JW5557	12906	EB1847	301	Function unknown	32865,56
EG11903	yijF	P32668	g1790380	JW3916	12908	EB1848	205	Function unknown	22955,04
EG11904	gldA	P0A9S5	g87082352	JW5556	12912	EB1849	367	"Glycerol dehydrogenase, NAD+ dependent; 1,2-propanediol (and derivatives) oxidoreductase; D-1-amino-2-propanol:NAD+ oxidoreductase"	38712,2
EG11905	fsaB	P32669	g1790382	JW3918	12915	EB1850	220	Fructose-6-phosphate aldolase B	23555,22
EG11906	ptsA	P32670	g48994992	JW5555	12920	EB1851	833	"Putative phosphotransferase system enzyme I; also has N-terminal Hpr-like domain and C-terminal Enzyme IIA domain"	91773,63
EG11908	frwC	P32672	g1790386	JW3921	12928	EB1852	359	Putative fructose-like PTS system enzyme IIC	37086,32
EG11909	frwB	P69816	g1790387	JW3922	12930	EB1853	106	Putative fructose-like PTS system enzyme IIB, component 1	11247,97
EG11910	pflD	P32674	g1790388	JW3923	12934	EB1854	765	Putative pyruvate formate lyase II	85959,77
EG11911	pflC	P32675	g1790389	JW3924	12937	EB1855	292	Putative pyruvate formate lyase II activase	32429,65
EG11912	frwD	P32676	g1790390	JW3925	12941	EB1856	113	Putative fructose-like PTS system enzyme IIB, component 2	12636,64
EG11913	yijO	P32677	g1790391	JW3926	12943	EB1857	283	AraC family transcriptional activator, function unknown	32149,4
EG11914	yijP	P32678	g1790392	JW3927	12947	EB1858	577	"Function unknown, EptAB family; required for invasion of K1 into brain microvascular endothelial cells"	66609,89
EG11915	nfi	P68739	g87082357	JW5547	13068	EB1859	223	Endonuclease V, specific for single-stranded DNA or duplex DNA with damaged U	24672,59
EG11916	yjaG	P32680	g1790432	JW3963	13070	EB1860	196	Function unknown	22612,65
EG11917	yjaH	P32681	g1790434	JW3965	13079	EB1861	231	"Probable lipoprotein, function unknown; Cys conserved"	26317,46
EG11918	zraP	P0AAA9	g87082358	JW5546	13081	EB1862	141	"Zn-binding periplasmic protein; responsive to Zn(2+) and Pb(2+); regulated by zraSR two-component system; rpoN-dependent"	15199,37
EG11919	yjbB	P0AF43	g1790451	JW3980	13143	EB1863	543	Function unknown	59466,98
EG11920	pepE	P0A7C6	g1790452	JW3981	13146	EB1864	229	alpha-Aspartyl dipeptidase	24570,27
EG11921	rluF	P32684	g1790453	JW3982	13150	EB1865	290	23S rRNA U2604 pseudouridine synthase	32476,56
EG11922	pagB	P32685	g1790454	JW3983	13153	EB1866	90	"Salmonella ortholog regulated by PhoP; co-transcribed with basRS(pmrAB) operon in Salmonella; function unknown, mutant does not have polymyxin phenotype"	10532,07
EG11923	yjbE	P0AF45	g1790458	JW3986	13168	EB1867	80	Extracellular polysaccharide production	7386,09
EG11924	yjbF	P32687	g87082360	JW5711	13172	EB1868	212	Extracellular polysaccharide production, novel lipoprotein	23754,84
EG11925	yjbG	P32688	g1790460	JW3988	13174	EB1869	245	Extracellular polysaccharide production	26280,84
EG11926	yjbH	P32689	g1790461	JW3989	13176	EB1870	698	Extracellular polysaccharide production	78490,76
EG11927	yjbI	P32690	g1790471	JW3998	13224	EB1871	526	Pseudogene reconstruction	61162,56
EG11928	yjbJ	P68206	g1790479	JW4005	13247	EB1872	69	Function unknown	8325,25
EG11929	zur	P0AC51	g87082363	JW5714	13249	EB1873	171	"Repressor for znuABC, the zinc high-affinity transport genes; dimer; binds two Zn(II) ions per monomer"	19254,17
EG11930	yjbL	P32693	g1790481	JW4007	13253	EB1874	84	Function unknown	9749,34
EG11931	yjbM	P32694	g1790482	JW4008	13255	EB1875	235	Function unknown	26672,88
EG11932	dusA	P32695	g1790483	JW5950	13258	EB1876	330	tRNA-dihydrouridine synthase A	36810,06
EG11933	pspG	P32696	g87082364	JW5716	13260	EB1877	80	"Effector of phage shock response; over expression reduces motility, function unknown"	9023,41
EG11934	aphA	P0AE22	g2367341	JW4015	13283	EB1878	237	"Acid phosphatase, periplasmic, class B, nucleotidase; active on 3'- and 5'-mononucleotides and monodeoxynucleotides; glucose-repressed; monomeric"	26103,54
EG11935	yjbQ	P0AF48	g1790491	JW4017	13286	EB1879	138	Thiamin phosphate synthase, multicopy suppressor of thiE	15655,79
EG11936	yjbR	P0AF50	g2367342	JW4018	13288	EB1880	118	Function unknown	13519,47
EG11937	yjcB	P32700	g87082365	JW5718	13300	EB1881	93	Function unknown	10303,3
EG11938	yjcC	P32701	g1790496	JW4022	13309	EB1882	528	Putative cyclic-di-GMP phosphodiesterase, function unknown	60801,33
EG11939	yjcD	P0AF52	g1790499	JW4025	13319	EB1883	449	Putative purine permease, function unknown 	45711,5
EG11940	yjcE	P32703	g1790501	JW4026	13323	EB1884	549	"Function unknown; similar to eukaryotic Na+/H+ exchangers, but not involved in Na+ extrusion"	60522,79
EG11941	yjcF	P32704	g1790502	JW4027	13325	EB1885	430	Function unknown	49378,33
EG11942	actP	P32705	g1790503	JW4028	13328	EB1886	549	Acetate permease	59197,12
EG11943	yjcH	P0AF54	g1790504	JW4029	13330	EB1887	104	Function unknown	11671,62
EG11945	nrfB	P0ABL1	g87082366	JW4032	13344	EB1888	188	"Cytochrome c nitrite reductase, pentaheme cytochrome, periplasmic; formate-dependent; required for NO synthesis"	20714,47
EG11946	nrfC	P0AAK7	g2367345	JW4033	13346	EB1889	223	"Formate-dependent nitrite reduction; nonheme FE-S protein, ferredoxin-like"	24567,45
EG11947	nrfD	P32709	g1790509	JW4034	13348	EB1890	318	"Formate-dependent nitrite reduction; transmembrane protein similar to QOR"	35042,24
EG11948	nrfE	P32710	g1790511	JW4035	13350	EB1891	552	"Required for NrfA maturation; NrfEFG heme lyase complex; formate-dependent nitrite reduction"	61294,65
EG11949	nrfF	P32711	g1790512	JW4036	13352	EB1892	127	"Required for NrfA maturation; NrfEFG heme lyase complex; formate-dependent nitrite reduction"	14523,07
EG11950	nrfG	P32712	g1790513	JW4037	13354	EB1893	198	"Required for NrfA maturation; binds NrfA; NrfEFG heme lyase complex; formate-dependent nitrite reduction"	22784,27
EG11951	yjcO	P0AF56	g1790515	JW4039	13360	EB1894	229	Function unknown	25079,2
EG11952	mdtP	P32714	g2367348	JW4041	13366	EB1895	488	"Putative outer membrane factor (OMF) of MdtNOP efflux pump; probable lipoprotein, Cys conserved; tolC homolog; mutants are sensitive to acriflavin and puromycin"	53453,15
EG11953	mdtO	P32715	g87082367	JW4042	13368	EB1896	683	"PET family membrane translocase (MDR) of tripartite MdtNOP efflux pump; mdtP mutants are sensitive to acriflavin and puromycin"	76150,81
EG11954	mdtN	P32716	g1790519	JW4043	13373	EB1897	343	"Putative membrane fusion protein (MFP) of tripartite MdtNOP efflux pump, signal anchor; mdtP mutants are sensitive to acriflavin and puromycin"	36908,29
EG11955	yjcS	P32717	g87082368	JW5721	13377	EB1898	661	"Function unknown;"	73150,82
EG11956	alsK	P32718	g1790522	JW5724	13380	EB1899	309	Allose kinase	33820,92
EG11957	alsE	P32719	g1790523	JW4046	13382	EB1900	231	Allulose-6-P 3-epimerase	26109,19
EG11958	alsC	P32720	g1790524	JW4047	13392	EB1901	326	Allose transport, membrane component	34315,69
EG11959	alsA	P32721	g1790525	JW4048	13394	EB1902	510	Allose transport ABC protein	56744,85
EG11960	rpe	P0AG07	g1789788	JW3349	11061	EB1903	225	D-ribulose-5-phosphate 3-epimerase	24554,25
EG11961	lldP	P33231	g1790031	JW3578	11777	EB1904	551	"L-lactate permease; also involved in glycolate uptake"	59168,2
EG11962	lldR	P0ACL7	g1790032	JW3579	11782	EB1905	258	Dual role activator/repressor for lldPRD operon	29166,21
EG11963	lldD	P33232	g1790033	JW3580	11784	EB1906	396	L-lactate dehydrogenase, FMN dependent	42728,19
EG11964	yibL	P0ADK8	g1790030	JW3577	11773	EB1907	120	Ribosome-associated protein, function unknown	13696,01
EG11965	mtlR	P0AF10	g1790029	JW3575	11769	EB1908	195	Mannitol repressor	21990,15
EG11966	adiY	P33234	g1790557	JW4077	13479	EB1909	253	Transcriptional activator for adiA, AraC family 	29006,72
EG11967	flgK	P33235	g1787323	JW1069	3660	EB1910	547	Flagellar synthesis, hook-associated protein	57929,87
EG11968	yhdL	P36675	g87082241	JW3253	Null	EB1911	72	Function unknown	8171,38
EG11969	zntR	P0ACS5	g1789687	JW3254	10793	EB1912	141	Zn-responsive activator of zntA transcription	16179,4
EG11970	yhdN	P36677	g1789688	JW3255	10795	EB1913	122	Function unknown	13944,76
EG11971	nupC	P0AFF2	g1788737	JW2389	7893	EB1914	400	Nucleoside transporter, except guanosine	43475,75
EG11972	htrE	P33129	g1786332	JW0135	479	EB1915	865	"Putative outer membrane fimbrial subunit export usher protein; required for growth at high temperature; induced by heat shock"	95499,47
EG11973	ecpD	P33128	g1786333	JW0136	482	EB1916	246	Putative periplasmic pilus chaperone, function unknown	27053,86
EG11974	fimI	P39264	g87082421	JW5779	14147	EB1917	179	Required for pilus biosynthesis, FimA homolog	19373,23
EG11975	fliP	P0AC05	g1788259	JW1932	6475	EB1918	245	Flagellin export apparatus, integral membrane protein	26928,42
EG11976	fliQ	P0AC07	g1788260	JW1933	6477	EB1919	89	Flagellin export apparatus, integral membrane protein	9631,89
EG11977	fliR	P33135	g1788261	JW1934	6479	EB1920	261	Flagellin export apparatus, integral membrane protein	28542,58
EG11978	rfbA	P37744	g1788351	JW2024	6762	EB1921	293	"TDP-glucose pyrophosphorylase; glucose-1-phosphate thymidylyltransferase; needed for dTDP-L-rhamnose synthesis"	32693,56
EG11979	rfbC	P37745	g1788350	JW2023	6759	EB1922	185	dTDP-4-deoxyrhamnose-3,5-epimerase	21270,11
EG11980	rfbX	P37746	g1788349	JW2022	6757	EB1923	415	Putative polisoprenol-linked O-antigen translocase	45382,62
EG11981	glf	P37747	g1788348	JW2021	6755	EB1924	367	UDP-galactopyranose mutase	42965,88
EG11982	rfc	P37748	g1788347	JW2020	6753	EB1925	388	O-antigen polymerase	44744,31
EG11983	wbbI	P37749	g1788346	JW2019	6751	EB1926	330	"d-Galf:alpha-d-Glc beta-1,6-galactofuranosyltransferase; involved in lipopolysaccharide biosynthesis"	37757,22
EG11984	wbbJ	P37750	g1788345	JW2018	6749	EB1927	196	Involved in lipopolysaccharide biosynthesis, possible O-acetyltransferase	21675,1
EG11985	wbbK	P37751	g1788344	JW2017	6747	EB1928	372	Involved in lipopolysaccharide biosynthesis	43188,18
EG11986	wbbL	P36667	g1788343	"JW2012;JW2016"	6744	EB1929	264	"Pseudogene reconstruction, rhamnosyl transferase; lipopolysaccharide biosynthesis; interrupted by IS5I"	31060,69
EG11987	yehA	P33340	g1788426	JW2095	6972	EB1930	344	Function unknown	36884,83
EG11988	yehB	P33341	g1788427	JW2096	6974	EB1931	826	"Putative outer membrane fimbrial subunit export usher protein; function unknown"	92282,14
EG11989	yehC	P33342	g1788428	JW2097	6978	EB1932	239	Putative periplasmic pilus chaperone, function unknown	26589,04
EG11990	yehD	P33343	g1788429	JW2098	6980	EB1933	180	Function unknown, FimA homolog	19060,58
EG11991	yehE	P33344	g1788430	JW2099	6984	EB1934	93	Function unknown	10136,59
EG11992	yehH	P33345	g87082046	"JW2102;JW5915;JW5916"	7001	EB1935	1264	Pseudogene reconstruction	140827,42
EG11995	yehI	P33346	g1788436	JW2105	7003	EB1936	1210	Function unknown	138067,83
EG11997	yehK	P33347	g87082048	JW2106	Null	EB1937	105	Function unknown, very hypothetical	12603,29
EG11998	yehL	P33348	g87082049	JW5349	7006	EB1938	362	Function unknown	39682,32
EG11999	yehM	P33349	g1788439	JW2108	7008	EB1939	759	Function unknown	83390,17
EG12002	yehP	P33352	g1788440	JW5350	7013	EB1940	378	Required for swarming phenotype, function unknown	42119,16
EG12003	yehQ	P33353	g87082050	JW2110	7015	EB1941	666	Pseudogene reconstruction	73419,64
EG12004	yehR	P33354	g87082051	JW5351	7018	EB1942	153	Novel verified lipoprotein, function unknown	16594,14
EG12005	yehS	P33355	g1788443	JW2112	7021	EB1943	156	Function unknown	17972,82
EG12006	yehT	P0AFT5	g87082052	JW5352	7023	EB1944	239	"Overproduction confers low level beta-lactam resistance; probable response regulator with YehU as cognate sensor kinase"	27399,73
EG12007	yehU	P0AD14	g1788446	JW5353	7027	EB1945	561	"Putative sensor kinase, function unknown; YehT may be cognate response regulator"	62092,46
EG12008	mlrA	P33358	g1788448	JW2115	7030	EB1946	243	Transcriptional regulator of csgD	28046,16
EG12009	yehW	P33359	g1788449	JW2116	7032	EB1947	243	"Putative ABC permease, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter; membrane protein"	25514,54
EG12010	yehX	P33360	g1788450	JW2117	7034	EB1948	308	"Putative ATP-binding protein, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter"	34424,51
EG12011	yehY	P33361	g1788451	JW2118	7038	EB1949	385	"Putative ABC permease, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter; membrane protein"	41138,57
EG12012	osmF	P33362	g1788452	JW2119	7040	EB1950	305	"Putative periplasmic binding protein, function unknown; osmotically and stationary phase inducible; part of putative ABC transporter"	32609,3
EG12013	bglX	P33363	g1788453	JW2120	7043	EB1951	765	Periplasmic beta-glucosidase	83460,05
EG12015	pbpG	P0AFI5	g87082054	JW5355	7050	EB1952	310	"Penicillin-binding proteins PBP7 and PBP8; murein meso-DAP-alanine DD endopeptidase, periplasmic; uniquely binds beta-lactam penems, lysing non-growing cells; mutant has biofilm defect"	33887,41
EG12016	yohC	P0AD17	g87082055	JW5356	7053	EB1953	195	Function unknown	21690,72
EG12017	yohD	P33366	g87082056	JW2124	7059	EB1954	192	Function unknown	21444,6
EG12019	yohF	P33368	g1788459	JW2125	7062	EB1955	253	RpoS regulon, acid sensitive, induced by ALS inhibition, similarity to insect-type ADH	26950,85
EG12020	mdtQ	P33369	g87082057	JW5838	"7067;7071"	EB1956	478	"Pseudogene reconstruction, lipoprotein drug pump OMF family; putative outer membrane factor (OMF) component of tripartite efflux system; mutants are sensitive to acriflavin and puromycin; tolC paralog"	52167,02
EG12022	dusC	P33371	g1788462	JW2128	7074	EB1957	315	tRNA-dihydrouridine synthase C	35199,5
EG12023	yohJ	P60632	g1788463	JW2129	7078	EB1958	132	"Function unknown; suggested to be a holin-like murein hydrolase transporter based on sequence characteristics; four TM segment predicted inner membrane protein"	14578,72
EG12024	yohK	P0AD19	g1788464	JW2130	7080	EB1959	231	"Function unknown; S. aureus ortholog missing a murein hydrolase, possibly due to protein transport defect; six TM segment predicted inner membrane protein homologus to known transporters"	24469,54
EG12025	sanA	P0AFY2	g1788466	JW2132	7091	EB1960	239	Amplification abolishes vancomycin-sensitive permeability defects of mutants	27286,88
EG12026	yeiG	P33018	g1788477	JW2141	7124	EB1961	278	"S-formylglutathione hydrolase, formaldehyde degradation; S-lactoylglutathione hydrolase, may be involved in methylglyoxal detoxification in the cytoplasm; constitutively expressed, not induced by formaldehyde"	31259,28
EG12027	yeiH	P62723	g1788482	JW2145	7142	EB1962	349	"Function unknown; probable integral membrane protein with eight predicted transmembrane helices"	36882,13
EG12028	yeiI	P33020	g1788484	JW2147	7149	EB1963	362	Function unknown	39710,22
EG12029	nupX	P33021	g1788485	JW2148	7152	EB1964	416	"Nucleoside transporter; in operon with rihB; silent (uninduced) gene"	43409,61
EG12030	rihB	P33022	g1788486	JW2149	7156	EB1965	313	"Ribonucleoside hydrolase, pyrimidine specific; silent gene; in operon with nupX nucleoside transporter; induced by AI-2 pheromone"	33748
