Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P05100	tag b3549 JW3518	tag		b3549 JW3518	3MG1_ECOLI		Evidence at protein level		DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)	"GO:0008725; GO:0006284; GO:0046872; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase; Metal-binding; Zinc"	187	
P04395	alkA aidA b2068 JW2053	alkA	aidA	b2068 JW2053	3MG2_ECOLI		Evidence at protein level	Alkylbase DNA glycosidase alkA family	DNA-3-methyladenine glycosylase 2 (EC 3.2.2.21) (3-methyladenine-DNA glycosylase II, inducible) (TAG II) (DNA-3-methyladenine glycosidase II) (DNA-3-methyladenine glycosylase II)	"GO:0003677; GO:0006307; GO:0003905; GO:0006284; GO:0005737; GO:0005515"	"3D-structure; Complete proteome; DNA damage; DNA repair; Direct protein sequencing; Hydrolase"	282	
P00350	gnd b2029 JW2011	gnd		b2029 JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
C4ZXT8	pgl BWG_0619	pgl		BWG_0619	6PGL_ECOBW		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
B1X797	pgl ECDH10B_0835	pgl		ECDH10B_0835	6PGL_ECODH		Inferred from homology	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
P52697	pgl ybhE b0767 JW0750	pgl	ybhE	b0767 JW0750	6PGL_ECOLI		Evidence at protein level	Cycloisomerase 2 family	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	"GO:0017057; GO:0006006"	"3D-structure; Acetylation; Carbohydrate metabolism; Complete proteome; Glucose metabolism; Hydrolase"	331	
C4ZSX9	aaeA BWG_2942	aaeA		BWG_2942	AAEA_ECOBW	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
B1XHL3	aaeA ECDH10B_3418	aaeA		ECDH10B_3418	AAEA_ECODH	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
P46482	aaeA yhcQ b3241 JW3210	aaeA	yhcQ	b3241 JW3210	AAEA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level	Membrane fusion protein (MFP) (TC 8.A.1) family	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	"GO:0046942; GO:0016021; GO:0005886; GO:0009306; GO:0008565; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	310	
C4ZSX8	aaeB BWG_2941	aaeB		BWG_2941	AAEB_ECOBW	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at transcript level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0016021; GO:0005886; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P46481	aaeB yhcP b3240 JW3209	aaeB	yhcP	b3240 JW3209	AAEB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Aromatic acid exporter ArAE (TC 2.A.85) family	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	"GO:0046942; GO:0016021; GO:0005886; GO:0042221"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	655	
P67662	aaeR yhcS b3243 JW3212	aaeR	yhcS	b3243 JW3212	AAER_ECOLI		Predicted		HTH-type transcriptional activator AaeR	"GO:0003677; GO:0006355; GO:0003700; GO:0006350; GO:0016563"	"Activator; Complete proteome; DNA-binding; Transcription; Transcription regulation"	309	
C4ZSY0	aaeX BWG_2943	aaeX		BWG_2943	AAEX_ECOBW	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
B1XHL4	aaeX ECDH10B_3419	aaeX		ECDH10B_3419	AAEX_ECODH	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P46478	aaeX yhcR b3242 JW5541	aaeX	yhcR	b3242 JW5541	AAEX_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at transcript level	AaeX family	Protein AaeX	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	67	
P31142	sseA b2521 JW2505	sseA		b2521 JW2505	THTM_ECOLI	Cytoplasm. 	Evidence at protein level		3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2) (Rhodanese-like protein)	"GO:0016784; GO:0005737; GO:0008272; GO:0004792"	"3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Repeat; Transferase"	281
C4ZTJ3	tig BWG_0318	tig		BWG_0318	TIG_ECOBW		Inferred from homology	FKBP-type PPIase family, Tig subfamily	Trigger factor (TF)	"GO:0007049; GO:0051301; GO:0003755; GO:0006457; GO:0015031"	"Cell cycle; Cell division; Chaperone; Complete proteome; Isomerase; Rotamase"	432
B1XFM4	tig ECDH10B_0392	tig		ECDH10B_0392	TIG_ECODH		Inferred from homology	FKBP-type PPIase family, Tig subfamily	Trigger factor (TF)	"GO:0007049; GO:0051301; GO:0003755; GO:0006457; GO:0015031"	"Cell cycle; Cell division; Chaperone; Complete proteome; Isomerase; Rotamase"	432
P0A850	tig b0436 JW0426	tig		b0436 JW0426	TIG_ECOLI		Evidence at protein level	FKBP-type PPIase family, Tig subfamily	Trigger factor (TF)	"GO:0051083; GO:0007049; GO:0051301; GO:0005829; GO:0016020; GO:0003755; GO:0005515; GO:0015031"	"3D-structure; Cell cycle; Cell division; Chaperone; Complete proteome; Direct protein sequencing; Isomerase; Rotamase"	432
P52097	tilS mesJ yaeN b0188 JW0183	tilS	mesJ yaeN	b0188 JW0183	TILS_ECOLI	Cytoplasm. 	Evidence at protein level	TRNA(Ile)-lysidine synthase family	tRNA(Ile)-lysidine synthase (EC 6.3.4.-) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	"GO:0005524; GO:0005737; GO:0032267; GO:0006412; GO:0002136"	"3D-structure; ATP-binding; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; tRNA processing"	432
A5A627	tisB ysdB b4618 JW3649	tisB	ysdB	b4618 JW3649	TISB_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at transcript level		Small toxic protein tisB (LexA-regulated protein tisB)	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	29	
P27302	tktA tkt b2935 JW5478	tktA	tkt	b2935 JW5478	TKT1_ECOLI		Evidence at protein level	Transketolase family	Transketolase 1 (TK 1) (EC 2.2.1.1)	"GO:0046872; GO:0004802"	"3D-structure; Acetylation; Calcium; Complete proteome; Metal-binding; Thiamine pyrophosphate; Transferase"	663	
P33570	tktB b2465 JW2449	tktB		b2465 JW2449	TKT2_ECOLI		Evidence at protein level	Transketolase family	Transketolase 2 (TK 2) (EC 2.2.1.1)	"GO:0046872; GO:0004802"	"Acetylation; Calcium; Complete proteome; Metal-binding; Thiamine pyrophosphate; Transferase"	667	
P0AGG8	tldD yhdO b3244 JW3213	tldD	yhdO	b3244 JW3213	TLDD_ECOLI		Evidence at protein level	Peptidase U62 family	Protein tldD		Complete proteome	481	
C4ZYY6	tnaA BWG_3399	tnaA		BWG_3399	TNAA_ECOBW		Inferred from homology	Beta-eliminating lyase family	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	"GO:0030170; GO:0006569; GO:0009034"	"Acetylation; Complete proteome; Lyase; Pyridoxal phosphate; Tryptophan catabolism"	471	
B1X9T7	tnaA ECDH10B_3895	tnaA		ECDH10B_3895	TNAA_ECODH		Inferred from homology	Beta-eliminating lyase family	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	"GO:0030170; GO:0006569; GO:0009034"	"Acetylation; Complete proteome; Lyase; Pyridoxal phosphate; Tryptophan catabolism"	471	
P0A853	tnaA ind b3708 JW3686	tnaA	ind	b3708 JW3686	TNAA_ECOLI		Evidence at protein level	Beta-eliminating lyase family	Tryptophanase (EC 4.1.99.1) (L-tryptophan indole-lyase) (TNase)	"GO:0005829; GO:0016020; GO:0005515; GO:0030170; GO:0006569; GO:0009034"	"3D-structure; Acetylation; Complete proteome; Direct protein sequencing; Lyase; Pyridoxal phosphate; Tryptophan catabolism"	471	
P23173	tnaB trpP b3709 JW5619/JW5622	tnaB	trpP	b3709 JW5619/JW5622	TNAB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Amino acid/polyamine transporter 2 family, Mtr/tnaB/tyrP permease subfamily	Low affinity tryptophan permease	"GO:0006865; GO:0016021; GO:0005886; GO:0006569"	"Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport; Tryptophan catabolism"	415	
Q00037	tnpA ECOK12F010	tnpA		ECOK12F010	TNPA_ECOLI		Inferred from homology	Transposase 7 family	Transposase for transposon gamma-delta (Transposon Tn1000 transposase)	"GO:0003677; GO:0004803; GO:0006313"	"Complete proteome; DNA recombination; DNA-binding; Plasmid; Transposable element; Transposition"	1002	Plasmid F
Q00042	tnpX ECOK12F008	tnpX		ECOK12F008	TNPX_ECOLI		Predicted		Putative transposon gamma-delta 80.3 kDa protein (Transposon Tn1000 protein tnpX)		"Complete proteome; Plasmid; Transposable element"	698	Plasmid F
P03012	tnpR ECOK12F009	tnpR		ECOK12F009	TNR1_ECOLI		Evidence at protein level	Site-specific recombinase resolvase family	Transposon gamma-delta resolvase (Transposon Tn1000 resolvase)	"GO:0003677; GO:0015074; GO:0006310; GO:0000150; GO:0045449"	"3D-structure; Complete proteome; DNA integration; DNA recombination; DNA-binding; Plasmid; Transposable element"	183	Plasmid F
P19934	tolA cim excC lky b0739 JW0729	tolA	cim excC lky	b0739 JW0729	TOLA_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level		Protein tolA	"GO:0043213; GO:0016021; GO:0005886; GO:0005515; GO:0017038"	"3D-structure; Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Disulfide bond; Membrane; Protein transport; Repeat; Transmembrane; Transmembrane helix; Transport"	421	
C4ZWL5	tolB BWG_0599	tolB		BWG_0599	TOLB_ECOBW	Periplasm. 	Inferred from homology	TolB family	Protein tolB	"GO:0042597; GO:0017038"	"Complete proteome; Periplasm; Protein transport; Signal; Transport"	430	
B1X6S1	tolB ECDH10B_0807	tolB		ECDH10B_0807	TOLB_ECODH	Periplasm. 	Inferred from homology	TolB family	Protein tolB	"GO:0042597; GO:0017038"	"Complete proteome; Periplasm; Protein transport; Signal; Transport"	430	
P0A855	tolB b0740 JW5100	tolB		b0740 JW5100	TOLB_ECOLI	Periplasm. 	Evidence at protein level	TolB family	Protein tolB	"GO:0043213; GO:0030288; GO:0005515; GO:0017038"	"3D-structure; Bacteriocin transport; Complete proteome; Direct protein sequencing; Periplasm; Protein transport; Signal; Transport"	430	
P02930	tolC mtcB mukA refI b3035 JW5503	tolC	mtcB mukA refI	b3035 JW5503	TOLC_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	Outer membrane factor (OMF) (TC 1.B.17) family	Outer membrane protein tolC	"GO:0009279; GO:0042930; GO:0016021; GO:0005886; GO:0015031; GO:0014070; GO:0005215"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Membrane; Repeat; Signal; Transmembrane; Transmembrane beta strand; Transport"	493	
P0ABU9	tolQ fii b0737 JW0727	tolQ	fii	b0737 JW0727	TOLQ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ExbB/tolQ family	Protein tolQ	"GO:0043213; GO:0016021; GO:0005886; GO:0005515; GO:0017038; GO:0008565"	"Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport"	230
P0ABV6	tolR b0738 JW0728	tolR		b0738 JW0728	TOLR_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	ExbD/tolR family	Protein tolR	"GO:0043213; GO:0016021; GO:0005886; GO:0005515; GO:0005215"	"Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Signal-anchor; Transmembrane; Transmembrane helix; Transport"	142
P02929	tonB exbA b1252 JW5195	tonB	exbA	b1252 JW5195	TONB_ECOLI	"Cell inner membrane; Single-pass membrane protein; Periplasmic side. "	Evidence at protein level	TonB family	Protein tonB	"GO:0043213; GO:0015889; GO:0009597; GO:0046718; GO:0016021; GO:0005381; GO:0030288; GO:0005886; GO:0008565"	"3D-structure; Bacteriocin transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phage recognition; Protein transport; Repeat; Signal-anchor; Transmembrane; Transmembrane helix; Transport"	239
P06612	topA supX b1274 JW1266	topA	supX	b1274 JW1266	TOP1_ECOLI		Evidence at protein level	Prokaryotic type I/III topoisomerase family	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	"GO:0005524; GO:0003918; GO:0003917; GO:0006265; GO:0006268; GO:0005694; GO:0046872; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; DNA-binding; Isomerase; Metal-binding; Nucleotide-binding; Repeat; Topoisomerase; Zinc; Zinc-finger"	865
P14294	topB b1763 JW1752	topB		b1763 JW1752	TOP3_ECOLI		Evidence at protein level	Prokaryotic type I/III topoisomerase family	DNA topoisomerase 3 (EC 5.99.1.2) (DNA topoisomerase III)	"GO:0005524; GO:0003917; GO:0006265; GO:0006268; GO:0005694; GO:0005515"	"3D-structure; ATP-binding; Complete proteome; DNA-binding; Direct protein sequencing; Isomerase; Nucleotide-binding; Topoisomerase"	653
P33225	torA b0997 JW0982	torA		b0997 JW0982	TORA_ECOLI	Periplasm. 	Evidence at protein level	Prokaryotic molybdopterin-containing oxidoreductase family	Trimethylamine-N-oxide reductase 1 (TMAO reductase 1) (Trimethylamine oxidase 1) (EC 1.7.2.3)	"GO:0009060; GO:0009061; GO:0009055; GO:0030151; GO:0055114; GO:0042597; GO:0005515; GO:0050626"	"Complete proteome; Direct protein sequencing; Molybdenum; Oxidoreductase; Periplasm; Signal"	848
P33226	torC b0996 JW0981	torC		b0996 JW0981	TORC_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	TorC/torY family	Cytochrome c-type protein torC	"GO:0009276; GO:0009060; GO:0009061; GO:0009055; GO:0022900; GO:0020037; GO:0016021; GO:0005886; GO:0005515; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Transmembrane; Transmembrane helix; Transport"	390
C4ZQC6	torD BWG_0852	torD		BWG_0852	TORD_ECOBW	Cytoplasm. 	Inferred from homology	TorD/dmsD family, TorD subfamily	Chaperone protein torD	"GO:0005737; GO:0005515; GO:0006457"	"Chaperone; Complete proteome; Cytoplasm"	199
B1X8V3	torD ECDH10B_1070	torD		ECDH10B_1070	TORD_ECODH	Cytoplasm. 	Inferred from homology	TorD/dmsD family, TorD subfamily	Chaperone protein torD	"GO:0005737; GO:0005515; GO:0006457"	"Chaperone; Complete proteome; Cytoplasm"	199
P36662	torD b0998 JW0983	torD		b0998 JW0983	TORD_ECOLI	Cytoplasm. 	Evidence at protein level	TorD/dmsD family, TorD subfamily	Chaperone protein torD	"GO:0005737; GO:0043546; GO:0042277; GO:0005515; GO:0006457; GO:0051604"	"Chaperone; Complete proteome; Cytoplasm; Direct protein sequencing"	199
Q2EES9	torI b4501 JW5387	torI		b4501 JW5387	TORI_ECOLI		Evidence at protein level	Phage alpA excisionase family	Response regulator inhibitor for tor operon (Tor inhibitor)	"GO:0003677; GO:0006310; GO:0045449; GO:0006350"	"3D-structure; Complete proteome; DNA recombination; DNA-binding; Repressor; Transcription; Transcription regulation"	66
P38684	torR b0995 JW0980	torR		b0995 JW0980	TORR_ECOLI	Cytoplasm. 	Evidence at protein level		TorCAD operon transcriptional regulatory protein torR	"GO:0003677; GO:0005737; GO:0005515; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"3D-structure; Activator; Complete proteome; Cytoplasm; DNA-binding; Direct protein sequencing; Phosphoprotein; Transcription; Transcription regulation; Two-component regulatory system"	230
P39453	torS yccI b0993 JW5135	torS	yccI	b0993 JW5135	TORS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Sensor protein torS (EC 2.7.13.3)	"GO:0005524; GO:0016021; GO:0018106; GO:0005886; GO:0005515; GO:0006355; GO:0000156; GO:0000155; GO:0000160"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Transmembrane helix; Two-component regulatory system"	914
P38683	torT yccH b0994 JW0979	torT	yccH	b0994 JW0979	TORT_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein 2 family	Periplasmic protein torT	"GO:0042597; GO:0006810"	"Complete proteome; Direct protein sequencing; Periplasm; Signal; Transport"	342
P52005	torY yecK b1873 JW1862	torY	yecK	b1873 JW1862	TORY_ECOLI	"Cell inner membrane; Single-pass type II membrane protein. "	Evidence at protein level	TorC/torY family	Cytochrome c-type protein torY	"GO:0009276; GO:0009055; GO:0022900; GO:0020037; GO:0016021; GO:0005886; GO:0005515; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Transmembrane; Transmembrane helix; Transport"	366
P46923	torZ bisZ b1872 JW1861	torZ	bisZ	b1872 JW1861	TORZ_ECOLI	Periplasm. 	Evidence at protein level	Prokaryotic molybdopterin-containing oxidoreductase family	Trimethylamine-N-oxide reductase 2 (TMAO reductase 2) (Trimethylamine oxidase 2) (EC 1.7.2.3)	"GO:0009055; GO:0030151; GO:0055114; GO:0042597; GO:0050626"	"Complete proteome; Direct protein sequencing; Molybdenum; Oxidoreductase; Periplasm; Signal"	809
B1XB85	tpiA ECDH10B_4108	tpiA		ECDH10B_4108	TPIS_ECODH	Cytoplasm. 	Inferred from homology	Triosephosphate isomerase family	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	"GO:0005737; GO:0006094; GO:0006096; GO:0006098; GO:0004807"	"Complete proteome; Cytoplasm; Gluconeogenesis; Glycolysis; Isomerase; Pentose shunt"	255	
P0A858	tpiA tpi b3919 JW3890	tpiA	tpi	b3919 JW3890	TPIS_ECOLI	Cytoplasm. 	Evidence at protein level	Triosephosphate isomerase family	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	"GO:0005829; GO:0006094; GO:0006096; GO:0016020; GO:0006098; GO:0005515; GO:0004807"	"3D-structure; Complete proteome; Cytoplasm; Direct protein sequencing; Gluconeogenesis; Glycolysis; Isomerase; Pentose shunt"	255	
P0A862	tpx yzzJ b1324 JW1317	tpx	yzzJ	b1324 JW1317	TPX_ECOLI	Periplasm. 	Evidence at protein level	AhpC/TSA family, Tpx subfamily	Thiol peroxidase (EC 1.11.1.-) (Scavengase P20)	"GO:0045454; GO:0034599; GO:0005737; GO:0032843; GO:0055114; GO:0042597; GO:0005515; GO:0008379"	"3D-structure; Antioxidant; Complete proteome; Direct protein sequencing; Oxidoreductase; Periplasm; Peroxidase"	168	
P0AFS5	tqsA ydgG b1601 JW1593	tqsA	ydgG	b1601 JW1593	TQSA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	UPF0118 (perM) family	AI-2 transport protein tqsA (Transport of quorum-sensing signal protein)	"GO:0016021; GO:0005886; GO:0009372; GO:0006810"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Quorum sensing; Transmembrane; Transmembrane helix; Transport"	344	
P41067	traB ECOK12F078	traB		ECOK12F078	TRAB1_ECOLI		Inferred from homology	TraB family	Protein traB	GO:0000746	"Complete proteome; Conjugation; Plasmid"	475	"Plasmid F; Plasmid IncFII ColB2"
P18004	traC ECOK12F084	traC		ECOK12F084	TRAC_ECOLI	"Cell inner membrane; Peripheral membrane protein. "	Evidence at protein level		Protein traC	"GO:0000746; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Direct protein sequencing; Membrane; Plasmid"	875	Plasmid F
P09130	traD ECOK12F102	traD		ECOK12F102	TRAD1_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Protein traD	"GO:0005524; GO:0000746; GO:0016021; GO:0005886"	"3D-structure; ATP-binding; Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Nucleotide-binding; Plasmid; Transmembrane; Transmembrane helix"	717	"Plasmid F; Plasmid p1658/97"
P08322	traE ECOK12F076	traE		ECOK12F076	TRAE1_ECOLI		Inferred from homology	TraE family	Protein traE	GO:0000746	"Complete proteome; Conjugation; Plasmid"	188	Plasmid F
P14497	traF ECOK12F091	traF		ECOK12F091	TRAF_ECOLI	Periplasm. 	Predicted		Protein traF	"GO:0000746; GO:0042597"	"Complete proteome; Conjugation; Periplasm; Plasmid; Signal"	247	Plasmid F
P33790	traG ECOK12F099	traG		ECOK12F099	TRAG1_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Predicted		Protein traG [Cleaved into: Protein traG*]	"GO:0000746; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix"	938	Plasmid F
P15069	traH ECOK12F098	traH		ECOK12F098	TRAH1_ECOLI	Periplasm. 	Predicted		Protein traH	"GO:0000746; GO:0042597"	"Complete proteome; Conjugation; Periplasm; Plasmid; Signal"	458	Plasmid F
P14565	traI ECOK12F104	traI		ECOK12F104	TRAI1_ECOLI		Evidence at protein level		Protein traI (DNA helicase I) (EC 3.6.4.12)	"GO:0005524; GO:0003677; GO:0003678; GO:0000746"	"3D-structure; ATP-binding; Alternative initiation; Complete proteome; Conjugation; DNA-binding; Direct protein sequencing; Helicase; Hydrolase; Nucleotide-binding; Plasmid"	1756	Plasmid F
P06626	traJ ECOK12F072	traJ		ECOK12F072	TRAJ1_ECOLI	Cytoplasm. 	Inferred from homology		Protein traJ	"GO:0003677; GO:0000746; GO:0005737; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"Activator; Complete proteome; Conjugation; Cytoplasm; Plasmid; Transcription; Transcription regulation"	229	Plasmid F
P41066	traK ECOK12F077	traK		ECOK12F077	TRAK1_ECOLI	"Cell outer membrane; Lipid-anchor. "	Predicted		TraK lipoprotein	"GO:0009279; GO:0000746; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Lipoprotein; Membrane; Palmitate; Plasmid; Signal"	242	Plasmid F
P08321	traL ECOK12F075	traL		ECOK12F075	TRAL1_ECOLI	Cell outer membrane. 	Predicted		Protein traL	"GO:0009279; GO:0000746; GO:0009297; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Membrane; Plasmid"	91	"Plasmid F; Plasmid IncFII R1; Plasmid IncFII ColB2"
P10026	traM ECOK12F071	traM		ECOK12F071	TRAM1_ECOLI	Cytoplasm. 	Evidence at protein level	TraM family	Protein traM	"GO:0003677; GO:0000746; GO:0005737"	"3D-structure; Complete proteome; Conjugation; Cytoplasm; DNA-binding; Plasmid"	127	Plasmid F
P24082	traN ECOK12F089	traN		ECOK12F089	TRAN_ECOLI	Cell outer membrane. 	Predicted		Protein traN	"GO:0009279; GO:0000746; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Membrane; Plasmid; Signal"	602	Plasmid F
P41068	traP ECOK12F079	traP		ECOK12F079	TRAP_ECOLI		Predicted		Protein traP		"Complete proteome; Plasmid"	196	Plasmid F
P18033	traQ ECOK12F094	traQ		ECOK12F094	TRAQ_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Protein traQ	"GO:0000746; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid; Transmembrane; Transmembrane helix"	94	Plasmid F
P41065	traR ECOK12F083	traR		ECOK12F083	TRAR_ECOLI		Predicted		Protein traR	GO:0008270	"Complete proteome; Metal-binding; Plasmid; Zinc; Zinc-finger"	73	Plasmid F
P09129	traS ECOK12F100	traS		ECOK12F100	TRAS1_ECOLI	Cell inner membrane. 	Evidence at transcript level		Protein traS	"GO:0000746; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Conjugation; Membrane; Plasmid"	173	Plasmid F
P13979	traT ECOK12F101	traT		ECOK12F101	TRAT1_ECOLI	"Cell outer membrane; Lipid-anchor. "	Inferred from homology	TraT lipoprotein family	TraT complement resistance protein	"GO:0009279; GO:0000746; GO:0005886; GO:0046999"	"Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Lipoprotein; Membrane; Palmitate; Plasmid; Signal"	244	Plasmid F
P18471	traU ECOK12F087	traU		ECOK12F087	TRAU_ECOLI	Periplasm. 	Predicted		Protein traU	"GO:0000746; GO:0042597"	"Complete proteome; Conjugation; Periplasm; Plasmid; Signal"	330	Plasmid F
P41069	traV ECOK12F082	traV		ECOK12F082	TRAV_ECOLI	"Cell outer membrane; Lipid-anchor. "	Evidence at protein level		Protein traV	"GO:0009279; GO:0000746; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Conjugation; Lipoprotein; Membrane; Palmitate; Plasmid; Signal"	171	Plasmid F
P18472	traW ECOK12F086	traW		ECOK12F086	TRAW_ECOLI	Periplasm. 	Predicted		Protein traW	"GO:0000746; GO:0042597"	"Complete proteome; Conjugation; Periplasm; Plasmid; Signal"	210	Plasmid F
