Accession	Biological Process (Uniprot)
P14497	conjugation
C4ZPV9	cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process
C4ZYU2	translation
P27300	lipid biosynthetic process|lipid A biosynthetic process|phosphorylation
C4ZUY0	transport
C4ZZ27	carbohydrate transport|transport
C4ZX36	oxidation-reduction process
B1XFA0	spermidine biosynthetic process|polyamine biosynthetic process|putrescine biosynthetic process
P21169	spermidine biosynthetic process
B1XDL2	phosphorylation
P39363	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P75954	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
C4ZTN9	phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P30138	thiamine biosynthetic process
P58041	cytolysis|cell wall macromolecule catabolic process
P76250	positive regulation of transcription, DNA-dependent|malate metabolic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent|negative regulation of transcription, DNA-dependent
P77374	oxidation-reduction process
B1X616	two-component signal transduction system (phosphorelay)|phosphorylation
B1XB71	rhamnose metabolic process|phosphorylation
B1XHN1	methylation
C4ZU23	transport
C4ZTY9	transport
P37745	lipopolysaccharide biosynthetic process
B1XBY4	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent
P32718	carbohydrate metabolic process|phosphorylation
P38134	phosphorylation
B1XAE3	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
B1X8K4	oxidation-reduction process
P52044	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBM8	riboflavin biosynthetic process
C5A188	phosphorylation
B1XFP2	methylation
C5A0R5	transport|cobalamin transport|ion transport
P39832	transport|zinc ion transport|ion transport
P05194	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
C4ZSW2	carbohydrate transport|transport
P06710	DNA replication
P0A982	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P37351	carbohydrate metabolic process
P0A8A8	ribosome biogenesis
C4ZT48	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZSA3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77328	transport
P07023	oxidation-reduction process|cellular amino acid biosynthetic process|tyrosine biosynthetic process|aromatic amino acid family biosynthetic process|metabolic process
P60340	tRNA processing
C4ZYV9	transport|sodium ion transport|ion transport
B1XBZ3	thiamine biosynthetic process
C4ZXJ0	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
P76015	glycerol metabolic process|phosphorylation
B1XG20	phenylalanyl-tRNA aminoacylation|translation
P24554	DNA repair|response to DNA damage stimulus
B1XEM6	pyrimidine nucleotide biosynthetic process
P0AEM0	protein folding
P0CE65	transposition|DNA recombination
P16701	sulfate transport|transport
B1XDV9	response to stress
P77044	aromatic compound catabolic process
B1X7I0	phosphorylation|phospholipid biosynthetic process
B1XBX4	lipid biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent|fatty acid biosynthetic process
C4ZYF8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P60664	cellular amino acid biosynthetic process|histidine biosynthetic process
B1X8X7	menaquinone biosynthetic process
C4ZQQ2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77212	oxidation-reduction process
P77488	thiamine biosynthetic process|isoprenoid biosynthetic process
P38036	transport
P0AFK4	transport
B1X7V6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUS7	protein folding|response to stress
B1XG18	transport
C4ZRP8	transport|ion transport
B1XAK7	fatty acid metabolic process|lipid catabolic process|lipid metabolic process
B1XBF6	oxidation-reduction process|cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process
P28904	metabolic process
C4ZXB5	aromatic compound catabolic process
P0ABJ3	oxidation-reduction process|transport|electron transport chain
P0CF70	transposition|DNA recombination
C5A0C2	carbon fixation
C4ZV35	transport
C5A0B3	fructose metabolic process
P08204	arabinose catabolic process|carbohydrate metabolic process|phosphorylation
P62601	metabolic process
B1XDL4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XDY4	transport|ion transport
P0AG63	response to antibiotic
P0A8W0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XF64	transport
P08956	DNA restriction-modification system
B1X803	transport
B1XH89	methylation
B1XAK0	transport|protein secretion|protein transport|transmembrane transport
P45532	tRNA processing
C4ZUR7	biotin biosynthetic process
C4ZZA0	arginine metabolic process
P51020	aromatic compound catabolic process
C5A051	phosphorylation
B1XB38	pyridoxine biosynthetic process
C4ZRB0	oxidation-reduction process
C4ZY80	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P63389	transport
C4ZQ92	response to stress
P45578	quorum sensing
B1X9D1	oxidation-reduction process
P68187	carbohydrate transport|transport
C4ZSI4	phosphorylation
C4ZYY6	tryptophan catabolic process
B1XA03	oxidation-reduction process
P27241	lipopolysaccharide biosynthetic process
P0ABW3	transport|electron transport chain
P33634	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZV83	methylation
P77757	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
B1XGD3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XBF8	cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process
P36645	transport
P0AD92	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P0A752	pyridine nucleotide biosynthetic process
C4ZTX6	pyrimidine nucleotide biosynthetic process
P64604	transport
B1XHG3	isoprenoid biosynthetic process
B1XCR0	DNA repair|response to DNA damage stimulus
P00914	DNA repair|protein-chromophore linkage|response to DNA damage stimulus
P19624	oxidation-reduction process|pyridoxine biosynthetic process
P77285	transport|electron transport chain
P16525	DNA replication
C4ZQE2	oxidation-reduction process
B1X6P9	transport
P24177	transport
A4UR86	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVR7	phosphorylation
C4ZQ59	transport
B1XEE8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XCG3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZPV2	translation
C4ZWE0	transport
C4ZRG1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P18775	oxidation-reduction process
B1XBC1	carbon fixation
B1XC91	oxidation-reduction process
P0AFW2	ribosome biogenesis
B1X5Z3	oxidation-reduction process
P75830	response to antibiotic|transport
P0AFH6	transport|protein transport|peptide transport
P0A9A9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUC1	oxidation-reduction process
B1XGY3	cellular amino acid biosynthetic process|arginine biosynthetic process
P12295	DNA repair|metabolic process|response to DNA damage stimulus
C4ZVV3	sulfate transport|transport
P0AAD4	amino acid transport|transport
P77455	oxidation-reduction process
P62615	isoprenoid biosynthetic process|phosphorylation
P69441	nucleotide biosynthetic process|phosphorylation
C4ZS77	response to stress
C4ZUP2	methylation
P77611	transport|electron transport chain
P76458	fatty acid metabolic process|lipid metabolic process
B1X623	protein lipoylation|lipoate biosynthetic process
P0AAN9	response to stress
P39386	response to antibiotic|transport
P37028	transport
P14376	two-component signal transduction system (phosphorelay)|phosphorylation
P71243	lipopolysaccharide biosynthetic process
B1XER3	transport
P0A976	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P23836	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZW49	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZUM4	oxidation-reduction process|porphyrin biosynthetic process|cobalamin biosynthetic process|methylation|metabolic process
B1XAP8	nucleotide biosynthetic process|phosphorylation
C4ZVS6	transport|ion transport
B1X9Q9	transport
P0A9L8	oxidation-reduction process|cellular amino acid biosynthetic process|proline biosynthetic process
C4ZY07	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid|methylation
P12995	biotin biosynthetic process
P19642	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P67662	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZYL1	response to stress
B1X929	tRNA processing
B1XDN5	phosphorylation
P00887	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
D0VEX8	lipid biosynthetic process|lipid A biosynthetic process
P00962	translation
C5A072	rhamnose metabolic process|phosphorylation
P0CF13	transposition|DNA recombination
C4ZTF2	phosphorylation
Q47156	DNA repair|SOS response|regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to DNA damage stimulus
P0CF07	transposition|DNA recombination
P0A817	one-carbon metabolic process
P0AFN2	transcription, DNA-dependent|regulation of transcription, DNA-dependent|response to stress
B1XC42	DNA repair|SOS response|regulation of transcription, DNA-dependent|transcription, DNA-dependent|DNA replication|response to DNA damage stimulus
P0A9L3	protein folding
P30844	two-component signal transduction system (phosphorelay)|phosphorylation
C5A0S9	response to stress
C4ZTT9	transport
P0C0L7	transport
C4ZTJ4	proteolysis
C4ZQ50	chromosome segregation|chromosome condensation|cell cycle|cell division
P09129	conjugation
C4ZZD2	oxidation-reduction process
C4ZQJ0	phospholipid biosynthetic process
P0A8P3	response to stress
P0ABY7	flagellum organization|transcription, DNA-dependent|regulation of transcription, DNA-dependent
P0AF32	oxidation-reduction process|nitrate assimilation|transport|electron transport chain
B1XE69	oxidation-reduction process
P31449	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A705	translational initiation|translation
P0AE08	oxidation-reduction process
P29018	transport
C4ZUE2	methylation|translation
B8LFD6	metabolic process
B1XCS2	isoprenoid biosynthetic process
P63228	lipopolysaccharide biosynthetic process|carbohydrate metabolic process
P38035	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
Q46892	transport
B1X6M5	two-component signal transduction system (phosphorelay)
P36879	transport
C4ZQG8	methylation
B1X6W1	cellular amino acid biosynthetic process|histidine biosynthetic process
B1XGC2	lipid A biosynthetic process|lipid biosynthetic process
P75750	transport
C4ZS51	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77726	transport
P77743	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P28861	oxidation-reduction process
C4ZZP5	transcription, DNA-dependent|regulation of transcription, DNA-dependent
P0AD57	isoprenoid biosynthetic process
P0AC59	transport|electron transport chain
P69367	response to antibiotic|transport
P0A8P8	chromosome segregation|DNA integration|cell cycle|cell division|DNA recombination
P31442	transport
P09378	transcription, DNA-dependent|regulation of transcription, DNA-dependent|rhamnose metabolic process
P69816	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P02925	chemotaxis|carbohydrate transport|transport
P76297	flagellum organization
C5A178	phosphorylation
Q9JMT3	transposition|DNA recombination
C4ZRD9	phosphorylation
P18004	conjugation
C4ZSX9	transport
C4ZY90	transport|electron transport chain
P0ABN5	transport
C4ZTG3	tRNA processing|queuosine biosynthetic process
C4ZXP1	transcription, DNA-dependent
B1XBP2	transport
C4ZWN9	oxidation-reduction process
P33024	transport
B1XE59	oxidation-reduction process
P37009	transport|ion transport|iron ion homeostasis
P10903	nitrate assimilation|transport
P0A8U6	cellular amino acid biosynthetic process|methionine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZSR7	protein catabolic process
P06615	DNA integration|transcription, DNA-dependent|regulation of transcription, DNA-dependent|DNA recombination
P0C960	cellular cell wall organization
B1XDP1	transport|lipid transport
B1XE04	transport
P52048	oxidation-reduction process
P03007	DNA replication
C4ZZ50	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent
P76241	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZZN7	DNA repair|response to DNA damage stimulus
C4ZRF1	transport
P0A796	glycolysis|metabolic process|phosphorylation
C4ZWU3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77399	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process
B1X7G1	transport
P77515	interspecies interaction between organisms
C4ZUD7	tRNA processing|threonylcarbamoyladenosine biosynthetic process
P0AA76	transport
C4ZQ80	lipid biosynthetic process|fatty acid biosynthetic process
P00961	translation
C4ZTG6	transport|protein transport|transmembrane transport
B1XGD9	transport
B1X656	tRNA processing
C5A079	two-component signal transduction system (phosphorelay)|phosphorylation
C4ZXJ7	oxidation-reduction process
P77690	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
P0AC41	oxidation-reduction process|transport|tricarboxylic acid cycle|electron transport chain
P38055	transport
P77569	transcription, DNA-dependent|regulation of transcription, DNA-dependent|aromatic compound catabolic process
P0A7A2	glycolysis
P12998	biotin biosynthetic process
C4ZQJ2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XGX2	oxidation-reduction process
B1XA61	cell cycle|cell division
B1XEN3	cellular amino acid biosynthetic process|arginine biosynthetic process
P69811	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P27125	carbohydrate transport|transport
B1X6M8	transport|potassium ion transport|ion transport
P52697	glucose metabolic process|carbohydrate metabolic process
C4ZSA8	cellular amino acid biosynthetic process|histidine biosynthetic process
C4ZWE1	transport
P76034	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A012	transport|protein secretion|protein transport|transmembrane transport
P31548	transport
B1X9K3	methylation
P18335	cellular amino acid biosynthetic process|lysine biosynthetic process|arginine biosynthetic process
P0ACU5	lipid biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent|fatty acid biosynthetic process
P0AAG5	transport
B1X6Q9	tricarboxylic acid cycle
P37639	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A7G2	rRNA processing|ribosome biogenesis
C4ZS73	tRNA processing|methylation|tRNA modification
P0CF09	transposition|DNA recombination
C5A0A5	cellular amino acid biosynthetic process|methionine biosynthetic process|regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XC07	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZV76	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ACJ8	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P37643	transport
P0AAT4	transport|ion transport
P0A6W3	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization
B1X9D4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P77268	transport|protein transport|peptide transport
P0ACU0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P05704	chemotaxis|signal transduction
B1XHM8	methylation
P76128	transport|protein transport|peptide transport
B1XEM9	oxidation-reduction process
P06988	oxidation-reduction process|cellular amino acid biosynthetic process|histidine biosynthetic process
C5A0I6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XF60	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X9Q8	transport|carbohydrate transport|phosphoenolpyruvate-dependent sugar phosphotransferase system
B1X7A5	biotin biosynthetic process
C4ZQX3	tRNA processing|RNA repair|metabolic process
P76536	oxidation-reduction process
P05791	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
P16700	sulfate transport|transport
C4ZWB6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XF86	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P10030	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZR29	phosphorylation
B1XA39	two-component signal transduction system (phosphorelay)|phosphorylation
P0ABU5	isoprenoid biosynthetic process
P0A877	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
C5A0R0	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P00935	cellular amino acid biosynthetic process|methionine biosynthetic process
C4ZUS3	purine ribonucleoside salvage
B1XFU2	transport|electron transport chain
P77389	transport
P0AEZ3	barrier septum formation|cell cycle|cell division
P08179	purine nucleotide biosynthetic process
B1X737	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process|phosphorylation
P33360	transport
P0AA37	tRNA processing|rRNA processing
P0AE88	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P0AEX7	amino acid transport|transport
P10908	glycerol metabolic process
C4ZYY7	transport
P60869	transport
P05825	transport|ion transport|iron ion homeostasis
P33026	carbohydrate transport|transport
P0ABW0	transport|electron transport chain|aromatic compound catabolic process
Q46942	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C5A052	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76330	cellulose biosynthetic process
B1X8Z2	oxidation-reduction process
C4ZVG2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P04805	translation
C4ZXV5	Mo-molybdopterin cofactor biosynthetic process
B1X7K4	translation
P28635	amino acid transport|transport
P52073	oxidation-reduction process
B1X820	response to antibiotic|transport
C4ZYX1	phosphorylation
P0AFX4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFU8	riboflavin biosynthetic process
P43672	transport
C4ZWJ3	transport
C4ZW98	oxidation-reduction process
P33593	transport|nickel ion transport
P07813	translation
C4ZSG6	two-component signal transduction system (phosphorelay)|phosphorylation
B1X7I3	oxidation-reduction process
C4ZQ56	asparaginyl-tRNA aminoacylation|translation
B1X802	transport
C4ZV15	two-component signal transduction system (phosphorelay)
P0ABE5	transport|electron transport chain
B1X860	metabolic process
P75851	transport
C4ZWH0	two-component signal transduction system (phosphorelay)
B1X8K1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZX92	methylation|rRNA processing
P0A887	ubiquinone biosynthetic process|methylation|menaquinone biosynthetic process
P0AEN4	cell cycle|cell division
B1XGC0	purine nucleotide biosynthetic process
P76086	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XGN3	phosphorylation
P37440	oxidation-reduction process
P0AB38	regulation of cell shape|peptidoglycan biosynthetic process
P77308	transport|protein transport|peptide transport
P23367	DNA repair|response to DNA damage stimulus
B1X7L7	transport
B1X713	oxidation-reduction process
B1X7C6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0A7J0	riboflavin biosynthetic process|response to stress
C4ZQG7	chemotaxis|sensory perception of chemical stimulus|signal transduction|two-component signal transduction system (phosphorelay)
C4ZVY3	oxidation-reduction process|cellular amino acid biosynthetic process
C4ZQ02	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZVD8	oxidation-reduction process|fatty acid metabolic process|lipid metabolic process
B1X981	purine nucleotide metabolic process|phosphorylation
P61175	response to antibiotic
P17169	glutamine metabolic process
P76007	transport
P33790	conjugation
P28631	DNA replication
P25745	tRNA processing
B1XAL4	Mo-molybdopterin cofactor biosynthetic process
P27242	lipopolysaccharide biosynthetic process
P23481	oxidation-reduction process|transport|electron transport chain
P0A9Q1	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
C4ZY71	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P58035	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P03012	DNA integration|DNA recombination
P13738	transport|sodium ion transport|ion transport
B1X752	two-component signal transduction system (phosphorelay)
P08142	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
C4ZUF5	transport|protein transport|transmembrane transport
C4ZRS4	lipid A biosynthetic process|lipid biosynthetic process
B1XA87	phosphorylation
C5A0N8	methylation
C4ZRW1	transport|sodium ion transport|ion transport
P06846	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AFK9	transport
P0A6H8	phospholipid biosynthetic process
P42906	carbohydrate metabolic process
C4ZY03	transport
B1X774	glycogen biosynthetic process
P32676	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P24205	lipopolysaccharide biosynthetic process
C4ZRV2	DNA replication
C4ZXD1	two-component signal transduction system (phosphorelay)|phosphorylation
P67444	transport
C4ZX57	oxidation-reduction process
P0AE34	amino acid transport|transport
C4ZT15	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P52005	transport|electron transport chain
C4ZXN4	pyrimidine nucleotide biosynthetic process
C4ZX93	phosphorylation|nucleotide metabolic process
C4ZXL1	carbohydrate metabolic process
P0AFQ2	transport
P0AB91	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XGK6	arginine metabolic process
C4ZXR3	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
P39346	oxidation-reduction process|D-gluconate metabolic process
P08555	transport
P0CF50	transposition|DNA recombination
C4ZZT7	phosphorylation
P46068	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ACK5	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P76553	oxidation-reduction process
P0AB80	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process
C4ZSK7	phosphorylation
P21889	translation
B1XCG4	methylation
P55138	phosphorylation
C4ZTQ1	oxidation-reduction process|porphyrin biosynthetic process
P19925	enterobactin biosynthetic process
C4ZRJ1	lipid A biosynthetic process|lipid biosynthetic process
P0ADX9	methylation|rRNA processing
P00550	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
C5A0C5	oxidation-reduction process
B1XCQ3	protein modification process
P76291	methylation
P0ACC9	lipopolysaccharide biosynthetic process
P0AGM9	transport
P0AGE0	DNA repair|response to DNA damage stimulus|DNA replication
C4ZZ09	transport|proton transport|ion transport|ATP biosynthetic process
C4ZQ60	transport
C4ZZ70	cAMP biosynthetic process
P76909	transport
P0A6I9	coenzyme A biosynthetic process|phosphorylation
B1XFK0	phosphorylation
C4ZUE1	translation
B1XAJ7	ubiquinone biosynthetic process|methylation|menaquinone biosynthetic process
P37748	lipopolysaccharide biosynthetic process
P37677	carbohydrate metabolic process|phosphorylation
P37690	cell cycle|cell division
P23893	porphyrin biosynthetic process
P0AG93	transport|protein transport|transmembrane transport
C4ZU96	response to antibiotic|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process
P11664	phosphorylation
Q46856	oxidation-reduction process
P0ABZ1	chemotaxis|ciliary or flagellar motility
C4ZZ00	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation
P24197	oxidation-reduction process
P23173	amino acid transport|transport|tryptophan catabolic process
P0AG99	transport|protein transport|transmembrane transport
P17583	transport
C4ZPW5	oxidation-reduction process
B1XD57	tRNA processing|tRNA modification
P39297	response to stress
P52612	transport|protein transport|proton transport|flagellum organization|ion transport|ATP biosynthetic process
B1XG11	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P76369	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XHJ5	carbohydrate metabolic process|phosphorylation
B1XFA7	glutathione biosynthetic process
P76224	transport
P77315	transport
C4ZUK6	transport|potassium ion transport|ion transport
P05041	folic acid biosynthetic process
P60546	phosphorylation
P77615	regulation of transcription, DNA-dependent|transcription, DNA-dependent
Q46866	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0ABA4	transport|proton transport|ion transport|ATP biosynthetic process
P0A9R7	cell cycle|cell division
P0A6D7	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process|phosphorylation
P42628	transport
B1X7Z7	transport
P27832	lipopolysaccharide biosynthetic process
P76459	fatty acid metabolic process|lipid metabolic process
B1XB81	transport|ion transport|iron ion homeostasis
C5A0V1	glyoxylate cycle|tricarboxylic acid cycle
C5A0L1	one-carbon metabolic process
P19381	conjugation
C4ZW62	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X7X1	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XEL3	carbohydrate transport|transport
C4ZVN2	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process
P39375	response to stress
C5A0H5	oxidation-reduction process
P0A932	polysaccharide transport|transport|carbohydrate transport|ion transport
P0AGJ5	methylation
B1XD41	translation
P0CF10	transposition|DNA recombination
P77747	transport|ion transport
B1XET5	carbohydrate metabolic process
B1XAZ4	regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization
B1X9F4	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZTB6	aromatic compound catabolic process
P0A7I7	riboflavin biosynthetic process
C4ZZC6	regulation of transcription, DNA-dependent|transcription, DNA-dependent
C4ZWD8	metabolic process
C4ZUC5	oxidation-reduction process
B1XHN3	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P13656	chitin catabolic process|carbohydrate metabolic process|metabolic process|polysaccharide catabolic process
B1XG16	transport
C4ZWK2	tricarboxylic acid cycle
P33369	response to antibiotic
P0AGF4	carbohydrate transport|transport
Q57261	tRNA processing
C4ZYA0	translation
P60844	transport
P0AAI5	lipid biosynthetic process|fatty acid biosynthetic process
B1X923	purine nucleotide biosynthetic process
P0AEF0	DNA replication, synthesis of RNA primer|DNA replication
P0ABN9	transport
P0A988	DNA replication
B1XB73	positive regulation of transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription, DNA-dependent|rhamnose metabolic process
P0AGC3	cellular cell wall organization
C4ZZZ2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1X8X2	transport|lipid A biosynthetic process|lipid biosynthetic process|lipopolysaccharide biosynthetic process
P67910	lipopolysaccharide biosynthetic process|carbohydrate metabolic process|response to stress
C4ZZY4	DNA repair|response to DNA damage stimulus
B1X9R3	transport
B1XBG5	transport
P04737	conjugation
B1X8N7	transport
P45748	tRNA processing|rRNA processing|ribosome biogenesis
P0AAF6	amino acid transport|transport
C4ZYH5	phenylalanyl-tRNA aminoacylation|translation
C4ZUW9	phosphorylation
B1X897	cytochrome complex assembly|transport
P0AER3	amino acid transport|transport
C4ZXZ7	fructose metabolic process
C4ZWZ9	oxidation-reduction process
B1X975	regulation of transcription, DNA-dependent|transcription, DNA-dependent|cell cycle|cell division
C4ZXP0	purine nucleotide metabolic process|phosphorylation
P05050	oxidation-reduction process|oxidative demethylation|oxidative single-stranded RNA demethylation|oxidative single-stranded DNA demethylation|DNA demethylation|response to DNA damage stimulus|DNA repair|RNA repair|DNA dealkylation involved in DNA repair
B1XED6	oxidation-reduction process
C4ZYZ9	metabolic process
P0A7V8	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation
P07363	chemotaxis|two-component signal transduction system (phosphorelay)|phosphorylation
P0AE60	cell cycle|cell division
B1X9L5	fatty acid metabolic process|lipid catabolic process|lipid metabolic process
C4ZZ67	methylation
P76373	oxidation-reduction process
P0ACR2	regulation of transcription, DNA-dependent|transcription, DNA-dependent
P0AE56	transport|electron transport chain
P0A910	transport|ion transport|conjugation
C4ZS05	response to antibiotic|transport
P32055	oxidation-reduction process|lipopolysaccharide biosynthetic process|metabolic process
P71229	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P77348	transport|protein transport|peptide transport
C4ZYF5	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
B1XB99	cell division
P0AD79	cellular amino acid biosynthetic process|leucine biosynthetic process|branched chain family amino acid biosynthetic process
P00909	tryptophan biosynthetic process|cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process|metabolic process
B1XGQ9	regulation of transcription, DNA-dependent|transcription, DNA-dependent
B1XGB9	phosphorylation
P0AFU4	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)
P0A858	pentose-phosphate shunt|gluconeogenesis|glycolysis
C4ZU39	cytochrome complex assembly
B1XHC6	transport|zinc ion transport|ion transport
B1X785	cellular amino acid biosynthetic process|aromatic amino acid family biosynthetic process
P0A6U5	methylation|rRNA processing
