Accession	Molecular Function (Uniprot)
P0A9P0	dihydrolipoyl dehydrogenase activity|disulfide oxidoreductase activity|flavin adenine dinucleotide binding|zinc ion binding
P0AFZ5	protein binding
P26602	chorismate lyase activity
P23874	protein serine/threonine kinase activity|magnesium ion binding|ATP binding
P0ADP0	phosphatase activity
P0AAI1	alkanesulfonate transporter activity
P0A9S1	ferrous iron binding|lactaldehyde reductase activity
P15042	DNA ligase (NAD+) activity
P0AGC5	hydrolase activity, hydrolyzing O-glycosyl compounds
P10903	inorganic anion exchanger activity|nitrite efflux transmembrane transporter activity|nitrate transmembrane transporter activity|nitrite uptake transmembrane transporter activity
P10371	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
P0C960	lytic endotransglycosylase activity
