Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
P06996	ompC	meoA par	b2215	JW2203	OMPC_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level	Gram-negative porin family	Outer membrane protein C (Outer membrane protein 1B) (Porin ompC)	"GO:0009597; GO:0046718; GO:0045203; GO:0006811; GO:0005886; GO:0046930; GO:0015288; GO:0005515"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Direct protein sequencing; Ion transport; Membrane; Phage recognition; Porin; Signal; Transmembrane; Transmembrane beta strand; Transport"	367	
P0A927	tsx	nupA	b0411	JW0401	TSX_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Evidence at protein level		Nucleoside-specific channel-forming protein tsx	"GO:0009279; GO:0009597; GO:0046718; GO:0006811; GO:0005337; GO:0005886; GO:0046930; GO:0015288"	"3D-structure; Cell membrane; Cell outer membrane; Complete proteome; Ion transport; Membrane; Phage recognition; Porin; Signal; Transmembrane; Transmembrane beta strand; Transport"	294	
P33341	yehB		b2109	JW2096	YEHB_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Inferred from homology	Fimbrial export usher family	Uncharacterized outer membrane usher protein yehB	"GO:0009279; GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Cell outer membrane; Complete proteome; Disulfide bond; Fimbrium biogenesis; Membrane; Signal; Transmembrane; Transmembrane beta strand; Transport"	826	
P45420	yhcD		b3216	JW3183	YHCD_ECOLI	"Cell outer membrane; Multi-pass membrane protein. "	Inferred from homology	Fimbrial export usher family	Uncharacterized outer membrane usher protein yhcD	"GO:0009279; GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Cell outer membrane; Complete proteome; Disulfide bond; Fimbrium biogenesis; Membrane; Signal; Transmembrane; Transmembrane beta strand; Transport"	793	
P52143	ypjA		b2647	JW5422	YPJA_ECOLI	"Cell outer membrane; Peripheral membrane protein. "	Predicted		Uncharacterized outer membrane protein ypjA	"GO:0007155; GO:0009279; GO:0016021; GO:0005886"	"Cell membrane; Cell outer membrane; Complete proteome; Membrane; Signal; Transmembrane; Transmembrane beta strand"	1526	
P33666	ydbA		b4492	JW5802 JW1402	YDBA_ECOLI		Uncertain		Putative uncharacterized protein ydbA		Complete proteome	2003	
P77286	ydeU		b1509	JW1502	YDEU_ECOLI		Uncertain		Uncharacterized protein ydeU	GO:0019867	Complete proteome	466	
P45564	yfeN		b2408	JW2399	YFEN_ECOLI		Predicted		Uncharacterized protein yfeN	GO:0009279	Complete proteome	254	
P0ADB4	ecnA		b4410	JW5737	ECNA_ECOLI	"Cell membrane; Lipid-anchor. "	Inferred from homology	EcnA/ecnB lipoprotein family	Entericidin A	"GO:0005886; GO:0009636"	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	41	
P77296	ybeT		b0647	JW0642	YBET_ECOLI		Predicted		Uncharacterized protein ybeT	GO:0005488	Complete proteome	184	
P77335	hlyE	clyA hpr sheA ycgD	b1182	JW5181	HLYE_ECOLI	"Secreted. Periplasm. Host cell membrane; Single-pass membrane protein. "	Evidence at protein level	Hemolysin E family	Hemolysin E, chromosomal (Cytotoxin ClyA) (Hemolysis-inducing protein) (Latent pore-forming 34 kDa hemolysin) (Silent hemolysin SheA)	"GO:0019835; GO:0044179; GO:0020002; GO:0006917; GO:0016021; GO:0009405; GO:0042597"	"3D-structure; Complete proteome; Cytolysis; Direct protein sequencing; Disulfide bond; Hemolysis; Host cell membrane; Host membrane; Membrane; Periplasm; Secreted; Toxin; Transmembrane; Transmembrane helix"	303	
