Genea	GI	Product
glpQ	1788572	periplasmic glycerophosphodiester phosphodiesterase
glpT	1788573	sn-glycerol-3-phosphate transporter
glpA	1788574	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit, FAD/NAD(P)-binding
glpB	1788575	sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit
glpC	1788576	sn-glycerol-3-phosphate dehydrogenase (anaerobic), small subunit
yfaD	1788577	conserved protein
ypaA	87082070	predicted protein
arnC	1788588	undecaprenyl phosphate-L-Ara4FN transferase
arnA	1788589	fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase
arnD	1788590	conserved protein
arnT	1788591	4-amino-4-deoxy-L-arabinose transferase
arnE	87082074	conserved protein
arnF	87082075	predicted inner membrane protein
pmrD	87082076	polymyxin resistance protein B
menE	1788595	o-succinylbenzoate-CoA ligase
menC	1788596	o-succinylbenzoyl-CoA synthase
menB	1788597	dihydroxynaphthoic acid synthetase
yfbB	1788598	predicted peptidase
menD	1788599	bifunctional 2-oxoglutarate decarboxylase/ SHCHC synthase
menF	87082077	isochorismate synthase 2
elaB	1788601	conserved protein
elaA	1788602	predicted acyltransferase with acyl-CoA N-acyltransferase domain
rbn	87082078	binuclear zinc phosphodiesterase
nuoN	145693160	NADH:ubiquinone oxidoreductase, membrane subunit N
nuoM	1788613	NADH:ubiquinone oxidoreductase, membrane subunit M
nuoL	1788614	NADH:ubiquinone oxidoreductase, membrane subunit L
nuoK	1788615	NADH:ubiquinone oxidoreductase, membrane subunit K
nuoJ	1788616	NADH:ubiquinone oxidoreductase, membrane subunit J
nuoI	1788617	NADH:ubiquinone oxidoreductase, chain I
nuoH	1788618	NADH:ubiquinone oxidoreductase, membrane subunit H
nuoG	145693161	NADH:ubiquinone oxidoreductase, chain G
nuoF	1788620	NADH:ubiquinone oxidoreductase, chain F
nuoE	1788621	NADH:ubiquinone oxidoreductase, chain E
nuoC	145693162	NADH:ubiquinone oxidoreductase, chain C,D
nuoB	1788624	NADH:ubiquinone oxidoreductase, chain B
nuoA	1788625	NADH:ubiquinone oxidoreductase, membrane subunit A
lrhA	1788626	DNA-binding transcriptional repressor of flagellar, motility and chemotaxis genes
yfbQ	1788627	predicted aminotransferase
yfbR	1788628	deoxyribonucleoside 5'-monophosphatase
yfbS	1788629	predicted transporter
yfbT	87082080	predicted hydrolase or phosphatase
yfbU	87082081	conserved protein
yfbV	1788632	conserved inner membrane protein
ackA	1788633	acetate kinase A and propionate kinase 2
pta	1788635	phosphate acetyltransferase
yfcC	87082082	predicted inner membrane protein
yfcD	1788637	predicted NUDIX hydrolase
yfcE	1788638	predicted phosphatase
yfcF	1788639	predicted enzyme
yfcG	1788640	predicted glutathione S-transferase
yfcH	1788642	conserved protein with NAD(P)-binding Rossmann-fold domain
hisP	1788644	histidine/lysine/arginine/ornithine transporter subunit
hisM	1788645	histidine/lysine/arginine/ornithine transporter subunit
hisQ	1788646	histidine/lysine/arginine/ornithine transporter subunit
hisJ	1788648	histidine/lysine/arginine/ornithine transporter subunit
argT	1788649	lysine/arginine/ornithine transporter subunit
ubiX	1788650	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
purF	1788651	amidophosphoribosyltransferase
cvpA	1788652	membrane protein required for colicin V production
dedD	87082083	conserved protein
folC	1788654	bifunctional folylpolyglutamate synthase/ dihydrofolate synthase
accD	1788655	acetyl-CoA carboxylase, beta (carboxyltranferase) subunit
dedA	1788656	conserved inner membrane protein
truA	1788657	pseudouridylate synthase I
usg	1788658	predicted semialdehyde dehydrogenase
pdxB	1788660	erythronate-4-phosphate dehydrogenase
flk	1788661	predicted flagella assembly protein
fabB	1788663	3-oxoacyl-[acyl-carrier-protein] synthase I
mnmC	87082084	fused 5-methylaminomethyl-2-thiouridine-forming enzyme methyltransferase/FAD-dependent demodification enzyme
yfcL	1788665	predicted protein
yfcM	1788666	conserved protein
yfcA	1788667	conserved inner membrane protein
mepA	1788668	murein DD-endopeptidase
aroC	1788669	chorismate synthase
prmB	87082085	N5-glutamine methyltransferase
yfcN	1788671	conserved protein
yfcS	1788677	predicted periplasmic pilus chaperone
yfcV	1788680	predicted fimbrial-like adhesin protein
sixA	1788681	phosphohistidine phosphatase
fadJ	1788682	fused enoyl-CoA hydratase and epimerase and isomerase/3-hydroxyacyl-CoA dehydrogenase
fadI	1788683	beta-ketoacyl-CoA thiolase, anaerobic, subunit
yfcZ	87082087	conserved protein
fadL	145693163	long-chain fatty acid outer membrane transporter
vacJ	1788688	predicted lipoprotein
yfdC	1788689	predicted inner membrane protein
emrY	1788710	predicted multidrug efflux system
oxc	1788716	predicted oxalyl-CoA decarboxylase
frc	1788717	formyl-CoA transferase, NAD(P)-binding
yfdX	1788719	predicted protein
ypdI	2367134	predicted lipoprotein involved in colanic acid biosynthesis
yfdY	1788720	predicted inner membrane protein
lpxP	87082094	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase
yfdZ	1788722	prediected aminotransferase, PLP-dependent
ypdB	1788724	predicted response regulator in two-component system withYpdA
ypdC	1788725	predicted DNA-binding protein
fryA	1788726	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component
ypdE	1788727	predicted peptidase
ypdF	1788728	predicted peptidase
fryC	1788729	predicted enzyme IIC component of PTS
fryB	1788730	predicted enzyme IIB component of PTS
glk	1788732	glucokinase
mntH	1788736	manganese/divalent cation transporter
nupC	1788737	nucleoside (except guanosine) transporter
yfeA	87082096	predicted diguanylate cyclase
yfeC	87082097	predicted DNA-binding transcriptional regulator
yfeD	145693165	predicted DNA-binding transcriptional regulator
gltX	1788743	glutamyl-tRNA synthetase
ptsI	1788756	PEP-protein phosphotransferase of PTS system (enzyme I)
crr	1788757	glucose-specific enzyme IIA component of PTS
pdxK	1788758	pyridoxal-pyridoxamine kinase/hydroxymethylpyrimidine kinase
yfeK	1788759	predicted protein
cysM	2367138	cysteine synthase B (O-acetylserine sulfhydrolase B)
cysA	1788761	sulfate/thiosulfate transporter subunit
cysW	87082099	sulfate/thiosulfate transporter subunit
cysU	1788764	sulfate/thiosulfate transporter subunit
cysP	1788765	thiosulfate transporter subunit
ucpA	87082100	predicted oxidoredutase, sulfate metabolism protein
murQ	1788768	predicted PTS component
murP	1788769	fused predicted PTS enzymes: IIB component/IIC component
yfeX	87082102	conserved protein
yfeY	1788772	predicted protein
yfeZ	87082103	predicted inner membrane protein
ypeA	87082104	predicted acyltransferase with acyl-CoA N-acyltransferase domain
amiA	1788776	N-acetylmuramoyl-l-alanine amidase I
hemF	1788777	coproporphyrinogen III oxidase
eutR	1788778	predicted DNA-binding transcriptional regulator
eutK	87082105	predicted carboxysome structural protein with predicted role in ethanolamine utilization
eutL	1788780	predicted carboxysome structural protein with predicted role in ethanolamine utilization
maeB	1788806	fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase
talA	1788807	transaldolase A
tktB	1788808	transketolase 2, thiamin-binding
ypfG	1788809	predicted protein
nudK	1788810	predicted NUDIX hydrolase
aegA	1788811	fused predicted oxidoreductase: FeS binding subunit/NAD/FAD-binding subunit
narQ	1788812	sensory histidine kinase in two-component regulatory system with NarP (NarL)
acrD	1788814	aminoglycoside/multidrug efflux system
ypfM	145693170	hypothetical protein
yffB	1788815	conserved protein
dapE	1788816	N-succinyl-diaminopimelate deacylase
ypfN	87082110	predicted protein
ypfH	87082111	predicted hydrolase
tmcA	1788818	Elongator methionine tRNA (ac4C34) acetyltransferase
ypfJ	1788819	conserved protein
purC	1788820	phosphoribosylaminoimidazole-succinocarboxamide synthetase
bamC	87082112	lipoprotein
dapA	1788823	dihydrodipicolinate synthase
gcvR	87082113	DNA-binding transcriptional repressor, regulatory protein accessory to GcvA
bcp	1788825	thiol peroxidase, thioredoxin-dependent
hyfG	1788832	hydrogenase 4, subunit
hyfI	1788834	hydrogenase 4, Fe-S subunit
yfgO	1788838	predicted inner membrane protein
yfgC	1788840	predicted peptidase
yfgD	1788841	predicted oxidoreductase
hda	1788842	ATPase regulatory factor involved in DnaA inactivation
uraA	1788843	uracil transporter
upp	87082118	uracil phosphoribosyltransferase
purM	1788845	phosphoribosylaminoimidazole synthetase
purN	1788846	phosphoribosylglycinamide formyltransferase 1
ppk	1788847	polyphosphate kinase, component of RNA degradosome
ppx	1788848	exopolyphosphatase
guaA	1788854	GMP synthetase (glutamine aminotransferase)
guaB	1788855	IMP dehydrogenase
xseA	1788856	exonuclease VII, large subunit
yfgJ	87082119	predicted protein
der	87082120	predicted GTP-binding protein
bamB	1788859	protein assembly complex, lipoprotein component
yfgM	1788860	conserved protein
hisS	1788861	histidyl tRNA synthetase
ispG	1788863	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
rodZ	1788864	conserved protein
rlmN	1788865	23S rRNA m(2)A2503 methyltransferase, SAM-dependen
ndk	1788866	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase
pbpC	1788867	fused transglycosylase/transpeptidase
sseB	87082122	rhodanase-like enzyme, sulfur transfer from thiosulfate
pepB	87082123	aminopeptidase B
iscX	1788873	conserved protein
fdx	1788874	[2Fe-2S] ferredoxin
hscA	1788875	DnaK-like molecular chaperone specific for IscU
hscB	1788876	DnaJ-like molecular chaperone specific for IscU
iscA	1788877	FeS cluster assembly protein
iscS	48994898	cysteine desulfurase (tRNA sulfurtransferase), PLP-dependent
iscR	1788880	DNA-binding transcriptional repressor
trmJ	1788881	tRNA mC32/mU32 methyltransferase, SAM-dependent
suhB	1788882	inositol monophosphatase
yfhR	1788884	predicted peptidase
csiE	87082124	stationary phase inducible protein
hcaT	1788886	predicted 3-phenylpropionic transporter
yphG	87082126	conserved protein
yphH	87082127	predicted DNA-binding transcriptional regulator
glyA	1788902	serine hydroxymethyltransferase
hmp	1788903	fused nitric oxide dioxygenase/dihydropteridine reductase 2
glnB	1788904	regulatory protein P-II for glutamine synthetase
qseF	1788905	predicted DNA-binding response regulator in two-component system
qseG	1788906	conserved protein
qseE	87082128	predicted sensory kinase in two-component system
purL	48994899	phosphoribosylformyl-glycineamide synthetase
mltF	171474010	predicted periplasmic binding protein/transglycosylase
tadA	145693172	tRNA-specific adenosine deaminase
yfhB	87082129	conserved protein
yfhH	87082130	predicted DNA-binding transcriptional regulator
yfhL	1788914	predicted 4Fe-4S cluster-containing protein
acpS	1788916	holo-[acyl-carrier-protein] synthase 1
pdxJ	1788917	pyridoxine 5'-phosphate synthase
recO	2367140	gap repair protein
era	1788919	membrane-associated, 16S rRNA-binding GTPase
rnc	1788920	RNase III
lepB	1788921	leader peptidase (signal peptidase I)
lepA	1788922	GTP-binding membrane protein
rseC	1788923	RseC protein involved in reduction of the SoxR iron-sulfur cluster
rseB	1788924	anti-sigma factor
rseA	1788925	anti-sigma factor
rpoE	1788926	RNA polymerase, sigma 24 (sigma E) factor
yfiC	87082131	predicted S-adenosyl-L-methionine-dependent methyltransferase
srmB	1788930	ATP-dependent RNA helicase
yfiE	87082132	predicted DNA-binding transcriptional regulator
yfiD	1788933	pyruvate formate lyase subunit
ung	1788934	uracil-DNA-glycosylase
yfiF	1788935	predicted methyltransferase
trxC	1788936	thioredoxin 2
yfiP	87082133	conserved protein
yfiQ	1788938	fused predicted acyl-CoA synthetase: NAD(P)-binding subunit/ATP-binding subunit
pssA	87082134	phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase)
yfiM	145693173	predicted protein
kgtP	1788942	alpha-ketoglutarate transporter
clpB	1788943	protein disaggregation chaperone
yfiH	1788945	conserved protein
rluD	1788946	23S rRNA pseudouridine synthase
bamD	1788947	predicted lipoprotein
raiA	1788949	cold shock protein associated with 30S ribosomal subunit
pheA	1788951	fused chorismate mutase P/prephenate dehydratase
tyrA	1788952	fused chorismate mutase T/prephenate dehydrogenase
aroF	1788953	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible
yfiL	87082135	predicted protein
yfiB	1788957	predicted outer membrane lipoprotein
rplS	1788958	50S ribosomal subunit protein L19
trmD	1788959	tRNA m(1)G37 methyltransferase, SAM-dependent
rimM	87082136	16S rRNA processing protein
rpsP	1788961	30S ribosomal subunit protein S16
yfjD	145693175	predicted inner membrane protein
nadK	1788968	NAD kinase
recN	48994901	recombination and repair protein
smpA	87082138	small membrane lipoprotein
yfjF	87082139	predicted protein
yfjG	1788972	conserved protein
smpB	1788973	trans-translation protein
gabT	1789016	4-aminobutyrate aminotransferase, PLP-dependent
gabP	1789017	gamma-aminobutyrate transporter
csiR	87082149	DNA-binding transcriptional dual regulator
ygaU	1789019	predicted protein
yqaE	1789020	predicted membrane protein
ygaV	1789021	predicted DNA-binding transcriptional regulator
ygaP	1789022	predicted inner membrane protein with hydrolase activity
stpA	1789023	DNA binding protein, nucleoid-associated
ygaW	1789025	predicted inner membrane protein
ygaC	1789026	predicted protein
ygaM	1789027	predicted protein
nrdH	1789028	glutaredoxin-like protein
nrdI	1789029	protein that stimulates ribonucleotide reduction
nrdE	1789030	ribonucleoside-diphosphate reductase 2, alpha subunit
nrdF	1789031	ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like
proV	1789032	glycine betaine transporter subunit
proW	1789033	glycine betaine transporter subunit
proX	1789034	glycine betaine transporter subunit
ygaZ	1789038	predicted transporter
ygaH	1789039	predicted inner membrane protein
mprA	1789040	DNA-binding transcriptional repressor of microcin B17 synthesis and multidrug efflux
emrA	1789041	multidrug efflux system
emrB	1789042	multidrug efflux system protein
luxS	1789043	S-ribosylhomocysteinase
gshA	1789044	gamma-glutamate-cysteine ligase
yqaA	1789045	conserved inner membrane protein
yqaB	1789046	predicted hydrolase
csrA	1789047	pleiotropic regulatory protein for carbon source metabolism
alaS	1789048	alanyl-tRNA synthetase
recX	1789050	regulatory protein for RecA
recA	1789051	DNA strand exchange and recombination protein with protease and nuclease activity
ygaD	1789052	conserved protein
mltB	1789053	membrane-bound lytic murein transglycosylase B
gutQ	87082151	predicted phosphosugar-binding protein
norR	87082152	DNA-binding transcriptional activator
norV	1789064	flavorubredoxin oxidoreductase
norW	1789065	NADH:flavorubredoxin oxidoreductase
hypF	2367152	carbamoyl phosphate phosphatase and maturation protein for [NiFe] hydrogenases
hycG	1789074	hydrogenase 3 and formate hydrogenase complex, HycG subunit
hycE	1789076	hydrogenase 3, large subunit
hycD	1789077	hydrogenase 3, membrane subunit
hypA	1789081	protein involved in nickel insertion into hydrogenases 3
hypB	1789082	GTP hydrolase involved in nickel liganding into hydrogenases
hypC	1789083	protein required for maturation of hydrogenases 1 and 3
hypD	1789084	protein required for maturation of hydrogenases
hypE	1789085	carbamoyl phosphate phosphatase, hydrogenase 3 maturation protein
fhlA	1789087	DNA-binding transcriptional activator
ygbA	1789088	predicted protein
mutS	1789089	methyl-directed mismatch repair protein
rpoS	1789098	RNA polymerase, sigma S (sigma 38) factor
nlpD	1789099	predicted outer membrane lipoprotein
pcm	1789100	L-isoaspartate protein carboxylmethyltransferase type II
surE	1789101	broad specificity 5'(3')-nucleotidase and polyphosphatase
truD	1789102	tRNA(Glu) U13 pseudouridine synthase
ispF	1789103	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
ispD	1789104	4-diphosphocytidyl-2C-methyl-D-erythritol synthase
ftsB	1789105	cell division protein
ygbE	1789106	conserved inner membrane protein
cysC	1789107	adenosine 5'-phosphosulfate kinase
cysN	1789108	sulfate adenylyltransferase, subunit 1
cysD	1789109	sulfate adenylyltransferase, subunit 2
iap	1789111	aminopeptidase in alkaline phosphatase isozyme conversion
cysH	1789121	3'-phosphoadenosine 5'-phosphosulfate reductase
cysI	1789122	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding
cysJ	1789123	sulfite reductase, alpha subunit, flavoprotein
queD	1789124	6-pyruvoyl tetrahydrobiopterin synthase (PTPS)
ygcF	1789139	conserved protein
pyrG	1789142	CTP synthetase
relA	1789147	(p)ppGpp synthetase I/GTP pyrophosphokinase
rumA	1789148	23S rRNA m(5)U1939 methyltransferase, SAM-dependent
gudD	1789150	(D)-glucarate dehydratase 1
gudX	1789151	predicted glucarate dehydratase
gudP	1789152	predicted D-glucarate transporter
yqcA	1789154	predicted flavoprotein
truC	1789155	tRNA U65 pseudouridine synthase
yqcC	1789156	conserved protein
syd	1789157	predicted protein
queF	1789158	7-cyano-7-deazaguanine reductase (NADPH-dependent)
ygdH	1789159	conserved protein
sdaC	1789160	predicted serine transporter
sdaB	1789161	L-serine deaminase II
ygdG	1789162	Ssb-binding protein, misidentified as ExoIX
fucO	1789163	L-1,2-propanediol oxidoreductase
fucA	1789164	L-fuculose-1-phosphate aldolase
fucI	1789167	L-fucose isomerase
fucK	1789168	L-fuculokinase
fucU	1789169	L-fucose mutarotase
fucR	1789170	DNA-binding transcriptional activator
ygdE	1789171	predicted methyltransferase
ygdD	1789172	conserved inner membrane protein
ygdI	87082162	predicted protein
csdA	1789175	cysteine sulfinate desulfinase
csdE	1789176	predicted Fe-S metabolism protein
ygdL	1789177	conserved protein
mltA	1789179	membrane-bound lytic murein transglycosylase A
amiC	87082163	N-acetylmuramoyl-L-alanine amidase
argA	1789181	fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase
recD	1789182	exonuclease V (RecBCD complex), alpha chain
recB	1789183	exonuclease V (RecBCD complex), beta subunit
ptrA	2367164	protease III
recC	1789186	exonuclease V (RecBCD complex), gamma chain
ppdC	1789187	predicted protein
ygdB	87082164	predicted protein
ppdA	1789190	conserved protein
thyA	1789191	thymidylate synthetase
lgt	1789192	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase
ptsP	1789193	fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein
rppH	1789194	nucleotide hydrolase
mutH	1789196	methyl-directed mismatch repair protein
ygdQ	1789197	predicted inner membrane protein
ygdR	1789198	predicted protein
tas	1789199	predicted oxidoreductase, NADP(H)-dependent aldo-keto reductase
lplT	1789200	predicted inner membrane protein
aas	1789201	fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase
galR	1789202	DNA-binding transcriptional repressor
lysA	1789203	diaminopimelate decarboxylase, PLP-binding
lysR	1789204	DNA-binding transcriptional dual regulator
ygeA	1789205	predicted racemase
araE	1789207	arabinose transporter
idi	1789255	isopentenyl diphosphate isomerase
lysS	1789256	lysine tRNA synthetase, constitutive
prfB	2367172	peptide chain release factor RF-2
recJ	1789259	ssDNA exonuclease, 5' --> 3'-specific
dsbC	1789260	protein disulfide isomerase II
xerD	1789261	site-specific tyrosine recombinase
fldB	1789262	flavodoxin 2
ygfX	1789263	predicted protein
ygfY	1789264	conserved protein
ygfZ	1789265	predicted folate-dependent regulatory protein
yqfA	1789266	predicted oxidoreductase, inner membrane subunit
yqfB	1789267	conserved protein
bglA	2367174	6-phospho-beta-glucosidase A
gcvP	1789269	glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex
gcvH	1789271	glycine cleavage complex lipoylprotein
gcvT	1789272	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex
visC	1789273	predicted oxidoreductase with FAD/NAD(P)-binding domain
ubiH	1789274	2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding
pepP	1789275	proline aminopeptidase P II
ygfB	87082182	predicted protein
ygfA	1789278	predicted ligase
serA	1789279	D-3-phosphoglycerate dehydrogenase
rpiA	1789280	ribose 5-phosphate isomerase, constitutive
argP	1789283	DNA-binding transcriptional activator, replication initiation inhibitor
yggE	1789289	conserved protein
argO	1789290	arginine transporter
mscS	1789291	mechanosensitive channel
fbaA	1789293	fructose-bisphosphate aldolase, class II
pgk	1789294	phosphoglycerate kinase
epd	1789295	D-erythrose 4-phosphate dehydrogenase
yggC	1789296	conserved protein with nucleoside triphosphate hydrolase domain
tktA	48994911	transketolase 1, thiamin-binding
yggG	87082185	predicted peptidase
speB	1789306	agmatinase
speA	1789307	biosynthetic arginine decarboxylase, PLP-binding
yqgB	145693178	predicted protein
yqgC	1789309	predicted protein
yqgD	1789310	predicted inner membrane protein
metK	1789311	methionine adenosyltransferase 1
galP	1789312	D-galactose transporter
yggI	1789313	conserved protein
endA	1789314	DNA-specific endonuclease I
rsmE	87082186	16S rRNA m(3)U1498 methyltransferase, SAM-dependent
gshB	1789316	glutathione synthetase
yqgE	87082187	predicted protein
yqgF	1789318	predicted Holliday junction resolvase
yggR	87082188	predicted transporter
yggS	1789321	predicted enzyme
yggT	1789322	predicted inner membrane protein
yggU	87082189	conserved protein
rdgB	1789324	dITP/XTP pyrophosphatase
yggW	1789325	predicted oxidoreductase
ansB	1789327	periplasmic L-asparaginase II
yggN	1789328	predicted protein
yggL	87082190	predicted protein
trmI	1789330	tRNA m(7)G46 methyltransferase, SAM-dependent
mutY	1789331	adenine DNA glycosylase
yggX	1789332	protein that protects iron-sulfur proteins against oxidative damage
mltC	87082191	membrane-bound lytic murein transglycosylase C
nupG	87082192	nucleoside transporter
speC	87082193	ornithine decarboxylase, constitutive
glcA	1789347	glycolate transporter
pitB	1789360	phosphate transporter
gsp	1789361	fused glutathionylspermidine amidase/glutathionylspermidine synthetase
yghU	87082195	predicted S-transferase
hybG	1789364	hydrogenase 2 accessory protein
hybF	1789365	protein involved with the maturation of hydrogenases 1 and 2
hybE	1789366	hydrogenase 2-specific chaperone
hybD	1789367	predicted maturation element for hydrogenase 2
hybC	1789368	hydrogenase 2, large subunit
hybB	2367183	predicted hydrogenase 2 cytochrome b type component
hybA	1789370	hydrogenase 2 4Fe-4S ferredoxin-type component
hybO	1789371	hydrogenase 2, small subunit
yghW	1789372	predicted protein
yqhA	1789376	conserved inner membrane protein
yghA	1789378	predicted glutathionylspermidine synthase, with NAD(P)-binding Rossmann-fold domain
exbD	1789380	membrane spanning protein in TonB-ExbB-ExbD complex
exbB	1789381	membrane spanning protein in TonB-ExbB-ExbD complex
metC	1789383	cystathionine beta-lyase, PLP-dependent
yghB	1789384	synthetic lethal with yqjA at high temperature
yqhC	87082197	predicted DNA-binding transcriptional regulator
yqhD	1789386	alcohol dehydrogenase, NAD(P)-dependent
dkgA	87082198	2,5-diketo-D-gluconate reductase A
ftsP	1789394	repressor protein for FtsI
plsC	1789395	1-acyl-sn-glycerol-3-phosphate acyltransferase
parC	1789396	DNA topoisomerase IV, subunit A
ygiV	48994918	predicted transcriptional regulator
ygiW	1789401	conserved protein
qseB	1789402	DNA-binding response regulator in two-component regulatory system with QseC
qseC	1789403	sensory histidine kinase in two-component regulatory system with QseB
mdaB	1789406	NADPH quinone reductase
ygiN	1789407	quinol monooxygenase
parE	1789408	DNA topoisomerase IV, subunit B
yqiA	1789409	predicted esterase
cpdA	1789410	cyclic 3',5'-adenosine monophosphate phosphodiesterase
yqiB	1789411	predicted dehydrogenase
nudF	1789412	ADP-ribose pyrophosphatase
tolC	87082199	transport channel
ygiB	145693179	conserved outer membrane protein
ygiC	1789416	predicted enzyme
ygiD	1789417	predicted dioxygenase
ribB	1789420	3,4-dihydroxy-2-butanone-4-phosphate synthase
yqiC	87082201	conserved protein
rfaE	1789432	fused heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
glnE	1789433	fused deadenylyltransferase/adenylyltransferase for glutamine synthetase
ygiF	1789434	predicted adenylate cyclase
ygiM	1789435	predicted signal transduction protein (SH3 domain)
cca	1789436	fused tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase and phosphatase
bacA	1789437	undecaprenyl pyrophosphate phosphatase
folB	87082204	bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase
plsY	1789439	conserved inner membrane protein
ttdA	1789442	L-tartrate dehydratase, alpha subunit
ttdB	1789443	L-tartrate dehydratase, beta subunit
ttdT	1789444	predicted tartrate:succinate antiporter
ygjD	1789445	predicted peptidase
dnaG	1789447	DNA primase
rpoD	1789448	RNA polymerase, sigma 70 (sigma D) factor
mug	1789449	G/U mismatch-specific DNA glycosylase
yqjH	1789450	predicted siderophore interacting protein
yqjI	1789452	predicted transcriptional regulator
aer	1789453	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component
patA	145693181	putrescine:2-oxoglutaric acid aminotransferase, PLP-dependent
ygjH	1789455	conserved protein
ebgR	1789456	DNA-binding transcriptional repressor
ebgA	48994920	cryptic beta-D-galactosidase, alpha subunit
ygjK	1789462	predicted glycosyl hydrolase
fadH	1789463	2,4-dienoyl-CoA reductase, NADH and FMN-linked
rlmG	87082206	23S rRNA mG1835 methyltransferase, SAM-dependent
ygjP	87082207	predicted metal dependent hydrolase
ygjQ	1789468	predicted thioredoxin-like
ygjR	145693182	predicted NAD(P)-binding dehydrogenase
alx	48994922	predicted inner membrane protein, part of terminus
sstT	1789473	sodium:serine/threonine symporter
ygjV	1789474	conserved inner membrane protein
uxaA	1789475	altronate hydrolase
uxaC	2367192	uronate isomerase
exuT	2367193	hexuronate transporter
exuR	87082208	DNA-binding transcriptional repressor
yqjA	1789481	synthetic lethal with yghB at high temperature
yqjB	1789482	conserved protein
yqjC	87082209	conserved protein
yqjD	1789485	conserved protein
yqjE	1789486	conserved inner membrane protein
yqjK	1789487	conserved protein
yqjG	1789489	predicted S-transferase
yhaH	2367196	predicted inner membrane protein
yhaJ	1789492	predicted DNA-binding transcriptional regulator
yhaK	1789493	predicted pirin-related protein
yhaL	87082211	predicted protein
yhaM	48994923	conserved protein
yhaO	145693183	predicted transporter
tdcG	48994925	L-serine dehydratase 3
tdcF	87082213	predicted L-PSP (mRNA) endoribonuclease
tdcE	48994926	pyruvate formate-lyase 4/2-ketobutyrate formate-lyase
tdcD	145693184	propionate kinase/acetate kinase C, anaerobic
tdcC	1789504	L-threonine/L-serine transporter
tdcB	1789505	catabolic threonine dehydratase, PLP-dependent
tdcA	1789506	DNA-binding transcriptional activator
tdcR	87082214	DNA-binding transcriptional activator
garK	145693185	glycerate kinase I
garR	145693186	tartronate semialdehyde reductase
garL	1789514	alpha-dehydro-beta-deoxy-D-glucarate aldolase
garP	1789515	predicted (D)-galactarate transporter
yraL	1789535	predicted methyltransferase
yraM	1789537	conserved protein
yraN	1789538	conserved protein
diaA	1789539	DnaA initiator-associating factor for replication initiation
yraP	1789540	predicted protein
yraQ	1789541	predicted permease
yraR	87082218	predicted nucleoside-diphosphate-sugar epimerase
yhbP	1789544	conserved protein
yhbQ	1789545	predicted endonuclease
yhbS	1789546	predicted acyltransferase with acyl-CoA N-acyltransferase domain
yhbT	1789547	predicted lipid carrier protein
yhbU	1789548	predicted peptidase (collagenase-like)
yhbV	87082220	predicted protease
yhbW	1789551	predicted enzyme
mtr	1789552	tryptophan transporter of high affinity
deaD	87082221	ATP-dependent RNA helicase
nlpI	1789554	conserved protein
pnp	145693187	polynucleotide phosphorylase/polyadenylase
rpsO	1789556	30S ribosomal subunit protein S15
truB	2367200	tRNA U55 pseudouridine synthase
rbfA	1789558	30s ribosome binding factor
infB	1789559	fused protein chain initiation factor 2, IF2: membrane protein/conserved protein
yhbC	145693188	conserved protein
argG	1789563	argininosuccinate synthetase
secG	1789565	preprotein translocase membrane subunit
glmM	1789566	phosphoglucosamine mutase
folP	87082224	7,8-dihydropteroate synthase
ispB	1789578	octaprenyl diphosphate synthase
sfsB	1789579	DNA-binding transcriptional activator of maltose metabolism
murA	1789580	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
yrbA	87082226	predicted DNA-binding transcriptional regulator
yrbB	87082227	predicted protein
yrbC	1789583	predicted ABC-type organic solvent transporter
yrbD	1789584	predicted ABC-type organic solvent transporter
yrbE	1789585	predicted toluene transporter subunit: membrane component of ABC superfamily
yrbF	1789586	predicted toluene transporter subunit: ATP-binding component of ABC superfamily
