Merge ID	1DG005_L2s_NSAF	1DG005_PEL_L2_NSAF	1DG006_L6_NSAF	1DG010_L1_NSAF	# Studies	TableS4_BL21_DE3_ProteomeV8 Duplicates	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	TatP D-score	Protein Len	Protein MW	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra	Unique Peptides	Unique Spectra	Total #spectra
C6EHI9_ECOBD	1	1	1	1	4	YCDO_ECOLI	C6EHI9_ECOBD	G	Putative uncharacterized protein (Putative uncharacterized protein ycdO)	375	8.875.562	5	5	8	4	4	5	7	7	12	2	2	2
C6EA29_ECOBD	1	0	0	0	1	PTFAH_ECOLI	C6EA29_ECOBD	F1	Fused fructose-specific PTS enzymes: IIA component/HPr component (EC 2.7.1.69) (Phosphocarrier, HPr family) (EC 2.7.1.69)	376	8.135.557	3	3	4									
C6EG21_ECOBD	1	0	1	0	2	RFFA_ECOLI	C6EG21_ECOBD	A	TDP-4-keto-6-deoxy-D-glucose transaminase (TDP-4-oxo-6-deoxy-D-glucose transaminase)	376	1,241.68	1	1	2				1	1	1			
C6E9W6_ECOBD	1	1	1	0	3	RIR2_ECOLI	C6E9W6_ECOBD	B	Ribonucleotide reductase (Ribonucleotide-diphosphate reductase beta subunit) (EC 1.17.4.1)	376	1,046.52	3	3	4	3	3	3	2	3	3			
C6EB39_ECOBD	1	1	1	1	4	DNAJ_ECOLI	C6EB39_ECOBD	A	Chaperone protein dnaJ	376	1,539.87	50	71	178	1	1	1	1	1	1	2	2	2
C6ECX3_ECOBD	1	1	1	0	3	AMPC_ECOLI	C6ECX3_ECOBD	G	Beta-lactamase (EC 3.5.2.6) (Beta-lactamase/D-alanine carboxypeptidase) (EC 3.5.2.6)	377	1,327.74	1	1	1	1	1	1	1	1	1			
C6EIY9_ECOBD	1	1	1	1	4	YBHS_ECOLI	C6EIY9_ECOBD	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	377	1,718.88	1	1	4	1	1	4	1	1	2	1	2	4
C6EHR2_ECOBD	1	0	0	0	1	RLMG_ECOLI	C6EHR2_ECOBD	A	Ribosomal RNA large subunit methyltransferase G (EC 2.1.1.52) (23S rRNA m2G1835 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase rlmG)	378	8.024.419	1	1	1									
C6EGW5_ECOBD	1	1	1	1	4	POTA_ECOLI	C6EGW5_ECOBD	F1	Putrescine/spermidine ABC transporter ATPase protein (Spermidine/putrescine ABC transporter ATPase subunit)	378	9.064.351	15	18	31	3	3	3	5	5	5	2	2	2
C6E9U7_ECOBD	1	0	1	0	2	ARNB_ECOLI	C6E9U7_ECOBD	A	DegT/DnrJ/EryC1/StrS aminotransferase	379	1,191.60	8	9	12				4	4	4			
C6EJK4_ECOBD	1	1	1	1	4	CYDB_ECOLI	C6EJK4_ECOBD	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379	9.245.262	4	5	8	4	5	6	4	5	22	6	7	13
C6EJC5_ECOBD	1	1	1	1	4	NLPD_ECOLI	C6EJC5_ECOBD	I	Peptidase M23 (Predicted outer membrane lipoprotein)	379	819.436	7	7	20	7	7	10	14	15	39	5	5	6
C6ECU2_ECOBD	1	0	0	0	1	CFA_ECOLI	C6ECU2_ECOBD	A	Cyclopropane fatty acyl phospholipid synthase (Unsaturated-phospholipid methyltransferase) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase)	382	1,390.75	1	1	2									
C6EB20_ECOBD	1	1	1	0	3	CARA_ECOLI	C6EB20_ECOBD	A	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	382	1,337.72	2	2	2	2	2	2	3	3	3			
C6EAA3_ECOBD	1	1	1	1	4	LPXB_ECOLI	C6EAA3_ECOBD	F1	Lipid-A-disaccharide synthase (EC 2.4.1.182)	382	802.457	18	19	37	8	11	16	7	7	8	4	4	4
C6EE52_ECOBD	1	1	1	0	3	ARGE_ECOLI	C6EE52_ECOBD	A	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383	2,805.42	1	1	1	1	1	1	1	1	1			
C6EAW0_ECOBD	1	1	1	1	4	FTSZ_ECOLI	C6EAW0_ECOBD	F1	Cell division protein ftsZ	383	1,156.60	35	43	126	9	10	12	5	5	7	3	3	4
C6EIG9_ECOBD	1	1	1	0	3	METK_ECOLI	C6EIG9_ECOBD	A	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	384	1,614.80	5	6	7	5	5	5	3	3	4			
C6EKJ2_ECOBD	1	1	1	1	4	RLMN_ECOLI	C6EKJ2_ECOBD	A	Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-) (23S rRNA m2A2503 methyltransferase)	384	1,056.53	4	4	8	1	1	1	4	4	6	1	1	1
C6EEH1_ECOBD	1	1	0	0	2	MDTE_ECOLI	C6EEH1_ECOBD	E	Efflux transporter, RND family, MFP subunit (Multidrug resistance efflux transporter)	385	1,566.72	1	1	1	1	1	1						
C6EJZ3_ECOBD	1	0	0	0	1	PHEA_ECOLI	C6EJZ3_ECOBD	A	Chorismate mutase (Fused chorismate mutase P/prephenate dehydratase) (EC 4.2.1.51) (EC 5.4.99.5)	386	1,269.72	1	1	1									
C6EF53_ECOBD	1	1	1	0	3	FADA_ECOLI	C6EF53_ECOBD	A	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	387	812.499	4	4	5	1	1	2	3	3	3			
C6EII3_ECOBD	1	1	1	1	4	PGK_ECOLI	C6EII3_ECOBD	A	Phosphoglycerate kinase (EC 2.7.2.3)	387	1,063.56	26	30	59	16	17	28	17	20	31	9	10	10
C6EB57_ECOBD	1	0	1	0	2	UDG_ECOLI	C6EB57_ECOBD	B	Nucleotide sugar dehydrogenase (EC 1.1.1.22) (UDP-glucose 6-dehydrogenase) (EC 1.1.1.22)	388	1,299.67	13	13	13				1	1	1			
C6EB35_ECOBD	1	1	1	1	4	NHAA_ECOLI	C6EB35_ECOBD	B	Na+/H+ antiporter NhaA (pH-dependent sodium/proton antiporter)	388	8.374.513	3	3	21	3	3	16	5	7	37	4	5	11
C6EJL0_ECOBD	1	1	1	1	4	SUCC_ECOLI	C6EJL0_ECOBD	A	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	1,115.57	14	15	39	12	14	29	9	9	14	3	3	5
C6ECK3_ECOBD	1	1	1	1	4	YNJB_ECOLI	C6ECK3_ECOBD	G	Extracellular solute-binding protein family 1 (Putative uncharacterized protein ynjB)	388	1,542.86	2	2	2	2	2	2	3	3	3	1	1	1
C6EFV4_ECOBD	1	1	1	1	4	YCIM_ECOLI	C6EFV4_ECOBD	G	Putative uncharacterized protein yciM (Tetratricopeptide domain protein)	389	8.024.417	16	19	39	8	9	14	19	23	50	6	8	12
C6EH44_ECOBD	1	0	1	0	2	OBG_ECOLI	C6EH44_ECOBD	A	GTPase obg (GTP-binding protein obg)	390	1,369.82	2	2	2				1	1	1			
C6EJU1_ECOBD	1	1	1	1	4	EMRA_ECOLI	C6EJU1_ECOBD	B	Efflux pump membrane protein (Multidrug efflux system)	390	9.784.674	22	27	67	20	25	44	37	56	117	17	18	26
C6EI14_ECOBD	1	0	0	0	1	RLMI_ECOLI	C6EI14_ECOBD	A	Putative uncharacterized protein	391	1,225.62	10	10	11									
C6EB50_ECOBD	1	1	1	1	4	Null	C6EB50_ECOBD	B	O antigen polymerase (Wzy) (Putative uncharacterized protein)	391	1,698.90	1	1	1	1	1	1	2	2	4	1	1	1
C6ELD1_ECOBD	1	1	1	1	4	YFCJ_ECOLI	C6ELD1_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted transporter)	392	9.925.007	2	2	25	2	3	22	3	5	28	3	4	7
C6EKJ7_ECOBD	1	1	1	1	4	YFGL_ECOLI	C6EKJ7_ECOBD	I	Outer membrane assembly lipoprotein YfgL (Protein assembly complex, lipoprotein component)	392	1,803.86	10	11	20	10	12	15	12	14	23	8	8	11
C6EIP9_ECOBD	1	0	1	0	2	YQEF_ECOLI	C6EIP9_ECOBD	A	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	393	9.666.095	1	1	1				1	1	1			
C6EGC5_ECOBD	1	1	0	0	2	EFTU1_ECOLI	C6EGC5_ECOBD	F1	Elongation factor Tu	394	1,303.78	48	73	573	43	79	269						
C6EDD1_ECOBD	1	1	1	0	3	Null	C6EDD1_ECOBD	A	Int (Integrase family protein)	394	8.875.562	6	6	9	1	1	2	1	1	1			
C6EE39_ECOBD	1	1	1	1	4	EFTU2_ECOLI	C6EE39_ECOBD	F1	Elongation factor Tu	394	9.054.952	42	63	179	43	79	222	41	67	400	32	47	192
C6EI54_ECOBD	1	1	1	1	4	AAT_ECOLI	C6EI54_ECOBD	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	1,219.67	15	17	29	15	19	23	9	10	13	4	4	4
C6EA15_ECOBD	1	1	1	1	4	BCR_ECOLI	C6EA15_ECOBD	B	Bicyclomycin/multidrug efflux system (Drug resistance transporter, Bcr/CflA subfamily)	396	1,210.66	1	1	1	1	1	1	2	2	16	1	1	4
C6EDI4_ECOBD	1	1	1	1	4	LLDD_ECOLI	C6EDI4_ECOBD	B	FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)	396	9.074.919	41	66	251	16	20	60	26	37	105	19	22	45
C6ED71_ECOBD	1	0	1	0	2	TYRB_ECOLI	C6ED71_ECOBD	A	Aromatic-amino-acid transaminase (EC 2.6.1.57) (Tyrosine aminotransferase, tyrosine-repressible, PLP-dependent) (EC 2.6.1.57)	397	9.845.149	2	2	3				1	1	1			
C6EL01_ECOBD	1	1	1	1	4	ACRA_ECOLI	C6EL01_ECOBD	E	Efflux transporter, RND family, MFP subunit (Multidrug efflux system)	397	3,751.03	49	74	303	54	93	294	46	103	413	37	55	107
C6EG13_ECOBD	1	1	1	1	4	HEMY_ECOLI	C6EG13_ECOBD	B	HemY protein (Predicted protoheme IX synthesis protein)	398	1,279.62	40	60	238	41	70	208	44	80	295	39	53	134
C6EDH2_ECOBD	1	1	1	1	4	KBL_ECOLI	C6EDH2_ECOBD	A	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	398	9.305.043	16	16	36	13	13	17	17	20	40	8	9	13
C6EGX6_ECOBD	1	1	1	1	4	LOLC_ECOLI	C6EGX6_ECOBD	B	Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)	399	1,098.59	12	13	27	8	9	15	16	26	51	17	19	33
C6EIK2_ECOBD	1	0	0	0	1	VISC_ECOLI	C6EIK2_ECOBD	B	Putative uncharacterized protein visC (Ubiquinone biosynthesis hydroxylase, UbiH/UbiF/VisC/COQ6 family)	400	1,186.66	1	1	1									
C6ELF7_ECOBD	1	1	1	0	3	ACKA_ECOLI	C6ELF7_ECOBD	A	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	2,465.30	2	2	2	2	2	2	1	1	1			
C6EJU8_ECOBD	1	1	1	0	3	PROV_ECOLI	C6EJU8_ECOBD	F1	Glycine betaine transporter subunit (Glycine betaine/L-proline ABC transporter, ATPase subunit)	400	8.034.258	26	34	58	9	9	9	12	13	16			
C6EIU4_ECOBD	1	1	1	1	4	DACC_ECOLI	C6EIU4_ECOBD	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 6a)) (EC 3.4.16.4)	400	800.499	30	47	98	16	19	26	37	59	106	30	41	66
C6EL76_ECOBD	1	1	1	1	4	NUPC_ECOLI	C6EL76_ECOBD	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	400	2,482.27	5	6	23	5	7	21	7	11	58	5	7	15
C6EDD6_ECOBD	1	1	1	1	4	GLTS_ECOLI	C6EDD6_ECOBD	B	Glutamate transporter (Sodium/glutamate symporter)	401	3,277.57	1	1	3	3	4	9	4	7	30	3	3	5
C6EG12_ECOBD	1	1	1	1	4	HEMX_ECOLI	C6EG12_ECOBD	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	401	1,284.67	65	85	145	64	98	162	58	119	502	52	81	192
C6EK61_ECOBD	1	1	1	1	4	DACA_ECOLI	C6EK61_ECOBD	F2	Beta-lactamase (EC 3.5.2.6) (D-alanyl-D-alanine carboxypeptidase (Penicillin-binding protein 5)) (EC 3.4.16.4)	403	9.195.031	47	67	198	32	43	93	31	58	107	31	38	72
C6ECU3_ECOBD	1	1	1	1	4	YDHC_ECOLI	C6ECU3_ECOBD	B	Drug resistance transporter, Bcr/CflA subfamily (Predicted transporter)	403	1,593.79	1	1	2	2	3	4	1	2	6	1	1	2
C6EKH7_ECOBD	1	1	1	1	4	ISCS_ECOLI	C6EKH7_ECOBD	A	Cysteine desulfurase (EC 2.8.1.7)	404	8.344.139	25	31	53	10	11	16	10	10	15	1	1	1
C6ELG3_ECOBD	1	1	1	0	3	YFBQ_ECOLI	C6ELG3_ECOBD	A	Aminotransferase class I and II (Aspartate aminotransferase)	405	1,261.65	10	12	25	1	2	2	2	3	3			
C6EJL1_ECOBD	1	1	1	1	4	ODO2_ECOLI	C6EJL1_ECOBD	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	1,028.61	15	15	22	8	8	9	13	16	18	6	6	6
C6EJQ9_ECOBD	1	1	0	0	2	NAGC_ECOLI	C6EJQ9_ECOBD	B	DNA-binding transcriptional dual regulator, repressor of N-acetylglucosamine (ROK family protein)	406	1,394.76	14	14	16	2	2	2						
C6EGA4_ECOBD	1	1	1	0	3	ARGD_ECOLI	C6EGA4_ECOBD	A	Bifunctional acetylornithine aminotransferase/ succinyldiaminopimelate aminotransferase (EC 2.6.1.11) (EC 2.6.1.17) (Succinylornithine transaminase family) (EC 2.6.1.17)	406	2,718.45	3	3	3	3	3	3	2	2	2			
C6ECL0_ECOBD	1	1	1	0	3	ASTC_ECOLI	C6ECL0_ECOBD	A	Acetylornithine and succinylornithine aminotransferase (EC 2.6.1.81) (Succinylornithine transaminase, PLP-dependent) (EC 2.6.1.-)	406	8.744.629	8	8	20	1	1	1	6	6	6			
C6EDQ4_ECOBD	1	1	1	0	3	MLC_ECOLI	C6EDQ4_ECOBD	F1	DNA-binding transcriptional repressor (ROK family protein)	406	9.794.955	6	6	9	4	4	4	4	4	8			
C6ELD0_ECOBD	1	1	1	1	4	FABB_ECOLI	C6ELD0_ECOBD	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)	406	1,180.56	6	6	10	6	6	7	5	5	8	2	2	2
C6EKY5_ECOBD	1	1	1	1	4	FSR_ECOLI	C6EKY5_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	406	1,760.85	1	1	1	2	2	2	2	3	6	1	3	5
C6ELL0_ECOBD	1	1	1	1	4	SBMA_ECOLI	C6ELL0_ECOBD	B	Predicted transporter (SbmABacA family protein)	406	1,267.58	2	2	4	2	2	4	3	3	4	2	2	3
C6EBI8_ECOBD	1	1	1	1	4	DEOB_ECOLI	C6EBI8_ECOBD	A	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	1,115.66	14	16	44	11	13	27	18	19	44	5	5	8
C6EGW4_ECOBD	1	0	1	0	2	PEPT_ECOLI	C6EGW4_ECOBD	A	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptide aminopeptidase)	408	9.015.102	1	1	2				1	1	1			
C6EHG0_ECOBD	1	1	1	1	4	MDTG_ECOLI	C6EHG0_ECOBD	B	Major facilitator superfamily MFS_1 (Predicted drug efflux system)	408	8.134.577	1	1	1	1	1	1	2	2	4	2	2	2
C6EIU1_ECOBD	1	1	0	1	3	MDFA_ECOLI	C6EIU1_ECOBD	B	Major facilitator superfamily MFS_1 (Multidrug efflux system protein)	410	1,091.56	1	1	1	1	1	1				1	1	1
C6EBI1_ECOBD	1	1	1	0	3	NADR_ECOLI	C6EBI1_ECOBD	F1	Nicotinamide-nucleotide adenylyltransferase (Transcriptional regulator, XRE family)	410	9.485.109	16	18	31	8	9	12	2	2	2			
C6EIV5_ECOBD	1	1	1	0	3	MOEA_ECOLI	C6EIV5_ECOBD	A	Molybdenum cofactor synthesis domain protein (Molybdopterin biosynthesis protein)	411	1,143.61	2	2	3	2	2	3	1	1	1			
C6EL89_ECOBD	1	1	1	0	3	YFDZ_ECOLI	C6EL89_ECOBD	A	Aminotransferase class I and II (Putative uncharacterized protein yfdZ)	412	8.305.094	3	3	4	1	1	1	1	1	1			
C6EGX4_ECOBD	1	1	1	1	4	LOLE_ECOLI	C6EGX4_ECOBD	B	Lipoprotein releasing system, transmembrane protein LolE	412	9.005.514	7	7	11	7	7	8	12	14	26	12	14	17
C6EHK5_ECOBD	1	1	1	1	4	AGP_ECOLI	C6EHK5_ECOBD	G	Glucose-1-phosphatase (EC 3.1.3.10) (Glucose-1-phosphatase/inositol phosphatase) (EC 3.1.3.10)	413	1,291.63	15	18	29	18	21	32	18	26	40	6	6	7
C6EHB9_ECOBD	1	1	1	1	4	FABF_ECOLI	C6EHB9_ECOBD	A	3-oxoacyl-(Acyl carrier protein) synthase (EC 2.3.1.41) (3-oxoacyl-(Acyl-carrier-protein) synthase 2)	413	1,260.67	14	17	40	13	16	25	18	21	41	8	11	14
C6EA48_ECOBD	1	1	1	0	3	FRSA_ECOLI	C6EA48_ECOBD	A	Fermentation/respiration switch protein (Putative uncharacterized protein)	414	9.785.103	7	7	10	6	6	6	3	3	3			
C6EHQ5_ECOBD	1	1	1	1	4	SSTT_ECOLI	C6EHQ5_ECOBD	B	Sodium:dicarboxylate symporter (Sodium:serine/threonine symporter)	414	8.584.791	2	2	5	2	2	4	4	4	10	1	1	3
C6EAN1_ECOBD	1	1	1	1	4	MDTA_ECOLI	C6EAN1_ECOBD	F2	Multidrug resistance protein mdtA (Multidrug transporter mdtA)	415	1,322.71	12	12	14	12	12	12	26	29	33	12	12	12
C6EKC4_ECOBD	1	1	1	1	4	YBDG_ECOLI	C6EKC4_ECOBD	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	415	1,104.54	9	9	29	7	8	19	19	23	44	17	19	28
C6EGV5_ECOBD	1	1	1	1	4	IDH_ECOLI	C6EGV5_ECOBD	B	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	1,252.67	30	35	54	32	39	58	22	27	44	13	15	16
C6EA42_ECOBD	1	1	0	0	2	PROA_ECOLI	C6EA42_ECOBD	A	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)	417	1,123.55	1	1	1	1	1	1						
C6EEA7_ECOBD	1	1	1	0	3	AVTA_ECOLI	C6EEA7_ECOBD	A	Aminotransferase class I and II (Valine-pyruvate transaminase) (EC 2.6.1.66)	417	9.475.057	3	3	3	3	3	3	1	1	1			
C6EFY6_ECOBD	1	1	1	0	3	KCH_ECOLI	C6EFY6_ECOBD	B	TrkA-N domain protein (Voltage-gated potassium channel)	417	2,396.24	5	6	14	4	4	4	8	9	13			
C6EJ52_ECOBD	1	1	1	1	4	AMIC_ECOLI	C6EJ52_ECOBD	G	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	417	1,164.59	12	12	30	10	10	10	11	12	20	3	3	5
C6EKF6_ECOBD	1	1	1	1	4	GLYA_ECOLI	C6EKF6_ECOBD	A	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	417	9.655.051	18	19	22	17	18	18	12	12	13	4	4	5
C6EDG8_ECOBD	1	1	1	1	4	RFAL_ECOLI	C6EDG8_ECOBD	B	Lipid A-core, surface polymer ligase (O-antigen polymerase)	417	1,025.53	1	1	1	1	1	1	1	1	1	1	1	1
C6EGQ6_ECOBD	1	1	1	1	4	HEM1_ECOLI	C6EGQ6_ECOBD	A	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	418	9.624.901	9	9	13	2	2	3	6	7	12	2	2	2
C6ECT9_ECOBD	1	1	1	1	4	YDHQ_ECOLI	C6ECT9_ECOBD	A	Putative uncharacterized protein (Putative uncharacterized protein ydhQ)	418	1,338.69	2	2	3	1	1	1	2	2	2	2	2	2
C6EH38_ECOBD	1	1	1	0	3	MURA_ECOLI	C6EH38_ECOBD	A	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase)	419	8.434.683	4	5	6	3	4	4	5	5	8			
C6ELP4_ECOBD	1	1	1	1	4	CODB_ECOLI	C6ELP4_ECOBD	B	Cytosine transporter (NCS1 nucleoside transporter family)	419	1,476.66	1	1	1	1	1	1	1	1	1	1	1	1
C6EG30_ECOBD	1	1	1	1	4	RHO_ECOLI	C6EG30_ECOBD	A	Transcription termination factor Rho	419	1,081.61	30	38	76	21	25	32	27	32	66	16	17	32
C6EDH6_ECOBD	1	1	1	1	4	YIBP_ECOLI	C6EDH6_ECOBD	G	Peptidase M23 (Protease with a role in cell division)	419	1,240.61	27	29	47	23	26	32	25	26	81	21	21	35
C6ECH5_ECOBD	1	1	1	1	4	HFLK_ECOLI	C6ECH5_ECOBD	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	419	1,075.59	71	104	423	74	134	485	68	141	673	57	90	269
C6EAW1_ECOBD	1	1	1	1	4	FTSA_ECOLI	C6EAW1_ECOBD	F1	Cell division protein (Cell division protein FtsA)	420	1,203.68	20	26	45	15	20	25	10	13	17	5	5	5
C6EAL5_ECOBD	1	1	1	1	4	GATZ_ECOLI	C6EAL5_ECOBD	A	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	1,009.54	5	5	9	4	4	5	6	9	11	1	1	2
C6EJY0_ECOBD	1	1	1	1	4	YFJD_ECOLI	C6EJY0_ECOBD	B	Putative uncharacterized protein	420	1,987.05	15	19	34	15	22	48	21	30	57	14	19	26
C6EG33_ECOBD	1	1	1	1	4	RHLB_ECOLI	C6EG33_ECOBD	A	ATP-dependent RNA helicase (DEAD/DEAH box helicase domain protein)	421	9.854.997	37	44	129	34	38	56	29	39	102	21	26	58
C6EJJ8_ECOBD	1	1	1	1	4	TOLA_ECOLI	C6EJJ8_ECOBD	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421	1,151.55	40	43	74	34	37	58	43	52	139	19	23	41
C6EJW5_ECOBD	1	1	1	0	3	YGAF_ECOLI	C6EJW5_ECOBD	B	FAD dependent oxidoreductase (Predicted enzyme)	422	1,436.78	1	1	5	2	2	5	1	1	2			
C6EHI8_ECOBD	1	1	1	0	3	YCDB_ECOLI	C6EHI8_ECOBD	G	Dyp-type peroxidase family (Putative uncharacterized protein ycdB)	423	1,440.71	2	2	2	2	2	2	5	5	5			
C6EKJ5_ECOBD	1	1	1	0	3	SYH_ECOLI	C6EKJ5_ECOBD	A	Histidyl-tRNA synthetase (EC 6.1.1.21) (Histidine--tRNA ligase)	424	1,026.59	2	2	3	1	1	2	1	1	1			
C6EL27_ECOBD	1	1	1	1	4	CLPX_ECOLI	C6EL27_ECOBD	A	ATP-dependent Clp protease ATP-binding subunit ClpX	424	1,017.53	14	15	28	2	2	2	4	4	5	2	2	2
C6EDK8_ECOBD	1	1	1	1	4	SYY_ECOLI	C6EDK8_ECOBD	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	1,386.77	4	4	5	4	4	4	3	3	3	1	1	1
C6EDF8_ECOBD	1	1	1	1	4	KDTA_ECOLI	C6EDF8_ECOBD	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425	2,028.02	15	16	25	15	17	21	21	24	61	9	10	19
C6EAR2_ECOBD	1	0	0	0	1	WCAK_ECOLI	C6EAR2_ECOBD	A	Polysaccharide pyruvyl transferase (Predicted pyruvyl transferase)	426	9.675.067	1	1	1									
C6EJW3_ECOBD	1	1	0	0	2	GABT_ECOLI	C6EJW3_ECOBD	A	4-aminobutyrate aminotransferase	426	8.004.989	2	2	2	2	2	2						
C6EKH2_ECOBD	1	1	1	0	3	CSIE_ECOLI	C6EKH2_ECOBD	A	Stationary phase inducible protein (Transcriptional antiterminator, BglG)	426	9.605.262	1	1	1	1	1	1	1	1	1			
C6ECH6_ECOBD	1	1	1	0	3	HFLX_ECOLI	C6ECH6_ECOBD	A	GTP-binding proten HflX (Predicted GTPase)	426	1,990.05	15	17	26	6	6	6	1	1	2			
C6EFT1_ECOBD	1	1	1	0	3	PUUB_ECOLI	C6EFT1_ECOBD	A	FAD dependent oxidoreductase (Gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding)	426	1,529.69	5	5	8	2	2	4	1	1	2			
C6EAD0_ECOBD	1	1	1	1	4	GSA_ECOLI	C6EAD0_ECOBD	A	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase)	426	1,304.68	11	13	25	11	12	16	8	10	14	6	7	8
C6EBP2_ECOBD	1	1	1	1	4	YJIN_ECOLI	C6EBP2_ECOBD	B	Conserved inner membrane protein (Putative uncharacterized protein)	426	1,762.88	1	1	1	1	1	1	9	11	15	2	2	2
C6EKI4_ECOBD	1	1	1	0	3	PEPB_ECOLI	C6EKI4_ECOBD	A	Aminopeptidase B (EC 3.4.11.-) (PepB aminopeptidase) (EC 3.4.11.23)	427	8.435.301	2	2	3	2	2	3	2	2	2			
C6EJL8_ECOBD	1	1	1	1	4	CISY_ECOLI	C6EJL8_ECOBD	A	Citrate synthase (EC 2.3.3.1)	427	1,008.55	16	17	20	16	18	22	11	11	15	2	2	2
C6EJI8_ECOBD	1	1	1	1	4	YBHC_ECOLI	C6EJI8_ECOBD	I	Pectinesterase (Predicted pectinesterase)	427	1,123.51	8	8	12	9	10	13	7	7	11	6	6	9
C6EFI8_ECOBD	1	1	1	1	4	DAMX_ECOLI	C6EFI8_ECOBD	B	Putative uncharacterized protein damX (Sporulation domain protein)	428	9.815.364	37	43	189	40	52	146	44	69	258	22	27	60
C6EEF5_ECOBD	1	1	1	1	4	DCTA_ECOLI	C6EEF5_ECOBD	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	428	1,412.67	2	2	3	2	3	4	6	10	36	3	3	4
C6EB00_ECOBD	1	1	1	1	4	SURA_ECOLI	C6EB00_ECOBD	G	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Peptidylprolyl isomerase) (EC 5.2.1.8)	428	1,282.55	17	18	30	16	17	20	19	21	34	5	7	7
C6EBG5_ECOBD	1	1	1	1	4	THRC_ECOLI	C6EBG5_ECOBD	A	Threonine synthase (EC 4.2.3.1)	428	2,327.26	5	5	6	3	3	3	3	3	4	2	2	2
