A5A616	YNEM_ECOLI Uncharacterized protein yneM OS=Escherichia coli (strain K12) GN=yneM PE=1 SV=1
P0AA91	YEAY_ECOLI Uncharacterized lipoprotein yeaY OS=Escherichia coli (strain K12) GN=yeaY PE=4 SV=1
P0AA97	YAEQ_ECOLI Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1
P0AAA1	YAGU_ECOLI Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1
P0AAB4	UBID_ECOLI 3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiD PE=1 SV=1
P0AAB6	GALF_ECOLI UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galF PE=1 SV=1
P0AAB8	USPD_ECOLI Universal stress protein D OS=Escherichia coli (strain K12) GN=uspD PE=2 SV=1
P0AAC0	USPE_ECOLI Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2
P0AAC4	YBHL_ECOLI Inner membrane protein ybhL OS=Escherichia coli (strain K12) GN=ybhL PE=1 SV=1
P0AAC8	ISCA_ECOLI Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1
P0AAD6	SDAC_ECOLI Serine transporter OS=Escherichia coli (strain K12) GN=sdaC PE=1 SV=1
P0AAE0	CYCA_ECOLI D-serine/D-alanine/glycine transporter OS=Escherichia coli (strain K12) GN=cycA PE=1 SV=1
P0AAF6	ARTP_ECOLI Arginine transport ATP-binding protein artP OS=Escherichia coli (strain K12) GN=artP PE=1 SV=1
P0AAG0	DPPD_ECOLI Dipeptide transport ATP-binding protein dppD OS=Escherichia coli (strain K12) GN=dppD PE=3 SV=1
P0AAG8	MGLA_ECOLI Galactose/methyl galactoside import ATP-binding protein mglA OS=Escherichia coli (strain K12) GN=mglA PE=1 SV=1
P0AAH0	PSTB_ECOLI Phosphate import ATP-binding protein pstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2
P0AAH4	SAPD_ECOLI Peptide transport system ATP-binding protein sapD OS=Escherichia coli (strain K12) GN=sapD PE=3 SV=1
P0AAH8	SAPF_ECOLI Peptide transport system ATP-binding protein sapF OS=Escherichia coli (strain K12) GN=sapF PE=1 SV=1
P0AAI3	FTSH_ECOLI Cell division protease ftsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1
P0AAI5	FABF_ECOLI 3-oxoacyl-[acyl-carrier-protein] synthase 2 OS=Escherichia coli (strain K12) GN=fabF PE=1 SV=2
P0AAI9	FABD_ECOLI Malonyl CoA-acyl carrier protein transacylase OS=Escherichia coli (strain K12) GN=fabD PE=1 SV=2
P0AAJ5	FDOH_ECOLI Formate dehydrogenase-O iron-sulfur subunit OS=Escherichia coli (strain K12) GN=fdoH PE=1 SV=1
P0AAN1	HYBE_ECOLI Hydrogenase-2 operon protein hybE OS=Escherichia coli (strain K12) GN=hybE PE=1 SV=1
P0AAP3	FRMR_ECOLI Transcriptional repressor frmR OS=Escherichia coli (strain K12) GN=frmR PE=1 SV=1
P0AAR3	YBAK_ECOLI Uncharacterized protein ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1
P0AAS0	YLAC_ECOLI Inner membrane protein ylaC OS=Escherichia coli (strain K12) GN=ylaC PE=1 SV=2
P0AAT4	YBDG_ECOLI Uncharacterized protein ybdG OS=Escherichia coli (strain K12) GN=ybdG PE=4 SV=1
P0AAT9	YBEL_ECOLI Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1
P0AAW1	YBHP_ECOLI Uncharacterized protein ybhP OS=Escherichia coli (strain K12) GN=ybhP PE=4 SV=1
P0AAX8	YBIS_ECOLI Uncharacterized protein ybiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1
P0AAY6	YBJN_ECOLI Uncharacterized protein ybjN OS=Escherichia coli (strain K12) GN=ybjN PE=4 SV=1
P0AAZ4	RARA_ECOLI Replication-associated recombination protein A OS=Escherichia coli (strain K12) GN=rarA PE=1 SV=1
P0AB01	YCBC_ECOLI Uncharacterized protein ycbC OS=Escherichia coli (strain K12) GN=ycbC PE=4 SV=1
P0AB06	YCBK_ECOLI Uncharacterized protein ycbK OS=Escherichia coli (strain K12) GN=ycbK PE=4 SV=1
P0AB10	YMBA_ECOLI Uncharacterized lipoprotein ymbA OS=Escherichia coli (strain K12) GN=ymbA PE=4 SV=2
P0AB12	YCCF_ECOLI Inner membrane protein yccF OS=Escherichia coli (strain K12) GN=yccF PE=1 SV=1
P0AB20	HSPQ_ECOLI Heat shock protein hspQ OS=Escherichia coli (strain K12) GN=hspQ PE=1 SV=2
P0AB24	YCDO_ECOLI UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1
P0AB26	YCEB_ECOLI Uncharacterized lipoprotein yceB OS=Escherichia coli (strain K12) GN=yceB PE=1 SV=1
P0AB28	YCED_ECOLI Uncharacterized protein yceD OS=Escherichia coli (strain K12) GN=yceD PE=4 SV=1
P0AB38	YCFM_ECOLI Uncharacterized protein ycfM OS=Escherichia coli (strain K12) GN=ycfM PE=4 SV=1
P0AB58	YCIM_ECOLI Uncharacterized protein yciM OS=Escherichia coli (strain K12) GN=yciM PE=4 SV=1
P0AB67	PNTB_ECOLI NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1
P0AB71	ALF_ECOLI Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) GN=fbaA PE=1 SV=2
P0AB77	KBL_ECOLI 2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1
P0AB80	ILVE_ECOLI Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=ilvE PE=1 SV=2
P0AB83	END3_ECOLI Endonuclease III OS=Escherichia coli (strain K12) GN=nth PE=1 SV=1
P0AB98	ATP6_ECOLI ATP synthase subunit a OS=Escherichia coli (strain K12) GN=atpB PE=1 SV=1
P0ABA0	ATPF_ECOLI ATP synthase subunit b OS=Escherichia coli (strain K12) GN=atpF PE=1 SV=1
P0ABA4	ATPD_ECOLI ATP synthase subunit delta OS=Escherichia coli (strain K12) GN=atpH PE=1 SV=1
P0ABA6	ATPG_ECOLI ATP synthase gamma chain OS=Escherichia coli (strain K12) GN=atpG PE=1 SV=1
P0ABB0	ATPA_ECOLI ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1
P0ABB4	ATPB_ECOLI ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2
P0ABB8	ATMA_ECOLI Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli (strain K12) GN=mgtA PE=1 SV=1
P0ABC3	HFLC_ECOLI Protein hflC OS=Escherichia coli (strain K12) GN=hflC PE=1 SV=1
P0ABC7	HFLK_ECOLI Protein hflK OS=Escherichia coli (strain K12) GN=hflK PE=1 SV=1
P0ABC9	BETT_ECOLI High-affinity choline transport protein OS=Escherichia coli (strain K12) GN=betT PE=2 SV=1
P0ABD3	BFR_ECOLI Bacterioferritin OS=Escherichia coli (strain K12) GN=bfr PE=1 SV=1
P0ABD5	ACCA_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha OS=Escherichia coli (strain K12) GN=accA PE=1 SV=2
P0ABD8	BCCP_ECOLI Biotin carboxyl carrier protein of acetyl-CoA carboxylase OS=Escherichia coli (strain K12) GN=accB PE=1 SV=1
P0ABE2	BOLA_ECOLI Protein bolA OS=Escherichia coli (strain K12) GN=bolA PE=1 SV=1
P0ABF1	PCNB_ECOLI Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2
P0ABF8	PGSA_ECOLI CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pgsA PE=1 SV=2
P0ABG7	RODA_ECOLI Rod shape-determining protein rodA OS=Escherichia coli (strain K12) GN=mrdB PE=1 SV=1
P0ABH0	FTSA_ECOLI Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1
P0ABH7	CISY_ECOLI Citrate synthase OS=Escherichia coli (strain K12) GN=gltA PE=1 SV=1
P0ABI4	CORA_ECOLI Magnesium transport protein corA OS=Escherichia coli (strain K12) GN=corA PE=1 SV=1
P0ABI8	CYOB_ECOLI Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1
P0ABJ1	CYOA_ECOLI Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1
P0ABJ9	CYDA_ECOLI Cytochrome d ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cydA PE=1 SV=1
P0ABK2	CYDB_ECOLI Cytochrome d ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cydB PE=1 SV=1
P0ABK5	CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2
P0ABM9	CCMH_ECOLI Cytochrome c-type biogenesis protein ccmH OS=Escherichia coli (strain K12) GN=ccmH PE=1 SV=1
P0ABN1	KDGL_ECOLI Diacylglycerol kinase OS=Escherichia coli (strain K12) GN=dgkA PE=1 SV=2
P0ABN5	DCUA_ECOLI Anaerobic C4-dicarboxylate transporter dcuA OS=Escherichia coli (strain K12) GN=dcuA PE=1 SV=1
P0ABP6	DEDA_ECOLI Protein dedA OS=Escherichia coli (strain K12) GN=dedA PE=1 SV=1
P0ABP8	DEOD_ECOLI Purine nucleoside phosphorylase deoD-type OS=Escherichia coli (strain K12) GN=deoD PE=1 SV=2
P0ABQ0	COABC_ECOLI Coenzyme A biosynthesis bifunctional protein coaBC OS=Escherichia coli (strain K12) GN=coaBC PE=1 SV=2
P0ABR1	DINI_ECOLI DNA-damage-inducible protein I OS=Escherichia coli (strain K12) GN=dinI PE=1 SV=1
P0ABR5	HCAE_ECOLI 3-phenylpropionate/cinnamic acid dioxygenase subunit alpha OS=Escherichia coli (strain K12) GN=hcaE PE=1 SV=1
P0ABS1	DKSA_ECOLI DnaK suppressor protein OS=Escherichia coli (strain K12) GN=dksA PE=1 SV=1
P0ABS5	PRIM_ECOLI DNA primase OS=Escherichia coli (strain K12) GN=dnaG PE=1 SV=1
P0ABT2	DPS_ECOLI DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2
P0ABT5	DUSB_ECOLI tRNA-dihydrouridine synthase B OS=Escherichia coli (strain K12) GN=dusB PE=1 SV=1
P0ABU2	ENGD_ECOLI GTP-dependent nucleic acid-binding protein engD OS=Escherichia coli (strain K12) GN=engD PE=1 SV=2
P0ABU5	ELBB_ECOLI Enhancing lycopene biosynthesis protein 2 OS=Escherichia coli (strain K12) GN=elbB PE=1 SV=1
P0ABU7	EXBB_ECOLI Biopolymer transport protein exbB OS=Escherichia coli (strain K12) GN=exbB PE=1 SV=1
P0ABU9	TOLQ_ECOLI Protein tolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1
P0ABV6	TOLR_ECOLI Protein tolR OS=Escherichia coli (strain K12) GN=tolR PE=1 SV=1
P0ABZ6	SURA_ECOLI Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1
P0AC02	YFIO_ECOLI UPF0169 lipoprotein yfiO OS=Escherichia coli (strain K12) GN=yfiO PE=1 SV=1
P0AC13	DHPS_ECOLI Dihydropteroate synthase OS=Escherichia coli (strain K12) GN=folP PE=1 SV=1
P0AC16	FOLB_ECOLI Dihydroneopterin aldolase OS=Escherichia coli (strain K12) GN=folB PE=1 SV=1
P0AC30	FTSX_ECOLI Cell division protein ftsX OS=Escherichia coli (strain K12) GN=ftsX PE=1 SV=1
P0AC33	FUMA_ECOLI Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2
P0AC38	ASPA_ECOLI Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1
P0AC41	DHSA_ECOLI Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1
P0AC44	DHSD_ECOLI Succinate dehydrogenase hydrophobic membrane anchor subunit OS=Escherichia coli (strain K12) GN=sdhD PE=1 SV=1
P0AC47	FRDB_ECOLI Fumarate reductase iron-sulfur subunit OS=Escherichia coli (strain K12) GN=frdB PE=1 SV=2
P0AC53	G6PD_ECOLI Glucose-6-phosphate 1-dehydrogenase OS=Escherichia coli (strain K12) GN=zwf PE=1 SV=1
P0AC59	GLRX2_ECOLI Glutaredoxin-2 OS=Escherichia coli (strain K12) GN=grxB PE=1 SV=1
P0AC69	GLRX4_ECOLI Glutaredoxin-4 OS=Escherichia coli (strain K12) GN=grxD PE=1 SV=1
P0AC75	KDTA_ECOLI 3-deoxy-D-manno-octulosonic-acid transferase OS=Escherichia coli (strain K12) GN=waaA PE=3 SV=1
P0AC78	WECA_ECOLI Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase OS=Escherichia coli (strain K12) GN=wecA PE=1 SV=1
P0AC84	GLO2_ECOLI Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain K12) GN=gloB PE=1 SV=1
P0AC86	PHSG_ECOLI Glycogen phosphorylase OS=Escherichia coli (strain K12) GN=glgP PE=3 SV=1
P0AC92	GNSA_ECOLI Protein gnsA OS=Escherichia coli (strain K12) GN=gnsA PE=3 SV=1
P0ACA3	SSPA_ECOLI Stringent starvation protein A OS=Escherichia coli (strain K12) GN=sspA PE=1 SV=2
P0ACA7	YLIJ_ECOLI Uncharacterized GST-like protein yliJ OS=Escherichia coli (strain K12) GN=yliJ PE=1 SV=1
P0ACB0	DNAB_ECOLI Replicative DNA helicase OS=Escherichia coli (strain K12) GN=dnaB PE=1 SV=1
P0ACB4	HEMG_ECOLI Protoporphyrinogen oxidase OS=Escherichia coli (strain K12) GN=hemG PE=1 SV=1
P0ACB7	HEMY_ECOLI Protein hemY OS=Escherichia coli (strain K12) GN=hemY PE=1 SV=1
P0ACC1	HEMK_ECOLI Protein methyltransferase hemK OS=Escherichia coli (strain K12) GN=hemK PE=1 SV=1
P0ACC3	ERPA_ECOLI Iron-sulfur cluster insertion protein erpA OS=Escherichia coli (strain K12) GN=erpA PE=1 SV=1
P0ACC7	GLMU_ECOLI Bifunctional protein glmU OS=Escherichia coli (strain K12) GN=glmU PE=1 SV=1
P0ACD4	NIFU_ECOLI NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1
P0ACE0	MBHM_ECOLI Hydrogenase-2 large chain OS=Escherichia coli (strain K12) GN=hybC PE=1 SV=2
P0ACF0	DBHA_ECOLI DNA-binding protein HU-alpha OS=Escherichia coli (strain K12) GN=hupA PE=1 SV=1
P0ACF4	DBHB_ECOLI DNA-binding protein HU-beta OS=Escherichia coli (strain K12) GN=hupB PE=1 SV=1
P0ACF8	HNS_ECOLI DNA-binding protein H-NS OS=Escherichia coli (strain K12) GN=hns PE=1 SV=2
P0ACG1	STPA_ECOLI DNA-binding protein stpA OS=Escherichia coli (strain K12) GN=stpA PE=3 SV=1
P0ACG8	HSLR_ECOLI Heat shock protein 15 OS=Escherichia coli (strain K12) GN=hslR PE=1 SV=1
P0ACJ0	LRP_ECOLI Leucine-responsive regulatory protein OS=Escherichia coli (strain K12) GN=lrp PE=1 SV=2
P0ACJ8	CRP_ECOLI Catabolite gene activator OS=Escherichia coli (strain K12) GN=crp PE=1 SV=1
P0ACK5	DEOR_ECOLI Deoxyribose operon repressor OS=Escherichia coli (strain K12) GN=deoR PE=1 SV=1
P0ACK8	FUCR_ECOLI L-fucose operon activator OS=Escherichia coli (strain K12) GN=fucR PE=4 SV=1
P0ACL0	GLPR_ECOLI Glycerol-3-phosphate regulon repressor OS=Escherichia coli (strain K12) GN=glpR PE=1 SV=1
P0ACL2	EXUR_ECOLI Exu regulon transcriptional regulator OS=Escherichia coli (strain K12) GN=exuR PE=4 SV=1
P0ACL7	LLDR_ECOLI Putative L-lactate dehydrogenase operon regulatory protein OS=Escherichia coli (strain K12) GN=lldR PE=2 SV=1
P0ACL9	PDHR_ECOLI Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1
P0ACM2	YDFH_ECOLI Uncharacterized HTH-type transcriptional regulator ydfH OS=Escherichia coli (strain K12) GN=ydfH PE=1 SV=1
P0ACN4	ALLR_ECOLI HTH-type transcriptional repressor allR OS=Escherichia coli (strain K12) GN=allR PE=1 SV=1
P0ACN7	CYTR_ECOLI HTH-type transcriptional repressor cytR OS=Escherichia coli (strain K12) GN=cytR PE=1 SV=1
P0ACP1	FRUR_ECOLI Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1
P0ACP5	GNTR_ECOLI HTH-type transcriptional regulator gntR OS=Escherichia coli (strain K12) GN=gntR PE=1 SV=1
P0ACP7	PURR_ECOLI HTH-type transcriptional repressor purR OS=Escherichia coli (strain K12) GN=purR PE=1 SV=2
P0ACQ0	RBSR_ECOLI Ribose operon repressor OS=Escherichia coli (strain K12) GN=rbsR PE=1 SV=2
P0ACQ4	OXYR_ECOLI Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1
P0ACR4	YEIE_ECOLI Uncharacterized HTH-type transcriptional regulator yeiE OS=Escherichia coli (strain K12) GN=yeiE PE=4 SV=1
P0ACR7	YFER_ECOLI Uncharacterized HTH-type transcriptional regulator yfeR OS=Escherichia coli (strain K12) GN=yfeR PE=4 SV=1
P0ACR9	MPRA_ECOLI Transcriptional repressor mprA OS=Escherichia coli (strain K12) GN=mprA PE=2 SV=1
P0ACS2	SOXR_ECOLI Redox-sensitive transcriptional activator soxR OS=Escherichia coli (strain K12) GN=soxR PE=1 SV=1
P0ACS7	RPIR_ECOLI HTH-type transcriptional regulator rpiR OS=Escherichia coli (strain K12) GN=rpiR PE=1 SV=1
P0ACS9	ACRR_ECOLI HTH-type transcriptional regulator acrR OS=Escherichia coli (strain K12) GN=acrR PE=1 SV=1
P0ACT6	UIDR_ECOLI HTH-type transcriptional regulator uidR OS=Escherichia coli (strain K12) GN=uidR PE=4 SV=1
P0ACU0	YBIH_ECOLI Uncharacterized HTH-type transcriptional regulator ybiH OS=Escherichia coli (strain K12) GN=ybiH PE=4 SV=1
P0ACU2	RUTR_ECOLI HTH-type transcriptional regulator rutR OS=Escherichia coli (strain K12) GN=rutR PE=1 SV=1
P0ACU5	FABR_ECOLI HTH-type transcriptional repressor fabR OS=Escherichia coli (strain K12) GN=fabR PE=1 SV=1
P0ACU7	YJDC_ECOLI HTH-type transcriptional regulator yjdC OS=Escherichia coli (strain K12) GN=yjdC PE=1 SV=1
P0ACV0	HTRB_ECOLI Lipid A biosynthesis lauroyl acyltransferase OS=Escherichia coli (strain K12) GN=htrB PE=1 SV=1
P0ACV4	YCIS_ECOLI Inner membrane protein yciS OS=Escherichia coli (strain K12) GN=yciS PE=1 SV=1
P0ACY1	YDJA_ECOLI Putative NAD(P)H nitroreductase ydjA OS=Escherichia coli (strain K12) GN=ydjA PE=1 SV=1
P0ACY3	YEAG_ECOLI Uncharacterized protein yeaG OS=Escherichia coli (strain K12) GN=yeaG PE=3 SV=1
P0ACZ8	CUSR_ECOLI Transcriptional regulatory protein cusR OS=Escherichia coli (strain K12) GN=cusR PE=1 SV=1
P0AD05	YECA_ECOLI Uncharacterized protein yecA OS=Escherichia coli (strain K12) GN=yecA PE=4 SV=1
P0AD12	YEEZ_ECOLI Protein yeeZ OS=Escherichia coli (strain K12) GN=yeeZ PE=1 SV=1
P0AD21	YEJG_ECOLI Uncharacterized protein yejG OS=Escherichia coli (strain K12) GN=yejG PE=4 SV=1
P0AD42	YFHB_ECOLI Uncharacterized protein yfhB OS=Escherichia coli (strain K12) GN=yfhB PE=4 SV=1
P0AD57	ISPB_ECOLI Octaprenyl-diphosphate synthase OS=Escherichia coli (strain K12) GN=ispB PE=1 SV=1
P0AD61	KPYK1_ECOLI Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1
P0AD65	PBP2_ECOLI Penicillin-binding protein 2 OS=Escherichia coli (strain K12) GN=mrdA PE=3 SV=1
P0AD68	FTSI_ECOLI Peptidoglycan synthetase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1
P0AD96	LIVJ_ECOLI Leu/Ile/Val-binding protein OS=Escherichia coli (strain K12) GN=livJ PE=1 SV=1
P0AD99	BRNQ_ECOLI Branched-chain amino acid transport system 2 carrier protein OS=Escherichia coli (strain K12) GN=brnQ PE=1 SV=1
P0ADA1	TESA_ECOLI Acyl-CoA thioesterase I OS=Escherichia coli (strain K12) GN=tesA PE=1 SV=1
P0ADA3	NLPD_ECOLI Lipoprotein nlpD OS=Escherichia coli (strain K12) GN=nlpD PE=1 SV=1
P0ADA5	YAJG_ECOLI Uncharacterized lipoprotein yajG OS=Escherichia coli (strain K12) GN=yajG PE=4 SV=1
P0ADB1	OSME_ECOLI Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1
P0ADB7	ECNB_ECOLI Entericidin B OS=Escherichia coli (strain K12) GN=ecnB PE=3 SV=1
P0ADC1	LPTE_ECOLI LPS-assembly lipoprotein lptE OS=Escherichia coli (strain K12) GN=lptE PE=1 SV=1
P0ADC3	LOLC_ECOLI Lipoprotein-releasing system transmembrane protein lolC OS=Escherichia coli (strain K12) GN=lolC PE=1 SV=1
P0ADC6	LPTG_ECOLI Lipopolysaccharide export system permease protein lptG OS=Escherichia coli (strain K12) GN=lptG PE=1 SV=1
P0ADE4	YTFM_ECOLI Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1
P0ADE6	YGAU_ECOLI Uncharacterized protein ygaU OS=Escherichia coli (strain K12) GN=ygaU PE=1 SV=2
P0ADE8	YGFZ_ECOLI tRNA-modifying protein ygfZ OS=Escherichia coli (strain K12) GN=ygfZ PE=1 SV=2
P0ADF8	ILVN_ECOLI Acetolactate synthase isozyme 1 small subunit OS=Escherichia coli (strain K12) GN=ilvN PE=1 SV=1
P0ADG4	SUHB_ECOLI Inositol-1-monophosphatase OS=Escherichia coli (strain K12) GN=suhB PE=1 SV=1
P0ADG7	IMDH_ECOLI Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) GN=guaB PE=1 SV=1
P0ADI7	YECD_ECOLI Isochorismatase family protein yecD OS=Escherichia coli (strain K12) GN=yecD PE=1 SV=2
P0ADK0	YIAF_ECOLI Uncharacterized protein yiaF OS=Escherichia coli (strain K12) GN=yiaF PE=4 SV=2
P0ADK8	YIBL_ECOLI Uncharacterized protein yibL OS=Escherichia coli (strain K12) GN=yibL PE=1 SV=1
P0ADM8	YIEE_ECOLI Uncharacterized protein yieE OS=Escherichia coli (strain K12) GN=yieE PE=4 SV=2
P0ADN6	YIFL_ECOLI Uncharacterized lipoprotein yifL OS=Escherichia coli (strain K12) GN=yifL PE=4 SV=1
P0ADP0	YIGB_ECOLI Uncharacterized protein yigB OS=Escherichia coli (strain K12) GN=yigB PE=4 SV=1
P0ADP2	YIGI_ECOLI Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1
P0ADP7	YIGP_ECOLI Uncharacterized protein yigP OS=Escherichia coli (strain K12) GN=yigP PE=1 SV=1
P0ADQ2	YIID_ECOLI Uncharacterized protein yiiD OS=Escherichia coli (strain K12) GN=yiiD PE=4 SV=1
P0ADR6	RLMM_ECOLI Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain K12) GN=rlmM PE=1 SV=1
P0ADR8	YGDH_ECOLI UPF0717 protein ygdH OS=Escherichia coli (strain K12) GN=ygdH PE=1 SV=1
P0ADS2	ZAPA_ECOLI Cell division protein zapA OS=Escherichia coli (strain K12) GN=zapA PE=1 SV=1
P0ADS6	YGGE_ECOLI Uncharacterized protein yggE OS=Escherichia coli (strain K12) GN=yggE PE=4 SV=1
P0ADS9	YGGN_ECOLI Uncharacterized protein yggN OS=Escherichia coli (strain K12) GN=yggN PE=4 SV=1
P0ADT2	YGIB_ECOLI UPF0441 protein ygiB OS=Escherichia coli (strain K12) GN=ygiB PE=3 SV=2
P0ADT5	YGIC_ECOLI Uncharacterized protein ygiC OS=Escherichia coli (strain K12) GN=ygiC PE=4 SV=1
P0ADT8	YGIM_ECOLI Uncharacterized protein ygiM OS=Escherichia coli (strain K12) GN=ygiM PE=4 SV=1
P0ADU2	YGIN_ECOLI Probable quinol monooxygenase ygiN OS=Escherichia coli (strain K12) GN=ygiN PE=1 SV=1
P0ADV1	LPTA_ECOLI Lipopolysaccharide export system protein lptA OS=Escherichia coli (strain K12) GN=lptA PE=1 SV=1
P0ADV5	YHBW_ECOLI Uncharacterized protein yhbW OS=Escherichia coli (strain K12) GN=yhbW PE=4 SV=1
P0ADV7	YRBC_ECOLI Protein yrbC OS=Escherichia coli (strain K12) GN=yrbC PE=1 SV=1
P0ADV9	LPTC_ECOLI Lipopolysaccharide export system protein lptC OS=Escherichia coli (strain K12) GN=lptC PE=1 SV=1
P0ADW3	YHCB_ECOLI Putative cytochrome d ubiquinol oxidase subunit 3 OS=Escherichia coli (strain K12) GN=yhcB PE=1 SV=2
P0ADX7	YHHA_ECOLI Uncharacterized protein yhhA OS=Escherichia coli (strain K12) GN=yhhA PE=4 SV=1
P0ADX9	RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1
P0ADY1	PPID_ECOLI Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1
P0ADY3	RL14_ECOLI 50S ribosomal protein L14 OS=Escherichia coli (strain K12) GN=rplN PE=1 SV=1
P0ADY7	RL16_ECOLI 50S ribosomal protein L16 OS=Escherichia coli (strain K12) GN=rplP PE=1 SV=1
P0ADZ0	RL23_ECOLI 50S ribosomal protein L23 OS=Escherichia coli (strain K12) GN=rplW PE=1 SV=1
P0ADZ4	RS15_ECOLI 30S ribosomal protein S15 OS=Escherichia coli (strain K12) GN=rpsO PE=1 SV=2
P0ADZ7	YAJC_ECOLI UPF0092 membrane protein yajC OS=Escherichia coli (strain K12) GN=yajC PE=1 SV=1
P0AE01	TRMJ_ECOLI tRNA (cytidine/uridine-2'-O-)-methyltransferase trmJ OS=Escherichia coli (strain K12) GN=trmJ PE=1 SV=1
P0AE06	ACRA_ECOLI Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1
P0AE08	AHPC_ECOLI Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2
P0AE14	AMPE_ECOLI Protein ampE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1
P0AE18	AMPM_ECOLI Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1
P0AE30	ARTM_ECOLI Arginine ABC transporter permease protein artM OS=Escherichia coli (strain K12) GN=artM PE=1 SV=1
P0AE34	ARTQ_ECOLI Arginine ABC transporter permease protein artQ OS=Escherichia coli (strain K12) GN=artQ PE=1 SV=1
P0AE39	YPDB_ECOLI Uncharacterized response regulatory protein ypdB OS=Escherichia coli (strain K12) GN=ypdB PE=1 SV=1
P0AE45	YTFL_ECOLI UPF0053 inner membrane protein ytfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1
P0AE48	YTFP_ECOLI UPF0131 protein ytfP OS=Escherichia coli (strain K12) GN=ytfP PE=1 SV=1
