Accession	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
A5A614	yciZ		b4596	JW1277	YCIZ_ECOLI		Inferred from homology	UPF0509 family	UPF0509 protein yciZ		Complete proteome	57	
O32528	ypdI		b2376	JW2373	YPDI_ECOLI	"Cell membrane; Lipid-anchor. "	Predicted		Uncharacterized lipoprotein ypdI	GO:0005886	"Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	91	
O32583	thiS	thiG1	b4407	JW3955	THIS_ECOLI		Evidence at protein level	Sulfur carrier protein ThiS family	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	"GO:0000166; GO:0009228"	"3D-structure; Complete proteome; Nucleotide-binding; Thiamine biosynthesis; Thioester bond"	66	
P00350	gnd		b2029	JW2011	6PGD_ECOLI		Evidence at protein level	6-phosphogluconate dehydrogenase family	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	"GO:0019521; GO:0050661; GO:0055114; GO:0006098; GO:0004616; GO:0042803"	"3D-structure; Complete proteome; Gluconate utilization; NADP; Oxidoreductase; Pentose shunt"	468	
P00363	frdA		b4154	JW4115	FRDA_ECOLI		Evidence at protein level	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	"GO:0050660; GO:0009061; GO:0001539; GO:0005737; GO:0009055; GO:0022900; GO:0006113; GO:0009296; GO:0016020; GO:0005515; GO:0000104; GO:0006810"	"3D-structure; Complete proteome; Electron transport; FAD; Flavoprotein; Oxidoreductase; Transport"	602	
P00370	gdhA		b1761	JW1750	DHE4_ECOLI		Evidence at protein level	Glu/Leu/Phe/Val dehydrogenases family	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	"GO:0005488; GO:0005737; GO:0006537; GO:0004354; GO:0055114"	"Complete proteome; Direct protein sequencing; NADP; Oxidoreductase"	447	
P00393	ndh		b1109	JW1095	DHNA_ECOLI	Cell membrane. 	Evidence at protein level	NADH dehydrogenase family	NADH dehydrogenase (EC 1.6.99.3)	"GO:0050660; GO:0008137; GO:0019646; GO:0044459; GO:0006810"	"3D-structure; Cell membrane; Complete proteome; Direct protein sequencing; Electron transport; FAD; Flavoprotein; Membrane; NAD; Oxidoreductase; Transport; Ubiquinone"	434	
P00448	sodA		b3908	JW3879	SODM_ECOLI		Evidence at protein level	Iron/manganese superoxide dismutase family	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	"GO:0005737; GO:0046872; GO:0055114; GO:0019430; GO:0004784"	"3D-structure; Complete proteome; Direct protein sequencing; Manganese; Metal-binding; Oxidoreductase"	206	
P00452	nrdA	dnaF	b2234	JW2228	RIR1_ECOLI		Evidence at protein level	Ribonucleoside diphosphate reductase large chain family	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	"GO:0005524; GO:0006260; GO:0009263; GO:0015949; GO:0055114; GO:0005515; GO:0004748; GO:0005971"	"3D-structure; ATP-binding; Acetylation; Allosteric enzyme; Alternative initiation; Complete proteome; DNA replication; Direct protein sequencing; Disulfide bond; Nucleotide-binding; Oxidoreductase"	761	
P00509	aspC		b0928	JW0911	AAT_ECOLI	Cytoplasm. 	Evidence at protein level	Class-I pyridoxal-phosphate-dependent aminotransferase family	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	"GO:0004069; GO:0033585; GO:0004838; GO:0006532; GO:0005829; GO:0016212; GO:0042803; GO:0030170"	"3D-structure; Aminotransferase; Complete proteome; Cytoplasm; Direct protein sequencing; Pyridoxal phosphate; Transferase"	396	
P00547	thrB		b0003	JW0002	KHSE_ECOLI	Cytoplasm. 	Evidence at protein level	GHMP kinase family, Homoserine kinase subfamily	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	"GO:0005524; GO:0005737; GO:0004413; GO:0009088"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Threonine biosynthesis; Transferase"	310	
P00550	mtlA		b3599	JW3573	PTM3C_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		"PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.69) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (EC 2.7.1.-) (PTS system mannitol-specific EIIA component)]"	"GO:0016021; GO:0016301; GO:0009401; GO:0005886; GO:0005515; GO:0008982; GO:0005351"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Kinase; Membrane; Phosphotransferase system; Sugar transport; Transferase; Transmembrane; Transmembrane helix; Transport"	637	
P00561	thrA	thrA1 thrA2	b0002	JW0001	AK1H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0016597; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0055114; GO:0009088"	"ATP-binding; Allosteric enzyme; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Repeat; Threonine biosynthesis; Transferase"	820	
P00562	metL	metM	b3940	JW3911	AK2H_ECOLI		Evidence at protein level	"Aspartokinase family; Homoserine dehydrogenase family"	"Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]"	"GO:0005524; GO:0050661; GO:0004072; GO:0009090; GO:0004412; GO:0009089; GO:0009086; GO:0055114"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Direct protein sequencing; Kinase; Methionine biosynthesis; Multifunctional enzyme; NADP; Nucleotide-binding; Oxidoreductase; Transferase"	810	
P00579	rpoD	alt	b3067	JW3039	RPOD_ECOLI		Evidence at protein level	Sigma-70 factor family	RNA polymerase sigma factor rpoD (Sigma-70)	"GO:0003677; GO:0005515; GO:0006355; GO:0009408; GO:0003700; GO:0016987; GO:0006352; GO:0030528"	"3D-structure; Complete proteome; DNA-binding; Sigma factor; Transcription; Transcription regulation"	613	
P0AFM4	psiF		b0384	JW5054	PSIF_ECOLI		Evidence at protein level		Phosphate starvation-inducible protein psiF		"Complete proteome; Signal"	106
P0AFN6	yadH		b0128	JW0124	YADH_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	ABC-2 integral membrane protein family	Inner membrane transport permease yadH	"GO:0005524; GO:0042626; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	256
P0AFP0	yadS		b0157	JW0153	YADS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	UPF0126 family	UPF0126 inner membrane protein yadS	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	207
P0AFP6	ybgI		b0710	JW0700	YBGI_ECOLI		Evidence at protein level	UPF0135 (NIF3) family	UPF0135 protein ybgI	GO:0046872	"3D-structure; Complete proteome; Metal-binding"	247
P0AFP9	ybhR		b0792	JW5803	YBHR_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane transport permease ybhR	"GO:0005524; GO:0042626; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	368
P0AFQ2	ybhS		b0793	JW0777	YBHS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Inner membrane transport permease ybhS	"GO:0005524; GO:0042626; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	377
P0AFQ7	ycfH		b1100	JW1086	YCFH_ECOLI		Evidence at protein level	TatD DNase family	Uncharacterized deoxyribonuclease ycfH (EC 3.1.21.-)	"GO:0016888; GO:0005515"	"3D-structure; Complete proteome; Hydrolase; Nuclease"	265
P0AFR4	yciO		b1267	JW5196	YCIO_ECOLI		Evidence at protein level	SUA5 family	Uncharacterized protein yciO		"3D-structure; Complete proteome"	206
P0AFR7	ycjO		b1311	JW1304	YCJO_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, MalFG subfamily	Inner membrane ABC transporter permease protein ycjO	"GO:0016021; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	293
P0AFR9	ydcV		b1443	JW1438	YDCV_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, CysTW subfamily	Inner membrane ABC transporter permease protein ydcV	"GO:0016021; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	264
P0AFS7	ydiK		b1688	JW1678	YDIK_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	UPF0118 (perM) family	UPF0118 inner membrane protein ydiK	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	370
P0AFT5	yehT		b2125	JW5352	YEHT_ECOLI		Inferred from homology		Uncharacterized response regulatory protein yehT	"GO:0003677; GO:0006355; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Phosphoprotein; Transcription; Transcription regulation; Two-component regulatory system"	239
P0AFT8	yeiW		b4502	JW5361	YEIW_ECOLI		Inferred from homology	UPF0153 family	UPF0153 protein yeiW		Complete proteome	84
P0AFU0	yejB		b2178	JW2166	YEJB_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Binding-protein-dependent transport system permease family, OppBC subfamily	Inner membrane ABC transporter permease protein yejB	"GO:0016021; GO:0042884; GO:0005886; GO:0005215"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	364
P0AFU2	yfbS		b2292	JW2289	YFBS_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CitM (TC 2.A.11) transporter family	Uncharacterized transporter yfbS	"GO:0008324; GO:0015137; GO:0016021; GO:0005886; GO:0006813; GO:0006814"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Repeat; Transmembrane; Transmembrane helix; Transport"	610
P0AFU4	yfhA		b2554	JW2538	YFHA_ECOLI		Inferred from homology		Uncharacterized protein yfhA (ORF-2)	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0016563; GO:0008134; GO:0000156; GO:0000160"	"ATP-binding; Complete proteome; DNA-binding; Nucleotide-binding; Phosphoprotein; Transcription; Transcription regulation; Two-component regulatory system"	444
P0AFV0	yibH		b3597	JW3571	YIBH_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Membrane fusion protein (MFP) (TC 8.A.1) family	Inner membrane protein yibH	"GO:0016021; GO:0005886; GO:0009306; GO:0008565"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	378
P0AFV2	yhiD	yhhE	b3508	JW5670	YHID_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Inferred from homology	MgtC/sapB family	Uncharacterized protein yhiD	"GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	215
P0AFV4	spr	yeiV	b2175	JW2163	SPR_ECOLI	"Cell membrane; Lipid-anchor. "	Evidence at protein level	NlpC/p60 family	Lipoprotein spr	GO:0005886	"3D-structure; Cell membrane; Complete proteome; Lipoprotein; Membrane; Palmitate; Signal"	188
P0AFW0	rfaH	hlyT sfrB	b3842	JW3818	RFAH_ECOLI		Evidence at protein level		Transcriptional activator rfaH	"GO:0003677; GO:0009103; GO:0032968; GO:0006350; GO:0003711"	"3D-structure; Activator; Complete proteome; DNA-binding; Lipopolysaccharide biosynthesis; Transcription; Transcription regulation"	162
P0AFW2	rmf		b0953	JW0936	RMF_ECOLI		Evidence at protein level		Ribosome modulation factor (Protein E)	"GO:0033554; GO:0042254"	"Complete proteome; Direct protein sequencing; Ribosome biogenesis"	55
P0AFW4	rnk		b0610	JW0602	RNK_ECOLI		Evidence at protein level		Regulator of nucleoside diphosphate kinase	"GO:0003677; GO:0003711"	"3D-structure; Complete proteome"	136
P0AFX0	yhbH		b3203	JW3170	RP5M_ECOLI		Evidence at protein level	Sigma(54) modulation protein family	Probable sigma(54) modulation protein (ORF3) (ORF95)	"GO:0044238; GO:0005515"	"3D-structure; Complete proteome"	95
P0AFX4	rsd		b3995	JW3959	RSD_ECOLI	Cytoplasm. 	Evidence at protein level	Rsd/AlgQ family	Regulator of sigma D	"GO:0005737; GO:0006350; GO:0030528"	"3D-structure; Complete proteome; Cytoplasm; Transcription; Transcription regulation"	158
P0AFX7	rseA	mclA yfiJ	b2572	JW2556	RSEA_ECOLI	"Cell membrane; Single-pass membrane protein. "	Evidence at protein level	RseA family	Sigma-E factor negative regulatory protein	"GO:0016021; GO:0005886; GO:0005515; GO:0016989"	"3D-structure; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	216
P0AFX9	rseB		b2571	JW2555	RSEB_ECOLI	Periplasm. 	Evidence at protein level	RseB family	Sigma-E factor regulatory protein rseB	GO:0042597	"3D-structure; Complete proteome; Periplasm; Signal"	318
P0AFY2	sanA	yeiF	b2144	JW2132	SANA_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Predicted		Protein sanA	"GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	239
P0AFY6	sbmA		b0377	JW0368	SBMA_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level		Protein sbmA	"GO:0005524; GO:0042626; GO:0009276; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	406
P0AFY8	seqA		b0687	JW0674	SEQA_ECOLI		Evidence at protein level		Protein seqA	"GO:0003677; GO:0032297; GO:0005515; GO:0045449"	"3D-structure; Complete proteome; DNA replication inhibitor; DNA-binding"	181
P0AFZ1	sseB		b2522	JW5404	SSEB_ECOLI		Predicted		Protein sseB		Complete proteome	258
P0AFZ3	sspB		b3228	JW3197	SSPB_ECOLI		Evidence at protein level		Stringent starvation protein B	GO:0006950	"3D-structure; Complete proteome; Stress response"	165
P0AFZ5	sulA	sfiA	b0958	JW0941	SULA_ECOLI		Evidence at protein level	SulA family	Cell division inhibitor sulA	"GO:0006281; GO:0009276; GO:0009432; GO:0000917; GO:0007049; GO:0032466; GO:0005515"	"Cell cycle; Cell division; Complete proteome; DNA damage; DNA repair; SOS response; Septation"	169
P0AFZ7	trkH		b3849	JW5576	TRKH_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	TrkH potassium transport family	Trk system potassium uptake protein trkH	"GO:0008324; GO:0016021; GO:0005886; GO:0006813"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Potassium; Potassium transport; Transmembrane; Transmembrane helix; Transport"	483
P0AG00	wzzE	wzz yifC	b3785	JW5601	WZZE_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	WzzB/cld/rol family	Lipopolysaccharide biosynthesis protein wzzE	"GO:0016021; GO:0009103; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Lipopolysaccharide biosynthesis; Membrane; Transmembrane; Transmembrane helix"	348
P0AG03	ubiX	dedF	b2311	JW2308	UBIX_ECOLI		Inferred from homology	Polyprenyl p-hydroxybenzoate / phenylacrylic acid decarboxylases family	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-) (Polyprenyl p-hydroxybenzoate decarboxylase)	"GO:0008694; GO:0006744"	"Complete proteome; Decarboxylase; FMN; Lyase"	189
P0AG07	rpe	dod yhfD	b3386	JW3349	RPE_ECOLI		Evidence at protein level	Ribulose-phosphate 3-epimerase family	Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (R5P3E)	"GO:0005975; GO:0005515; GO:0004750"	"Carbohydrate metabolism; Complete proteome; Isomerase"	225
P0AG11	umuD		b1183	JW1172	UMUD_ECOLI		Evidence at protein level	Peptidase S24 family	Protein umuD (EC 3.4.21.-) [Cleaved into: Protein umuD']	"GO:0003677; GO:0006281; GO:0009432; GO:0005515; GO:0045449; GO:0008236"	"3D-structure; Autocatalytic cleavage; Complete proteome; DNA damage; DNA repair; Hydrolase; Protease; SOS mutagenesis; SOS response; Serine protease"	139
P0AG14	sohB		b1272	JW1264	SOHB_ECOLI	"Cell inner membrane; Single-pass membrane protein. "	Evidence at protein level	Peptidase S49 family	Probable protease sohB (EC 3.4.21.-)	"GO:0016021; GO:0005886; GO:0006508; GO:0004252"	"Cell inner membrane; Cell membrane; Complete proteome; Hydrolase; Membrane; Protease; Serine protease; Transmembrane; Transmembrane helix"	349
P0AG16	purF		b2312	JW2309	PUR1_ECOLI		Evidence at protein level	Purine/pyrimidine phosphoribosyltransferase family	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	"GO:0004044; GO:0005829; GO:0006541; GO:0046872; GO:0009116; GO:0009113; GO:0006164"	"3D-structure; Complete proteome; Direct protein sequencing; Glutamine amidotransferase; Glycosyltransferase; Magnesium; Metal-binding; Purine biosynthesis; Transferase"	505
P0AG18	purE		b0523	JW0512	PUR6_ECOLI		Evidence at protein level	AIR carboxylase family	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21) (AIR carboxylase) (AIRC)	"GO:0006189; GO:0005829; GO:0004638"	"3D-structure; Complete proteome; Decarboxylase; Direct protein sequencing; Lyase; Purine biosynthesis"	169
P0AG20	relA		b2784	JW2755	RELA_ECOLI		Evidence at protein level	RelA/spoT family	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)	"GO:0005524; GO:0005525; GO:0008728; GO:0016597; GO:0015969; GO:0016301"	"ATP-binding; Complete proteome; GTP-binding; Kinase; Nucleotide-binding; Transferase"	744
P0AG24	spoT		b3650	JW3625	SPOT_ECOLI	Cytoplasm. 	Evidence at protein level	RelA/spoT family	"Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]"	"GO:0005737; GO:0015969; GO:0008893; GO:0016301"	"Complete proteome; Cytoplasm; Hydrolase; Kinase; Manganese; Transferase"	702
P0AG27	yibN		b3611	JW3586	YIBN_ECOLI		Evidence at protein level		Uncharacterized protein yibN		"Acetylation; Complete proteome"	143
P0AG30	rho	nitA psuA rnsC sbaA tsu	b3783	JW3756	RHO_ECOLI		Evidence at protein level	Rho family	Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho)	"GO:0005524; GO:0015986; GO:0003723; GO:0004386; GO:0016820; GO:0005515; GO:0033178; GO:0006353; GO:0003715; GO:0031555"	"3D-structure; ATP-binding; Complete proteome; Direct protein sequencing; Helicase; Hydrolase; Nucleotide-binding; RNA-binding; Transcription; Transcription regulation; Transcription termination"	419
P0AG34	rhtB	yigK	b3824	JW5585	RHTB_ECOLI	"Cell membrane; Multi-pass membrane protein. "	Evidence at protein level	Rht family	Homoserine/homoserine lactone efflux protein	"GO:0006865; GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	206
P0AG38	rhtC	yigJ	b3823	JW5586	RHTC_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	Rht family	Threonine efflux protein	"GO:0006865; GO:0016021; GO:0005886"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	206
P0AG40	ribF	yaaC	b0025	JW0023	RIBF_ECOLI		Evidence at protein level	RibF family	"Riboflavin biosynthesis protein ribF [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]"	"GO:0005524; GO:0003919; GO:0005515; GO:0009231; GO:0008531"	"ATP-binding; Complete proteome; FAD; FMN; Multifunctional enzyme; Nucleotide-binding; Nucleotidyltransferase; Transferase"	313
P0AG44	rplQ		b3294	JW3256	RL17_ECOLI		Evidence at protein level	Ribosomal protein L17P family	50S ribosomal protein L17	"GO:0005840; GO:0003735; GO:0006412"	"3D-structure; Complete proteome; Direct protein sequencing; Ribonucleoprotein; Ribosomal protein"	127
P0AG48	rplU		b3186	JW3153	RL21_ECOLI		Evidence at protein level	Ribosomal protein L21P family	50S ribosomal protein L21	"GO:0019843; GO:0005840; GO:0003735; GO:0006412"	"3D-structure; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	103
P0AG51	rpmD		b3302	JW3264	RL30_ECOLI		Evidence at protein level	Ribosomal protein L30P family	50S ribosomal protein L30	"GO:0015934; GO:0003735; GO:0006412"	"3D-structure; Complete proteome; Direct protein sequencing; Ribonucleoprotein; Ribosomal protein"	59
P0AG55	rplF		b3305	JW3267	RL6_ECOLI		Evidence at protein level	Ribosomal protein L6P family	50S ribosomal protein L6	"GO:0005515; GO:0019843; GO:0046677; GO:0005840; GO:0003735; GO:0006412"	"3D-structure; Acetylation; Antibiotic resistance; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	177
P0AG59	rpsN		b3307	JW3269	RS14_ECOLI		Evidence at protein level	Ribosomal protein S14P family	30S ribosomal protein S14	"GO:0022627; GO:0003735; GO:0006412"	"3D-structure; Complete proteome; Direct protein sequencing; Ribonucleoprotein; Ribosomal protein"	101
P0AG63	rpsQ	neaA	b3311	JW3273	RS17_ECOLI		Evidence at protein level	Ribosomal protein S17P family	30S ribosomal protein S17	"GO:0070181; GO:0022627; GO:0046677; GO:0003735; GO:0006412"	"3D-structure; Antibiotic resistance; Complete proteome; Direct protein sequencing; RNA-binding; Ribonucleoprotein; Ribosomal protein; rRNA-binding"	84
P0AG67	rpsA	ssyF	b0911	JW0894	RS1_ECOLI		Evidence at protein level	Ribosomal protein S1P family	30S ribosomal protein S1	"GO:0003723; GO:0016020; GO:0005840; GO:0003735; GO:0006412"	"3D-structure; Acetylation; Complete proteome; Direct protein sequencing; Phosphoprotein; RNA-binding; Repeat; Ribonucleoprotein; Ribosomal protein"	557
P0AG76	sbcD	yajA	b0398	JW0388	SBCD_ECOLI		Evidence at protein level	SbcD family	Nuclease sbcCD subunit D	"GO:0006310; GO:0006260; GO:0004519; GO:0004527"	"Complete proteome; DNA recombination; DNA replication; Endonuclease; Exonuclease; Hydrolase; Nuclease"	400
P0AG78	sbp		b3917	JW3888	SUBI_ECOLI	Periplasm. 	Evidence at protein level	Prokaryotic sulfate-binding protein family	Sulfate-binding protein (Sulfate starvation-induced protein 2) (SSI2)	"GO:0030288; GO:0008271; GO:0015419"	"Complete proteome; Direct protein sequencing; Periplasm; Signal; Sulfate transport; Transport"	329
P0AG80	ugpB		b3453	JW3418	UGPB_ECOLI	Periplasm. 	Evidence at protein level	Bacterial solute-binding protein 1 family	sn-glycerol-3-phosphate-binding periplasmic protein ugpB	"GO:0070811; GO:0015794; GO:0042597; GO:0005515; GO:0005215"	"Complete proteome; Periplasm; Signal; Transport"	438
P0AG82	pstS	phoS	b3728	JW3706	PSTS_ECOLI	Periplasm. 	Evidence at protein level	PstS family	Phosphate-binding protein pstS (PBP)	"GO:0005315; GO:0042597; GO:0006950"	"3D-structure; Complete proteome; Direct protein sequencing; Periplasm; Phosphate transport; Signal; Stress response; Transport"	346
P0AG84	yghA		b3003	JW2972	YGHA_ECOLI		Evidence at protein level	Short-chain dehydrogenases/reductases (SDR) family	Uncharacterized oxidoreductase yghA (EC 1.-.-.-)	"GO:0005488; GO:0055114; GO:0016491"	"Acetylation; Complete proteome; Oxidoreductase"	294
P0AG86	secB		b3609	JW3584	SECB_ECOLI	Cytoplasm. 	Evidence at protein level	SecB family	Protein-export protein SecB	"GO:0005737; GO:0006605; GO:0051262; GO:0043952; GO:0051082"	"3D-structure; Chaperone; Complete proteome; Cytoplasm; Protein transport; Translocation; Transport"	155
P0AG93	secF		b0409	JW0399	SECF_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	SecD/secF family, SecF subfamily	Protein-export membrane protein secF	"GO:0015450; GO:0016021; GO:0006886; GO:0005886; GO:0015628; GO:0015627"	"Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Translocation; Transmembrane; Transmembrane helix; Transport"	323
P0AG96	secE	prlG	b3981	JW3944	SECE_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	SecE/SEC61-gamma family	Preprotein translocase subunit SecE	"GO:0015450; GO:0016021; GO:0065002; GO:0005886; GO:0005515; GO:0009306; GO:0006605; GO:0043952"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Protein transport; Translocation; Transmembrane; Transmembrane helix; Transport"	127
P0AG99	secG		b3175	JW3142	SECG_ECOLI	"Cell inner membrane; Multi-pass membrane protein. "	Evidence at protein level	SecG family	Protein-export membrane protein SecG (P12) (Preprotein translocase band 1 subunit)	"GO:0015450; GO:0016021; GO:0065002; GO:0005886; GO:0009306; GO:0043952"	"3D-structure; Cell inner membrane; Cell membrane; Complete proteome; Direct protein sequencing; Membrane; Protein transport; Translocation; Transmembrane; Transmembrane helix; Transport"	110
P0AGA6	uhpA		b3669	JW3644	UHPA_ECOLI	Cytoplasm. 	Evidence at protein level		Transcriptional regulatory protein uhpA	"GO:0008643; GO:0005737; GO:0005515; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Phosphoprotein; Sugar transport; Transcription; Transcription regulation; Transport; Two-component regulatory system"	196
P0AGB0	serB		b4388	JW4351	SERB_ECOLI		Evidence at protein level	SerB family	Phosphoserine phosphatase (PSP) (PSPase) (EC 3.1.3.3) (O-phosphoserine phosphohydrolase)	"GO:0006564; GO:0005737; GO:0000287; GO:0004647; GO:0005515"	"Amino-acid biosynthesis; Complete proteome; Hydrolase; Serine biosynthesis"	322
