K12 Entry name (Uniprot)	BL21(DE3) Entry name (Uniprot)	Subcellular Location (Uniprot)	Common Core 	Gene Ontology ID (Uniprot)	Category	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score	Uniprot Description	Pseudogenes / Mobile Elements Notes
FLIJ_ECOLI	C6EBC3_ECOBD		 	"GO:0044461; GO:0006935; GO:0001539; GO:0016020; GO:0003774"	F1			0	0	0	0		CYT 		0	0.00	0.00		0	21	0.034	Flagellar export protein FliJ	 
FLIK_ECOLI	C6EBC2_ECOBD		 	"GO:0009424; GO:0009296; GO:0003774"	A			0	0	0	0		CYT 		0	0.00	0.00		0	38	0.133	Flagellar hook-length control protein	 
FLIL_ECOLI	C6EBC1_ECOBD		 	"GO:0009425; GO:0006935; GO:0001539"	F1			43	0.996	29	0.563	26	SpII 	10.526	1	24.81	23.63		1	25	0.100	Flagellar basal body-associated protein FliL	 
FLIM_ECOLI	C6EBC0_ECOBD		 	"GO:0009425; GO:0006935; GO:0001539; GO:0003774"	F1			0	0	0	0		CYT 		0	0.38	0.00		0	13	0.047	Flagellar motor switch protein FliM	 
FLIN_ECOLI	C6EBB9_ECOBD		 	"GO:0009425; GO:0006935; GO:0001539; GO:0016020; GO:0003774"	F1			0	0	0	0		CYT 		0	0.15	0.00		0	35	0.092	Flagellar motor switch protein FliN	 
FLIP_ECOLI	C6EBB7_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0019861; GO:0016021; GO:0009306"	B	SEC		22	1.000	22	0.827		TMH 	13.015	5	108.55	35.53	21	4	44	0.075	Flagellar biosynthetic protein FliP	 
FLIR_ECOLI	C6EBB5_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0009288; GO:0016021; GO:0006605"	B	SEC		0	0	24	0		TMH 	5.441	6	128.06	34.67		6	93	0.063	Flagellar biosynthetic protein fliR	 
FLIS_ECOLI	C6EBD6_ECOBD		 	"GO:0009288; GO:0009296"	A			0	0	37	0		CYT 		0	1.26	1.26		0	44	0.080	Flagellar protein FliS	 
FLIT_ECOLI	C6EBD5_ECOBD		 	"GO:0005737; GO:0019861; GO:0043064; GO:0045449; GO:0006350"	A			0	0	0	0		CYT 		0	0.00	0.00		0	10	0.026	Flagellar export chaperone	 
FLIY_ECOLI	C6EBE1_ECOBD		 	"GO:0030288; GO:0005215"	G	SEC		30	1.000	30	0.738	29	SpI 	10.779	0	4.63	4.63	29	0	29	0.171	Extracellular solute-binding protein family 3	 
FLK_ECOLI	C6ELD2_ECOBD		 	GO:0019861	B	SEC		0	0	0	0		CYT 		1	20.15	0.00		1	48	0.074	Flagella assembly protein (Predicted flagella assembly protein)	 
FOCB_ECOLI	C6EKL9_ECOBD		 	"GO:0016020; GO:0005215"	B	SEC		58	0.895	0	0		CYT 		6	138.23	22.71		6	45	0.283	Formate/nitrite transporter (Predicted formate transporter)	 
FOLB_ECOLI	C6EHT7_ECOBD		 	"GO:0004150; GO:0006760"	A			0	0	0	0		CYT 		0	0.00	0.00		0	6	0.034	Bifunctional dihydroneopterin aldolase/dihydroneopterin triphosphate 2'-epimerase (EC 4.1.2.25) (Dihydroneopterin aldolase) (EC 4.1.2.25)	 
FRDB_ECOLI	C6ECX0_ECOBD		 	"GO:0009055; GO:0051536; GO:0055114; GO:0000104; GO:0006099"	F1			0	0	0	0		CYT 		0	0.06	0.00		0	61	0.023	Fumarate reductase (Anaerobic), Fe-S subunit (EC 1.3.99.1) (Succinate dehydrogenase and fumarate reductase iron-sulfur protein) (EC 1.3.99.1)	 
FRDC_ECOLI	C6ECX1_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	 	"GO:0055114; GO:0016491; GO:0005886"	B	SEC		0	0	0	0		TMH 	1.783	3	62.49	21.31		3	49	0.093	Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein)	 
FRDD_ECOLI	C6ECX2_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	 	"GO:0006106; GO:0055114; GO:0016491; GO:0005886"	B	SEC		0	0	0	0		TMH 	15.526	3	69.67	31.08		3	29	0.207	Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein)	 
FRLA_ECOLI	C6EFK6_ECOBD		 	"GO:0015171; GO:0016021"	B	SEC		0	0	0	0		TMH 	13.013	11	245.97	41.48		12	38	0.402	Amino acid permease-associated region (Predicted fructoselysine transporter)	 
FRLB_ECOLI	C6EFK5_ECOBD		 	"GO:0005975; GO:0016853; GO:0005529"	A			0	0	0	0		CYT 		0	8.54	0.00		1	6	0.029	Fructoselysine-6-P-deglycase (Sugar isomerase (SIS))	 
FRLD_ECOLI	C6EFK3_ECOBD		 	GO:0016301	A			0	0	0	0		CYT 		0	1.43	0.03		0	33	0.081	Fructoselysine 6-kinase (PfkB domain protein)	 
FRLR_ECOLI	C6EFK2_ECOBD		 	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350; GO:0030528"	A			0	0	0	0		CYT 		0	0.00	0.00		0	3	0.122	Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	 
FRUR_ECOLI	C6EAX5_ECOBD		 	"GO:0003677; GO:0005622; GO:0006355; GO:0009750; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	0.03	0.00		0	17	0.100	DNA-binding transcriptional dual regulator (Transcriptional regulator, LacI family)	 
FRVR_ECOLI	C6EF02_ECOBD		 	"GO:0009401; GO:0005351; GO:0016740"	A			0	0	0	0		CYT 		0	0.06	0.00		0	24	0.043	Predicted regulator (Transcriptional antiterminator, BglG)	 
FRVX_ECOLI	C6EF01_ECOBD		 	GO:0008810	A			0	0	0	0		CYT 		0	0.02	0.00		0	14	0.063	Cellulase (EC 3.2.1.4) (Predicted endo-1,4-beta-glucanase)	 
FTSB_ECOLI	C6EJB9_ECOBD		 	"GO:0007049; GO:0051301; GO:0016021; GO:0005886"	B	SEC		0	0	10	0		CYT 		1	15.97	15.97	18	0	15	0.033	Cell diviision protein FtsB (Septum formation initiator)	 
FTSH_ECOLI	C6EH49_ECOBD		 	"GO:0005524; GO:0016021; GO:0004222; GO:0008568; GO:0030163; GO:0006508; GO:0008270"	B	SEC		0	0.701	10	0.567	21	SpI 	2.284	2	45.89	19.31	21	1	2	0.048	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	 
FTSL_ECOLI	C6EAX2_ECOBD		 	"GO:0007049; GO:0051301; GO:0016021"	B	SEC		0	0	24	0		CYT 		1	20.96	20.82		1	23	0.113	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	 
FTSW_ECOLI	C6EAW6_ECOBD		 	"GO:0007049; GO:0051301; GO:0016021; GO:0009252"	B	SEC		0	0	0	0		TMH 	10.762	10	209.35	31.70	32	9	25	0.108	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	 
FTSZ_ECOLI	C6EAW0_ECOBD	Cytoplasm. 	 	"GO:0005525; GO:0003924; GO:0000917; GO:0007049; GO:0005737; GO:0043234; GO:0051258"	F1			0	0	0	0		CYT 		0	0.36	0.02		0	70	0.051	Cell division protein ftsZ	 
FUCK_ECOLI	C6EJ63_ECOBD		 	GO:0008737	A			0	0	0	0		CYT 		0	0.04	0.00		0	46	0.159	Carbohydrate kinase FGGY	 
G3P3_ECOLI	C6EEU7_ECOBD		 	"GO:0051287; GO:0006006; GO:0004365; GO:0055114"	A			0	0	0	0		CYT 		0	0.00	0.00		0	21	0.124	Glyceraldehyde-3-phosphate dehydrogenase (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	 
GABD_ECOLI	C6EJW4_ECOBD		 	"GO:0055114; GO:0009013"	A			0	0	0	0		CYT 		0	0.12	0.00		0	15	0.118	Succinate-semialdehyde dehydrogenase I, NADP-dependent (EC 1.2.1.16) (Succinic semialdehyde dehydrogenase)	 
GADC_ECOLI	C6EEM5_ECOBD		 	"GO:0015171; GO:0016021"	B	SEC		29	0.955	29	0.491		TMH 	15.661	12	263.74	41.08		12	28	0.263	Glutamate/g-aminobutyrate antiporter (Predicted glutamate:gamma-aminobutyric acid antiporter)	 
GADX_ECOLI	C6EEG8_ECOBD		 	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	2.53	0.00		0	13	0.052	DNA-binding transcriptional dual regulator (Transcriptional regulator, AraC family)	 
GALP_ECOLI	C6EIG8_ECOBD		 	"GO:0008643; GO:0016021; GO:0022891"	B	SEC		31	0.964	22	0.464		TMH 	14.215	12	262.92	28.50		12	39	0.337	Sugar transporter	 
GARP_ECOLI	C6EH99_ECOBD		 	"GO:0016021; GO:0055085; GO:0005215"	B	SEC		0	0	0	0		TMH 	3.992	11	241.97	27.06		12	52	0.042	D-galactonate transporter (Predicted (D)-galactarate transporter)	 
GATD_ECOLI	C6EAL9_ECOBD		 	"GO:0008868; GO:0055114; GO:0008270"	B	SEC		0	0	0	0		CYT 		0	9.44	0.00		0	49	0.051	Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)	 
GATY_ECOLI	C6EAL4_ECOBD		 	"GO:0004332; GO:0006096; GO:0019512; GO:0009025; GO:0008270"	A			0	0	0	0		CYT 		0	0.19	0.14		0	19	0.100	Class II aldolase, tagatose bisphosphate family (EC 4.1.2.40)	 
GATZ_ECOLI	C6EAL5_ECOBD		 	"GO:0019402; GO:0009024"	A			0	0	0	0		CYT 		0	0.50	0.44		0	6	0.102	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	 
GCH1_ECOLI	C6EAG0_ECOBD		 	"GO:0003934; GO:0005737; GO:0006730; GO:0046654"	A			0	0	0	0		CYT 		0	0.17	0.00		0	16	0.050	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)	 
GCL_ECOLI	C6EKV8_ECOBD		 	"GO:0009436; GO:0016874; GO:0000287; GO:0009028; GO:0030976"	A			0	0	0	0		CYT 		0	5.49	3.22		0	36	0.158	Glyoxylate carboligase	 
GCST_ECOLI	C6EIK3_ECOBD		 	"GO:0004047; GO:0005737; GO:0006546; GO:0008483"	A			0	0	0	0		CYT 		0	0.56	0.00		0	2	0.160	Aminomethyltransferase (EC 2.1.2.10)	 
GFCB_ECOLI	C6EHM1_ECOBD		 		I	SEC	LOL	0	0.997	10	0	15	SpII 	11.165	0	0.40	0.40	19	0	31	0.039	Predicted outer membrane lipoprotein (Putative regulator)	 
GFCC_ECOLI	C6EHM2_ECOBD		 		G	SEC		23	0.990	23	0.735	22	SpI 	8.452	0	11.86	11.81	22	0	22	0.055	Putative uncharacterized protein (Putative uncharacterized protein ymcB)	 
GFCD_ECOLI	C6EHM3_ECOBD		 		G	SEC		22	1.000	22	0.925	21	SpI 	17.835	0	2.54	2.47	21	0	51	0.106	Putative uncharacterized protein (Putative uncharacterized protein ymcA)	 
GFCE_ECOLI	C6EHM4_ECOBD		 	"GO:0016020; GO:0015159"	I	SEC	LOL	0	0.998	21	0.651	20	SpII 	15.093	0	9.63	9.63	26	0	20	0.075	Polysaccharide export protein	 
GHRA_ECOLI	C6EHH9_ECOBD		 	"GO:0048037; GO:0016616"	A			0	0	0	0		CYT 		0	0.00	0.00		0	41	0.036	2-ketoacid reductase (D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding)	 
GLCA_ECOLI	C6EID6_ECOBD		 	GO:0015129	B	SEC		34	0.948	34	0.531		TMH 	14.629	13	280.57	42.61		13	44	0.129	Glycolate transporter (L-lactate transport)	 
GLCC_ECOLI	C6EID0_ECOBD		 	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	0.14	0.00		0	49	0.064	DNA-binding transcriptional dual regulator, glycolate-binding (GntR domain protein)	 
GLCD_ECOLI	C6EID1_ECOBD		 	"GO:0050660; GO:0008891; GO:0009339"	A			0	0	0	0		CYT 		0	0.01	0.00		0	24	0.021	Glycolate oxidase, subunit GlcD	 
GLCE_ECOLI	C6EID2_ECOBD		 	"GO:0050660; GO:0016491"	A			0	0	0	0		CYT 		0	0.14	0.00		0	34	0.108	FAD linked oxidase domain protein	 
GLCF_ECOLI	C6EID3_ECOBD		 	"GO:0009055; GO:0051536; GO:0016491"	A			0	0	0	0		CYT 		0	1.07	1.06		0	15	0.334	Glycolate oxidase iron-sulfur subunit (Putative uncharacterized protein)	 
GLCG_ECOLI	C6EID4_ECOBD		 		A			0	0	0	0		CYT 		0	0.30	0.00		0	35	0.093	Putative uncharacterized protein (Putative uncharacterized protein glcG)	 
GLGS_ECOLI	C6EHU6_ECOBD		 	GO:0005978	A			0	0	24	0		CYT 		0	0.00	0.00		0	22	0.309	Glycogen synthesis protein glgS	 
GLMS_ECOLI	C6EG74_ECOBD		 	"GO:0016051; GO:0005737; GO:0004360; GO:0005529"	A	SEC		0	0	0	0		CYT 		0	1.17	0.00		0	58	0.049	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	 
GLNB_ECOLI	C6EKF4_ECOBD		 	"GO:0030234; GO:0006808; GO:0045449; GO:0006350"	A			0	0	0	0		CYT 		0	0.00	0.00		0	49	0.041	Nitrogen regulatory protein P-II (Regulatory protein P-II for glutamine synthetase)	 
GLNP_ECOLI	C6EIX2_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		0	0	0	0		TMH 	7.249	3	92.81	27.95		5	51	0.246	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)	 
GLPD_ECOLI	C6EFE8_ECOBD		 	"GO:0004368; GO:0009331; GO:0006072; GO:0055114"	F1			0	0	0	0		CYT 		0	2.92	2.92		0	40	0.247	FAD dependent oxidoreductase	 
GLPT_ECOLI	C6E9W1_ECOBD		 	"GO:0015169; GO:0016021"	B	SEC		0	0	0	0		CYT 		12	252.39	19.43		12	97	0.057	Glycerol-3-phosphate transporter (sn-glycerol-3-phosphate transporter)	 
GLRX3_ECOLI	C6EDH9_ECOBD		 	"GO:0045454; GO:0009055; GO:0015035"	A			0	0	0	0		CYT 		0	0.00	0.00		0	38	0.079	Glutaredoxin 3	 
GLSA1_ECOLI	C6EKX9_ECOBD		 	"GO:0004359; GO:0006541"	A			0	0	0	0		CYT 		0	8.32	0.26		0	41	0.088	Glutaminase (EC 3.5.1.2) (Predicted glutaminase)	 
GLSA2_ECOLI	C6EDW5_ECOBD		 	"GO:0004359; GO:0006541"	A			0	0	0	0		CYT 		0	0.08	0.00		0	34	0.040	Glutaminase (EC 3.5.1.2) (Predicted glutaminase)	 
GLTB_ECOLI	C6EH15_ECOBD		 	"GO:0006537; GO:0004355; GO:0016041; GO:0055114"	A			0	0	0	0		CYT 		0	0.45	0.00		0	21	0.142	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	 
GLTI_ECOLI	C6EK40_ECOBD		 	"GO:0030288; GO:0005215"	G	SEC		23	1.000	23	0.936	22	SpI 	21.590	0	0.09	0.09	22	0	28	0.209	Extracellular solute-binding protein family 3 (Glutamate and aspartate transporter subunit)	 
GLTS_ECOLI	C6EDD6_ECOBD		 	"GO:0015501; GO:0016021"	B	SEC		0	0	0	0		CYT 		9	223.88	29.02	26	11	31	0.079	Glutamate transporter (Sodium/glutamate symporter)	 
GLXK1_ECOLI	C6EKV2_ECOBD		 	"GO:0008887; GO:0031388"	A			0	0	0	0		CYT 		0	1.35	0.00		0	34	0.073	Glycerate kinase (EC 2.7.1.31) (Glycerate kinase II) (EC 2.7.1.31)	 
GLXR_ECOLI	C6EKV6_ECOBD		 	"GO:0008679; GO:0008442; GO:0050662; GO:0046487; GO:0055114; GO:0006098; GO:0004616; GO:0006573"	A			0	0	23	0		CYT 		0	0.27	0.27	22	0	22	0.131	2-hydroxy-3-oxopropionate reductase (Tartronate semialdehyde reductase, NADH-dependent) (EC 1.1.1.60)	 
GNTP_ECOLI	C6EBR2_ECOBD		 	"GO:0015128; GO:0016020"	B	SEC		0	0	0	0		TMH 	7.170	13	264.09	42.88		12	42	0.088	Fructuronate transporter (Gluconate transporter)	 
GNTT_ECOLI	C6EFF9_ECOBD		 	"GO:0015128; GO:0016020"	B	SEC		0	0	20	0		TMH 	9.753	11	250.93	44.31	34	9	34	0.082	Gluconate transporter (Gluconate transporter, high-affinity GNT I system)	 
GNTX_ECOLI	C6EFG1_ECOBD		 	GO:0009116	A			0	0	16	0.515		CYT 		0	0.07	0.07	18	0	43	0.121	ComF family protein	 
GPMB_ECOLI	C6EBH6_ECOBD		 	GO:0016853	B	SEC		0	0	0	0		CYT 		1	18.69	0.00		1	43	0.058	Phosphoglycerate mutase	 
GPPA_ECOLI	C6EG34_ECOBD		 	"GO:0004309; GO:0008894"	B	SEC		0	0	0	0		CYT 		0	0.70	0.03		0	51	0.095	Guanosine pentaphosphatase/exopolyphosphatase (EC 3.6.1.11) (EC 3.6.1.40) (Ppx/GppA phosphatase) (EC 3.6.1.40)	 
GRPE_ECOLI	C6EJX9_ECOBD	Cytoplasm. 	 	"GO:0000774; GO:0051087; GO:0005739; GO:0006457; GO:0042803; GO:0030150; GO:0006950"	A			0	0	0	0		CYT 		0	0.00	0.00		0	7	0.046	Protein grpE (HSP-70 cofactor)	 
GSIC_ECOLI	C6EIV1_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		0	0	0	0		TMH 	6.793	6	132.17	22.14		6	39	0.044	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 
GSPA_ECOLI	C6EGE3_ECOBD		 	GO:0008152	B	SEC		0	0	0	0		CYT 		1	19.87	0.02		1	42	0.063	General secretory pathway component, cryptic (Peptidoglycan-binding domain 1 protein)	 
GSPC_ECOLI	C6EGE2_ECOBD		 	"GO:0005515; GO:0015628; GO:0008565; GO:0015627"	B	SEC		0	0	0	0		TMH 		1	21.71	21.70		1	17	0.035	General secretion pathway protein C (General secretory pathway component, cryptic)	 
GSPD_ECOLI	C6EGE1_ECOBD	Cell outer membrane. 	 	"GO:0009279; GO:0009306; GO:0008565"	G	SEC	T2S	24	1.000	24	0.805	23	SpI 	14.273	0	1.35	0.16	23	0	13	0.049	General secretory pathway component, cryptic (Type II and III secretion system protein)	 
GSPE_ECOLI	C6EGE0_ECOBD		 	"GO:0005524; GO:0005622; GO:0017111; GO:0015628; GO:0008565; GO:0015627"	F1			0	0	0	0		CYT 		0	0.05	0.02		0	14	0.051	General secretory pathway component, cryptic (General secretory pathway protein E)	 
GSPF_ECOLI	C6EGD9_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0016021; GO:0015628; GO:0008565; GO:0015627"	B	SEC		0	0	0	0		CYT 		3	80.72	0.00		4	75	0.052	General secretion pathway protein F (General secretory pathway component, cryptic)	 
GSPG_ECOLI	C6EGD8_ECOBD		 	"GO:0015628; GO:0008565; GO:0015627"	B	SEC		0	0	25	0		CYT 		1	21.85	21.85		1	3	0.200	General secretion pathway protein G (Pseudopilin, cryptic, general secretion pathway)	 
GSPH_ECOLI	C6EGD7_ECOBD		 	"GO:0015628; GO:0008565; GO:0015627"	G	SEC	T2S	0	0.637	16	0		TMH 	4.867	1	22.31	22.04		1	22	0.159	General secretion pathway protein H (Predicted general secretory pathway component, cryptic)	 
GSPI_ECOLI	C6EGD6_ECOBD		 	"GO:0015628; GO:0008565; GO:0015627"	G		T2S	0	0.888	24	0.685	23	SpI 	3.869	1	21.33	21.33		1	36	0.164	General secretion pathway protein I (General secretory pathway component, cryptic)	 
GSPJ_ECOLI	C6EGD5_ECOBD		 	"GO:0015628; GO:0008565; GO:0015627"	G	SEC	T2S	35	0.998	35	0.579	34	SpI 	2.305	1	22.35	22.34		1	34	0.206	General secretion pathway protein J (Predicted general secretory pathway component, cryptic)	 
GSPK_ECOLI	C6EGD4_ECOBD		 		G	SEC	T2S	25	1.000	25	0.637	24	SpI 	8.694	1	21.99	21.98	24	0	24	0.105	General secretion pathway protein K (General secretory pathway component, cryptic)	 
GSPL_ECOLI	C6EGD3_ECOBD		 	"GO:0009276; GO:0016021; GO:0008565"	B	SEC		0	0	0	0		CYT 		0	8.14	0.00		1	25	0.045	General secretion pathway protein L (General secretory pathway component, cryptic)	 
GSPM_ECOLI	C6EGD2_ECOBD		 	GO:0006858	B	SEC		0	0	0	0		CYT 		1	19.96	19.95		1	19	0.145	General secretion pathway M protein (General secretory pathway component, cryptic)	 
GUDX_ECOLI	C6EJ84_ECOBD		 	"GO:0003824; GO:0009063"	A			0	0	0	0		CYT 		0	0.03	0.02		0	46	0.045	Mandelate racemase/muconate lactonizing protein (Predicted glucarate dehydratase)	 
GUTM_ECOLI	C6EJS5_ECOBD		 	GO:0003677	A	SEC		21	0.845	0	0		CYT 		1	19.38	19.38	20	0	56	0.169	DNA-binding transcriptional activator of glucitol operon (Glucitol operon activator)	 
GYRB_ECOLI	C6ECI0_ECOBD		 	"GO:0005524; GO:0003918; GO:0006265; GO:0005694"	A			0	0	0	0		CYT 		0	0.00	0.00		0	17	0.107	DNA gyrase subunit B (EC 5.99.1.3)	 
HCAB_ECOLI	C6EKG6_ECOBD		 	"GO:0005488; GO:0055114; GO:0016491"	A			0	0	0	0		CYT 		0	0.39	0.10		0	21	0.187	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase (EC 1.3.1.-) (Short-chain dehydrogenase/reductase SDR)	 
HCAC_ECOLI	C6EKG7_ECOBD		 	"GO:0051537; GO:0008695; GO:0046872; GO:0055114; GO:0016702"	A			0	0	0	0		CYT 		0	0.05	0.05		0	47	0.028	3-phenylpropionate dioxygenase, predicted ferredoxin subunit (EC 1.14.12.19) (Rieske (2Fe-2S) domain protein)	 
HCAD_ECOLI	C6EKG5_ECOBD		 	"GO:0050660; GO:0045454; GO:0005737; GO:0008860; GO:0055114; GO:0016702"	A			19	0.905	0	0		CYT 		0	1.56	1.38		0	20	0.198	FAD-dependent pyridine nucleotide-disulphide oxidoreductase (Phenylpropionate dioxygenase, ferredoxin reductase subunit) (EC 1.18.1.3)	 
HCAE_ECOLI	C6EKG9_ECOBD		 	"GO:0051537; GO:0008695; GO:0019439; GO:0005506; GO:0055114; GO:0016702"	A			0	0	0	0		CYT 		0	0.00	0.00		0	95	0.060	3-phenylpropionate dioxygenase, large (Alpha) subunit (EC 1.14.12.19) (Aromatic-ring-hydroxylating dioxygenase, alpha subunit-like protein)	 
HCAF_ECOLI	C6EKG8_ECOBD		 	"GO:0008695; GO:0006725; GO:0055114; GO:0016702"	A			0	0	0	0		CYT 		0	0.00	0.00		0	21	0.051	3-phenylpropionate dioxygenase, small (Beta) subunit (EC 1.14.12.19) (Aromatic-ring-hydroxylating dioxygenase beta subunit)	 
HCAR_ECOLI	C6EKH0_ECOBD		 	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	23.40	0.00	21	0	15	0.074	DNA-binding transcriptional activator of 3-phenylpropionic acid catabolism (Transcriptional regulator, LysR family)	 
HDED_ECOLI	C6EEH4_ECOBD		 		B	SEC		47	0.550	0	0		TMH 	3.367	6	131.08	33.20		6	44	0.054	Acid-resistance membrane protein (Putative HdeD protein)	 
HDFR_ECOLI	C6EG46_ECOBD		 	"GO:0003677; GO:0045892; GO:0003700; GO:0006350"	A			0	0	0	0		CYT 		0	0.00	0.00		0	21	0.145	HTH-type transcriptional regulator hdfR (H-NS-dependent flhDC regulator)	 
HEMX_ECOLI	C6EG12_ECOBD		 	GO:0004851	B	SEC		0	0	0	0		CYT 		1	22.49	22.49		1	49	0.099	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	 
HHA_ECOLI	C6EL04_ECOBD		 		A			0	0	0	0		CYT 		0	0.00	0.00		0	7	0.055	Hemolysin expression modulating family protein (Modulator of gene expression, with H-NS)	 
HIPA_ECOLI	C6EEL1_ECOBD		 		A			0	0	0	0		CYT 		0	0.29	0.00		0	36	0.133	HipA N-terminal domain protein (Regulator with hipB)	 
HIPB_ECOLI	C6EEL0_ECOBD		 	GO:0043565	A			0	0	0	0		CYT 		0	0.00	0.00		0	32	0.133	DNA-binding transcriptional regulator (Transcriptional regulator, XRE family)	 
HIS2_ECOLI	C6EB59_ECOBD	Cytoplasm. 	 	"GO:0005737; GO:0000105; GO:0004635; GO:0004636"	A			0	0	0	0		CYT 		0	0.05	0.05		0	11	0.107	Bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase protein (EC 3.5.4.19) (EC 3.6.1.31) (Phosphoribosyl-ATP diphosphatase)	 
HIS4_ECOLI	C6EB61_ECOBD	Cytoplasm. 	 	"GO:0003949; GO:0005737; GO:0000105"	A			0	0	0	0		CYT 		0	0.00	0.00		0	5	0.030	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	 
HISM_ECOLI	C6ELE6_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		0	0	0	0		TMH 	10.182	4	98.02	25.89		3	41	0.107	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	 
HISQ_ECOLI	C6ELE5_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0016021; GO:0005886; GO:0005215"	B	SEC		0	0	0	0		TMH 	6.174	5	106.33	27.32		5	50	0.065	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	 
HOA_ECOLI	C6ELM8_ECOBD		 	"GO:0008701; GO:0019439"	A			0	0	0	0		CYT 		0	0.03	0.00		0	14	0.032	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)	 
HOFC_ECOLI	C6EAV1_ECOBD	"Membrane; Multi-pass membrane protein. "	 	"GO:0016021; GO:0015628; GO:0008565; GO:0015627"	B	SEC		0	0	36	0		CYT 		3	69.95	0.01		4	49	0.095	Assembly protein in type IV pilin biogenesis, transmembrane protein (Type II secretion system protein)	 
HOLA_ECOLI	C6EK53_ECOBD		 	"GO:0003677; GO:0009360; GO:0006260; GO:0003887"	A			0	0	12	0		CYT 		0	0.00	0.00		0	19	0.051	DNA polymerase III subunit delta (EC 2.7.7.7) (DNA polymerase III, delta subunit) (EC 2.7.7.7)	 
HOLB_ECOLI	C6EGZ3_ECOBD		 	"GO:0008408; GO:0003677; GO:0009360; GO:0006260; GO:0003887"	A			0	0	0	0		CYT 		0	0.05	0.03		0	31	0.084	DNA polymerase III subunit delta' (EC 2.7.7.7) (DNA polymerase III, delta prime subunit) (EC 2.7.7.7)	 
HOLD_ECOLI	C6EBK0_ECOBD		 	"GO:0008408; GO:0006260; GO:0003887"	A			0	0	0	0		CYT 		0	0.04	0.04		0	32	0.247	DNA polymerase III subunit psi (EC 2.7.7.7) (DNA polymerase III, psi subunit) (EC 2.7.7.7)	 
