Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location	Name	Accession	Comments	Description	Common Core	Category	Uniprot Subcellular Loci	EchoLOCATION	Total Len	1st Secr Sys	2nd Secr Sys	SignalP SP HMM	Smax HMM	SignalP SP NN	D-score NN	LipoP S	Peptidase	Score	Helixes Predicted	Expected No aas in helixes	Expected No aas in helixes in first 60 aas	Phobius Signal	Phobius TMHs	TatP Signal	TatP D-score
C6EEM3	ECBD_2145			ECBD_2145	C6EEM3_ECOBD		Inferred from homology	Peptidase M16 family	Peptidase M16 domain protein	"GO:0004222; GO:0006508; GO:0008270"	"Complete proteome; Signal"	927		PQQL_ECOLI	P31828	secreted periplasmic / peptidase	>P31828|PQQL_ECOLI Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2		G		Cytoplasmic	931	SEC		27	0.999	27	0.731	26	SpI 	5.541	1	19.95	19.95	26	0	26	0.110
C6EBZ9	prc ECBD_1810 ECD_01801	prc		ECBD_1810 ECD_01801	C6EBZ9_ECOBD		Inferred from homology	Peptidase S41A family	Carboxy-terminal protease for penicillin-binding protein 3 (EC 3.4.21.-) (Carboxyl-terminal protease) (EC 3.4.21.102)	"GO:0005515; GO:0006508; GO:0008236"	"Complete proteome; Hydrolase; Protease; Serine protease; Signal"	682		PRC_ECOLI	P23865		>P23865|PRC_ECOLI Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2	yes	F2	"Cell inner membrane; Peripheral membrane protein; Periplasmic side. "	Periplasmic >EXP<	682	SEC		23	1.000	23	0.679	22	SpI 	11.295	0	0.77	0.76	22	0	11	0.171
C6EE74	priA ECBD_4089 ECD_03820	priA		ECBD_4089 ECD_03820	C6EE74_ECOBD		Predicted		Primosomal protein N' (Primosome assembly protein PriA)	"GO:0005524; GO:0008026; GO:0003677; GO:0006260"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	732		PRIA_ECOLI	P17888		>P17888|PRIA_ECOLI Primosomal protein N' OS=Escherichia coli (strain K12) GN=priA PE=1 SV=2	yes	A		Cytoplasmic	732			0	0	0	0		CYT 		0	0.00	0.00		0	52	0.040
C6ECE8	priB ECBD_3833 ECD_04068	priB		ECBD_3833 ECD_04068	C6ECE8_ECOBD		Predicted		Primosomal replication protein N (Single-strand binding protein/Primosomal replication protein n)	GO:0003697	"Complete proteome; DNA-binding"	104		PRIB_ECOLI	P07013		>P07013|PRIB_ECOLI Primosomal replication protein n OS=Escherichia coli (strain K12) GN=priB PE=1 SV=3		A		Cytoplasmic	104			0	0	0	0		CYT 		0	0.00	0.00		0	13	0.110
C6EKZ7	priC ECBD_3189 ECD_00418	priC		ECBD_3189 ECD_00418	C6EKZ7_ECOBD		Predicted		Primosomal replication priB and priC (Primosomal replication protein N'')		Complete proteome	175		PRIC_ECOLI	P23862		>P23862|PRIC_ECOLI Primosomal replication protein N'' OS=Escherichia coli (strain K12) GN=priC PE=1 SV=3		A		Cytoplasmic	175			0	0	0	0		CYT 		0	0.00	0.00		0	34	0.069
C6EHS9	dnaG ECBD_0675 ECD_02936	dnaG		ECBD_0675 ECD_02936	C6EHS9_ECOBD		Inferred from homology		DNA primase	"GO:0003677; GO:0003896; GO:0006269; GO:0005658; GO:0006350; GO:0008270"	"Complete proteome; DNA replication; DNA-directed RNA polymerase; Metal-binding; Nucleotidyltransferase; Primosome; Transcription; Transferase; Zinc"	581		PRIM_ECOLI	P0ABS5		>P0ABS5|PRIM_ECOLI DNA primase OS=Escherichia coli (strain K12) GN=dnaG PE=1 SV=1	yes	B		Cytoplasmic	581	SEC		0	0	0	0		CYT 		0	0.01	0.00		0	46	0.056
C6EGK1	prmA ECBD_0486 ECD_03117	prmA		ECBD_0486 ECD_03117	C6EGK1_ECOBD	Cytoplasm. 	Inferred from homology	Methyltransferase superfamily, PrmA family	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	"GO:0008276; GO:0005840"	"Complete proteome; Cytoplasm; Methyltransferase; Ribonucleoprotein; Ribosomal protein; Transferase"	293		PRMA_ECOLI	P0A8T1	notes: Bernsel Theoretical but no predictions	>P0A8T1|PRMA_ECOLI Ribosomal protein L11 methyltransferase OS=Escherichia coli (strain K12) GN=prmA PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	293	SEC		0	0	16	0		CYT 		0	1.81	0.00		0	27	0.048
C6EA42	proA ECBD_3376 ECD_00240	proA		ECBD_3376 ECD_00240	C6EA42_ECOBD	Cytoplasm. 	Inferred from homology	Gamma-glutamyl phosphate reductase family	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)	"GO:0050661; GO:0005737; GO:0004350; GO:0055114; GO:0006561"	"Amino-acid biosynthesis; Complete proteome; Cytoplasm; NADP; Oxidoreductase; Proline biosynthesis"	417		PROA_ECOLI	P07004		>P07004|PROA_ECOLI Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	417			0	0	0	0		CYT 		0	0.00	0.00		0	8	0.099
C6EA43	proB ECBD_3377 ECD_00239	proB		ECBD_3377 ECD_00239	C6EA43_ECOBD	Cytoplasm. 	Inferred from homology	Glutamate 5-kinase family	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase)	"GO:0005524; GO:0003723; GO:0005737; GO:0004349; GO:0006561"	"ATP-binding; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Kinase; Nucleotide-binding; Proline biosynthesis; Transferase"	367		PROB_ECOLI	P0A7B5	notes: Bernsel Theoretical but no predictions	>P0A7B5|PROB_ECOLI Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1	yes	A	Cytoplasm. 	Cytoplasmic	367	SEC		0	0	0	0		CYT 		0	0.06	0.02		0	28	0.148
C6ED13	proP ECBD_3920 ECD_03982	proP		ECBD_3920 ECD_03982	C6ED13_ECOBD		Predicted		Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	"GO:0016021; GO:0055085; GO:0005215"	"Complete proteome; Membrane; Transmembrane"	500		PROP_ECOLI	P0C0L7		>P0C0L7|PROP_ECOLI Proline/betaine transporter OS=Escherichia coli (strain K12) GN=proP PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	500	SEC		0	0	0	0		CYT 		12	260.16	21.57		12	50	0.089
C6EBZ8	proQ ECBD_1809 ECD_01802	proQ		ECBD_1809 ECD_01802	C6EBZ8_ECOBD	Cytoplasm. 	Inferred from homology		ProQ activator of osmoprotectant transporter ProP (Putative solute/DNA competence effector)	GO:0005737	"Complete proteome; Cytoplasm"	232		PROQ_ECOLI	P45577		>P45577|PROQ_ECOLI ProP effector OS=Escherichia coli (strain K12) GN=proQ PE=1 SV=2		A	Cytoplasm. 	Cytoplasmic	232			0	0	0	0		CYT 		0	0.00	0.00		0	17	0.111
C6EJU8	proV ECBD_1042 ECD_02533	proV		ECBD_1042 ECD_02533	C6EJU8_ECOBD		Predicted	ABC transporter superfamily	Glycine betaine transporter subunit (Glycine betaine/L-proline ABC transporter, ATPase subunit)	"GO:0005524; GO:0016887; GO:0015171; GO:0016020"	"ATP-binding; Complete proteome; Nucleotide-binding"	400		PROV_ECOLI	P14175		>P14175|PROV_ECOLI Glycine betaine/L-proline transport ATP-binding protein proV OS=Escherichia coli (strain K12) GN=proV PE=1 SV=1	yes	F1	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	400			0	0	0	0		CYT 		0	0.16	0.00		0	47	0.032
C6EJU7	proW ECBD_1041 ECD_02534	proW		ECBD_1041 ECD_02534	C6EJU7_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	"GO:0016021; GO:0005886; GO:0005215"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	354		PROW_ECOLI	P14176		>P14176|PROW_ECOLI Glycine betaine/L-proline transport system permease protein proW OS=Escherichia coli (strain K12) GN=proW PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	354	SEC		0	0	0	0		CYT 		6	135.43	0.00		6	23	0.262
C6EJU6	proX ECBD_1040 ECD_02535	proX		ECBD_1040 ECD_02535	C6EJU6_ECOBD		Predicted		Glycine betaine transporter subunit (Substrate-binding region of ABC-type glycine betaine transport system)	"GO:0005488; GO:0005215"	"Complete proteome; Signal"	330		PROX_ECOLI	P0AFM2		>P0AFM2|PROX_ECOLI Glycine betaine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=proX PE=1 SV=1	yes	G	Periplasm. 	Periplasmic >EXP<	330	SEC		22	1.000	22	0.840	21	SpI 	16.957	0	1.96	1.95	21	0	21	0.156
C6ELI2	proY ECBD_3259 ECD_00350	proY		ECBD_3259 ECD_00350	C6ELI2_ECOBD		Predicted		Amino acid permease-associated region (Predicted cryptic proline transporter)	"GO:0015171; GO:0016021"	"Complete proteome; Membrane; Signal; Transmembrane"	457		PROY_ECOLI	P0AAE2		>P0AAE2|PROY_ECOLI Proline-specific permease proY OS=Escherichia coli (strain K12) GN=proY PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	457	SEC		0	0.977	0	0		TMH 	6.323	12	260.80	37.70		12	36	0.437
C6EBZ1	pphA ECBD_1802 ECD_01809	pphA		ECBD_1802 ECD_01809	C6EBZ1_ECOBD		Predicted		Bis(5'nucleosyl)-tetraphosphatase, ApaH (Serine/threonine-specific protein phosphatase 1) (EC 3.1.3.16)	GO:0004721	"Complete proteome; Hydrolase"	218		PRP1_ECOLI	P55798		>P55798|PRP1_ECOLI Serine/threonine-protein phosphatase 1 OS=Escherichia coli (strain K12) GN=pphA PE=1 SV=1	yes	A		Cytoplasmic	218			0	0	0	0		CYT 		0	0.04	0.00		0	12	0.053
C6EJD3	pphB ECBD_0990 ECD_02584	pphB		ECBD_0990 ECD_02584	C6EJD3_ECOBD		Predicted		Metallophosphoesterase (Serine/threonine-specific protein phosphatase 2) (EC 3.1.3.16)	GO:0004721	"Complete proteome; Hydrolase"	218		PRP2_ECOLI	P55799		>P55799|PRP2_ECOLI Serine/threonine-protein phosphatase 2 OS=Escherichia coli (strain K12) GN=pphB PE=1 SV=1	yes	A		Cytoplasmic	218			0	0	0	0		CYT 		0	0.03	0.00		0	11	0.040
C6ELP9	prpB ECBD_3326 ECD_00286	prpB		ECBD_3326 ECD_00286	C6ELP9_ECOBD		Predicted		2-methylisocitrate lyase (EC 4.1.3.30) (Methylisocitrate lyase)	GO:0046421	"Complete proteome; Lyase"	296		PRPB_ECOLI	P77541		>P77541|PRPB_ECOLI Methylisocitrate lyase OS=Escherichia coli (strain K12) GN=prpB PE=1 SV=3	yes	B		Cytoplasmic	296	SEC		0	0	0	0		CYT 		0	0.27	0.22		0	50	0.136
C6ELP7	prpC ECBD_3324 ECD_00287	prpC		ECBD_3324 ECD_00287	C6ELP7_ECOBD		Inferred from homology	Citrate synthase family	2-methylcitrate synthase (EC 2.3.3.1) (2-methylcitrate synthase/citrate synthase II) (EC 2.3.3.5)	"GO:0050440; GO:0008415; GO:0044262; GO:0004108; GO:0005737; GO:0006099"	"Acyltransferase; Complete proteome; Transferase"	389		PRPC_ECOLI	P31660		>P31660|PRPC_ECOLI 2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2	yes	A		Cytoplasmic	389			0	0	0	0		CYT 		0	2.18	0.03		0	27	0.136
C6ELP6	prpD ECBD_3323 ECD_00288	prpD		ECBD_3323 ECD_00288	C6ELP6_ECOBD		Predicted		2-methylcitrate dehydratase (EC 4.2.1.79)	"GO:0051537; GO:0047547; GO:0019629"	"Complete proteome; Lyase"	483		PRPD_ECOLI	P77243		>P77243|PRPD_ECOLI 2-methylcitrate dehydratase OS=Escherichia coli (strain K12) GN=prpD PE=1 SV=3	yes	A		Cytoplasmic	483			0	0	0	0		CYT 		0	0.04	0.00		0	3	0.045
C6ELP5	prpE ECBD_3322 ECD_00289	prpE		ECBD_3322 ECD_00289	C6ELP5_ECOBD		Predicted		Predicted propionyl-CoA synthetase with ATPase domain (Propionate/CoA ligase)	"GO:0019629; GO:0050218"	"Complete proteome; Ligase"	628		PRPE_ECOLI	P77495		>P77495|PRPE_ECOLI Propionate--CoA ligase OS=Escherichia coli (strain K12) GN=prpE PE=3 SV=1	yes	A		Cytoplasmic	628			0	0	0	0		CYT 		0	4.19	0.00		0	18	0.117
C6ELQ0	prpR ECBD_3327 ECD_00285	prpR		ECBD_3327 ECD_00285	C6ELQ0_ECOBD		Predicted		DNA-binding transcriptional activator (Proprionate catabolism activator, Fis family)	"GO:0005524; GO:0003677; GO:0005737; GO:0017111; GO:0019629; GO:0006355; GO:0003700; GO:0006350; GO:0008134; GO:0000156; GO:0000160"	"ATP-binding; Amyloid; Complete proteome; DNA-binding; Nucleotide-binding; Prion; Transcription; Transcription regulation"	528		PRPR_ECOLI	P77743		>P77743|PRPR_ECOLI Propionate catabolism operon regulatory protein OS=Escherichia coli (strain K12) GN=prpR PE=1 SV=1	yes	A		Cytoplasmic	528			0	0	0	0		CYT 		0	0.03	0.00		0	2	0.041
C6ECW5	psd ECBD_3871 ECD_04030	psd		ECBD_3871 ECD_04030	C6ECW5_ECOBD		Inferred from homology	Phosphatidylserine decarboxylase family, Type 1 subfamily	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65)	"GO:0004609; GO:0008654"	"Complete proteome; Decarboxylase; Lyase; Phospholipid biosynthesis; Pyruvate; Zymogen"	322		PSD_ECOLI	P0A8K1		>P0A8K1|PSD_ECOLI Phosphatidylserine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=psd PE=1 SV=1	yes	F1	"Cell membrane; Peripheral membrane protein. "	Cytoplasmic >EXP<	322			0	0	0	0		CYT 		0	0.70	0.03		0	32	0.190
C6EDZ3	yjbA ECBD_4006 ECD_03902	yjbA		ECBD_4006 ECD_03902	C6EDZ3_ECOBD		Predicted		Phosphate-starvation-inducible E (Phosphate-starvation-inducible protein PsiE)	"GO:0016036; GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix"	136		PSIE_ECOLI	P0A7C8		>P0A7C8|PSIE_ECOLI Protein psiE OS=Escherichia coli (strain K12) GN=psiE PE=1 SV=1		B	"Cell inner membrane; Multi-pass membrane protein. "	-	136	SEC		0	0	0	0		TMH 	4.003	4	83.59	27.35		4	43	0.053
C6ELK3	psiF ECBD_3280 ECD_00331	psiF		ECBD_3280 ECD_00331	C6ELK3_ECOBD		Predicted		PsiF repeat protein (Putative uncharacterized protein psiF)		"Complete proteome; Signal"	106		PSIF_ECOLI	P0AFM4		>P0AFM4|PSIF_ECOLI Phosphate starvation-inducible protein psiF OS=Escherichia coli (strain K12) GN=psiF PE=1 SV=1		G		Periplasmic	106	SEC		22	1.000	22	0.827	21	SpI 	13.709	1	19.21	19.21	21	0	44	0.099
C6EFS9	pspF ECBD_2314 ECD_01280	pspF		ECBD_2314 ECD_01280	C6EFS9_ECOBD		Predicted		DNA-binding transcriptional activator (Sigma 54 specific transcriptional activator, PspF, Fis family)	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0008134"	"ATP-binding; Complete proteome; DNA-binding; Nucleotide-binding; Transcription; Transcription regulation"	325		PSPF_ECOLI	P37344		>P37344|PSPF_ECOLI Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2	yes	A	Cytoplasm. 	Cytoplasmic	325			0	0	0	0		CYT 		0	0.00	0.00		0	4	0.097
C6EK01	pssA ECBD_1095 ECD_02479	pssA		ECBD_1095 ECD_02479	C6EK01_ECOBD		Predicted		Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	"GO:0003882; GO:0008654"	"Complete proteome; Repeat; Transferase"	451		PSS_ECOLI	P23830	location: peripheral inner membrane protein- cyto side ref: (http://www.uniprot.org/uniprot/P0A8Z3)	>P23830|PSS_ECOLI CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2		F1	"Cytoplasm. Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Cytoplasmic	451			0	0	0	0		CYT 		0	0.00	0.00		0	15	0.128
C6EG77	pstA ECBD_4306 ECD_03610	pstA		ECBD_4306 ECD_03610	C6EG77_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	Phosphate ABC transporter, inner membrane subunit PstA (Phosphate transporter subunit)	"GO:0005315; GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	296		PSTA_ECOLI	P07654		>P07654|PSTA_ECOLI Phosphate transport system permease protein pstA OS=Escherichia coli (strain K12) GN=pstA PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	296	SEC		0	0	0	0		TMH 	14.905	6	131.62	22.64		6	38	0.298
C6EG78	pstB ECBD_4307 ECD_03609	pstB		ECBD_4307 ECD_03609	C6EG78_ECOBD		Inferred from homology	ABC transporter superfamily	Phosphate ABC transporter, ATPase subunit (Phosphate transporter subunit)	"GO:0005524; GO:0005315; GO:0015415; GO:0005886"	"ATP-binding; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Phosphate transport; Transport"	257		PSTB_ECOLI	P0AAH0	were identified as peripheral membrane proteins http://ukpmc.ac.uk/articlerender.cgi?artid=392647 >P0AAH0|PSTB_ECOLI Phosphate import ATP-binding protein pstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2	>P0AAH0|PSTB_ECOLI Phosphate import ATP-binding protein pstB OS=Escherichia coli (strain K12) GN=pstB PE=1 SV=2	yes	F1	"Cell inner membrane; Peripheral membrane protein. "	Cytoplasmic	257			0	0	0	0		CYT 		0	0.00	0.00		0	54	0.084
C6EG76	pstC ECBD_4305 ECD_03611	pstC		ECBD_4305 ECD_03611	C6EG76_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology	Binding-protein-dependent transport system permease family	Phosphate ABC transporter, inner membrane subunit PstC (Phosphate transporter subunit)	"GO:0005315; GO:0016021; GO:0005886"	"Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport"	319		PSTC_ECOLI	P0AGH8	were identified as peripheral membrane proteins http://ukpmc.ac.uk/articlerender.cgi?artid=392647	>P0AGH8|PSTC_ECOLI Phosphate transport system permease protein pstC OS=Escherichia coli (strain K12) GN=pstC PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein	319	SEC		0	0	26	0		TMH 	4.750	6	143.49	23.18		6	49	0.067
C6EG75	pstS ECBD_4304 ECD_03612	pstS		ECBD_4304 ECD_03612	C6EG75_ECOBD		Predicted		Phosphate ABC transporter, periplasmic phosphate-binding protein (Phosphate transporter subunit)	GO:0005315	"Complete proteome; Signal"	346		PSTS_ECOLI	P0AG82		>P0AG82|PSTS_ECOLI Phosphate-binding protein pstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	yes	G	Periplasm. 	Periplasmic >EXP<	346	SEC		26	1.000	26	0.734	25	SpI 	23.905	1	18.62	17.41	25	0	34	0.308
C6EAE8	yeiN psuG ECBD_1493 ECD_02094	yeiN	psuG	ECBD_1493 ECD_02094	C6EAE8_ECOBD		Inferred from homology	Pseudouridine-5'-phosphate glycosidase family	Pseudouridine-5'-phosphate glycosidase (PsiMP glycosidase) (EC 3.2.-.-)	GO:0016798	"Complete proteome; Glycosidase; Hydrolase; Metal-binding"	312		PSUG_ECOLI	P33025		>P33025|PSUG_ECOLI Pseudouridine-5'-phosphate glycosidase OS=Escherichia coli (strain K12) GN=psuG PE=1 SV=1		B		Cytoplasmic	312	SEC		0	0	46	0		CYT 		0	3.01	0.00		0	45	0.039
C6EAE7	yeiC ECBD_1492 ECD_02095	yeiC		ECBD_1492 ECD_02095	C6EAE7_ECOBD		Predicted		PfkB domain protein (Predicted kinase)	GO:0016301	"Complete proteome; Kinase; Transferase"	313		PSUK_ECOLI	P30235		>P30235|PSUK_ECOLI Pseudouridine kinase OS=Escherichia coli (strain K12) GN=psuK PE=1 SV=2		A		Cytoplasmic	313			0	0	0	0		CYT 		0	0.07	0.03		0	59	0.085
C6EAE9	yeiM ECBD_1494 ECD_02093	yeiM		ECBD_1494 ECD_02093	C6EAE9_ECOBD		Predicted		Nucleoside transporter (Predicted nucleoside transporter)	"GO:0016020; GO:0001882; GO:0005415"	"Complete proteome; Signal"	416		PSUT_ECOLI	P33024		>P33024|PSUT_ECOLI Putative pseudouridine transporter OS=Escherichia coli (strain K12) GN=psuT PE=1 SV=1	yes	B	"Cell inner membrane; Multi-pass membrane protein. "	Integral Membrane Protein >EXP<	416	SEC		25	0.674	13	0		TMH 	2.444	8	204.60	39.95		10	55	0.187
C6EL61	ptsI ECBD_1265 ECD_02316	ptsI		ECBD_1265 ECD_02316	C6EL61_ECOBD		Inferred from homology		PEP-protein phosphotransferase of PTS system (Enzyme I) (EC 2.7.3.9) (Phosphoenolpyruvate-protein phosphotransferase)	"GO:0005737; GO:0016301; GO:0046872; GO:0009401; GO:0008965; GO:0005351"	"Complete proteome; Kinase; Magnesium; Metal-binding; Pyruvate; Transferase"	575		PT1_ECOLI	P08839	" ""location: peripheral inner membrane protein facing the cytoplasm notes: refs: (http://www.ncbi.nlm.nih.gov/pubmed/2644649) """"Localization to the inner surface of the cytoplasmic membrane by immunoelectron microscopy of enzyme I of the phosphoenolpyruvate:sugar phosphotransferase system of Escherichia coli."""""""	>P08839|PT1_ECOLI Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1		F1	Cytoplasm. 	Cytoplasmic	575			0	0	0	0		CYT 		0	0.08	0.00		0	50	0.053
C6EJ40	ptsP ECBD_0896 ECD_02677	ptsP		ECBD_0896 ECD_02677	C6EJ40_ECOBD		Inferred from homology		Fused PTS enzyme: PEP-protein phosphotransferase (Enzyme I)/GAF domain containing protein (EC 2.7.3.9) (PTSINtr with GAF domain, PtsP)	"GO:0005737; GO:0016301; GO:0046872; GO:0009401; GO:0008965; GO:0005351"	"Complete proteome; Kinase; Magnesium; Metal-binding; Transferase"	748		PT1P_ECOLI	P37177	Phosphoenolpyruvate-protein phosphotransferase ptsP location: peripheral inner membrane protein facing the cytoplasm (potential) notes: refs:	>P37177|PT1P_ECOLI Phosphoenolpyruvate-protein phosphotransferase ptsP OS=Escherichia coli (strain K12) GN=ptsP PE=3 SV=2	yes	F1	Cytoplasm. 	Cytoplasmic	748			0	0	0	0		CYT 		0	0.88	0.43		0	15	0.077
C6ELF6	pta ECBD_1362 ECD_02222	pta		ECBD_1362 ECD_02222	C6ELF6_ECOBD		Predicted		Phosphate acetyltransferase	GO:0016407	"Acyltransferase; Complete proteome; Transferase"	714		PTA_ECOLI	P0A9M8		>P0A9M8|PTA_ECOLI Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2	yes	B	Cytoplasm. 	Cytoplasmic	714	SEC		0	0	0	0	22	SpI 	1.307	0	9.63	7.84	22	0	41	0.190
C6EEZ9	frvA ECBD_4125 ECD_03785	frvA		ECBD_4125 ECD_03785	C6EEZ9_ECOBD		Predicted		Predicted enzyme IIA component of PTS (EC 2.7.1.69) (Putative PTS IIA-like nitrogen-regulatory protein PtsN)	"GO:0016021; GO:0009401; GO:0008982; GO:0005351"	"Complete proteome; Transferase"	148		PTFA_ECOLI	P32155	" ""Fructose-like phosphotransferase enzyme IIA component location: peripheral inner membrane protein facing the cytoplasm (potential) notes: refs: """"Novel phosphotransferase system genes revealed by bacterial genome analysis--a gene cluster encoding a unique Enzyme I and the proteins of a fructose-like permease system."""""""	>P32155|PTFA_ECOLI Fructose-like phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=frvA PE=1 SV=2		F1	Cytoplasm. 	Cytoplasmic	148			0	0	0	0		CYT 		0	0.06	0.05		0	28	0.086
C6EA29	fruB ECBD_1489 ECD_02098	fruB		ECBD_1489 ECD_02098	C6EA29_ECOBD		Predicted		Fused fructose-specific PTS enzymes: IIA component/HPr component (EC 2.7.1.69) (Phosphocarrier, HPr family) (EC 2.7.1.69)	"GO:0005737; GO:0016301; GO:0009401; GO:0008982; GO:0005351"	"Complete proteome; Cytoplasm; Kinase; Phosphotransferase system; Transferase"	376		PTFAH_ECOLI	P69811	Peripheral IM Peri side ref - Anna Lopez 2005 http://www.mcponline.org/content/4/8/1205.abstract - ref: Reizer,J.,Reizer,A.,Kornberg,H.L.and,Saier,M.H.,Jr.(1994) Sequence of the fruB gene of Escherichia coli location: peripheral inner membrane protein facing the cytoplasm (potential) notes: refs:	>P69811|PTFAH_ECOLI Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) GN=fruB PE=1 SV=1	yes	F1	Cytoplasm. 	Cytoplasmic >EXP<	376			0	0	0	0		CYT 		0	0.00	0.00		0	45	0.057
C6EL81	ypdH ECBD_1285 ECD_02297	ypdH		ECBD_1285 ECD_02297	C6EL81_ECOBD		Predicted		PTS system, fructose-specific, IIB subunnit (Predicted enzyme IIB component of PTS)	"GO:0016020; GO:0009401; GO:0008982; GO:0005351"	"Complete proteome; Signal; Transferase; Transport"	108		PTFB1_ECOLI	P69808		>P69808|PTFB1_ECOLI Fructose-like phosphotransferase enzyme IIB component 1 OS=Escherichia coli (strain K12) GN=fryB PE=3 SV=1	yes	G	Cytoplasm. 	-	108	SEC		25	1.000	25	0.573	21	SpI 	11.398	0	0.93	0.93	24	0	28	0.052
C6EE59	frwB ECBD_4074 ECD_03835	frwB		ECBD_4074 ECD_03835	C6EE59_ECOBD		Predicted		PTS system, fructose-specific, IIB subunnit (EC 2.7.1.69) (Predicted enzyme IIB component of PTS) (EC 2.7.1.69)	"GO:0016020; GO:0009401; GO:0008982; GO:0005351"	"Complete proteome; Signal; Transferase; Transport"	106		PTFB2_ECOLI	P69816	Peripheral inner membrane cyto side	>P69816|PTFB2_ECOLI Fructose-like phosphotransferase enzyme IIB component 2 OS=Escherichia coli (strain K12) GN=frwB PE=1 SV=1	yes	F1	Cytoplasm. 	Cytoplasmic	106			21	0.962	21	0	20	SpI 	4.626	0	0.09	0.09		0	30	0.094
C6EE56	frwD ECBD_4071 ECD_03838	frwD		ECBD_4071 ECD_03838	C6EE56_ECOBD		Predicted		PTS system, fructose-specific, IIB subunnit (EC 2.7.1.69) (Predicted enzyme IIB component of PTS) (EC 2.7.1.69)	"GO:0016020; GO:0009401; GO:0008982; GO:0005351"	"Complete proteome; Signal; Transferase; Transport"	113		PTFB3_ECOLI	P32676	Peripheral inner membrane cyto side	>P32676|PTFB3_ECOLI Fructose-like phosphotransferase enzyme IIB component 3 OS=Escherichia coli (strain K12) GN=frwD PE=3 SV=1	yes	F1	Cytoplasm. 	Cytoplasmic	113			21	0.825	21	0		CYT 		0	3.65	3.64	17	0	50	0.027
