Reference Locus	Reference Common Name	Comparison Locus	Comparison Common Name	Percent Similarity	
b2976	malate synthase G	ECBD_0763	malate synthase G	98.20	
b0543	methylviologen resistance	ECBD_3115	small multidrug resistance protein	98.18	
b0193	orf, hypothetical protein	ECBD_3425	putative lipoprotein	98.17	
b1460	putative receptor	ECBD_3404	transposase IS4 family protein	98.14	
b1460	putative receptor	ECBD_0256	transposase IS4 family protein	98.14	
b4150	beta-lactamase; penicillin resistance	ECBD_3879	Beta-lactamase	98.14	
b1687	putative oxidase	ECBD_1959	FAD linked oxidase domain protein	98.13	
b1383	orf, hypothetical protein	ECBD_2240	conserved hypothetical protein	98.13	
b2051	GDP-mannose mannosyl hydrolase	ECBD_1604	NUDIX hydrolase	98.12	
b0955	putative ATP-dependent protease	ECBD_2640	putative ATP-dependent protease	98.12	
b0142	7,8-dihydro-6-hydroxymethylpterin- pyrophosphokinase	ECBD_3477	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	98.11	
b3114	probable formate acetyltransferase 3	ECBD_0626	formate acetyltransferase	98.11	
b0439	DNA-binding, ATP-dependent protease La; heat shock K-protein	ECBD_3216	ATP-dependent protease La	98.08	
b4291	outer membrane receptor; citrate-dependent iron transport, outer membrane receptor	ECBD_3747	TonB-dependent siderophore receptor	98.06	
b0002	aspartokinase I, homoserine dehydrogenase I	ECBD_3616	aspartate kinase	98.04	
b2230	orf, hypothetical protein	ECBD_1430	uncharacterized protein YfaA	98.04	
b3596	orf, hypothetical protein	ECBD_0134	conserved hypothetical protein	98.03	
b2265	isochorismate hydroxymutase 2, menaquinone biosynthesis	ECBD_1393	isochorismate synthase	98.03	
b3438	regulator of gluconate (gnt) operon	ECBD_0305	transcriptional regulator, LacI family	98.02	
b3878	putative glycosidase	ECBD_4149	alpha-glucosidase	98.01	
b1888	sensory transducer kinase between chemo- signal receptors and CheB and CheY	ECBD_1750	CheA signal transduction histidine kinase	98.01	
b0799	probably ATP-dependent helicase	ECBD_2824	helicase c2	98.00	
b3650	(p)ppGpp synthetase II; also guanosine-3,5-bis pyrophosphate 3-pyrophosphohydrolase	ECBD_0075	(p)ppGpp synthetase I, SpoT/RelA	98.00	
b2214	orf, hypothetical protein	ECBD_1445	ApbE family lipoprotein	98.00	
b0014	chaperone Hsp70; DNA biosynthesis; autoregulated heat shock proteins	ECBD_3605	chaperone protein DnaK	98.00	
b2973	orf, hypothetical protein	ECBD_0765	lipoprotein AcfD-like protein	97.99	
b3365	nitrite reductase (NAD(P)H) subunit	ECBD_0383	nitrite reductase (NAD(P)H), large subunit	97.99	
b2784	(p)ppGpp synthetase I (GTP pyrophosphokinase); regulation of RNA synthesis; stringent factor	ECBD_0945	(p)ppGpp synthetase I, SpoT/RelA	97.98	
b3814	orf, hypothetical protein	ECBD_4226	periplasmic protein	97.97	
b3407	orf, hypothetical protein	ECBD_0338	RNA binding S1 domain protein	97.97	
b1430	tellurite resistance	ECBD_2210	tellurite resistance protein TehB	97.96	
b2501	polyphosphate kinase	ECBD_1187	Polyphosphate kinase	97.96	
b0644	orf, hypothetical protein	ECBD_3007	Sel1 domain protein repeat-containing protein	97.95	
b2420	orf, hypothetical protein	ECBD_1261	WGR domain protein	97.95	
b2685	multidrug resistance secretion protein	ECBD_1035	efflux pump membrane protein	97.94	
b3846	4-enzyme protein: 3-hydroxyacyl-CoA dehydrogenase; 3-hydroxybutyryl-CoA epimerase; delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase; enoyl-CoA hydratase	ECBD_4179	fatty oxidation complex, alpha subunit FadB	97.94	
b2395	orf, hypothetical protein	ECBD_1279	diguanylate cyclase/phosphodiesterase	97.94	
b3030	DNA topoisomerase IV subunit B	ECBD_0709	DNA topoisomerase IV, B subunit	97.93	
b4014	malate synthase A	ECBD_4023	malate synthase A	97.93	
b1982	AMP nucleosidase	ECBD_1664	AMP nucleosidase	97.93	
b0335	putative propionyl-CoA synthetase	ECBD_3322	propionate/CoA ligase	97.92	
b0532	putative outer membrane protein, export function	ECBD_3126	fimbrial biogenesis outer membrane usher protein	97.92	
b0549	orf, hypothetical protein	ECBD_3108	protein of unknown function DUF1364	97.91	
b0815	putative enzyme	ECBD_2808	sulfatase	97.91	
b0319	orf, hypothetical protein	ECBD_3338	conserved hypothetical protein	97.90	
b0871	pyruvate oxidase	ECBD_2723	thiamine pyrophosphate protein TPP binding domain protein	97.90	
b0098	preprotein translocase; secretion protein	ECBD_3519	preprotein translocase, SecA subunit	97.89	
b2721	large subunit of hydrogenase 3 (part of FHL complex)	ECBD_1004	NADH dehydrogenase (ubiquinone) 30 kDa subunit	97.89	
b2935	transketolase 1 isozyme	ECBD_0803	transketolase	97.88	
b0925	putative amidase	ECBD_2670	ErfK/YbiS/YcfS/YnhG family protein	97.88	
b2846	orf, hypothetical protein	ECBD_0876	conserved hypothetical protein	97.88	
b3396	peptidoglycan synthetase; penicillin-binding protein 1A	ECBD_0351	penicillin-binding protein, 1A family	97.88	
b0645	orf, hypothetical protein	ECBD_3005	protein of unknown function DUF1266	97.87	
b3019	DNA topoisomerase IV subunit A	ECBD_0720	DNA topoisomerase IV, A subunit	97.87	
b2373	putative enzyme	ECBD_1299	oxalyl-CoA decarboxylase	97.87	
b3729	L-glutamine:D-fructose-6-phosphate aminotransferase	ECBD_4303	glucosamine/fructose-6-phosphate aminotransferase, isomerizing	97.86	
b1498	putative sulfatase	ECBD_2141	sulfatase	97.85	
b2502	exopolyphosphatase	ECBD_1186	Ppx/GppA phosphatase	97.85	
b2898	orf, hypothetical protein	ECBD_0839	folate-binding protein YgfZ	97.85	
b2043	orf, hypothetical protein	ECBD_1612	conserved hypothetical protein	97.84	
b3905	positive regulator for rhaBAD operon	ECBD_4118	transcriptional regulator, AraC family	97.84	
b2226	orf, hypothetical protein	ECBD_1433	conserved hypothetical protein	97.81	
b0507	glyoxylate carboligase	ECBD_3150	glyoxylate carboligase	97.80	
b1102	outer membrane receptor for ferric iron uptake	ECBD_2499	TonB-dependent siderophore receptor	97.80	
b3835	orf, hypothetical protein	ECBD_4188	2-polyprenylphenol 6-hydroxylase	97.80	
b3403	phosphoenolpyruvate carboxykinase	ECBD_0342	phosphoenolpyruvate carboxykinase (ATP)	97.77	
b3404	protein histidine kinase/phosphatase sensor for OmpR, modulates expression of ompF and ompC	ECBD_0341	histidine kinase	97.77	
b1777	orf, hypothetical protein	ECBD_1867	protein of unknown function DUF1315	97.77	
b3720	putative receptor protein	ECBD_4312	porin LamB type	97.76	
b1329	putative transport periplasmic protein	ECBD_2287	extracellular solute-binding protein family 5	97.76	
b3066	DNA biosynthesis; DNA primase	ECBD_0675	DNA primase	97.76	
b3212	glutamate synthase, large subunit	ECBD_0530	Glutamate synthase (ferredoxin)	97.75	
b4016	isocitrate dehydrogenase kinase/phosphatase	ECBD_4021	(Isocitrate dehydrogenase (NADP(+))) kinase	97.75	
b2965	ornithine decarboxylase isozyme	ECBD_0772	Ornithine decarboxylase	97.74	
b0612	putative a membrane protein	ECBD_3040	anion transporter	97.74	
b2366	D-serine dehydratase (deaminase)	ECBD_1306	D-serine ammonia-lyase	97.73	
b0580	orf, hypothetical protein	ECBD_3082	uncharacterized protein YbdJ	97.72	
b1673	orf, hypothetical protein	ECBD_1972	Aldehyde ferredoxin oxidoreductase	97.71	
b0074	2-isopropylmalate synthase	ECBD_3542	2-isopropylmalate synthase	97.70	
b3442	orf, hypothetical protein	ECBD_0300	type VI secretion system effector, Hcp1 family	97.70	
b0255	IS911 hypothetical protein, variant (IS911A)	ECBD_3759	transposase IS3/IS911 family protein	97.67	
b1259	orf, hypothetical protein	ECBD_2589	uncharacterized protein YmdF	97.67	
b1845	protease II	ECBD_1795	Oligopeptidase B	97.66	
b4133	transcriptional activator of cad operon	ECBD_3897	transcriptional regulator, CadC	97.65	
b0873	putative prismane	ECBD_2721	Prismane	97.63	
b4193	orf, hypothetical protein	ECBD_3841	putative sugar-specific permease SgaT/UlaA	97.63	
b3519	cytoplasmic trehalase	ECBD_0220	Alpha,alpha-trehalase	97.63	
b2210	orf, hypothetical protein	ECBD_1449	malate/quinone oxidoreductase	97.62	
b3778	rep helicase, a single-stranded DNA dependent ATPase	ECBD_4262	ATP-dependent DNA helicase Rep	97.62	
b0951	paraquat-inducible protein B	ECBD_2644	Mammalian cell entry related domain protein	97.61	
b3657	putative permease	ECBD_0067	sugar (Glycoside-Pentoside-Hexuronide) transporter	97.60	
b0988	IS1 protein InsB	ECBD_3270	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3684	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3724	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3033	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_0100	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3595	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3050	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_1547	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3104	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_2481	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_1568	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3741	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_1627	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3689	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3079	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_3298	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_1443	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_0928	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_2222	IS1 transposase	97.60	
b0988	IS1 protein InsB	ECBD_2355	IS1 transposase	97.60	
b2241	sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit	ECBD_1419	glycerol-3-phosphate dehydrogenase, anaerobic, A subunit	97.60	
b4111	low-affinity transport system; proline permease II	ECBD_3920	metabolite/H+ symporter, major facilitator superfamily (MFS)	97.59	
b1814	L-serine deaminase	ECBD_1828	L-serine dehydratase 1	97.57	
b2392	putative transport system permease	ECBD_1281	Mn2+/Fe2+ transporter, NRAMP family	97.57	
b1451	putative outer membrane receptor for iron transport	ECBD_2188	TonB-dependent receptor	97.57	
b0895	anaerobic dimethyl sulfoxide reductase subunit B	ECBD_2057	dimethylsulfoxide reductase, chain B	97.56	
b1589	putative oxidoreductase, Fe-S subunit	ECBD_2700	dimethylsulfoxide reductase, chain B	97.56	
b0967	putative oxidoreductase	ECBD_2627	Protein of unknown function methylase putative	97.54	
b3822	ATP-dependent DNA helicase	ECBD_4216	ATP-dependent DNA helicase, RecQ family	97.54	
b1634	putative transport protein	ECBD_2009	amino acid/peptide transporter	97.53	
b4263	orf, hypothetical protein	ECBD_3773	protein of unknown function DUF853 NPT hydrolase putative	97.53	
b2568	leader peptidase (signal peptidase I)	ECBD_1113	signal peptidase I	97.53	
b2593	orf, hypothetical protein	ECBD_1091	protein of unknown function DUF152	97.53	
b3088	putative transport protein	ECBD_0653	Integral membrane protein TerC	97.52	
b0045	putative transport protein	ECBD_3570	major facilitator superfamily MFS_1	97.51	
b0922	mukF protein (killing factor KICB)	ECBD_2673	chromosome segregation and condensation protein MukF	97.5	
b1158	inversion of adjacent DNA; at locus of e14 element	ECBD_2750	Resolvase domain protein	97.5	
b3416	4-alpha-glucanotransferase (amylomaltase)	ECBD_0329	4-alpha-glucanotransferase	97.48	
b0869	putative dTDP-glucose enzyme	ECBD_2725	NAD-dependent epimerase/dehydratase	97.47	
b4391	putative ATP-binding component of a transport system	ECBD_3629	ABC transporter related	97.47	
b4238	anaerobic ribonucleoside-triphosphate reductase	ECBD_3796	anaerobic ribonucleoside-triphosphate reductase	97.47	
b3816	Mg2+ transport, system I	ECBD_4224	magnesium and cobalt transport protein CorA	97.46	
b0477	inosine-guanosine kinase	ECBD_3179	Inosine kinase	97.46	
b4177	adenylosuccinate synthetase	ECBD_3857	adenylosuccinate synthetase	97.45	
b2184	putative ATP-dependent helicase	ECBD_1473	type III restriction protein res subunit	97.44	
b0797	putative ATP-dependent RNA helicase	ECBD_2826	DEAD/DEAH box helicase domain protein	97.42	
b1509	putative ATP-binding component of a transport system and adhesin protein	ECBD_2128	outer membrane autotransporter barrel domain protein	97.42	
b3926	glycerol kinase	ECBD_4098	glycerol kinase	97.41	
b3372	orf, hypothetical protein	ECBD_0376	Xylose isomerase domain protein TIM barrel	97.39	
b4389	probable ATP-dependent protease	ECBD_3631	DNA repair protein RadA	97.39	
b3544	dipeptide transport protein	ECBD_0192	extracellular solute-binding protein family 5	97.38	
b2837	repressor of galETK operon	ECBD_0887	transcriptional regulator, LacI family	97.37	
b4228	putative ATP-binding component of a transport system	ECBD_3805	ABC transporter related	97.37	
b3169	transcription pausing; L factor	ECBD_0571	NusA antitermination factor	97.37	
b3422	putative 2-component regulator	ECBD_0320	Sigma 54 interacting domain protein	97.36	
b2915	orf, hypothetical protein	ECBD_0823	uncharacterized protein YqfE	97.36	
b0709	putative transport protein	ECBD_2952	amino acid/peptide transporter	97.36	
b2180	putative ATP-binding component of a transport system	ECBD_1477	ABC transporter related	97.35	
b0330	regulator for prp operon	ECBD_3327	proprionate catabolism activator, Fis family	97.34	
b2549	orf, hypothetical protein	ECBD_1135	Tetratricopeptide TPR_2 repeat protein	97.34	
b1737	PEP-dependent phosphotransferase enzyme II for cellobiose, arbutin, and salicin	ECBD_1908	PTS system, cellobiose-specific IIC subunit	97.34	
b3496	putative transport protein	ECBD_0245	amino acid/peptide transporter	97.34	
b2887	putative oxidoreductase, Fe-S subunit	ECBD_0851	glutamate synthase, small subunit	97.33	
b1003	orf, hypothetical protein	ECBD_2591	conserved hypothetical protein	97.33	
b2244	orf, hypothetical protein	ECBD_1415	putative transposase YhgA family protein	97.33	
b2012	orf, hypothetical protein	ECBD_1645	SirA family protein	97.33	
b4081	putative enzyme	ECBD_3950	Fusaric acid resistance protein conserved region	97.32	
b4218	putative transport protein	ECBD_3812	protein of unknown function DUF21	97.31	
b0423	putative oxidoreductase	ECBD_3238	thiamine biosynthesis/tRNA modification protein ThiI	97.30	
b3428	glycogen phosphorylase	ECBD_0314	glycogen/starch/alpha-glucan phosphorylase	97.30	
b1797	orf, hypothetical protein	ECBD_1847	Protein of unknown function DUF1971	97.29	
b1381	orf, hypothetical protein	ECBD_2242	conserved hypothetical protein	97.29	
b1640	orf, hypothetical protein	ECBD_2003	protein of unknown function UPF0075	97.28	
b0431	cytochrome o ubiquinol oxidase subunit I	ECBD_3227	cytochrome o ubiquinol oxidase, subunit I	97.28	
b0876	orf, hypothetical protein	ECBD_2718	conserved hypothetical protein	97.28	
b0182	tetraacyldisaccharide-1-P; lipid A biosynthesis, penultimate step	ECBD_3437	lipid-A-disaccharide synthase	97.28	
b3956	phosphoenolpyruvate carboxylase	ECBD_4068	Phosphoenolpyruvate carboxylase	97.28	
b0835	orf, hypothetical protein	ECBD_2788	MiaB-like tRNA modifying enzyme YliG	97.27	
b1285	orf, hypothetical protein	ECBD_2333	diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)	97.27	
b3772	threonine deaminase (dehydratase)	ECBD_4267	threonine dehydratase, biosynthetic	97.27	
b0978	probable third cytochrome oxidase, subunit I	ECBD_2617	cytochrome bd ubiquinol oxidase subunit I	97.27	
b3460	high-affinity amino acid transport system; periplasmic binding protein	ECBD_0281	Extracellular ligand-binding receptor	97.27	
b0441	putative protease maturation protein	ECBD_3214	PpiC-type peptidyl-prolyl cis-trans isomerase	97.27	
b2751	ATP-sulfurylase (ATP:sulfate adenylyltransferase), subunit 1, probably a GTPase	ECBD_0973	sulfate adenylyltransferase, large subunit	97.26	
b2342	putative acyltransferase	ECBD_1318	acetyl-CoA C-acyltransferase FadI	97.24	
b1501	putative oxidoreductase, major subunit	ECBD_2138	oxidoreductase alpha (molybdopterin) subunit	97.23	
b1424	putative glycoprotein	ECBD_2215	periplasmic glucan biosynthesis protein MdoG	97.21	
b4260	aminopeptidase A/I	ECBD_3776	Leucyl aminopeptidase	97.21	
b0400	positive and negative sensor protein for pho regulon	ECBD_3261	PAS/PAC sensor signal transduction histidine kinase	97.21	
b0409	protein secretion, membrane protein	ECBD_3252	protein-export membrane protein SecF	97.21	
b2866	orf, hypothetical protein	ECBD_0871	aldehyde oxidase and xanthine dehydrogenase molybdopterin binding	97.20	
b2219	sensor protein AtoS for response regulator AtoC	ECBD_1440	signal transduction histidine kinase, nitrogen specific, NtrB	97.20	
b2470	sensitivity to acriflavine, integral membrane protein, possible efflux pump	ECBD_1220	transporter, hydrophobe/amphiphile efflux-1 (HAE1) family	97.20	
b2943	galactose-proton symport of transport system	ECBD_0797	sugar transporter	97.19	
b1978	putative factor	ECBD_1667	Ig domain protein group 1 domain protein	97.19	
b3655	orf, hypothetical protein	ECBD_0069	AsmA family protein	97.18	
b1301	probable oxidoreductase	ECBD_2316	FAD dependent oxidoreductase	97.18	
b3461	RNA polymerase, sigma(32) factor; regulation of proteins induced at high temperatures	ECBD_0280	RNA polymerase, sigma 32 subunit, RpoH	97.18	
b1815	orf, hypothetical protein	ECBD_1827	diguanylate phosphodiesterase	97.18	
b2873	orf, hypothetical protein	ECBD_0864	dihydropyrimidinase	97.18	
b1208	orf, hypothetical protein	ECBD_2413	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	97.17	
b3110	putative transport system permease protein	ECBD_0629	serine transporter	97.16	
b2368	multidrug resistance protein K	ECBD_1304	efflux pump membrane protein	97.15	
b3409	ferrous iron transport protein B	ECBD_0336	ferrous iron transport protein B	97.15	
b1302	4-aminobutyrate aminotransferase	ECBD_2315	4-aminobutyrate aminotransferase	97.14	
b4059	ssDNA-binding protein	ECBD_0060	single-strand binding protein	97.14	
b3247	bundles of cytoplasmic filaments	ECBD_0500	ribonuclease, Rne/Rng family	97.13	
b2156	lysine-specific permease	ECBD_1502	amino acid permease-associated region	97.13	
b3189	first step in murein biosynthesis;UDP-N-glucosamine 1-carboxyvinyltransferase	ECBD_0553	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	97.13	
b3783	transcription termination factor Rho; polarity suppressor	ECBD_4257	transcription termination factor Rho	97.13	
b4080	putative enzyme	ECBD_3951	RND efflux system, outer membrane lipoprotein, NodT family	97.13	
b0448	ATP-binding component of a transport system	ECBD_3207	ABC transporter related	97.11	
b1136	isocitrate dehydrogenase, specific for NADP+	ECBD_2463	isocitrate dehydrogenase, NADP-dependent	97.11	
b3621	heptosyl transferase I; lipopolysaccharide core biosynthesis	ECBD_0105	lipopolysaccharide heptosyltransferase I	97.11	
b0674	asparagine synthetase B	ECBD_2988	asparagine synthase (glutamine-hydrolyzing)	97.11	
b3728	high-affinity phosphate-specific transport system; periplasmic phosphate-binding protein	ECBD_4304	phosphate ABC transporter, periplasmic phosphate-binding protein	97.10	
b0084	septum formation; penicillin-binding protein 3; peptidoglycan synthetase	ECBD_3533	Peptidoglycan glycosyltransferase	97.10	
b0717	putative chaperone	ECBD_2944	Pili assembly chaperone, N-terminal	97.10	
b3256	acetyl CoA carboxylase, biotin carboxylase subunit	ECBD_0489	acetyl-CoA carboxylase, biotin carboxylase	97.10	
b0210	putative biotin synthesis protein	ECBD_3414	Methyltransferase type 11	97.10	
b0905	orf, hypothetical protein	ECBD_2690	protein of unknown function DUF181	97.09	
b0420	1-deoxyxylulose-5-phosphate synthase; flavoprotein	ECBD_3241	deoxyxylulose-5-phosphate synthase	97.09	
b2639	putative pump protein	ECBD_0238	arsenical pump membrane protein	97.09	
b1423	orf, hypothetical protein	ECBD_2216	protein of unknown function DUF1338	97.09	
b2320	erythronate-4-phosphate dehyrogenase	ECBD_1339	D-isomer specific 2-hydroxyacid dehydrogenase catalytic region	97.08	
b3013	orf, hypothetical protein	ECBD_0726	hypothetical protein	97.08	
b3813	DNA-dependent ATPase I and helicase II	ECBD_4228	DNA helicase II	97.08	
b1415	aldehyde dehydrogenase, NAD-linked	ECBD_2225	Aldehyde Dehydrogenase	97.07	
b0718	putative outer membrane protein	ECBD_2943	fimbrial biogenesis outer membrane usher protein	97.06	
b4359	phosphoglycerol transferase I	ECBD_3660	Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase	97.06	
b3861	putative GTP-binding protein	ECBD_4167	protein of unknown function DUF945	97.05	
b0644	orf, hypothetical protein	ECBD_3006	Sel1 domain protein repeat-containing protein	97.05	
b4220	orf, hypothetical protein	ECBD_3810	surface antigen (D15)	97.05	
b2114	methionine tRNA synthetase	ECBD_1544	methionyl-tRNA synthetase	97.04	
b2416	PEP-protein phosphotransferase system enzyme I	ECBD_1265	phosphoenolpyruvate-protein phosphotransferase	97.04	
b3667	regulator of uhpT	ECBD_0036	phosphoglycerate transporter	97.03	
b0321	orf, hypothetical protein	ECBD_3336	protein of unknown function DUF1116	97.03	
b2530	putative aminotransferase	ECBD_1154	cysteine desulfurase IscS	97.02	
b2400	glutamate tRNA synthetase, catalytic subunit	ECBD_1276	glutamyl-tRNA synthetase	97.02	
b0383	alkaline phosphatase	ECBD_3281	Alkaline phosphatase	97.02	
b1588	putative oxidoreductase, major subunit	ECBD_2058	anaerobic dimethyl sulfoxide reductase,  A subunit, DmsA/YnfE family	97.02	
b0945	dihydro-orotate dehydrogenase	ECBD_2650	dihydroorotate dehydrogenase	97.02	
b1163	orf, hypothetical protein	ECBD_2459	diguanylate phosphodiesterase	97.02	
b2269	putative sulfatase / phosphatase	ECBD_1389	peptidase C48 SUMO/Sentrin/Ubl1	97.01	
b0274	IS1 protein InsB	ECBD_3270	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3684	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3033	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3595	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3050	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3104	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3379	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_1627	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3079	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_3298	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_1443	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_1124	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_2222	IS1 transposase	97.00	
b0274	IS1 protein InsB	ECBD_2355	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3270	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3684	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3033	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3595	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3050	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3104	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3379	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_1627	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3079	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_3298	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_1443	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_1124	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_2222	IS1 transposase	97.00	
b0264	IS1 protein InsB	ECBD_2355	IS1 transposase	97.00	
b0988	IS1 protein InsB	ECBD_0373	IS1 transposase	97.00	
b0988	IS1 protein InsB	ECBD_1061	IS1 transposase	97.00	
b0988	IS1 protein InsB	ECBD_3406	IS1 transposase	97.00	
b0988	IS1 protein InsB	ECBD_1314	IS1 transposase	97.00	
b2451	orf, hypothetical protein	ECBD_1240	Ethanolamine utilisation EutA	97.00	
b1385	phenylacetaldehyde dehydrogenase	ECBD_2238	Phenylacetaldehyde dehydrogenase	96.99	
b4242	Mg2+ transport ATPase, P-type 1	ECBD_3791	magnesium-translocating P-type ATPase	96.99	
b3691	D-galactonate transport	ECBD_0012	d-galactonate transporter	96.97	
b3654	putative transport protein	ECBD_0070	uracil-xanthine permease	96.97	
b0903	formate acetyltransferase 1	ECBD_2692	formate acetyltransferase	96.97	
b3091	altronate hydrolase	ECBD_0649	Altronate dehydratase	96.96	
b2243	sn-glycerol-3-phosphate dehydrogenase (anaerobic), K-small subunit	ECBD_1417	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit	96.96	
b3877	putative permease	ECBD_4150	sugar (Glycoside-Pentoside-Hexuronide) transporter	96.96	
b0599	putative oxidoreductase	ECBD_3054	iron-containing alcohol dehydrogenase	96.96	
b0337	cytosine deaminase	ECBD_3320	Cytosine deaminase	96.95	
b2535	orf, hypothetical protein	ECBD_1149	transcriptional antiterminator, BglG	96.94	
b1849	phosphoribosylglycinamide formyltransferase 2	ECBD_1790	phosphoribosylglycinamide formyltransferase 2	96.93	
b3664	orf, hypothetical protein	ECBD_0039	Xanthine/uracil/vitamin C permease	96.93	
b3710	putative transport protein	ECBD_4322	major facilitator superfamily MFS_1	96.93	
b0417	thiamin-monophosphate kinase	ECBD_3244	thiamine-monophosphate kinase	96.92	
b1556	orf, hypothetical protein	ECBD_2260	Lysis S family protein	96.92	
b3283	putative DNA topoisomerase	ECBD_0468	DNA topoisomerase type IA zn finger domain protein	96.91	
b3874	putative resistance protein (transport)	ECBD_4153	Sugar phosphate permease-like protein	96.91	
b1872	biotin sulfoxide reductase 2	ECBD_1766	molybdopterin guanine dinucleotide-containing S/N-oxide reductase	96.90	
b0480	UDP-sugar hydrolase (5-nucleotidase)	ECBD_3176	5-Nucleotidase domain protein	96.90	
b1700	orf, hypothetical protein	ECBD_1946	iron-sulfur cluster-binding protein	96.90	
b4256	orf, hypothetical protein	ECBD_3780	GCN5-related N-acetyltransferase	96.90	
b1262	N-(5-phosphoribosyl)anthranilate isomerase and indole-3-glycerolphosphate synthetase	ECBD_2360	Indole-3-glycerol-phosphate synthase., Phosphoribosylanthranilate isomerase	96.90	
b2974	putative endoglucanase	ECBD_0765	lipoprotein AcfD-like protein	96.90	
b0537	prophage DLP12 integrase	ECBD_3122	integrase family protein	96.89	
b1487	putative hemin-binding lipoprotein	ECBD_2152	extracellular solute-binding protein family 5	96.89	
b2039	glucose-1-phosphate thymidylyltransferase	ECBD_1616	glucose-1-phosphate thymidylyltransferase	96.89	
b4022	orf, hypothetical protein	ECBD_4015	pseudouridine synthase	96.89	
b3500	glutathione oxidoreductase	ECBD_0241	glutathione-disulfide reductase	96.88	
b3996	orf, hypothetical protein	ECBD_4036	NAD(+) diphosphatase	96.88	
b0243	gamma-glutamylphosphate reductase	ECBD_3376	gamma-glutamyl phosphate reductase	96.88	
b1596	putative transport protein	ECBD_2050	major facilitator superfamily MFS_1	96.88	
b3057	bacitracin resistance; possibly phosphorylates undecaprenol	ECBD_0684	undecaprenol kinase	96.87	
b1854	pyruvate kinase II, glucose stimulated	ECBD_1784	pyruvate kinase	96.87	
b0577	putative transport	ECBD_3085	MscS Mechanosensitive ion channel	96.86	
b2344	transport of long-chain fatty acids; sensitivity to phage T2	ECBD_1316	membrane protein involved in aromatic hydrocarbon degradation	96.86	
b2901	6-phospho-beta-glucosidase A; cryptic	ECBD_0836	glycoside hydrolase family 1	96.85	
b3589	putative oxidoreductase	ECBD_0141	iron-containing alcohol dehydrogenase	96.85	
b3391	putative transport portein	ECBD_0356	type IV pilus secretin PilQ	96.84	
b1499	putative ARAC-type regulatory protein	ECBD_2140	transcriptional regulator, AraC family	96.83	
