Accession	Gene names	Gene names (PREFERRED)	Gene names (ALTERNATIVE)	Gene names (OLN)	Entry name	Subcellular locations	Protein existence	Protein family	Protein names	Gene Ontology ID	Keywords	Length	Gene location
C6EID5	glcB ECBD_0763 ECD_02844	glcB		ECBD_0763 ECD_02844	C6EID5_ECOBD	Cytoplasm. 	Inferred from homology	Malate synthase family, GlcB subfamily	Malate synthase (EC 2.3.3.9) (Malate synthase G) (EC 2.3.3.9)	"GO:0008415; GO:0005737; GO:0006097; GO:0004474; GO:0006099"	"Acyltransferase; Complete proteome; Cytoplasm; Glyoxylate bypass; Transferase; Tricarboxylic acid cycle"	723	
C6EJI7	ECBD_2908 ECBD_3312			ECBD_2908 ECBD_3312	C6EJI7_ECOBD		Predicted		Transcriptional regulator, LacI family	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	363	
C6EIJ3	iciA ECBD_0822 ECD_02747	iciA		ECBD_0822 ECD_02747	C6EIJ3_ECOBD		Predicted		Chromosome replication initiation inhibitor protein (Transcriptional regulator, ArgP, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	297	
C6EK39	ECBD_2995 ECD_00624			ECBD_2995 ECD_00624	C6EK39_ECOBD		Predicted		40-residue YVTN family beta-propeller repeat protein (Putative uncharacterized protein)	GO:0016021	"Complete proteome; Signal"	625	
C6EA37	yagT ECBD_3371 ECD_00245	yagT		ECBD_3371 ECD_00245	C6EA37_ECOBD		Predicted		(2Fe-2S)-binding domain protein (Predicted xanthine dehydrogenase, 2Fe-2S subunit)	"GO:0051537; GO:0009055; GO:0046872; GO:0055114; GO:0016491"	"2Fe-2S; Complete proteome; Iron; Iron-sulfur; Metal-binding"	229	
C6ELS2	ykgG ECBD_3349 ECD_00264	ykgG		ECBD_3349 ECD_00264	C6ELS2_ECOBD		Predicted		Predicted transporter (Putative uncharacterized protein)	"GO:0030272; GO:0005524; GO:0009396"	Complete proteome	231	
C6EDU6	ydfH ECBD_2099 ECD_01499	ydfH		ECBD_2099 ECD_01499	C6EDU6_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	228	
C6EB80	cobS ECBD_1657 ECD_01901	cobS		ECBD_1657 ECD_01901	C6EB80_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology	CobS family	Cobalamin synthase (EC 2.-.-.-)	"GO:0008818; GO:0009236; GO:0015420; GO:0005886"	"Cell inner membrane; Cell membrane; Cobalamin biosynthesis; Complete proteome; Membrane; Transferase; Transmembrane; Transmembrane helix"	247	
C6EEZ2	rhaS ECBD_4118 ECD_03791	rhaS		ECBD_4118 ECD_03791	C6EEZ2_ECOBD		Inferred from homology		DNA-binding transcriptional activator, L-rhamnose-binding (Transcriptional regulator, AraC family)	"GO:0005737; GO:0006355; GO:0019299; GO:0043565; GO:0003700; GO:0006350"	"Activator; Complete proteome; Cytoplasm; DNA-binding; Repeat; Rhamnose metabolism; Transcription; Transcription regulation"	278	
C6EC44	yeaJ ECBD_1858 ECD_01755	yeaJ		ECBD_1858 ECD_01755	C6EC44_ECOBD		Predicted		Diguanylate cyclase (Predicted diguanylate cyclase)	"GO:0009190; GO:0016849"	"Complete proteome; Signal"	496	
C6EA32	yagX ECBD_3366 ECD_00250	yagX		ECBD_3366 ECD_00250	C6EA32_ECOBD		Predicted		Predicted aromatic compound dioxygenase (Putative uncharacterized protein)	"GO:0004180; GO:0016702"	"Complete proteome; Dioxygenase; Oxidoreductase; Signal"	841	
C6EE47	udhA sthA ECBD_4062 ECD_03847	udhA	sthA	ECBD_4062 ECD_03847	C6EE47_ECOBD	Cytoplasm. 	Inferred from homology	Class-I pyridine nucleotide-disulfide oxidoreductase family	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	"GO:0050660; GO:0003957; GO:0045454; GO:0005737; GO:0055114"	"Complete proteome; Cytoplasm; FAD; Flavoprotein; NAD; NADP; Oxidoreductase"	466	
C6EC15	yoaE ECBD_1826 ECD_01786	yoaE		ECBD_1826 ECD_01786	C6EC15_ECOBD		Predicted		Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	"GO:0050660; GO:0003824; GO:0016021; GO:0055114"	Complete proteome	518	
C6EI75	serC ECBD_2688 ECD_00911	serC		ECBD_2688 ECD_00911	C6EI75_ECOBD	Cytoplasm. 	Inferred from homology	"Class-V pyridoxal-phosphate-dependent aminotransferase family; Class-V pyridoxal-phosphate-dependent aminotransferase family, SerC subfamily"	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	"GO:0006564; GO:0004648; GO:0030170"	"Amino-acid biosynthesis; Aminotransferase; Complete proteome; Cytoplasm; Pyridoxal phosphate; Pyridoxine biosynthesis; Serine biosynthesis; Transferase"	362	
C6EJZ5	yfiO ECBD_1089 ECD_02485	yfiO		ECBD_1089 ECD_02485	C6EJZ5_ECOBD		Predicted		Outer membrane assembly lipoprotein YfiO (Predicted lipoprotein)	GO:0005488	"Complete proteome; Lipoprotein; Signal"	245	
C6EE78	hslU ECBD_4093 ECD_03816	hslU		ECBD_4093 ECD_03816	C6EE78_ECOBD	Cytoplasm. 	Evidence at transcript level	ClpX chaperone family, HslU subfamily	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	"GO:0005524; GO:0016887; GO:0009376; GO:0070011; GO:0005515; GO:0043335; GO:0006950"	"ATP-binding; Chaperone; Complete proteome; Cytoplasm; Hydrolase; Nucleotide-binding; Protease; Stress response"	443
C6EK22	recO ECBD_1116 ECD_02459	recO		ECBD_1116 ECD_02459	C6EK22_ECOBD		Inferred from homology	RecO family	DNA repair protein recO (Recombination protein O)	"GO:0008060; GO:0006310; GO:0006281; GO:0032312; GO:0008270"	"Complete proteome; DNA damage; DNA recombination; DNA repair"	242
C6EBU4	cheB ECBD_1755 ECD_01854	cheB		ECBD_1755 ECD_01854	C6EBU4_ECOBD		Inferred from homology		Chemotaxis-specific methylesterase (EC 3.1.1.61) (Response regulator receiver modulated CheB methylesterase) (EC 3.1.1.61)	"GO:0006935; GO:0005737; GO:0008984; GO:0006355; GO:0000156; GO:0000160"	"Complete proteome; Hydrolase"	349
C6EEG3	yhjB ECBD_0219 ECD_03368	yhjB		ECBD_0219 ECD_03368	C6EEG3_ECOBD		Predicted		Predicted DNA-binding response regulator in two-component regulatory system (Transcriptional regulator, LuxR family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	200
C6EL57	yfeS ECBD_1261 ECD_02320	yfeS		ECBD_1261 ECD_02320	C6EL57_ECOBD		Predicted		Putative uncharacterized protein yfeS (WGR domain protein)		Complete proteome	244
C6E9Z4	napA ECBD_1454 ECD_02133	napA		ECBD_1454 ECD_02133	C6E9Z4_ECOBD	Periplasm. 	Inferred from homology	Prokaryotic molybdopterin-containing oxidoreductase family, NasA/napA/narB subfamily	Periplasmic nitrate reductase (EC 1.7.99.4)	"GO:0051539; GO:0006777; GO:0009055; GO:0005506; GO:0030151; GO:0042128; GO:0008940; GO:0055114; GO:0042597"	"4Fe-4S; Complete proteome; Electron transport; Iron; Iron-sulfur; Metal-binding; Molybdenum; Nitrate assimilation; Oxidoreductase; Periplasm; Signal; Transport"	828
C6EET5	ydcK ECBD_2212 ECD_01385	ydcK		ECBD_2212 ECD_01385	C6EET5_ECOBD		Predicted		Predicted enzyme (Putative uncharacterized protein)	GO:0016740	Complete proteome	326
C6EC97	argI ECBD_3782 ECD_04120	argI		ECBD_3782 ECD_04120	C6EC97_ECOBD	Cytoplasm. 	Inferred from homology	ATCase/OTCase family	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)	"GO:0016597; GO:0004585; GO:0009348"	"Amino-acid biosynthesis; Arginine biosynthesis; Complete proteome; Cytoplasm; Transferase"	334
C6EG35	rep ECBD_4262 ECD_03656	rep		ECBD_4262 ECD_03656	C6EG35_ECOBD		Predicted		ATP-dependent DNA helicase Rep (DNA helicase and single-stranded DNA-dependent ATPase) (EC 3.6.1.-)	"GO:0005524; GO:0004003; GO:0003677; GO:0006281; GO:0006268; GO:0005737"	"ATP-binding; Complete proteome; Helicase; Hydrolase; Nucleotide-binding"	673
C6EI57	ycbB ECBD_2670 ECD_00929	ycbB		ECBD_2670 ECD_00929	C6EI57_ECOBD		Predicted		ErfK/YbiS/YcfS/YnhG family protein (Predicted carboxypeptidase)	GO:0004180	"Carboxypeptidase; Complete proteome; Hydrolase; Protease; Signal"	615
C6ECG2	aidB ECBD_3847 ECD_04054	aidB		ECBD_3847 ECD_04054	C6ECG2_ECOBD		Inferred from homology	Acyl-CoA dehydrogenase family	Acyl-CoA dehydrogenase domain protein (Isovaleryl CoA dehydrogenase)	"GO:0003995; GO:0055114"	"Complete proteome; FAD; Flavoprotein; Oxidoreductase"	541
C6ED59	yjcE ECBD_3967 ECD_03937	yjcE		ECBD_3967 ECD_03937	C6ED59_ECOBD		Predicted		Na+/H+ antiporter (Predicted cation/proton antiporter)	"GO:0016021; GO:0015299"	"Complete proteome; Membrane; Transmembrane; Transport"	549
C6EDX9	plsB ECBD_3992 ECD_03913	plsB		ECBD_3992 ECD_03913	C6EDX9_ECOBD	"Cell inner membrane; Peripheral membrane protein; Cytoplasmic side. "	Inferred from homology	GPAT/DAPAT family	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	"GO:0004366; GO:0008654; GO:0005886"	"Acyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Phospholipid biosynthesis; Transferase"	807
C6ECA9	treC ECBD_3794 ECD_04107	treC		ECBD_3794 ECD_04107	C6ECA9_ECOBD		Predicted		Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	"GO:0008788; GO:0043169; GO:0005737; GO:0005993"	"Complete proteome; Glycosidase; Hydrolase"	551
C6EE35	rplA ECBD_4049 ECD_03860	rplA		ECBD_4049 ECD_03860	C6EE35_ECOBD		Inferred from homology	Ribosomal protein L1P family	50S ribosomal protein L1	"GO:0003723; GO:0006396; GO:0015934; GO:0003735; GO:0006412"	"Complete proteome; RNA-binding; Repressor; Ribonucleoprotein; Ribosomal protein; Translation regulation; rRNA-binding; tRNA-binding"	234
C6ELJ6	yaiE ECBD_3273 ECD_00338	yaiE		ECBD_3273 ECD_00338	C6ELJ6_ECOBD		Inferred from homology	UPF0345 family	UPF0345 protein yaiE		Complete proteome	94
C6ECM4	celF ECBD_1911 ECD_01703	celF		ECBD_1911 ECD_01703	C6ECM4_ECOBD		Predicted		Cryptic phospho-beta-glucosidase, NAD(P)-binding (EC 3.2.1.86) (Glycoside hydrolase family 4)	"GO:0008706; GO:0005488; GO:0005975"	"Complete proteome; Glycosidase; Hydrolase"	450
C6EJY4	rimM ECBD_1078 ECD_02497	rimM		ECBD_1078 ECD_02497	C6EJY4_ECOBD	Cytoplasm. 	Inferred from homology	RimM family	Ribosome maturation factor rimM	"GO:0006364; GO:0042274; GO:0005840; GO:0043022"	"Chaperone; Complete proteome; Cytoplasm; Ribosome biogenesis"	182
C6EA85	metN ECBD_3419 ECD_00198	metN		ECBD_3419 ECD_00198	C6EA85_ECOBD		Inferred from homology	ABC transporter superfamily	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	"GO:0005524; GO:0048474; GO:0009276; GO:0015424; GO:0005886"	"ATP-binding; Amino-acid transport; Cell membrane; Complete proteome; Hydrolase; Membrane; Nucleotide-binding; Transport"	343
C6EDK8	tyrS ECBD_2006 ECD_01607	tyrS		ECBD_2006 ECD_01607	C6EDK8_ECOBD	Cytoplasm. 	Inferred from homology	"Class-I aminoacyl-tRNA synthetase family; Class-I aminoacyl-tRNA synthetase family, TyrS type 1 subfamily"	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	"GO:0005524; GO:0003723; GO:0005737; GO:0004831; GO:0006437"	"ATP-binding; Acetylation; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Nucleotide-binding; Protein biosynthesis; RNA-binding"	424
C6EHN2	hyaE ECBD_2619 ECD_00979	hyaE		ECBD_2619 ECD_00979	C6EHN2_ECOBD		Predicted		Hydrogenase-1 expression HyaE (Protein involved in processing of HyaA and HyaB proteins)		Complete proteome	132
C6ECK0	ynjE ECBD_1887 ECD_01726	ynjE		ECBD_1887 ECD_01726	C6ECK0_ECOBD		Predicted		Predicted thiosulfate sulfur transferase (Rhodanese domain protein)	"GO:0008272; GO:0004792"	"Complete proteome; Signal; Transferase"	435
C6EGN7	narJ ECBD_2392 ECD_01204	narJ		ECBD_2392 ECD_01204	C6EGN7_ECOBD		Predicted		Molybdenum-cofactor-assembly chaperone subunit (Delta subunit) of nitrate reductase 1 (EC 1.7.99.4) (Nitrate reductase molybdenum cofactor assembly chaperone) (EC 1.7.99.4)	"GO:0008940; GO:0009325; GO:0055114"	"Complete proteome; Oxidoreductase"	236
C6EGF4	rpmC ECBD_0439 ECD_03163	rpmC		ECBD_0439 ECD_03163	C6EGF4_ECOBD		Inferred from homology	Ribosomal protein L29P family	50S ribosomal protein L29	"GO:0005840; GO:0003735; GO:0006412"	"Complete proteome; Ribonucleoprotein; Ribosomal protein"	63
C6EEP7	narZ ECBD_2170 ECD_01426	narZ		ECBD_2170 ECD_01426	C6EEP7_ECOBD		Predicted		Nitrate reductase 2 (NRZ), alpha subunit (EC 1.7.99.4) (Nitrate reductase, alpha subunit)	"GO:0009055; GO:0030151; GO:0042126; GO:0008940; GO:0009325; GO:0055114"	"Complete proteome; Iron; Iron-sulfur; Metal-binding; Molybdenum; Oxidoreductase"	1246
C6EBL2	yjjN ECBD_3661 ECD_04235	yjjN		ECBD_3661 ECD_04235	C6EBL2_ECOBD		Inferred from homology	Zinc-containing alcohol dehydrogenase family	Alcohol dehydrogenase GroES domain protein (Predicted oxidoreductase, Zn-dependent and NAD(P)-binding)	"GO:0055114; GO:0016491; GO:0008270"	"Complete proteome; Metal-binding; Oxidoreductase; Zinc"	340
C6EH17	arcB ECBD_0532 ECD_03075	arcB		ECBD_0532 ECD_03075	C6EH17_ECOBD		Predicted		Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	"GO:0005524; GO:0016021; GO:0018106; GO:0006355; GO:0000156; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Nucleotide-binding; Signal; Transferase; Two-component regulatory system"	778
C6EEL8	ydeO ECBD_2140 ECD_01457	ydeO		ECBD_2140 ECD_01457	C6EEL8_ECOBD		Predicted		Predicted DNA-binding transcriptional acfivator (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	253
C6EG25	wecC ECBD_4252 ECD_03665	wecC		ECBD_4252 ECD_03665	C6EG25_ECOBD		Predicted		Nucleotide sugar dehydrogenase (EC 1.1.1.22) (UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase) (EC 1.1.1.-)	"GO:0051287; GO:0003979; GO:0055114"	"Complete proteome; Oxidoreductase; Signal"	420
C6EJT5	csrA ECBD_1029 ECD_02546	csrA		ECBD_1029 ECD_02546	C6EJT5_ECOBD		Inferred from homology	CsrA family	Carbon storage regulator	"GO:0003723; GO:0006402; GO:0006109"	"Complete proteome; RNA-binding"	61
C6E9X6	atoB ECBD_1435 ECD_02151	atoB		ECBD_1435 ECD_02151	C6E9X6_ECOBD		Inferred from homology	Thiolase family	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	GO:0003985	"Acyltransferase; Complete proteome; Signal; Transferase"	394
C6EC02	kdgR ECBD_1813 ECD_01798	kdgR		ECBD_1813 ECD_01798	C6EC02_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, IclR family)	"GO:0003677; GO:0006355; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	263
C6EBM3	hpaA ECBD_3673 ECD_04223	hpaA		ECBD_3673 ECD_04223	C6EBM3_ECOBD		Predicted		HpaA (Transcriptional regulator, AraC family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	296
C6EA82	yafC ECBD_3416 ECD_00201	yafC		ECBD_3416 ECD_00201	C6EA82_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	304
C6EKB0	ybdZ ECBD_3070 ECD_00552	ybdZ		ECBD_3070 ECD_00552	C6EKB0_ECOBD		Predicted		MbtH domain protein (Putative uncharacterized protein ybdZ)		Complete proteome	72
C6EIL6	recJ ECBD_0845 ECD_02724	recJ		ECBD_0845 ECD_02724	C6EIL6_ECOBD		Predicted		Single-stranded-DNA-specific exonuclease RecJ (SsDNA exonuclease, 5'-> 3'-specific) (EC 3.1.-.-)	"GO:0008409; GO:0006310; GO:0006281; GO:0030145; GO:0003676; GO:0016310; GO:0016772"	"Complete proteome; Exonuclease; Hydrolase; Nuclease"	577
C6EDI1	gpsA ECBD_0117 ECD_03466	gpsA		ECBD_0117 ECD_03466	C6EDI1_ECOBD	Cytoplasm. 	Inferred from homology	NAD-dependent glycerol-3-phosphate dehydrogenase family	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	"GO:0051287; GO:0046168; GO:0047952; GO:0004367; GO:0009331; GO:0055114; GO:0008654"	"Complete proteome; Cytoplasm; NAD; Oxidoreductase; Phospholipid biosynthesis; Signal"	339
C6EK57	ybeA rlmH ECBD_3015 ECD_00605	ybeA	rlmH	ECBD_3015 ECD_00605	C6EK57_ECOBD	Cytoplasm. 	Inferred from homology	RNA methyltransferase rlmH family	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.-) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase rlmH)	"GO:0005737; GO:0070038"	"Complete proteome; Cytoplasm; Methyltransferase; S-adenosyl-L-methionine; Transferase; rRNA processing"	155
C6EKU0	cysS ECBD_3132 ECD_00476	cysS		ECBD_3132 ECD_00476	C6EKU0_ECOBD	Cytoplasm. 	Inferred from homology	Class-I aminoacyl-tRNA synthetase family	Cysteinyl-tRNA synthetase (EC 6.1.1.16) (Cysteine--tRNA ligase)	"GO:0005524; GO:0004817; GO:0006423; GO:0005737"	"ATP-binding; Aminoacyl-tRNA synthetase; Complete proteome; Cytoplasm; Ligase; Metal-binding; Nucleotide-binding; Protein biosynthesis; Zinc"	461
C6EE93	ECBD_0148 ECD_03438			ECBD_0148 ECD_03438	C6EE93_ECOBD		Predicted		Putative uncharacterized protein	GO:0003824	Complete proteome	659
C6EJW6	csiD ECBD_1060 ECD_02515	csiD		ECBD_1060 ECD_02515	C6EJW6_ECOBD		Inferred from homology	CsiD family	Protein CsiD		"Complete proteome; Iron; Metal-binding"	325
C6EAG2	galS ECBD_1507 ECD_02080	galS		ECBD_1507 ECD_02080	C6EAG2_ECOBD		Predicted		DNA-binding transcriptional repressor (Transcriptional regulator, LacI family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	346
C6EAZ3	araA ECBD_3555 ECD_00064	araA		ECBD_3555 ECD_00064	C6EAZ3_ECOBD		Inferred from homology		L-arabinose isomerase (EC 5.3.1.4)	"GO:0008733; GO:0008736; GO:0019568; GO:0005737; GO:0006004; GO:0046872"	"Arabinose catabolism; Carbohydrate metabolism; Complete proteome; Isomerase; Manganese; Metal-binding"	500
C6EER3	yncC ECBD_2189 ECD_01407	yncC		ECBD_2189 ECD_01407	C6EER3_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, GntR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	221
C6ED66	uvrA ECBD_3974 ECD_03930	uvrA		ECBD_3974 ECD_03930	C6ED66_ECOBD	Cytoplasm. 	Inferred from homology	ABC transporter superfamily	Excinuclease ABC subunit A (Excinuclease ABC, A subunit)	"GO:0005524; GO:0016887; GO:0003677; GO:0009432; GO:0005737; GO:0009381; GO:0009380; GO:0046872; GO:0006289"	"ATP-binding; Complete proteome; Cytoplasm; DNA damage; DNA excision; DNA repair; DNA-binding; Excision nuclease; Metal-binding; Nucleotide-binding; Repeat; SOS response; Zinc"	940
C6EIN2	yqeC ECBD_0861 ECD_02709	yqeC		ECBD_0861 ECD_02709	C6EIN2_ECOBD		Predicted		Putative uncharacterized protein (Putative uncharacterized protein yqeC)	"GO:0005524; GO:0009058"	Complete proteome	256
C6EKW0	allA ECBD_3152 ECD_00455	allA		ECBD_3152 ECD_00455	C6EKW0_ECOBD		Predicted		Ureidoglycolate hydrolase (EC 3.5.3.19)	"GO:0000256; GO:0006144; GO:0004848"	"Complete proteome; Hydrolase; Purine metabolism"	160
C6EDN5	manA ECBD_2033 ECD_01582	manA		ECBD_2033 ECD_01582	C6EDN5_ECOBD		Inferred from homology	Mannose-6-phosphate isomerase type 1 family	Mannose-6-phosphate isomerase (EC 5.3.1.8)	"GO:0005975; GO:0004476; GO:0008270"	"Complete proteome; Isomerase; Zinc"	391
C6EBU5	cheY ECBD_1756 ECD_01853	cheY		ECBD_1756 ECD_01853	C6EBU5_ECOBD		Predicted		Chemotaxis regulator transmitting signal to flagellar motor component (Response regulator receiver protein)	"GO:0019861; GO:0006355; GO:0000156; GO:0000160"	"Cell projection; Cilium; Complete proteome; Flagellum"	129
C6EG56	kup ECBD_4285 ECD_03631	kup		ECBD_4285 ECD_03631	C6EG56_ECOBD	"Cell inner membrane; Multi-pass membrane protein. "	Inferred from homology		Potassium transporter (Potassium uptake protein)	"GO:0016021; GO:0005886; GO:0015079"	"Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Potassium; Potassium transport; Signal; Transmembrane; Transmembrane helix; Transport"	622
C6EJ29	lysR ECBD_0885 ECD_02687	lysR		ECBD_0885 ECD_02687	C6EJ29_ECOBD		Predicted		DNA-binding transcriptional dual regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	311
C6EGV1	ycgF ECBD_2459 ECD_01138	ycgF		ECBD_2459 ECD_01138	C6EGV1_ECOBD		Predicted		Diguanylate phosphodiesterase (Predicted FAD-binding phosphodiesterase)		Complete proteome	403
C6E9W0	glpA ECBD_1419 ECD_02167	glpA		ECBD_1419 ECD_02167	C6E9W0_ECOBD		Inferred from homology	FAD-dependent glycerol-3-phosphate dehydrogenase family	Glycerol-3-phosphate dehydrogenase, anaerobic, A subunit (sn-glycerol-3-phosphate dehydrogenase (Anaerobic), large subunit, FAD/NAD(P)-binding) (EC 1.1.5.3)	"GO:0050660; GO:0010181; GO:0004368; GO:0009331; GO:0006072; GO:0055114; GO:0005886; GO:0046174"	"Complete proteome; Flavoprotein; Oxidoreductase"	542
C6EL99	evgA ECBD_1303 ECD_02279	evgA		ECBD_1303 ECD_02279	C6EL99_ECOBD		Predicted		DNA-binding response regulator in two-component regulatory system with EvgS (Two component transcriptional regulator, LuxR family)	"GO:0005622; GO:0006355; GO:0043565; GO:0003700; GO:0006350; GO:0000156; GO:0000160"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	204
C6EGJ6	envR ECBD_0481 ECD_03122	envR		ECBD_0481 ECD_03122	C6EGJ6_ECOBD		Predicted		DNA-binding transcriptional regulator (Transcriptional regulator, TetR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0016566; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	220
C6EEF3	bcsC ECBD_0209 ECD_03378	bcsC		ECBD_0209 ECD_03378	C6EEF3_ECOBD		Predicted		Cellulose synthase operon C domain protein (Cellulose synthase subunit)	"GO:0005488; GO:0030244; GO:0019867"	"Complete proteome; Signal"	1157
C6EF76	ECBD_4203 ECD_03714			ECBD_4203 ECD_03714	C6EF76_ECOBD		Predicted		FdrA family protein (Putative uncharacterized protein)	GO:0003824	Complete proteome	519
C6EJ86	barA ECBD_0943 ECD_02631	barA		ECBD_0943 ECD_02631	C6EJ86_ECOBD	"Membrane; Multi-pass membrane protein. "	Inferred from homology		Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)	"GO:0005524; GO:0016021; GO:0018106; GO:0006355; GO:0000156; GO:0000155; GO:0000160"	"ATP-binding; Complete proteome; Kinase; Membrane; Nucleotide-binding; Phosphoprotein; Transferase; Transmembrane; Two-component regulatory system"	918
C6EJD7	fhlA ECBD_0994 ECD_02581	fhlA		ECBD_0994 ECD_02581	C6EJD7_ECOBD		Predicted		DNA-binding transcriptional activator (Transcriptional regulator, NifA subfamily, Fis Family)	"GO:0005524; GO:0003677; GO:0005622; GO:0017111; GO:0006355; GO:0003700; GO:0006350; GO:0008134"	"ATP-binding; Complete proteome; DNA-binding; Nucleotide-binding; Transcription; Transcription regulation"	692
C6EFV0	yciT ECBD_2335 ECD_01261	yciT		ECBD_2335 ECD_01261	C6EFV0_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, DeoR family)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	249
C6EBH4	creA ECBD_3623 ECD_04273	creA		ECBD_3623 ECD_04273	C6EBH4_ECOBD		Predicted		CreA family protein (Putative uncharacterized protein creA)		"Complete proteome; Signal"	157
C6ECH9	recF ECBD_0003 ECD_03583	recF		ECBD_0003 ECD_03583	C6ECH9_ECOBD	Cytoplasm. 	Inferred from homology	RecF family	DNA replication and repair protein recF	"GO:0005524; GO:0006281; GO:0006260; GO:0009432; GO:0005694; GO:0005737; GO:0003697"	"ATP-binding; Complete proteome; Cytoplasm; DNA damage; DNA repair; DNA replication; DNA-binding; Nucleotide-binding; SOS response"	357
C6EH51	glmM ECBD_0566 ECD_03041	glmM		ECBD_0566 ECD_03041	C6EH51_ECOBD		Inferred from homology	Phosphohexose mutase family	Phosphoglucosamine mutase (EC 5.4.2.10)	"GO:0005975; GO:0000287; GO:0008966"	"Complete proteome; Isomerase; Magnesium; Metal-binding; Phosphoprotein"	445
C6EHT5	ygiP ECBD_0681 ECD_02930	ygiP		ECBD_0681 ECD_02930	C6EHT5_ECOBD		Predicted		Predicted DNA-binding transcriptional regulator (Transcriptional regulator, LysR family)	"GO:0003677; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	310
C6ED75	dgoR ECBD_0008 ECD_03578	dgoR		ECBD_0008 ECD_03578	C6ED75_ECOBD		Predicted		GntR domain protein (Predicted DNA-binding transcriptional regulator)	"GO:0003677; GO:0005622; GO:0006355; GO:0003700; GO:0006350"	"Complete proteome; DNA-binding; Transcription; Transcription regulation"	229
