Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
P0AE82	CPXA_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	+ 	+ 	+ 	+ 
P69425	TATB_ECOLI	C6EF59	B	"Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)"	+ 	+ 	+ 	+ 
P69428	TATA_ECOLI	C6EF60	B	"Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)"	+ 	+ 	+ 	+ 
P0A6A0	UBIB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	+ 	+ 	+ 	+ 
P37617	ATZN_ECOLI	C6EFA5	B	Heavy metal translocating P-type ATPase	+ 	+ 	+ 	+ 
P37615	YHHM_ECOLI	C6EFA7	B	Putative receptor	+ 	+ 	+ 	+ 
P0AC30	FTSX_ECOLI	C6EFB2	B	"Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)"	+ 	+ 	+ 	+ 
P45800	IGAA_ECOLI	C6EFH7	B	Intracellular growth attenuator IgaA	+ 	+ 	+ 	+ 
P02918	PBPA_ECOLI	C6EFI0	B	"Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)"	+ 	+ 	+ 	+ 
P11557	DAMX_ECOLI	C6EFI8	B	Putative uncharacterized protein damX (Sporulation domain protein)	+ 	+ 	+ 	+ 
P64423	ZNTB_ECOLI	C6EFP1	B	Mg2 transporter protein CorA family protein (Zinc transporter)	+ 	+ 	+ 	+ 
P0AG14	SOHB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	+ 	+ 	+ 	+ 
P0ABI4	CORA_ECOLI	C6EFZ7	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	+ 	+ 	+ 	+ 
P09127	HEMX_ECOLI	C6EG12	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	+ 	+ 	+ 	+ 
P0ACB7	HEMY_ECOLI	C6EG13	B	HemY protein (Predicted protoheme IX synthesis protein)	+ 	+ 	+ 	+ 
P0AG00	WZZE_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	+ 	+ 	+ 	+ 
P0ABA0	ATPF_ECOLI	C6EG67	B	ATP synthase subunit b	+ 	+ 	+ 	+ 
P25714	OXAA_ECOLI	C6EG98	B	Inner membrane protein oxaA	+ 	+ 	+ 	+ 
P45537	YHFK_ECOLI	C6EGA5	B	"Integral membrane protein, YccS/YhfK family"	+ 	+ 	+ 	+ 
P0AGA2	SECY_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	+ 	+ 	+ 	+ 
P0A742	MSCL_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	+ 	+ 	+ 	+ 
P0AFR2	YCHM_ECOLI	C6EGR0	B	Sulfate transporter	+ 	+ 	+ 	+ 
P0AFA7	NHAB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	+ 	+ 	+ 	+ 
P75958	LOLE_ECOLI	C6EGX4	B	"Lipoprotein releasing system, transmembrane protein LolE"	+ 	+ 	+ 	+ 
P0ADC3	LOLC_ECOLI	C6EGX6	B	"Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)"	+ 	+ 	+ 	+ 
P69786	PTGCB_ECOLI	C6EGZ1	B	"Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)"	+ 	+ 	+ 	+ 
P0ADW3	YHCB_ECOLI	C6EGZ9	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	+ 	+ 	+ 	+ 
P0ADV9	LPTC_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	+ 	+ 	+ 	+ 
P0AAI3	FTSH_ECOLI	C6EH49	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	+ 	+ 	+ 	+ 
P0AG99	SECG_ECOLI	C6EH52	B	"Preprotein translocase, SecG subunit (Protein-export membrane protein)"	+ 	+ 	+ 	+ 
P62517	OPGH_ECOLI	C6EHG3	B	Glycosyl transferase family 2	+ 	+ 	+ 	+ 
P07117	PUTP_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	+ 	+ 	+ 	+ 
P60932	UPPP_ECOLI	C6EHT8	B	Undecaprenol kinase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	+ 	+ 	+ 	+ 
P0ADT8	YGIM_ECOLI	C6EHU0	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	+ 	+ 	+ 	+ 
P40719	QSEC_ECOLI	C6EHW7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	+ 	+ 	+ 	+ 
P0ABU7	EXBB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	+ 	+ 	+ 	+ 
P60752	MSBA_ECOLI	C6EI68	B	"Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)"	+ 	+ 	+ 	+ 
P29018	CYDD_ECOLI	C6EI95	B	"ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)"	+ 	+ 	+ 	+ 
P23886	CYDC_ECOLI	C6EI96	B	"ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)"	+ 	+ 	+ 	+ 
P0AEP1	GALP_ECOLI	C6EIG8	B	Sugar transporter	+ 	+ 	+ 	+ 
P0C0S1	MSCS_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	+ 	+ 	+ 	+ 
P75777	YBHG_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	+ 	+ 	+ 	+ 
P0AAD6	SDAC_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	+ 	+ 	+ 	+ 
P0ABV6	TOLR_ECOLI	C6EJJ9	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	+ 	+ 	+ 	+ 
P0ABU9	TOLQ_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	+ 	+ 	+ 	+ 
P0ABK2	CYDB_ECOLI	C6EJK4	B	"Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)"	+ 	+ 	+ 	+ 
P0ABJ9	CYDA_ECOLI	C6EJK5	B	"Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)"	+ 	+ 	+ 	+ 
P0AC44	DHSD_ECOLI	C6EJL5	B	"Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)"	+ 	+ 	+ 	+ 
P09323	PTW3C_ECOLI	C6EJQ6	B	"Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)"	+ 	+ 	+ 	+ 
P27303	EMRA_ECOLI	C6EJU1	B	Efflux pump membrane protein (Multidrug efflux system)	+ 	+ 	+ 	+ 
P00803	LEP_ECOLI	C6EK19	B	Signal peptidase I (EC 3.4.21.89)	+ 	+ 	+ 	+ 
P0AAT4	YBDG_ECOLI	C6EKC4	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	+ 	+ 	+ 	+ 
P27434	RODZ_ECOLI	C6EKJ3	B	"Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)"	+ 	+ 	+ 	+ 
P76576	YFGM_ECOLI	C6EKJ6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	+ 	+ 	+ 	+ 
Q59385	COPA_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	+ 	+ 	+ 	+ 
P39830	YBAL_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	+ 	+ 	+ 	+ 
P31224	ACRB_ECOLI	C6EL02	B	"Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	+ 	+ 	+ 	+ 
P0ADY1	PPID_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	+ 	+ 	+ 	+ 
P0ABJ1	CYOA_ECOLI	C6EL34	B	"Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)"	+ 	+ 	+ 	+ 
P0ABI8	CYOB_ECOLI	C6EL35	B	"Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)"	+ 	+ 	+ 	+ 
P77173	ZIPA_ECOLI	C6EL66	B	Cell division protein zipA	+ 	+ 	+ 	+ 
P0AG93	SECF_ECOLI	C6ELH5	B	Protein export protein SecF (Protein-export membrane protein SecF)	+ 	+ 	+ 	+ 
P0AG90	SECD_ECOLI	C6ELH6	B	Protein-export membrane protein SecD	+ 	+ 	+ 	+ 
P0ADZ7	YAJC_ECOLI	C6ELH7	B	"Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)"	+ 	+ 	+ 	+ 
P69801	PTNC_ECOLI	C6EC12	B	"Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)"	+ 	+ 	+ 	 
P0AEH5	ELAB_ECOLI	C6E9T3	B	Putative uncharacterized protein (Putative uncharacterized protein elaB)	+ 	+ 	 	+ 
P37147	FXSA_ECOLI	C6ECY5	B	FxsA cytoplasmic membrane protein (Inner membrane protein)	+ 	+ 	 	+ 
P64581	YQJD_ECOLI	C6EHP5	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	+ 	+ 	 	+ 
P0AFN2	PSPC_ECOLI	C6EFS6	B	"DNA-binding transcriptional activator (Phage shock protein C, PspC)"	+ 	+ 	 	 
P0ABC9	BETT_ECOLI	C6ELR7	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	 	+ 	+ 	+ 
P0AFY6	SBMA_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	 	+ 	+ 	+ 
P0AD99	BRNQ_ECOLI	C6ELI3	B	Branched-chain amino acid transport system II carrier protein (Predicted branched chain amino acid transporter (LIV-II))	 	+ 	+ 	+ 
P09549	DEDD_ECOLI	C6ELD9	B	Putative uncharacterized protein dedD (Sporulation domain protein)	 	+ 	+ 	+ 
P77549	YFCJ_ECOLI	C6ELD1	B	Major facilitator superfamily MFS_1 (Predicted transporter)	 	+ 	+ 	+ 
P0AFF2	NUPC_ECOLI	C6EL76	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	 	+ 	+ 	+ 
P23842	YFEA_ECOLI	C6EL75	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
P0A6J3	CYSZ_ECOLI	C6EL65	B	Protein CysZ	 	+ 	+ 	+ 
P77726	YAJR_ECOLI	C6EL42	B	Major facilitator superfamily MFS_1 (Predicted transporter)	 	+ 	+ 	+ 
P0AE16	AMPG_ECOLI	C6EL33	B	AmpG-related permease (Muropeptide transporter)	 	+ 	+ 	+ 
P77265	MDLA_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	 	+ 	+ 	+ 
P0AAG5	MDLB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	 	+ 	+ 	+ 
P77473	YLAB_ECOLI	C6EL07	B	Conserved inner membrane protein (EAL domain protein)	 	+ 	+ 	+ 
P77338	KEFA_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	 	+ 	+ 	+ 
P52067	FSR_ECOLI	C6EKY5	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	 	+ 	+ 	+ 
P0AA53	QMCA_ECOLI	C6EKX5	B	"Band 7 protein (Predicted protease, membrane anchored)"	 	+ 	+ 	+ 
P77307	YBBM_ECOLI	C6EKX3	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P77504	YBBP_ECOLI	C6EKW8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P24177	ACRD_ECOLI	C6EKP2	B	"Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	 	+ 	+ 	+ 
P64429	YPFJ_ECOLI	C6EKN6	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	 	+ 	+ 	+ 
P52101	YFHK_ECOLI	C6EKF1	B	Histidine kinase (Predicted sensory kinase in two-component system)	 	+ 	+ 	+ 
P0A843	TATE_ECOLI	C6EK66	B	"Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)"	 	+ 	+ 	+ 
P0ABG7	RODA_ECOLI	C6EK59	B	Cell cycle protein (Cell wall shape-determining protein)	 	+ 	+ 	+ 
P0AD65	PBP2_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	 	+ 	+ 	+ 
P0AER3	GLTJ_ECOLI	C6EK41	B	"Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	+ 	+ 
P23930	LNT_ECOLI	C6EK38	B	Apolipoprotein N-acyltransferase	 	+ 	+ 	+ 
P0AD42	YFHB_ECOLI	C6EK28	B	"HAD superfamily (Subfamily IF) hydrolase, YfhB"	 	+ 	+ 	+ 
P0AEX3	KGTP_ECOLI	C6EJZ9	B	"Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))"	 	+ 	+ 	+ 
P37908	YFJD_ECOLI	C6EJY0	B	Putative uncharacterized protein	 	+ 	+ 	+ 
P21865	KDPD_ECOLI	C6EJN9	B	Osmosensitive K channel His kinase sensor	 	+ 	+ 	+ 
P03961	ATKC_ECOLI	C6EJN8	B	Potassium-transporting ATPase C chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	 	+ 	+ 	+ 
P19934	TOLA_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	 	+ 	+ 	+ 
P0A7E5	PYRG_ECOLI	C6EJ92	B	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	 	+ 	+ 	+ 
P0AEC5	BARA_ECOLI	C6EJ86	B	"Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)"	 	+ 	+ 	+ 
P60955	LGT_ECOLI	C6EJ41	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	 	+ 	+ 	+ 
P31119	AAS_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	 	+ 	+ 	+ 
P0AEQ6	GLNP_ECOLI	C6EIX2	B	"Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	+ 	+ 
P75798	GSIC_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 	+ 	+ 	+ 
P60869	YBJL_ECOLI	C6EIQ8	B	Putative transport protein ybjL	 	+ 	+ 	+ 
P63340	YQEG_ECOLI	C6EIP8	B	Predicted transporter (Serine transporter)	 	+ 	+ 	+ 
P75822	YBJT_ECOLI	C6EIB2	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	 	+ 	+ 	+ 
P75831	MACB_ECOLI	C6EIA2	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	 	+ 	+ 	+ 
P0AC23	FOCA_ECOLI	C6EI78	B	Formate transporter (Formate/nitrite transporter)	 	+ 	+ 	+ 
P27300	LPXK_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	 	+ 	+ 	+ 
P0AB01	YCBC_ECOLI	C6EI62	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P43671	PQIB_ECOLI	C6EI31	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	 	+ 	+ 	+ 
P75870	YCCS_ECOLI	C6EI21	B	Putative uncharacterized protein	 	+ 	+ 	+ 
P0AB12	YCCF_ECOLI	C6EI20	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P64585	YQJE_ECOLI	C6EHP4	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P0ACV0	HTRB_ECOLI	C6EHF9	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	 	+ 	+ 	+ 
P0AF16	MVIN_ECOLI	C6EHE4	B	Integral membrane protein MviN (Predicted inner membrane protein)	 	+ 	+ 	+ 
P28306	YCEG_ECOLI	C6EHB7	B	Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	 	+ 	+ 	+ 
P64606	MLAE_ECOLI	C6EH33	B	Predicted toluene transporter subunit: membrane component of ABC superfamily (Putative uncharacterized protein)	 	+ 	+ 	+ 
P46022	MTGA_ECOLI	C6EH19	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	 	+ 	+ 	+ 
P0AEE3	DEGS_ECOLI	C6EGZ7	B	"Periplasmic serine protease DegS (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)"	 	+ 	+ 	+ 
P23837	PHOQ_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	 	+ 	+ 	+ 
P08200	IDH_ECOLI	C6EGV5	B	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	 	+ 	+ 	+ 
P31801	CHAA_ECOLI	C6EGP8	B	Calcium/proton exchanger (Calcium/sodium:proton antiporter)	 	+ 	+ 	+ 
P46482	AAEA_ECOLI	C6EGL9	B	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	 	+ 	+ 	+ 
P16926	MREC_ECOLI	C6EGL1	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	 	+ 	+ 	+ 
P31466	PURP_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	 	+ 	+ 	+ 
P07654	PSTA_ECOLI	C6EG77	B	"Phosphate ABC transporter, inner membrane subunit PstA (Phosphate transporter subunit)"	 	+ 	+ 	+ 
P0AC78	WECA_ECOLI	C6EG28	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	 	+ 	+ 	+ 
P0AFH6	OPPC_ECOLI	C6EFZ1	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	 	+ 	+ 	+ 
P0A6H8	CLS_ECOLI	C6EFY7	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	 	+ 	+ 	+ 
P0ACV4	YCIS_ECOLI	C6EFV5	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P0A8R7	YCJF_ECOLI	C6EFR0	B	UPF0283 membrane protein ycjF	 	+ 	+ 	+ 
P39835	GNTT_ECOLI	C6EFF9	B	"Gluconate transporter (Gluconate transporter, high-affinity GNT I system)"	 	+ 	+ 	+ 
P09391	GLPG_ECOLI	C6EFF0	B	Predicted intramembrane serine protease (Rhomboid protease) (EC 3.4.21.105)	 	+ 	+ 	+ 
P0AG71	RMUC_ECOLI	C6EF64	B	Predicted recombination limiting protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P69423	TATC_ECOLI	C6EF58	B	"Sec-independent protein translocase, TatC subunit (TatABCE protein translocation system subunit)"	 	+ 	+ 	+ 
P0A8K8	YIHY_ECOLI	C6EF15	B	Ribonuclease BN	 	+ 	+ 	+ 
P69380	FIEF_ECOLI	C6EEY3	B	Cation diffusion facilitator family transporter (Ferrous iron efflux protein F)	 	+ 	+ 	+ 
P37645	YHJG_ECOLI	C6EEF9	B	AsmA family protein (Predicted outer membrane biogenesis protein)	 	+ 	+ 	+ 
P0A830	DCTA_ECOLI	C6EEF5	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	 	+ 	+ 	+ 
P37649	YHJK_ECOLI	C6EEF4	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
P37652	BCSB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	 	+ 	+ 	+ 
P37659	YHJU_ECOLI	C6EEE5	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	 	+ 	+ 	+ 
P32166	MENA_ECOLI	C6EE79	B	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	 	+ 	+ 	+ 
P0AF43	YJBB_ECOLI	C6EE04	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	 	+ 	+ 	+ 
P76185	YDHJ_ECOLI	C6EDK1	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	 	+ 	+ 	+ 
P00550	PTM3C_ECOLI	C6EDJ3	B	"Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)"	 	+ 	+ 	+ 
P32703	YJCE_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	 	+ 	+ 	+ 
P32705	ACTP_ECOLI	C6ED58	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	 	+ 	+ 	+ 
P30844	BASS_ECOLI	C6ED12	B	Histidine kinase	 	+ 	+ 	+ 
P36655	DSBD_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	 	+ 	+ 	+ 
P0ABC9	BETT_ECOLI	C6EC73	B	Choline/carnitine/betaine transporter	 	+ 	+ 	+ 
P76237	YEAJ_ECOLI	C6EC44	B	Diguanylate cyclase (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
P23894	HTPX_ECOLI	C6EC00	B	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	 	+ 	+ 	+ 
P76272	YEBT_ECOLI	C6EBZ5	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	 	+ 	+ 	+ 
P24205	MSBB_ECOLI	C6EBX2	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	 	+ 	+ 	+ 
P07650	TYPH_ECOLI	C6EBI9	B	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	 	+ 	+ 	+ 
P0AGC7	SMP_ECOLI	C6EBI4	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	 	+ 	+ 	+ 
P06136	FTSQ_ECOLI	C6EAW2	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	 	+ 	+ 	+ 
P15993	AROP_ECOLI	C6EAU5	B	Amino acid permease-associated region	 	+ 	+ 	+ 
P15877	DHG_ECOLI	C6EAT3	B	"Glucose dehydrogenase (EC 1.1.5.2) (Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family) (EC 1.1.5.2)"	 	+ 	+ 	+ 
P76389	YEGH_ECOLI	C6EAP4	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	 	+ 	+ 	+ 
P76399	MDTC_ECOLI	C6EAM9	B	"Acriflavin resistance protein (Multidrug efflux system, subunit C)"	 	+ 	+ 	+ 
P69831	PTKC_ECOLI	C6EAL8	B	"Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)"	 	+ 	+ 	+ 
P0AFY2	SANA_ECOLI	C6EAG8	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	 	+ 	+ 	+ 
P25737	LYSP_ECOLI	C6EAF7	B	Amino acid permease-associated region (Lysine transporter)	 	+ 	+ 	+ 
P37019	CLCA_ECOLI	C6EAC9	B	Chloride channel core (Chloride channel protein)	 	+ 	+ 	+ 
P31547	METI_ECOLI	C6EA86	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	 	+ 	+ 	+ 
P0AAA1	YAGU_ECOLI	C6EA36	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
P76445	YEIU_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	 	+ 	+ 	+ 
P33915	YEJE_ECOLI	C6EA18	B	Binding-protein-dependent transport systems inner membrane component (Predicted oligopeptide transporter subunit)	 	+ 	+ 	+ 
P0AD27	YEJM_ECOLI	C6EA09	B	"Predicted hydrolase, inner membrane (Sulfatase)"	 	+ 	+ 	+ 
P0ABM9	CCMH_ECOLI	C6EA06	B	"Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)"	 	+ 	+ 	+ 
P0AFF0	NUON_ECOLI	C6E9S6	B	"Proton-translocating NADH-quinone oxidoreductase, chain N"	 	+ 	+ 	+ 
P0AFE8	NUOM_ECOLI	C6E9S5	B	"NADH dehydrogenase subunit M (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain M)"	 	+ 	+ 	+ 
P33607	NUOL_ECOLI	C6E9S4	B	"NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)"	 	+ 	+ 	+ 
P39836	YFEH_ECOLI	C6EL69	B	Bile acid:sodium symporter (Predicted inner membrane protein)	 	+ 	+ 	 
P67244	YQHA_ECOLI	C6EHZ0	B	UPF0114 protein yqhA	 	+ 	+ 	 
P76007	CVRA_ECOLI	C6EGS6	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	 	+ 	+ 	 
P0AFA2	NARX_ECOLI	C6EGP2	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	 	+ 	+ 	 
P13518	CSRD_ECOLI	C6EGK8	B	Conserved inner membrane protein (Diguanylate cyclase/phosphodiesterase)	 	+ 	+ 	 
P36929	RSMB_ECOLI	C6EGH8	B	"16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent (EC 2.1.1.61) (Sun protein)"	 	+ 	+ 	 
P45522	KEFB_ECOLI	C6EGB3	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	 	+ 	+ 	 
