GO:0004416	P05100	Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED
GO:0008444	P0ABF8	PGSA_ECOLI	C6EBF0	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	182		Y
GO:0005886	P24207	PHEP_ECOLI	C6EKC5	B	Amino acid permease-associated region	470		Y
GO:0000160	P23837	PHOQ_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	486		Y
GO:0005886	P0AFJ7	PITA_ECOLI	C6EEJ2	B	Phosphate transporter (Phosphate transporter, low-affinity)	499		Y
GO:0015417	P0AFK4	POTB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	285		Y
GO:0015417	P0AFK6	POTC_ECOLI	C6EGW7	B	Binding-protein-dependent transport systems inner membrane component (Spermidine/putrescine ABC transporter membrane protein)	264		Y
GO:0005886	P43671	PQIB_ECOLI	C6EI31	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	546		Y
GO:0005886	P14176	PROW_ECOLI	C6EJU7	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	354		Y
GO:0005886	P0AAE2	PROY_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	457		Y
GO:0005886	P0AFN2	PSPC_ECOLI	C6EFS6	B	DNA-binding transcriptional activator (Phage shock protein C, PspC)	119		Y
GO:0005886	P20966	PTFBC_ECOLI	C6EA31	B	Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563		Y
GO:0005886	P69801	PTNC_ECOLI	C6EC12	B	Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)	266		Y
GO:0005886	P69805	PTND_ECOLI	C6EC11	B	PTS system, mannose/fructose/sorbose family, IID subunit	283		Y
GO:0005215	P09323	PTW3C_ECOLI	C6EJQ6	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648		Y
GO:0005886	P77272	PTYBC_ECOLI	C6EKS4	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	474		Y
GO:0015207	P31466	PURP_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	445		Y
GO:0015292	P07117	PUTP_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	502		Y
GO:0005886	P0AA53	QMCA_ECOLI	C6EKX5	B	Band 7 protein (Predicted protease, membrane anchored)	305		Y
GO:0000160	P40719	QSEC_ECOLI	C6EHW7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	449		Y
GO:0005886	P0AGI1	RBSC_ECOLI	C6EJ66	B	Inner-membrane translocator (Ribose transport system permease protein rbsC)	327		Y
GO:0000155	P14376	RCSC_ECOLI	C6E9Y2	B	Histidine kinase	949		Y
GO:0008754	P27243	RFAL_ECOLI	C6EDG8	B	Lipid A-core, surface polymer ligase (O-antigen polymerase)	417		Y
GO:0006310	P0AG71	RMUC_ECOLI	C6EF64	B	Predicted recombination limiting protein (Putative uncharacterized protein)	475		Y
GO:0008360	P0ABG7	RODA_ECOLI	C6EK59	B	Cell cycle protein (Cell wall shape-determining protein)	370		Y
GO:0000160	P18392	RSTB_ECOLI	C6EDN9	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with RstA)	433		Y
GO:0005886	P76446	RTN_ECOLI	C6EA21	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518		Y
GO:0005886	P0AFY2	SANA_ECOLI	C6EAG8	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	239		Y
GO:0005886	P0AGH3	SAPB_ECOLI	C6EFT9	B	Binding-protein-dependent transport systems inner membrane component (Predicted antimicrobial peptide transporter subunit)	321		Y
GO:0005886	P0AFY6	SBMA_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	406		Y
GO:0005887	P0AAD6	SDAC_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	429		Y
GO:0005886	P0AG14	SOHB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349		Y
GO:0006465	P08395	SPPA_ECOLI	C6ECJ1	B	Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618		Y
GO:0005295	P0AGE4	SSTT_ECOLI	C6EHQ5	B	Sodium:dicarboxylate symporter (Sodium:serine/threonine symporter)	414		Y
GO:0008565	P0A843	TATE_ECOLI	C6EK66	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67		Y
GO:0005886	P19934	TOLA_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421		Y
GO:0005886	P0ABV6	TOLR_ECOLI	C6EJJ9	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	142		Y
GO:0006744	P0AGK1	UBIA_ECOLI	C6EDY0	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	290		Y
GO:0006744	P0A6A0	UBIB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	546		Y
GO:0042493	P60932	UPPP_ECOLI	C6EHT8	B	Undecaprenol kinase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	273		Y
GO:0000287	P0AC78	WECA_ECOLI	C6EG28	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	367		Y
GO:0009246	P0AG00	WZZE_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348		Y
GO:0010447	P0AAA1	YAGU_ECOLI	C6EA36	B	Conserved inner membrane protein (Putative uncharacterized protein)	204		Y
GO:0005886	P77726	YAJR_ECOLI	C6EL42	B	Major facilitator superfamily MFS_1 (Predicted transporter)	454		Y
GO:0005886	P77307	YBBM_ECOLI	C6EKX3	B	Predicted inner membrane protein (Putative uncharacterized protein)	259		Y
GO:0005886	P77504	YBBP_ECOLI	C6EKW8	B	Predicted inner membrane protein (Putative uncharacterized protein)	804		Y
GO:0000299	P0AAT4	YBDG_ECOLI	C6EKC4	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	415		Y
GO:0005886	P0AFP9	YBHR_ECOLI	C6EIZ0	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	368		Y
GO:0005886	P0AFQ2	YBHS_ECOLI	C6EIY9	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	377		Y
GO:0005886	P60869	YBJL_ECOLI	C6EIQ8	B	Putative transport protein ybjL	561		Y
GO:0005886	P0AB12	YCCF_ECOLI	C6EI20	B	Conserved inner membrane protein (Putative uncharacterized protein)	148		Y
GO:0005886	P75870	YCCS_ECOLI	C6EI21	B	Putative uncharacterized protein	720		Y
GO:0005886	P0AFR2	YCHM_ECOLI	C6EGR0	B	Sulfate transporter	550		Y
GO:0005886	P0ACV4	YCIS_ECOLI	C6EFV5	B	Conserved inner membrane protein (Putative uncharacterized protein)	102		Y
GO:0016020	P76185	YDHJ_ECOLI	C6EDK1	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	285		Y
GO:0005886	P0AFS7	YDIK_ECOLI	C6ECR8	B	Predicted inner membrane protein (Putative uncharacterized protein)	370		Y
GO:0005886	P76237	YEAJ_ECOLI	C6EC44	B	Diguanylate cyclase (Predicted diguanylate cyclase)	496		Y
GO:0016020	P76272	YEBT_ECOLI	C6EBZ5	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	877		Y
GO:0004672	P76339	YEDV_ECOLI	C6EBA0	B	Heavy metal sensor signal transduction histidine kinase	452		Y
GO:0005886	P0AA47	YEEF_ECOLI	C6EB69	B	Amino acid permease-associated region (Predicted amino-acid transporter)	452		Y
GO:0052621	P38097	YEGE_ECOLI	C6EAP0	B	Diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(S) (Predicted diguanylate cyclase, GGDEF domain signalling protein)	1105		Y
GO:0005886	P76389	YEGH_ECOLI	C6EAP4	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	527		Y
GO:0016776	P76445	YEIU_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237		Y
GO:0005886	P0AD27	YEJM_ECOLI	C6EA09	B	Predicted hydrolase, inner membrane (Sulfatase)	586		Y
GO:0005886	P77549	YFCJ_ECOLI	C6ELD1	B	Major facilitator superfamily MFS_1 (Predicted transporter)	392		Y
GO:0002100	P0AD42	YFHB_ECOLI	C6EK28	B	HAD superfamily (Subfamily IF) hydrolase, YfhB	211		Y
GO:0000155	P52101	YFHK_ECOLI	C6EKF1	B	Histidine kinase (Predicted sensory kinase in two-component system)	475		Y
GO:0000287	P37908	YFJD_ECOLI	C6EJY0	B	Putative uncharacterized protein	420		Y
GO:0034419	P37339	YGAF_ECOLI	C6EJW5	B	FAD dependent oxidoreductase (Predicted enzyme)	422		Y
GO:0005886	P55734	YGAP_ECOLI	C6EJV7	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	174		Y
GO:0005886	P45537	YHFK_ECOLI	C6EGA5	B	Integral membrane protein, YccS/YhfK family	696		Y
GO:0000166	P37624	YHIH_ECOLI	C6EEJ8	B	ABC transporter related (Fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein)	911		Y
GO:0005215	P37642	YHJD_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	337		Y
GO:0005886	P37645	YHJG_ECOLI	C6EEF9	B	AsmA family protein (Predicted outer membrane biogenesis protein)	691		Y
GO:0005886	P37649	YHJK_ECOLI	C6EEF4	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	649		Y
GO:0005886	P60872	YIDE_ECOLI	C6ED85	B	Putative uncharacterized protein yidE (YidE/YbjL duplication)	553		Y
GO:0005886	P27837	YIFK_ECOLI	C6EG16	B	Amino acid permease-associated region (Predicted transporter)	461		Y
GO:0000166	P0AF52	YJCD_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	449		Y
GO:0005886	P32703	YJCE_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549		Y
GO:0005886	P0AF54	YJCH_ECOLI	C6ED57	B	Conserved inner membrane protein involved in acetate transport (Putative uncharacterized protein)	104		Y
GO:0005886	P39270	YJDF_ECOLI	C6ED03	B	Conserved inner membrane protein (Putative uncharacterized protein)	209		Y
GO:0005886	P39285	YJEP_ECOLI	C6ECW6	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	1107		Y
GO:0005886	P0AAS0	YLAC_ECOLI	C6EL06	B	Predicted inner membrane protein (Putative uncharacterized protein)	156		Y
GO:0009432	P76208	YNIB_ECOLI	C6ECN2	B	Predicted inner membrane protein (Putative uncharacterized protein)	178		Y
GO:0005886	P0AEC0	YOAE_ECOLI	C6EC15	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	518		Y
GO:0015197	P33941	YOJI_ECOLI	C6E9Y8	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	547		Y
GO:0016020	P64429	YPFJ_ECOLI	C6EKN6	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	287		Y
GO:0005886	P63340	YQEG_ECOLI	C6EIP8	B	Predicted transporter (Serine transporter)	409		Y
GO:0005886	P64585	YQJE_ECOLI	C6EHP4	B	Conserved inner membrane protein (Putative uncharacterized protein)	134		Y
GO:0045947	P0A7L0	RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	234	Y	Y
GO:0003723	P0A7J3	RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	165	Y	Y
GO:0006415	P0A7J7	RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	142	Y	Y
GO:0003723	P0ADY3	RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	123	Y	Y
GO:0003723	P02413	RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	144	Y	Y
GO:0000049	P0ADY7	RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	136	Y	Y
GO:0005840	P0AG44	RL17_ECOLI	C6EGH2	A	50S ribosomal protein L17	127	Y	Y
GO:0003723	P0C018	RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	117	Y	Y
GO:0008270	P60422	RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	273	Y	Y
GO:0000027	P0A7L3	RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	118	Y	Y
GO:0005840	P0A7M2	RL28_ECOLI	C6EDF4	A	50S ribosomal protein L28	78	Y	Y
GO:0000049	P62399	RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	179	Y	Y
GO:0005840	P0A7K2	RL7_ECOLI	C6EE33	A	50S ribosomal protein L7/L12	121	Y	Y
GO:0000049	P0A7R5	RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	103	Y	Y
GO:0000372	P0A7S3	RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	124	Y	Y
GO:0003735	P0A7S9	RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	118	Y	Y
GO:0003735	P0AG59	RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y
GO:0006412	P0A7T7	RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	75	Y	Y
GO:0022627	P0A7V0	RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	241	Y	Y
GO:0003735	P68679	RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	71	Y	Y
GO:0003735	P0A7V3	RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	233	Y	Y
GO:0003723	P0A7V8	RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	206	Y	Y
GO:0006412	P0A7W1	RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	167	Y	Y
GO:0003735	P0A7X3	RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	130	Y	Y
GO:0003735	P0A7R9	RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	129		Y
GO:0008270	P0AA10	RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	142	Y	
GO:0003723	P0A7K6	RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	115	Y	
GO:0003723	P0AG48	RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	103	Y	
GO:0003723	P61175	RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	110	Y	
GO:0003723	P0ADZ0	RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	100	Y	
GO:0003735	P60624	RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	104	Y	
GO:0003723	P68919	RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	94	Y	
GO:0000049	P0A7L8	RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	85	Y	
GO:0003723	P0A7M6	RL29_ECOLI	C6EGF4	A	50S ribosomal protein L29	63	Y	
GO:0003723	P60438	RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	209	Y	
GO:0005840	P0AG51	RL30_ECOLI	C6EGG4	A	50S ribosomal protein L30	59	Y	
GO:0003723	P0A7M9	RL31_ECOLI	C6EE73	A	50S ribosomal protein L31	70	Y	
GO:0005840	P0A7N4	RL32_ECOLI	C6EHC5	A	50S ribosomal protein L32	57	Y	
GO:0030371	P60723	RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	201	Y	
GO:0003723	P0AG55	RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	177	Y	
GO:0003723	P0A7R1	RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	149	Y	
GO:0003723	P0AG67	RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	557	Y	
GO:0003735	P0ADZ4	RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	89	Y	
GO:0003735	P0AG63	RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	84	Y	
GO:0000049	P0A7U3	RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	92	Y	
GO:0003735	P02358	RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	131	Y	
GO:0000028	P02359	RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	156	Y	
GO:0006412	P0A7W7	RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	130	Y	
GO:0008990	P39406	RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	Y	
