K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
PTGCB_ECOLI	C6EGZ1	B	"Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)"	+ 	+ 	+ 	+ 
YHCB_ECOLI	C6EGZ9	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	+ 	+ 	+ 	+ 
LPTC_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	+ 	+ 	+ 	+ 
FTSH_ECOLI	C6EH49	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	+ 	+ 	+ 	+ 
SECG_ECOLI	C6EH52	B	"Preprotein translocase, SecG subunit (Protein-export membrane protein)"	+ 	+ 	+ 	+ 
OPGH_ECOLI	C6EHG3	B	Glycosyl transferase family 2	+ 	+ 	+ 	+ 
PUTP_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	+ 	+ 	+ 	+ 
UPPP_ECOLI	C6EHT8	B	Undecaprenol kinase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	+ 	+ 	+ 	+ 
YGIM_ECOLI	C6EHU0	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	+ 	+ 	+ 	+ 
QSEC_ECOLI	C6EHW7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	+ 	+ 	+ 	+ 
EXBB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	+ 	+ 	+ 	+ 
MSBA_ECOLI	C6EI68	B	"Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)"	+ 	+ 	+ 	+ 
CYDD_ECOLI	C6EI95	B	"ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)"	+ 	+ 	+ 	+ 
CYDC_ECOLI	C6EI96	B	"ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)"	+ 	+ 	+ 	+ 
GALP_ECOLI	C6EIG8	B	Sugar transporter	+ 	+ 	+ 	+ 
MSCS_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	+ 	+ 	+ 	+ 
YBHG_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	+ 	+ 	+ 	+ 
SDAC_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	+ 	+ 	+ 	+ 
TOLR_ECOLI	C6EJJ9	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	+ 	+ 	+ 	+ 
TOLQ_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	+ 	+ 	+ 	+ 
CYDB_ECOLI	C6EJK4	B	"Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)"	+ 	+ 	+ 	+ 
CYDA_ECOLI	C6EJK5	B	"Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)"	+ 	+ 	+ 	+ 
DHSD_ECOLI	C6EJL5	B	"Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)"	+ 	+ 	+ 	+ 
PTW3C_ECOLI	C6EJQ6	B	"Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)"	+ 	+ 	+ 	+ 
EMRA_ECOLI	C6EJU1	B	Efflux pump membrane protein (Multidrug efflux system)	+ 	+ 	+ 	+ 
LEP_ECOLI	C6EK19	B	Signal peptidase I (EC 3.4.21.89)	+ 	+ 	+ 	+ 
YBDG_ECOLI	C6EKC4	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	+ 	+ 	+ 	+ 
RODZ_ECOLI	C6EKJ3	B	"Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)"	+ 	+ 	+ 	+ 
YFGM_ECOLI	C6EKJ6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	+ 	+ 	+ 	+ 
COPA_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	+ 	+ 	+ 	+ 
YBAL_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	+ 	+ 	+ 	+ 
ACRB_ECOLI	C6EL02	B	"Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	+ 	+ 	+ 	+ 
PPID_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	+ 	+ 	+ 	+ 
CYOA_ECOLI	C6EL34	B	"Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)"	+ 	+ 	+ 	+ 
CYOB_ECOLI	C6EL35	B	"Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)"	+ 	+ 	+ 	+ 
ZIPA_ECOLI	C6EL66	B	Cell division protein zipA	+ 	+ 	+ 	+ 
SECF_ECOLI	C6ELH5	B	Protein export protein SecF (Protein-export membrane protein SecF)	+ 	+ 	+ 	+ 
SECD_ECOLI	C6ELH6	B	Protein-export membrane protein SecD	+ 	+ 	+ 	+ 
YAJC_ECOLI	C6ELH7	B	"Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)"	+ 	+ 	+ 	+ 
PTNC_ECOLI	C6EC12	B	"Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)"	+ 	+ 	+ 	 
ELAB_ECOLI	C6E9T3	B	Putative uncharacterized protein (Putative uncharacterized protein elaB)	+ 	+ 	 	+ 
FXSA_ECOLI	C6ECY5	B	FxsA cytoplasmic membrane protein (Inner membrane protein)	+ 	+ 	 	+ 
Null	C6EFS7	B	Phage shock protein B	+ 	+ 	 	+ 
YQJD_ECOLI	C6EHP5	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	+ 	+ 	 	+ 
PSPC_ECOLI	C6EFS6	B	"DNA-binding transcriptional activator (Phage shock protein C, PspC)"	+ 	+ 	 	 
BETT_ECOLI	C6ELR7	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	 	+ 	+ 	+ 
SBMA_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	 	+ 	+ 	+ 
BRNQ_ECOLI	C6ELI3	B	Branched-chain amino acid transport system II carrier protein (Predicted branched chain amino acid transporter (LIV-II))	 	+ 	+ 	+ 
DEDD_ECOLI	C6ELD9	B	Putative uncharacterized protein dedD (Sporulation domain protein)	 	+ 	+ 	+ 
YFCJ_ECOLI	C6ELD1	B	Major facilitator superfamily MFS_1 (Predicted transporter)	 	+ 	+ 	+ 
NUPC_ECOLI	C6EL76	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	 	+ 	+ 	+ 
YFEA_ECOLI	C6EL75	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
CYSZ_ECOLI	C6EL65	B	Protein CysZ	 	+ 	+ 	+ 
YAJR_ECOLI	C6EL42	B	Major facilitator superfamily MFS_1 (Predicted transporter)	 	+ 	+ 	+ 
AMPG_ECOLI	C6EL33	B	AmpG-related permease (Muropeptide transporter)	 	+ 	+ 	+ 
MDLA_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	 	+ 	+ 	+ 
MDLB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	 	+ 	+ 	+ 
YLAB_ECOLI	C6EL07	B	Conserved inner membrane protein (EAL domain protein)	 	+ 	+ 	+ 
KEFA_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	 	+ 	+ 	+ 
FSR_ECOLI	C6EKY5	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	 	+ 	+ 	+ 
QMCA_ECOLI	C6EKX5	B	"Band 7 protein (Predicted protease, membrane anchored)"	 	+ 	+ 	+ 
YBBM_ECOLI	C6EKX3	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YBBP_ECOLI	C6EKW8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
ACRD_ECOLI	C6EKP2	B	"Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	 	+ 	+ 	+ 
YPFJ_ECOLI	C6EKN6	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	 	+ 	+ 	+ 
YFHK_ECOLI	C6EKF1	B	Histidine kinase (Predicted sensory kinase in two-component system)	 	+ 	+ 	+ 
TATE_ECOLI	C6EK66	B	"Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)"	 	+ 	+ 	+ 
RODA_ECOLI	C6EK59	B	Cell cycle protein (Cell wall shape-determining protein)	 	+ 	+ 	+ 
PBP2_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	 	+ 	+ 	+ 
GLTJ_ECOLI	C6EK41	B	"Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	+ 	+ 
LNT_ECOLI	C6EK38	B	Apolipoprotein N-acyltransferase	 	+ 	+ 	+ 
YFHB_ECOLI	C6EK28	B	"HAD superfamily (Subfamily IF) hydrolase, YfhB"	 	+ 	+ 	+ 
KGTP_ECOLI	C6EJZ9	B	"Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))"	 	+ 	+ 	+ 
YFJD_ECOLI	C6EJY0	B	Putative uncharacterized protein	 	+ 	+ 	+ 
KDPD_ECOLI	C6EJN9	B	Osmosensitive K channel His kinase sensor	 	+ 	+ 	+ 
ATKC_ECOLI	C6EJN8	B	Potassium-transporting ATPase C chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	 	+ 	+ 	+ 
TOLA_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	 	+ 	+ 	+ 
PYRG_ECOLI	C6EJ92	B	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	 	+ 	+ 	+ 
BARA_ECOLI	C6EJ86	B	"Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)"	 	+ 	+ 	+ 
LGT_ECOLI	C6EJ41	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	 	+ 	+ 	+ 
AAS_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	 	+ 	+ 	+ 
GLNP_ECOLI	C6EIX2	B	"Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	+ 	+ 
GSIC_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 	+ 	+ 	+ 
YBJL_ECOLI	C6EIQ8	B	Putative transport protein ybjL	 	+ 	+ 	+ 
YQEG_ECOLI	C6EIP8	B	Predicted transporter (Serine transporter)	 	+ 	+ 	+ 
YBJT_ECOLI	C6EIB2	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	 	+ 	+ 	+ 
MACB_ECOLI	C6EIA2	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	 	+ 	+ 	+ 
FOCA_ECOLI	C6EI78	B	Formate transporter (Formate/nitrite transporter)	 	+ 	+ 	+ 
LPXK_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	 	+ 	+ 	+ 
YCBC_ECOLI	C6EI62	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
PQIB_ECOLI	C6EI31	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	 	+ 	+ 	+ 
YCCS_ECOLI	C6EI21	B	Putative uncharacterized protein	 	+ 	+ 	+ 
YCCF_ECOLI	C6EI20	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YQJE_ECOLI	C6EHP4	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
HTRB_ECOLI	C6EHF9	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	 	+ 	+ 	+ 
MVIN_ECOLI	C6EHE4	B	Integral membrane protein MviN (Predicted inner membrane protein)	 	+ 	+ 	+ 
YCEG_ECOLI	C6EHB7	B	Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	 	+ 	+ 	+ 
MLAE_ECOLI	C6EH33	B	Predicted toluene transporter subunit: membrane component of ABC superfamily (Putative uncharacterized protein)	 	+ 	+ 	+ 
MTGA_ECOLI	C6EH19	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	 	+ 	+ 	+ 
DEGS_ECOLI	C6EGZ7	B	"Periplasmic serine protease DegS (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)"	 	+ 	+ 	+ 
PHOQ_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	 	+ 	+ 	+ 
IDH_ECOLI	C6EGV5	B	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	 	+ 	+ 	+ 
CHAA_ECOLI	C6EGP8	B	Calcium/proton exchanger (Calcium/sodium:proton antiporter)	 	+ 	+ 	+ 
AAEA_ECOLI	C6EGL9	B	p-hydroxybenzoic acid efflux pump subunit AaeA (pHBA efflux pump protein A)	 	+ 	+ 	+ 
MREC_ECOLI	C6EGL1	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	 	+ 	+ 	+ 
PURP_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	 	+ 	+ 	+ 
PSTA_ECOLI	C6EG77	B	"Phosphate ABC transporter, inner membrane subunit PstA (Phosphate transporter subunit)"	 	+ 	+ 	+ 
WECA_ECOLI	C6EG28	B	UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase (EC 2.4.1.-) (Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase)	 	+ 	+ 	+ 
OPPC_ECOLI	C6EFZ1	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	 	+ 	+ 	+ 
CLS_ECOLI	C6EFY7	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	 	+ 	+ 	+ 
YCIS_ECOLI	C6EFV5	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YCJF_ECOLI	C6EFR0	B	UPF0283 membrane protein ycjF	 	+ 	+ 	+ 
GNTT_ECOLI	C6EFF9	B	"Gluconate transporter (Gluconate transporter, high-affinity GNT I system)"	 	+ 	+ 	+ 
GLPG_ECOLI	C6EFF0	B	Predicted intramembrane serine protease (Rhomboid protease) (EC 3.4.21.105)	 	+ 	+ 	+ 
RMUC_ECOLI	C6EF64	B	Predicted recombination limiting protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
TATC_ECOLI	C6EF58	B	"Sec-independent protein translocase, TatC subunit (TatABCE protein translocation system subunit)"	 	+ 	+ 	+ 
YIHY_ECOLI	C6EF15	B	Ribonuclease BN	 	+ 	+ 	+ 
FIEF_ECOLI	C6EEY3	B	Cation diffusion facilitator family transporter (Ferrous iron efflux protein F)	 	+ 	+ 	+ 
YHJG_ECOLI	C6EEF9	B	AsmA family protein (Predicted outer membrane biogenesis protein)	 	+ 	+ 	+ 
DCTA_ECOLI	C6EEF5	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	 	+ 	+ 	+ 
YHJK_ECOLI	C6EEF4	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
BCSB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	 	+ 	+ 	+ 
YHJU_ECOLI	C6EEE5	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	 	+ 	+ 	+ 
MENA_ECOLI	C6EE79	B	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	 	+ 	+ 	+ 
YJBB_ECOLI	C6EE04	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	 	+ 	+ 	+ 
YDHJ_ECOLI	C6EDK1	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	 	+ 	+ 	+ 
PTM3C_ECOLI	C6EDJ3	B	"Fused mannitol-specific PTS enzymes: IIA components/IIB components/IIC components (PTS system, mannitol-specific IIC subunit)"	 	+ 	+ 	+ 
YJCE_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	 	+ 	+ 	+ 
ACTP_ECOLI	C6ED58	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	 	+ 	+ 	+ 
BASS_ECOLI	C6ED12	B	Histidine kinase	 	+ 	+ 	+ 
DSBD_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	 	+ 	+ 	+ 
BETT_ECOLI	C6EC73	B	Choline/carnitine/betaine transporter	 	+ 	+ 	+ 
YEAJ_ECOLI	C6EC44	B	Diguanylate cyclase (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
HTPX_ECOLI	C6EC00	B	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	 	+ 	+ 	+ 
YEBT_ECOLI	C6EBZ5	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	 	+ 	+ 	+ 
MSBB_ECOLI	C6EBX2	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	 	+ 	+ 	+ 
TYPH_ECOLI	C6EBI9	B	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	 	+ 	+ 	+ 
SMP_ECOLI	C6EBI4	B	Putative uncharacterized protein (Putative uncharacterized protein smp)	 	+ 	+ 	+ 
FTSQ_ECOLI	C6EAW2	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	 	+ 	+ 	+ 
AROP_ECOLI	C6EAU5	B	Amino acid permease-associated region	 	+ 	+ 	+ 
DHG_ECOLI	C6EAT3	B	"Glucose dehydrogenase (EC 1.1.5.2) (Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family) (EC 1.1.5.2)"	 	+ 	+ 	+ 
YEGH_ECOLI	C6EAP4	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	 	+ 	+ 	+ 
MDTC_ECOLI	C6EAM9	B	"Acriflavin resistance protein (Multidrug efflux system, subunit C)"	 	+ 	+ 	+ 
PTKC_ECOLI	C6EAL8	B	"Galactitol-specific enzyme IIC component of PTS (PTS system, galactitol-specific IIC subunit)"	 	+ 	+ 	+ 
SANA_ECOLI	C6EAG8	B	Putative uncharacterized protein (Putative uncharacterized protein sanA)	 	+ 	+ 	+ 
LYSP_ECOLI	C6EAF7	B	Amino acid permease-associated region (Lysine transporter)	 	+ 	+ 	+ 
CLCA_ECOLI	C6EAC9	B	Chloride channel core (Chloride channel protein)	 	+ 	+ 	+ 
METI_ECOLI	C6EA86	B	Binding-protein-dependent transport systems inner membrane component (DL-methionine transporter subunit)	 	+ 	+ 	+ 
YAGU_ECOLI	C6EA36	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YEIU_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	 	+ 	+ 	+ 
YEJE_ECOLI	C6EA18	B	Binding-protein-dependent transport systems inner membrane component (Predicted oligopeptide transporter subunit)	 	+ 	+ 	+ 
YEJM_ECOLI	C6EA09	B	"Predicted hydrolase, inner membrane (Sulfatase)"	 	+ 	+ 	+ 
CCMH_ECOLI	C6EA06	B	"Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)"	 	+ 	+ 	+ 
NUON_ECOLI	C6E9S6	B	"Proton-translocating NADH-quinone oxidoreductase, chain N"	 	+ 	+ 	+ 
NUOM_ECOLI	C6E9S5	B	"NADH dehydrogenase subunit M (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain M)"	 	+ 	+ 	+ 
NUOL_ECOLI	C6E9S4	B	"NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)"	 	+ 	+ 	+ 
YFEH_ECOLI	C6EL69	B	Bile acid:sodium symporter (Predicted inner membrane protein)	 	+ 	+ 	 
YQHA_ECOLI	C6EHZ0	B	UPF0114 protein yqhA	 	+ 	+ 	 
CVRA_ECOLI	C6EGS6	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	 	+ 	+ 	 
NARX_ECOLI	C6EGP2	B	Histidine kinase (EC 2.7.13.3) (Sensory histidine kinase in two-component regulatory system with NarL) (EC 2.7.3.-)	 	+ 	+ 	 
CSRD_ECOLI	C6EGK8	B	Conserved inner membrane protein (Diguanylate cyclase/phosphodiesterase)	 	+ 	+ 	 
RSMB_ECOLI	C6EGH8	B	"16S rRNA m5C967 methyltransferase, S-adenosyl-L-methionine-dependent (EC 2.1.1.61) (Sun protein)"	 	+ 	+ 	 
KEFB_ECOLI	C6EGB3	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	 	+ 	+ 	 
ENVZ_ECOLI	C6EFH0	B	Histidine kinase	 	+ 	+ 	 
C561_ECOLI	C6EEU4	B	Cytochrome B561 (Cytochrome b561) (EC 1.2.2.4)	 	+ 	+ 	 
TEHA_ECOLI	C6EET4	B	C4-dicarboxylate transporter/malic acid transport protein (Potassium-tellurite ethidium and proflavin transporter)	 	+ 	+ 	 
RFAL_ECOLI	C6EDG8	B	"Lipid A-core, surface polymer ligase (O-antigen polymerase)"	 	+ 	+ 	 
YICN_ECOLI	C6EDA6	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	 	+ 	+ 	 
MDTK_ECOLI	C6ECU0	B	Multidrug resistance protein mdtK (Multidrug-efflux transporter)	 	+ 	+ 	 
YJIN_ECOLI	C6EBP2	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	 
YEDV_ECOLI	C6EBA0	B	Heavy metal sensor signal transduction histidine kinase	 	+ 	+ 	 
KEFC_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	 	+ 	+ 	 
CCMF_ECOLI	C6EA04	B	"Cytochrome c assembly protein (Heme lyase, CcmF subunit)"	 	+ 	+ 	 
YOJI_ECOLI	C6E9Y8	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	 	+ 	+ 	 
YPDA_ECOLI	C6EL88	B	"Predicted sensory kinase in two-component system with YpdB (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)"	 	+ 	 	+ 
YLAC_ECOLI	C6EL06	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
PTYBC_ECOLI	C6EKS4	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	 	+ 	 	+ 
PERM_ECOLI	C6EKL8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
YGAP_ECOLI	C6EJV7	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	 	+ 	 	+ 
PROW_ECOLI	C6EJU7	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	 	+ 	 	+ 
FTSB_ECOLI	C6EJB9	B	Cell diviision protein FtsB (Septum formation initiator)	 	+ 	 	+ 
ARTM_ECOLI	C6EIC0	B	"Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	 	+ 
GLPF_ECOLI	C6EEX1	B	Glycerol facilitator (MIP family channel protein)	 	+ 	 	+ 
YDIK_ECOLI	C6ECR8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
YNIB_ECOLI	C6ECN2	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	+ 
YTFB_ECOLI	C6ECD8	B	Opacity-associated protein A (Predicted cell envelope opacity-associated protein)	 	+ 	 	+ 
YTFN_ECOLI	C6ECC4	B	Putative uncharacterized protein (Putative uncharacterized protein ytfN)	 	+ 	 	+ 
YEBO_ECOLI	C6EC05	B	Putative uncharacterized protein yebO (Uncharacterized protein YebO)	 	+ 	 	+ 
YOBH_ECOLI	C6EC03	B	Putative uncharacterized protein	 	+ 	 	+ 
PGSA_ECOLI	C6EBF0	B	CDP-diacylglycerol/glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthetase) (EC 2.7.8.5)	 	+ 	 	+ 
NHAA_ECOLI	C6EB35	B	Na+/H+ antiporter NhaA (pH-dependent sodium/proton antiporter)	 	+ 	 	+ 
FTSL_ECOLI	C6EAX2	B	Cell division protein FtsL (Membrane bound cell division protein at septum containing leucine zipper motif)	 	+ 	 	+ 
YEHU_ECOLI	C6EAI6	B	"Predicted sensory kinase in two-component system with YehT (Signal transduction histidine kinase, LytS) (EC 2.7.13.3)"	 	+ 	 	+ 
DSBE_ECOLI	C6EA05	B	Periplasmic thioredoxin of cytochrome c-type biogenesis (Redoxin domain protein)	 	+ 	 	+ 
MQO_ECOLI	C6E9Y9	B	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	 	+ 	 	+ 
FLK_ECOLI	C6ELD2	B	Flagella assembly protein (Predicted flagella assembly protein)	 	+ 	 	 
YBBJ_ECOLI	C6EKX6	B	Putative uncharacterized protein	 	+ 	 	 
YFGG_ECOLI	C6EKK6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgG)	 	+ 	 	 
CUSS_ECOLI	C6EKD1	B	"Heavy metal sensor signal transduction histidine kinase (Sensory histidine kinase in two-component regulatory system with CusR, senses copper ions)"	 	+ 	 	 
RSEA_ECOLI	C6EK15	B	"Anti sigma-E protein, RseA (Anti-sigma factor)"	 	+ 	 	 
YGFX_ECOLI	C6EIL2	B	Putative uncharacterized protein (Putative uncharacterized protein ygfX)	 	+ 	 	 
YGGT_ECOLI	C6EIF9	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	 	 
ALX_ECOLI	C6EHQ7	B	"Integral membrane protein TerC (Predicted inner membrane protein, part of terminus)"	 	+ 	 	 
EFEU_ECOLI	C6EHJ0	B	FTR1 family protein	 	+ 	 	 
