Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category 	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
RS15_ECOLI	P0ADZ4	C6EH60	A	F1 This study	F1	This study	30S ribosomal protein S15	89	Y				translation	translation	GO:0006412			226896	3,16E+05	4,53E+05	18,31	791,36
RS17_ECOLI	P0AG63	C6EGF5	A	F1 This study	F1	This study	30S ribosomal protein S17	84	Y					response to antibiotic|translation	GO:0046677|GO:0006412			49632	2,15E+04	9,52E+04	99	4064,14
RS19_ECOLI	P0A7U3	C6EGF0	A	F1 This study	F1	This study	30S ribosomal protein S19	92	Y				translation	RNA binding|rRNA binding|tRNA binding	GO:0003723|GO:0000049|GO:0019843			50413	1,78E+04	8,52E+04	397,11	15625,86
RS6_ECOLI	P02358	C6ECE9	A	F1 This study	F1	This study	30S ribosomal protein S6	131	Y				translation	translation	GO:0006412			14204	2,68E+03	2,84E+04	176,83	7,132
RS7_ECOLI	P02359	C6EGC3	A	F1 This study	F1	This study	30S ribosomal protein S7	156	Y			ribosome	translation	negative regulation of translation|ribosomal small subunit assembly|translation	GO:0000028|GO:0017148|GO:0006412			67291	3,59E+04	1,28E+05	162,79	6582,23
RS8_ECOLI	P0A7W7	C6EGG0	A	F1 This study	F1	This study	30S ribosomal protein S8	130	Y				translation	translation|regulation of translation|regulation of mRNA stability	GO:0006412|GO:0043488|GO:0006417			5204	4,21E+02	9,68E+03	16,78	727,17
RSMC_ECOLI	P39406	C6EBK1	A	F1 This study	F1	This study	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	Y			cytoplasm		rRNA base methylation|methylation|rRNA processing|rRNA methylation	GO:0031167|GO:0032259|GO:0006364|GO:0070475			318	2,73E+00	5,18E+02	2,55	117,04
SRA_ECOLI	P68191	C6EEN7	A	F1 This study	F1	This study	30S ribosomal subunit S22 (30S ribosomal subunit protein S22)	45	Y			ribosome	translation					326440	9,90E+01	4,18E+03			6,487	648700
				 																				
Transport				 																				
KEFC_ECOLI	P03819	C6EB06	B	 			Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	620		Y		plasma membrane	transmembrane transport	transport|response to methylglyoxal|potassium ion transport|response to toxin|ion transport	GO:0006810|GO:0006813|GO:0051595|GO:0006811|GO:0009636			134					0,0013379	133,79
PUTP_ECOLI	P07117	C6EHJ1	B	 			Proline:sodium symporter (Sodium/proline symporter)	502		Y		plasma membrane	transmembrane transport	proline transport|amino acid transport|transport|sodium ion transport|ion transport	GO:0006810|GO:0006865|GO:0015824|GO:0006811|GO:0006814			723			1,78	83	0,013638	1363,8
YBDG_ECOLI	P0AAT4	C6EKC4	B	 			MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	415		Y		plasma membrane	transmembrane transport	transport|ion transport|cellular response to osmotic stress	GO:0006810|GO:0071470|GO:0006811			199			0,41	20	0,0037704	377,04
CORA_ECOLI	P0ABI4	C6EFZ7	B	 			Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316	Y	Y		plasma membrane	transmembrane transport::transport	transport|ion transport	GO:0006810|GO:0006811			536	5,85E-01	2,12E+02	3,92	177,58	0,012192	1219,2
CYCA_ECOLI	P0AAE0	C6ECD6	B	 			Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	Y	Y		plasma membrane	transmembrane transport::transport	amino acid transport|transport	GO:0006810|GO:0006865									
CYDC_ECOLI	P23886	C6EI96	B	 			ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)	573	Y	Y		plasma membrane	transmembrane transport::transport	transport	GO:0006810			346			0,32	15,65	0,0067555	675,55
MSCS_ECOLI	P0C0S1	C6EII5	B	 			Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	Y	Y		plasma membrane	transmembrane transport::transport	cellular water homeostasis|transport|ion transport	GO:0006810|GO:0009992|GO:0006811			213	1,31E+00	3,39E+02	1,89	87,54		
YBAL_ECOLI	P39830	C6EKY6	B	 			Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	558	Y	Y		plasma membrane	transmembrane transport::transport	transport|ion transport	GO:0006810|GO:0006811									
ACTP_ECOLI	P32705	C6ED58	B	 			Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549		Y		plasma membrane	transmembrane transport::transport	transport|sodium ion transport|ion transport	GO:0006810|GO:0006814|GO:0006811									
GABP_ECOLI	P25527	C6EJW2	B	 			GABA permease (Gamma-aminobutyrate transporter)	466		Y		plasma membrane	transmembrane transport::transport	amino acid transport|transport	GO:0006810|GO:0006865									
KEFA_ECOLI	P77338	C6EKZ9	B	 			Fused conserved protein (MscS Mechanosensitive ion channel)	1120		Y		plasma membrane	transmembrane transport::transport	cellular water homeostasis|transport|potassium ion transport|ion transport	GO:0006810|GO:0006813|GO:0009992|GO:0006811			72	2,84E-01	1,39E+02	0,08	4,08		
PHEP_ECOLI	P24207	C6EKC5	B	 			Amino acid permease-associated region	470		Y		plasma membrane	transmembrane transport::transport	amino acid transport|transport	GO:0006810|GO:0006865									
PROY_ECOLI	P0AAE2	C6ELI2	B	 			Amino acid permease-associated region (Predicted cryptic proline transporter)	457		Y		plasma membrane	transmembrane transport::transport	amino acid transport|transport	GO:0006810|GO:0006865									
YEEF_ECOLI	P0AA47	C6EB69	B	 			Amino acid permease-associated region (Predicted amino-acid transporter)	452		Y		plasma membrane	transmembrane transport::transport	amino acid transport|transport	GO:0006810|GO:0006865			235	1,68E+00	3,92E+02	1,68	78		
YJCD_ECOLI	P0AF52	C6ED60	B	 			Predicted permease (Xanthine/uracil/vitamin C permease)	449		Y		plasma membrane	transmembrane transport::transport	transport	GO:0006810									
YJEP_ECOLI	P39285	C6ECW6	B	 			MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	1107		Y		plasma membrane	transmembrane transport::transport											
ACRB_ECOLI	P31224	C6EL02	B	 			Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	Y	Y		chromosome::cytoplasm::plasma membrane	transport	transport	GO:0006810			395	1,71E+00	3,95E+02				
ARTQ_ECOLI	P0AE34	C6EIB9	B	 			Arginine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238		Y		plasma membrane	transport	amino acid transport|transport	GO:0006810|GO:0006865									
CYSW_ECOLI	P0AEB0	C6EL54	B	 			Sulfate ABC transporter, inner membrane subunit	291		Y		plasma membrane	transport	sulfate transport|transport	GO:0006810|GO:0008272									
DHSD_ECOLI	P0AC44	C6EJL5	B	 			Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)	115		Y		plasma membrane	transport	cytochrome complex assembly|transport|electron transport chain|tricarboxylic acid cycle|aerobic respiration	GO:0006099|GO:0006810|GO:0022900|GO:0017004|GO:0009060			12492			315,23	12491,64		
EMRA_ECOLI	P27303	C6EJU1	B	 			Efflux pump membrane protein (Multidrug efflux system)	390		Y			transport	response to antibiotic|transport|response to drug	GO:0046677|GO:0006810|GO:0042493			110	4,38E-01	1,79E+02	0,86	41		
GLTJ_ECOLI	P0AER3	C6EK41	B	 			Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	246		Y		plasma membrane	transport	amino acid transport|transport	GO:0006810|GO:0006865									
GSIC_ECOLI	P75798	C6EIV1	B	 			Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	306		Y		plasma membrane	transport	transport	GO:0006810									
MACB_ECOLI	P75831	C6EIA2	B	 			ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	648		Y		plasma membrane	transport	response to antibiotic|transport	GO:0046677|GO:0006810									
MDTC_ECOLI	P76399	C6EAM9	B	 			Acriflavin resistance protein (Multidrug efflux system, subunit C)	1025		Y		plasma membrane	transport	transport	GO:0006810									
PTFBC_ECOLI	P20966	C6EA31	B	 			Fused fructose-specific PTS enzymes: IIBcomponent/IIC components (PTS system, fructose subfamily, IIC subunit)	563		Y		plasma membrane	transport	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	GO:0006810|GO:0016310|GO:0008643|GO:0009401									
TATE_ECOLI	P0A843	C6EK66	B	 			Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67		Y			transport	transport|protein transport|transmembrane transport	GO:0006810|GO:0055085|GO:0015031			2114			2,98	136,13	0,040915	4091,5
YBBP_ECOLI	P77504	C6EKW8	B	 			Predicted inner membrane protein (Putative uncharacterized protein)	804		Y		plasma membrane	transport	transport	GO:0006810									
YBHS_ECOLI	P0AFQ2	C6EIY9	B	 			ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	377		Y		plasma membrane	transport	transport	GO:0006810									
YHJD_ECOLI	P37642	C6EEG1	B	 			Conserved inner membrane protein (Ribonuclease)	337		Y		plasma membrane	transport	transport	GO:0006810									
YIDE_ECOLI	P60872	C6ED85	B	 			Putative uncharacterized protein yidE (YidE/YbjL duplication)	553		Y		plasma membrane	transport	transport	GO:0006810									
				 																				
Protein Translocation				 																				
SECA_ECOLI	P10408	C6EAV7	F1	 curated		curated	Protein translocase subunit secA	901	Y	Y		cytoplasm::plasma membrane	protein targeting	transport|protein transport|transmembrane transport	GO:0006810|GO:0055085|GO:0015031			1215	2,73E+00	5,18E+02	5,17	232,24	0,028944	2894,4
SECB_ECOLI	P0AG86	C6EDI0	F1	 curated		curated	Protein-export protein secB	155	Y			cytoplasm	protein targeting	transport|protein targeting|protein transport|protein transport by the Sec complex|transmembrane transport	GO:0006810|GO:0006605|GO:0055085|GO:0043952|GO:0015031			15665	6,21E+01	3,19E+03	62	2585,84	0,4122	41220
				 																				
Unknown				 																				
RHSB_ECOLI	P16917	C6EF92	A	F1 This study	F1	This study	RhsB element core protein RshB (YD repeat protein)	1411		Y														
YLAC_ECOLI	P0AAS0	C6EL06	B	 			Predicted inner membrane protein (Putative uncharacterized protein)	156		Y								136			2,98	136,13		
YNIB_ECOLI	P76208	C6ECN2	B	 			Predicted inner membrane protein (Putative uncharacterized protein)	178		Y		plasma membrane		SOS response|response to DNA damage stimulus	GO:0006974|GO:0009432									
YPFJ_ECOLI	P64429	C6EKN6	B	 			Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	287		Y														
YQJE_ECOLI	P64585	C6EHP4	B	 			Conserved inner membrane protein (Putative uncharacterized protein)	134		Y		plasma membrane												
YJDF_ECOLI	P39270	C6ED03	B	 			Conserved inner membrane protein (Putative uncharacterized protein)	209		Y														
YHHM_ECOLI	P37615	C6EFA7	B	 			Putative receptor	119		Y														
NANT_ECOLI	P41036	C6EH08	B	 			Putative sialic acid transporter (Sialic acid permease)	496		Y				carbohydrate transport|transport	GO:0006810|GO:0008643			54			1,15	54,08		
YBJL_ECOLI	P60869	C6EIQ8	B	 			Putative transport protein ybjL	561		Y				transport	GO:0006810			21			0,44	21,31		
YGAM_ECOLI	P0ADQ7	C6EJV3	B	 			Putative uncharacterized protein	109	Y	Y								64			1,37	64,08		
YCCS_ECOLI	P75870	C6EI21	B	 			Putative uncharacterized protein	720		Y		plasma membrane												
YFJD_ECOLI	P37908	C6EJY0	B	 			Putative uncharacterized protein	420		Y		plasma membrane		carbohydrate catabolic process|non-phosphorylated glucose catabolic process	GO:0019595|GO:0016052									
ELAB_ECOLI	P0AEH5	C6E9T3	B	 			Putative uncharacterized protein (Putative uncharacterized protein elaB)	101	Y	Y								12356	2,16E+00	4,53E+02	0,78	37,12	0,36578	36578
SANA_ECOLI	P0AFY2	C6EAG8	B	 			Putative uncharacterized protein (Putative uncharacterized protein sanA)	239		Y		plasma membrane												
SMP_ECOLI	P0AGC7	C6EBI4	B	 			Putative uncharacterized protein (Putative uncharacterized protein smp)	214	Y	Y														
YFGM_ECOLI	P76576	C6EKJ6	B	 			Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	Y	Y								239	1,78E+00	4,05E+02	1,58	73,59		
YHCB_ECOLI	P0ADW3	C6EGZ9	B	 			Putative uncharacterized protein (Putative uncharacterized protein yhcB)	132	Y	Y		plasma membrane		oxidation-reduction process	GO:0055114			540			12,34	540		
YICN_ECOLI	P0ADL3	C6EDA6	B	 			Putative uncharacterized protein (Putative uncharacterized protein yicN)	150		Y														
YQJD_ECOLI	P64581	C6EHP5	B	 			Putative uncharacterized protein (Putative uncharacterized protein yqjD)	101	Y	Y								14223	1,68E+01	1,49E+03	12,89	563,11	0,40617	40617
LPTC_ECOLI	P0ADV9	C6EH28	B	 			Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191		Y				lipopolysaccharide transport	GO:0015920									
DAMX_ECOLI	P11557	C6EFI8	B	 			Putative uncharacterized protein damX (Sporulation domain protein)	428	Y	Y		plasma membrane	cell cycle	cell cycle|cell division|cytokinesis	GO:0051301|GO:0000910|GO:0007049			336	3,44E+00	5,93E+02	1,68	78		
YEBO_ECOLI	P64499	C6EC05	B	 			Putative uncharacterized protein yebO (Uncharacterized protein YebO)	95	Y	Y								136			2,98	136,13		
RODZ_ECOLI	P27434	C6EKJ3	B	 			Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	Y	Y		plasma membrane		regulation of cell shape|peptidoglycan biosynthetic process	GO:0009252|GO:0008360			487	4,99E+00	7,37E+02	4,01	181,53	0,0054145	541,45
				 																				
				 																				
Various Not yet classified				 																				
				 																				
				 																				
				 																				
AAT_ECOLI	P00509	C6EI54	A	F1? This study	F1?	This study	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	Y					L-phenylalanine biosynthetic process from chorismate via phenylpyruvate|aspartate biosynthetic process	GO:0006532|GO:0033585			4505	3,06E+01	2,11E+03	25,49	1090,63	0,10313	10313
ACCA_ECOLI	P0ABD5	C6EAA0	A	F1? This study	F1?	This study	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y					lipid biosynthetic process|fatty acid biosynthetic process	GO:0006633|GO:0008610			843	9,00E+00	1,04E+03	14,85	645,93		
ACCC_ECOLI	P24182	C6EGK4	A	F1? This study	F1?	This study	Acetyl-CoA carboxylase (EC 6.3.4.14) (Acetyl-CoA carboxylase, biotin carboxylase)	449	Y					lipid biosynthetic process|negative regulation of fatty acid biosynthetic process|fatty acid biosynthetic process	GO:0045717|GO:0006633|GO:0008610			1033	1,45E+01	1,37E+03	16,01	695		
ACEA_ECOLI	P0A9G6	C6EE08	A	F1? This study	F1?	This study	Isocitrate lyase	434	Y			cytoplasm		glyoxylate cycle|tricarboxylic acid cycle	GO:0006099|GO:0006097			1522			19,15	1522,03		
ACKA_ECOLI	P0A6A3	C6ELF7	A	F1? This study	F1?	This study	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	Y			cytosol		phosphorylation	GO:0016310			8159	5,17E+02	1,09E+04	14,51	5090,85	0,084861	8486,1
ADD_ECOLI	P22333	C6EDM4	A	F1? This study	F1?	This study	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	Y			cytoplasm		purine nucleotide salvage|purine ribonucleoside monophosphate biosynthetic process|hypoxanthine salvage|purine nucleotide interconversion|adenosine catabolic process|nucleotide metabolic process	GO:0015950|GO:0032261|GO:0043103|GO:0006154|GO:0009168|GO:0009117			241	9,95E-01	2,89E+02	4,27	192,93		
CISY_ECOLI	P0ABH7	C6EJL8	A	F1? This study	F1?	This study	Citrate synthase (EC 2.3.3.1)	427	Y			cytosol		tricarboxylic acid cycle|metabolic process	GO:0006099|GO:0008152			2180	1,44E+01	1,36E+03	24,12	1577,84	0,036019	3601,9
ARGB_ECOLI	P0A6C8	C6EE50	A	F1? This study	F1?	This study	Acetylglutamate kinase	258	Y			cytoplasm		cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation	GO:0016310|GO:0008652|GO:0006526									
ARGE_ECOLI	P23908	C6EE52	A	F1? This study	F1?	This study	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383	Y					cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526			273			0,36	17,54	0,0052867	528,67
ARLY_ECOLI	P11447	C6EE49	A	F1? This study	F1?	This study	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	Y					cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526									
ASPA_ECOLI	P0AC38	C6ECY6	A	F1? This study	F1?	This study	Aspartate ammonia-lyase	478	Y			cytosol		lyase activity|aspartate ammonia-lyase activity	GO:0016829|GO:0008797			589	2,79E+00	5,26E+02	9	398	0,0084338	843,38
ASSY_ECOLI	P0A6E4	C6EH54	A	F1? This study	F1?	This study	Argininosuccinate synthase (EC 6.3.4.5)	447	Y			cytoplasm		cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526			711	2,90E+00	5,37E+02	0,65	31	0,015663	1566,3
CARB_ECOLI	P00968	C6EB19	A	F1? This study	F1?	This study	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	Y					cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process	GO:0008652|GO:0006221|GO:0006526			1137	8,05E+00	9,72E+02	30,62	1302,81		
G3P1_ECOLI	P0A9B2	C6EC50	A	F1? This study	F1?	This study	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	Y			cytosol		oxidation-reduction process|glycolysis	GO:0006096|GO:0055114			97347	5,82E+04	1,70E+05	109,07	20789,62	1,0125	101250
GCSP_ECOLI	P33195	C6EIK5	A	F1? This study	F1?	This study	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y			cytosol		oxidation-reduction process	GO:0055114			1535	3,85E+00	6,33E+02	4,96	223,08	0,03748	3748
GLGA_ECOLI	P0A6U8	C6EFE5	A	F1? This study	F1?	This study	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	Y					glycogen biosynthetic process	GO:0005978			97	3,59E-01	1,60E+02	0,72	34,35		
GLMS_ECOLI	P17169	C6EG74	A	F1? This study	F1?	This study	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y			cytosol		glutamine metabolic process|UDP-N-acetylglucosamine biosynthetic process	GO:0006541|GO:0006048			1064	1,43E+01	1,36E+03	17,74	767,47		
GLTB_ECOLI	P09831	C6EH15	A	F1? This study	F1?	This study	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	Y					oxidation-reduction process|cellular amino acid biosynthetic process|glutamine metabolic process|glutamate biosynthetic process	GO:0006541|GO:0008652|GO:0006537|GO:0055114			2571	4,91E+00	7,29E+02	0,31	15,17	0,06969	6969
GNSA_ECOLI	P0AC92	C6EHL6	A	F1? This study	F1?	This study	GnsAGnsB family protein (Predicted regulator of phosphatidylethanolamine synthesis)	57	Y									1040	9,00E+00	1,04E+03				
GPMA_ECOLI	P62707	C6EJI9	A	F1? This study	F1?	This study	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	Y			cytoplasm		glycolysis	GO:0006096			14871	8,37E+02	1,44E+04	9,86	253,16	0,29961	29961
GUAA_ECOLI	P04079	C6EKK2	A	F1? This study	F1?	This study	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525	Y			cytosol		GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process	GO:0006541|GO:0006177|GO:0006164			6072	6,32E+01	3,22E+03	31,82	1352,28	0,13645	13645
DAPD_ECOLI	P0A9D8	C6EAB9	A	F1? This study	F1?	This study	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	Y					cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process	GO:0008652|GO:0019877|GO:0009085			7205	6,57E+02	1,25E+04	45,42	1909,42		
DEOB_ECOLI	P0A6K6	C6EBI8	A	F1? This study	F1?	This study	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	Y			cytoplasm		isomerase activity|phosphopentomutase activity|metal ion binding	GO:0046872|GO:0008973|GO:0016853			3768	5,89E+01	3,09E+03	8,09	358,47	0,078566	7856,6
DEOD_ECOLI	P0ABP8	C6EBI7	A	F1? This study	F1?	This study	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	Y			cytosol		purine nucleoside interconversion|purine nucleoside catabolic process	GO:0019686|GO:0006152			21216	6,10E+03	4,58E+04	50	2087,68	0,15759	15759
ILVD_ECOLI	P05791	C6EG40	A	F1? This study	F1?	This study	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	Y					cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process	GO:0008652|GO:0009082			443	2,12E-01	1,17E+02			0,0076861	768,61
ISPG_ECOLI	P62620	C6EKJ4	A	F1? This study	F1?	This study	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	Y					oxidation-reduction process|isoprenoid biosynthetic process	GO:0008299|GO:0055114			773	3,16E+00	5,65E+02	2,46	113,03	0,016418	1641,8
KAD_ECOLI	P69441	C6EKZ0	A	F1? This study	F1?	This study	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	Y			cytoplasm		purine ribonucleotide interconversion|purine ribonucleotide biosynthetic process|nucleotide biosynthetic process|phosphorylation	GO:0016310|GO:0015951|GO:0009165|GO:0009152			11809	9,90E+01	4,18E+03	17,96	402,59	0,30843	30843
KPYK2_ECOLI	P21599	C6EBX3	A	F1? This study	F1?	This study	Pyruvate kinase (EC 2.7.1.40)	480	Y			cytosol		glycolysis|metabolic process|phosphorylation	GO:0016310|GO:0008152|GO:0006096			2042	4,34E+00	6,79E+02	13,07	404,41	0,050419	5041,9
METH_ECOLI	P13009	C6EE05	A	F1? This study	F1?	This study	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	Y			cytoplasm		cellular amino acid biosynthetic process|methionine biosynthetic process|methylation	GO:0008652|GO:0032259|GO:0009086			64	2,33E-01	1,24E+02	0,09	4,57		
NDK_ECOLI	P0A763	C6EKJ1	A	F1? This study	F1?	This study	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	Y			cytoplasm		phosphorylation|nucleotide metabolic process	GO:0016310|GO:0009117			6388	1,46E+02	5,23E+03	41,17	1735,95	0,12198	12198
ODO1_ECOLI	P0AFG3	C6EJL2	A	F1? This study	F1?	This study	2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933	Y			cytosol		oxidation-reduction process|glycolysis	GO:0006096|GO:0055114			2770	1,38E+01	1,33E+03	14,44	628,64	0,063527	6352,7
ODO2_ECOLI	P0AFG6	C6EJL1	A	F1? This study	F1?	This study	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	Y					tricarboxylic acid cycle	GO:0006099			2261	3,06E+01	2,11E+03	30,62	2411,74		
PDXH_ECOLI	P0AFI7	C6EDK7	A	F1? This study	F1?	This study	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	218	Y					oxidation-reduction process|pyridoxine biosynthetic process|pyridoxal 5'-phosphate salvage	GO:0008615|GO:0009443|GO:0055114			504	1,15E+00	3,15E+02	3,08	140,56	0,010568	1056,8
PGK_ECOLI	P0A799	C6EII3	A	F1? This study	F1?	This study	Phosphoglycerate kinase (EC 2.7.2.3)	387	Y			cytoplasm		glycolysis|phosphorylation	GO:0016310|GO:0006096			49821	3,38E+04	1,24E+05	64,79	1285,46	0,24179	24179
				 																				
RLUB_ECOLI	P37765	C6EFW8	A	F1? This study	F1?	This study	Pseudouridine synthase (EC 5.4.99.-)	291	Y					rRNA processing|enzyme-directed rRNA pseudouridine synthesis	GO:0000455|GO:0006364			913	1,51E+00	3,68E+02	6,08	271,77	0,021	2100
RLUF_ECOLI	P32684	C6EE02	A	F1? This study	F1?	This study	Pseudouridine synthase (EC 5.4.99.-)	290	Y					rRNA processing|enzyme-directed rRNA pseudouridine synthesis	GO:0000455|GO:0006364			13			0,26	12,79		
PPSA_ECOLI	P23538	C6ECQ5	A	F1? This study	F1?	This study	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y					gluconeogenesis|phosphorylation	GO:0016310|GO:0006094			2612			8,52	376,93	0,048476	4847,6
				 																				
				 																				
STHA_ECOLI	P27306	C6EE47	A	F1? This study	F1?	This study	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	Y					oxidation-reduction process	GO:0055114			388	5,20E-01	1,98E+02	13,25	578,35		
				 																				
SUCC_ECOLI	P0A836	C6EJL0	A	F1? This study	F1?	This study	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	Y			cytoplasm		tricarboxylic acid cycle	GO:0006099			1717	1,01E+01	1,11E+03	10,72	2324,65		
SUCD_ECOLI	P0AGE9	C6EJK9	A	F1? This study	F1?	This study	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	Y			cytoplasm		tricarboxylic acid cycle	GO:0006099			1599	3,88E+01	2,42E+03	26,83	778,03		
SUHB_ECOLI	P0ADG4	C6EKH4	A	F1? This study	F1?	This study	Inositol monophosphatase	267	Y			cytoplasm		inositol phosphate dephosphorylation	GO:0046855			2058	6,21E+01	3,19E+03	21,54	926,36		
TALB_ECOLI	P0A870	C6EBG1	A	F1? This study	F1?	This study	Transaldolase (EC 2.2.1.2)	317	Y					pentose-phosphate shunt	GO:0006098			4913	3,15E+02	8,19E+03	53,84	1636,47		
TPIS_ECOLI	P0A858	C6EEX9	A	F1? This study	F1?	This study	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	Y			cytosol		pentose-phosphate shunt|gluconeogenesis|glycolysis	GO:0006098|GO:0006094|GO:0006096			21224	2,78E+03	2,90E+04	45,42	1906,06	0,32767	32767
TPX_ECOLI	P0A862	C6EFQ8	A	F1? This study	F1?	This study	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168	Y			cytoplasm		oxidation-reduction process|cellular response to oxidative stress	GO:0034599|GO:0055114			7168	6,80E+02	1,28E+04	36,28	1535,67		
