Merge ID	Biological Process (Uniprot)	Biological Process (EcoCyc)	Biological Process (EcoliWiki)	Molecular Function (Uniprot)	Molecular Function(EcoCyc)	Molecular Function (EcoliWiki)	Entry Name K12		Entry Name BL21(DE3)	Category	Suggested Category		Description	Protein Length	UNTREATED	TREATED		Cellular Component	Biological Process	GO Annotation	GO ID				Ishihama2008		Masuda2009		Taniguchi2010	
P0A9G6	glyoxylate cycle|tricarboxylic acid cycle				lyase activity|isocitrate lyase activity		ACEA_ECOLI	P0A9G6	C6EE08	A	F1?	This study	Isocitrate lyase	434	Y			cytoplasm		glyoxylate cycle|tricarboxylic acid cycle	GO:0006099|GO:0006097			1522			19,15	1522,03		
P0A6A3	phosphorylation			acetate kinase activity|zinc ion binding	transferase activity|acetate kinase activity|nucleotide binding|kinase activity|ATP binding		ACKA_ECOLI	P0A6A3	C6ELF7	A	F1?	This study	Acetate kinase (EC 2.7.2.1) (Acetokinase)	400	Y			cytosol		phosphorylation	GO:0016310			8159	5,17E+02	1,09E+04	14,51	5090,85	0,084861	8486,1
P22333	nucleotide metabolic process		purine ribonucleoside monophosphate biosynthetic process|purine nucleotide salvage|hypoxanthine salvage|adenosine catabolic process|purine nucleotide interconversion	adenosine deaminase activity	hydrolase activity|adenosine deaminase activity|metal ion binding		ADD_ECOLI	P22333	C6EDM4	A	F1?	This study	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	333	Y			cytoplasm		purine nucleotide salvage|purine ribonucleoside monophosphate biosynthetic process|hypoxanthine salvage|purine nucleotide interconversion|adenosine catabolic process|nucleotide metabolic process	GO:0015950|GO:0032261|GO:0043103|GO:0006154|GO:0009168|GO:0009117			241	9,95E-01	2,89E+02	4,27	192,93		
P0ABH7	tricarboxylic acid cycle|metabolic process		tricarboxylic acid cycle		transferase activity|citrate (Si)-synthase activity|catalytic activity		CISY_ECOLI	P0ABH7	C6EJL8	A	F1?	This study	Citrate synthase (EC 2.3.3.1)	427	Y			cytosol		tricarboxylic acid cycle|metabolic process	GO:0006099|GO:0008152			2180	1,44E+01	1,36E+03	24,12	1577,84	0,036019	3601,9
P0A6C8	cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation	arginine biosynthetic process		acetylornithine deacetylase activity	transferase activity|nucleotide binding|acetylglutamate kinase activity|kinase activity|ATP binding	cobalt ion binding|zinc ion binding	ARGB_ECOLI	P0A6C8	C6EE50	A	F1?	This study	Acetylglutamate kinase	258	Y			cytoplasm		cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation	GO:0016310|GO:0008652|GO:0006526									
P23908	cellular amino acid biosynthetic process|arginine biosynthetic process		arginine biosynthetic process	acetylornithine deacetylase activity|cobalt ion binding|zinc ion binding	hydrolase activity|acetylornithine deacetylase activity|metal ion binding		ARGE_ECOLI	P23908	C6EE52	A	F1?	This study	Acetylornithine deacetylase (EC 3.5.1.16) (Acetylornithine deacetylase (ArgE)) (EC 3.5.1.16)	383	Y					cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526			273			0,36	17,54	0,0052867	528,67
P11447	cellular amino acid biosynthetic process|arginine biosynthetic process			argininosuccinate synthase activity|ATP binding	lyase activity|argininosuccinate lyase activity		ARLY_ECOLI	P11447	C6EE49	A	F1?	This study	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	Y					cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526									
P0AC38					lyase activity|aspartate ammonia-lyase activity		ASPA_ECOLI	P0AC38	C6ECY6	A	F1?	This study	Aspartate ammonia-lyase	478	Y			cytosol		lyase activity|aspartate ammonia-lyase activity	GO:0016829|GO:0008797			589	2,79E+00	5,26E+02	9	398	0,0084338	843,38
P0A6E4	cellular amino acid biosynthetic process|arginine biosynthetic process				argininosuccinate synthase activity|nucleotide binding|ligase activity|ATP binding	argininosuccinate synthase activity|ATP binding	ASSY_ECOLI	P0A6E4	C6EH54	A	F1?	This study	Argininosuccinate synthase (EC 6.3.4.5)	447	Y			cytoplasm		cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526			711	2,90E+00	5,37E+02	0,65	31	0,015663	1566,3
P00968	cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process				nucleotide binding|carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity|metal ion binding|ATP binding|ligase activity		CARB_ECOLI	P00968	C6EB19	A	F1?	This study	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	1073	Y					cellular amino acid biosynthetic process|arginine biosynthetic process|pyrimidine nucleotide biosynthetic process	GO:0008652|GO:0006221|GO:0006526			1137	8,05E+00	9,72E+02	30,62	1302,81		
P0A9B2	oxidation-reduction process|glycolysis				oxidoreductase activity|glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity		G3P1_ECOLI	P0A9B2	C6EC50	A	F1?	This study	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12) (Glyceraldehyde-3-phosphate dehydrogenase, type I) (EC 1.2.1.12)	331	Y			cytosol		oxidation-reduction process|glycolysis	GO:0006096|GO:0055114			97347	5,82E+04	1,70E+05	109,07	20789,62	1,0125	101250
P33195	oxidation-reduction process			glycine dehydrogenase (decarboxylating) activity	glycine dehydrogenase (decarboxylating) activity|oxidoreductase activity		GCSP_ECOLI	P33195	C6EIK5	A	F1?	This study	Glycine dehydrogenase [decarboxylating] (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase)	957	Y			cytosol		oxidation-reduction process	GO:0055114			1535	3,85E+00	6,33E+02	4,96	223,08	0,03748	3748
P0A6U8	glycogen biosynthetic process	glycogen biosynthetic process			transferase activity, transferring glycosyl groups|starch synthase activity|transferase activity	starch synthase activity	GLGA_ECOLI	P0A6U8	C6EFE5	A	F1?	This study	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	477	Y					glycogen biosynthetic process	GO:0005978			97	3,59E-01	1,60E+02	0,72	34,35		
P17169	glutamine metabolic process		UDP-N-acetylglucosamine biosynthetic process	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	transaminase activity|transferase activity|glutamine-fructose-6-phosphate transaminase (isomerizing) activity		GLMS_ECOLI	P17169	C6EG74	A	F1?	This study	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y			cytosol		glutamine metabolic process|UDP-N-acetylglucosamine biosynthetic process	GO:0006541|GO:0006048			1064	1,43E+01	1,36E+03	17,74	767,47		
P09831	oxidation-reduction process|cellular amino acid biosynthetic process|glutamine metabolic process|glutamate biosynthetic process	glutamate biosynthetic process			oxidoreductase activity|iron-sulfur cluster binding|3 iron, 4 sulfur cluster binding|metal ion binding|glutamate synthase (NADPH) activity	glutamate synthase (NADPH) activity	GLTB_ECOLI	P09831	C6EH15	A	F1?	This study	Glutamate synthase (Ferredoxin) (EC 1.4.7.1) (Glutamate synthase, large subunit) (EC 1.4.1.13)	1517	Y					oxidation-reduction process|cellular amino acid biosynthetic process|glutamine metabolic process|glutamate biosynthetic process	GO:0006541|GO:0008652|GO:0006537|GO:0055114			2571	4,91E+00	7,29E+02	0,31	15,17	0,06969	6969
P62707	glycolysis			2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity|protein homodimerization activity	isomerase activity|phosphoglycerate mutase activity		GPMA_ECOLI	P62707	C6EJI9	A	F1?	This study	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.1)	250	Y			cytoplasm		glycolysis	GO:0006096			14871	8,37E+02	1,44E+04	9,86	253,16	0,29961	29961
P04079	GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process	GMP biosynthetic process			GMP synthase (glutamine-hydrolyzing) activity|nucleotide binding|ligase activity|ATP binding	GMP synthase (glutamine-hydrolyzing) activity|GMP synthase activity	GUAA_ECOLI	P04079	C6EKK2	A	F1?	This study	Bifunctional GMP synthase/glutamine amidotransferase protein (EC 6.3.4.1) (EC 6.3.5.2) (GMP synthase, large subunit)	525	Y			cytosol		GMP biosynthetic process|glutamine metabolic process|purine nucleotide biosynthetic process	GO:0006541|GO:0006177|GO:0006164			6072	6,32E+01	3,22E+03	31,82	1352,28	0,13645	13645
P0A9D8	cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process				2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity|transferase activity|acyltransferase activity		DAPD_ECOLI	P0A9D8	C6EAB9	A	F1?	This study	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase)	274	Y					cellular amino acid biosynthetic process|lysine biosynthetic process|diaminopimelate biosynthetic process	GO:0008652|GO:0019877|GO:0009085			7205	6,57E+02	1,25E+04	45,42	1909,42		
P0A6K6					isomerase activity|phosphopentomutase activity|metal ion binding		DEOB_ECOLI	P0A6K6	C6EBI8	A	F1?	This study	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	407	Y			cytoplasm		isomerase activity|phosphopentomutase activity|metal ion binding	GO:0046872|GO:0008973|GO:0016853			3768	5,89E+01	3,09E+03	8,09	358,47	0,078566	7856,6
P0ABP8			purine nucleoside interconversion|purine nucleoside catabolic process	purine-nucleoside phosphorylase activity	transferase activity, transferring glycosyl groups|transferase activity|purine-nucleoside phosphorylase activity		DEOD_ECOLI	P0ABP8	C6EBI7	A	F1?	This study	Purine nucleoside phosphorylase deoD-type (PNP) (EC 2.4.2.1)	239	Y			cytosol		purine nucleoside interconversion|purine nucleoside catabolic process	GO:0019686|GO:0006152			21216	6,10E+03	4,58E+04	50	2087,68	0,15759	15759
P05791	cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process				4 iron, 4 sulfur cluster binding|lyase activity|iron-sulfur cluster binding|dihydroxy-acid dehydratase activity|metal ion binding		ILVD_ECOLI	P05791	C6EG40	A	F1?	This study	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	616	Y					cellular amino acid biosynthetic process|branched chain family amino acid biosynthetic process	GO:0008652|GO:0009082			443	2,12E-01	1,17E+02			0,0076861	768,61
P62620	oxidation-reduction process|isoprenoid biosynthetic process				4 iron, 4 sulfur cluster binding|4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity|oxidoreductase activity|iron-sulfur cluster binding|metal ion binding		ISPG_ECOLI	P62620	C6EKJ4	A	F1?	This study	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	372	Y					oxidation-reduction process|isoprenoid biosynthetic process	GO:0008299|GO:0055114			773	3,16E+00	5,65E+02	2,46	113,03	0,016418	1641,8
P69441	nucleotide biosynthetic process|phosphorylation		purine ribonucleotide interconversion|purine ribonucleotide biosynthetic process	magnesium ion binding|AMP binding|adenylate kinase activity|ATP binding	transferase activity|nucleotide binding|kinase activity|ATP binding|adenylate kinase activity		KAD_ECOLI	P69441	C6EKZ0	A	F1?	This study	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase)	214	Y			cytoplasm		purine ribonucleotide interconversion|purine ribonucleotide biosynthetic process|nucleotide biosynthetic process|phosphorylation	GO:0016310|GO:0015951|GO:0009165|GO:0009152			11809	9,90E+01	4,18E+03	17,96	402,59	0,30843	30843
P21599	glycolysis|metabolic process|phosphorylation				pyruvate kinase activity|transferase activity|kinase activity|nucleotide binding|catalytic activity|metal ion binding|ATP binding		KPYK2_ECOLI	P21599	C6EBX3	A	F1?	This study	Pyruvate kinase (EC 2.7.1.40)	480	Y			cytosol		glycolysis|metabolic process|phosphorylation	GO:0016310|GO:0008152|GO:0006096			2042	4,34E+00	6,79E+02	13,07	404,41	0,050419	5041,9
P13009	cellular amino acid biosynthetic process|methionine biosynthetic process|methylation				methyltransferase activity|cobalamin binding|transferase activity|metal ion binding|methionine synthase activity		METH_ECOLI	P13009	C6EE05	A	F1?	This study	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	Y			cytoplasm		cellular amino acid biosynthetic process|methionine biosynthetic process|methylation	GO:0008652|GO:0032259|GO:0009086			64	2,33E-01	1,24E+02	0,09	4,57		
P0A763	phosphorylation|nucleotide metabolic process				nucleoside diphosphate kinase activity|transferase activity|kinase activity|nucleotide binding|metal ion binding|ATP binding	nucleoside diphosphate kinase activity|identical protein binding	NDK_ECOLI	P0A763	C6EKJ1	A	F1?	This study	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	143	Y			cytoplasm		phosphorylation|nucleotide metabolic process	GO:0016310|GO:0009117			6388	1,46E+02	5,23E+03	41,17	1735,95	0,12198	12198
P0AFG3	oxidation-reduction process|glycolysis				oxoglutarate dehydrogenase (succinyl-transferring) activity|oxidoreductase activity		ODO1_ECOLI	P0AFG3	C6EJL2	A	F1?	This study	2-oxoglutarate dehydrogenase, E1 subunit (EC 1.2.4.2) (Alpha-ketoglutarate decarboxylase) (EC 1.2.4.2)	933	Y			cytosol		oxidation-reduction process|glycolysis	GO:0006096|GO:0055114			2770	1,38E+01	1,33E+03	14,44	628,64	0,063527	6352,7
P0AFG6	tricarboxylic acid cycle		tricarboxylic acid cycle	lipoic acid binding|dihydrolipoyllysine-residue succinyltransferase activity|binding	dihydrolipoyllysine-residue succinyltransferase activity|transferase activity|acyltransferase activity		ODO2_ECOLI	P0AFG6	C6EJL1	A	F1?	This study	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	Y					tricarboxylic acid cycle	GO:0006099			2261	3,06E+01	2,11E+03	30,62	2411,74		
P0AFI7	oxidation-reduction process|pyridoxine biosynthetic process		pyridoxine biosynthetic process|pyridoxal 5'-phosphate salvage	FMN binding|pyridoxamine-phosphate oxidase activity	oxidoreductase activity|pyridoxamine-phosphate oxidase activity		PDXH_ECOLI	P0AFI7	C6EDK7	A	F1?	This study	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (Pyridoxal 5'-phosphate synthase)	218	Y					oxidation-reduction process|pyridoxine biosynthetic process|pyridoxal 5'-phosphate salvage	GO:0008615|GO:0009443|GO:0055114			504	1,15E+00	3,15E+02	3,08	140,56	0,010568	1056,8
P0A799	glycolysis|phosphorylation				phosphoglycerate kinase activity|transferase activity|nucleotide binding|kinase activity|ATP binding		PGK_ECOLI	P0A799	C6EII3	A	F1?	This study	Phosphoglycerate kinase (EC 2.7.2.3)	387	Y			cytoplasm		glycolysis|phosphorylation	GO:0016310|GO:0006096			49821	3,38E+04	1,24E+05	64,79	1285,46	0,24179	24179
P37765	rRNA processing		enzyme-directed rRNA pseudouridine synthesis	pseudouridine synthase activity	isomerase activity|RNA binding		RLUB_ECOLI	P37765	C6EFW8	A	F1?	This study	Pseudouridine synthase (EC 5.4.99.-)	291	Y					rRNA processing|enzyme-directed rRNA pseudouridine synthesis	GO:0000455|GO:0006364			913	1,51E+00	3,68E+02	6,08	271,77	0,021	2100
P32684	rRNA processing		enzyme-directed rRNA pseudouridine synthesis	pseudouridine synthase activity	isomerase activity|RNA binding		RLUF_ECOLI	P32684	C6EE02	A	F1?	This study	Pseudouridine synthase (EC 5.4.99.-)	290	Y					rRNA processing|enzyme-directed rRNA pseudouridine synthesis	GO:0000455|GO:0006364			13			0,26	12,79		
P23538	phosphorylation		gluconeogenesis	magnesium ion binding|pyruvate, water dikinase activity	transferase activity|kinase activity|nucleotide binding|pyruvate, water dikinase activity|metal ion binding|ATP binding		PPSA_ECOLI	P23538	C6ECQ5	A	F1?	This study	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y					gluconeogenesis|phosphorylation	GO:0016310|GO:0006094			2612			8,52	376,93	0,048476	4847,6
P27306	oxidation-reduction process				NAD(P)+ transhydrogenase (B-specific) activity|oxidoreductase activity		STHA_ECOLI	P27306	C6EE47	A	F1?	This study	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	Y					oxidation-reduction process	GO:0055114			388	5,20E-01	1,98E+02	13,25	578,35		
P0A836	tricarboxylic acid cycle		tricarboxylic acid cycle		succinate-CoA ligase (ADP-forming) activity|nucleotide binding|metal ion binding|ATP binding|ligase activity		SUCC_ECOLI	P0A836	C6EJL0	A	F1?	This study	Succinyl-CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta)	388	Y			cytoplasm		tricarboxylic acid cycle	GO:0006099			1717	1,01E+01	1,11E+03	10,72	2324,65		
P0AGE9	tricarboxylic acid cycle		tricarboxylic acid cycle		succinate-CoA ligase (ADP-forming) activity|nucleotide binding|ligase activity|ATP binding		SUCD_ECOLI	P0AGE9	C6EJK9	A	F1?	This study	Succinyl-CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)	289	Y			cytoplasm		tricarboxylic acid cycle	GO:0006099			1599	3,88E+01	2,42E+03	26,83	778,03		
P0ADG4			inositol phosphate dephosphorylation	glycerol-2-phosphatase activity|magnesium ion binding|lithium ion binding|inositol-1(or 4)-monophosphatase activity	hydrolase activity|inositol-1(or 4)-monophosphatase activity|metal ion binding		SUHB_ECOLI	P0ADG4	C6EKH4	A	F1?	This study	Inositol monophosphatase	267	Y			cytoplasm		inositol phosphate dephosphorylation	GO:0046855			2058	6,21E+01	3,19E+03	21,54	926,36		
P0A870	pentose-phosphate shunt				sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity|transferase activity		TALB_ECOLI	P0A870	C6EBG1	A	F1?	This study	Transaldolase (EC 2.2.1.2)	317	Y					pentose-phosphate shunt	GO:0006098			4913	3,15E+02	8,19E+03	53,84	1636,47		
P0A858	pentose-phosphate shunt|gluconeogenesis|glycolysis				isomerase activity|triose-phosphate isomerase activity		TPIS_ECOLI	P0A858	C6EEX9	A	F1?	This study	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase)	255	Y			cytosol		pentose-phosphate shunt|gluconeogenesis|glycolysis	GO:0006098|GO:0006094|GO:0006096			21224	2,78E+03	2,90E+04	45,42	1906,06	0,32767	32767
P0A862	oxidation-reduction process		cellular response to oxidative stress	thioredoxin peroxidase activity|hydroperoxide reductase activity	oxidoreductase activity|peroxidase activity|antioxidant activity		TPX_ECOLI	P0A862	C6EFQ8	A	F1?	This study	Redoxin domain protein (Thiol peroxidase) (EC 1.11.1.-)	168	Y			cytoplasm		oxidation-reduction process|cellular response to oxidative stress	GO:0034599|GO:0055114			7168	6,80E+02	1,28E+04	36,28	1535,67		
P28904	metabolic process				hydrolase activity|hydrolase activity, acting on glycosyl bonds|alpha,alpha-phosphotrehalase activity		TREC_ECOLI	P28904	C6ECA9	A	F1?	This study	Alpha,alpha-phosphotrehalase (Trehalose-6-P hydrolase) (EC 3.2.1.93)	551	Y			cytoplasm		metabolic process	GO:0008152			501	9,95E-01	2,89E+02	16,43	712,46		
P0A9S3	oxidation-reduction process|galactitol metabolic process		galactitol catabolic process	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	oxidoreductase activity|galactitol-1-phosphate 5-dehydrogenase activity|metal ion binding		GATD_ECOLI	P0A9S3	C6EAL9	A	F1?	This study	Alcohol dehydrogenase GroES domain protein (Galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding) (EC 1.1.1.251)	346	Y					oxidation-reduction process|galactitol catabolic process|galactitol metabolic process	GO:0019402|GO:0055114|GO:0019404			346	3,33E+00	5,82E+02	2,41	110,81		
P36683	tricarboxylic acid cycle		propionate catabolic process, 2-methylcitrate cycle|regulation of translation	2-methylisocitrate dehydratase activity|aconitate hydratase activity|4 iron, 4 sulfur cluster binding|mRNA 3'-UTR binding|mRNA binding	4 iron, 4 sulfur cluster binding|2-methylisocitrate dehydratase activity|aconitate hydratase activity|citrate hydro-lyase (cis-aconitate-forming) activity|lyase activity|iron-sulfur cluster binding|isocitrate hydro-lyase (cis-aconitate-forming) activity|metal ion binding		ACON2_ECOLI	P36683	C6EAT9	A	F1?	This study	Aconitate hydratase 2 (EC 4.2.1.3)	865	Y					propionate catabolic process, 2-methylcitrate cycle|tricarboxylic acid cycle|regulation of translation	GO:0006099|GO:0006417|GO:0019629			4030	1,97E+01	1,63E+03	33,55	739,77	0,097198	9719,8
P0A7E5	glutamine metabolic process|pyrimidine nucleotide biosynthetic process	CTP biosynthetic process		CTP synthase activity	CTP synthase activity|nucleotide binding|ligase activity|ATP binding	CTP synthase activity	PYRG_ECOLI	P0A7E5	C6EJ92	A	F1?	This study	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	545	Y			cytosol		glutamine metabolic process|pyrimidine nucleotide biosynthetic process|CTP biosynthetic process	GO:0006541|GO:0006221|GO:0006241			1010	1,60E+01	1,45E+03	13,03	569,03		
P07650					thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity		TYPH_ECOLI	P07650	C6EBI9	A	F1?	This study	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)	440	Y					thymidine phosphorylase activity|transferase activity, transferring glycosyl groups|transferase activity	GO:0016757|GO:0009032|GO:0016740			5031	4,48E+02	1,00E+04	1,33	62,27		
P37751	lipopolysaccharide biosynthetic process				transferase activity		YEFI_ECOLI	P37751	C6EB51	F1		curated	Glycosyl transferase group 1 (Putative glycosyltransferase WbbC)	370	Y	Y		plasma membrane	biosynthetic process	lipopolysaccharide biosynthetic process	GO:0009103			2510					0,025102	2510,2
P0ABH0	regulation of cell shape|cell cycle|cell division		cell division|cytokinesis				FTSA_ECOLI	P0ABH0	C6EAW1	F1		curated	Cell division protein (Cell division protein FtsA)	420	Y	Y			cell cycle::cell division	regulation of cell shape|cell cycle|cell division|cytokinesis	GO:0051301|GO:0000910|GO:0007049|GO:0008360			1293			1,82	84	0,025021	2502,1
P0A9R7	cell cycle|cell division		response to antibiotic|cell division|cytokinesis	ATP binding	nucleotide binding|ATP binding		FTSE_ECOLI	P0A9R7	C6EFB1	F1		curated	Type II (General) Secretory Pathway (IISP) Family protein	222	Y	Y		cytoplasm	cell cycle::cell division	response to antibiotic|cell cycle|cell division|cytokinesis	GO:0046677|GO:0051301|GO:0000910|GO:0007049			60			1,28	60		
P0A9A6	barrier septum formation|cell cycle|cell division		protein polymerization|cell division	protein binding|GTP binding|GTPase activity	GTP binding|nucleotide binding		FTSZ_ECOLI	P0A9A6	C6EAW0	F1		curated	Cell division protein ftsZ	383	Y	Y		cytoplasm::protein complex	cell cycle::cell division	protein polymerization|barrier septum formation|cell cycle|cell division	GO:0051258|GO:0051301|GO:0000917|GO:0007049			856	7,96E+00	9,66E+02	17,23	746,07		
P17443	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization		peptidoglycan biosynthetic process	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity|transferase activity, transferring glycosyl groups|transferase activity|undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity		MURG_ECOLI	P17443	C6EAW5	F1		curated	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	355	Y	Y		plasma membrane	cell cycle::cell division	regulation of cell shape|peptidoglycan biosynthetic process|cell cycle|cell division|cellular cell wall organization	GO:0009252|GO:0051301|GO:0008360|GO:0007049|GO:0007047			235	3,59E-01	1,60E+02	0,26	12,79	0,0053294	532,94
P0A9X4	regulation of cell shape						MREB_ECOLI	P0A9X4	C6EGL0	F1		curated	Cell shape determining protein, MreB/Mrl family (Cell wall structural complex MreBCD, actin-like component MreB)	347	Y	Y			cell morphogenesis	regulation of cell shape	GO:0008360			3903	1,68E+01	1,49E+03	28,55	1217,34	0,090006	9000,6
P17444	oxidation-reduction process|response to stress		glycine betaine biosynthetic process from choline|response to osmotic stress	choline dehydrogenase activity	oxidoreductase activity|choline dehydrogenase activity		BETA_ECOLI	P17444	C6ELS0	F1		curated	Choline dehydrogenase (EC 1.1.99.1)	556	Y			plasma membrane	response to stress	oxidation-reduction process|glycine betaine biosynthetic process from choline|response to osmotic stress|response to stress	GO:0019285|GO:0006970|GO:0006950|GO:0055114									
P0AGB6	regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to stress			sigma factor activity	sigma factor activity|DNA binding		RPOE_ECOLI	P0AGB6	C6EK14	F1		curated	RNA polymerase sigma factor	191	Y				response to stress	regulation of transcription, DNA-dependent|transcription, DNA-dependent|response to stress	GO:0006355|GO:0006950|GO:0006351			229	6,68E-01	2,29E+02				
P36879	transport				nucleotide binding|ATP binding		YADG_ECOLI	P36879	C6EAT0	F1		curated	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	308		Y			transport	transport	GO:0006810			308	3,34E-01	1,53E+02			0,0046328	463,28
P00363	oxidation-reduction process|transport|electron transport chain				oxidoreductase activity|succinate dehydrogenase activity		FRDA_ECOLI	P00363	C6ECW9	F1		curated	Fumarate reductase (EC 1.3.99.1) (Fumarate reductase, flavoprotein subunit)	602	Y			cytoplasm	transport	oxidation-reduction process|transport|electron transport chain	GO:0006810|GO:0022900|GO:0055114			186	2,41E-01	1,27E+02	5,47	245,29		
P69797	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation				transferase activity|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|kinase activity		PTNAB_ECOLI	P69797	C6EC13	F1		curated	Fused mannose-specific PTS enzymes: IIA component/IIB component (EC 2.7.1.69) (PTS system, mannose/fructose/sorbose family, IIA subunit) (EC 2.7.1.69)	323	Y			cytoplasm::plasma membrane	transport	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	GO:0006810|GO:0016310|GO:0008643|GO:0009401			1217	3,92E+00	6,40E+02	12,69	554,63	0,024573	2457,3
P0A7A7	phospholipid biosynthetic process				glycerol-3-phosphate O-acyltransferase activity|transferase activity|acyltransferase activity		PLSB_ECOLI	P0A7A7	C6EDX9	F1		curated	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	807	Y	Y				phospholipid biosynthetic process	GO:0008654			647	3,01E-01	1,44E+02	2,95	135	0,016615	1661,5
P26647	phospholipid biosynthetic process				transferase activity, transferring acyl groups other than amino-acyl groups|transferase activity|1-acylglycerol-3-phosphate O-acyltransferase activity|acyltransferase activity		PLSC_ECOLI	P26647	C6EHX6	F1		curated	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	245	Y	Y				phospholipid biosynthetic process	GO:0008654			49			1,03	49		
