Previous	Updated
P78093	P0AFI0
P75870	P75870
P75828	P75828
P24230	P24230
P36645	P36645
P15298	P0ABE2
P66817	P66817
P18472	P18472
P00955	P0A8M3
P0AA86	P0AA86
P33899	P0AGJ7
P0A6Y5	P0A6Y5
P19624	P19624
P77285	P77285
P00914	P00914
P24247	P0AF12
P25663	P0AFZ3
P16525	P16525
P76573	P76573
P32148	P0ADQ2
P21346	P0A6W5
P24177	P24177
P76538	P76538
P71237	P71237
Q9LU86	Q9LU86
P17242	P0A8M0
P75957	P75957
P18775	P18775
P0AFW2	P0AFW2
P75830	P75830
P0A9A9	P0A9A9
P76115	P76115
P27433	P62620
P12295	P12295
P30747	P0A738
P0AAD4	P0AAD4
P75863	P75863
P62615	P62615
P69441	P69441
P56262	P56262
P77611	P77611
P36679	P0A6I9
P76458	P76458
P27307	P0ACU5
P0AAN9	P0AAN9
P39386	P39386
P38104	P38104
P52052	P52052
P03844	P0AGA2
P04128	P04128
P02437	P0A7P5
P37652	P37652
P14376	P14376
P0A8I5	P0A8I5
P0AEF4	P0AEF4
P71243	P71243
P08576	P0A809
P23836	P23836
P09832	P09832
P77559	P77559
P16920	P0AG96
P75767	P75767
P0A9L8	P0A9L8
P52106	P52106
P12995	P12995
P19642	P19642
P24190	P0AAN3
P33918	P0AA43
P00887	P00887
P69828	P69828
P65292	P65292
P19930	P19930
P00634	P00634
P00962	P00962
P75792	P75792
P37642	P37642
P0A817	P0A817
P0AFN2	P0AFN2
P02930	P02930
P0A9L3	P0A9L3
P30844	P30844
P76102	P76102
P0AER0	P0AER0
P21362	P21362
P33218	P33218
P77605	P0A986
P13652	P0ABF6
P08660	P08660
P28249	P28249
P36655	P36655
P13518	P13518
P0AEV9	P0AEV9
P31450	P31450
P77409	P77409
P37610	P37610
P0A705	P0A705
P23930	P23930
P0AE08	P0AE08
P29018	P29018
P33232	P33232
P06989	P06989
P76361	P76361
P39333	P39333
P0ABP8	P0ABP8
P63228	P63228
P10413	P0A6Z3
P38035	P38035
P17334	P17334
P0A731	P0A731
P27239	P0AD37
P60716	P60716
P21202	P0ABZ6
P36879	P36879
P37616	P0ADI9
P0AAX8	P0AAX8
P33930	P0ABL8
P22937	P0AEW6
P75750	P75750
P39159	P0A9L5
P02923	P0ABS5
P16256	P16256
P0A8J2	P0A8J2
P77743	P77743
P02996	P0A6M8
P0A8E7	P0A8E7
P0A7N9	P0A7N9
P42550	P0AGK4
P0AEF8	P0AEF8
P0A855	P0A855
P23886	P23886
P18273	P0A823
P0AC59	P0AC59
P0A968	P0A968
P0A8P8	P0A8P8
P09378	P09378
P02925	P02925
P76297	P76297
P28688	P0A7B1
P0AD03	P0AD03
P0ACV4	P0ACV4
P14609	P0AEL6
P50457	P50457
P77173	P77173
P23874	P23874
P10122	P0AC30
P36546	P0A917
P0ADP0	P0ADP0
P76147	P76147
P08691	P08691
P33024	P33024
P0A9S1	P0A9S1
P0ABV6	P0ABV6
P36540	P0A6L9
P04287	P0AEB2
P37009	P37009
P02421	P0A7L3
P75809	P75809
P02390	P0AG55
P75990	P75990
P77627	P77627
P0A8U6	P0A8U6
P24201	P0ACR9
Q47150	Q47150
P76519	P0AA49
P11096	P0ABK5
