K12 Accession_Subcellular Location(this study)	Subcellular Location(this study)	Accession (UNIPROT)	K12 Accession	BL21(DE3) Accession	GOs	Description (Uniprot)	NG001	1DG010_flot	1DG011_flot (L1) wt	1DG011_IMVs (L3) wt
MRAY_B	B	P0A6W3	MRAY_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	+ 	+ 	+ 	+ 
FTSI_B	B	P0AD68	FTSI_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	+ 	+ 	+ 	+ 
DJLA_B	B	P31680	DJLA_ECOLI	C6EAZ8	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	+ 	+ 	+ 	+ 
WZZB_B	B	P76372	WZZB_ECOLI	C6EB58	B	Lipopolysaccharide biosynthesis protein	+ 	+ 	+ 	+ 
YJIY_B	B	P39396	YJIY_ECOLI	C6EBM6	B	Carbon starvation protein CstA (Predicted inner membrane protein)	+ 	+ 	+ 	+ 
YEBE_B	B	P33218	YEBE_ECOLI	C6EBY3	B	Putative uncharacterized protein (Putative uncharacterized protein yebE)	+ 	+ 	+ 	+ 
PTND_B	B	P69805	PTND_ECOLI	C6EC11	B	"PTS system, mannose/fructose/sorbose family, IID subunit"	+ 	+ 	+ 	+ 
YOAE_B	B	P0AEC0	YOAE_ECOLI	C6EC15	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	+ 	+ 	+ 	+ 
LPTG_B	B	P0ADC6	LPTG_ECOLI	C6EC89	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	+ 	+ 	+ 	+ 
LPTF_B	B	P0AF98	LPTF_ECOLI	C6EC90	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	+ 	+ 	+ 	+ 
ATMA_B	B	P0ABB8	ATMA_ECOLI	C6ECA6	B	Magnesium transporter (EC 3.6.3.1) (Magnesium-translocating P-type ATPase) (EC 3.6.3.2)	+ 	+ 	+ 	+ 
PTTBC_B	B	P36672	PTTBC_ECOLI	C6ECA8	B	"Fused trehalose(Maltose)-specific PTS enzyme: IIB component/IIC component (PTS system, trehalose-specific IIBC subunit)"	+ 	+ 	+ 	+ 
YTFL_B	B	P0AE45	YTFL_ECOLI	C6ECC7	B	Predicted inner membrane protein (Putative uncharacterized protein)	+ 	+ 	+ 	+ 
CYCA_B	B	P0AAE0	CYCA_ECOLI	C6ECD6	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	+ 	+ 	+ 	+ 
HFLK_B	B	P0ABC7	HFLK_ECOLI	C6ECH5	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	+ 	+ 	+ 	+ 
SPPA_B	B	P08395	SPPA_ECOLI	C6ECJ1	B	"Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)"	+ 	+ 	+ 	+ 
YDJN_B	B	P77529	YDJN_ECOLI	C6ECM9	B	Predicted transporter (Sodium:dicarboxylate symporter)	+ 	+ 	+ 	+ 
YJEP_B	B	P39285	YJEP_ECOLI	C6ECW6	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	+ 	+ 	+ 	+ 
DCUA_B	B	P0ABN5	DCUA_ECOLI	C6ECY7	B	"Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)"	+ 	+ 	+ 	+ 
EPTA_B	B	P30845	EPTA_ECOLI	C6ED10	B	Predicted metal dependent hydrolase (Sulfatase)	+ 	+ 	+ 	+ 
PROP_B	B	P0C0L7	PROP_ECOLI	C6ED13	B	"Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)"	+ 	+ 	+ 	+ 
GLTP_B	B	P21345	GLTP_ECOLI	C6ED48	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	+ 	+ 	+ 	+ 
YJCD_B	B	P0AF52	YJCD_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	+ 	+ 	+ 	+ 
YICH_B	B	P31433	YICH_ECOLI	C6EDD4	B	AsmA family protein (Putative uncharacterized protein yicH)	+ 	+ 	+ 	+ 
KDTA_B	B	P0AC75	KDTA_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	+ 	+ 	+ 	+ 
YIBN_B	B	P0AG27	YIBN_ECOLI	C6EDH8	B	Predicted rhodanese-related sulfurtransferase (Rhodanese domain protein)	+ 	+ 	+ 	+ 
LLDD_B	B	P33232	LLDD_ECOLI	C6EDI4	B	"FMN-dependent alpha-hydroxy acid dehydrogenase (L-lactate dehydrogenase, FMN-linked) (EC 1.1.2.3)"	+ 	+ 	+ 	+ 
PNTA_B	B	P07001	PNTA_ECOLI	C6EDP5	B	"NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)"	+ 	+ 	+ 	+ 
PNTB_B	B	P0AB67	PNTB_ECOLI	C6EDP6	B	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	+ 	+ 	+ 	+ 
KDGL_B	B	P0ABN1	KDGL_ECOLI	C6EDX8	B	Diacylglycerol kinase (EC 2.7.1.107)	+ 	+ 	+ 	+ 
SECE_B	B	P0AG96	SECE_ECOLI	C6EE38	B	"Preprotein translocase, SecE subunit (Translocase)"	+ 	+ 	+ 	+ 
CPTA_B	B	P0CB39	CPTA_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	+ 	+ 	+ 	+ 
FTSN_B	B	P29131	FTSN_ECOLI	C6EE76	B	Cell division protein FtsN (Essential cell division protein)	+ 	+ 	+ 	+ 
YHJD_B	B	P37642	YHJD_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	+ 	+ 	+ 	+ 
PITA_B	B	P0AFJ7	PITA_ECOLI	C6EEJ2	B	"Phosphate transporter (Phosphate transporter, low-affinity)"	+ 	+ 	+ 	+ 
YHII_B	B	P37626	YHII_ECOLI	C6EEJ7	B	Predicted HlyD family secretion protein (Secretion protein HlyD family protein)	+ 	+ 	+ 	+ 
CDH_B	B	P06282	CDH_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	+ 	+ 	+ 	+ 
CPXA_B	B	P0AE82	CPXA_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	+ 	+ 	+ 	+ 
TATB_B	B	P69425	TATB_ECOLI	C6EF59	B	"Sec-independent translocase (Twin-arginine translocation protein, TatB subunit)"	+ 	+ 	+ 	+ 
TATA_B	B	P69428	TATA_ECOLI	C6EF60	B	"Twin arginate translocase protein A (Twin-arginine translocation protein, TatA/E family subunit)"	+ 	+ 	+ 	+ 
UBIB_B	B	P0A6A0	UBIB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	+ 	+ 	+ 	+ 
ATZN_B	B	P37617	ATZN_ECOLI	C6EFA5	B	Heavy metal translocating P-type ATPase	+ 	+ 	+ 	+ 
YHHM_B	B	P37615	YHHM_ECOLI	C6EFA7	B	Putative receptor	+ 	+ 	+ 	+ 
FTSX_B	B	P0AC30	FTSX_ECOLI	C6EFB2	B	"Predicted transporter subunit: membrane component of ABC superfamily (Protein insertion ABC transporter, inner membrane subunit FtsX)"	+ 	+ 	+ 	+ 
IGAA_B	B	P45800	IGAA_ECOLI	C6EFH7	B	Intracellular growth attenuator IgaA	+ 	+ 	+ 	+ 
PBPA_B	B	P02918	PBPA_ECOLI	C6EFI0	B	"Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)"	+ 	+ 	+ 	+ 
DAMX_B	B	P11557	DAMX_ECOLI	C6EFI8	B	Putative uncharacterized protein damX (Sporulation domain protein)	+ 	+ 	+ 	+ 
ZNTB_B	B	P64423	ZNTB_ECOLI	C6EFP1	B	Mg2 transporter protein CorA family protein (Zinc transporter)	+ 	+ 	+ 	+ 
SOHB_B	B	P0AG14	SOHB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	+ 	+ 	+ 	+ 
CORA_B	B	P0ABI4	CORA_ECOLI	C6EFZ7	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	+ 	+ 	+ 	+ 
HEMX_B	B	P09127	HEMX_ECOLI	C6EG12	B	Predicted uroporphyrinogen III methylase (EC 2.1.1.107) (Uroporphyrinogen-III C-methyltransferase) (EC 2.1.1.107)	+ 	+ 	+ 	+ 
HEMY_B	B	P0ACB7	HEMY_ECOLI	C6EG13	B	HemY protein (Predicted protoheme IX synthesis protein)	+ 	+ 	+ 	+ 
WZZE_B	B	P0AG00	WZZE_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	+ 	+ 	+ 	+ 
ATPF_B	B	P0ABA0	ATPF_ECOLI	C6EG67	B	ATP synthase subunit b	+ 	+ 	+ 	+ 
OXAA_B	B	P25714	OXAA_ECOLI	C6EG98	B	Inner membrane protein oxaA	+ 	+ 	+ 	+ 
YHFK_B	B	P45537	YHFK_ECOLI	C6EGA5	B	"Integral membrane protein, YccS/YhfK family"	+ 	+ 	+ 	+ 
SECY_B	B	P0AGA2	SECY_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	+ 	+ 	+ 	+ 
MSCL_B	B	P0A742	MSCL_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	+ 	+ 	+ 	+ 
YCHM_B	B	P0AFR2	YCHM_ECOLI	C6EGR0	B	Sulfate transporter	+ 	+ 	+ 	+ 
NHAB_B	B	P0AFA7	NHAB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	+ 	+ 	+ 	+ 
LOLE_B	B	P75958	LOLE_ECOLI	C6EGX4	B	"Lipoprotein releasing system, transmembrane protein LolE"	+ 	+ 	+ 	+ 
LOLC_B	B	P0ADC3	LOLC_ECOLI	C6EGX6	B	"Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)"	+ 	+ 	+ 	+ 
PTGCB_B	B	P69786	PTGCB_ECOLI	C6EGZ1	B	"Fused glucose-specific PTS enzymes: IIB component/IIC component (EC 2.7.1.69) (PTS system, glucose-specific IIBC subunit) (EC 2.7.1.69)"	+ 	+ 	+ 	+ 
YHCB_B	B	P0ADW3	YHCB_ECOLI	C6EGZ9	B	Putative uncharacterized protein (Putative uncharacterized protein yhcB)	+ 	+ 	+ 	+ 
LPTC_B	B	P0ADV9	LPTC_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	+ 	+ 	+ 	+ 
FTSH_B	B	P0AAI3	FTSH_ECOLI	C6EH49	B	ATP-dependent metalloprotease FtsH (EC 3.6.4.3)	+ 	+ 	+ 	+ 
SECG_B	B	P0AG99	SECG_ECOLI	C6EH52	B	"Preprotein translocase, SecG subunit (Protein-export membrane protein)"	+ 	+ 	+ 	+ 
OPGH_B	B	P62517	OPGH_ECOLI	C6EHG3	B	Glycosyl transferase family 2	+ 	+ 	+ 	+ 
PUTP_B	B	P07117	PUTP_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	+ 	+ 	+ 	+ 
UPPP_B	B	P60932	UPPP_ECOLI	C6EHT8	B	Undecaprenol kinase (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	+ 	+ 	+ 	+ 
YGIM_B	B	P0ADT8	YGIM_ECOLI	C6EHU0	B	Predicted signal transduction protein (SH3 domain) (SH3 domain protein)	+ 	+ 	+ 	+ 
QSEC_B	B	P40719	QSEC_ECOLI	C6EHW7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	+ 	+ 	+ 	+ 
EXBB_B	B	P0ABU7	EXBB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	+ 	+ 	+ 	+ 
MSBA_B	B	P60752	MSBA_ECOLI	C6EI68	B	"Fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (Lipid A ABC exporter, fused ATPase and inner membrane subunits MsbA)"	+ 	+ 	+ 	+ 
CYDD_B	B	P29018	CYDD_ECOLI	C6EI95	B	"ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydD (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)"	+ 	+ 	+ 	+ 
CYDC_B	B	P23886	CYDC_ECOLI	C6EI96	B	"ABC transporter, CydDC cysteine exporter (CydDC-E) family, permease/ATP-binding protein CydC (Fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component)"	+ 	+ 	+ 	+ 
GALP_B	B	P0AEP1	GALP_ECOLI	C6EIG8	B	Sugar transporter	+ 	+ 	+ 	+ 
MSCS_B	B	P0C0S1	MSCS_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	+ 	+ 	+ 	+ 
YBHG_B	B	P75777	YBHG_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	+ 	+ 	+ 	+ 
SDAC_B	B	P0AAD6	SDAC_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	+ 	+ 	+ 	+ 
TOLR_B	B	P0ABV6	TOLR_ECOLI	C6EJJ9	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	+ 	+ 	+ 	+ 
TOLQ_B	B	P0ABU9	TOLQ_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	+ 	+ 	+ 	+ 
CYDB_B	B	P0ABK2	CYDB_ECOLI	C6EJK4	B	"Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)"	+ 	+ 	+ 	+ 
CYDA_B	B	P0ABJ9	CYDA_ECOLI	C6EJK5	B	"Cytochrome bd ubiquinol oxidase subunit I (Cytochrome d terminal oxidase, subunit I) (EC 1.9.3.-)"	+ 	+ 	+ 	+ 
DHSD_B	B	P0AC44	DHSD_ECOLI	C6EJL5	B	"Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)"	+ 	+ 	+ 	+ 
PTW3C_B	B	P09323	PTW3C_ECOLI	C6EJQ6	B	"Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)"	+ 	+ 	+ 	+ 
EMRA_B	B	P27303	EMRA_ECOLI	C6EJU1	B	Efflux pump membrane protein (Multidrug efflux system)	+ 	+ 	+ 	+ 
LEP_B	B	P00803	LEP_ECOLI	C6EK19	B	Signal peptidase I (EC 3.4.21.89)	+ 	+ 	+ 	+ 
YBDG_B	B	P0AAT4	YBDG_ECOLI	C6EKC4	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	+ 	+ 	+ 	+ 
RODZ_B	B	P27434	RODZ_ECOLI	C6EKJ3	B	"Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)"	+ 	+ 	+ 	+ 
YFGM_B	B	P76576	YFGM_ECOLI	C6EKJ6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	+ 	+ 	+ 	+ 
COPA_B	B	Q59385	COPA_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	+ 	+ 	+ 	+ 
YBAL_B	B	P39830	YBAL_ECOLI	C6EKY6	B	Potassium efflux system protein (Predicted transporter with NAD(P)-binding Rossmann-fold domain)	+ 	+ 	+ 	+ 
ACRB_B	B	P31224	ACRB_ECOLI	C6EL02	B	"Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	+ 	+ 	+ 	+ 
PPID_B	B	P0ADY1	PPID_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	+ 	+ 	+ 	+ 
CYOA_B	B	P0ABJ1	CYOA_ECOLI	C6EL34	B	"Cytochrome o ubiquinol oxidase subunit II (EC 1.10.3.-) (Ubiquinol oxidase, subunit II)"	+ 	+ 	+ 	+ 
CYOB_B	B	P0ABI8	CYOB_ECOLI	C6EL35	B	"Cytochrome o ubiquinol oxidase subunit I (EC 1.10.3.-) (Cytochrome o ubiquinol oxidase, subunit I) (EC 1.9.3.1)"	+ 	+ 	+ 	+ 
ZIPA_B	B	P77173	ZIPA_ECOLI	C6EL66	B	Cell division protein zipA	+ 	+ 	+ 	+ 
SECF_B	B	P0AG93	SECF_ECOLI	C6ELH5	B	Protein export protein SecF (Protein-export membrane protein SecF)	+ 	+ 	+ 	+ 
SECD_B	B	P0AG90	SECD_ECOLI	C6ELH6	B	Protein-export membrane protein SecD	+ 	+ 	+ 	+ 
YAJC_B	B	P0ADZ7	YAJC_ECOLI	C6ELH7	B	"Preprotein translocase subunit YajC (Preprotein translocase, YajC subunit)"	+ 	+ 	+ 	+ 
PTNC_B	B	P69801	PTNC_ECOLI	C6EC12	B	"Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)"	+ 	+ 	+ 	 
ELAB_B	B	P0AEH5	ELAB_ECOLI	C6E9T3	B	Putative uncharacterized protein (Putative uncharacterized protein elaB)	+ 	+ 	 	+ 
FXSA_B	B	P37147	FXSA_ECOLI	C6ECY5	B	FxsA cytoplasmic membrane protein (Inner membrane protein)	+ 	+ 	 	+ 
YQJD_B	B	P64581	YQJD_ECOLI	C6EHP5	B	Putative uncharacterized protein (Putative uncharacterized protein yqjD)	+ 	+ 	 	+ 
PSPC_B	B	P0AFN2	PSPC_ECOLI	C6EFS6	B	"DNA-binding transcriptional activator (Phage shock protein C, PspC)"	+ 	+ 	 	 
BETT_B	B	P0ABC9	BETT_ECOLI	C6ELR7	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	 	+ 	+ 	+ 
SBMA_B	B	P0AFY6	SBMA_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	 	+ 	+ 	+ 
BRNQ_B	B	P0AD99	BRNQ_ECOLI	C6ELI3	B	Branched-chain amino acid transport system II carrier protein (Predicted branched chain amino acid transporter (LIV-II))	 	+ 	+ 	+ 
DEDD_B	B	P09549	DEDD_ECOLI	C6ELD9	B	Putative uncharacterized protein dedD (Sporulation domain protein)	 	+ 	+ 	+ 
YFCJ_B	B	P77549	YFCJ_ECOLI	C6ELD1	B	Major facilitator superfamily MFS_1 (Predicted transporter)	 	+ 	+ 	+ 
NUPC_B	B	P0AFF2	NUPC_ECOLI	C6EL76	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	 	+ 	+ 	+ 
YFEA_B	B	P23842	YFEA_ECOLI	C6EL75	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	 	+ 	+ 	+ 
CYSZ_B	B	P0A6J3	CYSZ_ECOLI	C6EL65	B	Protein CysZ	 	+ 	+ 	+ 
YAJR_B	B	P77726	YAJR_ECOLI	C6EL42	B	Major facilitator superfamily MFS_1 (Predicted transporter)	 	+ 	+ 	+ 
AMPG_B	B	P0AE16	AMPG_ECOLI	C6EL33	B	AmpG-related permease (Muropeptide transporter)	 	+ 	+ 	+ 
MDLA_B	B	P77265	MDLA_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	 	+ 	+ 	+ 
MDLB_B	B	P0AAG5	MDLB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	 	+ 	+ 	+ 
YLAB_B	B	P77473	YLAB_ECOLI	C6EL07	B	Conserved inner membrane protein (EAL domain protein)	 	+ 	+ 	+ 
KEFA_B	B	P77338	KEFA_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	 	+ 	+ 	+ 
FSR_B	B	P52067	FSR_ECOLI	C6EKY5	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	 	+ 	+ 	+ 
QMCA_B	B	P0AA53	QMCA_ECOLI	C6EKX5	B	"Band 7 protein (Predicted protease, membrane anchored)"	 	+ 	+ 	+ 
YBBM_B	B	P77307	YBBM_ECOLI	C6EKX3	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YBBP_B	B	P77504	YBBP_ECOLI	C6EKW8	B	Predicted inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
ACRD_B	B	P24177	ACRD_ECOLI	C6EKP2	B	"Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)"	 	+ 	+ 	+ 
YPFJ_B	B	P64429	YPFJ_ECOLI	C6EKN6	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	 	+ 	+ 	+ 
YFHK_B	B	P52101	YFHK_ECOLI	C6EKF1	B	Histidine kinase (Predicted sensory kinase in two-component system)	 	+ 	+ 	+ 
TATE_B	B	P0A843	TATE_ECOLI	C6EK66	B	"Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)"	 	+ 	+ 	+ 
RODA_B	B	P0ABG7	RODA_ECOLI	C6EK59	B	Cell cycle protein (Cell wall shape-determining protein)	 	+ 	+ 	+ 
PBP2_B	B	P0AD65	PBP2_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	 	+ 	+ 	+ 
GLTJ_B	B	P0AER3	GLTJ_ECOLI	C6EK41	B	"Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	+ 	+ 
LNT_B	B	P23930	LNT_ECOLI	C6EK38	B	Apolipoprotein N-acyltransferase	 	+ 	+ 	+ 
YFHB_B	B	P0AD42	YFHB_ECOLI	C6EK28	B	"HAD superfamily (Subfamily IF) hydrolase, YfhB"	 	+ 	+ 	+ 
KGTP_B	B	P0AEX3	KGTP_ECOLI	C6EJZ9	B	"Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))"	 	+ 	+ 	+ 
YFJD_B	B	P37908	YFJD_ECOLI	C6EJY0	B	Putative uncharacterized protein	 	+ 	+ 	+ 
KDPD_B	B	P21865	KDPD_ECOLI	C6EJN9	B	Osmosensitive K channel His kinase sensor	 	+ 	+ 	+ 
ATKC_B	B	P03961	ATKC_ECOLI	C6EJN8	B	Potassium-transporting ATPase C chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	 	+ 	+ 	+ 
TOLA_B	B	P19934	TOLA_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	 	+ 	+ 	+ 
PYRG_B	B	P0A7E5	PYRG_ECOLI	C6EJ92	B	CTP synthase (EC 6.3.4.2) (CTP synthetase) (UTP--ammonia ligase)	 	+ 	+ 	+ 
BARA_B	B	P0AEC5	BARA_ECOLI	C6EJ86	B	"Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)"	 	+ 	+ 	+ 
LGT_B	B	P60955	LGT_ECOLI	C6EJ41	B	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	 	+ 	+ 	+ 
AAS_B	B	P31119	AAS_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	 	+ 	+ 	+ 
GLNP_B	B	P0AEQ6	GLNP_ECOLI	C6EIX2	B	"Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)"	 	+ 	+ 	+ 
GSIC_B	B	P75798	GSIC_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	 	+ 	+ 	+ 
YBJL_B	B	P60869	YBJL_ECOLI	C6EIQ8	B	Putative transport protein ybjL	 	+ 	+ 	+ 
YQEG_B	B	P63340	YQEG_ECOLI	C6EIP8	B	Predicted transporter (Serine transporter)	 	+ 	+ 	+ 
YBJT_B	B	P75822	YBJT_ECOLI	C6EIB2	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	 	+ 	+ 	+ 
MACB_B	B	P75831	MACB_ECOLI	C6EIA2	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	 	+ 	+ 	+ 
FOCA_B	B	P0AC23	FOCA_ECOLI	C6EI78	B	Formate transporter (Formate/nitrite transporter)	 	+ 	+ 	+ 
LPXK_B	B	P27300	LPXK_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	 	+ 	+ 	+ 
YCBC_B	B	P0AB01	YCBC_ECOLI	C6EI62	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
PQIB_B	B	P43671	PQIB_ECOLI	C6EI31	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	 	+ 	+ 	+ 
YCCS_B	B	P75870	YCCS_ECOLI	C6EI21	B	Putative uncharacterized protein	 	+ 	+ 	+ 
YCCF_B	B	P0AB12	YCCF_ECOLI	C6EI20	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
YQJE_B	B	P64585	YQJE_ECOLI	C6EHP4	B	Conserved inner membrane protein (Putative uncharacterized protein)	 	+ 	+ 	+ 
HTRB_B	B	P0ACV0	HTRB_ECOLI	C6EHF9	B	Lipid A biosynthesis lauroyl (Or palmitoleoyl) acyltransferase (Lipid A biosynthesis lauroyl acyltransferase) (EC 2.3.1.-)	 	+ 	+ 	+ 
MVIN_B	B	P0AF16	MVIN_ECOLI	C6EHE4	B	Integral membrane protein MviN (Predicted inner membrane protein)	 	+ 	+ 	+ 
YCEG_B	B	P28306	YCEG_ECOLI	C6EHB7	B	Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	 	+ 	+ 	+ 
MLAE_B	B	P64606	MLAE_ECOLI	C6EH33	B	Predicted toluene transporter subunit: membrane component of ABC superfamily (Putative uncharacterized protein)	 	+ 	+ 	+ 
MTGA_B	B	P46022	MTGA_ECOLI	C6EH19	B	Monofunctional biosynthetic peptidoglycan transglycosylase (Monofunctional TGase) (EC 2.4.2.-)	 	+ 	+ 	+ 
DEGS_B	B	P0AEE3	DEGS_ECOLI	C6EGZ7	B	"Periplasmic serine protease DegS (EC 3.4.21.108) (Serine endoprotease, periplasmic) (EC 3.4.21.-)"	 	+ 	+ 	+ 
PHOQ_B	B	P23837	PHOQ_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	 	+ 	+ 	+ 
IDH_B	B	P08200	IDH_ECOLI	C6EGV5	B	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	 	+ 	+ 	+ 
