Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED	
ACRB_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	337		Y	
ACRB_ECOLI	C6EEF9	B	AsmA family protein (Predicted outer membrane biogenesis protein)	691		Y	
ACRB_ECOLI	C6EEF4	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	649		Y	
ACRB_ECOLI	C6EEE5	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	559		Y	
ACRB_ECOLI	C6EDD4	B	AsmA family protein (Putative uncharacterized protein yicH)	569		Y	
ACRB_ECOLI	C6EDA6	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	150		Y	
ACRB_ECOLI	C6ED85	B	Putative uncharacterized protein yidE (YidE/YbjL duplication)	553		Y	
ACRB_ECOLI	C6EG16	B	Amino acid permease-associated region (Predicted transporter)	461		Y	
ACRB_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	449		Y	
ACRB_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549		Y	
ACRB_ECOLI	C6ED57	B	Conserved inner membrane protein involved in acetate transport (Putative uncharacterized protein)	104		Y	
ACRB_ECOLI	C6ED03	B	Conserved inner membrane protein (Putative uncharacterized protein)	209		Y	
ACRB_ECOLI	C6ECW6	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	1107		Y	
ACRB_ECOLI	C6EL06	B	Predicted inner membrane protein (Putative uncharacterized protein)	156		Y	
ACRB_ECOLI	C6ECN2	B	Predicted inner membrane protein (Putative uncharacterized protein)	178		Y	
ACRB_ECOLI	C6EC15	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	518		Y	
ACRB_ECOLI	C6E9Y8	B	Cyclic peptide transporter (Fused predicted multidrug transport subunits of ABC superfamily: membrane component/ATP-binding component)	547		Y	
ACRB_ECOLI	C6EKN6	B	Putative uncharacterized protein (Putative uncharacterized protein ypfJ)	287		Y	
ACRB_ECOLI	C6EIP8	B	Predicted transporter (Serine transporter)	409		Y	
ACRB_ECOLI	C6EHP4	B	Conserved inner membrane protein (Putative uncharacterized protein)	134		Y	
							
							
SRP54_ECOLI	C6EJY2	F1	Signal Recognition Particle (SRP) component with 4.5S RNA (Ffs) (Signal recognition particle protein)	453	Y	Y	"signal recognition particle, endoplasmic reticulum targeting ; ribonucleoprotein complex"
EFTU2_ECOLI	C6EE39	F1	Elongation factor Tu	394	Y	Y	translational elongation
LEPA_ECOLI	C6EK18	F1	GTP-binding protein lepA	599	Y		translation
ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y	regulation of translation
SYA_ECOLI	C6EJT4	A	Alanyl-tRNA synthetase (EC 6.1.1.7) (Alanine--tRNA ligase)	876	Y		translation
SYM_ECOLI	C6EAJ7	A	Methionyl-tRNA synthetase	677	Y		translation
SYN_ECOLI	C6EI52	A	Asparaginyl-tRNA synthetase (EC 6.1.1.22) (Asparagine--tRNA ligase)	466	Y		translation
SYP_ECOLI	C6EA90	A	Prolyl-tRNA synthetase (EC 6.1.1.15) (Proline--tRNA ligase)	572	Y		translation
SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y		translation
IF2_ECOLI	C6EH57	A	Translation initiation factor IF-2	890	Y		translational initiation
IF3_ECOLI	C6ECN9	A	Translation initiation factor IF-3	180	Y		translational initiation
IHFA_ECOLI	C6ECP5	A	Integration host factor subunit alpha (IHF-alpha)	99	Y		regulation of translation
IHFB_ECOLI	C6EI70	A	Integration host factor subunit beta (IHF-beta)	94	Y		regulation of translation
EFG_ECOLI	C6EGC4	A	Elongation factor G (EF-G)	704	Y		translational elongation
EFTS_ECOLI	C6EAB5	A	Elongation factor Ts (EF-Ts)	283	Y		translational elongation
DEF_ECOLI	C6EGI0	A	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	169	Y		translation
AMPM_ECOLI	C6EAB7	A	Methionine aminopeptidase (EC 3.4.11.18)	264	Y		protein initiator methionine removal
ACON2_ECOLI	C6EAT9	A	Aconitate hydratase 2 (EC 4.2.1.3)	865	Y		regulation of translation
HRPA_ECOLI	C6EEV0	A	ATP-dependent helicase HrpA	1300	Y		mRNA processing
TIG_ECOLI	C6EL29	A	Trigger factor (TF)	432	Y		'de novo' cotranslational protein folding
PCNB_ECOLI	C6EAE1	A	Poly(A) polymerase (EC 2.7.7.19)	472	Y		mRNA processing
RL1_ECOLI	C6EE35	A	50S ribosomal protein L1	234	Y	Y	regulation of translation
RL10_ECOLI	C6EE34	A	50S ribosomal protein L10	165	Y	Y	regulation of translation
RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	142	Y	Y	ribosome
RL14_ECOLI	C6EGF6	A	50S ribosomal protein L14	123	Y	Y	ribosome
RL15_ECOLI	C6EGG5	A	50S ribosomal protein L15	144	Y	Y	ribosome
RL16_ECOLI	C6EGF3	A	50S ribosomal protein L16	136	Y	Y	ribosome
RL17_ECOLI	C6EGH2	A	50S ribosomal protein L17	127	Y	Y	ribosome
RL18_ECOLI	C6EGG2	A	50S ribosomal protein L18	117	Y	Y	ribosome
RL2_ECOLI	C6EGE9	A	50S ribosomal protein L2	273	Y	Y	ribosome
RL20_ECOLI	C6ECP1	A	50S ribosomal protein L20	118	Y	Y	ribosome
RL28_ECOLI	C6EDF4	A	50S ribosomal protein L28	78	Y	Y	ribosome
RL5_ECOLI	C6EGF8	A	50S ribosomal protein L5	179	Y	Y	ribosome
RL7_ECOLI	C6EE33	A	50S ribosomal protein L7/L12	121	Y	Y	ribosome
RS10_ECOLI	C6EGE5	A	30S ribosomal protein S10	103	Y	Y	ribosome
RS12_ECOLI	C6EGC2	A	30S ribosomal protein S12	124	Y	Y	ribosome
RS13_ECOLI	C6EGG8	A	30S ribosomal protein S13	118	Y	Y	ribosome
RS14_ECOLI	C6EGF9	A	30S ribosomal protein S14 (Ribosomal protein S14)	101	Y	Y	ribosome
RS18_ECOLI	C6ECE7	A	30S ribosomal protein S18	75	Y	Y	ribosome
RS2_ECOLI	C6EAB6	A	30S ribosomal protein S2	241	Y	Y	ribosome
RS21_ECOLI	C6EHT0	A	30S ribosomal protein S21	71	Y	Y	ribosome
RS3_ECOLI	C6EGF2	A	30S ribosomal protein S3	233	Y	Y	ribosome
RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	206	Y	Y	regulation of translation
RS5_ECOLI	C6EGG3	A	30S ribosomal protein S5	167	Y	Y	ribosome
RS9_ECOLI	C6EH02	A	30S ribosomal protein S9	130	Y	Y	ribosome
RS11_ECOLI	C6EGG9	A	30S ribosomal protein S11	129		Y	ribosome
RL13_ECOLI	C6EH01	A	50S ribosomal protein L13	142	Y		ribosome
RL19_ECOLI	C6EJY6	A	50S ribosomal protein L19	115	Y		ribosome
RL21_ECOLI	C6EH41	A	50S ribosomal protein L21	103	Y		ribosome
RL22_ECOLI	C6EGF1	A	50S ribosomal protein L22	110	Y		ribosome
RL23_ECOLI	C6EGE8	A	50S ribosomal protein L23	100	Y		ribosome
RL24_ECOLI	C6EGF7	A	50S ribosomal protein L24	104	Y		ribosome
RL25_ECOLI	C6EA12	A	50S ribosomal protein L25	94	Y		ribosome
RL27_ECOLI	C6EH42	A	50S ribosomal protein L27	85	Y		ribosome
RL29_ECOLI	C6EGF4	A	50S ribosomal protein L29	63	Y		ribosome
RL3_ECOLI	C6EGE6	A	50S ribosomal protein L3	209	Y		ribosome
RL30_ECOLI	C6EGG4	A	50S ribosomal protein L30	59	Y		ribosome
RL31_ECOLI	C6EE73	A	50S ribosomal protein L31	70	Y		ribosome
RL32_ECOLI	C6EHC5	A	50S ribosomal protein L32	57	Y		ribosome
RL4_ECOLI	C6EGE7	A	50S ribosomal protein L4	201	Y		regulation of translation
RL6_ECOLI	C6EGG1	A	50S ribosomal protein L6	177	Y		ribosome
RL9_ECOLI	C6ECE6	A	50S ribosomal protein L9	149	Y		ribosome
RS1_ECOLI	C6EI71	A	30S ribosomal protein S1 (Ribosomal protein S1)	557	Y		ribosome
RS15_ECOLI	C6EH60	A	30S ribosomal protein S15	89	Y		ribosome
RS17_ECOLI	C6EGF5	A	30S ribosomal protein S17	84	Y		ribosome
RS19_ECOLI	C6EGF0	A	30S ribosomal protein S19	92	Y		ribosome
RS6_ECOLI	C6ECE9	A	30S ribosomal protein S6	131	Y		ribosome
RS7_ECOLI	C6EGC3	A	30S ribosomal protein S7	156	Y		ribosome
RS8_ECOLI	C6EGG0	A	30S ribosomal protein S8	130	Y		regulation of translation
RSMC_ECOLI	C6EBK1	A	16S ribosomal RNA m2G1207 methyltransferase (EC 2.1.1.52) (rRNA (Guanine-N(2)-)-methyltransferase) (EC 2.1.1.52)	343	Y		
SRA_ECOLI	C6EEN7	A	30S ribosomal subunit S22 (30S ribosomal subunit protein S22)	45	Y		
