Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	UNTREATED	TREATED		GO Annotation			
ACRB_ECOLI	C6EEY6	B	Histidine kinase (Two-component sensor protein) (EC 2.7.1.-)	457	Y	Y		protein autophosphorylation|two-component signal transduction system (phosphorelay)|phosphorylation	C6EEY6	protein autophosphorylation|two-component signal transduction system (phosphorelay)|phosphorylation	GO:0016310|GO:0000160|GO:0046777
ACRB_ECOLI	C6EFZ1	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide transporter subunit)	302		Y		transport|protein transport|peptide transport	C6EFZ1	transport|protein transport|peptide transport	GO:0006810|GO:0015833|GO:0015031
ACRB_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425		Y		lipid A biosynthetic process|lipopolysaccharide biosynthetic process	C6EDF8	lipid A biosynthetic process|lipopolysaccharide biosynthetic process	GO:0009103|GO:0009245
ACRB_ECOLI	C6EL22	B	Peptidyl-prolyl cis-trans isomerase (Rotamase D) (EC 5.2.1.8) (PpiC-type peptidyl-prolyl cis-trans isomerase)	623	Y	Y		protein folding|response to stress	C6EL22	protein folding|response to stress	GO:0006457|GO:0006950
ACRB_ECOLI	C6EH08	B	Putative sialic acid transporter (Sialic acid permease)	496		Y		carbohydrate transport|transport	C6EH08	carbohydrate transport|transport	GO:0006810|GO:0008643
ACRB_ECOLI	C6EL02	B	Multidrug efflux system protein (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1049	Y	Y		transport	C6EL02	transport	GO:0006810
ACCA_ECOLI	C6EAA0	A	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	319	Y			lipid biosynthetic process|fatty acid biosynthetic process	C6EAA0	lipid biosynthetic process|fatty acid biosynthetic process	GO:0006633|GO:0008610
IDH_ECOLI	C6EGV5	A	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	416	Y			oxidation-reduction process|glyoxylate cycle|electron transport chain|tricarboxylic acid cycle	C6EGV5	oxidation-reduction process|glyoxylate cycle|electron transport chain|tricarboxylic acid cycle	GO:0006099|GO:0006097|GO:0022900|GO:0055114
ACRB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	767		Y		cellulose biosynthetic process	C6EEF1	cellulose biosynthetic process	GO:0030244
RLUF_ECOLI	C6EE02	A	Pseudouridine synthase (EC 5.4.99.-)	290	Y			rRNA processing|enzyme-directed rRNA pseudouridine synthesis	C6EE02	rRNA processing|enzyme-directed rRNA pseudouridine synthesis	GO:0000455|GO:0006364
RSGA_ECOLI	C6ECW4	A	Putative ribosome biogenesis GTPase RsgA (EC 3.6.1.-)	350	Y			ribosomal small subunit biogenesis	C6ECW4	ribosomal small subunit biogenesis	GO:0042274
ACRB_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549		Y		transport|sodium ion transport|ion transport	C6ED59	transport|sodium ion transport|ion transport	GO:0006810|GO:0006814|GO:0006811
NUSA_ECOLI	C6EH56	A	NusA antitermination factor (Transcription elongation factor NusA)	495	Y			regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress	C6EH56	regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent|response to stress	GO:0006353|GO:0031564|GO:0006355|GO:0006950|GO:0006351
DPO1_ECOLI	C6EF39	A	DNA polymerase I (EC 2.7.7.7)	928	Y			DNA repair|response to DNA damage stimulus|DNA replication	C6EF39	DNA repair|response to DNA damage stimulus|DNA replication	GO:0006281|GO:0006260|GO:0006974
ACRB_ECOLI	C6EIY7	B	Secretion protein HlyD family protein	331	Y	Y		cellular iron ion homeostasis	C6EIY7	cellular iron ion homeostasis	GO:0006879
RL11_ECOLI	C6EE36	A	50S ribosomal protein L11	142	Y	Y		stringent response|translational termination	C6EE36	stringent response|translational termination	GO:0006415|GO:0015968
ACRB_ECOLI	C6EAD5	B	Penicillin-binding protein 1B (Penicillin-binding protein 1b) (EC 2.4.1.129) (EC 3.4.-.-)	841		Y		response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process	C6EAD5	response to antibiotic|regulation of cell shape|peptidoglycan biosynthetic process|cellular cell wall organization|metabolic process	GO:0046677|GO:0009252|GO:0008152|GO:0008360|GO:0007047
RS4_ECOLI	C6EGH0	A	30S ribosomal protein S4	206	Y	Y		response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	C6EGH0	response to antibiotic|regulation of transcription, DNA-dependent|transcription, DNA-dependent|transcription termination, DNA-dependent|regulation of translation	GO:0046677|GO:0006353|GO:0006355|GO:0006351|GO:0006417
KPYK2_ECOLI	C6EBX3	A	Pyruvate kinase (EC 2.7.1.40)	480	Y			glycolysis|metabolic process|phosphorylation	C6EBX3	glycolysis|metabolic process|phosphorylation	GO:0016310|GO:0008152|GO:0006096
ACRB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306		Y		transport|protein transport|tripeptide transport|peptide transport	C6EGM3	transport|protein transport|tripeptide transport|peptide transport	GO:0006810|GO:0042939|GO:0015833|GO:0015031
ACRB_ECOLI	C6ED13	B	Metabolite/H+ symporter, major facilitator superfamily (MFS) (Proline/glycine betaine transporter)	500	Y	Y		proline transport|transport|amino acid transport|hyperosmotic salinity response|response to osmotic stress	C6ED13	proline transport|transport|amino acid transport|hyperosmotic salinity response|response to osmotic stress	GO:0006810|GO:0006865|GO:0006970|GO:0042538|GO:0015824
ACRB_ECOLI	C6EJK0	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolQ)	230	Y	Y		transport|bacteriocin transport|protein transport	C6EJK0	transport|bacteriocin transport|protein transport	GO:0006810|GO:0043213|GO:0015031
ACRB_ECOLI	C6EAW2	B	Cell division protein FtsQ (Membrane anchored protein involved in growth of wall at septum)	276		Y		barrier septum formation|cell cycle|cell division	C6EAW2	barrier septum formation|cell cycle|cell division	GO:0051301|GO:0000917|GO:0007049
ACRB_ECOLI	C6EJU7	B	Binding-protein-dependent transport systems inner membrane component (Glycine betaine transporter subunit)	354		Y		amino acid transport|transport	C6EJU7	amino acid transport|transport	GO:0006810|GO:0006865
DNAK_ECOLI	C6EB40	F1	Chaperone protein DnaK (Molecular chaperone DnaK)	638	Y	Y		DNA replication|response to stress	C6EB40	DNA replication|response to stress	GO:0006260|GO:0006950
ACRB_ECOLI	C6EL53	B	Sulfate ABC transporter, inner membrane subunit (Sulfate/thiosulfate transporter subunit)	277		Y		sulfate transport|transport	C6EL53	sulfate transport|transport	GO:0006810|GO:0008272
ACRB_ECOLI	C6EE54	B	Conserved inner membrane protein (Sulfatase)	577	Y	Y		lipid biosynthetic process|lipopolysaccharide biosynthetic process	C6EE54	lipid biosynthetic process|lipopolysaccharide biosynthetic process	GO:0009103|GO:0008610
FADJ_ECOLI	C6ELB3	A	Fatty acid oxidation complex subunit alpha	714	Y	Y		oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	C6ELB3	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	GO:0016042|GO:0008152|GO:0006631|GO:0055114|GO:0006629
ACRB_ECOLI	C6EJQ6	B	Fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components (EC 2.7.1.69) (PTS system, N-acetylglucosamine-specific IIBC subunit)	648		Y		carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	C6EJQ6	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	GO:0006810|GO:0016310|GO:0008643|GO:0009401
GLMS_ECOLI	C6EG74	A	D-fructose-6-phosphate amidotransferase (EC 2.6.1.16) (Glucosamine/fructose-6-phosphate aminotransferase, isomerizing)	609	Y			glutamine metabolic process|UDP-N-acetylglucosamine biosynthetic process	C6EG74	glutamine metabolic process|UDP-N-acetylglucosamine biosynthetic process	GO:0006541|GO:0006048
STHA_ECOLI	C6EE47	A	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	466	Y			oxidation-reduction process	C6EE47	oxidation-reduction process	GO:0055114
RNFB_ECOLI	C6EDL8	F1	Electron transport complex protein rnfB	192		Y		transport|electron transport chain	C6EDL8	transport|electron transport chain	GO:0006810|GO:0022900
ACRB_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325		Y		oxidation-reduction process|aerobic respiration|anaerobic respiration	C6E9S0	oxidation-reduction process|aerobic respiration|anaerobic respiration	GO:0009061|GO:0055114|GO:0009060
METH_ECOLI	C6EE05	A	B12-dependent methionine synthase (EC 2.1.1.13) (Methionine synthase)	1227	Y			cellular amino acid biosynthetic process|methionine biosynthetic process|methylation	C6EE05	cellular amino acid biosynthetic process|methionine biosynthetic process|methylation	GO:0008652|GO:0032259|GO:0009086
LPTB_ECOLI	C6EH26	F1	ABC transporter related (Predicted transporter subunit: ATP-binding component of ABC superfamily)	241	Y			transport|lipopolysaccharide transport	C6EH26	transport|lipopolysaccharide transport	GO:0006810|GO:0015920
YFIF_ECOLI	C6EK05	A	Predicted methyltransferase (EC 2.1.1.-) (tRNA/rRNA methyltransferase (SpoU))	345	Y			methylation	C6EK05	methylation	GO:0032259
ACRB_ECOLI	C6ECH5	B	HflK protein (Modulator for HflB protease specific for phage lambda cII repressor)	419	Y	Y		response to heat	C6ECH5	response to heat	GO:0009408
AMPA_ECOLI	C6EC91	A	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (Leucyl aminopeptidase)	503	Y			plasmid recombination|peptide catabolic process	C6EC91	plasmid recombination|peptide catabolic process	GO:0042150|GO:0043171
FIS_ECOLI	C6EGJ9	A	DNA-binding protein Fis (Transcriptional regulator, Fis family)	98	Y			regulation of transcription, DNA-dependent|transcription, DNA-dependent	C6EGJ9	regulation of transcription, DNA-dependent|transcription, DNA-dependent	GO:0006355|GO:0006351
ACRB_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	457		Y		amino acid transport|transport	C6ELI2	amino acid transport|transport	GO:0006810|GO:0006865
ACRB_ECOLI	C6EI67	B	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	328		Y		lipid biosynthetic process|lipid A biosynthetic process|phosphorylation	C6EI67	lipid biosynthetic process|lipid A biosynthetic process|phosphorylation	GO:0016310|GO:0008610|GO:0009245
ACRB_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421		Y		transport|bacteriocin transport|protein transport|protein import	C6EJJ8	transport|bacteriocin transport|protein transport|protein import	GO:0006810|GO:0043213|GO:0017038|GO:0015031
MQO_ECOLI	C6E9Y9	F1	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	548	Y			oxidation-reduction process|tricarboxylic acid cycle	C6E9Y9	oxidation-reduction process|tricarboxylic acid cycle	GO:0006099|GO:0055114
ACRB_ECOLI	C6ELE5	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	228		Y		amino acid transport|transport	C6ELE5	amino acid transport|transport	GO:0006810|GO:0006865
ACRB_ECOLI	C6EGT1	B	Na(+)/H(+) antiporter nhaB (Sodium/proton antiporter nhaB)	513		Y		transport|cellular sodium ion homeostasis|proton transport|sodium ion transport|response to lithium ion|ion transport|intracellular pH reduction	C6EGT1	transport|cellular sodium ion homeostasis|proton transport|sodium ion transport|response to lithium ion|ion transport|intracellular pH reduction	GO:0006810|GO:0051452|GO:0010226|GO:0006883|GO:0006814|GO:0015992|GO:0006811
ACRB_ECOLI	C6EKP2	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037		Y		transport	C6EKP2	transport	GO:0006810
ACRB_ECOLI	C6EIX2	B	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)	219		Y		amino acid transport|transport	C6EIX2	amino acid transport|transport	GO:0006810|GO:0006865
ACCD_ECOLI	C6ELD7	A	Acetyl-CoA carboxylase subunit beta (EC 6.4.1.2) (Acetyl-CoA carboxylase, carboxyl transferase, beta subunit)	304	Y	Y		lipid biosynthetic process|negative regulation of translation|fatty acid biosynthetic process|regulation of translation	C6ELD7	lipid biosynthetic process|negative regulation of translation|fatty acid biosynthetic process|regulation of translation	GO:0017148|GO:0006633|GO:0006417|GO:0008610
ACRB_ECOLI	C6ECD6	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	Y	Y		amino acid transport|transport	C6ECD6	amino acid transport|transport	GO:0006810|GO:0006865
ATPG_ECOLI	C6EG70	F1	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	287	Y	Y		transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	C6EG70	transport|proton transport|ion transport|ATP synthesis coupled proton transport|ATP biosynthetic process	GO:0006810|GO:0015986|GO:0006754|GO:0015992|GO:0006811
ACRB_ECOLI	C6EED7	B	Binding-protein-dependent transport systems inner membrane component (Dipeptide transporter)	339		Y		dipeptide transport|transport|protein transport|peptide transport	C6EED7	dipeptide transport|transport|protein transport|peptide transport	GO:0006810|GO:0042938|GO:0015833|GO:0015031
ODP1_ECOLI	C6EAU3	F1	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	887	Y			oxidation-reduction process|glycolysis|acetyl-CoA biosynthetic process from pyruvate	C6EAU3	oxidation-reduction process|glycolysis|acetyl-CoA biosynthetic process from pyruvate	GO:0006096|GO:0055114|GO:0006086
ACRB_ECOLI	C6EK66	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67		Y		transport|protein transport|transmembrane transport	C6EK66	transport|protein transport|transmembrane transport	GO:0006810|GO:0055085|GO:0015031
RFAP_ECOLI	C6EDG1	A	Lipopolysaccharide kinase	265		Y		lipopolysaccharide biosynthetic process|phosphorylation	C6EDG1	lipopolysaccharide biosynthetic process|phosphorylation	GO:0009103|GO:0016310
SYY_ECOLI	C6EDK8	A	Tyrosyl-tRNA synthetase (EC 6.1.1.1) (Tyrosine--tRNA ligase)	424	Y			translation	C6EDK8	translation	GO:0006412
ACRB_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	429		Y		transport	C6EJ75	transport	GO:0006810
UGPC_ECOLI	C6EFC4	F1	ABC transporter related	356	Y	Y		carbohydrate transport|glycerol-3-phosphate transport|transport|glycerol-2-phosphate transport	C6EFC4	carbohydrate transport|glycerol-3-phosphate transport|transport|glycerol-2-phosphate transport	GO:0070811|GO:0006810|GO:0008643|GO:0015794
RPOB_ECOLI	C6EE32	A	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	1342	Y			transcription, DNA-dependent	C6EE32	transcription, DNA-dependent	GO:0006351
ACRB_ECOLI	C6EJK4	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379		Y		oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	C6EJK4	oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	GO:0006810|GO:0022900|GO:0017004|GO:0055114
RPOZ_ECOLI	C6EDE1	A	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	91	Y			transcription, DNA-dependent	C6EDE1	transcription, DNA-dependent	GO:0006351
RPOC_ECOLI	C6EE31	A	DNA-directed RNA polymerase (EC 2.7.7.6)	1407	Y	Y		transcription, DNA-dependent	C6EE31	transcription, DNA-dependent	GO:0006351
ACRB_ECOLI	C6EFZ7	B	Magnesium and cobalt transport protein CorA (Magnesium/nickel/cobalt transporter)	316	Y	Y		transport|ion transport	C6EFZ7	transport|ion transport	GO:0006810|GO:0006811
ACRB_ECOLI	C6EJW2	B	GABA permease (Gamma-aminobutyrate transporter)	466		Y		amino acid transport|transport	C6EJW2	amino acid transport|transport	GO:0006810|GO:0006865
ACRB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	546		Y		ubiquinone biosynthetic process	C6EF61	ubiquinone biosynthetic process	GO:0006744
DNAJ_ECOLI	C6EB39	A	Chaperone protein dnaJ	376	Y			protein refolding|response to heat|protein unfolding|DNA replication|response to stress	C6EB39	protein refolding|response to heat|protein unfolding|DNA replication|response to stress	GO:0006260|GO:0006950|GO:0042026|GO:0009408|GO:0043335
RLUB_ECOLI	C6EFW8	A	Pseudouridine synthase (EC 5.4.99.-)	291	Y			rRNA processing|enzyme-directed rRNA pseudouridine synthesis	C6EFW8	rRNA processing|enzyme-directed rRNA pseudouridine synthesis	GO:0000455|GO:0006364
ACRB_ECOLI	C6EDP5	B	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2) (NAD(P) transhydrogenase, alpha subunit) (EC 1.6.1.2)	510	Y	Y		oxidation-reduction process	C6EDP5	oxidation-reduction process	GO:0055114
ACRB_ECOLI	C6EB06	B	Glutathione-regulated potassium-efflux system protein (Potassium efflux system protein)	620		Y		transport|response to methylglyoxal|potassium ion transport|response to toxin|ion transport	C6EB06	transport|response to methylglyoxal|potassium ion transport|response to toxin|ion transport	GO:0006810|GO:0006813|GO:0051595|GO:0006811|GO:0009636
ACRB_ECOLI	C6EKZ9	B	Fused conserved protein (MscS Mechanosensitive ion channel)	1120		Y		cellular water homeostasis|transport|potassium ion transport|ion transport	C6EKZ9	cellular water homeostasis|transport|potassium ion transport|ion transport	GO:0006810|GO:0006813|GO:0009992|GO:0006811
ACRB_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	306		Y		transport	C6EIV1	transport	GO:0006810
ACRB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	244		Y		bacteriocin transport|transport|protein transport	C6EHY7	bacteriocin transport|transport|protein transport	GO:0043213|GO:0006810|GO:0015031
ACRB_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	565		Y		oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	C6ECY9	oxidation-reduction process|cytochrome complex assembly|transport|electron transport chain	GO:0006810|GO:0022900|GO:0017004|GO:0055114
ODO2_ECOLI	C6EJL1	A	2-oxoglutarate dehydrogenase, E2 subunit, dihydrolipoamide succinyltransferase (Dihydrolipoamide acetyltransferase) (EC 2.3.1.61)	405	Y			tricarboxylic acid cycle	C6EJL1	tricarboxylic acid cycle	GO:0006099
PSS_ECOLI	C6EK01	F1	Phosphatidylserine synthase (EC 2.7.8.8) (Phospholipase D/Transphosphatidylase)	451	Y	Y		phospholipid biosynthetic process	C6EK01	phospholipid biosynthetic process	GO:0008654
SECB_ECOLI	C6EDI0	F1	Protein-export protein secB	155	Y			transport|protein targeting|protein transport|protein transport by the Sec complex|transmembrane transport	C6EDI0	transport|protein targeting|protein transport|protein transport by the Sec complex|transmembrane transport	GO:0006810|GO:0006605|GO:0055085|GO:0043952|GO:0015031
ACRB_ECOLI	C6EGS6	B	Potassium/proton antiporter (Sodium/hydrogen exchanger)	578		Y		transport	C6EGS6	transport	GO:0006810
ARND_ECOLI	C6E9U4	A	Polysaccharide deacetylase (Putative uncharacterized protein yfbH)	296	Y	Y		response to antibiotic|response to iron(III) ion|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process	C6E9U4	response to antibiotic|response to iron(III) ion|lipid biosynthetic process|lipid A biosynthetic process|lipopolysaccharide biosynthetic process	GO:0046677|GO:0009103|GO:0010041|GO:0008610|GO:0009245
GLRX3_ECOLI	C6EDH9	A	Glutaredoxin 3	83	Y			transport|deoxyribonucleotide biosynthetic process|electron transport chain	C6EDH9	transport|deoxyribonucleotide biosynthetic process|electron transport chain	GO:0006810|GO:0009263|GO:0022900
ACRB_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251		Y		phospholipid biosynthetic process	C6EEY0	phospholipid biosynthetic process	GO:0008654
ACRB_ECOLI	C6EGW6	B	Binding-protein-dependent transport systems inner membrane component	285		Y		transport|polyamine transport	C6EGW6	transport|polyamine transport	GO:0006810|GO:0015846
PPSA_ECOLI	C6ECQ5	A	Phosphoenolpyruvate synthase (EC 2.7.9.2)	792	Y			gluconeogenesis|phosphorylation	C6ECQ5	gluconeogenesis|phosphorylation	GO:0016310|GO:0006094
OMPR_ECOLI	C6EFG9	A	Two component transcriptional regulator, winged helix family	239	Y	Y		regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	C6EFG9	regulation of transcription, DNA-dependent|transcription, DNA-dependent|two-component signal transduction system (phosphorelay)	GO:0000160|GO:0006355|GO:0006351
ACRB_ECOLI	C6EJ66	B	Inner-membrane translocator (Ribose transport system permease protein rbsC)	327		Y		carbohydrate transport|transport	C6EJ66	carbohydrate transport|transport	GO:0006810|GO:0008643
ACRB_ECOLI	C6EGH6	B	Large-conductance mechanosensitive channel	136	Y	Y		cellular water homeostasis|transport|ion transport	C6EGH6	cellular water homeostasis|transport|ion transport	GO:0006810|GO:0009992|GO:0006811
FADB_ECOLI	C6EF52	A	Fatty acid oxidation complex subunit alpha	729	Y			oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	C6EF52	oxidation-reduction process|fatty acid metabolic process|lipid catabolic process|metabolic process|lipid metabolic process	GO:0016042|GO:0008152|GO:0006631|GO:0055114|GO:0006629
ACRB_ECOLI	C6EKJ3	B	Putative uncharacterized protein yfgA (Transcriptional regulator, XRE family)	337	Y	Y		regulation of cell shape|peptidoglycan biosynthetic process	C6EKJ3	regulation of cell shape|peptidoglycan biosynthetic process	GO:0009252|GO:0008360
ACRB_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	337		Y		transport	C6EEG1	transport	GO:0006810
METN_ECOLI	C6EA85	F1	D-methionine ABC transporter, ATPase subunit (DL-methionine transporter subunit)	343	Y	Y		amino acid transport|transport	C6EA85	amino acid transport|transport	GO:0006810|GO:0006865
ACRB_ECOLI	C6EFI0	B	Fused penicillin-binding protein 1a: murein transglycosylase/murein transpeptidase (EC 2.4.2.-) (EC 3.4.-.-) (Penicillin-binding protein, 1A family) (EC 2.4.1.129)	850	Y	Y		regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	C6EFI0	regulation of cell shape|response to antibiotic|peptidoglycan biosynthetic process|response to drug|cellular cell wall organization|metabolic process	GO:0046677|GO:0009252|GO:0042493|GO:0008152|GO:0008360|GO:0007047
ACRB_ECOLI	C6EK28	B	HAD superfamily (Subfamily IF) hydrolase, YfhB	211		Y		tRNA wobble adenosine to inosine editing	C6EK28	tRNA wobble adenosine to inosine editing	GO:0002100
ACRB_ECOLI	C6EII5	B	Mechanosensitive channel (MscS Mechanosensitive ion channel)	286	Y	Y		cellular water homeostasis|transport|ion transport	C6EII5	cellular water homeostasis|transport|ion transport	GO:0006810|GO:0009992|GO:0006811
NUSG_ECOLI	C6EE37	A	Transcription antitermination protein nusG	181	Y			transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent	C6EE37	transcription, DNA-dependent|regulation of transcription, DNA-dependent|transcription antitermination|transcription termination, DNA-dependent	GO:0006353|GO:0031564|GO:0006355|GO:0006351
PTNAB_ECOLI	C6EC13	F1	Fused mannose-specific PTS enzymes: IIA component/IIB component (EC 2.7.1.69) (PTS system, mannose/fructose/sorbose family, IIA subunit) (EC 2.7.1.69)	323	Y			carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	C6EC13	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	GO:0006810|GO:0016310|GO:0008643|GO:0009401
PYRD_ECOLI	C6EI37	F1	Dihydroorotate dehydrogenase (EC 1.3.5.2) (DHOdehase) (Dihydroorotate oxidase)	336		Y		oxidation-reduction process|cellular amino acid biosynthetic process|pyrimidine nucleotide biosynthetic process|diaminopimelate biosynthetic process	C6EI37	oxidation-reduction process|cellular amino acid biosynthetic process|pyrimidine nucleotide biosynthetic process|diaminopimelate biosynthetic process	GO:0008652|GO:0006221|GO:0019877|GO:0055114
AAT_ECOLI	C6EI54	A	Aspartate aminotransferase, PLP-dependent (EC 2.6.1.1) (Aspartate transaminase) (EC 2.6.1.1)	396	Y			L-phenylalanine biosynthetic process from chorismate via phenylpyruvate|aspartate biosynthetic process	C6EI54	L-phenylalanine biosynthetic process from chorismate via phenylpyruvate|aspartate biosynthetic process	GO:0006532|GO:0033585
ACRB_ECOLI	C6EHG3	B	Glycosyl transferase family 2	837	Y	Y		glucan biosynthetic process|response to osmotic stress	C6EHG3	glucan biosynthetic process|response to osmotic stress	GO:0006970|GO:0009250
ACRB_ECOLI	C6ECY7	B	Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)	433		Y		transport	C6ECY7	transport	GO:0006810
GATZ_ECOLI	C6EAL5	A	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit (Putative tagatose 6-phosphate kinase 1)	420	Y	Y		galactitol metabolic process	C6EAL5	galactitol metabolic process	GO:0019402
ACRB_ECOLI	C6EG27	B	Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein (Lipopolysaccharide biosynthesis protein)	348		Y		lipopolysaccharide biosynthetic process|enterobacterial common antigen biosynthetic process	C6EG27	lipopolysaccharide biosynthetic process|enterobacterial common antigen biosynthetic process	GO:0009103|GO:0009246
ACRB_ECOLI	C6EGG6	B	Preprotein translocase subunit secY	443	Y	Y		transport|intracellular protein transmembrane transport|protein transport|protein transport by the Sec complex|transmembrane transport	C6EGG6	transport|intracellular protein transmembrane transport|protein transport|protein transport by the Sec complex|transmembrane transport	GO:0006810|GO:0065002|GO:0055085|GO:0043952|GO:0015031
ARLY_ECOLI	C6EE49	A	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	457	Y			cellular amino acid biosynthetic process|arginine biosynthetic process	C6EE49	cellular amino acid biosynthetic process|arginine biosynthetic process	GO:0008652|GO:0006526
ACRB_ECOLI	C6EKS4	B	N-acetylmuramic acid phosphotransfer permease (Phosphotransferase system EIIC)	474		Y		carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	C6EKS4	carbohydrate transport|transport|phosphoenolpyruvate-dependent sugar phosphotransferase system|phosphorylation	GO:0006810|GO:0016310|GO:0008643|GO:0009401
ARGB_ECOLI	C6EE50	A	Acetylglutamate kinase	258	Y			cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation	C6EE50	cellular amino acid biosynthetic process|arginine biosynthetic process|phosphorylation	GO:0016310|GO:0008652|GO:0006526
ACRB_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	406		Y		transport	C6ELL0	transport	GO:0006810
