Entry Name K12	Entry Name BL21(DE3)	Category	Description	Protein Length	Unique Peptides 301	Unique Spectra 301	Total #spectra 301	Unique Peptides 303	Unique Spectra 303	Total #spectra 303	Unique Peptides 11	Unique Spectra 11	Total #spectra 11	Unique Peptides 12	Unique Spectra 12	Total #spectra 12	Unique Peptides 13	Unique Spectra 13	Total #spectra 13	Unique Peptides MS6_11	Unique Spectra MS6_11	Total #spectra MS6_11	Unique Peptides MS6_12	Unique Spectra MS6_12	Total #spectra MS6_12	Unique Peptides MS6_13	Unique Spectra MS6_13	Total #spectra  MS6_13		Unique Peptides MS5_11	Unique Spectra MS5_11	Total #spectra MS5_11	Unique Peptides MS5_12	Unique Spectra MS5_12	Total #spectra MS5_12	Unique Peptides MS5_13	Unique Spectra MS5_13	Total #spectra  MS5_13	
Null	C6EFS7	B	Phage shock protein B	74	5	7	11	6	8	11	5	5	5	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2		1	1	1	1	1	1	3	3	3	
ZNTB_ECOLI	C6EFP1	B	Mg2 transporter protein CorA family protein (Zinc transporter)	327	2	2	2	3	3	4	3	3	3	2	2	2	5	5	5				1	1	1	1	1	2					1	1	1	1	1	1	
CYCA_ECOLI	C6ECD6	B	Amino acid permease-associated region (D-alanine/D-serine/glycine transporter)	470	4	4	13	4	4	13	3	3	4	3	3	5	3	4	5	2	2	8	3	3	7	2	2	9		3	3	4	2	2	3	2	2	3	
NUOK_ECOLI	C6E9S3	B	NADH-quinone oxidoreductase subunit K (EC 1.6.99.5) (NADH dehydrogenase I subunit K) (NDH-1 subunit K)	100	2	2	4	2	2	6				2	2	3	2	2	3	2	2	6	2	2	6	2	2	6		2	2	4	2	2	4	2	2	4	
YJBB_ECOLI	C6EE04	B	Predicted transporter (Sodium-dependent inorganic phosphate (Pi) transporter)	543	3	4	4	4	5	6	5	5	6	2	2	2	6	6	11	1	1	1	2	2	2	1	1	1					1	1	1	1	1	1	
YFGM_ECOLI	C6EKJ6	B	Putative uncharacterized protein (Putative uncharacterized protein yfgM)	206	7	8	12	6	6	9	8	10	10	3	3	3	7	7	7	3	3	4	1	1	3	2	2	3		3	3	6	3	3	5	5	5	10	
ELAB_ECOLI	C6E9T3	B	Putative uncharacterized protein (Putative uncharacterized protein elaB)	101	2	2	2	2	2	2	2	2	2				1	1	1							1	1	1		2	2	3	2	2	3	2	2	3	
YJCE_ECOLI	C6ED59	B	Na+/H+ antiporter (Predicted cation/proton antiporter)	549	5	5	7	8	9	12	2	2	2	1	2	2	3	4	4	3	4	6	5	6	8	6	8	11											
MDLB_ECOLI	C6EL14	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	593	2	2	3	2	2	2							2	2	2				1	1	1	2	2	2											
COPA_ECOLI	C6EKY0	B	Copper transporter (EC 3.6.3.10) (Copper-translocating P-type ATPase)	834	10	11	14	12	12	17	7	7	7	9	9	9	10	10	10	10	10	13	9	9	14	9	9	21											
LPTC_ECOLI	C6EH28	B	Putative uncharacterized protein (Putative uncharacterized protein yrbK)	191	2	2	8	4	5	7	5	6	6	3	3	3	3	3	3	3	3	3	3	4	4	4	5	5											
QMCA_ECOLI	C6EKX5	B	Band 7 protein (Predicted protease, membrane anchored)	305	3	3	5	4	4	6	3	3	3	2	2	2	3	3	3	2	2	2	2	2	2	3	3	3											
YEJM_ECOLI	C6EA09	B	Predicted hydrolase, inner membrane (Sulfatase)	586	7	8	14	8	9	15	7	7	7	4	4	4	7	7	7	5	5	8	4	4	7	7	7	11											
PQIB_ECOLI	C6EI31	B	Mammalian cell entry related domain protein (Paraquat-inducible protein B)	546	4	4	5	6	6	7				3	3	3	1	1	1	4	4	4	3	3	3	2	2	2											
DJLA_ECOLI	C6EAZ8	B	Dna-J like membrane chaperone protein (Heat shock protein DnaJ domain protein)	271	8	11	14	9	12	16	10	11	12	8	8	8	9	11	11	6	8	13	8	9	12	8	9	12											
TOLA_ECOLI	C6EJJ8	B	Cell envelope integrity inner membrane protein TolA (Protein TolA)	421	9	9	12	9	10	15	11	12	21	10	10	10	14	16	16	6	6	7	3	4	6	5	6	8											
BARA_ECOLI	C6EJ86	B	Hpt sensor hybrid histidine kinase (Hybrid sensory histidine kinase, in two-component regulatory system with UvrY) (EC 2.7.3.-)	918	2	2	4	2	2	2	2	2	2				2	2	3				1	1	1	2	2	3											
RTN_ECOLI	C6EA21	B	Diguanylate phosphodiesterase (Putative uncharacterized protein rtn)	518	1	1	1	1	1	1													1	1	1	1	1	1											
YHFK_ECOLI	C6EGA5	B	Integral membrane protein, YccS/YhfK family	696	6	6	7	5	5	7	5	5	5	4	4	4	3	3	3	5	5	6	2	2	3	6	6	7											
SPPA_ECOLI	C6ECJ1	B	Protease IV (Signal peptide peptidase) (EC 3.4.-.-) (Signal peptide peptidase SppA, 67K type)	618	15	17	36	18	20	35	15	16	16	14	15	16	17	19	19	10	12	20	8	8	14	12	13	23											
ARCB_ECOLI	C6EH17	B	Hybrid sensory histidine kinase in two-component regulatory system with ArcA (EC 2.7.3.-) (Multi-sensor hybrid histidine kinase)	778	17	19	28	17	18	28	16	16	17	15	15	15	18	19	22	13	13	16	13	13	16	13	13	15											
ARNT_ECOLI	C6E9U3	B	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.n1) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	550	4	5	10	3	4	5	5	5	5	3	3	3	5	5	6	4	4	4	4	4	4	5	5	5											
PSPC_ECOLI	C6EFS6	B	DNA-binding transcriptional activator (Phage shock protein C, PspC)	119	2	3	6	2	2	4	3	3	3	1	1	1	2	2	2	2	3	4	3	3	6	3	4	7											
UBIB_ECOLI	C6EF61	B	Probable ubiquinone biosynthesis protein ubiB	546	12	13	24	13	14	25	14	14	15	8	9	9	14	14	15	7	7	9	6	6	8	8	8	11											
AAS_ECOLI	C6EJ32	B	2-acyl-glycerophospho-ethanolamine acyltransferase (EC 2.3.1.40) (EC 6.2.1.20) (AMP-dependent synthetase and ligase)	719	3	3	4	4	5	10	5	5	5	5	5	5	7	7	7	4	4	4	1	1	1	4	4	4											
GALP_ECOLI	C6EIG8	B	Sugar transporter	464	4	4	6	3	3	5	5	5	5	6	6	6	7	7	7	6	6	7	3	3	3	3	3	3											
GLNP_ECOLI	C6EIX2	B	Glutamine ABC transporter permease protein (Polar amino acid ABC transporter, inner membrane subunit)	219	3	3	6	3	3	4	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2	3	3	3											
PBP2_ECOLI	C6EK58	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in peptidoglycan synthesis (Penicillin-binding protein 2))	633	8	8	10	7	7	10	3	3	3	3	3	3	3	3	3	1	1	2	1	1	1	5	5	5											
DCTA_ECOLI	C6EEF5	B	C4-dicarboxylate transport protein (Sodium:dicarboxylate symporter)	428	5	6	8	4	5	11	4	5	6	6	6	7	6	7	12	5	6	9	4	4	6	4	4	6											
YEIU_ECOLI	C6EA23	B	Phosphoesterase PA-phosphatase related (Undecaprenyl pyrophosphate phosphatase)	237	2	2	3	2	2	4	2	2	2	3	3	3	3	3	3	3	3	4	2	2	3	3	3	5											
KGTP_ECOLI	C6EJZ9	B	Alpha-ketoglutarate transporter (Metabolite/H+ symporter, major facilitator superfamily (MFS))	432	1	1	1	3	3	3	2	2	2	3	3	3	3	3	4	1	2	2	3	4	4	3	4	4											
LNT_ECOLI	C6EK38	B	Apolipoprotein N-acyltransferase	512	4	5	8	9	9	12	8	9	9	9	9	9	6	6	6	4	4	6	6	6	11	8	8	12											
YFJD_ECOLI	C6EJY0	B	Putative uncharacterized protein	420	2	2	5	2	2	2	4	5	5	2	2	2	5	6	6				1	1	2	2	2	3											
YNIB_ECOLI	C6ECN2	B	Predicted inner membrane protein (Putative uncharacterized protein)	178	2	3	5	2	3	5	1	1	1							1	1	1	1	1	1	2	2	3											
BETT_ECOLI	C6ELR7	B	Choline transporter of high affinity (Choline/carnitine/betaine transporter)	677	2	2	3	3	3	5	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	4											
YIFK_ECOLI	C6EG16	B	Amino acid permease-associated region (Predicted transporter)	461	1	1	1				2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1											
YBDG_ECOLI	C6EKC4	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	415	8	8	10	7	7	10	7	7	7	7	7	7	9	9	10	6	6	7	6	6	7	6	6	8
PHOQ_ECOLI	C6EGW2	B	Histidine kinase (Sensory histidine kinase in two-compoent regulatory system with PhoP) (EC 2.7.1.-)	486	7	8	11	7	8	11	2	2	2	2	2	2	4	4	4	2	2	2	3	3	3	2	2	3
MSBB_ECOLI	C6EBX2	B	Lipid A biosynthesis (KDO)2-(Lauroyl)-lipid IVA acyltransferase	323	2	2	4	1	1	1	3	3	3				3	3	3	2	2	3	2	2	2	1	1	1
YFEA_ECOLI	C6EL75	B	Diguanylate cyclase/phosphodiesterase (Predicted diguanylate cyclase)	729	3	3	5	4	4	7	4	4	4	2	2	2	6	6	6	4	4	4	2	2	3	4	4	5
ASMA_ECOLI	C6EAP3	B	AsmA family protein (Predicted assembly protein)	617	13	15	24	16	18	31	9	9	9	10	10	10	14	14	29	11	11	17	11	11	17	12	12	19
BETT_ECOLI	C6EC73	B	Choline/carnitine/betaine transporter	665	3	3	6	3	3	5	3	3	5	2	2	2	3	3	3	2	2	3	2	2	6	3	3	6
ACTP_ECOLI	C6ED58	B	Cation/acetate symporter ActP (Acetate permease) (Acetate transporter ActP)	549	3	3	4	3	3	5	3	3	3	3	3	3	3	3	3	2	2	3	2	2	3	3	3	4
YICN_ECOLI	C6EDA6	B	Putative uncharacterized protein (Putative uncharacterized protein yicN)	150	2	2	3	3	3	4										1	1	1	2	2	2	2	2	2
DCUA_ECOLI	C6ECY7	B	Anaerobic c4-dicarboxylate antiporter, Dcu family (C4-dicarboxylate antiporter)	433	7	8	9	6	6	11	5	5	5	5	5	5	4	4	4	6	6	9	5	5	6	6	6	8
KDTA_ECOLI	C6EDF8	B	3-deoxy-D-manno-octulosonic-acid transferase (Three-deoxy-D-manno-octulosonic-acid transferase domain protein)	425	13	15	25	11	12	19	6	6	6	3	3	3	11	12	12	6	7	9	6	7	9	5	5	6
YHJG_ECOLI	C6EEF9	B	AsmA family protein (Predicted outer membrane biogenesis protein)	691	9	9	13	11	11	19	6	6	6	10	10	10	7	7	7	6	6	8	6	6	9	5	5	8
YJEP_ECOLI	C6ECW6	B	MscS Mechanosensitive ion channel (Predicted mechanosensitive channel)	1107	14	15	20	12	12	15	11	11	12	9	9	10	16	16	17	5	5	10	7	7	8	6	6	7
YBJT_ECOLI	C6EIB2	B	Conserved protein with NAD(P)-binding Rossmann-fold domain (NAD-dependent epimerase/dehydratase)	476	2	2	2	4	5	5										1	1	1	1	1	1	1	1	1
YAJR_ECOLI	C6EL42	B	Major facilitator superfamily MFS_1 (Predicted transporter)	454	3	3	4	3	3	5	2	2	2	2	2	2	3	3	3	2	2	3	2	3	4	2	2	3
YEGH_ECOLI	C6EAP4	B	Fused predicted membrane protein/predicted membrane protein (Integral membrane protein TerC)	527							1	1	1				2	2	2	2	2	2	1	1	1	2	2	2
CLS_ECOLI	C6EFY7	B	Cardiolipin synthase (CL synthase) (EC 2.7.8.-)	486	5	6	11	6	7	14	5	6	6	4	5	5	5	6	6	4	4	6	5	5	6	5	5	7
GLTP_ECOLI	C6ED48	B	Glutamate/aspartate:proton symporter (Sodium:dicarboxylate symporter)	437	3	3	4	2	2	2	1	2	3	2	2	2	2	3	4	3	3	3	2	2	2	3	3	3
YHHM_ECOLI	C6EFA7	B	Putative receptor	119	4	4	4	4	4	5	5	6	6	5	6	7	5	6	7	3	3	3	3	3	3	3	3	3
BCSB_ECOLI	C6EEF1	B	Cellulose synthase subunit B	767	14	14	22	13	13	20	5	5	5	9	9	10	11	11	11	5	5	9	5	5	9	7	7	14
NUOL_ECOLI	C6E9S4	B	NADH dehydrogenase subunit L (EC 1.6.5.3) (Proton-translocating NADH-quinone oxidoreductase, chain L)	613	3	3	7	3	3	5	3	3	5	3	3	6	4	4	6	2	2	7	2	2	6	2	2	7
YBBP_ECOLI	C6EKW8	B	Predicted inner membrane protein (Putative uncharacterized protein)	804	3	3	4	3	3	4							2	2	2	1	1	1	1	1	1	3	3	3
MRAY_ECOLI	C6EAW8	B	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	360	2	2	4	3	3	6	5	5	7	4	4	6	5	5	6	3	3	5	2	2	4	3	3	5
RODA_ECOLI	C6EK59	B	Cell cycle protein (Cell wall shape-determining protein)	370	2	2	4	3	3	5	2	2	2				3	3	3	3	3	3	1	1	1	1	1	1
DHG_ECOLI	C6EAT3	B	Glucose dehydrogenase (EC 1.1.5.2) (Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family) (EC 1.1.5.2)	796	3	3	6	6	6	8	8	8	9	5	5	5	9	9	9	4	4	8	3	3	6	3	3	7
KEFB_ECOLI	C6EGB3	B	Glutathione-regulated potassium-efflux system protein kefB (K(+)/H(+) antiporter) (NEM-activatable K(+)/H(+) antiporter)	601	4	4	5	4	4	5	1	1	1	2	2	2	2	2	2	1	1	2	2	2	3	2	2	3
GLTJ_ECOLI	C6EK41	B	Glutamate and aspartate transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	246	3	4	5	3	4	7	2	3	3	2	2	3	2	3	3	3	3	9	3	4	7	3	4	7
NUPC_ECOLI	C6EL76	B	Nucleoside (Except guanosine) transporter (Nucleoside transporter)	400	3	3	5	3	3	4	4	5	6	3	3	3	4	4	5	3	3	4	2	2	2	3	3	5
FTSN_ECOLI	C6EE76	B	Cell division protein FtsN (Essential cell division protein)	319	11	12	17	12	12	17	11	11	11	12	12	12	13	13	13	10	10	12	8	9	13	8	9	13
UBIA_ECOLI	C6EDY0	B	4-hydroxybenzoate octaprenyltransferase (EC 2.5.1.-) (4-HB polyprenyltransferase)	290							2	2	2	2	2	2	2	2	2				1	1	1	1	1	1
YFHB_ECOLI	C6EK28	B	HAD superfamily (Subfamily IF) hydrolase, YfhB	211				2	2	3										2	2	2	2	2	2	2	2	2
GSIC_ECOLI	C6EIV1	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	306	2	2	3	3	3	5	2	2	2	2	2	2	2	2	2	3	3	5	2	2	4	3	3	5
SOHB_ECOLI	C6EFW5	B	Peptidase S49 domain protein (Predicted inner membrane peptidase)	349	9	9	11	13	13	15	10	12	14	7	7	8	11	13	15	4	4	4	4	4	4	4	5	6
AROP_ECOLI	C6EAU5	B	Amino acid permease-associated region	456	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	2	3	2	2	2	2	2	3
TATE_ECOLI	C6EK66	B	Twin arginine translocase protein E (Twin-arginine translocation protein, TatA/E family subunit)	67	1	1	2	1	1	2	1	1	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	2
NUOH_ECOLI	C6E9S0	B	NADH-quinone oxidoreductase subunit H (EC 1.6.99.5) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	325	4	4	10	3	3	11	5	5	7	3	3	4	5	5	7	3	3	9	2	2	7	3	3	9
EMRA_ECOLI	C6EJU1	B	Efflux pump membrane protein (Multidrug efflux system)	390	16	16	23	14	14	22	17	17	17	14	14	15	17	17	17	8	8	10	8	8	10	9	9	10
FTSI_ECOLI	C6EAX1	B	Peptidoglycan glycosyltransferase (EC 2.4.1.129) (Transpeptidase involved in septal peptidoglycan synthesis (Penicillin-binding protein 3)) (EC 2.4.1.129)	588	10	11	17	9	10	19	10	10	10	8	8	8	10	10	10	6	6	10	6	6	12	6	6	10
HTPX_ECOLI	C6EC00	B	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	293	3	3	6	3	3	7	5	5	6	3	3	4	5	5	6	3	3	5	3	3	4	3	3	5
MACB_ECOLI	C6EIA2	B	ABC transporter related (Fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component)	648	5	5	6	4	4	4							1	1	1	2	2	2	1	1	1	3	3	6
CDH_ECOLI	C6EEY0	B	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	251	10	10	14	7	7	11	10	11	11	7	7	7	10	11	13	8	8	10	7	7	10	6	6	8
SDAC_ECOLI	C6EJ75	B	Predicted serine transporter (Serine transporter)	429	2	2	3	3	3	5	4	5	8	3	3	4	3	3	4	3	4	6	3	3	5	3	4	12
YGAP_ECOLI	C6EJV7	B	Predicted inner membrane protein with hydrolase activity (Rhodanese domain protein)	174	2	3	6	3	5	6	3	3	3	1	1	1	5	5	5	1	1	2	2	2	3	1	1	1
CYDB_ECOLI	C6EJK4	B	Cytochrome d terminal oxidase, subunit II (EC 1.9.3.-) (Cytochrome d ubiquinol oxidase, subunit II)	379	1	1	1	2	3	5	2	2	3	2	3	4	2	3	4	4	4	6	2	3	4	3	3	4
RMUC_ECOLI	C6EF64	B	Predicted recombination limiting protein (Putative uncharacterized protein)	475	3	3	4	5	5	5	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	2	2	2
MREC_ECOLI	C6EGL1	B	Cell wall structural complex MreBCD transmembrane component MreC (Rod shape-determining protein MreC)	367	4	4	8	5	5	10	2	2	2	3	3	3	3	3	3	3	3	3	2	2	2	3	3	5
KCH_ECOLI	C6EFY6	B	TrkA-N domain protein (Voltage-gated potassium channel)	417	1	1	1	4	4	6										2	2	2	1	1	1	2	2	2
RCSC_ECOLI	C6E9Y2	B	Histidine kinase	949	9	9	13	8	8	8	1	1	1	3	3	3	2	2	2	3	3	7	5	5	5	3	3	4
YHJK_ECOLI	C6EEF4	B	Diguanylate cyclase/phosphodiesterase with extracellular sensor (Predicted diguanylate cyclase)	649	5	5	5	6	6	6	1	1	1				3	3	3	2	2	2	3	3	4	2	2	2
PHEP_ECOLI	C6EKC5	B	Amino acid permease-associated region	470	1	1	2	2	2	5	2	2	2	1	1	2	2	3	3	1	1	2	2	2	3	2	2	3
NUOJ_ECOLI	C6E9S2	B	NADH dehydrogenase (Quinone) (EC 1.6.99.5) (NADH dehydrogenase subunit J) (EC 1.6.5.3)	184	1	1	1				2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
QSEC_ECOLI	C6EHW7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with QseB) (EC 2.7.3.-)	449	5	5	8	9	9	13	6	6	6	4	4	4	6	6	6	4	4	5	5	5	6	6	6	7
EXBB_ECOLI	C6EHY7	B	Membrane spanning protein in TonB-ExbB-ExbD complex (TonB-system energizer ExbB)	244	4	5	6	5	7	10	4	4	4	3	3	3	4	5	5	3	3	4	2	2	2	2	2	3
PTND_ECOLI	C6EC11	B	PTS system, mannose/fructose/sorbose family, IID subunit	283	2	2	4	3	3	5	7	8	8	4	4	5	3	3	3	5	5	5	5	5	6	4	4	5
BASS_ECOLI	C6ED12	B	Histidine kinase	366	8	8	11	7	8	10	6	6	6	4	5	5	5	5	5	2	2	2	2	2	2	2	2	2
YEBT_ECOLI	C6EBZ5	B	Mammalian cell entry related domain protein (Putative uncharacterized protein yebT)	877	10	10	13	13	13	17	7	7	7	6	6	6	8	8	8	4	4	7	6	6	10	5	5	15
CCMH_ECOLI	C6EA06	B	Cytochrome C biogenesis protein (Heme lyase, CcmH subunit)	350	4	4	5	4	4	5							3	3	3	3	3	3	3	3	3	3	3	3
YJCD_ECOLI	C6ED60	B	Predicted permease (Xanthine/uracil/vitamin C permease)	449	2	3	4	2	2	3	2	2	2				2	3	3	2	3	3	2	3	4	2	3	4
GNTT_ECOLI	C6EFF9	B	Gluconate transporter (Gluconate transporter, high-affinity GNT I system)	438	1	2	4	3	3	5				2	3	3				2	3	4	2	3	4	2	3	5
LOLC_ECOLI	C6EGX6	B	Lipoprotein releasing system, transmembrane protein, LolC/E family (Outer membrane-specific lipoprotein transporter subunit)	399	10	10	17	13	16	28	7	7	8	4	4	5	8	8	9	8	8	14	7	8	14	7	8	15
YQEG_ECOLI	C6EIP8	B	Predicted transporter (Serine transporter)	409	3	3	3	2	2	2							1	1	1	2	2	2	2	2	2	2	2	2
BAES_ECOLI	C6EAM7	B	Histidine kinase (Sensory histidine kinase in two-component regulatory system with BaeR) (EC 2.7.3.-)	467	4	4	4	6	6	7	2	2	2				3	3	3	3	3	3	2	2	2	2	2	2
YAGU_ECOLI	C6EA36	B	Conserved inner membrane protein (Putative uncharacterized protein)	204	3	4	5	2	2	3	2	2	3	2	2	2	1	1	1	3	3	4	4	4	6	2	2	4
YCIS_ECOLI	C6EFV5	B	Conserved inner membrane protein (Putative uncharacterized protein)	102	3	5	7	3	4	6	3	4	4	3	4	7	3	4	4	2	3	5	2	3	5	2	3	6
YDHJ_ECOLI	C6EDK1	B	Secretion protein HlyD family protein (Undecaprenyl pyrophosphate phosphatase)	285	6	6	6	5	5	8	4	4	4	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3
YCHM_ECOLI	C6EGR0	B	Sulfate transporter	550	3	3	4	3	4	6							2	2	2	1	1	1	1	1	2	1	1	2
TOLR_ECOLI	C6EJJ9	B	Membrane spanning protein in TolA-TolQ-TolR complex (Protein TolR)	142	5	5	9	6	6	13	5	5	5	4	4	4	4	4	4	3	3	7	4	4	7	4	4	8
PUTP_ECOLI	C6EHJ1	B	Proline:sodium symporter (Sodium/proline symporter)	502	4	5	6	4	5	7	4	4	4	4	5	5	4	5	5	2	2	7	3	3	8	2	3	7
PURP_ECOLI	C6EG89	B	Predicted inner membrane protein (Xanthine/uracil/vitamin C permease)	445	1	1	1				1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1
DHSD_ECOLI	C6EJL5	B	Succinate dehydrogenase cytochrome b556 small membrane subunit (EC 1.3.99.1) (Succinate dehydrogenase, hydrophobic membrane anchor protein)	115	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3	2	2	3
MDLA_ECOLI	C6EL15	B	ABC transporter related (Fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components)	590	5	5	6	1	1	2	1	1	1	2	2	2	4	4	4	1	1	1	2	2	3	1	1	2
YHJD_ECOLI	C6EEG1	B	Conserved inner membrane protein (Ribonuclease)	337	2	2	2	3	4	4	2	2	4	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3
YBBM_ECOLI	C6EKX3	B	Predicted inner membrane protein (Putative uncharacterized protein)	259	1	1	1	1	1	1	1	1	1				1	1	1	2	2	2	1	1	1	1	1	1
AMPE_ECOLI	C6EAU6	B	Predicted inner membrane protein (Signaling modulator of AmpD, AmpE)	284	5	5	6	4	4	8	3	4	4	2	3	3	4	5	5	1	1	2	1	1	2	1	1	2
FTSW_ECOLI	C6EAW6	B	Cell division protein FtsW (Integral membrane protein involved in stabilizing FstZ ring during cell division)	414	2	2	5	2	2	5	3	3	3							1	1	2	1	1	2	1	1	2
PROY_ECOLI	C6ELI2	B	Amino acid permease-associated region (Predicted cryptic proline transporter)	457	1	1	1				3	4	6	2	3	3	3	3	4	1	2	2	1	2	2	1	1	1
YCCF_ECOLI	C6EI20	B	Conserved inner membrane protein (Putative uncharacterized protein)	148	3	3	5	4	4	6	4	4	4	3	3	3	4	5	5	2	2	3	2	2	4	2	2	3
GSID_ECOLI	C6EIV0	B	Binding-protein-dependent transport systems inner membrane component (Predicted peptide transporter subunit: membrane component of ABC superfamily)	303	1	1	1	1	1	2										2	2	2	1	1	1	1	1	1
YCEG_ECOLI	C6EHB7	B	Aminodeoxychorismate lyase (Predicted aminodeoxychorismate lyase) (EC 2.7.4.9)	340	7	7	8	6	6	9	5	5	5	1	1	1	2	2	2	1	1	1	3	3	3	1	1	1
LPTF_ECOLI	C6EC90	B	Conserved inner membrane protein (Permease YjgP/YjgQ family protein)	366	7	7	10	8	8	12	4	4	4	5	5	5	8	8	8	4	4	5	2	2	3	2	2	2
GLTS_ECOLI	C6EDD6	B	Glutamate transporter (Sodium/glutamate symporter)	401	2	2	3	1	1	2										3	3	4	2	2	2	1	1	1
FEOB_ECOLI	C6EFG5	B	Ferrous iron transport protein B	773	4	4	5	4	4	7	2	2	2	1	1	1	3	3	3	2	2	3	1	1	2	1	1	1
DSBD_ECOLI	C6ECY9	B	Thiol:disulfide interchange protein dsbD (EC 1.8.1.8) (Protein-disulfide reductase)	565	3	4	5	3	3	3										1	1	2	2	2	2	1	1	1
FSR_ECOLI	C6EKY5	B	Major facilitator superfamily MFS_1 (Predicted fosmidomycin efflux system)	406	2	2	4	1	1	1	2	2	3	2	2	2	2	2	3	1	1	1	2	2	2	1	1	1
FXSA_ECOLI	C6ECY5	B	FxsA cytoplasmic membrane protein (Inner membrane protein)	158	1	1	3	2	2	5	2	2	3	2	2	3	2	2	3	2	2	5	3	3	5	1	1	3
YBHS_ECOLI	C6EIY9	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	377	2	2	3	1	1	2																2	2	2
CYSW_ECOLI	C6EL54	B	Sulfate ABC transporter, inner membrane subunit	291	1	1	3	1	1	6	2	2	2	2	2	2	1	1	1							2	2	3
RFAL_ECOLI	C6EDG8	B	Lipid A-core, surface polymer ligase (O-antigen polymerase)	417				1	1	1							2	2	2							1	1	1
GABP_ECOLI	C6EJW2	B	GABA permease (Gamma-aminobutyrate transporter)	466													2	2	3							2	2	2
HISM_ECOLI	C6ELE6	B	Histidine/lysine/arginine/ornithine transporter subunit (Polar amino acid ABC transporter, inner membrane subunit)	238	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2							2	2	2
YBHR_ECOLI	C6EIZ0	B	ABC-2 type transporter (Predicted transporter subunit: membrane component of ABC superfamily)	368	3	3	6	2	2	4	2	2	2													2	2	2
OPPB_ECOLI	C6EGM3	B	Binding-protein-dependent transport systems inner membrane component (Oligopeptide permease ABC transporter membrane protein)	306	3	5	8	3	5	9	3	3	3				3	3	3							2	2	2
SBMA_ECOLI	C6ELL0	B	Predicted transporter (SbmABacA family protein)	406	2	2	2	3	3	3				2	2	2	2	2	2							1	1	1
YOAE_ECOLI	C6EC15	B	Fused predicted membrane protein/conserved protein (Integral membrane protein TerC)	518	1	1	1	2	2	2	3	3	3	1	1	1	3	3	3							1	1	1
YCCS_ECOLI	C6EI21	B	Putative uncharacterized protein	720	1	1	2	2	2	3	1	1	1				2	2	2							1	1	1
PTNC_ECOLI	C6EC12	B	Mannose-specific enzyme IIC component of PTS (PTS system, mannose/fructose/sorbose family, IIC subunit)	266	2	2	3	2	2	4	2	2	2	2	2	2	2	2	3							2	2	3
Null	C6EB50	B	O antigen polymerase (Wzy) (Putative uncharacterized protein)	391	2	2	3	2	2	3																2	2	2
YHJU_ECOLI	C6EEE5	B	Cellulose synthase operon protein YhjU (Predicted inner membrane protein)	559	2	2	2																			1	1	1										
ACRD_ECOLI	C6EKP2	B	Aminoglycoside/multidrug efflux system (Transporter, hydrophobe/amphiphile efflux-1 (HAE1) family)	1037	1	1	2	1	1	1																1	1	1										
ATKB_ECOLI	C6EJN7	B	Potassium-transporting ATPase B chain (EC 3.6.3.12) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	682	2	2	2	2	2	2							2	2	2							2	2	2										
NANT_ECOLI	C6EH08	B	Putative sialic acid transporter (Sialic acid permease)	496				1	1	1																1	1	4										
